11240
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-neuvième extrait>,<>,<>
traversai,traverser,19
le,le,71
jardin,jardin,21
et,et,82
je,je,51
pris,prendre,19
quelque,quelque,75
intérêt,intérêt,21
à,à,81
voir,voir,14
les,le,71
rondes,ronde,22
des,de,81
des,le,71
petites,petit,30
filles,fille,22
/.,/.,P
de,de,81
là,là,60
",",",",p
je,je,51
sortis,sortir,19
des,de,81
des,le,71
galeries,galerie,22
et,et,82
je,je,51
me,je,51
dirigeai,diriger,19
vers,vers,81
la,le,71
rue,rue,22
Saint-Honoré,Saint-Honoré,20
/.,/.,P
j',je,51
entrai,entrer,19
dans,dans,81
une,un,71
boutique,boutique,22
pour,pour,81
acheter,acheter,14
un,un,71
cigare,cigare,21
",",",",p
et,et,82
quand,quand,83
je,je,51
sortis,sortir,19
",",",",p
la,le,71
foule,foule,22
était,être,18
si,si,60
compacte,compact,30
que,que,83
je,je,51
faillis,faillir,19
être,être,14
étouffé,étouffer,12
/.,/.,P
trois,trois,72
de,de,81
mes,mon,73
amis,ami,21
me,je,51
dégagèrent,dégager,19
en,en,81
répondant,répondre,13
de,de,81
moi,moi,51
et,et,82
me,je,51
firent,faire,19
entrer,entrer,14
dans,dans,81
un,un,71
café,café,21
pendant,pendant,81
que,que,83
l',le,71
un,un,52
d',de,81
eux,ils,51
allait,aller,18
chercher,chercher,14
un,un,71
fiacre,fiacre,21
/.,/.,P
on,on,51
me,je,51
conduisit,conduire,19
à,à,81
l',le,71
hospice,hospice,21
de,de,81
la,le,71
charité,charité,22
/.,/.,P
pendant,pendant,81
la,le,71
nuit,nuit,22
",",",",p
le,le,71
délire,délire,21
s',se,51
augmenta,augmenter,19
",",",",p
surtout,surtout,60
le,le,71
matin,matin,21
",",",",p
lorsque,lorsque,83
je,je,51
m',je,51
aperçus,apercevoir,19
que,que,83
j',je,51
étais,être,18
attaché,attacher,12
/.,/.,P
je,je,51
parvins,parvenir,19
à,à,81
me,je,51
débarrasser,débarrasser,14
de,de,81
la,le,71
camisole,camisole,22
de,de,81
force,force,22
",",",",p
et,et,82
vers,vers,81
le,le,71
matin,matin,21
",",",",p
je,je,51
me,je,51
promenai,promener,19
dans,dans,81
les,le,71
salles,salle,22
/.,/.,P
l',le,71
idée,idée,22
que,que,52
j',je,51
étais,être,18
devenu,devenir,12
semblable,semblable,30
à,à,81
un,un,71
dieu,dieu,21
et,et,82
que,que,83
j',je,51
avais,avoir,18
le,le,71
pouvoir,pouvoir,21
de,de,81
guérir,guérir,14
me,je,51
fit,faire,19
imposer,imposer,14
les,le,71
mains,main,22
à,à,81
quelques,quelque,75
malades,malade,21
",",",",p
et,et,82
m',je,51
approchant,approcher,13
d',de,81
une,un,71
statue,statue,22
de,de,81
la,le,71
Vierge,Vierge,20
",",",",p
j',je,51
enlevai,enlever,19
la,le,71
couronne,couronne,22
de,de,81
fleurs,fleur,22
artificielles,artificiel,30
pour,pour,81
appuyer,appuyer,14
le,le,71
pouvoir,pouvoir,21
que,que,52
je,je,51
me,je,51
croyais,croire,18
/.,/.,P
je,je,51
marchai,marcher,19
à,à,81
grands,grand,30
pas,pas,21
",",",",p
parlant,parler,13
avec,avec,81
animation,animation,22
de,de,81
l',le,71
ignorance,ignorance,22
des,de,81
des,le,71
hommes,homme,21
qui,qui,52
croyaient,croire,18
pouvoir,pouvoir,14
guérir,guérir,14
avec,avec,81
la,le,71
science,science,22
seule,seul,30
",",",",p
et,et,82
",",",",p
voyant,voir,13
sur,sur,81
la,le,71
table,table,22
un,un,71
flacon,flacon,21
d',de,81
éther,éther,21
",",",",p
je,je,51
l',le,52
avalai,avaler,19
d',de,81
une,un,71
gorgée,gorgée,22
/.,/.,P
un,un,71
interne,interne,21
d',de,81
une,un,71
figure,figure,22
que,que,52
je,je,51
comparais,comparer,18
à,à,81
celle,celui,52
des,de,81
des,le,71
anges,ange,21
",",",",p
voulut,vouloir,19
m',je,51
arrêter,arrêter,14
",",",",p
mais,mais,82
la,le,71
force,force,22
nerveuse,nerveux,30
me,je,51
soutenait,soutenir,18
",",",",p
et,et,82
",",",",p
prêt,prêt,30
à,à,81
le,le,52
renverser,renverser,14
",",",",p
je,je,51
m',je,51
arrêtai,arrêter,19
",",",",p
lui,lui,51
disant,dire,13
qu',que,83
il,il,51
ne,ne,60
comprenait,comprendre,18
pas,pas,60
quelle,quel,52
était,être,18
ma,mon,73
mission,mission,22
/.,/.,P
des,de,81
des,le,71
médecins,médecin,21
vinrent,venir,19
alors,alors,60
",",",",p
et,et,82
je,je,51
continuai,continuer,19
mes,mon,73
discours,discours,21
sur,sur,81
l',le,71
impuissance,impuissance,22
de,de,81
leur,leur,73
art,art,21
/.,/.,P
puis,puis,60
je,je,51
descendis,descendre,19
l',le,71
escalier,escalier,21
",",",",p
bien,bien,60
que,que,83
n',ne,60
ayant,avoir,13
point,point,60
de,de,81
chaussure,chaussure,22
/.,/.,P
arrivé,arrivé,31
dans,dans,81
un,un,71
parterre,parterre,21
",",",",p
j',je,51
y,y,52
entrai,entrer,19
et,et,82
je,je,51
cueillis,cueillir,19
des,de,81
des,le,71
fleurs,fleur,22
en,en,81
me,je,51
promenant,promener,13
sur,sur,81
le,le,71
gazon,gazon,21
/.,/.,P
un,un,52
de,de,81
mes,mon,73
amis,ami,21
était,être,18
revenu,revenir,12
pour,pour,81
me,je,51
chercher,chercher,14
/.,/.,P
je,je,51
sortis,sortir,19
alors,alors,60
du,de,81
du,le,71
parterre,parterre,21
",",",",p
et,et,82
pendant,pendant,81
que,que,83
je,je,51
lui,lui,51
parlais,parler,18
",",",",p
on,on,51
me,je,51
jeta,jeter,19
sur,sur,81
les,le,71
épaules,épaule,22
une,un,71
camisole,camisole,22
de,de,81
force,force,22
",",",",p
puis,puis,60
on,on,51
me,je,51
fit,faire,19
monter,monter,14
dans,dans,81
un,un,71
fiacre,fiacre,21
et,et,82
je,je,51
fus,être,19
conduit,conduire,12
dans,dans,81
une,un,71
maison,maison,22
de,de,81
santé,santé,22
située,situé,31
hors,hors,81
de,de,81
Paris,Paris,20
/.,/.,P
je,je,51
compris,comprendre,19
",",",",p
en,en,81
me,je,51
voyant,voir,13
parmi,parmi,81
les,le,71
aliénés,aliéné,21
",",",",p
que,que,83
tout,tout,52
n',ne,60
avait,avoir,18
été,être,12
pour,pour,81
moi,moi,51
qu',que,83
illusions,illusion,22
jusque,jusque,81
là,là,60
/.,/.,P
toutefois,toutefois,60
les,le,71
promesses,promesse,22
que,que,52
j',je,51
attribuais,attribuer,18
à,à,81
la,le,71
déesse,déesse,22
Isis,Isis,20
me,je,51
semblaient,sembler,18
se,se,51
réaliser,réaliser,14
par,par,81
une,un,71
série,série,22
d',de,81
épreuves,épreuve,22
que,que,52
j',je,51
étais,être,18
destiné,destiner,12
à,à,81
subir,subir,14
/.,/.,P
je,je,51
les,le,52
acceptai,accepter,19
donc,donc,82
avec,avec,81
résignation,résignation,22
/.,/.,P
la,le,71
partie,partie,22
de,de,81
la,le,71
maison,maison,22
où,où,60
je,je,51
me,je,51
trouvais,trouver,18
donnait,donner,18
sur,sur,81
un,un,71
vaste,vaste,30
promenoir,promenoir,21
ombragé,ombragé,31
de,de,81
noyers,noyer,21
/.,/.,P
dans,dans,81
un,un,71
angle,angle,21
se,se,51
trouvait,trouver,18
une,un,71
petite,petit,30
hutte,hutte,22
où,où,60
l',le,71
un,un,52
des,de,81
des,le,71
prisonniers,prisonnier,21
se,se,51
promenait,promener,18
en,en,81
cercle,cercle,21
tout,tout,75
le,le,71
jour,jour,21
/.,/.,P
d',de,81
autres,autre,52
se,se,51
bornaient,borner,18
comme,comme,83
moi,moi,51
",",",",p
à,à,81
parcourir,parcourir,14
le,le,71
terre-plein,terre-plein,21
ou,ou,82
la,le,71
terrasse,terrasse,22
bordée,bordé,31
d',de,81
un,un,71
talus,talus,21
de,de,81
gazon,gazon,21
/.,/.,P
sur,sur,81
un,un,71
mur,mur,21
",",",",p
situé,situé,31
au,à,81
au,le,71
couchant,couchant,21
",",",",p
étaient,être,18
tracées,tracer,12
des,de,81
des,le,71
figures,figure,22
dont,dont,52
l',le,71
une,un,52
représentait,représenter,18
la,le,71
forme,forme,22
de,de,81
la,le,71
lune,lune,22
avec,avec,81
des,de,81
des,le,71
yeux,oeil,21
et,et,82
une,un,71
bouche,bouche,22
tracés,tracé,31
géométriquement,géométriquement,60
;,;,p
sur,sur,81
cette,ce,74
figure,figure,22
on,on,51
avait,avoir,18
peint,peindre,12
une,un,71
sorte,sorte,22
de,de,81
masque,masque,21
;,;,p
le,le,71
mur,mur,21
de,de,81
gauche,gauche,22
présentait,présenter,18
divers,divers,30
dessins,dessin,21
de,de,81
profil,profil,21
dont,dont,52
l',le,71
un,un,52
figurait,figurer,18
une,un,71
sorte,sorte,22
d',de,81
idole,idole,22
japonaise,japonais,30
/.,/.,P
plus,plus,60
loin,loin,60
",",",",p
une,un,71
tête,tête,22
de,de,81
mort,mort,21
était,être,18
creusée,creuser,12
dans,dans,81
le,le,71
plâtre,plâtre,21
;,;,p
sur,sur,81
la,le,71
face,face,22
opposée,opposé,31
",",",",p
deux,deux,72
pierres,pierre,22
de,de,81
taille,taille,22
avaient,avoir,18
été,être,12
sculptées,sculpter,12
par,par,81
quelqu'un,quelqu'un,52
des,de,81
des,le,71
hôtes,hôte,21
du,de,81
du,le,71
jardin,jardin,21
et,et,82
représentaient,représenter,18
de,de,81
petits,petit,30
mascarons,mascaron,21
assez,assez,60
bien,bien,60
rendus,rendu,31
/.,/.,P
deux,deux,72
portes,porte,22
donnaient,donner,18
sur,sur,81
des,de,81
des,le,71
caves,cave,22
",",",",p
et,et,82
j',je,51
imaginai,imaginer,19
que,que,83
c',ce,52
étaient,être,18
des,de,81
des,le,71
voies,voie,22
souterraines,souterrain,30
pareilles,pareil,30
à,à,81
celles,celui,52
que,que,52
j',je,51
avais,avoir,18
vues,voir,12
à,à,81
l',le,71
entrée,entrée,22
des,de,81
des,le,71
pyramides,pyramide,22
/.,/.,P
<Page 77  Partie 2 Chapitre 6>,<>,<>
je,je,51
m',je,51
imaginai,imaginer,19
d'abord,d'abord,60
que,que,83
les,le,71
personnes,personne,22
réunies,réuni,31
dans,dans,81
ce,ce,74
jardin,jardin,21
avaient,avoir,18
toutes,tout,52
quelque,quelque,75
influence,influence,22
sur,sur,81
les,le,71
astres,astre,21
et,et,82
que,que,83
celui,celui,52
qui,qui,52
tournait,tourner,18
sans,sans,81
cesse,cesse,22
dans,dans,81
le,le,71
même,même,75
cercle,cercle,21
y,y,52
réglait,régler,18
la,le,71
marche,marche,22
du,de,81
du,le,71
soleil,soleil,21
/.,/.,P
un,un,71
vieillard,vieillard,21
",",",",p
que,que,52
l',l',94
on,on,51
amenait,amener,18
à,à,81
certaines,certain,75
heures,heure,22
du,de,81
du,le,71
jour,jour,21
et,et,82
qui,qui,52
faisait,faire,18
des,de,81
des,le,71
noeuds,noeud,21
en,en,81
consultant,consulter,13
sa,son,73
montre,montre,22
",",",",p
m',je,51
apparaissait,apparaître,18
comme,comme,83
chargé,chargé,21
de,de,81
constater,constater,14
la,le,71
marche,marche,22
des,de,81
des,le,71
heures,heure,22
/.,/.,P
je,je,51
m',je,51
attribuai,attribuer,19
à,à,81
moi-même,moi-même,51
une,un,71
influence,influence,22
sur,sur,81
la,le,71
marche,marche,22
de,de,81
la,le,71
lune,lune,22
",",",",p
et,et,82
je,je,51
crus,croire,19
que,que,83
cet,ce,74
astre,astre,21
avait,avoir,18
reçu,recevoir,12
un,un,71
coup,coup,21
de,de,81
foudre,foudre,22
du,de,81
du,le,71
tout-puissant,tout-puissant,21
qui,qui,52
avait,avoir,18
tracé,tracer,12
sur,sur,81
sa,son,73
face,face,22
l',le,71
empreinte,empreinte,22
du,de,81
du,le,71
masque,masque,21
que,que,52
j',je,51
avais,avoir,18
remarqué,remarquer,12
/.,/.,P
j',je,51
attribuais,attribuer,18
un,un,71
sens,sens,21
mystique,mystique,30
aux,à,81
aux,le,71
conversations,conversation,22
des,de,81
des,le,71
gardiens,gardien,21
et,et,82
à,à,81
celles,celui,52
de,de,81
mes,mon,73
compagnons,compagnon,21
/.,/.,P
il,il,51
me,je,51
semblait,sembler,18
qu',que,83
ils,ils,51
étaient,être,18
les,le,71
représentants,représentant,21
de,de,81
toutes,tout,75
les,le,71
races,race,22
de,de,81
la,le,71
terre,terre,22
et,et,82
qu',que,83
il,il,51
s',se,51
agissait,agir,18
entre,entre,81
nous,nous,51
de,de,81
fixer,fixer,14
à,à,81
nouveau,nouveau,21
la,le,71
marche,marche,22
des,de,81
des,le,71
astres,astre,21
et,et,82
de,de,81
donner,donner,14
un,un,71
développement,développement,21
plus,plus,60
grand,grand,30
du,de,81
du,le,71
système,système,21
/.,/.,P
une,un,71
erreur,erreur,22
s',se,51
était,être,18
glissée,glisser,12
",",",",p
selon,selon,81
moi,moi,51
",",",",p
dans,dans,81
la,le,71
combinaison,combinaison,22
générale,général,30
des,de,81
des,le,71
nombres,nombre,21
",",",",p
et,et,82
de,de,81
là,là,60
venaient,venir,18
tous,tout,75
les,le,71
maux,mal,21
de,de,81
l',le,71
humanité,humanité,22
/.,/.,P
je,je,51
croyais,croire,18
encore,encore,60
que,que,83
les,le,71
esprits,esprit,21
célestes,céleste,30
avaient,avoir,18
pris,prendre,12
des,de,81
des,le,71
formes,forme,22
humaines,humain,30
et,et,82
assistaient,assister,18
à,à,81
ce,ce,74
congrès,congrès,21
général,général,30
",",",",p
tout,tout,60
en,en,81
paraissant,paraître,13
occupés,occupé,31
de,de,81
soins,soin,21
vulgaires,vulgaire,30
/.,/.,P
mon,mon,73
rôle,rôle,21
me,je,51
semblait,sembler,18
être,être,14
de,de,81
rétablir,rétablir,14
l',le,71
harmonie,harmonie,22
universelle,universel,30
par,par,81
l',le,71
art,art,21
cabalistique,cabalistique,30
et,et,82
de,de,81
chercher,chercher,14
une,un,71
solution,solution,22
en,en,81
évoquant,évoquer,13
les,le,71
forces,force,22
occultes,occulte,30
des,de,81
des,le,71
diverses,divers,30
religions,religion,22
/.,/.,P
outre,outre,81
le,le,71
promenoir,promenoir,21
",",",",p
nous,nous,51
avions,avoir,18
encore,encore,60
une,un,71
salle,salle,22
dont,dont,52
les,le,71
vitres,vitre,22
rayées,rayé,31
perpendiculairement,perpendiculairement,60
donnaient,donner,18
sur,sur,81
un,un,71
horizon,horizon,21
de,de,81
verdure,verdure,22
/.,/.,P
en,en,81
regardant,regarder,13
derrière,derrière,81
ces,ce,74
vitres,vitre,22
la,le,71
ligne,ligne,22
des,de,81
des,le,71
bâtiments,bâtiment,21
extérieurs,extérieur,30
",",",",p
je,je,51
voyais,voir,18
se,se,51
découper,découper,14
la,le,71
façade,façade,22
des,de,81
des,le,71
fenêtres,fenêtre,22
en,en,81
mille,mille,72
pavillons,pavillon,21
ornés,orné,31
d',de,81
arabesques,arabesque,22
",",",",p
et,et,82
surmontés,surmonté,31
de,de,81
découpures,découpure,22
et,et,82
d',de,81
aiguilles,aiguille,22
",",",",p
qui,qui,52
me,je,51
rappelaient,rappeler,18
les,le,71
kiosques,kiosque,21
impériaux,impérial,30
bordant,border,13
le,le,71
Bosphore,Bosphore,20
/.,/.,P
cela,cela,52
conduisit,conduire,19
naturellement,naturellement,60
ma,mon,73
pensée,pensée,22
aux,à,81
aux,le,71
préoccupations,préoccupation,22
orientales,oriental,30
/.,/.,P
vers,vers,81
deux,deux,72
heures,heure,22
",",",",p
on,on,51
me,je,51
mis,mettre,19
au,à,81
au,le,71
bain,bain,21
",",",",p
et,et,82
je,je,51
me,je,51
crus,croire,19
servi,servi,31
par,par,81
les,le,71
Walkyries,Walkyries,20
",",",",p
filles,fille,22
d',de,81
Odin,Odin,20
",",",",p
qui,qui,52
voulaient,vouloir,18
m',je,51
élever,élever,14
à,à,81
l',le,71
immortalité,immortalité,22
en,en,81
dépouillant,dépouiller,13
peu,peu,60
à,à,81
peu,peu,60
mon,mon,73
corps,corps,21
de,de,81
ce,ce,52
qu',que,52
il,il,51
avait,avoir,18
d',de,81
impur,impur,30
/.,/.,P
je,je,51
me,je,51
promenai,promener,19
le,le,71
soir,soir,21
plein,plein,30
de,de,81
sérénité,sérénité,22
aux,à,81
aux,le,71
rayons,rayon,21
de,de,81
la,le,71
lune,lune,22
",",",",p
et,et,82
",",",",p
en,en,81
levant,lever,13
les,le,71
yeux,oeil,21
vers,vers,81
les,le,71
arbres,arbre,21
",",",",p
il,il,51
me,je,51
semblait,sembler,18
que,que,83
les,le,71
feuilles,feuille,22
se,se,51
roulaient,rouler,18
capricieusement,capricieusement,60
de,de,81
manière,manière,22
à,à,81
former,former,14
des,de,81
des,le,71
images,image,22
de,de,81
cavaliers,cavalier,21
et,et,82
de,de,81
dames,dame,22
portés,porté,31
par,par,81
des,de,81
des,le,71
chevaux,cheval,21
caparaçonnés,caparaçonné,31
/.,/.,P
c',ce,52
étaient,être,18
pour,pour,81
moi,moi,51
les,le,71
figures,figure,22
triomphantes,triomphant,30
des,de,81
des,le,71
aïeux,aïeul,21
/.,/.,P
cette,ce,74
pensée,pensée,22
me,je,51
conduisit,conduire,19
à,à,81
celle,celui,52
qu',que,52
il,il,51
y,y,52
avait,avoir,18
une,un,71
vaste,vaste,30
conspiration,conspiration,22
de,de,81
tous,tout,75
les,le,71
êtres,être,21
animés,animé,31
pour,pour,81
rétablir,rétablir,14
le,le,71
monde,monde,21
dans,dans,81
son,son,73
harmonie,harmonie,22
première,premier,72
",",",",p
et,et,82
que,que,52
les,le,71
communications,communication,22
avaient,avoir,18
lieu,lieu,21
par,par,81
le,le,71
magnétisme,magnétisme,21
des,de,81
des,le,71
astres,astre,21
",",",",p
qu',que,83
une,un,71
chaîne,chaîne,22
non,non,60
interrompue,interrompu,31
liait,lier,18
autour,autour,60
de,de,81
la,le,71
terre,terre,22
les,le,71
intelligences,intelligence,22
dévouées,dévoué,31
à,à,81
cette,ce,74
communication,communication,22
générale,général,30
",",",",p
et,et,82
que,que,83
les,le,71
chants,chant,21
",",",",p
les,le,71
danses,danse,22
",",",",p
les,le,71
regards,regard,21
",",",",p
aimantés,aimanté,31
de,de,81
proche,proche,21
en,en,81
proche,proche,21
",",",",p
traduisaient,traduire,18
la,le,71
même,même,75
aspiration,aspiration,22
/.,/.,P
la,le,71
lune,lune,22
était,être,18
pour,pour,81
moi,moi,51
le,le,71
refuge,refuge,21
des,de,81
des,le,71
âmes,âme,22
fraternelles,fraternel,30
qui,qui,52
",",",",p
délivrées,délivré,31
de,de,81
leurs,leur,73
corps,corps,21
mortels,mortel,30
",",",",p
travaillaient,travailler,18
plus,plus,60
librement,librement,60
à,à,81
la,le,71
régénération,régénération,22
de,de,81
l',le,71
univers,univers,21
/.,/.,P
pour,pour,81
moi,moi,51
",",",",p
le,le,71
temps,temps,21
de,de,81
chaque,chaque,75
journée,journée,22
semblait,sembler,18
augmenté,augmenté,31
de,de,81
deux,deux,72
heures,heure,22
;,;,p
de,de,81
sorte,sorte,22
qu',que,83
en,en,81
me,je,51
levant,lever,13
aux,à,81
aux,le,71
heures,heure,22
fixées,fixé,31
par,par,81
les,le,71
horloges,horloge,22
de,de,81
la,le,71
maison,maison,22
",",",",p
je,je,51
ne,ne,60
faisais,faire,18
que,que,83
me,je,51
promener,promener,14
dans,dans,81
l',le,71
empire,empire,21
des,de,81
des,le,71
ombres,ombre,22
/.,/.,P
les,le,71
compagnons,compagnon,21
qui,qui,52
m',je,51
entouraient,entourer,18
me,je,51
semblaient,sembler,18
endormis,endormi,31
et,et,82
pareils,pareil,30
aux,à,81
aux,le,71
spectres,spectre,21
du,de,81
du,le,71
tartare,tartare,21
jusqu',jusque,81
à,à,81
l',le,71
heure,heure,22
où,où,60
pour,pour,81
moi,moi,51
se,se,51
levait,lever,18
le,le,71
soleil,soleil,21
/.,/.,P
alors,alors,60
je,je,51
saluais,saluer,18
cet,ce,74
astre,astre,21
par,par,81
une,un,71
prière,prière,22
",",",",p
et,et,82
ma,mon,73
vie,vie,22
réelle,réel,30
commençait,commencer,18
/.,/.,P
du,de,81
du,le,71
moment,moment,21
que,que,83
je,je,51
me,je,51
fus,être,19
assuré,assurer,12
de,de,81
ce,ce,74
point,point,21
que,que,83
j',je,51
étais,être,18
soumis,soumettre,12
aux,à,81
aux,le,71
épreuves,épreuve,22
de,de,81
l',le,71
initiation,initiation,22
sacrée,sacré,31
",",",",p
une,un,71
force,force,22
invincible,invincible,30
entra,entrer,19
dans,dans,81
mon,mon,73
esprit,esprit,21
/.,/.,P
je,je,51
me,je,51
jugeais,juger,18
un,un,71
héros,héros,21
vivant,vivre,13
sous,sous,81
le,le,71
regard,regard,21
des,de,81
des,le,71
dieux,dieu,21
;,;,p
tout,tout,52
dans,dans,81
la,le,71
nature,nature,22
",",",",p
prenait,prendre,18
des,de,81
des,le,71
aspects,aspect,21
nouveaux,nouveau,30
",",",",p
et,et,82
des,de,81
des,le,71
voix,voix,22
secrètes,secret,30
sortaient,sortir,18
de,de,81
la,le,71
plante,plante,22
",",",",p
de,de,81
l',le,71
arbre,arbre,21
",",",",p
des,de,81
des,le,71
animaux,animal,21
",",",",p
des,de,81
des,le,71
plus,plus,60
humbles,humble,30
insectes,insecte,21
",",",",p
pour,pour,81
m',je,51
avertir,avertir,14
et,et,82
m',je,51
encourager,encourager,14
/.,/.,P
le,le,71
langage,langage,21
de,de,81
mes,mon,73
compagnons,compagnon,21
avait,avoir,18
des,de,81
des,le,71
tours,tour,21
mystérieux,mystérieux,30
dont,dont,52
je,je,51
comprenais,comprendre,18
le,le,71
sens,sens,21
",",",",p
les,le,71
objets,objet,21
sans,sans,81
forme,forme,22
et,et,82
sans,sans,81
vie,vie,22
se,se,51
prêtaient,prêter,18
eux-mêmes,eux-mêmes,51
aux,à,81
aux,le,71
calculs,calcul,21
de,de,81
mon,mon,73
esprit,esprit,21
;,;,p
-,-,p
des,de,81
des,le,71
combinaisons,combinaison,22
de,de,81
cailloux,caillou,21
",",",",p
des,de,81
des,le,71
figures,figure,22
d',de,81
angles,angle,21
",",",",p
de,de,81
fentes,fente,22
ou,ou,82
d',de,81
ouvertures,ouverture,22
",",",",p
des,de,81
des,le,71
découpures,découpure,22
de,de,81
feuilles,feuille,22
",",",",p
des,de,81
des,le,71
couleurs,couleur,22
",",",",p
des,de,81
des,le,71
odeurs,odeur,22
et,et,82
des,de,81
des,le,71
sons,son,21
",",",",p
je,je,51
voyais,voir,18
ressortir,ressortir,14
des,de,81
des,le,71
harmonies,harmonie,22
jusqu',jusque,81
alors,alors,60
inconnues,inconnu,30
/.,/.,P
“,“,p
comment,comment,60
me,je,51
disais,dire,18
je,je,51
",",",",p
ai,avoir,17
je,je,51
pu,pouvoir,12
exister,exister,14
si,si,60
longtemps,longtemps,60
hors,hors,81
de,de,81
la,le,71
nature,nature,22
et,et,82
sans,sans,81
m',je,51
identifier,identifier,14
à,à,81
elle,il,51
/?,/?,P
tout,tout,52
vit,vivre,17
",",",",p
tout,tout,52
agit,agir,17
",",",",p
tout,tout,52
se,se,51
correspond,correspondre,17
;,;,p
les,le,71
rayons,rayon,21
magnétiques,magnétique,30
émanés,émané,31
de,de,81
moi-même,moi-même,51
ou,ou,82
des,de,81
des,le,71
autres,autre,52
traversent,traverser,17
sans,sans,81
obstacle,obstacle,21
la,le,71
chaîne,chaîne,22
infinie,infini,30
des,de,81
des,le,71
choses,chose,22
créées,créé,31
;,;,p
c',ce,52
est,être,17
un,un,71
réseau,réseau,21
transparent,transparent,30
qui,qui,52
couvre,couvrir,17
le,le,71
monde,monde,21
",",",",p
et,et,82
dont,dont,52
les,le,71
fils,fil,21
déliés,délié,31
se,se,51
communiquent,communiquer,17
de,de,81
proche,proche,21
en,en,81
proche,proche,21
aux,à,81
aux,le,71
planètes,planète,22
et,et,82
aux,à,81
aux,le,71
étoiles,étoile,22
/.,/.,P
captif,captif,21
en,en,81
ce,ce,74
moment,moment,21
sur,sur,81
la,le,71
terre,terre,22
",",",",p
je,je,51
m',je,51
entretiens,entretenir,17
avec,avec,81
le,le,71
choeur,choeur,21
des,de,81
des,le,71
astres,astre,21
",",",",p
qui,qui,52
prend,prendre,17
part,part,22
à,à,81
mes,mon,73
joies,joie,22
et,et,82
à,à,81
mes,mon,73
douleurs,douleur,22
/!,/!,P
aussitôt,aussitôt,60
je,je,51
frémis,frémir,19
en,en,81
songeant,songer,13
que,que,83
ce,ce,74
mystère,mystère,21
même,même,30
pouvait,pouvoir,18
être,être,14
surpris,surprendre,12
/.,/.,P
“,“,p
si,si,83
l',le,71
électricité,électricité,22
",",",",p
me,je,51
dis,dire,17
je,je,51
",",",",p
qui,qui,52
est,être,17
le,le,71
magnétisme,magnétisme,21
des,de,81
des,le,71
corps,corps,21
physiques,physique,30
",",",",p
peut,pouvoir,17
subir,subir,14
une,un,71
direction,direction,22
qui,qui,52
lui,lui,51
impose,imposer,17
des,de,81
des,le,71
lois,loi,22
",",",",p
à,à,81
plus,plus,60
forte,fort,30
raison,raison,22
des,de,81
des,le,71
esprits,esprit,21
hostiles,hostile,30
et,et,82
tyranniques,tyrannique,30
peuvent,pouvoir,17
asservir,asservir,14
les,le,71
intelligences,intelligence,22
et,et,82
se,se,51
servir,servir,14
de,de,81
leurs,leur,73
forces,force,22
divisées,divisé,31
dans,dans,81
un,un,71
but,but,21
de,de,81
domination,domination,22
/.,/.,P
c',ce,52
est,être,17
ainsi,ainsi,60
que,que,83
les,le,71
dieux,dieu,21
antiques,antique,30
ont,avoir,17
été,être,12
vaincus,vaincre,12
et,et,82
asservis,asservir,12
par,par,81
des,de,81
des,le,71
dieux,dieu,21
nouveaux,nouveau,30
;,;,p
c',ce,52
est,être,17
ainsi,ainsi,60
",",",",p
me,je,51
dis,dire,17
je,je,51
encore,encore,60
",",",",p
en,en,81
consultant,consulter,13
mes,mon,73
souvenirs,souvenir,21
du,de,81
du,le,71
monde,monde,21
ancien,ancien,30
",",",",p
que,que,83
les,le,71
nécromants,nécromant,21
dominaient,dominer,18
des,de,81
des,le,71
peuples,peuple,21
entiers,entier,30
",",",",p
dont,dont,52
les,le,71
générations,génération,22
se,se,51
succédaient,succéder,18
captives,captif,30
sous,sous,81
leur,leur,73
sceptre,sceptre,21
éternel,éternel,30
/.,/.,P
oh,oh,93
!,!,p
malheur,malheur,21
!,!,p
la,le,71
mort,mort,22
elle-même,lui-même,51
ne,ne,60
peut,pouvoir,17
les,le,52
affranchir,affranchir,14
!,!,p
car,car,82
nous,nous,51
vivons,vivre,17
dans,dans,81
nos,notre,73
fils,fils,21
comme,comme,83
nous,nous,51
avons,avoir,17
vécu,vivre,12
dans,dans,81
nos,notre,73
pères,père,21
",",",",p
-,-,p
et,et,82
la,le,71
science,science,22
impitoyable,impitoyable,30
de,de,81
nos,notre,73
ennemis,ennemi,21
sait,savoir,17
nous,nous,51
reconnaître,reconnaître,14
partout,partout,60
/.,/.,P
l',le,71
heure,heure,22
de,de,81
notre,notre,73
naissance,naissance,22
",",",",p
le,le,71
point,point,21
de,de,81
la,le,71
terre,terre,22
où,où,60
nous,nous,51
paraissons,paraître,17
",",",",p
le,le,71
premier,premier,72
geste,geste,21
",",",",p
le,le,71
nom,nom,21
",",",",p
la,le,71
chambre,chambre,22
",",",",p
-,-,p
et,et,82
toutes,tout,75
ces,ce,74
consécrations,consécration,22
",",",",p
et,et,82
tous,tout,75
ces,ce,74
rites,rite,21
qu',que,52
on,on,51
nous,nous,51
impose,imposer,17
",",",",p
tout,tout,75
cela,cela,52
établit,établir,17
une,un,71
série,série,22
heureuse,heureux,30
ou,ou,82
fatale,fatal,30
d',de,81
où,où,60
l',le,71
avenir,avenir,21
dépend,dépendre,17
tout,tout,52
