11958
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingtième extrait>,<>,<>
l',le,71
ivresse,ivresse,22
de,de,81
la,le,71
veille,veille,22
avait,avoir,18
jeté,jeter,12
entre,entre,81
lui,lui,51
et,et,82
sa,son,73
mémoire,mémoire,22
/.,/.,P
“,“,p
oh,oh,93
/!,/!,P
oh,oh,93
!,!,p
dit,dire,19
il,il,51
d',de,81
une,un,71
voix,voix,22
rauque,rauque,30
",",",",p
serait,être,16
ce,ce,52
la,le,71
suite,suite,22
de,de,81
la,le,71
plaisanterie,plaisanterie,22
dont,dont,52
vous,vous,51
parliez,parler,18
hier,hier,60
",",",",p
Danglars,Danglars,20
/?,/?,P
en,en,81
ce,ce,74
cas,cas,21
",",",",p
malheur,malheur,21
à,à,81
celui,celui,52
qui,qui,52
l',le,52
aurait,avoir,16
faite,faire,12
",",",",p
car,car,82
elle,il,51
est,être,17
bien,bien,60
triste,triste,30
/.,/.,P
-,-,p
pas,pas,60
du,de,81
du,le,71
tout,tout,21
!,!,p
s',se,51
écria,écrier,19
Danglars,Danglars,20
",",",",p
tu,tu,51
sais,savoir,17
bien,bien,60
",",",",p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
que,que,83
j',je,51
ai,avoir,17
déchiré,déchirer,12
le,le,71
papier,papier,21
/.,/.,P
-,-,p
tu,tu,51
ne,ne,60
l',le,52
as,avoir,17
pas,pas,60
déchiré,déchirer,12
",",",",p
dit,dire,19
Caderousse,Caderousse,20
;,;,p
tu,tu,51
l',le,52
as,avoir,17
jeté,jeter,12
dans,dans,81
un,un,71
coin,coin,21
",",",",p
voilà,voilà,81
tout,tout,52
/.,/.,P
-,-,p
tais,taire,17
toi,toi,51
",",",",p
tu,tu,51
n',ne,60
as,avoir,17
rien,rien,52
vu,voir,12
",",",",p
tu,tu,51
étais,être,18
ivre,ivre,30
/.,/.,P
-,-,p
où,où,60
est,être,17
Fernand,Fernand,20
?,?,p
demanda,demander,19
Caderousse,Caderousse,20
/.,/.,P
-,-,p
le,le,52
sais,savoir,17
je,je,51
",",",",p
moi,moi,51
!,!,p
répondit,répondre,19
Danglars,Danglars,20
",",",",p
à,à,81
ses,son,73
affaires,affaire,22
probablement,probablement,60
:,:,p
mais,mais,82
",",",",p
au,à,81
au,le,71
lieu,lieu,21
de,de,81
nous,nous,51
occuper,occuper,14
de,de,81
cela,cela,52
",",",",p
allons,aller,17
donc,donc,82
porter,porter,14
du,de,81
du,le,71
secours,secours,21
à,à,81
ces,ce,74
pauvres,pauvre,21
affligés,affligé,31
/.,/.,P
“,“,p
en,en,81
effet,effet,21
",",",",p
pendant,pendant,81
cette,ce,74
conversation,conversation,22
",",",",p
Dantès,Dantès,20
avait,avoir,18
",",",",p
en,en,81
souriant,sourire,13
",",",",p
serré,serrer,12
la,le,71
main,main,22
à,à,81
tous,tout,75
ses,son,73
amis,ami,21
",",",",p
et,et,82
s',se,51
était,être,18
constitué,constituer,12
prisonnier,prisonnier,21
en,en,81
disant,dire,13
:,:,p
“,“,p
soyez,être,17
tranquilles,tranquille,30
",",",",p
l',le,71
erreur,erreur,22
va,aller,17
s',se,51
expliquer,expliquer,14
",",",",p
et,et,82
probablement,probablement,60
que,que,83
je,je,51
n',ne,60
irai,aller,15
même,même,60
pas,pas,60
jusqu',jusque,81
à,à,81
la,le,71
prison,prison,22
/.,/.,P
-,-,p
oh,oh,93
!,!,p
bien,bien,60
certainement,certainement,60
",",",",p
j',je,51
en,en,52
répondrais,répondre,16
“,“,p
",",",",p
dit,dire,19
Danglars,Danglars,20
qui,qui,52
en,en,81
ce,ce,74
moment,moment,21
s',se,51
approchait,approcher,18
",",",",p
comme,comme,83
nous,nous,51
l',le,52
avons,avoir,17
dit,dire,12
",",",",p
du,de,81
du,le,71
groupe,groupe,21
principal,principal,30
/.,/.,P
Dantès,Dantès,20
descendit,descendre,19
l',le,71
escalier,escalier,21
",",",",p
précédé,précédé,31
du,de,81
du,le,71
commissaire,commissaire,21
de,de,81
police,police,22
et,et,82
entouré,entouré,31
par,par,81
les,le,71
soldats,soldat,21
/.,/.,P
une,un,71
voiture,voiture,22
",",",",p
dont,dont,52
la,le,71
portière,portière,22
était,être,18
tout,tout,60
ouverte,ouvrir,12
",",",",p
attendait,attendre,18
à,à,81
la,le,71
porte,porte,22
",",",",p
il,il,51
y,y,52
monta,monter,19
",",",",p
deux,deux,72
soldats,soldat,21
et,et,82
le,le,71
commissaire,commissaire,21
montèrent,monter,19
après,après,81
lui,lui,51
;,;,p
la,le,71
portière,portière,22
se,se,51
referma,refermer,19
",",",",p
et,et,82
la,le,71
voiture,voiture,22
reprit,reprendre,19
le,le,71
chemin,chemin,21
de,de,81
Marseille,Marseille,20
/.,/.,P
“,“,p
adieu,adieu,21
",",",",p
Dantès,Dantès,20
!,!,p
adieu,adieu,21
",",",",p
Edmond,Edmond,20
!,!,p
s',se,51
écria,écrier,19
Mercédès,Mercédès,20
en,en,81
s',se,51
élançant,élancer,13
sur,sur,81
la,le,71
balustrade,balustrade,22
/.,/.,P
le,le,71
prisonnier,prisonnier,21
entendit,entendre,19
ce,ce,74
dernier,dernier,30
cri,cri,21
",",",",p
sorti,sorti,31
comme,comme,83
un,un,71
sanglot,sanglot,21
du,de,81
du,le,71
coeur,coeur,21
déchiré,déchiré,31
de,de,81
sa,son,73
fiancée,fiancée,22
;,;,p
il,il,51
passa,passer,19
la,le,71
tête,tête,22
par,par,81
la,le,71
portière,portière,22
",",",",p
cria,crier,19
:,:,p
“,“,p
au revoir,au revoir,21
",",",",p
Mercédès,Mercédès,20
!,!,p
et,et,82
disparut,disparaître,19
à,à,81
l',le,71
un,un,52
des,de,81
des,le,71
angles,angle,21
du,de,81
du,le,71
fort,fort,21
Saint,Saint,20
Nicolas,Nicolas,20
/.,/.,P
“,“,p
attendez,attendre,17
moi,moi,51
ici,ici,60
",",",",p
dit,dire,19
l',le,71
armateur,armateur,21
",",",",p
je,je,51
prends,prendre,17
la,le,71
première,premier,72
voiture,voiture,22
que,que,52
je,je,51
rencontre,rencontrer,17
",",",",p
je,je,51
cours,courir,17
à,à,81
Marseille,Marseille,20
",",",",p
et,et,82
je,je,51
vous,vous,51
rapporte,rapporter,17
des,de,81
des,le,71
nouvelles,nouvelle,22
/.,/.,P
-,-,p
allez,aller,17
!,!,p
crièrent,crier,19
toutes,tout,75
les,le,71
voix,voix,22
",",",",p
allez,aller,17
!,!,p
et,et,82
revenez,revenir,17
bien,bien,60
vite,vite,60
/!,/!,P
il,il,51
y,y,52
eut,avoir,19
",",",",p
après,après,81
ce,ce,74
double,double,30
départ,départ,21
",",",",p
un,un,71
moment,moment,21
de,de,81
stupeur,stupeur,22
terrible,terrible,30
parmi,parmi,81
tous,tout,75
ceux,celui,52
qui,qui,52
étaient,être,18
restés,rester,12
/.,/.,P
le,le,71
vieillard,vieillard,21
et,et,82
Mercédès,Mercédès,20
restèrent,rester,19
quelque,quelque,75
temps,temps,21
isolés,isolé,31
",",",",p
chacun,chacun,52
dans,dans,81
sa,son,73
propre,propre,30
douleur,douleur,22
;,;,p
mais,mais,82
enfin,enfin,60
leurs,leur,73
yeux,oeil,21
se,se,51
rencontrèrent,rencontrer,19
;,;,p
ils,ils,51
se,se,51
reconnurent,reconnaître,19
comme,comme,83
deux,deux,72
victimes,victime,22
frappées,frappé,31
du,de,81
du,le,71
même,même,75
coup,coup,21
",",",",p
et,et,82
se,se,51
jetèrent,jeter,19
dans,dans,81
les,le,71
bras,bras,21
l',le,71
un,un,52
de,de,81
l',le,71
autre,autre,52
/.,/.,P
pendant,pendant,81
ce,ce,74
temps,temps,21
",",",",p
Fernand,Fernand,20
rentra,rentrer,19
",",",",p
se,se,51
versa,verser,19
un,un,71
verre,verre,21
d',de,81
eau,eau,22
qu',que,52
il,il,51
but,boire,19
",",",",p
et,et,82
alla,aller,19
s',se,51
asseoir,asseoir,14
sur,sur,81
une,un,71
chaise,chaise,22
/.,/.,P
le,le,71
hasard,hasard,21
fit,faire,19
que,que,83
ce,ce,52
fut,être,19
sur,sur,81
une,un,71
chaise,chaise,22
voisine,voisin,30
que,que,52
vint,venir,19
tomber,tomber,14
Mercédès,Mercédès,20
en,en,81
sortant,sortir,13
des,de,81
des,le,71
bras,bras,21
du,de,81
du,le,71
vieillard,vieillard,21
/.,/.,P
Fernand,Fernand,20
",",",",p
par,par,81
un,un,71
mouvement,mouvement,21
instinctif,instinctif,30
",",",",p
recula,reculer,19
sa,son,73
chaise,chaise,22
/.,/.,P
“,“,p
c',ce,52
est,être,17
lui,lui,51
",",",",p
dit,dire,19
à,à,81
Danglars,Danglars,20
Caderousse,Caderousse,20
",",",",p
qui,qui,52
n',ne,60
avait,avoir,18
pas,pas,60
perdu,perdre,12
de,de,81
vue,vue,22
le,le,71
Catalan,Catalan,20
/.,/.,P
-,-,p
je,je,51
ne,ne,60
crois,croire,17
pas,pas,60
",",",",p
répondit,répondre,19
Danglars,Danglars,20
",",",",p
il,il,51
était,être,18
trop,trop,60
bête,bête,30
;,;,p
en,en,81
tout,tout,75
cas,cas,21
",",",",p
que,que,52
le,le,71
coup,coup,21
retombe,retomber,17
sur,sur,81
celui,celui,52
qui,qui,52
l',le,52
a,avoir,17
fait,faire,12
/.,/.,P
-,-,p
tu,tu,51
ne,ne,60
me,je,51
parles,parler,17
pas,pas,60
de,de,81
celui,celui,52
qui,qui,52
l',le,52
a,avoir,17
conseillé,conseiller,12
",",",",p
dit,dire,19
Caderousse,Caderousse,20
/.,/.,P
-,-,p
ah,ah,93
!,!,p
ma,mon,73
foi,foi,22
",",",",p
dit,dire,19
Danglars,Danglars,20
",",",",p
si,si,83
l',l',94
on,on,51
était,être,18
responsable,responsable,30
de,de,81
tout,tout,52
ce,ce,52
que,que,52
l',l',94
on,on,51
dit,dire,17
en,en,81
l',le,71
air,air,21
/!,/!,P
oui,oui,60
",",",",p
lorsque,lorsque,83
ce,ce,52
que,que,52
l',l',94
on,on,51
dit,dire,17
en,en,81
l',le,71
air,air,21
retombe,retomber,17
par,par,81
la,le,71
pointe,pointe,22
/.,/.,P
“,“,p
pendant,pendant,81
ce,ce,74
temps,temps,21
",",",",p
les,le,71
groupes,groupe,21
commentaient,commenter,18
l',le,71
arrestation,arrestation,22
de,de,81
toutes,tout,75
les,le,71
manières,manière,22
/.,/.,P
“,“,p
et,et,82
vous,vous,51
",",",",p
Danglars,Danglars,20
",",",",p
dit,dire,19
une,un,71
voix,voix,22
",",",",p
que,que,52
pensez,penser,17
vous,vous,51
de,de,81
cet,ce,74
événement,événement,21
/?,/?,P
moi,moi,51
",",",",p
dit,dire,19
Danglars,Danglars,20
",",",",p
je,je,51
crois,croire,17
qu',que,83
il,il,51
aura,avoir,15
rapporté,rapporter,12
quelques,quelque,75
ballots,ballot,21
de,de,81
marchandises,marchandise,22
prohibées,prohibé,31
/.,/.,P
-,-,p
mais,mais,82
si,si,83
c',ce,52
était,être,18
cela,cela,52
",",",",p
vous,vous,51
devriez,devoir,16
le,le,52
savoir,savoir,14
",",",",p
Danglars,Danglars,20
",",",",p
vous,vous,51
qui,qui,52
étiez,être,18
agent,agent,21
comptable,comptable,30
/.,/.,P
-,-,p
oui,oui,60
",",",",p
c',ce,52
est,être,17
vrai,vrai,30
;,;,p
mais,mais,82
l',le,71
agent,agent,21
comptable,comptable,30
ne,ne,60
connaît,connaître,17
que,que,83
les,le,71
colis,colis,21
qu',que,52
on,on,51
lui,lui,51
déclare,déclarer,17
:,:,p
je,je,51
sais,savoir,17
que,que,83
nous,nous,51
sommes,être,17
chargés,charger,12
de,de,81
coton,coton,21
",",",",p
voilà,voilà,81
tout,tout,52
;,;,p
que,que,83
nous,nous,51
avons,avoir,17
pris,prendre,12
le,le,71
chargement,chargement,21
à,à,81
Alexandrie,Alexandrie,20
",",",",p
chez,chez,81
monsieur,monsieur,21
Pastret,Pastret,20
",",",",p
et,et,82
à,à,81
Smyrne,Smyrne,20
",",",",p
chez,chez,81
monsieur,monsieur,21
Pascal,Pascal,20
;,;,p
ne,ne,60
m',je,51
en,en,52
demandez,demander,17
pas,pas,60
davantage,davantage,60
/.,/.,P
-,-,p
oh,oh,93
!,!,p
je,je,51
me,je,51
rappelle,rappeler,17
maintenant,maintenant,60
",",",",p
murmura,murmurer,19
le,le,71
pauvre,pauvre,30
père,père,21
",",",",p
se,se,51
rattachant,rattacher,13
à,à,81
ce,ce,74
débris,débris,21
",",",",p
qu',que,83
il,il,51
m',je,51
a,avoir,17
dit,dire,12
hier,hier,60
qu',que,83
il,il,51
avait,avoir,18
pour,pour,81
moi,moi,51
une,un,71
caisse,caisse,22
de,de,81
café,café,21
et,et,82
une,un,71
caisse,caisse,22
de,de,81
tabac,tabac,21
/.,/.,P
-,-,p
voyez,voir,17
vous,vous,51
",",",",p
dit,dire,19
Danglars,Danglars,20
",",",",p
c',ce,52
est,être,17
cela,cela,52
:,:,p
en,en,81
notre,notre,73
absence,absence,22
",",",",p
la,le,71
douane,douane,22
aura,avoir,15
fait,faire,12
une,un,71
visite,visite,22
à,à,81
bord,bord,21
du,de,81
du,le,71
Pharaon,Pharaon,20
",",",",p
et,et,82
elle,il,51
aura,avoir,15
découvert,découvrir,12
le,le,71
pot,pot,21
aux,à,81
aux,le,71
roses,rose,22
/.,/.,P
“,“,p
Mercédès,Mercédès,20
ne,ne,60
croyait,croire,18
point,point,60
à,à,81
tout,tout,75
cela,cela,52
;,;,p
car,car,82
",",",",p
comprimée,comprimé,31
jusqu',jusque,81
à,à,81
ce,ce,74
moment,moment,21
",",",",p
sa,son,73
douleur,douleur,22
éclata,éclater,19
tout,tout,60
à,à,81
coup,coup,21
en,en,81
sanglots,sanglot,21
/.,/.,P
“,“,p
allons,aller,17
",",",",p
allons,aller,17
",",",",p
espoir,espoir,21
!,!,p
dit,dire,19
",",",",p
sans,sans,81
trop,trop,60
savoir,savoir,14
ce,ce,52
qu',que,52
il,il,51
disait,dire,18
",",",",p
le,le,71
père,père,21
Dantès,Dantès,20
/.,/.,P
-,-,p
espoir,espoir,21
!,!,p
répéta,répéter,19
Danglars,Danglars,20
/.,/.,P
-,-,p
espoir,espoir,21
“,“,p
",",",",p
essaya,essayer,19
de,de,81
murmurer,murmurer,14
Fernand,Fernand,20
/.,/.,P
mais,mais,82
ce,ce,74
mot,mot,21
l',le,52
étouffait,étouffer,18
;,;,p
ses,son,73
lèvres,lèvre,22
s',se,51
agitèrent,agiter,19
",",",",p
aucun,aucun,75
son,son,21
ne,ne,60
sortit,sortir,19
de,de,81
sa,son,73
bouche,bouche,22
/.,/.,P
“,“,p
messieurs,monsieur,21
",",",",p
cria,crier,19
un,un,52
des,de,81
des,le,71
convives,convive,21
resté,resté,31
en,en,81
vedette,vedette,22
sur,sur,81
la,le,71
balustrade,balustrade,22
;,;,p
messieurs,monsieur,21
",",",",p
une,un,71
voiture,voiture,22
/!,/!,P
ah,ah,93
!,!,p
c',ce,52
est,être,17
monsieur,monsieur,21
Morrel,Morrel,20
!,!,p
courage,courage,21
",",",",p
courage,courage,21
!,!,p
sans,sans,81
doute,doute,21
qu',que,83
il,il,51
nous,nous,51
apporte,apporter,17
de,de,81
bonnes,bon,30
nouvelles,nouvelle,22
/.,/.,P
“,“,p
Mercédès,Mercédès,20
et,et,82
le,le,71
vieux,vieux,30
père,père,21
coururent,courir,19
au-devant,au-devant,60
de,de,81
l',le,71
armateur,armateur,21
",",",",p
qu',que,52
ils,ils,51
rencontrèrent,rencontrer,19
à,à,81
la,le,71
porte,porte,22
.,.,p
monsieur,monsieur,21
Morrel,Morrel,20
était,être,18
fort,fort,60
pâle,pâle,30
/.,/.,P
“,“,p
eh,eh,93
bien,bien,60
?,?,p
s',se,51
écrièrent,écrier,19
ils,ils,51
d',de,81
une,un,71
même,même,75
voix,voix,22
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
mes,mon,73
amis,ami,21
!,!,p
répondit,répondre,19
l',le,71
armateur,armateur,21
en,en,81
secouant,secouer,13
la,le,71
tête,tête,22
",",",",p
la,le,71
chose,chose,22
est,être,17
plus,plus,60
grave,grave,30
que,que,83
nous,nous,51
ne,ne,60
le,le,52
pensions,penser,17
/.,/.,P
-,-,p
oh,oh,93
!,!,p
monsieur,monsieur,21
",",",",p
s',se,51
écria,écrier,19
Mercédès,Mercédès,20
",",",",p
il,il,51
est,être,17
innocent,innocent,30
/!,/!,P
je,je,51
le,le,52
crois,croire,17
",",",",p
répondit,répondre,19
monsieur,monsieur,21
",",",",p
Morrel,Morrel,20
",",",",p
mais,mais,82
on,on,51
l',le,52
accuse,accuser,17
/…,/…,P
-,-,p
de,de,81
quoi,quoi,52
donc,donc,82
?,?,p
demanda,demander,19
le,le,71
vieux,vieux,30
Dantès,Dantès,20
/.,/.,P
-,-,p
d',de,81
être,être,14
un,un,71
agent,agent,21
bonapartiste,bonapartiste,30
/.,/.,P
“,“,p
ceux,celui,52
de,de,81
mes,mon,73
lecteurs,lecteur,21
qui,qui,52
ont,avoir,17
vécu,vivre,12
dans,dans,81
l',le,71
époque,époque,22
où,où,60
se,se,51
passe,passer,17
cette,ce,74
histoire,histoire,22
se,se,51
rappelleront,rappeler,15
quelle,quel,75
terrible,terrible,30
accusation,accusation,22
c',ce,52
était,être,18
alors,alors,60
",",",",p
que,que,52
celle,celui,52
que,que,52
venait,venir,18
de,de,81
formuler,formuler,14
monsieur,monsieur,21
Morrel,Morrel,20
/.,/.,P
Mercédès,Mercédès,20
poussa,pousser,19
un,un,71
cri,cri,21
;,;,p
le,le,71
vieillard,vieillard,21
se,se,51
laissa,laisser,19
tomber,tomber,14
sur,sur,81
une,un,71
chaise,chaise,22
/.,/.,P
“,“,p
ah,ah,93
!,!,p
murmura,murmurer,19
Caderousse,Caderousse,20
",",",",p
vous,vous,51
m',je,51
avez,avoir,17
trompé,tromper,12
",",",",p
Danglars,Danglars,20
",",",",p
et,et,82
la,le,71
plaisanterie,plaisanterie,22
a,avoir,17
été,être,12
faite,faire,12
;,;,p
mais,mais,82
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
laisser,laisser,14
mourir,mourir,14
de,de,81
douleur,douleur,22
ce,ce,74
vieillard,vieillard,21
et,et,82
cette,ce,74
jeune,jeune,30
fille,fille,22
",",",",p
et,et,82
je,je,51
vais,aller,17
tout,tout,52
leur,leur,52
dire,dire,14
/.,/.,P
-,-,p
tais,taire,17
toi,toi,51
",",",",p
malheureux,malheureux,30
!,!,p
s',se,51
écria,écrier,19
Danglars,Danglars,20
en,en,81
saisissant,saisir,13
la,le,71
main,main,22
de,de,81
Caderousse,Caderousse,20
",",",",p
ou,ou,82
je,je,51
ne,ne,60
réponds,répondre,17
pas,pas,60
de,de,81
toi-même,toi-même,51
;,;,p
qui,qui,52
te,tu,51
dit,dire,17
que,que,83
Dantès,Dantès,20
n',ne,60
est,être,17
pas,pas,60
véritablement,véritablement,60
coupable,coupable,30
/?,/?,P
le,le,71
bâtiment,bâtiment,21
a,avoir,17
touché,toucher,12
l',le,71
île,île,22
d',de,81
Elbe,Elbe,20
",",",",p
il,il,51
y,y,52
est,être,17
dendroïde,dendroïde,21
",",",",p
il,il,51
est,être,17
resté,rester,12
tout,tout,75
un,un,71
jour,jour,21
à,à,81
Porto Ferrajo,Porto Ferrajo,20
;,;,p
si,si,83
l',l',94
on,on,51
trouvait,trouver,18
sur,sur,81
lui,lui,51
quelque,quelque,75
lettre,lettre,22
qui,qui,52
le,le,52
compromette,compromettre,17
",",",",p
ceux,celui,52
qui,qui,52
l',le,52
auraient,avoir,16
soutenu,soutenir,12
passeraient,passer,16
pour,pour,81
ses,son,73
complices,complice,21
/.,/.,P
“,“,p
Caderousse,Caderousse,20
",",",",p
avec,avec,81
l',le,71
instinct,instinct,21
rapide,rapide,30
de,de,81
l',le,71
égoïsme,égoïsme,21
",",",",p
comprit,comprendre,19
toute,tout,75
la,le,71
solidité,solidité,22
de,de,81
ce,ce,74
raisonnement,raisonnement,21
;,;,p
il,il,51
regarda,regarder,19
Danglars,Danglars,20
avec,avec,81
des,de,81
des,le,71
yeux,oeil,21
hébétés,hébété,30
par,par,81
la,le,71
crainte,crainte,22
et,et,82
la,le,71
douleur,douleur,22
",",",",p
et,et,82
",",",",p
pour,pour,81
un,un,71
pas,pas,21
qu',que,83
il,il,51
avait,avoir,18
fait,faire,12
en,en,81
avant,avant,21
",",",",p
il,il,51
en,en,52
fit,faire,19
deux,deux,72
en,en,81
arrière,arrière,21
/.,/.,P
“,“,p
attendons,attendre,17
",",",",p
alors,alors,60
",",",",p
murmura,murmurer,19
t,t,94
il,il,51
/.,/.,P
-,-,p
oui,oui,60
",",",",p
attendons,attendre,17
",",",",p
dit,dire,19
Danglars,Danglars,20
;,;,p
s',si,83
il,il,51
est,être,17
innocent,innocent,30
",",",",p
on,on,51
le,le,52
mettra,mettre,15
en,en,81
liberté,liberté,22
;,;,p
s',si,83
il,il,51
est,être,17
coupable,coupable,30
",",",",p
il,il,51
est,être,17
inutile,inutile,30
de,de,81
se,se,51
compromettre,compromettre,14
pour,pour,81
un,un,71
conspirateur,conspirateur,21
/.,/.,P
-,-,p
alors,alors,60
",",",",p
partons,partir,17
",",",",p
je,je,51
ne,ne,60
puis,pouvoir,17
rester,rester,14
plus,plus,60
longtemps,longtemps,60
ici,ici,60
/.,/.,P
-,-,p
oui,oui,60
",",",",p
viens,venir,17
",",",",p
dit,dire,19
Danglars,Danglars,20
enchanté,enchanté,31
de,de,81
trouver,trouver,14
un,un,71
compagnon,compagnon,21
de,de,81
retraite,retraite,22
",",",",p
viens,venir,17
",",",",p
et,et,82
laissons,laisser,17
les,le,52
se,se,51
retirer,retirer,14
de,de,81
là,là,60
comme,comme,83
ils,ils,51
pourront,pouvoir,15
/.,/.,P
“,“,p
ils,ils,51
partirent,partir,19
:,:,p
Fernand,Fernand,20
",",",",p
redevenu,redevenu,31
l',le,71
appui,appui,21
de,de,81
la,le,71
jeune,jeune,30
fille,fille,22
",",",",p
prit,prendre,19
Mercédès,Mercédès,20
par,par,81
la,le,71
main,main,22
et,et,82
la,le,52
ramena,ramener,19
aux,à,81
aux,le,71
Catalans,Catalan,20
/.,/.,P
les,le,71
amis,ami,21
de,de,81
Dantès,Dantès,20
ramenèrent,ramener,19
",",",",p
de,de,81
leur,leur,73
côté,côté,21
",",",",p
aux,à,81
aux,le,71
allées,allée,22
de,de,81
Meilhan,Meilhan,20
",",",",p
ce,ce,74
vieillard,vieillard,21
presque,presque,60
évanoui,évanoui,31
/.,/.,P
bientôt,bientôt,60
cette,ce,74
rumeur,rumeur,22
",",",",p
que,que,52
Dantès,Dantès,20
venait,venir,18
d',de,81
être,être,14
arrêté,arrêter,12
comme,comme,83
agent,agent,21
bonapartiste,bonapartiste,30
",",",",p
se,se,51
répandit,répandre,19
par,par,81
toute,tout,75
la,le,71
ville,ville,22
/.,/.,P
“,“,p
eussiez,avoir,18
vous,vous,51
cru,croire,12
cela,cela,52
",",",",p
mon,mon,73
cher,cher,30
Danglars,Danglars,20
?,?,p
dit,dire,19
monsieur,monsieur,21
Morrel,Morrel,20
en,en,81
rejoignant,rejoindre,13
son,son,73
agent,agent,21
comptable,comptable,30
et,et,82
Caderousse,Caderousse,20
",",",",p
car,car,82
il,il,51
regagnait,regagner,18
lui-même,lui-même,51
la,le,71
ville,ville,22
en,en,81
toute,tout,75
hâte,hâte,22
pour,pour,81
avoir,avoir,14
quelque,quelque,75
nouvelle,nouvelle,22
directe,direct,30
d',de,81
Edmond,Edmond,20
par,par,81
le,le,71
substitut,substitut,21
du,de,81
du,le,71
procureur,procureur,21
du,de,81
du,le,71
roi,roi,21
",",",",p
monsieur,monsieur,21
de,de,81
Villefort,Villefort,20
",",",",p
qu',que,52
il,il,51
connaissait,connaître,18
un,un,71
peu,peu,60
;,;,p
auriez,avoir,16
vous,vous,51
cru,croire,12
cela,cela,52
/?,/?,P
dame,dame,22
",",",",p
monsieur,monsieur,21
!,!,p
répondu,répondu,31
Danglars,Danglars,20
",",",",p
je,je,51
vous,vous,51
avais,avoir,18
dit,dire,12
que,que,83
Dantès,Dantès,20
",",",",p
sans,sans,81
aucun,aucun,75
motif,motif,21
",",",",p
avait,avoir,18
relâché,relâcher,12
à,à,81
l',le,71
île,île,22
d',de,81
Elbe,Elbe,20
",",",",p
et,et,82
cette,ce,74
relâche,relâche,22
",",",",p
vous,vous,51
le,le,52
savez,savoir,17
",",",",p
m',je,51
avait,avoir,18
paru,paraître,12
suspecte,suspect,30
/.,/.,P
-,-,p
mais,mais,82
aviez,avoir,18
vous,vous,51
fait,faire,12
part,part,22
de,de,81
vos,votre,73
soupçons,soupçon,21
à,à,81
d',de,81
autres,autre,52
que,que,83
moi,moi,51
/?,/?,P
je,je,51
m',je,51
en,en,52
serais,être,16
bien,bien,60
gardé,garder,12
",",",",p
monsieur,monsieur,21
",",",",p
ajouta,ajouter,19
tout,tout,60
bas,bas,30
Danglars,Danglars,20
;,;,p
vous,vous,51
savez,savoir,17
bien,bien,60
qu',que,83
à,à,81
cause,cause,22
de,de,81
votre,votre,73
oncle,oncle,21
",",",",p
monsieur,monsieur,21
Policar,Policar,20
Morrel,Morrel,20
",",",",p
qui,qui,52
a,avoir,17
servi,servir,12
sous,sous,81
l',le,71
autre,autre,52
et,et,82
qui,qui,52
ne,ne,60
cache,cacher,17
pas,pas,60
sa,son,73
pensée,pensée,22
",",",",p
on,on,51
vous,vous,51
soupçonne,soupçonner,17
de,de,81
regretter,regretter,14
Napoléon,Napoléon,20
;,;,p
j',je,51
aurais,avoir,16
eu,avoir,12
peur,peur,22
de,de,81
faire,faire,14
tort,tort,21
à,à,81
Edmond,Edmond,20
et,et,82
ensuite,ensuite,60
à,à,81
vous,vous,51
;,;,p
il,il,51
y,y,52
a,avoir,17
de,de,81
ces,ce,74
choses,chose,22
qu',que,52
il,il,51
est,être,17
du,de,81
du,le,71
devoir,devoir,21
d',de,81
un,un,71
subordonné,subordonné,21
de,de,81
dire,dire,14
à,à,81
son,son,73
armateur,armateur,21
et,et,82
de,de,81
cacher,cacher,14
sévèrement,sévèrement,60
aux,à,81
aux,le,71
autres,autre,52
/.,/.,P
-,-,p
bien,bien,60
",",",",p
Danglars,Danglars,20
",",",",p
bien,bien,60
",",",",p
dit,dire,19
l',le,71
armateur,armateur,21
",",",",p
vous,vous,51
êtes,être,17
un,un,71
brave,brave,30
garçon,garçon,21
;,;,p
aussi,aussi,60
j',je,51
avais,avoir,18
d',de,81
avance,avance,22
pensé,penser,12
à,à,81
vous,vous,51
",",",",p
dans,dans,81
le,le,71
cas,cas,21
où,où,60
ce,ce,74
pauvre,pauvre,30
Dantès,Dantès,20
fût,être,19
devenu,devenir,12
le,le,71
capitaine,capitaine,21
du,de,81
du,le,71
Pharaon,Pharaon,20
/.,/.,P
-,-,p
comment,comment,60
cela,cela,52
",",",",p
monsieur,monsieur,21
/?,/?,P
oui,oui,60
",",",",p
j',je,51
avais,avoir,18
demandé,demander,12
à,à,81
Dantès,Dantès,20
ce,ce,52
qu',que,52
il,il,51
pensait,penser,18
de,de,81
vous,vous,51
",",",",p
et,et,82
s',si,83
il,il,51
aurait,avoir,16
quelque,quelque,75
répugnance,répugnance,22
à,à,81
vous,vous,51
garder,garder,14
à,à,81
votre,votre,73
poste,poste,21
;,;,p
car,car,82
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
pourquoi,pourquoi,60
",",",",p
j',je,51
avais,avoir,18
cru,croire,12
remarquer,remarquer,14
qu',que,83
il,il,51
y,y,52
avait,avoir,18
du,de,81
du,le,71
froid,froid,21
entre,entre,81
vous,vous,51
/.,/.,P
-,-,p
et,et,82
que,que,52
vous,vous,51
