11703
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-sixième extrait>,<>,<>
opinèrent,opiner,19
du,de,81
du,le,71
bonnet,bonnet,21
",",",",p
ils,ils,51
étaient,être,18
pressés,presser,12
/.,/.,P
on,on,51
voyait,voir,18
leurs,leur,73
têtes,tête,22
chaperonnées,chaperonné,31
se,se,51
découvrir,découvrir,14
l',le,71
une,un,52
après,après,81
l',le,71
autre,autre,52
dans,dans,81
l',le,71
ombre,ombre,22
à,à,81
la,le,71
question,question,22
lugubre,lugubre,30
que,que,52
leur,leur,52
adressait,adresser,18
tout,tout,60
bas,bas,30
le,le,71
président,président,21
/.,/.,P
la,le,71
pauvre,pauvre,30
accusée,accusée,22
avait,avoir,18
l',le,71
air,air,21
de,de,81
les,le,52
regarder,regarder,14
",",",",p
mais,mais,82
son,son,73
oeil,oeil,21
trouble,trouble,30
ne,ne,60
voyait,voir,18
plus,plus,60
/.,/.,P
puis,puis,60
le,le,71
greffier,greffier,21
se,se,51
mit,mettre,19
à,à,81
écrire,écrire,14
;,;,p
puis,puis,60
il,il,51
passa,passer,19
au,à,81
au,le,71
président,président,21
un,un,71
long,long,30
parchemin,parchemin,21
/.,/.,P
alors,alors,60
la,le,71
malheureuse,malheureux,30
entendit,entendre,19
le,le,71
peuple,peuple,21
se,se,51
remuer,remuer,14
",",",",p
les,le,71
piques,pique,22
s',se,51
entre-choquer,entre-choquer,14
et,et,82
une,un,71
voix,voix,22
glaciale,glacial,30
qui,qui,52
disait,dire,18
:,:,p
-,-,p
fille,fille,22
bohème,bohème,30
",",",",p
le,le,71
jour,jour,21
qu',que,52
il,il,51
plaira,plaire,15
au,à,81
au,le,71
roi,roi,21
notre,notre,73
sire,sire,21
",",",",p
à,à,81
l',le,71
heure,heure,22
de,de,81
midi,midi,21
",",",",p
vous,vous,51
serez,être,15
menée,mener,12
dans,dans,81
un,un,71
tombereau,tombereau,21
",",",",p
en,en,81
chemise,chemise,22
",",",",p
pieds,pied,21
nus,nu,30
",",",",p
la,le,71
corde,corde,22
au,à,81
au,le,71
cou,cou,21
",",",",p
devant,devant,81
le,le,71
grand,grand,30
portail,portail,21
de,de,81
Notre-Dame,Notre Dame,20
",",",",p
et,et,82
y,y,52
ferez,faire,15
amende,amende,22
honorable,honorable,30
avec,avec,81
une,un,71
torche,torche,22
de,de,81
cire,cire,22
du,de,81
du,le,71
poids,poids,21
de,de,81
deux,deux,72
livres,livre,22
à,à,81
la,le,71
main,main,22
",",",",p
et,et,82
de,de,81
là,là,60
serez,être,15
menée,mener,12
en,en,81
place,place,22
de,de,81
grève,grève,22
",",",",p
où,où,60
vous,vous,51
serez,être,15
pendue,pendre,12
et,et,82
étranglée,étrangler,12
au,à,81
au,le,71
gibet,gibet,21
de,de,81
la,le,71
ville,ville,22
;,;,p
et,et,82
cette,ce,74
votre,votre,73
chèvre,chèvre,22
pareillement,pareillement,60
;,;,p
et,et,82
paierez,payer,15
à,à,81
l',le,71
official,official,21
trois,trois,72
lions,lion,21
d',de,81
or,or,21
",",",",p
en,en,81
réparation,réparation,22
des,de,81
des,le,71
crimes,crime,21
",",",",p
par,par,81
vous,vous,51
commis,commis,31
et,et,82
par,par,81
vous,vous,51
confessés,confessé,31
",",",",p
de,de,81
sorcellerie,sorcellerie,22
",",",",p
de,de,81
magie,magie,22
",",",",p
de,de,81
luxure,luxure,22
et,et,82
de,de,81
meurtre,meurtre,21
sur,sur,81
la,le,71
personne,personne,22
du,de,81
du,le,71
sieur,sieur,21
Phoebus,Phoebus,20
de,de,81
Châteaupers,Châteaupers,20
",",",",p
dieu,dieu,21
ait,avoir,17
votre,votre,73
âme,âme,22
/!,/!,P
oh,oh,93
!,!,p
c',ce,52
est,être,17
un,un,71
rêve,rêve,21
!,!,p
murmura,murmurer,19
t,t,94
elle,il,51
",",",",p
et,et,82
elle,il,51
sentit,sentir,19
de,de,81
rudes,rude,30
mains,main,22
qui,qui,52
l',le,52
emportaient,emporter,18
/.,/.,P
<Chapitre IV>,<>,<>
lasciate,lasciate,92
ogni,ogni,92
speranzai,speranzai,92
/.,/.,P
au,à,81
au,le,71
moyen-âge,moyen-âge,21
",",",",p
quand,quand,83
un,un,71
édifice,édifice,21
était,être,18
complet,complet,30
",",",",p
il,il,51
y,y,52
en,en,52
avait,avoir,18
presque,presque,60
autant,autant,60
dans,dans,81
la,le,71
terre,terre,22
que,que,52
dehors,dehors,60
/.,/.,P
à,à,81
moins,moins,60
d',de,81
être,être,14
bâtis,bâtir,12
sur,sur,81
pilotis,pilotis,21
",",",",p
comme,comme,83
Notre-Dame,Notre Dame,20
",",",",p
un,un,71
palais,palais,21
",",",",p
une,un,71
forteresse,forteresse,22
",",",",p
une,un,71
église,église,22
avaient,avoir,18
toujours,toujours,60
un,un,71
double,double,30
fond,fond,21
/.,/.,P
dans,dans,81
les,le,71
cathédrales,cathédrale,22
",",",",p
c',ce,52
était,être,18
en,en,81
quelque,quelque,75
sorte,sorte,22
une,un,71
autre,autre,75
cathédrale,cathédrale,22
souterraine,souterrain,30
",",",",p
basse,bas,30
",",",",p
obscure,obscur,30
",",",",p
mystérieuse,mystérieux,30
",",",",p
aveugle,aveugle,30
et,et,82
muette,muet,30
",",",",p
sous,sous,81
la,le,71
nef,nef,22
supérieure,supérieur,30
qui,qui,52
regorgeait,regorger,18
de,de,81
lumière,lumière,22
et,et,82
retentissait,retentir,18
d',de,81
orgues,orgue,21
et,et,82
de,de,81
cloches,cloche,22
jour,jour,21
et,et,82
nuit,nuit,22
;,;,p
quelquefois,quelquefois,60
c',ce,52
était,être,18
un,un,71
sépulcre,sépulcre,21
/.,/.,P
dans,dans,81
les,le,71
palais,palais,21
",",",",p
dans,dans,81
les,le,71
bastilles,bastille,22
",",",",p
c',ce,52
était,être,18
une,un,71
prison,prison,22
",",",",p
quelquefois,quelquefois,60
aussi,aussi,60
un,un,71
sépulcre,sépulcre,21
",",",",p
quelquefois,quelquefois,60
les,le,52
deux,deux,72
ensemble,ensemble,60
/.,/.,P
ces,ce,74
puissantes,puissant,30
bâtisses,bâtisse,22
",",",",p
dont,dont,52
nous,nous,51
avons,avoir,17
expliqué,expliquer,12
ailleurs,ailleurs,60
le,le,71
mode,mode,21
de,de,81
formation,formation,22
et,et,82
de,de,81
végétation,végétation,22
",",",",p
n',ne,60
avaient,avoir,18
pas,pas,60
simplement,simplement,60
des,de,81
des,le,71
fondations,fondation,22
",",",",p
mais,mais,82
",",",",p
pour,pour,81
ainsi,ainsi,60
dire,dire,14
",",",",p
des,de,81
des,le,71
racines,racine,22
qui,qui,52
s',se,51
allaient,aller,18
ramifiant,ramifier,13
dans,dans,81
le,le,71
sol,sol,21
en,en,81
chambres,chambre,22
",",",",p
en,en,81
galeries,galerie,22
",",",",p
en,en,81
escaliers,escalier,21
comme,comme,83
la,le,71
construction,construction,22
d',de,81
en,en,81
haut,haut,21
/.,/.,P
ainsi,ainsi,60
",",",",p
églises,église,22
",",",",p
palais,palais,21
",",",",p
bastilles,bastille,22
avaient,avoir,18
de,de,81
la,le,71
terre,terre,22
à mi-corps,à mi-corps,60
/.,/.,P
les,le,71
caves,cave,22
d',de,81
un,un,71
édifice,édifice,21
étaient,être,18
un,un,71
autre,autre,75
édifice,édifice,21
où,où,60
l',l',94
on,on,51
descendait,descendre,18
au,à,81
au,le,71
lieu,lieu,21
de,de,81
monter,monter,14
",",",",p
et,et,82
qui,qui,52
appliquait,appliquer,18
ses,son,73
étages,étage,21
souterrains,souterrain,30
sous,sous,81
le,le,71
monceau,monceau,21
d',de,81
étages,étage,21
extérieurs,extérieur,30
du,de,81
du,le,71
monument,monument,21
",",",",p
comme,comme,83
ces,ce,74
forêts,forêt,22
et,et,82
ces,ce,74
montagnes,montagne,22
qui,qui,52
se,se,51
renversent,renverser,17
dans,dans,81
l',le,71
eau,eau,22
miroitante,miroitant,30
d',de,81
un,un,71
lac,lac,21
au-dessous,au-dessous,60
des,de,81
des,le,71
forêts,forêt,22
et,et,82
des,de,81
des,le,71
montagnes,montagne,22
du,de,81
du,le,71
bord,bord,21
/.,/.,P
à,à,81
la,le,71
bastille,bastille,22
Saint-Antoine,Saint Antoine,20
",",",",p
au,à,81
au,le,71
palais,palais,21
de,de,81
justice,justice,22
de,de,81
Paris,Paris,20
",",",",p
au,à,81
au,le,71
Louvre,Louvre,20
",",",",p
ces,ce,74
édifices,édifice,21
souterrains,souterrain,30
étaient,être,18
des,de,81
des,le,71
prisons,prison,22
/.,/.,P
les,le,71
étages,étage,21
de,de,81
ces,ce,74
prisons,prison,22
",",",",p
en,en,81
s',se,51
enfonçant,enfoncer,13
dans,dans,81
le,le,71
sol,sol,21
",",",",p
allaient,aller,18
se,se,51
rétrécissant,rétrécir,13
et,et,82
s',se,51
assombrissant,assombrir,13
/.,/.,P
c',ce,52
étaient,être,18
autant,autant,60
de,de,81
zones,zone,22
où,où,60
s',se,51
échelonnaient,échelonner,18
les,le,71
nuances,nuance,22
de,de,81
l',le,71
horreur,horreur,22
/.,/.,P
Dante,Dante,20
n',ne,60
a,avoir,17
rien,rien,52
pu,pouvoir,12
trouver,trouver,14
de,de,81
mieux,mieux,60
pour,pour,81
son,son,73
enfer,enfer,21
/.,/.,P
ces,ce,74
entonnoirs,entonnoir,21
de,de,81
cachots,cachot,21
aboutissaient,aboutir,18
d',de,81
ordinaire,ordinaire,21
à,à,81
un,un,71
cul,cul,21
de,de,81
basse-fosse,basse-fosse,22
à,à,81
fond,fond,21
de,de,81
cuve,cuve,22
où,où,60
Dante,Dante,20
a,avoir,17
mis,mettre,12
Satan,Satan,20
",",",",p
où,où,60
la,le,71
société,société,22
mettait,mettre,18
le,le,71
condamné,condamné,21
à,à,81
mort,mort,22
/.,/.,P
une,un,71
fois,fois,22
une,un,71
misérable,misérable,30
existence,existence,22
enterrée,enterré,31
là,là,60
",",",",p
adieu,adieu,21
le,le,71
jour,jour,21
",",",",p
l',le,71
air,air,21
",",",",p
la,le,71
vie,vie,22
",",",",p
ogni,ogni,92
speranza,speranza,92
/.,/.,P
elle,il,51
n',ne,60
en,en,52
sortait,sortir,18
que,que,83
pour,pour,81
le,le,71
gibet,gibet,21
ou,ou,82
le,le,71
bûcher,bûcher,21
/.,/.,P
quelquefois,quelquefois,60
elle,il,51
y,y,52
pourrissait,pourrir,18
/.,/.,P
la,le,71
justice,justice,22
humaine,humain,30
appelait,appeler,18
cela,cela,52
oublier,oublier,14
/.,/.,P
entre,entre,81
les,le,71
hommes,homme,21
et,et,82
lui,lui,51
",",",",p
le,le,71
condamné,condamné,21
sentait,sentir,18
peser,peser,14
sur,sur,81
sa,son,73
tête,tête,22
un,un,71
entassement,entassement,21
de,de,81
pierres,pierre,22
et,et,82
de,de,81
geôliers,geôlier,21
",",",",p
et,et,82
la,le,71
prison,prison,22
tout,tout,60
entière,entier,30
",",",",p
la,le,71
massive,massif,30
bastille,bastille,22
n',ne,60
était,être,18
plus,plus,60
qu',que,83
une,un,71
énorme,énorme,30
serrure,serrure,22
compliquée,compliqué,31
qui,qui,52
le,le,52
cadenassait,cadenasser,18
hors,hors,81
du,de,81
du,le,71
monde,monde,21
vivant,vivant,30
/.,/.,P
c',ce,52
est,être,17
dans,dans,81
un,un,71
fond,fond,21
de,de,81
cuve,cuve,22
de,de,81
ce,ce,74
genre,genre,21
",",",",p
dans,dans,81
les,le,71
oubliettes,oubliette,22
creusées,creusé,31
par,par,81
Saint Louis,Saint Louis,20
",",",",p
dans,dans,81
l',le,71
in-pace,in-pace,21
de,de,81
la,le,71
Tournelle,Tournelle,20
",",",",p
qu',que,83
on,on,51
avait,avoir,18
",",",",p
de,de,81
peur,peur,22
d',de,81
évasion,évasion,22
sans,sans,81
doute,doute,21
",",",",p
déposé,déposer,12
la,le,71
Esmeralda,Esmeralda,20
condamnée,condamné,31
au,à,81
au,le,71
gibet,gibet,21
",",",",p
avec,avec,81
le,le,71
colossal,colossal,30
palais,palais,21
de,de,81
justice,justice,22
sur,sur,81
la,le,71
tête,tête,22
/.,/.,P
pauvre,pauvre,30
mouche,mouche,22
qui,qui,52
n',ne,60
eût,avoir,19
pu,pouvoir,12
remuer,remuer,14
le,le,71
moindre,moindre,30
de,de,81
ses,son,73
moellons,moellon,21
/!,/!,P
certes,certes,60
",",",",p
la,le,71
providence,providence,22
et,et,82
la,le,71
société,société,22
avaient,avoir,18
été,être,12
également,également,60
injustes,injuste,30
",",",",p
un,un,71
tel,tel,75
luxe,luxe,21
de,de,81
malheur,malheur,21
et,et,82
de,de,81
torture,torture,22
n',ne,60
était,être,18
pas,pas,60
nécessaire,nécessaire,30
pour,pour,81
briser,briser,14
une,un,71
si,si,60
frêle,frêle,30
créature,créature,22
/.,/.,P
elle,il,51
était,être,18
là,là,60
",",",",p
perdue,perdre,12
dans,dans,81
les,le,71
ténèbres,ténèbre,22
",",",",p
ensevelie,ensevelir,12
",",",",p
enfouie,enfouir,12
",",",",p
murée,murer,12
/.,/.,P
qui,qui,52
l',le,52
eût,avoir,19
pu,pouvoir,12
voir,voir,14
en,en,81
cet,ce,74
état,état,21
",",",",p
après,après,81
l',le,52
avoir,avoir,14
vue,voir,12
rire,rire,14
et,et,82
danser,danser,14
au,à,81
au,le,71
soleil,soleil,21
",",",",p
eût,avoir,19
frémi,frémir,12
/.,/.,P
froide,froid,30
comme,comme,83
la,le,71
nuit,nuit,22
",",",",p
froide,froid,30
comme,comme,83
la,le,71
mort,mort,22
",",",",p
plus,plus,60
un,un,71
souffle,souffle,21
d',de,81
air,air,21
dans,dans,81
ses,son,73
cheveux,cheveu,21
",",",",p
plus,plus,60
un,un,71
bruit,bruit,21
humain,humain,30
à,à,81
son,son,73
oreille,oreille,22
",",",",p
plus,plus,60
une,un,71
lueur,lueur,22
de,de,81
jour,jour,21
dans,dans,81
ses,son,73
yeux,oeil,21
",",",",p
brisée,brisé,31
en,en,81
deux,deux,72
",",",",p
écrasée,écrasé,31
de,de,81
chaînes,chaîne,22
",",",",p
accroupie,accroupi,31
près,près,81
d',de,81
une,un,71
cruche,cruche,22
et,et,82
d',de,81
un,un,71
pain,pain,21
sur,sur,81
un,un,71
peu,peu,60
de,de,81
paille,paille,22
dans,dans,81
la,le,71
mare,mare,22
d',de,81
eau,eau,22
qui,qui,52
se,se,51
formait,former,18
sous,sous,81
elle,il,51
des,de,81
des,le,71
suintements,suintement,21
du,de,81
du,le,71
cachot,cachot,21
",",",",p
sans,sans,81
mouvement,mouvement,21
",",",",p
presque,presque,60
sans,sans,81
haleine,haleine,22
",",",",p
elle,il,51
n',ne,60
en,en,52
était,être,18
même,même,60
plus,plus,60
à,à,81
souffrir,souffrir,14
",",",",p
Phoebus,Phoebus,20
",",",",p
le,le,71
soleil,soleil,21
",",",",p
midi,midi,21
",",",",p
le,le,71
grand,grand,30
air,air,21
",",",",p
les,le,71
rues,rue,22
de,de,81
Paris,Paris,20
",",",",p
les,le,71
danses,danse,22
aux,à,81
aux,le,71
applaudissements,applaudissement,21
",",",",p
les,le,71
doux,doux,30
babillages,babillage,21
d',de,81
amour,amour,21
avec,avec,81
l',le,71
officier,officier,21
",",",",p
puis,puis,60
le,le,71
prêtre,prêtre,21
",",",",p
la,le,71
matrulle,matrulle,22
",",",",p
le,le,71
poignard,poignard,21
",",",",p
le,le,71
sang,sang,21
",",",",p
la,le,71
torture,torture,22
",",",",p
le,le,71
gibet,gibet,21
",",",",p
tout,tout,75
cela,cela,52
repassait,repasser,18
bien,bien,60
encore,encore,60
dans,dans,81
son,son,73
esprit,esprit,21
",",",",p
tantôt,tantôt,60
comme,comme,83
une,un,71
vision,vision,22
chantante,chantant,30
et,et,82
dorée,doré,31
",",",",p
tantôt,tantôt,60
comme,comme,83
un,un,71
cauchemar,cauchemar,21
difforme,difforme,30
;,;,p
mais,mais,82
ce,ce,52
n',ne,60
était,être,18
plus,plus,60
qu',que,83
une,un,71
lutte,lutte,22
horrible,horrible,30
et,et,82
vague,vague,30
qui,qui,52
se,se,51
perdait,perdre,18
dans,dans,81
les,le,71
ténèbres,ténèbre,22
",",",",p
ou,ou,82
qu',que,83
une,un,71
musique,musique,22
lointaine,lointain,30
qui,qui,52
se,se,51
jouait,jouer,18
là-haut,là-haut,60
sur,sur,81
la,le,71
terre,terre,22
",",",",p
et,et,82
qu',que,83
on,on,51
n',ne,60
entendait,entendre,18
plus,plus,60
à,à,81
la,le,71
profondeur,profondeur,22
où,où,60
la,le,71
malheureuse,malheureux,30
était,être,18
tombée,tomber,12
/.,/.,P
depuis,depuis,81
qu',que,83
elle,il,51
était,être,18
là,là,60
",",",",p
elle,il,51
ne,ne,60
veillait,veiller,18
ni,ni,82
ne,ne,60
dormait,dormir,18
/.,/.,P
dans,dans,81
cette,ce,74
infortune,infortune,22
",",",",p
dans,dans,81
ce,ce,74
cachot,cachot,21
",",",",p
elle,il,51
ne,ne,60
pouvait,pouvoir,18
pas,pas,60
plus,plus,60
distinguer,distinguer,14
la,le,71
veille,veille,22
du,de,81
du,le,71
sommeil,sommeil,21
",",",",p
le,le,71
rêve,rêve,21
de,de,81
la,le,71
réalité,réalité,22
",",",",p
que,que,83
le,le,71
jour,jour,21
de,de,81
la,le,71
nuit,nuit,22
/.,/.,P
tout,tout,75
cela,cela,52
était,être,18
mêlé,mêler,12
",",",",p
brisé,briser,12
",",",",p
flottant,flottant,30
",",",",p
répandu,répandre,12
confusément,confusément,60
dans,dans,81
sa,son,73
pensée,pensée,22
/.,/.,P
elle,il,51
ne,ne,60
sentait,sentir,18
plus,plus,60
",",",",p
elle,il,51
ne,ne,60
savait,savoir,18
plus,plus,60
",",",",p
elle,il,51
ne,ne,60
pensait,penser,18
plus,plus,60
/.,/.,P
tout,tout,60
au,à,81
au,le,71
plus,plus,60
elle,il,51
songeait,songer,18
/.,/.,P
jamais,jamais,60
créature,créature,22
vivante,vivant,30
n',ne,60
avait,avoir,18
été,être,12
engagée,engager,12
si,si,83
avant,avant,81
dans,dans,81
le,le,71
néant,néant,21
/.,/.,P
ainsi,ainsi,60
engourdie,engourdi,31
",",",",p
gelée,gelé,31
",",",",p
pétrifiée,pétrifié,31
",",",",p
à,à,81
peine,peine,22
avait,avoir,18
elle,il,51
remarqué,remarquer,12
deux,deux,72
ou,ou,82
trois,trois,72
fois,fois,22
le,le,71
bruit,bruit,21
d',de,81
une,un,71
trappe,trappe,22
qui,qui,52
s',se,51
était,être,18
ouverte,ouvrir,12
quelque,quelque,75
part,part,22
au-dessus,au-dessus,60
d',de,81
elle,il,51
",",",",p
sans,sans,81
même,même,60
laisser,laisser,14
passer,passer,14
un,un,71
peu,peu,60
de,de,81
lumière,lumière,22
",",",",p
et,et,82
par,par,81
laquelle,lequel,52
une,un,71
main,main,22
lui,lui,51
avait,avoir,18
jeté,jeter,12
une,un,71
croûte,croûte,22
de,de,81
pain,pain,21
noir,noir,30
/.,/.,P
c',ce,52
était,être,18
pourtant,pourtant,60
l',le,71
unique,unique,30
communication,communication,22
qui,qui,52
lui,lui,51
restât,rester,18
avec,avec,81
les,le,71
hommes,homme,21
",",",",p
la,le,71
visite,visite,22
périodique,périodique,30
du,de,81
du,le,71
geôlier,geôlier,21
/.,/.,P
une,un,71
seule,seul,30
chose,chose,22
occupait,occuper,18
encore,encore,60
machinalement,machinalement,60
son,son,73
oreille,oreille,22
:,:,p
au-dessus,au-dessus,60
de,de,81
sa,son,73
tête,tête,22
l',le,71
humidité,humidité,22
filtrait,filtrer,18
à,à,81
travers,travers,21
les,le,71
pierres,pierre,22
moisies,moisi,31
de,de,81
la,le,71
voûte,voûte,22
",",",",p
et,et,82
à,à,81
intervalles,intervalle,21
égaux,égal,30
une,un,71
goutte,goutte,22
d',de,81
eau,eau,22
s',se,51
en,en,52
détachait,détacher,18
/.,/.,P
elle,il,51
écoutait,écouter,18
stupidement,stupidement,60
le,le,71
bruit,bruit,21
que,que,52
faisait,faire,18
cette,ce,74
goutte,goutte,22
d',de,81
eau,eau,22
en,en,81
tombant,tomber,13
dans,dans,81
la,le,71
mare,mare,22
à,à,81
côté,côté,21
d',de,81
elle,il,51
/.,/.,P
cette,ce,74
goutte,goutte,22
d',de,81
eau,eau,22
tombant,tomber,13
dans,dans,81
cette,ce,74
mare,mare,22
",",",",p
c',ce,52
était,être,18
là,là,60
le,le,71
seul,seul,30
mouvement,mouvement,21
qui,qui,52
remuât,remuer,18
encore,encore,60
autour,autour,60
d',de,81
elle,il,51
",",",",p
la,le,71
seule,seul,30
horloge,horloge,22
qui,qui,52
marquât,marquer,18
le,le,71
temps,temps,21
",",",",p
le,le,71
seul,seul,30
bruit,bruit,21
qui,qui,52
vint,venir,19
jusqu',jusque,81
à,à,81
elle,il,51
de,de,81
tout,tout,75
le,le,71
bruit,bruit,21
qui,qui,52
se,se,51
fait,faire,17
sur,sur,81
la,le,71
surface,surface,22
de,de,81
la,le,71
terre,terre,22
/.,/.,P
pour,pour,81
tout,tout,52
dire,dire,14
",",",",p
elle,il,51
sentait,sentir,18
aussi,aussi,60
de,de,81
temps,temps,21
en,en,81
temps,temps,21
",",",",p
dans,dans,81
ce,ce,74
cloaque,cloaque,21
de,de,81
fange,fange,22
et,et,82
de,de,81
ténèbres,ténèbre,22
",",",",p
quelque,quelque,75
chose,chose,22
de,de,81
froid,froid,30
qui,qui,52
lui,lui,51
passait,passer,18
çà,çà,60
et,et,82
là,là,60
sur,sur,81
le,le,71
pied,pied,21
ou,ou,82
sur,sur,81
le,le,71
bras,bras,21
",",",",p
et,et,82
elle,il,51
frissonnait,frissonner,18
/.,/.,P
depuis,depuis,81
combien,combien,60
de,de,81
temps,temps,21
y,y,52
était,être,18
elle,il,51
",",",",p
elle,il,51
ne,ne,60
le,le,52
savait,savoir,18
/.,/.,P
elle,il,51
avait,avoir,18
souvenir,souvenir,21
d',de,81
un,un,71
arrêt,arrêt,21
de,de,81
mort,mort,22
prononcé,prononcé,31
quelque,quelque,75
part,part,22
contre,contre,81
quelqu'un,quelqu'un,52
",",",",p
puis,puis,60
qu',que,83
on,on,51
l',le,52
avait,avoir,18
emportée,emporter,12
",",",",p
elle,il,51
",",",",p
et,et,82
qu',que,83
elle,il,51
s',se,51
était,être,18
réveillée,réveiller,12
dans,dans,81
la,le,71
nuit,nuit,22
et,et,82
dans,dans,81
le,le,71
silence,silence,21
",",",",p
glacée,glacé,31
/.,/.,P
elle,il,51
s',se,51
était,être,18
traînée,traîner,12
sur,sur,81
les,le,71
mains,main,22
",",",",p
alors,alors,60
des,de,81
des,le,71
anneaux,anneau,21
de,de,81
fer,fer,21
lui,lui,51
avaient,avoir,18
coupé,couper,12
la,le,71
cheville,cheville,22
du,de,81
du,le,71
pied,pied,21
",",",",p
et,et,82
des,de,81
des,le,71
chaînes,chaîne,22
avaient,avoir,18
sonné,sonner,12
/.,/.,P
elle,il,51
avait,avoir,18
reconnu,reconnaître,12
que,que,83
tout,tout,52
était,être,18
muraille,muraille,22
autour,autour,60
d',de,81
elle,il,51
",",",",p
qu',que,83
il,il,51
y,y,52
avait,avoir,18
au-dessous,au-dessous,60
d',de,81
elle,il,51
une,un,71
dalle,dalle,22
couverte,couvert,31
d',de,81
eau,eau,22
et,et,82
une,un,71
botte,botte,22
de,de,81
paille,paille,22
/.,/.,P
mais,mais,82
ni,ni,82
lampe,lampe,22
",",",",p
ni,ni,82
soupirail,soupirail,21
/.,/.,P
alors,alors,60
",",",",p
elle,il,51
s',se,51
était,être,18
assise,asseoir,12
sur,sur,81
cette,ce,74
paille,paille,22
",",",",p
et,et,82
quelquefois,quelquefois,60
",",",",p
pour,pour,81
changer,changer,14
de,de,81
posture,posture,22
",",",",p
sur,sur,81
la,le,71
dernière,dernier,30
marche,marche,22
d',de,81
un,un,71
degré,degré,21
de,de,81
pierre,pierre,22
qu',que,52
il,il,51
y,y,52
avait,avoir,18
dans,dans,81
son,son,73
cachot,cachot,21
/.,/.,P
un,un,71
moment,moment,21
",",",",p
elle,il,51
avait,avoir,18
essayé,essayer,12
de,de,81
compter,compter,14
les,le,71
noires,noir,30
minutes,minute,22
que,que,52
lui,lui,51
mesurait,mesurer,18
la,le,71
goutte,goutte,22
d',de,81
eau,eau,22
",",",",p
mais,mais,82
bientôt,bientôt,60
ce,ce,74
triste,triste,30
travail,travail,21
d',de,81
un,un,71
cerveau,cerveau,21
malade,malade,30
s',se,51
était,être,18
rompu,rompre,12
de,de,81
lui-même,lui-même,51
dans,dans,81
sa,son,73
tête,tête,22
et,et,82
l',le,52
avait,avoir,18
laissée,laisser,12
dans,dans,81
la,le,71
stupeur,stupeur,22
/.,/.,P
un,un,71
jour,jour,21
enfin,enfin,60
ou,ou,82
une,un,71
nuit,nuit,22
(,(,p
car,car,82
minuit,minuit,21
et,et,82
midi,midi,21
avaient,avoir,18
même,même,75
couleur,couleur,22
dans,dans,81
ce,ce,74
sépulcre,sépulcre,21
),),p
",",",",p
elle,il,51
entendit,entendre,19
au-dessus,au-dessus,60
d',de,81
elle,il,51
un,un,71
bruit,bruit,21
plus,plus,60
fort,fort,30
que,que,83
celui,celui,52
que,que,52
faisait,faire,18
d',de,81
ordinaire,ordinaire,21
le,le,71
guichetier,guichetier,21
quand,quand,83
il,il,51
lui,lui,51
apportait,apporter,18
son,son,73
pain,pain,21
et,et,82
sa,son,73
cruche,cruche,22
/.,/.,P
elle,il,51
leva,lever,19
la,le,71
tête,tête,22
",",",",p
et,et,82
vit,voir,19
un,un,71
rayon,rayon,21
rougeâtre,rougeâtre,30
passer,passer,14
à,à,81
travers,travers,21
les,le,71
fentes,fente,22
de,de,81
l',le,71
espèce,espèce,22
de,de,81
porte,porte,22
ou,ou,82
de,de,81
trappe,trappe,22
pratiquée,pratiqué,31
dans,dans,81
la,le,71
voûte,voûte,22
de,de,81
l',le,71
in-pace,in-pace,21
/.,/.,P
en,en,81
même,même,75
temps,temps,21
la,le,71
lourde,lourd,30
ferrure,ferrure,22
cria,crier,19
",",",",p
la,le,71
trappe,trappe,22
grinça,grincer,19
sur,sur,81
ses,son,73
gonds,gond,21
rouillés,rouillé,31
",",",",p
tourna,tourner,19
",",",",p
et,et,82
elle,il,51
vit,voir,19
une,un,71
lanterne,lanterne,22
",",",",p
une,un,71
main,main,22
et,et,82
la,le,71
partie,partie,22
inférieure,inférieur,30
du,de,81
du,le,71
corps,corps,21
de,de,81
deux,deux,72
hommes,homme,21
",",",",p
la,le,71
porte,porte,22
étant,être,13
trop,trop,60
basse,bas,30
pour,pour,81
qu',que,83
elle,il,51
pût,pouvoir,18
apercevoir,apercevoir,14
leurs,leur,73
têtes,tête,22
/.,/.,P
la,le,71
lumière,lumière,22
la,le,52
blessa,blesser,19
si,si,60
vivement,vivement,60
qu',que,83
elle,il,51
ferma,fermer,19
les,le,71
yeux,oeil,21
/.,/.,P
quand,quand,83
elle,il,51
les,le,52
rouvrit,rouvrir,19
",",",",p
la,le,71
porte,porte,22
était,être,18
refermée,refermer,12
",",",",p
le,le,71
falot,falot,21
était,être,18
posé,poser,12
sur,sur,81
un,un,71
degré,degré,21
de,de,81
l',le,71
escalier,escalier,21
",",",",p
un,un,71
homme,homme,21
",",",",p
seul,seul,30
",",",",p
était,être,18
debout,debout,60
devant,devant,81
elle,il,51
/.,/.,P
une,un,71
cagoule,cagoule,22
noire,noir,30
lui,lui,51
tombait,tomber,18
jusqu',jusque,81
aux,à,81
aux,le,71
pieds,pied,21
",",",",p
un,un,71
caffardum,caffardum,92
de,de,81
même,même,75
couleur,couleur,22
lui,lui,51
cachait,cacher,18
le,le,71
visage,visage,21
/.,/.,P
on,on,51
ne,ne,60
voyait,voir,18
rien,rien,52
de,de,81
sa,son,73
personne,personne,22
",",",",p
ni,ni,82
sa,son,73
face,face,22
ni,ni,82
