11426
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-sixième extrait>,<>,<>
je,je,51
sais,savoir,17
bien,bien,60
que,que,83
vous,vous,51
ne,ne,60
croyez,croire,17
guère,guère,60
à,à,81
cette,ce,74
innocence,innocence,22
",",",",p
mais,mais,82
peu,peu,60
importe,importer,17
",",",",p
puisque,puisque,83
vous,vous,51
m',je,51
aimez,aimer,17
malgré,malgré,81
mes,mon,73
crimes,crime,21
/.,/.,P
eh,eh,93
bien,bien,60
!,!,p
voici,voici,81
un,un,71
crime,crime,21
véritable,véritable,30
:,:,p
j',je,51
ai,avoir,17
donné,donner,12
tous,tout,75
mes,mon,73
diamants,diamant,21
à,à,81
une,un,71
espèce,espèce,22
de,de,81
fou,fou,21
fort,fort,60
intéressant,intéressant,30
",",",",p
nommé,nommé,31
Ferrante,Ferrante,20
Palla,Palla,20
",",",",p
je,je,51
l',le,52
ai,avoir,17
même,même,60
embrassé,embrasser,12
pour,pour,81
qu',que,83
il,il,51
fît,faire,18
périr,périr,14
l',le,71
homme,homme,21
qui,qui,52
voulait,vouloir,18
faire,faire,14
empoisonner,empoisonner,14
Fabrice,Fabrice,20
/.,/.,P
où,où,60
est,être,17
le,le,71
mal,mal,21
/?,/?,P
-,-,p
ah,ah,93
!,!,p
voilà,voilà,81
donc,donc,82
où,où,60
Ferrante,Ferrante,20
avait,avoir,18
pris,prendre,12
de,de,81
l',le,71
argent,argent,21
pour,pour,81
son,son,73
émeute,émeute,22
!,!,p
dit,dire,19
le,le,71
comte,comte,21
",",",",p
un,un,71
peu,peu,60
stupéfait,stupéfait,30
;,;,p
et,et,82
vous,vous,51
me,je,51
racontez,raconter,17
tout,tout,75
cela,cela,52
dans,dans,81
la,le,71
salle,salle,22
des,de,81
des,le,71
gardes,garde,21
/!,/!,P
-,-,p
c',ce,52
est,être,17
que,que,83
je,je,51
suis,être,17
pressée,presser,12
",",",",p
et,et,82
voici,voici,81
le,le,71
Rassi,Rassi,20
sur,sur,81
les,le,71
traces,trace,22
du,de,81
du,le,71
crime,crime,21
/.,/.,P
il,il,51
est,être,17
bien,bien,60
vrai,vrai,30
que,que,83
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
parlé,parler,12
d',de,81
insurrection,insurrection,22
",",",",p
car,car,82
j',je,51
abhorre,abhorrer,17
les,le,71
jacobins,jacobin,21
/.,/.,P
réfléchissez,réfléchir,17
là-dessus,là-dessus,60
",",",",p
et,et,82
dites,dire,17
moi,moi,51
votre,votre,73
avis,avis,21
après,après,81
la,le,71
pièce,pièce,22
/.,/.,P
-,-,p
je,je,51
vous,vous,51
dirai,dire,15
tout,tout,60
de,de,81
suite,suite,22
qu',que,83
il,il,51
faut,falloir,17
inspirer,inspirer,14
de,de,81
l',le,71
amour,amour,21
au,à,81
au,le,71
prince,prince,21
/…,/…,P
mais,mais,82
en,en,81
tout,tout,75
bien,bien,21
tout,tout,75
honneur,honneur,21
",",",",p
au,à,81
au,le,71
moins,moins,60
/!,/!,P
on,on,51
appelait,appeler,18
la,le,71
duchesse,duchesse,22
pour,pour,81
son,son,73
entrée,entrée,22
en,en,81
scène,scène,22
",",",",p
elle,il,51
s',se,51
enfuit,enfuir,19
/.,/.,P
quelques,quelque,75
jours,jour,21
après,après,81
",",",",p
la,le,71
duchesse,duchesse,22
reçut,recevoir,19
par,par,81
la,le,71
poste,poste,22
une,un,71
grande,grand,30
lettre,lettre,22
ridicule,ridicule,30
",",",",p
signée,signé,31
du,de,81
du,le,71
nom,nom,21
d',de,81
une,un,71
ancienne,ancien,30
femme,femme,22
de,de,81
chambre,chambre,22
à,à,81
elle,il,51
;,;,p
cette,ce,74
femme,femme,22
demandait,demander,18
à,à,81
être,être,14
employée,employer,12
à,à,81
la,le,71
cour,cour,22
",",",",p
mais,mais,82
la,le,71
duchesse,duchesse,22
avait,avoir,18
reconnu,reconnaître,12
du,de,81
du,le,71
premier,premier,72
coup,coup,21
d',de,81
oeil,oeil,21
que,que,83
ce,ce,52
n',ne,60
était,être,18
ni,ni,82
son,son,73
écriture,écriture,22
ni,ni,82
son,son,73
style,style,21
/.,/.,P
en,en,81
ouvrant,ouvrir,13
la,le,71
feuille,feuille,22
pour,pour,81
lire,lire,14
la,le,71
seconde,second,72
page,page,22
",",",",p
la,le,71
duchesse,duchesse,22
vit,voir,19
tomber,tomber,14
à,à,81
ses,son,73
pieds,pied,21
une,un,71
petite,petit,30
image,image,22
miraculeuse,miraculeux,30
de,de,81
la,le,71
Madone,Madone,20
",",",",p
pliée,plié,31
dans,dans,81
une,un,71
feuille,feuille,22
imprimée,imprimé,31
d',de,81
un,un,71
vieux,vieux,30
livre,livre,21
/.,/.,P
après,après,81
avoir,avoir,14
jeté,jeter,12
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
sur,sur,81
l',le,71
image,image,22
",",",",p
la,le,71
duchesse,duchesse,22
lut,lire,19
quelques,quelque,75
lignes,ligne,22
de,de,81
la,le,71
vieille,vieux,30
feuille,feuille,22
imprimée,imprimé,31
/.,/.,P
ses,son,73
yeux,oeil,21
brillèrent,briller,19
",",",",p
et,et,82
elle,il,51
y,y,52
trouvait,trouver,18
ces,ce,74
mots,mot,21
:,:,p
le,le,71
tribun,tribun,21
a,avoir,17
pris,prendre,12
cent,cent,72
francs,franc,21
par,par,81
mois,mois,21
",",",",p
non,non,60
plus,plus,60
;,;,p
avec,avec,81
le,le,71
reste,reste,21
on,on,51
voulut,vouloir,19
ranimer,ranimer,14
le,le,71
feu,feu,21
sacré,sacré,31
dans,dans,81
des,de,81
des,le,71
âmes,âme,22
qui,qui,52
se,se,51
trouvèrent,trouver,19
glacées,glacé,31
par,par,81
l',le,71
égoïsme,égoïsme,21
/.,/.,P
le,le,71
renard,renard,21
est,être,17
sur,sur,81
mes,mon,73
traces,trace,22
",",",",p
c',ce,52
est,être,17
pourquoi,pourquoi,60
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
cherché,chercher,12
à,à,81
voir,voir,14
une,un,71
dernière,dernier,30
fois,fois,22
l',le,71
être,être,21
adoré,adoré,31
/.,/.,P
je,je,51
me,je,51
suis,être,17
dit,dire,12
",",",",p
elle,il,51
n',ne,60
aime,aimer,17
pas,pas,60
la,le,71
république,république,22
",",",",p
elle,il,51
qui,qui,52
m',je,51
est,être,17
supérieure,supérieur,30
par,par,81
l',le,71
esprit,esprit,21
autant,autant,60
que,que,83
par,par,81
les,le,71
grâces,grâce,22
et,et,82
la,le,71
beauté,beauté,22
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
comment,comment,60
faire,faire,14
une,un,71
république,république,22
sans,sans,81
républicains,républicain,21
/?,/?,P
est,être,17
ce,ce,52
que,que,83
je,je,51
me,je,51
tromperais,tromper,16
/?,/?,P
dans,dans,81
six,six,72
mois,mois,21
",",",",p
je,je,51
parcourrai,parcourir,15
",",",",p
le,le,71
microscope,microscope,21
à,à,81
la,le,71
main,main,22
",",",",p
et,et,82
à,à,81
pied,pied,21
",",",",p
les,le,71
petites,petit,30
villes,ville,22
d',de,81
Amérique,Amérique,20
",",",",p
je,je,51
verrai,voir,15
si,si,83
je,je,51
dois,devoir,17
encore,encore,60
aimer,aimer,14
la,le,71
seule,seul,30
rivale,rival,30
que,que,52
vous,vous,51
ayez,avoir,17
dans,dans,81
mon,mon,73
coeur,coeur,21
/.,/.,P
si,si,83
vous,vous,51
recevez,recevoir,17
cette,ce,74
lettre,lettre,22
",",",",p
madame,madame,22
la,le,71
baronne,baronne,22
",",",",p
et,et,82
qu',que,52
aucun,aucun,75
oeil,oeil,21
profane,profane,30
ne,ne,60
l',le,52
ait,avoir,17
lue,lire,12
avant,avant,81
vous,vous,51
",",",",p
faites,faire,17
briser,briser,14
un,un,52
des,de,81
des,le,71
jeunes,jeune,30
frênes,frêne,21
plantés,planté,31
à,à,81
vingt,vingt,72
pas,pas,21
de,de,81
l',le,71
endroit,endroit,21
où,où,60
j',je,51
osai,oser,19
vous,vous,51
parler,parler,14
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
/.,/.,P
alors,alors,60
je,je,51
ferai,faire,15
enterrer,enterrer,14
",",",",p
sous,sous,81
le,le,71
grand,grand,30
buis,buis,21
du,de,81
du,le,71
jardin,jardin,21
que,que,52
vous,vous,51
remarquâtes,remarquer,19
une,un,71
fois,fois,22
en,en,81
mes,mon,73
jours,jour,21
heureux,heureux,30
",",",",p
une,un,71
boîte,boîte,22
où,où,60
se,se,51
trouveront,trouver,15
de,de,81
ces,ce,74
choses,chose,22
qui,qui,52
font,faire,17
calomnier,calomnier,14
les,le,71
gens,gens,21
de,de,81
mon,mon,73
opinion,opinion,22
/.,/.,P
certes,certes,60
",",",",p
je,je,51
me,je,51
fusse,être,18
bien,bien,60
gardé,garder,12
d',de,81
écrire,écrire,14
si,si,83
le,le,71
renard,renard,21
n',ne,60
était,être,18
sur,sur,81
mes,mon,73
traces,trace,22
",",",",p
et,et,82
ne,ne,60
pouvait,pouvoir,18
arriver,arriver,14
à,à,81
cet,ce,74
être,être,21
céleste,céleste,30
;,;,p
voir,voir,14
le,le,71
buis,buis,21
dans,dans,81
quinze,quinze,72
jours,jour,21
/.,/.,P
“,“,p
puisqu',puisque,83
il,il,51
a,avoir,17
une,un,71
imprimerie,imprimerie,22
à,à,81
ses,son,73
ordres,ordre,21
",",",",p
se,se,51
dit,dire,19
la,le,71
duchesse,duchesse,22
",",",",p
bientôt,bientôt,60
nous,nous,51
aurons,avoir,15
un,un,71
recueil,recueil,21
de,de,81
sonnets,sonnet,21
",",",",p
dieu,dieu,21
sait,savoir,17
le,le,71
nom,nom,21
qu',que,52
il,il,51
m',je,51
y,y,52
donnera,donner,15
/!,/!,P
la,le,71
coquetterie,coquetterie,22
de,de,81
la,le,71
duchesse,duchesse,22
voulut,vouloir,19
faire,faire,14
un,un,71
essai,essai,21
;,;,p
pendant,pendant,81
huit,huit,72
jours,jour,21
elle,il,51
fut,être,19
indisposée,indisposer,12
",",",",p
et,et,82
la,le,71
cour,cour,22
n',ne,60
eut,avoir,19
plus,plus,60
de,de,81
jolies,joli,30
soirées,soirée,22
/.,/.,P
la,le,71
princesse,princesse,22
",",",",p
fort,fort,60
scandalisée,scandalisé,31
de,de,81
tout,tout,52
ce,ce,52
que,que,52
la,le,71
peur,peur,22
qu',que,52
elle,il,51
avait,avoir,18
de,de,81
son,son,73
fils,fils,21
l',le,52
obligeait,obliger,18
de,de,81
faire,faire,14
dès,dès,81
les,le,71
premiers,premier,72
moments,moment,21
de,de,81
son,son,73
veuvage,veuvage,21
",",",",p
alla,aller,19
passer,passer,14
ces,ce,74
huit,huit,72
jours,jour,21
dans,dans,81
un,un,71
couvent,couvent,21
attenant,attenant,30
à,à,81
l',le,71
église,église,22
où,où,60
le,le,71
feu,feu,21
prince,prince,21
était,être,18
inhumé,inhumer,12
/.,/.,P
cette,ce,74
interruption,interruption,22
des,de,81
des,le,71
soirées,soirée,22
jeta,jeter,19
sur,sur,81
les,le,71
bras,bras,21
du,de,81
du,le,71
prince,prince,21
une,un,71
masse,masse,22
énorme,énorme,30
de,de,81
loisir,loisir,21
",",",",p
et,et,82
porta,porter,19
un,un,71
échec,échec,21
notable,notable,30
au,à,81
au,le,71
crédit,crédit,21
du,de,81
du,le,71
ministre,ministre,21
de,de,81
la,le,71
justice,justice,22
/.,/.,P
Ernest V,Ernest V,20
comprit,comprendre,19
tout,tout,75
l',le,71
ennui,ennui,21
qui,qui,52
le,le,52
menaçait,menacer,18
si,si,83
la,le,71
duchesse,duchesse,22
quittait,quitter,18
la,le,71
cour,cour,22
",",",",p
ou,ou,82
seulement,seulement,60
cessait,cesser,18
d',de,81
y,y,52
répandre,répandre,14
la,le,71
joie,joie,22
/.,/.,P
les,le,71
soirées,soirée,22
recommencèrent,recommencer,19
",",",",p
et,et,82
le,le,71
prince,prince,21
se,se,51
montra,montrer,19
de,de,81
plus,plus,60
en,en,81
plus,plus,60
intéressé,intéressé,31
par,par,81
les,le,71
comédies dell'arte,commedia dell'arte,22
/.,/.,P
il,il,51
avait,avoir,18
le,le,71
projet,projet,21
de,de,81
prendre,prendre,14
un,un,71
rôle,rôle,21
",",",",p
mais,mais,82
n',ne,60
osait,oser,18
avouer,avouer,14
cette,ce,74
ambition,ambition,22
/.,/.,P
un,un,71
jour,jour,21
",",",",p
rougissant,rougir,13
beaucoup,beaucoup,60
",",",",p
il,il,51
dit,dire,19
à,à,81
la,le,71
duchesse,duchesse,22
:,:,p
pourquoi,pourquoi,60
ne,ne,60
jouerais,jouer,16
je,je,51
pas,pas,60
moi,moi,51
aussi,aussi,60
/?,/?,P
-,-,p
nous,nous,51
sommes,être,17
tous,tout,52
ici,ici,60
aux,à,81
aux,le,71
ordres,ordre,21
de,de,81
votre,votre,73
altesse,altesse,22
;,;,p
si,si,83
elle,il,51
daigne,daigner,17
m',je,51
en,en,52
donner,donner,14
l',le,71
ordre,ordre,21
",",",",p
je,je,51
ferai,faire,15
arranger,arranger,14
le,le,71
plan,plan,21
d',de,81
une,un,71
comédie,comédie,22
",",",",p
toutes,tout,75
les,le,71
scènes,scène,22
brillantes,brillant,30
du,de,81
du,le,71
rôle,rôle,21
de,de,81
votre,votre,73
altesse,altesse,22
seront,être,15
avec,avec,81
moi,moi,51
",",",",p
et,et,82
comme,comme,83
les,le,71
premiers,premier,72
jours,jour,21
tout,tout,75
le,le,71
monde,monde,21
hésite,hésiter,17
un,un,71
peu,peu,60
",",",",p
si,si,83
votre,votre,73
altesse,altesse,22
veut,vouloir,17
me,je,51
regarder,regarder,14
avec,avec,81
quelque,quelque,75
attention,attention,22
",",",",p
je,je,51
lui,lui,51
dirai,dire,15
les,le,71
réponses,réponse,22
qu',que,52
elle,il,51
doit,devoir,17
faire,faire,14
/.,/.,P
tout,tout,52
fut,être,19
arrangé,arranger,12
et,et,82
avec,avec,81
une,un,71
adresse,adresse,22
infinie,infini,30
/.,/.,P
le,le,71
prince,prince,21
fort,fort,60
timide,timide,30
avait,avoir,18
honte,honte,22
d',de,81
être,être,14
timide,timide,30
;,;,p
les,le,71
soins,soin,21
que,que,52
se,se,51
donna,donner,19
la,le,71
duchesse,duchesse,22
pour,pour,81
ne,ne,60
pas,pas,60
faire,faire,14
souffrir,souffrir,14
cette,ce,74
timidité,timidité,22
innée,inné,30
firent,faire,19
une,un,71
impression,impression,22
profonde,profond,30
sur,sur,81
le,le,71
jeune,jeune,30
souverain,souverain,21
/.,/.,P
le,le,71
jour,jour,21
de,de,81
son,son,73
début,début,21
",",",",p
le,le,71
spectacle,spectacle,21
commença,commencer,19
une,un,71
demi-heure,demi-heure,22
plus,plus,60
tôt,tôt,60
qu',que,83
à,à,81
l',le,71
ordinaire,ordinaire,22
",",",",p
et,et,82
il,il,51
n',ne,60
y,y,52
avait,avoir,18
dans,dans,81
le,le,71
salon,salon,21
",",",",p
au,à,81
au,le,71
moment,moment,21
où,où,60
l',l',94
on,on,51
passa,passer,19
dans,dans,81
la,le,71
salle,salle,22
de,de,81
spectacle,spectacle,21
",",",",p
que,que,83
huit,huit,72
ou,ou,82
dix,dix,72
femmes,femme,22
âgées,âgé,30
/.,/.,P
ces,ce,74
figures,figure,22
là,là,60
n',ne,60
imposaient,imposer,18
guère,guère,60
au,à,81
au,le,71
prince,prince,21
",",",",p
et,et,82
d',de,81
ailleurs,ailleurs,60
",",",",p
élevées,élevé,31
à,à,81
Munich,Munich,20
dans,dans,81
les,le,71
vrais,vrai,30
principes,principe,21
monarchiques,monarchique,30
",",",",p
elles,ils,51
applaudissaient,applaudir,18
toujours,toujours,60
/.,/.,P
usant,user,13
de,de,81
son,son,73
autorité,autorité,22
comme,comme,83
grande,grand,30
maîtresse,maîtresse,22
",",",",p
la,le,71
duchesse,duchesse,22
ferma,fermer,19
à,à,81
clef,clé,22
la,le,71
porte,porte,22
par,par,81
laquelle,lequel,52
le,le,71
vulgaire,vulgaire,21
des,de,81
des,le,71
courtisans,courtisan,21
entrait,entrer,18
au,à,81
au,le,71
spectacle,spectacle,21
/.,/.,P
le,le,71
prince,prince,21
",",",",p
qui,qui,52
avait,avoir,18
de,de,81
l',le,71
esprit,esprit,21
littéraire,littéraire,30
et,et,82
une,un,71
belle,beau,30
figure,figure,22
",",",",p
se,se,51
tira,tirer,19
fort,fort,60
bien,bien,60
de,de,81
ses,son,73
premières,premier,72
scènes,scène,22
;,;,p
il,il,51
répétait,répéter,18
avec,avec,81
intelligence,intelligence,22
les,le,71
phrases,phrase,22
qu',que,52
il,il,51
lisait,lire,18
dans,dans,81
les,le,71
yeux,oeil,21
de,de,81
la,le,71
duchesse,duchesse,22
",",",",p
ou,ou,82
qu',que,52
elle,il,51
lui,lui,51
indiquait,indiquer,18
à,à,81
demi-voix,demi-voix,22
/.,/.,P
dans,dans,81
un,un,71
moment,moment,21
où,où,60
les,le,71
rares,rare,30
spectateurs,spectateur,21
applaudissaient,applaudir,18
de,de,81
toutes,tout,75
leurs,leur,73
forces,force,22
",",",",p
la,le,71
duchesse,duchesse,22
fit,faire,19
un,un,71
signe,signe,21
",",",",p
la,le,71
porte,porte,22
d',de,81
honneur,honneur,21
fut,être,19
ouverte,ouvrir,12
",",",",p
et,et,82
la,le,71
salle,salle,22
de,de,81
spectacle,spectacle,21
occupée,occupé,31
en,en,81
un,un,71
instant,instant,21
par,par,81
toutes,tout,75
les,le,71
jolies,joli,30
femmes,femme,22
de,de,81
la,le,71
cour,cour,22
",",",",p
qui,qui,52
",",",",p
trouvant,trouver,13
au,à,81
au,le,71
prince,prince,21
une,un,71
figure,figure,22
charmante,charmant,30
et,et,82
l',le,71
air,air,21
fort,fort,60
heureux,heureux,30
",",",",p
se,se,51
mirent,mettre,19
à,à,81
applaudir,applaudir,14
;,;,p
le,le,71
prince,prince,21
rougit,rougir,19
de,de,81
bonheur,bonheur,21
/.,/.,P
il,il,51
jouait,jouer,18
le,le,71
rôle,rôle,21
d',de,81
un,un,71
amoureux,amoureux,21
de,de,81
la,le,71
duchesse,duchesse,22
/.,/.,P
bien,bien,60
loin,loin,60
d',de,81
avoir,avoir,14
à,à,81
lui,lui,51
suggérer,suggérer,14
des,de,81
des,le,71
paroles,parole,22
",",",",p
bientôt,bientôt,60
elle,il,51
fut,être,19
obligée,obliger,12
de,de,81
l',le,52
engager,engager,14
à,à,81
abréger,abréger,14
les,le,71
scènes,scène,22
;,;,p
il,il,51
parlait,parler,18
d',de,81
amour,amour,21
avec,avec,81
un,un,71
enthousiasme,enthousiasme,21
qui,qui,52
souvent,souvent,60
embarrassait,embarrasser,18
l',le,71
actrice,actrice,22
;,;,p
ses,son,73
répliques,réplique,22
duraient,durer,18
cinq,cinq,72
minutes,minute,22
/.,/.,P
la,le,71
duchesse,duchesse,22
n',ne,60
était,être,18
plus,plus,60
cette,ce,74
beauté,beauté,22
éblouissante,éblouissant,30
de,de,81
l',le,71
année,année,22
précédente,précédent,30
;,;,p
la,le,71
prison,prison,22
de,de,81
Fabrice,Fabrice,20
",",",",p
et,et,82
",",",",p
bien,bien,60
plus,plus,60
encore,encore,60
",",",",p
le,le,71
séjour,séjour,21
sur,sur,81
le,le,71
lac,lac,21
Majeur,Majeur,20
avec,avec,81
Fabrice,Fabrice,20
",",",",p
devenu,devenu,31
morose,morose,30
et,et,82
silencieux,silencieux,30
",",",",p
avait,avoir,18
donné,donner,12
dix,dix,72
ans,an,21
de,de,81
plus,plus,60
à,à,81
la,le,71
belle,beau,30
Gina,Gina,20
/.,/.,P
ses,son,73
traits,trait,21
s',se,51
étaient,être,18
marqués,marquer,12
",",",",p
ils,ils,51
avaient,avoir,18
plus,plus,60
d',de,81
esprit,esprit,21
et,et,82
moins,moins,60
de,de,81
jeunesse,jeunesse,22
/.,/.,P
ils,ils,51
n',ne,60
avaient,avoir,18
plus,plus,60
que,que,83
bien,bien,60
rarement,rarement,60
l',le,71
enjouement,enjouement,21
du,de,81
du,le,71
premier,premier,72
âge,âge,21
;,;,p
mais,mais,82
à,à,81
la,le,71
scène,scène,22
",",",",p
avec,avec,81
du,de,81
du,le,71
rouge,rouge,21
et,et,82
tous,tout,75
les,le,71
secours,secours,21
que,que,52
l',le,71
art,art,21
fournit,fournir,17
aux,à,81
aux,le,71
actrices,actrice,22
",",",",p
elle,il,51
était,être,18
encore,encore,60
la,le,71
plus,plus,60
jolie,joli,30
femme,femme,22
de,de,81
la,le,71
cour,cour,22
/.,/.,P
les,le,71
tirades,tirade,22
passionnées,passionné,31
",",",",p
débitées,débité,31
par,par,81
le,le,71
prince,prince,21
",",",",p
donnèrent,donner,19
l',le,71
éveil,éveil,21
aux,à,81
aux,le,71
courtisans,courtisan,21
;,;,p
tous,tout,52
se,se,51
disaient,dire,18
ce,ce,74
soir,soir,21
là,là,60
:,:,p
voici,voici,81
la,le,71
Balbi,Balbi,20
de,de,81
ce,ce,74
nouveau,nouveau,30
règne,règne,21
/.,/.,P
le,le,71
comte,comte,21
se,se,51
révolta,révolter,19
intérieurement,intérieurement,60
/.,/.,P
la,le,71
pièce,pièce,22
finie,fini,31
",",",",p
la,le,71
duchesse,duchesse,22
dit,dire,19
au,à,81
au,le,71
prince,prince,21
devant,devant,81
toute,tout,75
la,le,71
cour,cour,22
:,:,p
-,-,p
votre,votre,73
altesse,altesse,22
joue,joue,22
trop,trop,60
bien,bien,60
;,;,p
on,on,51
va,aller,17
dire,dire,14
que,que,83
vous,vous,51
êtes,être,17
amoureux,amoureux,30
d',de,81
une,un,71
femme,femme,22
de,de,81
trente,trente,72
huit,huit,72
ans,an,21
",",",",p
ce,ce,52
qui,qui,52
fera,faire,15
manquer,manquer,14
mon,mon,73
établissement,établissement,21
avec,avec,81
le,le,71
comte,comte,21
/.,/.,P
ainsi,ainsi,60
",",",",p
je,je,51
ne,ne,60
jouerai,jouer,15
plus,plus,60
avec,avec,81
votre,votre,73
altesse,altesse,22
",",",",p
à,à,81
moins,moins,60
que,que,83
le,le,71
prince,prince,21
ne,ne,60
me,je,51
jure,jurer,17
de,de,81
m',je,51
adresser,adresser,14
la,le,71
parole,parole,22
comme,comme,83
il,il,51
le,le,52
ferait,faire,16
à,à,81
une,un,71
femme,femme,22
d',de,81
un,un,71
certain,certain,75
âge,âge,21
",",",",p
à,à,81
madame,madame,22
la,le,71
marquise,marquise,22
Raversi,Raversi,20
",",",",p
par,par,81
exemple,exemple,21
/.,/.,P
on,on,51
répéta,répéter,19
trois,trois,72
fois,fois,22
la,le,71
même,même,75
pièce,pièce,22
;,;,p
le,le,71
prince,prince,21
était,être,18
fou,fou,30
de,de,81
bonheur,bonheur,21
;,;,p
mais,mais,82
",",",",p
un,un,71
soir,soir,21
",",",",p
il,il,51
parut,paraître,19
fort,fort,60
soucieux,soucieux,30
/.,/.,P
-,-,p
ou,ou,82
je,je,51
me,je,51
trompe,tromper,17
fort,fort,60
",",",",p
dit,dire,19
la,le,71
grande,grand,30
maîtresse,maîtresse,22
à,à,81
sa,son,73
princesse,princesse,22
",",",",p
ou,ou,82
le,le,71
Rassi,Rassi,20
cherche,chercher,17
à,à,81
nous,nous,51
jouer,jouer,14
quelque,quelque,75
tour,tour,21
;,;,p
je,je,51
conseillerais,conseiller,16
à,à,81
votre,votre,73
altesse,altesse,22
d',de,81
indiquer,indiquer,14
un,un,71
spectacle,spectacle,21
pour,pour,81
demain,demain,60
;,;,p
le,le,71
prince,prince,21
jouera,jouer,15
mal,mal,60
",",",",p
et,et,82
",",",",p
dans,dans,81
son,son,73
désespoir,désespoir,21
",",",",p
il,il,51
vous,vous,51
dira,dire,15
quelque,quelque,75
chose,chose,22
/.,/.,P
le,le,71
prince,prince,21
joua,jouer,19
fort,fort,60
mal,mal,60
en,en,81
effet,effet,21
;,;,p
on,on,51
l',le,52
entendait,entendre,18
à,à,81
peine,peine,22
",",",",p
et,et,82
il,il,51
ne,ne,60
savait,savoir,18
plus,plus,60
terminer,terminer,14
ses,son,73
phrases,phrase,22
/.,/.,P
à,à,81
la,le,71
fin,fin,22
du,de,81
du,le,71
premier,premier,72
acte,acte,21
",",",",p
il,il,51
avait,avoir,18
presque,presque,60
les,le,71
larmes,larme,22
aux,à,81
aux,le,71
yeux,oeil,21
;,;,p
la,le,71
duchesse,duchesse,22
se,se,51
tenait,tenir,18
auprès,auprès,60
de,de,81
lui,lui,51
",",",",p
mais,mais,82
froide,froid,30
et,et,82
immobile,immobile,30
/.,/.,P
le,le,71
prince,prince,21
",",",",p
se,se,51
trouvant,trouver,13
un,un,71
instant,instant,21
seul,seul,30
avec,avec,81
elle,il,51
",",",",p
dans,dans,81
le,le,71
foyer,foyer,21
des,de,81
des,le,71
acteurs,acteur,21
",",",",p
alla,aller,19
fermer,fermer,14
la,le,71
porte,porte,22
/.,/.,P
-,-,p
jamais,jamais,60
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
je,je,51
ne,ne,60
pourrai,pouvoir,15
jouer,jouer,14
le,le,71
second,second,72
et,et,82
le,le,71
troisième,troisième,72
acte,acte,21
;,;,p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
absolument,absolument,60
être,être,14
applaudi,applaudir,12
par,par,81
complaisance,complaisance,22
;,;,p
les,le,71
applaudissements,applaudissement,21
qu',que,52
on,on,51
me,je,51
donnait,donner,18
ce,ce,74
soir,soir,21
me,je,51
fendaient,fendre,18
le,le,71
coeur,coeur,21
/.,/.,P
donnez,donner,17
moi,moi,51
un,un,71
conseil,conseil,21
",",",",p
que,que,52
faut,falloir,17
il,il,51
faire,faire,14
/?,/?,P
-,-,p
je,je,51
vais,aller,17
m',je,51
avancer,avancer,14
sur,sur,81
la,le,71
scène,scène,22
",",",",p
faire,faire,14
une,un,71
profonde,profond,30
révérence,révérence,22
à,à,81
son,son,73
altesse,altesse,22
",",",",p
une,un,71
autre,autre,52
au,à,81
au,le,71
public,public,21
",",",",p
comme,comme,83
un,un,71
véritable,véritable,30
directeur,directeur,21
de,de,81
comédie,comédie,22
",",",",p
et,et,82
dire,dire,14
que,que,83
l',le,71
acteur,acteur,21
qui,qui,52
jouait,jouer,18
le,le,71
rôle,rôle,21
de,de,81
Lélio,Lélio,20
",",",",p
se,se,51
trouvant,trouver,13
subitement,subitement,60
indisposé,indisposé,31
",",",",p
le,le,71
spectacle,spectacle,21
se,se,51
terminera,terminer,15
par,par,81
quelques,quelque,75
morceaux,morceau,21
de,de,81
musique,musique,22
/.,/.,P
le,le,71
comte,comte,21
Rusca,Rusca,20
et,et,82
la,le,71
petite,petit,30
Ghisolfi,Ghisolfi,20
seront,être,15
ravis,ravir,12
de,de,81
pouvoir,pouvoir,14
montrer,montrer,14
à,à,81
une,un,71
aussi,aussi,60
brillante,brillant,30
assemblée,assemblée,22
leurs,leur,73
petites,petit,30
voix,voix,22
aigrelettes,aigrelet,30
/.,/.,P
le,le,71
prince,prince,21
prit,prendre,19
la,le,71
main,main,22
de,de,81
la,le,71
duchesse,duchesse,22
",",",",p
et,et,82
la,le,52
baisa,baiser,19
avec,avec,81
transport,transport,21
/.,/.,P
-,-,p
que,que,52
n',ne,60
êtes,être,17
vous,vous,51
un,un,71
homme,homme,21
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
vous,vous,51
me,je,51
donneriez,donner,16
un,un,71
bon,bon,30
conseil,conseil,21
:,:,p
Rassi,Rassi,20
vient,venir,17
de,de,81
déposer,déposer,14
sur,sur,81
mon,mon,73
bureau,bureau,21
cent,cent,72
quatre,quatre,72
vingt,vingt,72
deux,deux,72
dépositions,déposition,22
contre,contre,81
les,le,71
prétendus,prétendu,31
assassins,assassin,21
de,de,81
mon,mon,73
père,père,21
/.,/.,P
outre,outre,81
les,le,71
dépositions,déposition,22
