11908
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-deuxième extrait>,<>,<>
et,et,82
en,en,81
regardant,regarder,13
d',de,81
un,un,71
air,air,21
suppliant,suppliant,30
son,son,73
éminence,éminence,22
",",",",p
donnons,donner,17
leur,leur,52
de,de,81
la,le,71
sécurité,sécurité,22
:,:,p
cela,cela,52
est,être,17
politique,politique,30
/.,/.,P
“,“,p
cette,ce,74
politique,politique,22
de,de,81
Louis XIII,Louis XIII,20
fit,faire,19
sourire,sourire,14
Richelieu,Richelieu,20
/.,/.,P
“,“,p
ordonnez,ordonner,17
",",",",p
sire,sire,21
",",",",p
dit,dire,19
il,il,51
",",",",p
vous,vous,51
avez,avoir,17
le,le,71
droit,droit,21
de,de,81
grâce,grâce,22
/.,/.,P
-,-,p
le,le,71
droit,droit,21
de,de,81
grâce,grâce,22
ne,ne,60
s',se,51
applique,appliquer,17
qu',que,83
aux,à,81
aux,le,71
coupables,coupable,21
",",",",p
dit,dire,19
Tréville,Tréville,20
",",",",p
qui,qui,52
voulait,vouloir,18
avoir,avoir,14
le,le,71
dernier,dernier,30
mot,mot,21
",",",",p
et,et,82
mon,mon,73
mousquetaire,mousquetaire,21
est,être,17
innocent,innocent,30
/.,/.,P
ce,ce,52
n',ne,60
est,être,17
donc,donc,82
pas,pas,60
grâce,grâce,22
que,que,52
vous,vous,51
allez,aller,17
faire,faire,14
",",",",p
sire,sire,21
",",",",p
c',ce,52
est,être,17
justice,justice,22
/.,/.,P
-,-,p
et,et,82
il,il,51
est,être,17
au,à,81
au,le,71
For-l'Evêque,For-l'Evêque,20
?,?,p
dit,dire,19
le,le,71
roi,roi,21
/.,/.,P
-,-,p
oui,oui,60
",",",",p
sire,sire,21
",",",",p
et,et,82
au,à,81
au,le,71
secret,secret,21
",",",",p
dans,dans,81
un,un,71
cachot,cachot,21
",",",",p
comme,comme,83
le,le,71
dernier,dernier,21
des,de,81
des,le,71
criminels,criminel,21
/.,/.,P
-,-,p
diable,diable,21
!,!,p
diable,diable,21
!,!,p
murmura,murmurer,19
le,le,71
roi,roi,21
",",",",p
que,que,52
faut,falloir,17
il,il,51
faire,faire,14
/?,/?,P
signer,signer,14
l',le,71
ordre,ordre,21
de,de,81
mise,mise,22
en,en,81
liberté,liberté,22
",",",",p
et,et,82
tout,tout,52
sera,être,15
dit,dire,12
",",",",p
reprit,reprendre,19
le,le,71
cardinal,cardinal,21
;,;,p
je,je,51
crois,croire,17
",",",",p
comme,comme,83
votre,votre,73
majesté,majesté,22
",",",",p
que,que,83
la,le,71
garantie,garantie,22
de,de,81
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
est,être,17
plus,plus,60
que,que,83
suffisante,suffisant,30
/.,/.,P
“,“,p
Tréville,Tréville,20
s',se,51
inclina,incliner,19
respectueusement,respectueusement,60
avec,avec,81
une,un,71
joie,joie,22
qui,qui,52
n',ne,60
était,être,18
pas,pas,60
sans,sans,81
mélange,mélange,21
de,de,81
crainte,crainte,22
;,;,p
il,il,51
eût,avoir,19
préféré,préférer,12
une,un,71
résistance,résistance,22
opiniâtre,opiniâtre,30
du,de,81
du,le,71
cardinal,cardinal,21
à,à,81
cette,ce,74
soudaine,soudain,30
facilité,facilité,22
/.,/.,P
le,le,71
roi,roi,21
signa,signer,19
l',le,71
ordre,ordre,21
d',de,81
élargissement,élargissement,21
",",",",p
et,et,82
Tréville,Tréville,20
l',le,52
emporta,emporter,19
sans,sans,81
retard,retard,21
/.,/.,P
au,à,81
au,le,71
moment,moment,21
où,où,60
il,il,51
allait,aller,18
sortir,sortir,14
",",",",p
le,le,71
cardinal,cardinal,21
lui,lui,51
fit,faire,19
un,un,71
sourire,sourire,21
amical,amical,30
",",",",p
et,et,82
dit,dire,19
au,à,81
au,le,71
roi,roi,21
:,:,p
“,“,p
une,un,71
bonne,bon,30
harmonie,harmonie,22
règne,régner,17
entre,entre,81
les,le,71
chefs,chef,21
et,et,82
les,le,71
soldats,soldat,21
",",",",p
dans,dans,81
vos,votre,73
mousquetaires,mousquetaire,21
",",",",p
sire,sire,21
;,;,p
voilà,voilà,81
qui,qui,52
est,être,17
bien,bien,60
profitable,profitable,30
au,à,81
au,le,71
service,service,21
et,et,82
bien,bien,60
honorable,honorable,30
pour,pour,81
tous,tout,52
/.,/.,P
“,“,p
“,“,p
il,il,51
me,je,51
jouera,jouer,15
quelque,quelque,75
mauvais,mauvais,30
tour,tour,21
incessamment,incessamment,60
",",",",p
se,se,51
disait,dire,18
Tréville,Tréville,20
;,;,p
on,on,51
n',ne,60
a,avoir,17
jamais,jamais,60
le,le,71
dernier,dernier,30
mot,mot,21
avec,avec,81
un,un,71
pareil,pareil,30
homme,homme,21
/.,/.,P
mais,mais,82
hâtons,hâter,17
nous,nous,51
",",",",p
car,car,82
le,le,71
roi,roi,21
peut,pouvoir,17
changer,changer,14
d',de,81
avis,avis,21
tout,tout,60
à,à,81
l',le,71
heure,heure,22
;,;,p
et,et,82
au,à,81
au,le,71
bout,bout,21
du,de,81
du,le,71
compte,compte,21
",",",",p
il,il,51
est,être,17
plus,plus,60
difficile,difficile,30
de,de,81
remettre,remettre,14
à,à,81
la,le,71
Bastille,Bastille,20
ou,ou,82
au,à,81
au,le,71
For-l'Evêque,For-l'Evêque,20
un,un,71
homme,homme,21
qui,qui,52
en,en,52
est,être,17
sorti,sortir,12
",",",",p
que,que,83
d',de,81
y,y,52
garder,garder,14
un,un,71
prisonnier,prisonnier,21
qu',que,52
on,on,51
y,y,52
tient,tenir,17
/.,/.,P
“,“,p
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
fit,faire,19
triomphalement,triomphalement,60
son,son,73
entrée,entrée,22
au,à,81
au,le,71
For-l'Evêque,For-l'Evêque,20
",",",",p
où,où,60
il,il,51
délivra,délivrer,19
le,le,71
mousquetaire,mousquetaire,21
",",",",p
que,que,52
sa,son,73
paisible,paisible,30
indifférence,indifférence,22
n',ne,60
avait,avoir,18
pas,pas,60
abandonné,abandonner,12
/.,/.,P
puis,puis,60
",",",",p
la,le,71
première,premier,72
fois,fois,22
qu',que,83
il,il,51
revit,revoir,19
d',de,81
Artagnan,Artagnan,20
:,:,p
“,“,p
vous,vous,51
l',le,52
échappez,échapper,17
belle,beau,30
",",",",p
lui,lui,51
dit,dire,19
il,il,51
;,;,p
voilà,voilà,81
votre,votre,73
coup,coup,21
d',de,81
épée,épée,22
à,à,81
Jussac,Jussac,20
payé,payé,31
/.,/.,P
reste,rester,17
bien,bien,60
encore,encore,60
celui,celui,52
de,de,81
Bernajoux,Bernajoux,20
",",",",p
mais,mais,82
il,il,51
ne,ne,60
faudrait,falloir,16
pas,pas,60
trop,trop,60
vous,vous,51
y,y,52
fier,fier,14
/.,/.,P
“,“,p
au,à,81
au,le,71
reste,reste,21
",",",",p
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
avait,avoir,18
raison,raison,22
de,de,81
se,se,51
défier,défier,14
du,de,81
du,le,71
cardinal,cardinal,21
et,et,82
de,de,81
penser,penser,14
que,que,83
tout,tout,52
n',ne,60
était,être,18
pas,pas,60
fini,finir,12
",",",",p
car,car,82
à,à,81
peine,peine,22
le,le,71
capitaine,capitaine,21
des,de,81
des,le,71
mousquetaires,mousquetaire,21
eut,avoir,19
il,il,51
fermé,fermer,12
la,le,71
porte,porte,22
derrière,derrière,81
lui,lui,51
",",",",p
que,que,83
son,son,73
éminence,éminence,22
dit,dire,19
au,à,81
au,le,71
roi,roi,21
:,:,p
“,“,p
maintenant,maintenant,60
que,que,83
nous,nous,51
ne,ne,60
sommes,être,17
plus,plus,60
que,que,83
nous,nous,51
deux,deux,72
",",",",p
nous,nous,51
allons,aller,17
causer,causer,14
sérieusement,sérieusement,60
",",",",p
s',si,83
il,il,51
plaît,plaire,17
à,à,81
votre,votre,73
majesté,majesté,22
/.,/.,P
sire,sire,21
",",",",p
monsieur,monsieur,21
de,de,81
Buckingham,Buckingham,20
était,être,18
à,à,81
Paris,Paris,20
depuis,depuis,81
cinq,cinq,72
jours,jour,21
et,et,82
n',ne,60
en,en,52
est,être,17
parti,partir,12
que,que,83
ce,ce,74
matin,matin,21
/.,/.,P
“,“,p
<Chapitre 16>,<>,<>
où,où,60
monsieur,monsieur,21
le,le,71
garde,garde,21
des,de,81
des,le,71
sceaux,sceau,21
Séguier,Séguier,20
chercha,chercher,19
plus,plus,60
d',de,81
une,un,71
fois,fois,22
la,le,71
cloche,cloche,22
pour,pour,81
la,le,52
sonner,sonner,14
",",",",p
comme,comme,83
il,il,51
faisait,faire,18
autrefois,autrefois,60
/.,/.,P
il,il,51
est,être,17
impossible,impossible,30
de,de,81
se,se,51
faire,faire,14
une,un,71
idée,idée,22
de,de,81
l',le,71
impression,impression,22
que,que,52
ces,ce,74
quelques,quelque,75
mots,mot,21
produisirent,produire,19
sur,sur,81
Louis XIII,Louis XIII,20
/.,/.,P
il,il,51
rougit,rougir,19
et,et,82
pâlit,pâlir,19
successivement,successivement,60
;,;,p
et,et,82
le,le,71
cardinal,cardinal,21
vit,voir,19
tout,tout,60
d'abord,d'abord,60
qu',que,83
il,il,51
venait,venir,18
de,de,81
conquérir,conquérir,14
d',de,81
un,un,71
seul,seul,30
coup,coup,21
tout,tout,75
le,le,71
terrain,terrain,21
qu',que,52
il,il,51
avait,avoir,18
perdu,perdre,12
/.,/.,P
“,“,p
monsieur,monsieur,21
de,de,81
Buckingham,Buckingham,20
à,à,81
Paris,Paris,20
!,!,p
s',se,51
écria,écrier,19
t,t,94
il,il,51
",",",",p
et,et,82
qu',que,52
y,y,52
vient,venir,17
il,il,51
faire,faire,14
/?,/?,P
sans,sans,81
doute,doute,21
conspirer,conspirer,14
avec,avec,81
nos,notre,73
ennemis,ennemi,21
les,le,71
huguenots,huguenot,21
et,et,82
les,le,71
Espagnols,Espagnol,20
/.,/.,P
-,-,p
non,non,60
",",",",p
pardieu,pardieu,93
",",",",p
non,non,60
!,!,p
conspirer,conspirer,14
contre,contre,81
mon,mon,73
honneur,honneur,21
avec,avec,81
madame,madame,22
de,de,81
Chevreuse,Chevreuse,20
",",",",p
madame,madame,22
de,de,81
Longueville,Longueville,20
et,et,82
les,le,71
Condé,Condé,20
/!,/!,P
oh,oh,93
/!,/!,P
sire,sire,21
",",",",p
quelle,quel,75
idée,idée,22
/!,/!,P
la,le,71
reine,reine,22
est,être,17
trop,trop,60
sage,sage,30
",",",",p
et,et,82
surtout,surtout,60
aime,aimer,17
trop,trop,60
votre,votre,73
majesté,majesté,22
/.,/.,P
-,-,p
la,le,71
femme,femme,22
est,être,17
faible,faible,30
",",",",p
monsieur,monsieur,21
le,le,71
cardinal,cardinal,21
",",",",p
dit,dire,19
le,le,71
roi,roi,21
;,;,p
et,et,82
quant,quand,83
à,à,81
m',je,51
aimer,aimer,14
beaucoup,beaucoup,60
",",",",p
j',je,51
ai,avoir,17
mon,mon,73
opinion,opinion,22
faite,fait,31
sur,sur,81
cet,ce,74
amour,amour,21
/.,/.,P
-,-,p
je,je,51
n',ne,60
en,en,52
maintiens,maintenir,17
pas,pas,60
moins,moins,60
",",",",p
dit,dire,19
le,le,71
cardinal,cardinal,21
",",",",p
que,que,83
le,le,71
duc,duc,21
de,de,81
Buckingham,Buckingham,20
est,être,17
venu,venir,12
à,à,81
Paris,Paris,20
pour,pour,81
un,un,71
projet,projet,21
tout,tout,60
politique,politique,30
/.,/.,P
-,-,p
et,et,82
moi,moi,51
je,je,51
suis,être,17
sûr,sûr,30
qu',que,83
il,il,51
est,être,17
venu,venir,12
pour,pour,81
autre,autre,75
chose,chose,22
",",",",p
monsieur,monsieur,21
le,le,71
cardinal,cardinal,21
;,;,p
mais,mais,82
si,si,83
la,le,71
reine,reine,22
est,être,17
coupable,coupable,30
",",",",p
qu',que,83
elle,il,51
tremble,trembler,17
/!,/!,P
au,à,81
au,le,71
fait,fait,21
",",",",p
dit,dire,19
le,le,71
cardinal,cardinal,21
",",",",p
quelque,quelque,75
répugnance,répugnance,22
que,que,52
j',je,51
aie,avoir,17
à,à,81
arrêter,arrêter,14
mon,mon,73
esprit,esprit,21
sur,sur,81
une,un,71
pareille,pareil,30
trahison,trahison,22
",",",",p
votre,votre,73
majesté,majesté,22
m',je,51
y,y,52
fait,faire,17
penser,penser,14
:,:,p
madame,madame,22
de,de,81
Lannoy,Lannoy,20
",",",",p
que,que,52
",",",",p
d',de,81
après,après,81
l',le,71
ordre,ordre,21
de,de,81
votre,votre,73
majesté,majesté,22
",",",",p
j',je,51
ai,avoir,17
interrogée,interroger,12
plusieurs,plusieurs,75
fois,fois,22
",",",",p
m',je,51
a,avoir,17
dit,dire,12
ce,ce,74
matin,matin,21
que,que,83
la,le,71
nuit,nuit,22
avant,avant,81
celle-ci,celui-ci,52
sa,son,73
majesté,majesté,22
avait,avoir,18
veillé,veiller,12
fort,fort,60
tard,tard,60
",",",",p
que,que,83
ce,ce,74
matin,matin,21
elle,il,51
avait,avoir,18
beaucoup,beaucoup,60
pleuré,pleurer,12
et,et,82
que,que,83
toute,tout,75
la,le,71
journée,journée,22
elle,il,51
avait,avoir,18
écrit,écrire,12
/.,/.,P
-,-,p
c',ce,52
est,être,17
cela,cela,52
",",",",p
dit,dire,19
le,le,71
roi,roi,21
;,;,p
à,à,81
lui,lui,51
sans,sans,81
doute,doute,21
",",",",p
cardinal,cardinal,21
",",",",p
il,il,51
me,je,51
faut,falloir,17
les,le,71
papiers,papier,21
de,de,81
la,le,71
reine,reine,22
/.,/.,P
-,-,p
mais,mais,82
comment,comment,60
les,le,52
prendre,prendre,14
",",",",p
sire,sire,21
/?,/?,P
il,il,51
me,je,51
semble,sembler,17
que,que,83
ce,ce,52
n',ne,60
est,être,17
ni,ni,82
moi,moi,51
",",",",p
ni,ni,82
votre,votre,73
majesté,majesté,22
qui,qui,52
pouvons,pouvoir,17
nous,nous,51
charger,charger,14
d',de,81
une,un,71
pareille,pareil,30
mission,mission,22
/.,/.,P
-,-,p
comment,comment,60
s',se,51
y,y,52
est,être,17
on,on,51
pris,prendre,12
pour,pour,81
la,le,71
maréchale,maréchale,22
d',de,81
Ancre,Ancre,20
?,?,p
s',se,51
écria,écrier,19
le,le,71
roi,roi,21
au,à,81
au,le,71
plus,plus,60
haut,haut,30
degré,degré,21
de,de,81
la,le,71
colère,colère,22
;,;,p
on,on,51
a,avoir,17
fouillé,fouiller,12
ses,son,73
armoires,armoire,22
",",",",p
et,et,82
enfin,enfin,60
on,on,51
l',le,52
a,avoir,17
fouillée,fouiller,12
elle-même,lui-même,51
/.,/.,P
-,-,p
la,le,71
maréchale,maréchale,22
d',de,81
Ancre,Ancre,20
n',ne,60
était,être,18
que,que,83
la,le,71
maréchale,maréchale,22
d',de,81
Ancre,Ancre,20
",",",",p
une,un,71
aventurière,aventurière,22
florentine,florentin,30
",",",",p
sire,sire,21
",",",",p
voilà,voilà,81
tout,tout,52
;,;,p
tandis que,tandis que,83
l',le,71
auguste,auguste,30
épouse,épouse,22
de,de,81
votre,votre,73
majesté,majesté,22
est,être,17
Anne,Anne,20
d',de,81
Autriche,Autriche,20
",",",",p
reine,reine,22
de,de,81
France,France,20
",",",",p
c'est-à-dire,c'est-à-dire,91
une,un,52
des,de,81
des,le,71
plus,plus,60
grandes,grand,30
princesses,princesse,22
du,de,81
du,le,71
monde,monde,21
/.,/.,P
-,-,p
elle,il,51
n',ne,60
en,en,52
est,être,17
que,que,83
plus,plus,60
coupable,coupable,30
",",",",p
monsieur,monsieur,21
le,le,71
duc,duc,21
/!,/!,P
plus,plus,60
elle,il,51
a,avoir,17
oublié,oublier,12
la,le,71
haute,haut,30
position,position,22
où,où,60
elle,il,51
était,être,18
placée,placer,12
",",",",p
plus,plus,60
elle,il,51
est,être,17
bas,bas,30
descendue,descendre,12
/.,/.,P
il,il,51
y,y,52
a,avoir,17
longtemps,longtemps,60
d',de,81
ailleurs,ailleurs,60
que,que,83
je,je,51
suis,être,17
décidé,décider,12
à,à,81
en,en,52
finir,finir,14
avec,avec,81
toutes,tout,75
ces,ce,74
petites,petit,30
intrigues,intrigue,22
de,de,81
politique,politique,22
et,et,82
d',de,81
amour,amour,21
/.,/.,P
elle,il,51
a,avoir,17
aussi,aussi,60
près,près,81
d',de,81
elle,il,51
un,un,71
certain,certain,75
La Porte,La Porte,20
/…,/…,P
que,que,52
je,je,51
crois,croire,17
la,le,71
cheville,cheville,22
ouvrière,ouvrier,30
de,de,81
tout,tout,75
cela,cela,52
",",",",p
je,je,51
l',le,52
avoue,avouer,17
",",",",p
dit,dire,19
le,le,71
cardinal,cardinal,21
/.,/.,P
-,-,p
vous,vous,51
pensez,penser,17
donc,donc,82
",",",",p
comme,comme,83
moi,moi,51
",",",",p
qu',que,83
elle,il,51
me,je,51
trompe,tromper,17
?,?,p
dit,dire,19
le,le,71
roi,roi,21
/.,/.,P
-,-,p
je,je,51
crois,croire,17
",",",",p
et,et,82
je,je,51
le,le,52
répète,répéter,17
à,à,81
votre,votre,73
majesté,majesté,22
",",",",p
que,que,83
la,le,71
reine,reine,22
conspire,conspirer,17
contre,contre,81
la,le,71
puissance,puissance,22
de,de,81
son,son,73
roi,roi,21
",",",",p
mais,mais,82
je,je,51
n',ne,60
ai,avoir,17
point,point,60
dit,dire,12
contre,contre,81
son,son,73
honneur,honneur,21
/.,/.,P
-,-,p
et,et,82
moi,moi,51
je,je,51
vous,vous,51
dis,dire,17
contre,contre,81
tous,tout,75
deux,deux,72
;,;,p
moi,moi,51
je,je,51
vous,vous,51
dis,dire,17
que,que,83
la,le,71
reine,reine,22
ne,ne,60
m',je,51
aime,aimer,17
pas,pas,60
;,;,p
je,je,51
vous,vous,51
dis,dire,17
qu',que,83
elle,il,51
en,en,52
aime,aimer,17
un,un,71
autre,autre,52
;,;,p
je,je,51
vous,vous,51
dis,dire,17
qu',que,83
elle,il,51
aime,aimer,17
cet,ce,74
infâme,infâme,30
duc,duc,21
de,de,81
Buckingham,Buckingham,20
/!,/!,P
pourquoi,pourquoi,60
ne,ne,60
l',le,52
avez,avoir,17
vous,vous,51
pas,pas,60
fait,faire,12
arrêter,arrêter,14
pendant,pendant,81
qu',que,83
il,il,51
était,être,18
à,à,81
Paris,Paris,20
/?,/?,P
arrêter,arrêter,14
le,le,71
duc,duc,21
!,!,p
arrêter,arrêter,14
le,le,71
premier,premier,72
ministre,ministre,21
du,de,81
du,le,71
roi,roi,21
Charles Ier,Charles Ier,20
/!,/!,P
y,y,52
pensez,penser,17
vous,vous,51
",",",",p
sire,sire,21
/?,/?,P
quel,quel,75
éclat,éclat,21
!,!,p
et,et,82
si,si,83
alors,alors,60
les,le,71
soupçons,soupçon,21
de,de,81
votre,votre,73
majesté,majesté,22
",",",",p
ce,ce,52
dont,dont,52
je,je,51
continue,continuer,17
à,à,81
douter,douter,14
",",",",p
avaient,avoir,18
quelque,quelque,75
consistance,consistance,22
",",",",p
quel,quel,75
éclat,éclat,21
terrible,terrible,30
!,!,p
quel,quel,75
scandale,scandale,21
désespérant,désespérant,30
mais,mais,82
puisqu',puisque,83
il,il,51
s',se,51
exposait,exposer,18
comme,comme,83
un,un,71
vagabond,vagabond,21
et,et,82
un,un,71
larronneur,larronneur,21
",",",",p
il,il,51
fallait,falloir,18
/…,/…,P
Louis XIII,Louis XIII,20
s',se,51
arrêta,arrêter,19
lui-même,lui-même,51
",",",",p
effrayé,effrayé,31
de,de,81
ce,ce,52
qu',que,52
il,il,51
allait,aller,18
dire,dire,14
",",",",p
tandis que,tandis que,83
Richelieu,Richelieu,20
",",",",p
allongeant,allonger,13
le,le,71
cou,cou,21
",",",",p
attendait,attendre,18
inutilement,inutilement,60
la,le,71
parole,parole,22
qui,qui,52
était,être,18
restée,rester,12
sur,sur,81
les,le,71
lèvres,lèvre,22
du,de,81
du,le,71
roi,roi,21
/.,/.,P
“,“,p
il,il,51
fallait,falloir,18
/?,/?,P
rien,rien,52
",",",",p
dit,dire,19
le,le,71
roi,roi,21
",",",",p
rien,rien,52
/.,/.,P
mais,mais,82
",",",",p
pendant,pendant,81
tout,tout,75
le,le,71
temps,temps,21
qu',que,52
il,il,51
a,avoir,17
été,être,12
à,à,81
Paris,Paris,20
",",",",p
vous,vous,51
ne,ne,60
l',le,52
avez,avoir,17
pas,pas,60
perdu,perdre,12
de,de,81
vue,vue,22
/?,/?,P
non,non,60
",",",",p
sire,sire,21
/.,/.,P
-,-,p
où,où,60
logeait,loger,18
il,il,51
/?,/?,P
rue,rue,22
de,de,81
La Harpe,La Harpe,20
",",",",p
numéro,numéro,21
<Nombre 75>,<>,<>
soixante,soixante,72
quinze,quinze,72
<Fin nombre>,<>,<>
/.,/.,P
-,-,p
où,où,60
est,être,17
ce,ce,52
",",",",p
cela,cela,52
/?,/?,P
du,de,81
du,le,71
côté,côté,21
du,de,81
du,le,71
Luxembourg,Luxembourg,20
/.,/.,P
-,-,p
et,et,82
vous,vous,51
êtes,être,17
sûr,sûr,30
que,que,83
la,le,71
reine,reine,22
et,et,82
lui,lui,51
ne,ne,60
se,se,51
sont,être,17
pas,pas,60
vus,voir,12
/?,/?,P
je,je,51
crois,croire,17
la,le,71
reine,reine,22
trop,trop,60
attachée,attaché,31
à,à,81
ses,son,73
devoirs,devoir,21
",",",",p
sire,sire,21
/.,/.,P
-,-,p
mais,mais,82
ils,ils,51
ont,avoir,17
correspondu,correspondre,12
",",",",p
c',ce,52
est,être,17
à,à,81
lui,lui,51
que,que,83
la,le,71
reine,reine,22
a,avoir,17
écrit,écrire,12
toute,tout,75
la,le,71
journée,journée,22
;,;,p
monsieur,monsieur,21
le,le,71
duc,duc,21
",",",",p
il,il,51
me,je,51
faut,falloir,17
ces,ce,74
lettres,lettre,22
/!,/!,P
sire,sire,21
",",",",p
cependant,cependant,82
/…,/…,P
monsieur,monsieur,21
le,le,71
duc,duc,21
",",",",p
à,à,81
quelque,quelque,75
prix,prix,21
que,que,83
ce,ce,52
soit,être,17
",",",",p
je,je,51
les,le,52
veux,vouloir,17
/.,/.,P
-,-,p
je,je,51
ferai,faire,15
pourtant,pourtant,60
observer,observer,14
à,à,81
votre,votre,73
majesté,majesté,22
/…,/…,P
me,je,51
trahissez,trahir,17
vous,vous,51
donc,donc,82
aussi,aussi,60
",",",",p
monsieur,monsieur,21
le,le,71
cardinal,cardinal,21
",",",",p
pour,pour,81
vous,vous,51
opposer,opposer,14
toujours,toujours,60
ainsi,ainsi,60
à,à,81
mes,mon,73
volontés,volonté,22
?,?,p
êtes,être,17
vous,vous,51
aussi,aussi,60
d'accord,d'accord,60
avec,avec,81
l',le,71
Espagnol,Espagnol,20
et,et,82
avec,avec,81
l',le,71
Anglais,Anglais,20
",",",",p
avec,avec,81
madame,madame,22
de,de,81
Chevreuse,Chevreuse,20
et,et,82
avec,avec,81
la,le,71
reine,reine,22
/?,/?,P
sire,sire,21
",",",",p
répondit,répondre,19
en,en,81
soupirant,soupirer,13
le,le,71
cardinal,cardinal,21
",",",",p
je,je,51
croyais,croire,18
être,être,14
à,à,81
l',le,71
abri,abri,21
d',de,81
un,un,71
pareil,pareil,30
soupçon,soupçon,21
/.,/.,P
-,-,p
monsieur,monsieur,21
le,le,71
cardinal,cardinal,21
",",",",p
vous,vous,51
m',je,51
avez,avoir,17
entendu,entendre,12
;,;,p
je,je,51
veux,vouloir,17
ces,ce,74
lettres,lettre,22
/.,/.,P
-,-,p
il,il,51
n',ne,60
y,y,52
aurait,avoir,16
qu',que,83
un,un,71
moyen,moyen,21
/.,/.,P
-,-,p
lequel,lequel,52
/?,/?,P
ce,ce,52
serait,être,16
de,de,81
charger,charger,14
de,de,81
cette,ce,74
mission,mission,22
monsieur,monsieur,21
le,le,71
garde,garde,21
des,de,81
des,le,71
sceaux,sceau,21
Séguier,Séguier,20
/.,/.,P
la,le,71
chose,chose,22
rentre,rentrer,17
complètement,complètement,60
dans,dans,81
les,le,71
devoirs,devoir,21
de,de,81
sa,son,73
charge,charge,22
/.,/.,P
-,-,p
que,que,52
on,on,51
l',le,52
envoie,envoyer,17
chercher,chercher,14
à,à,81
l',le,71
instant,instant,21
même,même,30
/!,/!,P
il,il,51
doit,devoir,17
être,être,14
chez,chez,81
moi,moi,51
",",",",p
sire,sire,21
;,;,p
je,je,51
l',le,52
avais,avoir,18
fait,faire,12
prier,prier,14
de,de,81
passer,passer,14
",",",",p
et,et,82
lorsque,lorsque,83
je,je,51
suis,être,17
venu,venir,12
au,à,81
au,le,71
Louvre,Louvre,20
",",",",p
j',je,51
ai,avoir,17
laissé,laisser,12
l',le,71
ordre,ordre,21
",",",",p
s',si,83
il,il,51
se,se,51
présentait,présenter,18
",",",",p
de,de,81
le,le,52
faire,faire,14
attendre,attendre,14
/.,/.,P
-,-,p
que,que,52
on,on,51
aille,aller,17
le,le,52
chercher,chercher,14
à,à,81
l',le,71
instant,instant,21
même,même,30
/!,/!,P
les,le,71
ordres,ordre,21
de,de,81
votre,votre,73
majesté,majesté,22
seront,être,15
exécutés,exécuter,12
;,;,p
mais,mais,82
/…,/…,P
mais,mais,82
quoi,quoi,52
/?,/?,P
mais,mais,82
la,le,71
reine,reine,22
se,se,51
refusera,refuser,15
peut-être,peut-être,60
à,à,81
obéir,obéir,14
/.,/.,P
-,-,p
à,à,81
mes,mon,73
ordres,ordre,21
/?,/?,P
oui,oui,60
",",",",p
si,si,83
elle,il,51
ignore,ignorer,17
que,que,83
ces,ce,74
ordres,ordre,21
viennent,venir,17
du,de,81
du,le,71
roi,roi,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
pour,pour,81
qu',que,83
elle,il,51
n',ne,60
en,en,52
doute,douter,17
pas,pas,60
",",",",p
je,je,51
vais,aller,17
la,le,52
prévenir,prévenir,14
moi-même,moi-même,51
/.,/.,P
-,-,p
votre,votre,73
majesté,majesté,22
n',ne,60
oubliera,oublier,15
pas,pas,60
que,que,83
j',je,51
ai,avoir,17
fait,faire,12
tout,tout,52
ce,ce,52
que,que,52
j',je,51
ai,avoir,17
pu,pouvoir,12
pour,pour,81
prévenir,prévenir,14
une,un,71
rupture,rupture,22
/.,/.,P
-,-,p
oui,oui,60
",",",",p
duc,duc,21
",",",",p
je,je,51
sais,savoir,17
que,que,83
vous,vous,51
êtes,être,17
fort,fort,60
indulgent,indulgent,30
pour,pour,81
la,le,71
reine,reine,22
",",",",p
trop,trop,60
indulgent,indulgent,30
peut-être,peut-être,60
;,;,p
et,et,82
nous,nous,51
aurons,avoir,15
",",",",p
je,je,51
vous,vous,51
en,en,52
préviens,prévenir,17
",",",",p
à,à,81
parler,parler,14
plus,plus,60
tard,tard,60
de,de,81
cela,cela,52
/.,/.,P
-,-,p
quand,quand,83
il,il,51
plaira,plaire,15
à,à,81
votre,votre,73
majesté,majesté,22
;,;,p
mais,mais,82
je,je,51
serai,être,16
toujours,toujours,60
heureux,heureux,30
et,et,82
fier,fier,30
",",",",p
sire,sire,21
",",",",p
de,de,81
me,je,51
sacrifier,sacrifier,14
à,à,81
la,le,71
bonne,bon,30
harmonie,harmonie,22
que,que,52
je,je,51
désire,désirer,17
voir,voir,14
régner,régner,14
entre,entre,81
vous,vous,51
et,et,82
la,le,71
reine,reine,22
de,de,81
France,France,20
/.,/.,P
-,-,p
bien,bien,60
",",",",p
cardinal,cardinal,30
",",",",p
bien,bien,60
;,;,p
mais,mais,82
en,en,81
attendant,attendre,13
envoyez,envoyer,17
chercher,chercher,14
monsieur,monsieur,21
le,le,71
garde,garde,21
des,de,81
des,le,71
sceaux,sceau,21
;,;,p
moi,moi,51
",",",",p
j',je,51
entre,entrer,17
chez,chez,81
la,le,71
reine,reine,22
/.,/.,P
et,et,82
Louis XIII,Louis XIII,20
",",",",p
