11939
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-sixième extrait>,<>,<>
répondit,répondre,19
",",",",p
-,-,p
“,“,p
je,je,51
crierai,crier,15
comme,comme,83
un,un,71
ours,ours,21
",",",",p
comme,comme,83
une,un,52
âne,âne,21
sauvage,sauvage,30
",",",",p
comme,comme,83
une,un,71
femme,femme,22
qui,qui,52
enfante,enfanter,17
/!,/!,P
le,le,71
châtiment,châtiment,21
est,être,17
déjà,déjà,60
dans,dans,81
ton,ton,73
inceste,inceste,21
/.,/.,P
dieu,dieu,21
t',tu,51
afflige,affliger,17
de,de,81
la,le,71
stérilité,stérilité,22
du,de,81
du,le,71
mulet,mulet,21
!,!,p
et,et,82
des,de,81
des,le,71
rires,rire,21
s',se,51
élevèrent,élever,19
",",",",p
pareils,pareil,30
au,à,81
au,le,71
clapotement,clapotement,21
des,de,81
des,le,71
flots,flot,21
/.,/.,P
Vitellius,Vitellius,20
s',se,51
obstinait,obstiner,18
à,à,81
rester,rester,14
/.,/.,P
l',le,71
interprète,interprète,21
",",",",p
d',de,81
un,un,71
ton,ton,21
impassible,impassible,30
",",",",p
redisait,redire,18
",",",",p
dans,dans,81
la,le,71
langue,langue,22
des,de,81
des,le,71
Romains,Romain,20
",",",",p
toutes,tout,75
les,le,71
injures,injure,22
que,que,83
Iaokanann,Iaokanann,20
rugissait,rugir,18
dans,dans,81
la,le,71
sienne,sien,52
et,et,82
le,le,71
Tétrarque,Tétrarque,20
et,et,82
Hérodias,Hérodias,20
étaient,être,18
forcés,forcer,12
de,de,81
les,le,52
subir,subir,14
deux,deux,72
fois,fois,22
/.,/.,P
il,il,51
haletait,haleter,18
",",",",p
pendant,pendant,81
qu',que,83
elle,il,51
observait,observer,18
béante,béant,30
",",",",p
le,le,71
fond,fond,21
du,de,81
du,le,71
puits,puits,21
/.,/.,P
l',le,71
homme,homme,21
effroyable,effroyable,30
se,se,51
renversa,renverser,19
la,le,71
tête,tête,22
-,-,p
et,et,82
empoignant,empoigner,13
les,le,71
barreaux,barreau,21
",",",",p
y,y,52
colla,coller,19
son,son,73
visage,visage,21
qui,qui,52
avait,avoir,18
l',le,71
air,air,21
d',de,81
une,un,71
broussaille,broussaille,22
",",",",p
où,où,60
étincelaient,étinceler,18
deux,deux,72
charbons,charbon,21
/.,/.,P
-,-,p
“,“,p
ah,ah,93
!,!,p
c',ce,52
est,être,17
toi,toi,51
",",",",p
Iézabel,Iézabel,20
/!,/!,P
tu,tu,51
as,avoir,17
pris,prendre,12
son,son,73
coeur,coeur,21
avec,avec,81
le,le,71
craquement,craquement,21
de,de,81
ta,ton,73
chaussure,chaussure,22
/.,/.,P
tu,tu,51
hennissais,hennir,18
comme,comme,83
une,un,71
cavale,cavale,22
/.,/.,P
tu,tu,51
as,avoir,17
dressé,dresser,12
ta,ton,73
couche,couche,22
sur,sur,81
les,le,71
monts,mont,21
",",",",p
pour,pour,81
accomplir,accomplir,14
tes,ton,73
sacrifices,sacrifice,21
/!,/!,P
le,le,71
seigneur,seigneur,21
arrachera,arracher,15
tes,ton,73
pendants,pendant,21
d',de,81
oreilles,oreille,22
",",",",p
tes,ton,73
robes,robe,22
de,de,81
pourpre,pourpre,22
",",",",p
tes,ton,73
voiles,voile,21
de,de,81
lin,lin,21
",",",",p
les,le,71
anneaux,anneau,21
de,de,81
tes,ton,73
bras,bras,21
",",",",p
les,le,71
bagues,bague,22
de,de,81
tes,ton,73
pieds,pied,21
",",",",p
et,et,82
les,le,71
petits,petit,30
croissants,croissant,21
d',de,81
or,or,21
qui,qui,52
tremblent,trembler,17
sur,sur,81
ton,ton,73
front,front,21
-,-,p
tes,ton,73
miroirs,miroir,21
d',de,81
argent,argent,21
",",",",p
tes,ton,73
éventails,éventail,21
en,en,81
plumes,plume,22
d',de,81
autruche,autruche,22
",",",",p
les,le,71
patins,patin,21
de,de,81
nacre,nacre,22
qui,qui,52
haussent,hausser,17
ta,ton,73
taille,taille,22
",",",",p
l',le,71
orgueil,orgueil,21
de,de,81
tes,ton,73
diamants,diamant,21
",",",",p
les,le,71
senteurs,senteur,22
de,de,81
tes,ton,73
cheveux,cheveu,21
",",",",p
la,le,71
peinture,peinture,22
de,de,81
tes,ton,73
ongles,ongle,21
",",",",p
tous,tout,75
les,le,71
artifices,artifice,21
de,de,81
ta,ton,73
mollesse,mollesse,22
!,!,p
et,et,82
les,le,71
cailloux,caillou,21
manqueront,manquer,15
pour,pour,81
lapider,lapider,14
l',le,71
adultère,adultère,21
/!,/!,P
elle,il,51
chercha,chercher,19
du,de,81
du,le,71
regard,regard,21
une,un,71
défense,défense,22
autour,autour,60
d',de,81
elle,il,51
/.,/.,P
les,le,71
Pharisiens,Pharisiens,20
baissaient,baisser,18
hypocritement,hypocritement,60
leurs,leur,73
yeux,oeil,21
/.,/.,P
les,le,71
Sadducéens,Sadducéens,20
tournaient,tourner,18
la,le,71
tête,tête,22
",",",",p
craignant,craindre,13
d',de,81
offenser,offenser,14
le,le,71
proconsul,proconsul,21
/.,/.,P
Antipas,Antipas,20
paraissait,paraître,18
mourir,mourir,14
/.,/.,P
la,le,71
voix,voix,22
grossissait,grossir,18
",",",",p
se,se,51
développait,développer,18
roulait,rouler,18
avec,avec,81
des,de,81
des,le,71
déchirements,déchirement,21
de,de,81
tonnerre,tonnerre,21
et,et,82
l',le,71
écho,écho,21
dans,dans,81
la,le,71
montagne,montagne,22
la,le,52
répétant,répéter,13
",",",",p
elle,il,51
foudroyait,foudroyer,18
Machaerous,Machaerous,20
d',de,81
éclats,éclat,21
multipliés,multiplié,31
/.,/.,P
-,-,p
“,“,p
étale,étaler,17
toi,toi,51
dans,dans,81
la,le,71
poussière,poussière,22
",",",",p
fille,fille,22
de,de,81
Babylone,Babylone,20
/!,/!,P
fais,faire,17
moudre,moudre,14
la,le,71
farine,farine,22
/!,/!,P
ôte,ôter,17
ta,ton,73
ceinture,ceinture,22
",",",",p
détache,détacher,17
ton,ton,73
soulier,soulier,21
",",",",p
trousse,trousser,17
toi,toi,51
",",",",p
passe,passer,17
les,le,71
fleuves,fleuve,21
!,!,p
ta,ton,73
honte,honte,22
sera,être,15
découverte,découvrir,12
",",",",p
ton,ton,73
opprobre,opprobre,21
sera,être,15
vu,voir,12
!,!,p
tes,ton,73
sanglots,sanglot,21
te,tu,51
briseront,briser,15
les,le,71
dents,dent,22
/!,/!,P
l',le,71
éternel,éternel,30
exècre,exécrer,17
la,le,71
puanteur,puanteur,22
de,de,81
tes,ton,73
crimes,crime,21
/!,/!,P
maudite,maudit,31
",",",",p
maudite,maudit,31
/!,/!,P
crève,crever,17
comme,comme,83
une,un,71
chienne,chienne,22
/.,/.,P
“,“,p
la,le,71
trappe,trappe,22
se,se,51
ferma,fermer,19
",",",",p
le,le,71
couvercle,couvercle,21
se,se,51
rabattit,rabattre,19
/.,/.,P
Mannaëi,Mannaëi,20
voulait,vouloir,18
étrangler,étrangler,14
Iaokanann,Iaokanann,20
/.,/.,P
Hérodias,Hérodias,20
disparut,disparaître,19
/.,/.,P
les,le,71
Pharisiens,Pharisiens,20
étaient,être,18
scandalisés,scandaliser,12
/.,/.,P
Antipas,Antipas,20
au,à,81
au,le,71
milieu,milieu,21
d',de,81
eux,ils,51
",",",",p
se,se,51
justifiait,justifier,18
/.,/.,P
-,-,p
“,“,p
sans,sans,81
doute,doute,21
“,“,p
",",",",p
reprit,reprendre,19
Eléazar,Eléazar,20
",",",",p
“,“,p
il,il,51
faut,falloir,17
épouser,épouser,14
la,le,71
femme,femme,22
de,de,81
son,son,73
frère,frère,21
",",",",p
mais,mais,82
Hérodias,Hérodias,20
n',ne,60
était,être,18
pas,pas,60
veuve,veuve,22
",",",",p
et,et,82
de,de,81
plus,plus,60
",",",",p
elle,il,51
avait,avoir,18
un,un,71
enfant,enfant,21
",",",",p
ce,ce,52
qui,qui,52
constituait,constituer,18
l',le,71
abomination,abomination,22
/.,/.,P
“,“,p
-,-,p
“,“,p
erreur,erreur,22
!,!,p
erreur,erreur,22
!,!,p
objecta,objecter,19
le,le,71
Sadducéen,Sadducéen,20
Jonathas,Jonathas,20
/.,/.,P
“,“,p
la,le,71
Loi,loi,22
condamne,condamner,17
ces,ce,74
mariages,mariage,21
",",",",p
sans,sans,81
les,le,52
proscrire,proscrire,14
absolument,absolument,60
/.,/.,P
“,“,p
-,-,p
“,“,p
n',ne,60
importe,importer,17
!,!,p
on,on,51
est,être,17
pour,pour,81
moi,moi,51
bien,bien,60
injuste,injuste,30
!,!,p
disait,dire,18
Antipas,Antipas,20
",",",",p
-,-,p
“,“,p
car,car,82
",",",",p
enfin,enfin,60
",",",",p
Absalon,Absalon,20
a,avoir,17
couché,coucher,12
avec,avec,81
les,le,71
femmes,femme,22
de,de,81
son,son,73
père,père,21
",",",",p
Juda,Juda,20
avec,avec,81
sa,son,73
bru,bru,22
",",",",p
Ammon,Ammon,20
avec,avec,81
sa,son,73
soeur,soeur,22
",",",",p
Lot,Lot,20
avec,avec,81
ses,son,73
filles,fille,22
/.,/.,P
“,“,p
Aulus,Aulus,20
",",",",p
qui,qui,52
venait,venir,18
de,de,81
dormir,dormir,14
",",",",p
reparut,reparaître,19
à,à,81
ce,ce,74
moment,moment,21
là,là,60
/.,/.,P
quand,quand,83
il,il,51
fut,être,19
instruit,instruire,12
de,de,81
l',le,71
affaire,affaire,22
",",",",p
il,il,51
approuva,approuver,19
le,le,71
Tétrarque,Tétrarque,20
/.,/.,P
on,on,51
ne,ne,60
devait,devoir,18
point,point,60
se,se,51
gêner,gêner,14
pour,pour,81
de,de,81
pareilles,pareil,30
sottises,sottise,22
!,!,p
et,et,82
il,il,51
riait,rire,18
beaucoup,beaucoup,60
du,de,81
du,le,71
blâme,blâme,21
des,de,81
des,le,71
prêtres,prêtre,21
",",",",p
et,et,82
de,de,81
la,le,71
fureur,fureur,22
de,de,81
Iaokanann,Iaokanann,20
/.,/.,P
Hérodias,Hérodias,20
",",",",p
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
perron,perron,21
",",",",p
se,se,51
retourna,retourner,19
vers,vers,81
lui,lui,51
/.,/.,P
-,-,p
“,“,p
tu,tu,51
as,avoir,17
tort,tort,21
",",",",p
mon,mon,73
maître,maître,21
/!,/!,P
il,il,51
ordonne,ordonner,17
au,à,81
au,le,71
peuple,peuple,21
de,de,81
refuser,refuser,14
l',le,71
impôt,impôt,21
/.,/.,P
“,“,p
-,-,p
“,“,p
est,être,17
ce,ce,52
vrai,vrai,30
?,?,p
demanda,demander,19
tout,tout,60
de,de,81
suite,suite,22
",",",",p
le,le,71
Publicain,Publicain,20
/.,/.,P
les,le,71
réponses,réponse,22
furent,être,19
généralement,généralement,60
affirmatives,affirmatif,30
/.,/.,P
le,le,71
Tétrarque,Tétrarque,20
les,le,52
renforçait,renforcer,18
/.,/.,P
Vitellius,Vitellius,20
songea,songer,19
que,que,83
le,le,71
prisonnier,prisonnier,21
pouvait,pouvoir,18
s',se,51
enfuir,enfuir,14
-,-,p
et,et,82
comme,comme,83
la,le,71
conduite,conduite,22
d',de,81
Antipas,Antipas,20
lui,lui,51
semblait,sembler,18
douteuse,douteux,30
",",",",p
il,il,51
établit,établir,17
des,de,81
des,le,71
sentinelles,sentinelle,22
aux,à,81
aux,le,71
portes,porte,22
",",",",p
le,le,71
long,long,21
des,de,81
des,le,71
murs,mur,21
et,et,82
dans,dans,81
la,le,71
cour,cour,22
/.,/.,P
ensuite,ensuite,60
",",",",p
il,il,51
alla,aller,19
vers,vers,81
son,son,73
appartement,appartement,21
/.,/.,P
les,le,71
députations,députation,22
des,de,81
des,le,71
prêtres,prêtre,21
l',le,52
accompagnèrent,accompagner,19
/.,/.,P
sans,sans,81
aborder,aborder,14
la,le,71
question,question,22
de,de,81
la,le,71
sacrificature,sacrificature,22
",",",",p
chacune,chacun,52
émettait,émettre,18
ses,son,73
griefs,grief,21
/.,/.,P
tous,tout,52
l',le,52
obsédaient,obséder,18
/.,/.,P
il,il,51
les,le,52
congédia,congédier,19
/.,/.,P
Jonathas,Jonathas,20
le,le,52
quittait,quitter,18
",",",",p
quand,quand,83
il,il,51
aperçut,apercevoir,19
dans,dans,81
un,un,71
créneau,créneau,21
Antipas,Antipas,20
causant,causer,13
avec,avec,81
un,un,71
homme,homme,21
à,à,81
longs,long,30
cheveux,cheveu,21
et,et,82
en,en,81
robe,robe,22
blanche,blanc,30
",",",",p
un,un,71
Essénien,Essénien,20
-,-,p
et,et,82
il,il,51
regretta,regretter,19
de,de,81
l',le,52
avoir,avoir,14
soutenu,soutenir,12
/.,/.,P
une,un,71
réflexion,réflexion,22
avait,avoir,18
consolé,consoler,12
le,le,71
Tétrarque,Tétrarque,20
/.,/.,P
Iaokanann,Iaokanann,20
ne,ne,60
dépendait,dépendre,18
plus,plus,60
de,de,81
lui,lui,51
/.,/.,P
les,le,71
Romains,Romain,20
s',se,51
en,en,52
chargeaient,charger,18
/.,/.,P
quel,quel,75
soulagement,soulagement,21
/!,/!,P
Phanuel,Phanuel,20
se,se,51
promenait,promener,18
alors,alors,60
sur,sur,81
le,le,71
chemin,chemin,21
de,de,81
ronde,ronde,22
/.,/.,P
il,il,51
l',le,52
appela,appeler,19
et,et,82
",",",",p
désignant,désigner,13
les,le,71
soldats,soldat,21
:,:,p
-,-,p
“,“,p
ils,ils,51
sont,être,17
les,le,71
plus,plus,60
forts,fort,30
!,!,p
je,je,51
ne,ne,60
peux,pouvoir,17
le,le,52
délivrer,délivrer,14
;,;,p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
ma,mon,73
faute,faute,22
/!,/!,P
la,le,71
cour,cour,22
était,être,18
vide,vide,30
/.,/.,P
les,le,71
esclaves,esclave,21
se,se,51
reposaient,reposer,18
/.,/.,P
sur,sur,81
la,le,71
rougeur,rougeur,22
du,de,81
du,le,71
ciel,ciel,21
qui,qui,52
enflammait,enflammer,18
l',le,71
horizon,horizon,21
",",",",p
les,le,71
moindres,moindre,30
objets,objet,21
perpendiculaires,perpendiculaire,30
se,se,51
détachaient,détacher,18
en,en,81
noir,noir,21
/.,/.,P
Antipas,Antipas,20
distingua,distinguer,19
les,le,71
salines,saline,22
à,à,81
l',le,71
autre,autre,75
bout,bout,21
de,de,81
la,le,71
Mer Morte,Mer Morte,20
",",",",p
et,et,82
ne,ne,60
voyait,voir,18
plus,plus,60
les,le,71
tentes,tente,22
des,de,81
des,le,71
Arabes,Arabe,20
/.,/.,P
sans,sans,81
doute,doute,21
ils,ils,51
étaient,être,18
partis,partir,12
/?,/?,P
la,le,71
lune,lune,22
se,se,51
levait,lever,18
/.,/.,P
un,un,71
apaisement,apaisement,21
descendait,descendre,18
dans,dans,81
son,son,73
coeur,coeur,21
/.,/.,P
Phanuel,Phanuel,20
",",",",p
accablé,accablé,31
",",",",p
restait,rester,18
le,le,71
menton,menton,21
sur,sur,81
la,le,71
poitrine,poitrine,22
/.,/.,P
enfin,enfin,60
",",",",p
il,il,51
révéla,révéler,19
ce,ce,52
qu',que,52
il,il,51
avait,avoir,18
à,à,81
dire,dire,14
/.,/.,P
depuis,depuis,81
le,le,71
commencement,commencement,21
du,de,81
du,le,71
mois,mois,21
",",",",p
il,il,51
étudiait,étudier,18
le,le,71
ciel,ciel,21
avant,avant,81
l',le,71
aube,aube,22
",",",",p
la,le,71
constellation,constellation,22
de,de,81
Persée,Persée,20
se,se,51
trouvant,trouver,13
au,à,81
au,le,71
zénith,zénith,21
/.,/.,P
Agalah,Agalah,20
se,se,51
montrait,montrer,18
à,à,81
peine,peine,22
",",",",p
Algol,Algol,20
brillait,briller,18
moins,moins,60
",",",",p
Mira Coeti,Mira Coeti,20
avait,avoir,18
disparu,disparaître,12
;,;,p
-,-,p
d',de,81
où,où,60
il,il,51
augurait,augurer,18
la,le,71
mort,mort,22
d',de,81
un,un,71
homme,homme,21
considérable,considérable,30
",",",",p
cette,ce,74
nuit,nuit,22
même,même,30
",",",",p
dans,dans,81
Machaerous,Machaerous,20
/.,/.,P
lequel,lequel,52
/?,/?,P
Vitellius,Vitellius,20
était,être,18
trop,trop,60
bien,bien,60
entouré,entourer,12
",",",",p
on,on,51
n',ne,60
exécuterait,exécuter,16
pas,pas,60
Iaokanann,Iaokanann,20
/.,/.,P
“,“,p
c',ce,52
est,être,17
donc,donc,82
moi,moi,51
!,!,p
pensa,penser,19
le,le,71
Têtrarque,Têtrarque,20
/.,/.,P
peut-être,peut-être,60
que,que,83
les,le,71
Arabes,Arabe,20
allaient,aller,18
revenir,revenir,14
/?,/?,P
le,le,71
proconsul,proconsul,21
découvrirait,découvrir,16
ses,son,73
relations,relation,22
avec,avec,81
les,le,71
Parthes,Parthe,20
/?,/?,P
des,de,81
des,le,71
sicaires,sicaire,21
de,de,81
Jérusalem,Jérusalem,20
escortaient,escorter,18
les,le,71
prêtres,prêtre,21
-,-,p
ils,ils,51
avaient,avoir,18
sous,sous,81
leurs,leur,73
vêtements,vêtement,21
des,de,81
des,le,71
poignards,poignard,21
",",",",p
et,et,82
le,le,71
Tétrarque,Tétrarque,20
ne,ne,60
doutait,douter,18
pas,pas,60
de,de,81
la,le,71
science,science,22
de,de,81
Phanuel,Phanuel,20
/.,/.,P
il,il,51
eut,avoir,19
l',le,71
idée,idée,22
de,de,81
recourir,recourir,14
à,à,81
Hérodias,Hérodias,20
/.,/.,P
il,il,51
la,le,52
haïssait,haïr,18
pourtant,pourtant,60
",",",",p
mais,mais,82
elle,il,51
lui,lui,51
donnerait,donner,16
du,de,81
du,le,71
courage,courage,21
-,-,p
et,et,82
tous,tout,75
les,le,71
liens,lien,21
n',ne,60
étaient,être,18
pas,pas,60
rompus,rompre,12
de,de,81
l',le,71
ensorcellement,ensorcellement,21
qu',que,83
il,il,51
avait,avoir,18
autrefois,autrefois,60
subi,subir,12
/.,/.,P
quand,quand,83
il,il,51
entra,entrer,19
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
du,de,81
du,le,71
cinnamome,cinnamome,21
fumait,fumer,18
sur,sur,81
une,un,71
vasque,vasque,22
de,de,81
porphyre,porphyre,21
;,;,p
et,et,82
des,de,81
des,le,71
poudres,poudre,22
",",",",p
des,de,81
des,le,71
onguents,onguent,21
",",",",p
des,de,81
des,le,71
étoffes,étoffe,22
pareilles,pareil,30
à,à,81
des,de,81
des,le,71
nuages,nuage,21
",",",",p
des,de,81
des,le,71
broderies,broderie,22
plus,plus,60
légères,léger,30
que,que,83
des,de,81
des,le,71
plumes,plume,22
",",",",p
étaient,être,18
dispersées,disperser,12
/.,/.,P
il,il,51
ne,ne,60
dit,dire,19
pas,pas,60
la,le,71
prédiction,prédiction,22
de,de,81
Phanuel,Phanuel,20
",",",",p
ni,ni,82
sa,son,73
peur,peur,22
des,de,81
des,le,71
Juifs,Juif,20
et,et,82
des,de,81
des,le,71
Arabes,Arabe,20
;,;,p
elle,il,51
l',le,52
eût,avoir,19
accusé,accuser,12
d',de,81
être,être,14
lâche,lâche,30
/.,/.,P
il,il,51
parla,parler,19
seulement,seulement,60
des,de,81
des,le,71
Romains,Romain,20
/.,/.,P
Vitellius,Vitellius,20
ne,ne,60
lui,lui,51
avait,avoir,18
rien,rien,52
confié,confier,12
de,de,81
ses,son,73
projets,projet,21
militaires,militaire,30
/.,/.,P
il,il,51
le,le,52
supposait,supposer,18
ami,ami,30
de,de,81
Caïus,Caïus,20
",",",",p
que,que,83
fréquentait,fréquenter,18
Agrippa,Agrippa,20
",",",",p
-,-,p
et,et,82
il,il,51
serait,être,16
envoyé,envoyé,31
en,en,81
exil,exil,21
ou,ou,82
peut-être,peut-être,60
on,on,51
l',le,52
égorgerait,égorger,16
/.,/.,P
Hérodias,Hérodias,20
",",",",p
avec,avec,81
une,un,71
indulgence,indulgence,22
dédaigneuse,dédaigneux,30
",",",",p
tâcha,tâcher,19
de,de,81
le,le,52
rassurer,rassurer,14
/.,/.,P
-,-,p
enfin,enfin,60
",",",",p
elle,il,51
tira,tirer,19
d',de,81
un,un,71
petit,petit,30
coffre,coffre,21
une,un,71
médaille,médaille,22
bizarre,bizarre,30
",",",",p
ornée,orné,31
du,de,81
du,le,71
profil,profil,21
de,de,81
Tibère,Tibère,20
/.,/.,P
cela,cela,52
suffisait,suffire,18
à,à,81
faire,faire,14
pâlir,pâlir,14
les,le,71
licteurs,licteur,21
et,et,82
fondre,fondre,14
les,le,71
accusations,accusation,22
/.,/.,P
Antipas,Antipas,20
",",",",p
ému,ému,31
de,de,81
reconnaissance,reconnaissance,22
",",",",p
lui,lui,51
demanda,demander,19
comment,comment,60
elle,il,51
l',le,52
avait,avoir,18
/.,/.,P
-,-,p
“,“,p
on,on,51
me,je,51
l',le,52
a,avoir,17
donnée,donner,12
“,“,p
",",",",p
reprit,reprendre,19
elle,il,51
/.,/.,P
sous,sous,81
une,un,71
portière,portière,22
en,en,81
face,face,22
",",",",p
un,un,71
bras,bras,21
nu,nu,30
s',se,51
avança,avancer,19
/.,/.,P
un,un,71
bras,bras,21
jeune,jeune,30
",",",",p
charmant,charmant,30
et,et,82
comme,comme,83
tourné,tourné,31
dans,dans,81
l',le,71
ivoire,ivoire,21
par,par,81
Polyclètes,Polyclètes,20
/.,/.,P
d',de,81
une,un,71
façon,façon,22
un,un,71
peu,peu,60
gauche,gauche,30
et,et,82
cependant,cependant,82
gracieuse,gracieux,30
",",",",p
il,il,51
ramait,ramer,18
dans,dans,81
l',le,71
air,air,21
pour,pour,81
saisir,saisir,14
une,un,71
tunique,tunique,22
",",",",p
oubliée,oublié,31
sur,sur,81
une,un,71
escabelle,escabelle,22
",",",",p
près,près,81
de,de,81
la,le,71
muraille,muraille,22
/.,/.,P
une,un,71
vieille,vieux,30
femme,femme,22
la,le,52
passa,passer,19
doucement,doucement,60
",",",",p
en,en,81
écartant,écarter,13
le,le,71
rideau,rideau,21
/.,/.,P
le,le,71
Tétrarque,Tétrarque,20
eut,avoir,19
un,un,71
souvenir,souvenir,21
qu',que,52
il,il,51
ne,ne,60
pouvait,pouvoir,18
préciser,préciser,14
/.,/.,P
-,-,p
“,“,p
cette,ce,74
esclave,esclave,21
est,être,17
elle,il,51
à,à,81
toi,toi,51
/?,/?,P
que,que,52
t',tu,51
importe,importer,17
!,!,p
répondit,répondre,19
Hérodias,Hérodias,20
/.,/.,P
<III>,<>,<>
les,le,71
convives,convive,21
emplissaient,emplir,18
la,le,71
salle,salle,22
du,de,81
du,le,71
festin,festin,21
/.,/.,P
elle,il,51
avait,avoir,18
trois,trois,72
nefs,nef,22
comme,comme,83
une,un,71
basilique,basilique,22
",",",",p
et,et,82
que,que,52
séparaient,séparer,18
des,de,81
des,le,71
colonnes,colonne,22
en,en,81
bois,bois,21
d',de,81
algumi,algumi,21
",",",",p
avec,avec,81
des,de,81
des,le,71
chapiteaux,chapiteau,21
de,de,81
bronze,bronze,21
couverts,couvert,31
de,de,81
sculptures,sculpture,22
/.,/.,P
deux,deux,72
galeries,galerie,22
à,à,81
claire-voie,claire-voie,22
s',se,51
appuyaient,appuyer,18
dessus,dessus,60
;,;,p
-,-,p
et,et,82
une,un,71
troisième,troisième,72
en,en,81
filigrane,filigrane,21
d',de,81
or,or,21
se,se,51
bombait,bomber,18
au,à,81
au,le,71
fond,fond,21
",",",",p
vis-à-vis,vis-à-vis,60
d',de,81
un,un,71
cintre,cintre,21
énorme,énorme,30
",",",",p
qui,qui,52
s',se,51
ouvrait,ouvrir,18
à,à,81
l',le,71
autre,autre,75
bout,bout,21
/.,/.,P
des,de,81
des,le,71
candélabres,candélabre,21
",",",",p
brûlant,brûler,13
sur,sur,81
les,le,71
tables,table,22
alignées,aligné,31
dans,dans,81
toute,tout,75
la,le,71
longueur,longueur,22
du,de,81
du,le,71
vaisseau,vaisseau,21
",",",",p
faisaient,faire,18
des,de,81
des,le,71
buissons,buisson,21
de,de,81
feux,feu,21
",",",",p
entre,entre,81
les,le,71
coupes,coupe,22
de,de,81
terre,terre,22
peinte,peint,31
et,et,82
les,le,71
plats,plat,21
de,de,81
cuivre,cuivre,21
",",",",p
les,le,71
cubes,cube,21
de,de,81
neige,neige,22
",",",",p
les,le,71
monceaux,monceau,21
de,de,81
raisin,raisin,21
:,:,p
mais,mais,82
ces,ce,74
clartés,clarté,22
rouges,rouge,30
se,se,51
perdaient,perdre,18
progressivement,progressivement,60
",",",",p
à,à,81
cause,cause,22
de,de,81
la,le,71
hauteur,hauteur,22
du,de,81
du,le,71
plafond,plafond,21
et,et,82
des,de,81
des,le,71
points,point,21
lumineux,lumineux,30
brillaient,briller,18
",",",",p
comme,comme,83
des,de,81
des,le,71
étoiles,étoile,22
la,le,71
nuit,nuit,22
",",",",p
à,à,81
travers,travers,21
des,de,81
des,le,71
branches,branche,22
/.,/.,P
par,par,81
l',le,71
ouverture,ouverture,22
de,de,81
la,le,71
grande,grand,30
baie,baie,22
",",",",p
on,on,51
apercevait,apercevoir,18
des,de,81
des,le,71
flambeaux,flambeau,21
sur,sur,81
les,le,71
terrasses,terrasse,22
des,de,81
des,le,71
maisons,maison,22
/.,/.,P
car,car,82
Antipas,Antipas,20
fêtait,fêter,18
ses,son,73
amis,ami,21
",",",",p
son,son,73
peuple,peuple,21
",",",",p
et,et,82
tous,tout,75
ceux,celui,52
qui,qui,52
s',se,51
étaient,être,18
présentés,présenter,12
/.,/.,P
des,de,81
des,le,71
esclaves,esclave,21
",",",",p
alertes,alerte,22
comme,comme,83
des,de,81
des,le,71
chiens,chien,21
et,et,82
les,le,71
orteils,orteil,21
dans,dans,81
des,de,81
des,le,71
sandales,sandale,22
de,de,81
feutre,feutre,21
",",",",p
circulaient,circuler,18
",",",",p
en,en,81
portant,porter,13
des,de,81
des,le,71
plateaux,plateau,21
/.,/.,P
la,le,71
table,table,22
proconsulaire,proconsulaire,30
occupait,occuper,18
sous,sous,81
la,le,71
tribune,tribune,22
dorée,doré,31
",",",",p
une,un,71
estrade,estrade,22
en,en,81
planches,planche,22
de,de,81
sycomore,sycomore,21
/.,/.,P
des,de,81
des,le,71
tapis,tapis,21
de,de,81
Babylone,Babylone,20
l',le,52
enfermaient,enfermer,18
dans,dans,81
une,un,71
espèce,espèce,22
de,de,81
pavillon,pavillon,21
/.,/.,P
trois,trois,72
lits,lit,21
d',de,81
ivoire,ivoire,21
",",",",p
un,un,52
en,en,81
face,face,22
et,et,82
deux,deux,72
sur,sur,81
les,le,71
flancs,flanc,21
",",",",p
contenaient,contenir,18
Vitellius,Vitellius,20
",",",",p
son,son,73
fils,fils,21
et,et,82
Antipas,Antipas,20
/.,/.,P
le,le,71
proconsul,proconsul,21
étant,être,13
près,près,81
de,de,81
la,le,71
porte,porte,22
",",",",p
à,à,81
gauche,gauche,22
-,-,p
Aulus,Aulus,20
à,à,81
droite,droite,22
",",",",p
le,le,71
Tétrarque,Tétrarque,20
au,à,81
au,le,71
milieu,milieu,21
/.,/.,P
il,il,51
avait,avoir,18
un,un,71
lourd,lourd,30
manteau,manteau,21
noir,noir,30
",",",",p
dont,dont,52
la,le,71
trame,trame,22
disparaissait,disparaître,18
sous,sous,81
des,de,81
des,le,71
applications,application,22
de,de,81
couleur,couleur,22
",",",",p
du,de,81
du,le,71
fard,fard,21
aux,à,81
aux,le,71
pommettes,pommette,22
",",",",p
la,le,71
barbe,barbe,22
en,en,81
éventail,éventail,21
",",",",p
et,et,82
de,de,81
la,le,71
poudre,poudre,22
d',de,81
azur,azur,21
dans,dans,81
ses,son,73
cheveux,cheveu,21
serrés,serré,31
par,par,81
un,un,71
diadème,diadème,21
de,de,81
pierreries,pierreries,22
/.,/.,P
Vitellius,Vitellius,20
gardait,garder,18
son,son,73
baudrier,baudrier,21
de,de,81
pourpre,pourpre,22
",",",",p
