-
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-cinquième extrait>,<>,<>
père,père,21
/.,/.,P
Eugène,Eugène,20
",",",",p
tu,tu,51
t',tu,51
es,être,17
bien,bien,60
conduit,conduire,12
/.,/.,P
je,je,51
vous,vous,51
aimerais,aimer,16
davantage,davantage,60
si,si,83
c',ce,52
était,être,18
possible,possible,30
;,;,p
mais,mais,82
",",",",p
mon,mon,73
enfant,enfant,21
",",",",p
si,si,83
vous,vous,51
voulez,vouloir,17
faire,faire,14
fortune,fortune,22
",",",",p
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
jeter,jeter,14
comme,comme,83
ça,ça,52
des,de,81
des,le,71
douze,douze,72
mille,mille,72
francs,franc,21
par,par,81
les,le,71
fenêtres,fenêtre,22
/.,/.,P
le,le,71
comte,comte,21
de,de,81
Trailles,Trailles,20
est,être,17
joueur,joueur,30
/.,/.,P
ma,mon,73
soeur,soeur,22
ne,ne,60
veut,vouloir,17
pas,pas,60
voir,voir,14
ça,ça,52
/.,/.,P
il,il,51
aurait,avoir,16
été,être,12
chercher,chercher,14
ses,son,73
douze,douze,72
mille,mille,72
francs,franc,21
là,là,60
où,où,60
il,il,51
sait,savoir,17
perdre,perdre,14
ou,ou,82
gagner,gagner,14
des,de,81
des,le,71
monts,mont,21
d',de,81
or,or,21
/.,/.,P
un,un,71
gémissement,gémissement,21
les,le,52
fit,faire,19
revenir,revenir,14
chez,chez,81
Goriot,Goriot,20
",",",",p
qu',que,52
ils,ils,51
trouvèrent,trouver,19
en,en,81
apparence,apparence,22
endormi,endormi,31
;,;,p
mais,mais,82
quand,quand,83
les,le,71
deux,deux,72
amants,amant,21
s',se,51
approchèrent,approcher,19
",",",",p
ils,ils,51
entendirent,entendre,19
ces,ce,74
mots,mot,21
:,:,p
“,“,p
elles,ils,51
ne,ne,60
sont,être,17
pas,pas,60
heureuses,heureux,30
/!,/!,P
qu',que,52
il,il,51
dormit,dormir,19
ou,ou,82
qu',que,52
il,il,51
veillât,veiller,18
",",",",p
l',le,71
accent,accent,21
de,de,81
cette,ce,74
phrase,phrase,22
frappa,frapper,19
si,si,60
vivement,vivement,60
le,le,71
coeur,coeur,21
de,de,81
sa,son,73
fille,fille,22
",",",",p
qu',que,83
elle,il,51
s',se,51
approcha,approcher,19
du,de,81
du,le,71
grabat,grabat,21
sur,sur,81
lequel,lequel,52
gisait,gésir,18
son,son,73
père,père,21
et,et,82
le,le,52
baisa,baiser,19
au,à,81
au,le,71
front,front,21
/.,/.,P
il,il,51
ouvrit,ouvrir,19
ses,son,73
yeux,oeil,21
en,en,81
disant,dire,13
:,:,p
-,-,p
c',ce,52
est,être,17
Delphine,Delphine,20
/!,/!,P
eh,eh,93
bien,bien,60
!,!,p
comment,comment,60
vas,aller,17
tu,tu,51
?,?,p
demanda,demander,19
t,t,94
elle,il,51
/.,/.,P
-,-,p
bien,bien,60
",",",",p
dit,dire,19
il,il,51
/.,/.,P
ne,ne,60
sois,être,17
pas,pas,60
inquiète,inquiet,30
",",",",p
je,je,51
vais,aller,17
sortir,sortir,14
/.,/.,P
allez,aller,17
",",",",p
allez,aller,17
",",",",p
mes,mon,73
enfants,enfant,21
",",",",p
soyez,être,17
heureux,heureux,30
/.,/.,P
Eugène,Eugène,20
accompagna,accompagner,19
Delphine,Delphine,20
jusque,jusque,81
chez,chez,81
elle,il,51
;,;,p
mais,mais,82
",",",",p
inquiet,inquiet,30
de,de,81
l',le,71
état,état,21
dans,dans,81
lequel,lequel,52
il,il,51
avait,avoir,18
laissé,laisser,12
Goriot,Goriot,20
",",",",p
il,il,51
refusa,refuser,19
de,de,81
dîner,dîner,14
avec,avec,81
elle,il,51
",",",",p
et,et,82
revint,revenir,19
à,à,81
la,le,71
maison,maison,22
Vauquer,Vauquer,20
/.,/.,P
il,il,51
trouva,trouver,19
le,le,71
père,père,21
Goriot,Goriot,20
debout,debout,60
et,et,82
prêt,prêt,30
à,à,81
s',se,51
attabler,attabler,14
/.,/.,P
Bianchon,Bianchon,20
s',se,51
était,être,18
mis,mettre,12
de,de,81
manière,manière,22
à,à,81
bien,bien,60
examiner,examiner,14
la,le,71
figure,figure,22
du,de,81
du,le,71
vermicellier,vermicellier,21
/.,/.,P
quand,quand,83
il,il,51
lui,lui,51
vit,voir,19
prendre,prendre,14
son,son,73
pain,pain,21
et,et,82
le,le,52
sentir,sentir,14
pour,pour,81
juger,juger,14
de,de,81
la,le,71
farine,farine,22
avec,avec,81
laquelle,lequel,52
il,il,51
était,être,18
fait,faire,12
",",",",p
l',le,52
étudiant,étudier,13
",",",",p
ayant,avoir,13
observé,observer,12
dans,dans,81
ce,ce,74
mouvement,mouvement,21
une,un,71
absence,absence,22
totale,total,30
de,de,81
ce,ce,52
que,que,52
l',l',94
on,on,51
pourrait,pouvoir,16
nommer,nommer,14
la,le,71
conscience,conscience,22
de,de,81
l',le,71
acte,acte,21
",",",",p
fit,faire,19
un,un,71
geste,geste,21
sinistre,sinistre,30
/.,/.,P
-,-,p
viens,venir,17
donc,donc,82
près,près,81
de,de,81
moi,moi,51
",",",",p
monsieur,monsieur,21
l',le,71
interne,interne,21
à,à,81
Cochin,Cochin,20
",",",",p
dit,dire,19
Eugène,Eugène,20
/.,/.,P
Bianchon,Bianchon,20
s',se,51
y,y,52
transporta,transporter,19
d'autant,d'autant,60
plus,plus,60
volontiers,volontiers,60
qu',que,83
il,il,51
allait,aller,18
être,être,14
près,près,81
du,de,81
du,le,71
vieux,vieux,30
pensionnaire,pensionnaire,21
/.,/.,P
-,-,p
qu',que,52
a,avoir,17
t,t,94
il,il,51
?,?,p
demanda,demander,19
Rastignac,Rastignac,20
/.,/.,P
-,-,p
à,à,81
moins,moins,60
que,que,83
je,je,51
ne,ne,60
me,je,51
trompe,tromper,17
",",",",p
il,il,51
est,être,17
flambé,flamber,12
/!,/!,P
il,il,51
a,avoir,17
dû,devoir,12
se,se,51
passer,passer,14
quelque,quelque,75
chose,chose,22
d',de,81
extraordinaire,extraordinaire,30
en,en,81
lui,lui,51
",",",",p
il,il,51
me,je,51
semble,sembler,17
être,être,14
sous,sous,81
le,le,71
poids,poids,21
d',de,81
une,un,71
apoplexie,apoplexie,22
séreuse,séreux,30
imminente,imminent,30
/.,/.,P
quoique,quoique,83
le,le,71
bas,bas,21
de,de,81
la,le,71
figure,figure,22
soit,être,17
assez,assez,60
calme,calme,30
",",",",p
les,le,71
traits,trait,21
supérieurs,supérieur,30
du,de,81
du,le,71
visage,visage,21
se,se,51
tirent,tirer,17
vers,vers,81
le,le,71
front,front,21
malgré,malgré,81
lui,lui,51
",",",",p
vois,voir,17
/!,/!,P
puis,puis,60
les,le,71
yeux,oeil,21
sont,être,17
dans,dans,81
l',le,71
état,état,21
particulier,particulier,30
qui,qui,52
dénote,dénoter,17
l',le,71
invasion,invasion,22
du,de,81
du,le,71
sérum,sérum,21
dans,dans,81
le,le,71
cerveau,cerveau,21
/.,/.,P
ne,ne,60
dirait,dire,16
on,on,51
pas,pas,60
qu',que,83
ils,ils,51
sont,être,17
pleins,plein,30
d',de,81
une,un,71
poussière,poussière,22
fine,fin,30
/?,/?,P
demain,demain,60
matin,matin,21
j',je,51
en,en,52
saurai,savoir,15
davantage,davantage,60
/.,/.,P
-,-,p
y,y,52
aurait,avoir,16
il,il,51
quelque,quelque,75
remède,remède,21
/?,/?,P
aucun,aucun,52
/.,/.,P
peut-être,peut-être,60
pourra,pouvoir,15
t,t,94
on,on,51
retarder,retarder,14
sa,son,73
mort,mort,22
si,si,83
l',l',94
on,on,51
trouve,trouver,17
les,le,71
moyens,moyen,21
de,de,81
déterminer,déterminer,14
une,un,71
réaction,réaction,22
vers,vers,81
les,le,71
extrémités,extrémité,22
",",",",p
vers,vers,81
les,le,71
jambes,jambe,22
;,;,p
mais,mais,82
si,si,83
demain,demain,60
soir,soir,21
les,le,71
symptômes,symptôme,21
ne,ne,60
cessent,cesser,17
pas,pas,60
",",",",p
le,le,71
pauvre,pauvre,30
bonhomme,bonhomme,21
est,être,17
perdu,perdre,12
/.,/.,P
sais,savoir,17
tu,tu,51
par,par,81
quel,quel,75
événement,événement,21
la,le,71
maladie,maladie,22
a,avoir,17
été,être,12
causée,causer,12
?,?,p
il,il,51
a,avoir,17
dû,devoir,12
recevoir,recevoir,14
un,un,71
coup,coup,21
violent,violent,30
sous,sous,81
lequel,lequel,52
son,son,73
moral,moral,21
aura,avoir,15
succombé,succomber,12
/.,/.,P
-,-,p
oui,oui,60
",",",",p
dit,dire,19
Rastignac,Rastignac,20
en,en,81
se,se,51
rappelant,rappeler,13
que,que,83
les,le,71
deux,deux,72
filles,fille,22
avaient,avoir,18
battu,battre,12
sans,sans,81
relâche,relâche,22
sur,sur,81
le,le,71
coeur,coeur,21
de,de,81
leur,leur,73
père,père,21
/.,/.,P
-,-,p
au,à,81
au,le,71
moins,moins,60
",",",",p
se,se,51
disait,dire,18
Eugène,Eugène,20
",",",",p
Delphine,Delphine,20
aime,aimer,17
son,son,73
père,père,21
",",",",p
elle,il,51
/!,/!,P
le,le,71
soir,soir,21
",",",",p
aux,à,81
aux,le,71
Italiens,Italien,20
",",",",p
Rastignac,Rastignac,20
prit,prendre,19
quelques,quelque,75
précautions,précaution,22
afin,afin,81
de,de,81
ne,ne,60
pas,pas,60
trop,trop,60
alarmer,alarmer,14
madame,madame,22
de,de,81
Nucingen,Nucingen,20
/.,/.,P
-,-,p
n',ne,60
ayez,avoir,17
pas,pas,60
d',de,81
inquiétude,inquiétude,22
",",",",p
répondit,répondre,19
elle,il,51
aux,à,81
aux,le,71
premiers,premier,72
mots,mot,21
que,que,52
lui,lui,51
dit,dire,19
Eugène,Eugène,20
",",",",p
mon,mon,73
père,père,21
est,être,17
fort,fort,30
/.,/.,P
seulement,seulement,60
",",",",p
ce,ce,74
matin,matin,21
",",",",p
nous,nous,51
l',le,52
avons,avoir,17
un,un,71
peu,peu,60
secoué,secouer,12
/.,/.,P
nos,notre,73
fortunes,fortune,22
sont,être,17
en,en,81
question,question,22
",",",",p
songez,songer,17
vous,vous,51
à,à,81
l',le,71
étendue,étendue,22
de,de,81
ce,ce,74
malheur,malheur,21
/?,/?,P
je,je,51
ne,ne,60
vivrais,vivre,16
pas,pas,60
si,si,83
votre,votre,73
affection,affection,22
ne,ne,60
me,je,51
rendait,rendre,18
pas,pas,60
insensible,insensible,30
à,à,81
ce,ce,52
que,que,52
j',je,51
aurais,avoir,16
regardé,regarder,12
naguère,naguère,60
comme,comme,83
des,de,81
des,le,71
angoisses,angoisse,22
mortelles,mortel,30
/.,/.,P
il,il,51
n',ne,60
est,être,17
plus,plus,60
aujourd'hui,aujourd'hui,60
qu',que,83
une,un,71
seule,seul,30
crainte,crainte,22
",",",",p
un,un,71
seul,seul,30
malheur,malheur,21
pour,pour,81
moi,moi,51
",",",",p
c',ce,52
est,être,17
de,de,81
perdre,perdre,14
l',le,71
amour,amour,21
qui,qui,52
m',je,51
a,avoir,17
fait,faire,12
sentir,sentir,14
le,le,71
plaisir,plaisir,21
de,de,81
vivre,vivre,14
/.,/.,P
en,en,81
dehors,dehors,21
de,de,81
ce,ce,74
sentiment,sentiment,21
tout,tout,52
m',je,51
est,être,17
indifférent,indifférent,30
",",",",p
je,je,51
n',ne,60
aime,aimer,17
plus,plus,60
rien,rien,52
au,à,81
au,le,71
monde,monde,21
/.,/.,P
vous,vous,51
êtes,être,17
tout,tout,52
pour,pour,81
moi,moi,51
/.,/.,P
si,si,83
je,je,51
sens,sentir,17
le,le,71
bonheur,bonheur,21
d',de,81
être,être,14
riche,riche,30
",",",",p
c',ce,52
est,être,17
pour,pour,81
mieux,mieux,60
vous,vous,51
plaire,plaire,14
/.,/.,P
je,je,51
suis,être,17
",",",",p
à,à,81
ma,mon,73
honte,honte,22
",",",",p
plus,plus,60
amante,amante,22
que,que,83
je,je,51
ne,ne,60
suis,être,17
fille,fille,22
/.,/.,P
pourquoi,pourquoi,60
?,?,p
je,je,51
ne,ne,60
sais,savoir,17
/.,/.,P
toute,tout,75
ma,mon,73
vie,vie,22
est,être,17
en,en,81
vous,vous,51
/.,/.,P
mon,mon,73
père,père,21
m',je,51
a,avoir,17
donné,donner,12
un,un,71
coeur,coeur,21
",",",",p
mais,mais,82
vous,vous,51
l',le,52
avez,avoir,17
fait,faire,12
battre,battre,14
/.,/.,P
le,le,71
monde,monde,21
entier,entier,30
peut,pouvoir,17
me,je,51
blâmer,blâmer,14
",",",",p
que,que,52
m',je,51
importe,importer,17
!,!,p
si,si,83
vous,vous,51
",",",",p
qui,qui,52
n',ne,60
avez,avoir,17
pas,pas,60
le,le,71
droit,droit,21
de,de,81
m',je,51
en,en,52
vouloir,vouloir,14
",",",",p
m',je,51
acquittez,acquitter,17
des,de,81
des,le,71
crimes,crime,21
auxquels,à,81
auxquels,lequel,52
me,je,51
condamne,condamner,17
un,un,71
sentiment,sentiment,21
irrésistible,irrésistible,30
/?,/?,P
me,je,51
croyez,croire,17
vous,vous,51
une,un,71
fille,fille,22
dénaturée,dénaturé,31
?,?,p
oh,oh,93
",",",",p
non,non,60
",",",",p
il,il,51
est,être,17
impossible,impossible,30
de,de,81
ne,ne,60
pas,pas,60
aimer,aimer,14
un,un,71
père,père,21
aussi,aussi,60
bon,bon,30
que,que,83
l',le,52
est,être,17
le,le,71
nôtre,nôtre,52
/.,/.,P
pouvais,pouvoir,18
je,je,51
empêcher,empêcher,14
qu',que,83
il,il,51
ne,ne,60
vit,voir,19
enfin,enfin,60
les,le,71
suites,suite,22
naturelles,naturel,30
de,de,81
nos,notre,73
déplorables,déplorable,30
mariages,mariage,21
/?,/?,P
pourquoi,pourquoi,60
ne,ne,60
les,le,52
a,avoir,17
t,t,94
il,il,51
pas,pas,60
empêchés,empêcher,12
/?,/?,P
n',ne,60
était,être,18
ce,ce,52
pas,pas,60
à,à,81
lui,lui,51
de,de,81
réfléchir,réfléchir,14
pour,pour,81
nous,nous,51
/?,/?,P
aujourd'hui,aujourd'hui,60
",",",",p
je,je,51
le,le,52
sais,savoir,17
",",",",p
il,il,51
souffre,souffrir,17
autant,autant,60
que,que,83
nous,nous,51
;,;,p
mais,mais,82
que,que,52
pouvions,pouvoir,17
nous,nous,51
y,y,52
faire,faire,14
/?,/?,P
le,le,52
consoler,consoler,14
!,!,p
nous,nous,51
ne,ne,60
le,le,52
consolerions,consoler,16
de,de,81
rien,rien,52
/.,/.,P
notre,notre,73
résignation,résignation,22
lui,lui,51
faisait,faire,18
plus,plus,60
de,de,81
douleur,douleur,22
que,que,83
nos,notre,73
reproches,reproche,21
et,et,82
nos,notre,73
plaintes,plainte,22
ne,ne,60
lui,lui,51
causeraient,causer,16
de,de,81
mal,mal,21
/.,/.,P
il,il,51
est,être,17
des,de,81
des,le,71
situations,situation,22
dans,dans,81
la,le,71
vie,vie,22
où,où,60
tout,tout,52
est,être,17
amertume,amertume,22
/.,/.,P
Eugène,Eugène,20
resta,rester,19
muet,muet,30
",",",",p
saisi,saisi,31
de,de,81
tendresse,tendresse,22
par,par,81
l',le,71
expression,expression,22
naïve,naïf,30
d',de,81
un,un,71
sentiment,sentiment,21
vrai,vrai,30
/.,/.,P
si,si,83
les,le,71
Parisiennes,Parisien,20
sont,être,17
souvent,souvent,60
fausses,faux,30
",",",",p
ivres,ivre,30
de,de,81
vanité,vanité,22
",",",",p
personnelles,personnel,30
",",",",p
coquettes,coquet,30
",",",",p
froides,froid,30
",",",",p
il,il,51
est,être,17
sûr,sûr,30
que,que,83
quand,quand,83
elles,ils,51
aiment,aimer,17
réellement,réellement,60
",",",",p
elles,ils,51
sacrifient,sacrifier,17
plus,plus,60
de,de,81
sentiments,sentiment,21
que,que,52
les,le,71
autres,autre,75
femmes,femme,22
à,à,81
leurs,leur,73
passions,passion,22
;,;,p
elles,ils,51
se,se,51
grandissent,grandir,17
de,de,81
toutes,tout,75
leurs,leur,73
petitesses,petitesse,22
",",",",p
et,et,82
deviennent,devenir,17
sublimes,sublime,30
/.,/.,P
puis,puis,60
Eugène,Eugène,20
était,être,18
frappé,frapper,12
de,de,81
l',le,71
esprit,esprit,21
profond,profond,30
et,et,82
judicieux,judicieux,30
que,que,52
la,le,71
femme,femme,22
déploie,déployer,17
pour,pour,81
juger,juger,14
les,le,71
sentiments,sentiment,21
les,le,71
plus,plus,60
naturels,naturel,30
",",",",p
quand,quand,83
une,un,71
affection,affection,22
privilégiée,privilégié,31
l',le,52
en,en,52
sépare,séparer,17
et,et,82
la,le,52
met,mettre,17
à,à,81
distance,distance,22
/.,/.,P
madame,madame,22
de,de,81
Nucingen,Nucingen,20
se,se,51
choqua,choquer,19
du,de,81
du,le,71
silence,silence,21
que,que,52
gardait,garder,18
Eugène,Eugène,20
/.,/.,P
-,-,p
à,à,81
quoi,quoi,52
pensez,penser,17
vous,vous,51
donc,donc,82
?,?,p
lui,lui,51
demanda,demander,19
t,t,94
elle,il,51
/.,/.,P
-,-,p
j',je,51
écoute,écouter,17
encore,encore,60
ce,ce,52
que,que,52
vous,vous,51
m',je,51
avez,avoir,17
dit,dire,12
/.,/.,P
j',je,51
ai,avoir,17
cru,croire,12
jusqu'ici,jusqu'ici,81
vous,vous,51
aimer,aimer,14
plus,plus,60
que,que,83
vous,vous,51
ne,ne,60
m',je,51
aimiez,aimer,17
/.,/.,P
elle,il,51
sourit,sourire,19
et,et,82
s',se,51
arma,armer,19
contre,contre,81
le,le,71
plaisir,plaisir,21
qu',que,52
elle,il,51
éprouva,éprouver,19
",",",",p
pour,pour,81
laisser,laisser,14
la,le,71
conversation,conversation,22
dans,dans,81
les,le,71
bornes,borne,22
imposées,imposé,31
par,par,81
les,le,71
convenances,convenance,22
/.,/.,P
elle,il,51
n',ne,60
avait,avoir,18
jamais,jamais,60
entendu,entendre,12
les,le,71
expressions,expression,22
vibrantes,vibrant,30
d',de,81
un,un,71
amour,amour,21
jeune,jeune,30
et,et,82
sincère,sincère,30
/.,/.,P
quelques,quelque,75
mots,mot,21
de,de,81
plus,plus,60
",",",",p
elle,il,51
ne,ne,60
se,se,51
serait,être,16
plus,plus,60
contenue,contenir,12
/.,/.,P
-,-,p
Eugène,Eugène,20
",",",",p
dit,dire,19
elle,il,51
en,en,81
changeant,changer,13
de,de,81
conversation,conversation,22
",",",",p
vous,vous,51
ne,ne,60
savez,savoir,17
donc,donc,82
pas,pas,60
ce,ce,52
qui,qui,52
se,se,51
passe,passer,17
/?,/?,P
tout,tout,75
Paris,Paris,20
sera,être,15
demain,demain,60
chez,chez,81
madame,madame,22
de,de,81
Beauséant,Beauséant,20
/.,/.,P
les,le,71
Rochefide,Rochefide,20
et,et,82
le,le,71
marquis,marquis,21
d',de,81
Ajuda,Ajuda,20
se,se,51
sont,être,17
entendus,entendre,12
pour,pour,81
ne,ne,60
rien,rien,52
ébruiter,ébruiter,14
mais,mais,82
le,le,71
roi,roi,21
signe,signer,17
demain,demain,60
le,le,71
contrat,contrat,21
de,de,81
mariage,mariage,21
",",",",p
et,et,82
votre,votre,73
pauvre,pauvre,30
cousine,cousine,22
ne,ne,60
sait,savoir,17
rien,rien,52
encore,encore,60
/.,/.,P
elle,il,51
ne,ne,60
pourra,pouvoir,15
pas,pas,60
se,se,51
dispenser,dispenser,14
de,de,81
recevoir,recevoir,14
",",",",p
et,et,82
le,le,71
marquis,marquis,21
ne,ne,60
sera,être,15
pas,pas,60
à,à,81
son,son,73
bal,bal,21
/.,/.,P
on,on,51
ne,ne,60
s',se,51
entretient,entretenir,17
que,que,83
de,de,81
cette,ce,74
aventure,aventure,22
/.,/.,P
-,-,p
et,et,82
le,le,71
monde,monde,21
se,se,51
rit,rire,17
d',de,81
une,un,71
infamie,infamie,22
",",",",p
et,et,82
il,il,51
y,y,52
trempe,tremper,17
/!,/!,P
vous,vous,51
ne,ne,60
savez,savoir,17
donc,donc,82
pas,pas,60
que,que,83
madame,madame,22
de,de,81
Beauséant,Beauséant,20
en,en,52
mourra,mourir,15
/?,/?,P
non,non,60
",",",",p
dit,dire,19
Delphine,Delphine,20
en,en,81
souriant,sourire,13
",",",",p
vous,vous,51
ne,ne,60
connaissez,connaître,17
pas,pas,60
ces,ce,74
sortes,sorte,22
de,de,81
femmes,femme,22
là,là,60
/.,/.,P
mais,mais,82
tout,tout,75
Paris,Paris,20
viendra,venir,15
chez,chez,81
elle,il,51
",",",",p
et,et,82
j',je,51
y,y,52
serai,être,16
/!,/!,P
je,je,51
vous,vous,51
dois,devoir,17
ce,ce,74
bonheur,bonheur,21
là,là,60
pourtant,pourtant,60
/.,/.,P
-,-,p
mais,mais,82
",",",",p
dit,dire,19
Rastignac,Rastignac,20
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
un,un,52
de,de,81
ces,ce,74
bruits,bruit,21
absurdes,absurde,30
comme,comme,83
on,on,51
en,en,52
fait,faire,17
tant,tant,60
courir,courir,14
à,à,81
Paris,Paris,20
/?,/?,P
nous,nous,51
saurons,savoir,15
la,le,71
vérité,vérité,22
demain,demain,60
/.,/.,P
Eugène,Eugène,20
ne,ne,60
rentra,rentrer,19
pas,pas,60
à,à,81
la,le,71
maison,maison,22
Vauquer,Vauquer,20
/.,/.,P
il,il,51
ne,ne,60
put,pouvoir,19
se,se,51
résoudre,résoudre,14
à,à,81
ne,ne,60
pas,pas,60
jouir,jouir,14
de,de,81
son,son,73
nouvel,nouveau,30
appartement,appartement,21
/.,/.,P
si,si,83
",",",",p
la,le,71
veille,veille,22
",",",",p
il,il,51
avait,avoir,18
été,être,12
forcé,forcer,12
de,de,81
quitter,quitter,14
Delphine,Delphine,20
",",",",p
à,à,81
une,un,71
heure,heure,22
après,après,81
minuit,minuit,21
",",",",p
ce,ce,52
fut,être,19
Delphine,Delphine,20
qui,qui,52
le,le,52
quitta,quitter,19
vers,vers,81
deux,deux,72
heures,heure,22
pour,pour,81
retourner,retourner,14
chez,chez,81
elle,il,51
/.,/.,P
il,il,51
dormit,dormir,19
le,le,71
lendemain,lendemain,21
assez,assez,60
tard,tard,60
",",",",p
attendit,attendre,19
vers,vers,81
midi,midi,21
madame,madame,22
de,de,81
Nucingen,Nucingen,20
",",",",p
qui,qui,52
vint,venir,19
déjeuner,déjeuner,14
avec,avec,81
lui,lui,51
/.,/.,P
les,le,71
jeunes,jeune,30
gens,gens,21
sont,être,17
si,si,60
avides,avide,30
de,de,81
ces,ce,74
jolis,joli,30
bonheurs,bonheur,21
",",",",p
qu',que,83
il,il,51
avait,avoir,18
presque,presque,60
oublié,oublier,12
le,le,71
père,père,21
Goriot,Goriot,20
/.,/.,P
ce,ce,52
fut,être,19
une,un,71
longue,long,30
fête,fête,22
pour,pour,81
lui,lui,51
que,que,83
de,de,81
s',se,51
habituer,habituer,14
à,à,81
chacune,chacun,52
de,de,81
ces,ce,74
élégantes,élégant,30
choses,chose,22
qui,qui,52
lui,lui,51
appartenaient,appartenir,18
/.,/.,P
madame,madame,22
de,de,81
Nucingen,Nucingen,20
était,être,18
là,là,60
",",",",p
donnant,donner,13
à,à,81
tout,tout,75
un,un,71
nouveau,nouveau,30
prix,prix,21
/.,/.,P
cependant,cependant,82
",",",",p
vers,vers,81
quatre,quatre,72
heures,heure,22
",",",",p
les,le,71
deux,deux,72
amants,amant,21
pensèrent,penser,19
au,à,81
au,le,71
père,père,21
Goriot,Goriot,20
en,en,81
songeant,songer,13
au,à,81
au,le,71
bonheur,bonheur,21
qu',que,52
il,il,51
se,se,51
promettait,promettre,18
à,à,81
venir,venir,14
demeurer,demeurer,14
dans,dans,81
cette,ce,74
maison,maison,22
/.,/.,P
Eugène,Eugène,20
fit,faire,19
observer,observer,14
qu',que,83
il,il,51
était,être,18
nécessaire,nécessaire,30
d',de,81
y,y,52
transporter,transporter,14
promptement,promptement,60
le,le,71
bonhomme,bonhomme,21
",",",",p
s',si,83
il,il,51
devait,devoir,18
être,être,14
malade,malade,30
",",",",p
et,et,82
quitta,quitter,19
Delphine,Delphine,20
pour,pour,81
courir,courir,14
à,à,81
la,le,71
maison,maison,22
Vauquer,Vauquer,20
/.,/.,P
ni,ni,82
le,le,71
père,père,21
Goriot,Goriot,20
ni,ni,82
Bianchon,Bianchon,20
n',ne,60
étaient,être,18
à,à,81
table,table,22
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
lui,lui,51
dit,dire,19
le,le,71
peintre,peintre,21
",",",",p
le,le,71
père,père,21
Goriot,Goriot,20
est,être,17
éclopé,éclopé,30
Bianchon,Bianchon,20
est,être,17
là-haut,là-haut,60
près,près,81
de,de,81
lui,lui,51
/.,/.,P
le,le,71
bonhomme,bonhomme,21
a,avoir,17
vu,voir,12
l',le,71
une,un,52
de,de,81
ses,son,73
filles,fille,22
",",",",p
la,le,71
comtesse,comtesse,22
de,de,81
Restaurama,Restaurama,20
/.,/.,P
puis,puis,60
il,il,51
a,avoir,17
voulu,vouloir,12
sortir,sortir,14
et,et,82
sa,son,73
maladie,maladie,22
a,avoir,17
empiré,empirer,12
/.,/.,P
la,le,71
société,société,22
va,aller,17
être,être,14
privée,priver,12
d',de,81
un,un,52
de,de,81
ses,son,73
beaux,beau,30
ornements,ornement,21
/.,/.,P
Rastignac,Rastignac,20
s',se,51
élança,élancer,19
vers,vers,81
l',le,71
escalier,escalier,21
/.,/.,P
-,-,p
hé,hé,93
!,!,p
monsieur,monsieur,21
Eugène,Eugène,20
/!,/!,P
monsieur,monsieur,21
Eugène,Eugène,20
!,!,p
madame,madame,22
vous,vous,51
appelle,appeler,17
",",",",p
cria,crier,19
Sylvie,Sylvie,20
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
lui,lui,51
dit,dire,19
la,le,71
veuve,veuve,22
",",",",p
monsieur,monsieur,21
Goriot,Goriot,20
et,et,82
vous,vous,51
",",",",p
vous,vous,51
deviez,devoir,18
sortir,sortir,14
le,le,71
quinze,quinze,72
de,de,81
février,février,21
/.,/.,P
voici,voici,81
trois,trois,72
jours,jour,21
que,que,83
le,le,71
quinze,quinze,72
est,être,17
passé,passer,12
",",",",p
nous,nous,51
sommes,être,17
au,à,81
au,le,71
dix,dix,72
huit,huit,72
",",",",p
il,il,51
faudra,falloir,15
me,je,51
payer,payer,14
un,un,71
mois,mois,21
pour,pour,81
vous,vous,51
et,et,82
pour,pour,81
lui,lui,51
",",",",p
mais,mais,82
",",",",p
si,si,83
vous,vous,51
voulez,vouloir,17
garantir,garantir,14
le,le,71
père,père,21
Goriot,Goriot,20
",",",",p
votre,votre,73
parole,parole,22
me,je,51
suffira,suffire,15
/.,/.,P
-,-,p
pourquoi,pourquoi,60
?,?,p
n',ne,60
avez,avoir,17
vous,vous,51
pas,pas,60
confiance,confiance,22
/?,/?,P
confiance,confiance,22
!,!,p
si,si,83
le,le,71
bonhomme,bonhomme,21
n',ne,60
avait,avoir,18
plus,plus,60
sa,son,73
tête,tête,22
et,et,82
mourait,mourir,18
",",",",p
ses,son,73
filles,fille,22
ne,ne,60
me,je,51
donneraient,donner,16
pas,pas,60
un,un,71
liard,liard,21
",",",",p
et,et,82
toute,tout,75
sa,son,73
défroque,défroque,22
ne,ne,60
vaut,valoir,17
pas,pas,60
dix,dix,72
francs,franc,21
/.,/.,P
il,il,51
a,avoir,17
emporté,emporter,12
ce,ce,74
matin,matin,21
ses,son,73
derniers,dernier,30
couverts,couvert,21
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
pourquoi,pourquoi,60
/.,/.,P
il,il,51
s',se,51
était,être,18
mis,mettre,12
en,en,81
jeune,jeune,30
homme,homme,21
/.,/.,P
dieu,dieu,21
me,je,51
pardonne,pardonner,17
",",",",p
je,je,51
crois,croire,17
qu',que,83
il,il,51
avait,avoir,18
