11735
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-quatrième extrait>,<>,<>
assorti,assorti,31
de,de,81
livres,livre,21
obscènes,obscène,30
",",",",p
qu',que,52
il,il,51
cachait,cacher,18
dans,dans,81
un,un,71
grand,grand,30
tiroir,tiroir,21
",",",",p
sous,sous,81
une,un,71
couche,couche,22
de,de,81
chapelets,chapelet,21
et,et,82
d',de,81
images,image,22
saintes,saint,30
;,;,p
c',ce,52
était,être,18
lui,lui,51
qui,qui,52
inondait,inonder,18
la,le,71
ville,ville,22
de,de,81
photographies,photographie,22
et,et,82
de,de,81
gravures,gravure,22
honteuses,honteux,30
",",",",p
sans,sans,81
que,que,83
cela,cela,52
nuisît,nuire,18
le,le,71
moins,moins,60
du,de,81
du,le,71
monde,monde,21
à,à,81
la,le,71
vente,vente,22
des,de,81
des,le,71
paroissiens,paroissien,21
/.,/.,P
cependant,cependant,82
il,il,51
dut,devoir,19
s',se,51
effrayer,effrayer,14
",",",",p
dans,dans,81
la,le,71
matinée,matinée,22
",",",",p
de,de,81
la,le,71
façon,façon,22
cavalière,cavalier,30
dont,dont,52
il,il,51
s',se,51
était,être,18
emparé,emparer,12
de,de,81
l',le,71
hôtel,hôtel,21
des,de,81
des,le,71
postes,poste,22
/.,/.,P
il,il,51
songea,songer,19
à,à,81
faire,faire,14
ratifier,ratifier,14
son,son,73
usurpation,usurpation,22
/.,/.,P
et,et,82
c',ce,52
est,être,17
pourquoi,pourquoi,60
il,il,51
accourait,accourir,18
chez,chez,81
Rougon,Rougon,20
",",",",p
qui,qui,52
devenait,devenir,18
décidément,décidément,60
un,un,71
puissant,puissant,30
personnage,personnage,21
/.,/.,P
-,-,p
où,où,60
êtes,être,17
vous,vous,51
donc,donc,82
passé,passer,12
?,?,p
lui,lui,51
demanda,demander,19
Félicité,Félicité,20
d',de,81
un,un,71
air,air,21
méfiant,méfiant,30
/.,/.,P
alors,alors,60
il,il,51
conta,conter,19
son,son,73
histoire,histoire,22
",",",",p
qu',que,52
il,il,51
enjoliva,enjoliver,19
/.,/.,P
selon,selon,81
lui,lui,51
",",",",p
il,il,51
avait,avoir,18
sauvé,sauver,12
l',le,71
hôtel,hôtel,21
des,de,81
des,le,71
postes,poste,22
du,de,81
du,le,71
pillage,pillage,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
c',ce,52
est,être,17
entendu,entendre,12
",",",",p
restez,rester,17
y,y,52
!,!,p
dit,dire,19
Pierre,Pierre,20
après,après,81
avoir,avoir,14
réfléchi,réfléchir,12
un,un,71
moment,moment,21
/.,/.,P
rendez-vous,rendez-vous,21
utile,utile,30
/.,/.,P
cette,ce,74
dernière,dernier,30
phrase,phrase,22
indiquait,indiquer,18
la,le,71
grande,grand,30
terreur,terreur,22
des,de,81
des,le,71
Rougon,Rougon,20
;,;,p
ils,ils,51
avaient,avoir,18
peur,peur,22
qu',que,83
on,on,51
ne,ne,60
se,se,51
rendît,rendre,18
trop,trop,60
utile,utile,30
",",",",p
qu',que,83
on,on,51
ne,ne,60
sauvât,sauver,18
la,le,71
ville,ville,22
plus,plus,60
qu',que,83
eux,ils,51
/.,/.,P
mais,mais,82
Pierre,Pierre,20
n',ne,60
avait,avoir,18
trouvé,trouver,12
aucun,aucun,75
péril,péril,21
sérieux,sérieux,30
à,à,81
laisser,laisser,14
Vuillet,Vuillet,20
directeur,directeur,30
intérimaire,intérimaire,30
des,de,81
des,le,71
postes,poste,22
;,;,p
c',ce,52
était,être,18
même,même,60
une,un,71
façon,façon,22
de,de,81
s',se,51
en,en,52
débarrasser,débarrasser,14
/.,/.,P
Félicité,Félicité,20
eut,avoir,19
un,un,71
vif,vif,30
mouvement,mouvement,21
de,de,81
contrariété,contrariété,22
/.,/.,P
le,le,71
conciliabule,conciliabule,21
terminé,terminé,31
",",",",p
ces,ce,74
messieurs,monsieur,21
revinrent,revenir,19
se,se,51
mêler,mêler,14
aux,à,81
aux,le,71
groupes,groupe,21
qui,qui,52
emplissaient,emplir,18
le,le,71
salon,salon,21
/.,/.,P
ils,ils,51
durent,devoir,19
enfin,enfin,60
satisfaire,satisfaire,14
la,le,71
curiosité,curiosité,22
générale,général,30
/.,/.,P
il,il,51
leur,leur,52
fallut,falloir,19
détailler,détailler,14
par,par,81
le,le,71
menu,menu,21
les,le,71
événements,événement,21
de,de,81
la,le,71
matinée,matinée,22
/.,/.,P
Rougon,Rougon,20
fut,être,19
magnifique,magnifique,30
/.,/.,P
il,il,51
amplifia,amplifier,19
encore,encore,60
",",",",p
orna,orner,19
et,et,82
dramatisa,dramatiser,19
le,le,71
récit,récit,21
qu',que,52
il,il,51
avait,avoir,18
conté,conter,12
à,à,81
sa,son,73
femme,femme,22
/.,/.,P
la,le,71
distribution,distribution,22
des,de,81
des,le,71
fusils,fusil,21
et,et,82
des,de,81
des,le,71
cartouches,cartouche,22
fit,faire,19
haleter,haleter,14
tout,tout,75
le,le,71
monde,monde,21
/.,/.,P
mais,mais,82
ce,ce,52
fut,être,19
la,le,71
marche,marche,22
dans,dans,81
les,le,71
rues,rue,22
désertes,désert,30
et,et,82
la,le,71
prise,prise,22
de,de,81
la,le,71
mairie,mairie,22
qui,qui,52
foudroyèrent,foudroyer,19
ces,ce,74
bourgeois,bourgeois,21
de,de,81
stupeur,stupeur,22
/.,/.,P
à,à,81
chaque,chaque,75
nouveau,nouveau,30
détail,détail,21
",",",",p
une,un,71
interruption,interruption,22
partait,partir,18
/.,/.,P
-,-,p
et,et,82
vous,vous,51
n',ne,60
étiez,être,18
que,que,83
quarante,quarante,72
et,et,82
un,un,71
",",",",p
c',ce,52
est,être,17
prodigieux,prodigieux,30
/!,/!,P
ah,ah,93
bien,bien,60
!,!,p
merci,merci,21
",",",",p
il,il,51
devait,devoir,18
faire,faire,14
diablement,diablement,60
noir,noir,30
/.,/.,P
-,-,p
non,non,60
",",",",p
je,je,51
l',le,52
avoue,avouer,17
",",",",p
jamais,jamais,60
je,je,51
n',ne,60
aurais,avoir,16
osé,oser,12
cela,cela,52
/!,/!,P
alors,alors,60
",",",",p
vous,vous,51
l',le,52
avez,avoir,17
pris,prendre,12
",",",",p
comme,comme,83
ça,ça,52
",",",",p
à,à,81
la,le,71
gorge,gorge,22
/!,/!,P
et,et,82
les,le,71
insurgés,insurgé,21
",",",",p
qu',que,52
est,être,17
ce,ce,52
qu',que,52
ils,ils,51
ont,avoir,17
dit,dire,12
/?,/?,P
mais,mais,82
ces,ce,74
courtes,court,30
phrases,phrase,22
ne,ne,60
faisaient,faire,18
que,que,83
fouetter,fouetter,14
la,le,71
verve,verve,22
de,de,81
Rougon,Rougon,20
/.,/.,P
il,il,51
répondait,répondre,18
à,à,81
tout,tout,75
le,le,71
monde,monde,21
/.,/.,P
il,il,51
mimait,mimer,18
l',le,71
action,action,22
/.,/.,P
ce,ce,74
gros,gros,30
homme,homme,21
",",",",p
dans,dans,81
l',le,71
admiration,admiration,22
de,de,81
ses,son,73
propres,propre,30
exploits,exploit,21
",",",",p
retrouvait,retrouver,18
des,de,81
des,le,71
souplesses,souplesse,22
d',de,81
écolier,écolier,21
",",",",p
il,il,51
revenait,revenir,18
",",",",p
se,se,51
répétait,répéter,18
",",",",p
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
paroles,parole,22
croisées,croisé,31
",",",",p
des,de,81
des,le,71
cris,cri,21
de,de,81
surprise,surprise,22
",",",",p
des,de,81
des,le,71
conversations,conversation,22
particulières,particulier,30
qui,qui,52
s',se,51
établissaient,établir,18
brusquement,brusquement,60
pour,pour,81
la,le,71
discussion,discussion,22
d',de,81
un,un,71
détail,détail,21
;,;,p
et,et,82
il,il,51
allait,aller,18
ainsi,ainsi,60
en,en,81
s',se,51
agrandissant,agrandir,13
",",",",p
emporté,emporté,31
par,par,81
un,un,71
souffle,souffle,21
épique,épique,30
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
Granoux,Granoux,20
et,et,82
Roudier,Roudier,20
étaient,être,18
là,là,60
qui,qui,52
lui,lui,51
soufflaient,souffler,18
des,de,81
des,le,71
faits,fait,21
",",",",p
de,de,81
petits,petit,30
faits,fait,21
imperceptibles,imperceptible,30
qu',que,52
il,il,51
omettait,omettre,18
/.,/.,P
ils,ils,51
brûlaient,brûler,18
",",",",p
eux,ils,51
aussi,aussi,60
",",",",p
de,de,81
placer,placer,14
un,un,71
mot,mot,21
",",",",p
de,de,81
conter,conter,14
un,un,71
épisode,épisode,21
",",",",p
et,et,82
parfois,parfois,60
ils,ils,51
lui,lui,51
volaient,voler,18
la,le,71
parole,parole,22
/.,/.,P
ou,ou,82
bien,bien,60
ils,ils,51
parlaient,parler,18
tous,tout,75
les,le,71
trois,trois,72
ensemble,ensemble,60
/.,/.,P
mais,mais,82
lorsque,lorsque,83
",",",",p
pour,pour,81
garder,garder,14
comme,comme,83
dénouement,dénouement,21
",",",",p
comme,comme,83
bouquet,bouquet,21
",",",",p
l',le,71
épisode,épisode,21
homérique,homérique,30
de,de,81
la,le,71
glace,glace,22
cassée,cassé,31
",",",",p
Rougon,Rougon,20
voulut,vouloir,19
dire,dire,14
ce,ce,52
qui,qui,52
s',se,51
était,être,18
passé,passer,12
en,en,81
bas,bas,21
dans,dans,81
la,le,71
cour,cour,22
",",",",p
lors,lors,60
de,de,81
l',le,71
arrestation,arrestation,22
du,de,81
du,le,71
poste,poste,21
",",",",p
Roudier,Roudier,20
l',le,52
accusa,accuser,19
de,de,81
nuire,nuire,14
au,à,81
au,le,71
récit,récit,21
en,en,81
changeant,changer,13
l',le,71
ordre,ordre,21
des,de,81
des,le,71
événements,événement,21
/.,/.,P
et,et,82
ils,ils,51
se,se,51
disputèrent,disputer,19
un,un,71
instant,instant,21
avec,avec,81
quelque,quelque,75
aigreur,aigreur,22
/.,/.,P
puis,puis,60
Roudier,Roudier,20
",",",",p
voyant,voir,13
l',le,71
occasion,occasion,22
bonne,bon,30
pour,pour,81
lui,lui,51
",",",",p
s',se,51
écria,écrier,19
d',de,81
une,un,71
voix,voix,22
prompte,prompt,30
:,:,p
-,-,p
eh,eh,93
bien,bien,60
",",",",p
soit,soit,82
/!,/!,P
mais,mais,82
vous,vous,51
n',ne,60
y,y,52
étiez,être,18
pas,pas,60
/…,/…,P
laissez,laisser,17
moi,moi,51
dire,dire,14
/…,/…,P
alors,alors,60
il,il,51
expliqua,expliquer,19
longuement,longuement,60
comment,comment,60
les,le,71
insurgés,insurgé,21
s',se,51
étaient,être,18
réveillés,réveiller,12
et,et,82
comment,comment,60
on,on,51
les,le,52
avait,avoir,18
mis,mettre,12
en,en,81
joue,joue,22
pour,pour,81
les,le,52
réduire,réduire,14
à,à,81
l',le,71
impuissance,impuissance,22
/.,/.,P
il,il,51
ajouta,ajouter,19
que,que,83
le,le,71
sang,sang,21
n',ne,60
avait,avoir,18
pas,pas,60
coulé,couler,12
",",",",p
heureusement,heureusement,60
/.,/.,P
cette,ce,74
dernière,dernier,30
phrase,phrase,22
désappointa,désappointer,19
l',le,71
auditoire,auditoire,21
qui,qui,52
comptait,compter,18
sur,sur,81
son,son,73
cadavre,cadavre,21
/.,/.,P
-,-,p
mais,mais,82
vous,vous,51
avez,avoir,17
tiré,tirer,12
",",",",p
je,je,51
crois,croire,17
",",",",p
interrompit,interrompre,19
Félicité,Félicité,20
",",",",p
voyant,voir,13
que,que,83
le,le,71
drame,drame,21
était,être,18
pauvre,pauvre,30
/.,/.,P
-,-,p
oui,oui,60
",",",",p
oui,oui,60
",",",",p
trois,trois,72
coups,coup,21
de,de,81
feu,feu,21
",",",",p
reprit,reprendre,19
l',le,71
ancien,ancien,30
bonnetier,bonnetier,21
/.,/.,P
c',ce,52
est,être,17
le,le,71
charcutier,charcutier,21
Dubruel,Dubruel,20
",",",",p
monsieur,monsieur,21
Liévin,Liévin,20
et,et,82
monsieur,monsieur,21
Massicot,Massicot,20
qui,qui,52
ont,avoir,17
déchargé,décharger,12
leurs,leur,73
armes,arme,22
avec,avec,81
une,un,71
vivacité,vivacité,22
coupable,coupable,30
/.,/.,P
et,et,82
",",",",p
comme,comme,83
il,il,51
y,y,52
eut,avoir,19
quelques,quelque,75
murmures,murmure,21
:,:,p
-,-,p
coupable,coupable,30
",",",",p
je,je,51
maintiens,maintenir,17
le,le,71
mot,mot,21
",",",",p
reprit,reprendre,19
il,il,51
/.,/.,P
la,le,71
guerre,guerre,22
a,avoir,17
déjà,déjà,60
de,de,81
bien,bien,60
cruelles,cruel,30
nécessités,nécessité,22
",",",",p
sans,sans,81
qu',que,83
on,on,51
y,y,52
verse,verser,17
du,de,81
du,le,71
sang,sang,21
inutile,inutile,30
/.,/.,P
j',je,51
aurais,avoir,16
voulu,vouloir,12
vous,vous,51
voir,voir,14
à,à,81
ma,mon,73
place,place,22
/…,/…,P
d',de,81
ailleurs,ailleurs,60
",",",",p
ces,ce,74
messieurs,monsieur,21
m',je,51
ont,avoir,17
juré,jurer,12
que,que,83
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
leur,leur,73
faute,faute,22
;,;,p
ils,ils,51
ne,ne,60
s',se,51
expliquent,expliquer,17
pas,pas,60
comment,comment,60
leurs,leur,73
fusils,fusil,21
sont,être,17
partis,partir,12
/…,/…,P
et,et,82
pourtant,pourtant,60
il,il,51
y,y,52
a,avoir,17
eu,avoir,12
une,un,71
balle,balle,22
perdue,perdu,31
qui,qui,52
",",",",p
après,après,81
avoir,avoir,14
ricoché,ricocher,12
",",",",p
est,être,17
allée,aller,12
faire,faire,14
un,un,71
bleu,bleu,21
sur,sur,81
la,le,71
joue,joue,22
d',de,81
un,un,71
insurgé,insurgé,21
/…,/…,P
ce,ce,74
bleu,bleu,21
",",",",p
cette,ce,74
blessure,blessure,22
inespérée,inespéré,30
satisfit,satisfaire,19
l',le,71
auditoire,auditoire,21
/.,/.,P
sur,sur,81
quelle,quel,75
joue,joue,22
le,le,71
bleu,bleu,21
se,se,51
trouvait,trouver,18
il,il,51
",",",",p
et,et,82
comment,comment,60
une,un,71
balle,balle,22
",",",",p
même,même,60
perdue,perdu,31
",",",",p
peut,pouvoir,17
elle,il,51
frapper,frapper,14
une,un,71
joue,joue,22
sans,sans,81
la,le,52
trouer,trouer,14
/?,/?,P
cela,cela,52
donna,donner,19
sujet,sujet,21
à,à,81
de,de,81
longs,long,30
commentaires,commentaire,21
/.,/.,P
-,-,p
en,en,81
haut,haut,21
",",",",p
continua,continuer,19
Rougon,Rougon,20
de,de,81
sa,son,73
voix,voix,22
la,le,71
plus,plus,60
forte,fort,30
",",",",p
sans,sans,81
laisser,laisser,14
à,à,81
l',le,71
agitation,agitation,22
le,le,71
temps,temps,21
de,de,81
se,se,51
calmer,calmer,14
;,;,p
en,en,81
haut,haut,21
",",",",p
nous,nous,51
avions,avoir,18
fort,fort,60
à,à,81
faire,faire,14
/.,/.,P
la,le,71
lutte,lutte,22
a,avoir,17
été,être,12
rude,rude,30
/…,/…,P
et,et,82
il,il,51
décrivit,décrire,19
l',le,71
arrestation,arrestation,22
de,de,81
son,son,73
frère,frère,21
et,et,82
des,de,81
des,le,71
quatre,quatre,72
autres,autre,75
insurgés,insurgé,21
",",",",p
très,très,60
largement,largement,60
",",",",p
sans,sans,81
nommer,nommer,14
Macquart,Macquart,20
",",",",p
qu',que,52
il,il,51
appelait,appeler,18
“,“,p
le,le,71
chef,chef,21
/.,/.,P
“,“,p
les,le,71
mots,mot,21
:,:,p
“,“,p
le,le,71
cabinet,cabinet,21
de,de,81
monsieur,monsieur,21
le,le,71
maire,maire,21
",",",",p
le,le,71
fauteuil,fauteuil,21
",",",",p
le,le,71
bureau,bureau,21
de,de,81
monsieur,monsieur,21
le,le,71
maire,maire,21
",",",",p
“,“,p
revenaient,revenir,18
à,à,81
chaque,chaque,75
instant,instant,21
dans,dans,81
sa,son,73
bouche,bouche,22
et,et,82
donnaient,donner,18
",",",",p
pour,pour,81
les,le,71
auditeurs,auditeur,21
",",",",p
une,un,71
grandeur,grandeur,22
merveilleuse,merveilleux,30
à,à,81
cette,ce,74
terrible,terrible,30
scène,scène,22
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
plus,plus,60
chez,chez,81
le,le,71
portier,portier,21
",",",",p
mais,mais,82
chez,chez,81
le,le,71
premier,premier,72
magistrat,magistrat,21
de,de,81
la,le,71
ville,ville,22
qu',que,83
on,on,51
se,se,51
battait,battre,18
/.,/.,P
Roudier,Roudier,20
était,être,18
enfoncé,enfoncer,12
/.,/.,P
Rougon,Rougon,20
arriva,arriver,19
enfin,enfin,60
à,à,81
l',le,71
épisode,épisode,21
qu',que,52
il,il,51
préparait,préparer,18
depuis,depuis,81
le,le,71
commencement,commencement,21
",",",",p
et,et,82
qui,qui,52
devait,devoir,18
décidément,décidément,60
le,le,52
poser,poser,14
en,en,81
héros,héros,21
/.,/.,P
-,-,p
alors,alors,60
",",",",p
dit,dire,19
il,il,51
",",",",p
un,un,71
insurgé,insurgé,21
se,se,51
précipite,précipiter,17
sur,sur,81
moi,moi,51
/.,/.,P
j',je,51
écarte,écarter,17
le,le,71
fauteuil,fauteuil,21
de,de,81
monsieur,monsieur,21
le,le,71
maire,maire,21
",",",",p
je,je,51
prends,prendre,17
mon,mon,73
homme,homme,21
à,à,81
la,le,71
gorge,gorge,22
/.,/.,P
et,et,82
je,je,51
le,le,52
serre,serrer,17
",",",",p
vous,vous,51
pensez,penser,17
/!,/!,P
mais,mais,82
mon,mon,73
fusil,fusil,21
me,je,51
gênait,gêner,18
/.,/.,P
je,je,51
ne,ne,60
voulais,vouloir,18
pas,pas,60
le,le,52
lâcher,lâcher,14
",",",",p
on,on,51
ne,ne,60
lâche,lâcher,17
jamais,jamais,60
son,son,73
fusil,fusil,21
/.,/.,P
je,je,51
le,le,52
tenais,tenir,18
",",",",p
comme,comme,83
cela,cela,52
",",",",p
sous,sous,81
le,le,71
bras,bras,21
gauche,gauche,30
/.,/.,P
brusquement,brusquement,60
",",",",p
le,le,71
coup,coup,21
part,partir,17
/…,/…,P
tout,tout,75
l',le,71
auditoire,auditoire,21
était,être,18
pendu,pendre,12
aux,à,81
aux,le,71
lèvres,lèvre,22
de,de,81
Rougon,Rougon,20
/.,/.,P
Granoux,Granoux,20
",",",",p
qui,qui,52
allongeait,allonger,18
les,le,71
lèvres,lèvre,22
",",",",p
avec,avec,81
une,un,71
démangeaison,démangeaison,22
féroce,féroce,30
de,de,81
parler,parler,14
",",",",p
s',se,51
écria,écrier,19
:,:,p
-,-,p
non,non,60
",",",",p
non,non,60
",",",",p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
cela,cela,52
/…,/…,P
vous,vous,51
n',ne,60
avez,avoir,17
pu,pouvoir,12
voir,voir,14
",",",",p
mon,mon,73
ami,ami,21
;,;,p
vous,vous,51
vous,vous,51
battiez,battre,18
comme,comme,83
un,un,71
lion,lion,21
/…,/…,P
mais,mais,82
moi,moi,51
qui,qui,52
aidais,aider,18
à,à,81
garrotter,garrotter,14
un,un,52
des,de,81
des,le,71
prisonniers,prisonnier,21
",",",",p
j',je,51
ai,avoir,17
tout,tout,52
vu,voir,12
/…,/…,P
l',le,71
homme,homme,21
a,avoir,17
voulu,vouloir,12
vous,vous,51
assassiner,assassiner,14
;,;,p
c',ce,52
est,être,17
lui,lui,51
qui,qui,52
a,avoir,17
fait,faire,12
partir,partir,14
le,le,71
coup,coup,21
de,de,81
fusil,fusil,21
;,;,p
j',je,51
ai,avoir,17
parfaitement,parfaitement,60
aperçu,apercevoir,12
ses,son,73
doigts,doigt,21
noirs,noir,30
qu',que,52
il,il,51
glissait,glisser,18
sous,sous,81
votre,votre,73
bras,bras,21
/…,/…,P
vous,vous,51
croyez,croire,17
?,?,p
dit,dire,19
Rougon,Rougon,20
devenu,devenu,31
blême,blême,30
/.,/.,P
il,il,51
ne,ne,60
savait,savoir,18
pas,pas,60
qu',que,83
il,il,51
eût,avoir,19
couru,courir,12
un,un,71
pareil,pareil,30
danger,danger,21
",",",",p
et,et,82
le,le,71
récit,récit,21
de,de,81
l',le,71
ancien,ancien,30
marchand,marchand,21
d',de,81
amandes,amande,22
le,le,52
glaçait,glacer,18
d',de,81
effroi,effroi,21
/.,/.,P
Granoux,Granoux,20
ne,ne,60
mentait,mentir,18
pas,pas,60
d',de,81
ordinaire,ordinaire,21
;,;,p
seulement,seulement,60
",",",",p
un,un,71
jour,jour,21
de,de,81
bataille,bataille,22
",",",",p
il,il,51
est,être,17
bien,bien,60
permis,permettre,12
de,de,81
voir,voir,14
les,le,71
choses,chose,22
dramatiquement,dramatiquement,60
/.,/.,P
-,-,p
quand,quand,83
je,je,51
vous,vous,51
le,le,52
dis,dire,17
",",",",p
l',le,71
homme,homme,21
a,avoir,17
voulu,vouloir,12
vous,vous,51
assassiner,assassiner,14
",",",",p
répéta,répéter,19
t,t,94
il,il,51
avec,avec,81
conviction,conviction,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
donc,donc,82
cela,cela,52
",",",",p
dit,dire,19
Rougon,Rougon,20
",",",",p
d',de,81
une,un,71
voix,voix,22
éteinte,éteint,31
",",",",p
que,que,83
j',je,51
ai,avoir,17
entendu,entendre,12
la,le,71
balle,balle,22
siffler,siffler,14
à,à,81
mon,mon,73
oreille,oreille,22
/!,/!,P
il,il,51
y,y,52
eut,avoir,19
une,un,71
violente,violent,30
émotion,émotion,22
;,;,p
l',le,71
auditoire,auditoire,21
parut,paraître,19
frappé,frappé,31
de,de,81
respect,respect,21
devant,devant,81
ce,ce,74
héros,héros,21
/.,/.,P
il,il,51
avait,avoir,18
entendu,entendre,12
siffler,siffler,14
une,un,71
balle,balle,22
à,à,81
son,son,73
oreille,oreille,22
/!,/!,P
certes,certes,60
",",",",p
aucun,aucun,52
des,de,81
des,le,71
bourgeois,bourgeois,21
qui,qui,52
étaient,être,18
là,là,60
n',ne,60
aurait,avoir,16
pu,pouvoir,12
en,en,52
dire,dire,14
autant,autant,60
/.,/.,P
Félicité,Félicité,20
crut,croire,19
devoir,devoir,14
se,se,51
jeter,jeter,14
dans,dans,81
les,le,71
bras,bras,21
de,de,81
son,son,73
mari,mari,21
",",",",p
pour,pour,81
mettre,mettre,14
l',le,71
attendrissement,attendrissement,21
de,de,81
l',le,71
assemblée,assemblée,22
à,à,81
son,son,73
comble,comble,21
/.,/.,P
mais,mais,82
Rougon,Rougon,20
se,se,51
dégagea,dégager,19
tout,tout,60
d',de,81
un,un,71
coup,coup,21
et,et,82
termina,terminer,19
son,son,73
récit,récit,21
par,par,81
cette,ce,74
phrase,phrase,22
héroïque,héroïque,30
qui,qui,52
est,être,17
restée,rester,12
célèbre,célèbre,30
à,à,81
Plassans,Plassans,20
:,:,p
-,-,p
le,le,71
coup,coup,21
part,partir,17
",",",",p
j',je,51
entends,entendre,17
siffler,siffler,14
la,le,71
balle,balle,22
à,à,81
mon,mon,73
oreille,oreille,22
",",",",p
et,et,82
",",",",p
paf,paf,93
!,!,p
la,le,71
balle,balle,22
va,aller,17
casser,casser,14
la,le,71
glace,glace,22
de,de,81
monsieur,monsieur,21
le,le,71
maire,maire,21
/.,/.,P
ce,ce,52
fut,être,19
une,un,71
consternation,consternation,22
/.,/.,P
une,un,71
si,si,60
belle,beau,30
glace,glace,22
!,!,p
incroyable,incroyable,30
",",",",p
vraiment,vraiment,60
/!,/!,P
le,le,71
malheur,malheur,21
arrivé,arrivé,31
à,à,81
la,le,71
glace,glace,22
balança,balancer,19
dans,dans,81
la,le,71
sympathie,sympathie,22
de,de,81
ces,ce,74
messieurs,monsieur,21
l',le,71
héroïsme,héroïsme,21
de,de,81
Rougon,Rougon,20
/.,/.,P
cette,ce,74
glace,glace,22
devenait,devenir,18
une,un,71
personne,personne,22
",",",",p
et,et,82
l',l',94
on,on,51
parla,parler,19
d',de,81
elle,il,51
pendant,pendant,81
un,un,71
quart,quart,21
d',de,81
heure,heure,22
avec,avec,81
des,de,81
des,le,71
exclamations,exclamation,22
",",",",p
des,de,81
des,le,71
apitoiements,apitoiement,21
",",",",p
des,de,81
des,le,71
effusions,effusion,22
de,de,81
regret,regret,21
",",",",p
comme,comme,83
si,si,83
elle,il,51
eût,avoir,19
été,être,12
blessée,blesser,12
au,à,81
au,le,71
coeur,coeur,21
/.,/.,P
c',ce,52
était,être,18
le,le,71
bouquet,bouquet,21
tel,tel,75
que,que,83
Pierre,Pierre,20
l',le,52
avait,avoir,18
ménagé,ménager,12
",",",",p
le,le,71
dénouement,dénouement,21
de,de,81
cette,ce,74
odyssée,odyssée,22
prodigieuse,prodigieux,30
/.,/.,P
un,un,71
grand,grand,30
murmure,murmure,21
de,de,81
voix,voix,22
remplit,remplir,19
le,le,71
salon,salon,21
jaune,jaune,30
/.,/.,P
on,on,51
refaisait,refaire,18
entre,entre,81
soi,soi,51
le,le,71
récit,récit,21
qu',que,52
on,on,51
venait,venir,18
d',de,81
entendre,entendre,14
",",",",p
et,et,82
",",",",p
de,de,81
temps,temps,21
à,à,81
autre,autre,52
",",",",p
un,un,71
monsieur,monsieur,21
se,se,51
détachait,détacher,18
d',de,81
un,un,71
groupe,groupe,21
pour,pour,81
aller,aller,14
demander,demander,14
aux,à,81
aux,le,71
trois,trois,72
héros,héros,21
la,le,71
version,version,22
exacte,exact,30
de,de,81
quelque,quelque,75
fait,fait,21
contesté,contesté,31
/.,/.,P
les,le,71
héros,héros,21
rectifiaient,rectifier,18
le,le,71
fait,fait,21
avec,avec,81
une,un,71
minutie,minutie,22
scrupuleuse,scrupuleux,30
;,;,p
ils,ils,51
sentaient,sentir,18
qu',que,83
ils,ils,51
parlaient,parler,18
pour,pour,81
l',le,71
histoire,histoire,22
/.,/.,P
cependant,cependant,82
",",",",p
Rougon,Rougon,20
et,et,82
ses,son,73
deux,deux,72
lieutenants,lieutenant,21
dirent,dire,19
qu',que,83
ils,ils,51
étaient,être,18
attendus,attendre,12
à,à,81
la,le,71
mairie,mairie,22
/.,/.,P
il,il,51
se,se,51
fit,faire,19
un,un,71
silence,silence,21
respectueux,respectueux,30
;,;,p
on,on,51
se,se,51
salua,saluer,19
avec,avec,81
des,de,81
des,le,71
sourires,sourire,21
graves,grave,30
/.,/.,P
Granoux,Granoux,20
crevait,crever,18
d',de,81
importance,importance,22
;,;,p
lui,lui,51
seul,seul,30
avait,avoir,18
vu,voir,12
l',le,71
insurgé,insurgé,21
presser,presser,14
la,le,71
détente,détente,22
et,et,82
casser,casser,14
la,le,71
glace,glace,22
;,;,p
cela,cela,52
le,le,52
grandissait,grandir,18
",",",",p
le,le,52
faisait,faire,18
éclater,éclater,14
dans,dans,81
sa,son,73
peau,peau,22
/.,/.,P
en,en,81
quittant,quitter,13
le,le,71
salon,salon,21
",",",",p
il,il,51
prit,prendre,19
le,le,71
bras,bras,21
de,de,81
Roudier,Roudier,20
",",",",p
d',de,81
un,un,71
air,air,21
de,de,81
grand,grand,30
capitaine,capitaine,21
brisé,brisé,31
de,de,81
fatigue,fatigue,22
",",",",p
en,en,81
murmurant,murmurer,13
:,:,p
-,-,p
il,il,51
y,y,52
a,avoir,17
trente,trente,72
six,six,72
heures,heure,22
que,que,83
je,je,51
suis,être,17
debout,debout,60
",",",",p
et,et,82
dieu,dieu,21
sait,savoir,17
quand,quand,83
je,je,51
me,je,51
coucherai,coucher,15
/!,/!,P
Rougon,Rougon,20
",",",",p
en,en,81
s',se,51
en,en,52
allant,aller,13
",",",",p
prit,prendre,19
Vuillet,Vuillet,20
à,à,81
part,part,22
et,et,82
lui,lui,51
dit,dire,19
que,que,83
le,le,71
parti,parti,21
de,de,81
l',le,71
ordre,ordre,21
comptait,compter,18
plus,plus,60
que,que,83
jamais,jamais,60
sur,sur,81
lui,lui,51
