11514
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dix-huitième extrait>,<>,<>
",",",",p
assis,assis,31
sur,sur,81
un,un,71
beau,beau,30
banc,banc,21
de,de,81
bois,bois,21
peint,peint,31
en,en,81
vert,vert,30
épinard,épinard,21
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
six,six,72
marches,marche,22
de,de,81
pierre,pierre,22
disposées,disposé,31
en,en,81
perron,perron,21
",",",",p
ce,ce,52
qui,qui,52
faisait,faire,18
voir,voir,14
que,que,83
la,le,71
maison,maison,22
avait,avoir,18
une,un,71
cave,cave,22
/.,/.,P
le,le,71
mur,mur,21
du,de,81
du,le,71
jardin,jardin,21
et,et,82
de,de,81
la,le,71
chènevière,chènevière,22
était,être,18
crépi,crépir,12
à,à,81
chaux,chaux,22
et,et,82
à,à,81
sable,sable,21
/.,/.,P
c',ce,52
était,être,18
une,un,71
belle,beau,30
habitation,habitation,22
;,;,p
il,il,51
s',se,51
en,en,52
fallait,falloir,18
de,de,81
peu,peu,60
qu',que,83
on,on,51
ne,ne,60
la,le,52
prît,prendre,18
pour,pour,81
une,un,71
maison,maison,22
de,de,81
bourgeois,bourgeois,21
/.,/.,P
le,le,71
futur,futur,30
beau-père,beau-père,21
vint,venir,19
au-devant,au-devant,60
de,de,81
Germain,Germain,20
",",",",p
et,et,82
après,après,81
lui,lui,51
avoir,avoir,14
demandé,demander,12
",",",",p
pendant,pendant,81
cinq,cinq,72
minutes,minute,22
",",",",p
des,de,81
des,le,71
nouvelles,nouvelle,22
de,de,81
toute,tout,75
sa,son,73
famille,famille,22
",",",",p
il,il,51
ajouta,ajouter,19
la,le,71
phrase,phrase,22
consacrée,consacré,31
à,à,81
questionner,questionner,14
poliment,poliment,60
ceux,celui,52
qu',que,52
on,on,51
rencontre,rencontrer,17
sur,sur,81
le,le,71
but,but,21
de,de,81
leur,leur,73
voyage,voyage,21
:,:,p
vous,vous,51
êtes,être,17
donc,donc,82
venu,venir,12
pour,pour,81
vous,vous,51
promener,promener,14
par,par,81
ici,ici,60
/?,/?,P
je,je,51
suis,être,17
venu,venir,12
vous,vous,51
voir,voir,14
",",",",p
répondit,répondre,19
le,le,71
laboureur,laboureur,21
",",",",p
et,et,82
vous,vous,51
présenter,présenter,14
ce,ce,74
petit,petit,30
cadeau,cadeau,21
de,de,81
gibier,gibier,21
de,de,81
la,le,71
part,part,22
de,de,81
mon,mon,73
beau-père,beau-père,21
",",",",p
en,en,81
vous,vous,51
disant,dire,13
",",",",p
aussi,aussi,60
de,de,81
sa,son,73
part,part,22
",",",",p
que,que,83
vous,vous,51
devez,devoir,17
savoir,savoir,14
dans,dans,81
quelles,quel,75
intentions,intention,22
je,je,51
viens,venir,17
chez,chez,81
vous,vous,51
/.,/.,P
-,-,p
ah,ah,93
!,!,p
ah,ah,93
!,!,p
dit,dire,19
le,le,71
père,père,21
Léonard,Léonard,20
en,en,81
riant,rire,13
et,et,82
en,en,81
frappant,frapper,13
sur,sur,81
son,son,73
estomac,estomac,21
rebondi,rebondi,31
",",",",p
je,je,51
vois,voir,17
",",",",p
j',je,51
entends,entendre,17
",",",",p
j',je,51
y,y,52
suis,être,17
/!,/!,P
et,et,82
",",",",p
clignant,cligner,13
de,de,81
l',le,71
oeil,oeil,21
",",",",p
il,il,51
ajouta,ajouter,19
:,:,p
vous,vous,51
ne,ne,60
serez,être,15
pas,pas,60
le,le,71
seul,seul,30
à,à,81
faire,faire,14
vos,votre,73
compliments,compliment,21
",",",",p
mon,mon,73
jeune,jeune,30
homme,homme,21
/.,/.,P
il,il,51
y,y,52
en,en,52
a,avoir,17
déjà,déjà,60
trois,trois,72
à,à,81
la,le,71
maison,maison,22
qui,qui,52
attendent,attendre,17
comme,comme,83
vous,vous,51
/.,/.,P
moi,moi,51
",",",",p
je,je,51
ne,ne,60
renvoie,renvoyer,17
personne,personne,52
",",",",p
et,et,82
je,je,51
serais,être,16
bien,bien,60
embarrassé,embarrasser,12
de,de,81
donner,donner,14
tort,tort,21
ou,ou,82
raison,raison,22
à,à,81
quelqu'un,quelqu'un,52
",",",",p
car,car,82
ce,ce,52
sont,être,17
tous,tout,52
de,de,81
bons,bon,30
partis,parti,21
/.,/.,P
pourtant,pourtant,60
",",",",p
à,à,81
cause,cause,22
du,de,81
du,le,71
père,père,21
Maurice,Maurice,20
et,et,82
de,de,81
la,le,71
qualité,qualité,22
des,de,81
des,le,71
terres,terre,22
que,que,52
vous,vous,51
cultivez,cultiver,17
",",",",p
j',je,51
aimerais,aimer,16
mieux,mieux,60
que,que,83
ce,ce,52
fût,être,19
vous,vous,51
/.,/.,P
mais,mais,82
ma,mon,73
fille,fille,22
est,être,17
majeure,majeur,30
et,et,82
maîtresse,maître,30
de,de,81
son,son,73
bien,bien,21
;,;,p
elle,il,51
agira,agir,15
donc,donc,82
selon,selon,81
son,son,73
idée,idée,22
/.,/.,P
entrez,entrer,17
",",",",p
faites,faire,17
vous,vous,51
connaître,connaître,14
;,;,p
je,je,51
souhaite,souhaiter,17
que,que,83
vous,vous,51
ayez,avoir,17
le,le,71
bon,bon,30
numéro,numéro,21
/!,/!,P
pardon,pardon,21
",",",",p
excuse,excuse,22
",",",",p
répondit,répondre,19
Germain,Germain,20
",",",",p
fort,fort,60
surpris,surpris,31
de,de,81
se,se,51
trouver,trouver,14
en,en,81
surnuméraire,surnuméraire,30
là,là,60
où,où,60
il,il,51
avait,avoir,18
compté,compter,12
d',de,81
être,être,14
seul,seul,30
/.,/.,P
je,je,51
ne,ne,60
savais,savoir,18
pas,pas,60
que,que,83
votre,votre,73
fille,fille,22
fût,être,19
déjà,déjà,60
pourvue,pourvoir,12
de,de,81
prétendants,prétendant,21
",",",",p
et,et,82
je,je,51
n',ne,60
étais,être,18
pas,pas,60
venu,venir,12
pour,pour,81
la,le,52
disputer,disputer,14
aux,à,81
aux,le,71
autres,autre,52
/.,/.,P
-,-,p
si,si,83
vous,vous,51
avez,avoir,17
cru,croire,12
que,que,83
",",",",p
parce que,parce que,83
vous,vous,51
tardiez,tarder,18
à,à,81
venir,venir,14
",",",",p
répondit,répondre,19
",",",",p
sans,sans,81
perdre,perdre,14
sa,son,73
bonne,bon,30
humeur,humeur,22
",",",",p
le,le,71
père,père,21
Léonard,Léonard,20
",",",",p
ma,mon,73
fille,fille,22
se,se,51
trouvait,trouver,18
au,à,81
au,le,71
dépourvu,dépourvu,31
",",",",p
vous,vous,51
vous,vous,51
êtes,être,17
grandement,grandement,60
trompé,tromper,12
",",",",p
mon,mon,73
garçon,garçon,21
/.,/.,P
la,le,71
Catherine,Catherine,20
a,avoir,17
de,de,81
quoi,quoi,52
attirer,attirer,14
les,le,71
épouseurs,épouseur,21
",",",",p
et,et,82
elle,il,51
n',ne,60
aura,avoir,15
que,que,83
l',le,71
embarras,embarras,21
du,de,81
du,le,71
choix,choix,21
/.,/.,P
mais,mais,82
entrez,entrer,17
à,à,81
la,le,71
maison,maison,22
",",",",p
vous,vous,51
dis,dire,17
je,je,51
",",",",p
et,et,82
ne,ne,60
perdez,perdre,17
pas,pas,60
courage,courage,21
/.,/.,P
c',ce,52
est,être,17
une,un,71
femme,femme,22
qui,qui,52
vaut,valoir,17
la,le,71
peine,peine,22
d',de,81
être,être,14
disputée,disputer,12
/.,/.,P
et,et,82
",",",",p
poussant,pousser,13
Germain,Germain,20
par,par,81
les,le,71
épaules,épaule,22
avec,avec,81
une,un,71
rude,rude,30
gaîté,gaieté,22
:,:,p
-,-,p
allons,aller,17
",",",",p
Catherine,Catherine,20
",",",",p
s',se,51
écria,écrier,19
t,t,94
il,il,51
en,en,81
entrant,entrer,13
dans,dans,81
la,le,71
maison,maison,22
",",",",p
en,en,52
voilà,voilà,81
un,un,52
de,de,81
plus,plus,60
/!,/!,P
cette,ce,74
manière,manière,22
joviale,jovial,30
mais,mais,82
grossière,grossier,30
d',de,81
être,être,14
présenté,présenter,12
à,à,81
la,le,71
veuve,veuve,22
",",",",p
en,en,81
présence,présence,22
de,de,81
ses,son,73
autres,autre,75
soupirants,soupirant,21
",",",",p
acheva,achever,19
de,de,81
troubler,troubler,14
et,et,82
de,de,81
mécontenter,mécontenter,14
le,le,71
laboureur,laboureur,21
/.,/.,P
il,il,51
se,se,51
sentit,sentir,19
gauche,gauche,30
et,et,82
resta,rester,19
quelques,quelque,75
instants,instant,21
sans,sans,81
oser,oser,14
lever,lever,14
les,le,71
yeux,oeil,21
sur,sur,81
la,le,71
belle,belle,22
et,et,82
sur,sur,81
sa,son,73
cour,cour,22
/.,/.,P
la,le,71
veuve,veuve,22
Guérin,Guérin,20
était,être,18
bien,bien,60
faite,faire,12
et,et,82
ne,ne,60
manquait,manquer,18
pas,pas,60
de,de,81
fraîcheur,fraîcheur,22
/.,/.,P
mais,mais,82
elle,il,51
avait,avoir,18
une,un,71
expression,expression,22
de,de,81
visage,visage,21
et,et,82
une,un,71
toilette,toilette,22
qui,qui,52
déplurent,déplaire,19
tout,tout,60
d'abord,d'abord,60
à,à,81
Germain,Germain,20
/.,/.,P
elle,il,51
avait,avoir,18
l',le,71
air,air,21
hardi,hardi,30
et,et,82
content,content,30
d',de,81
elle-même,lui-même,51
",",",",p
et,et,82
ses,son,73
cornettes,cornette,22
garnies,garni,31
d',de,81
un,un,71
triple,triple,30
rang,rang,21
de,de,81
dentelle,dentelle,22
",",",",p
son,son,73
tablier,tablier,21
de,de,81
soie,soie,22
et,et,82
son,son,73
fichu,fichu,21
de,de,81
blonde,blonde,22
noire,noir,30
étaient,être,18
peu,peu,60
en,en,81
rapport,rapport,21
avec,avec,81
l',le,71
idée,idée,22
qu',que,52
il,il,51
s',se,51
était,être,18
faite,faire,12
d',de,81
une,un,71
veuve,veuve,22
sérieuse,sérieux,30
et,et,82
rangée,rangé,31
/.,/.,P
cette,ce,74
recherche,recherche,22
d',de,81
habillement,habillement,21
et,et,82
ces,ce,74
manières,manière,22
dégagées,dégagé,31
la,le,52
lui,lui,51
firent,faire,19
trouver,trouver,14
vieille,vieux,30
et,et,82
laide,laid,30
",",",",p
quoiqu',quoique,83
elle,il,51
ne,ne,60
fût,être,19
ni,ni,82
l',le,71
un,un,52
ni,ni,82
l',le,71
autre,autre,52
/.,/.,P
il,il,51
pensa,penser,19
qu',que,83
une,un,71
si,si,60
jolie,joli,30
parure,parure,22
et,et,82
des,de,81
des,le,71
manières,manière,22
si,si,60
enjouées,enjoué,30
siéraient,seoir,16
à,à,81
l',le,71
âge,âge,21
et,et,82
à,à,81
l',le,71
esprit,esprit,21
fin,fin,30
de,de,81
la,le,71
petite,petit,30
Marie,Marie,20
",",",",p
mais,mais,82
que,que,52
cette,ce,74
veuve,veuve,22
avait,avoir,18
la,le,71
plaisanterie,plaisanterie,22
lourde,lourd,30
et,et,82
hasardée,hasardé,31
",",",",p
et,et,82
qu',que,83
elle,il,51
portait,porter,18
sans,sans,81
distinction,distinction,22
ses,son,73
beaux,beau,30
atours,atour,21
/.,/.,P
les,le,71
trois,trois,72
prétendants,prétendant,21
étaient,être,18
assis,asseoir,12
à,à,81
une,un,71
table,table,22
chargée,chargé,31
de,de,81
vins,vin,21
et,et,82
de,de,81
viandes,viande,22
",",",",p
qui,qui,52
étaient,être,18
là,là,60
en,en,81
permanence,permanence,22
pour,pour,81
eux,ils,51
toute,tout,75
la,le,71
matinée,matinée,22
du,de,81
du,le,71
dimanche,dimanche,21
;,;,p
car,car,82
le,le,71
père,père,21
Léonard,Léonard,20
aimait,aimer,18
à,à,81
faire,faire,14
montre,montre,22
de,de,81
sa,son,73
richesse,richesse,22
",",",",p
et,et,82
la,le,71
veuve,veuve,22
n',ne,60
était,être,18
pas,pas,60
fâchée,fâcher,12
non,non,60
plus,plus,60
d',de,81
étaler,étaler,14
sa,son,73
belle,beau,30
vaisselle,vaisselle,22
et,et,82
de,de,81
tenir,tenir,14
table,table,22
comme,comme,83
une,un,71
rentière,rentière,22
/.,/.,P
Germain,Germain,20
",",",",p
tout,tout,60
simple,simple,30
et,et,82
confiant,confiant,30
qu',que,52
il,il,51
était,être,18
",",",",p
observa,observer,19
les,le,71
choses,chose,22
avec,avec,81
assez,assez,60
de,de,81
pénétration,pénétration,22
",",",",p
et,et,82
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
de,de,81
sa,son,73
vie,vie,22
il,il,51
se,se,51
tint,tenir,19
sur,sur,81
la,le,71
défensive,défensive,22
en,en,81
trinquant,trinquer,13
/.,/.,P
le,le,71
père,père,21
Léonard,Léonard,20
l',le,52
avait,avoir,18
forcé,forcer,12
de,de,81
prendre,prendre,14
place,place,22
avec,avec,81
ses,son,73
rivaux,rival,21
et,et,82
",",",",p
s',se,51
asseyant,asseoir,13
lui-même,lui-même,51
vis-à-vis,vis-à-vis,60
de,de,81
lui,lui,51
",",",",p
il,il,51
le,le,52
traitait,traiter,18
de,de,81
son,son,73
mieux,mieux,60
et,et,82
s',se,51
occupait,occuper,18
de,de,81
lui,lui,51
avec,avec,81
prédilection,prédilection,22
/.,/.,P
le,le,71
cadeau,cadeau,21
de,de,81
gibier,gibier,21
",",",",p
malgré,malgré,81
la,le,71
brèche,brèche,22
que,que,52
Germain,Germain,20
y,y,52
avait,avoir,18
faite,faire,12
pour,pour,81
son,son,73
propre,propre,30
compte,compte,21
",",",",p
était,être,18
encore,encore,60
assez,assez,60
copieux,copieux,30
pour,pour,81
produire,produire,14
de,de,81
l',le,71
effet,effet,21
/.,/.,P
la,le,71
veuve,veuve,22
y,y,52
parut,paraître,19
sensible,sensible,30
et,et,82
les,le,71
prétendants,prétendant,21
y,y,52
jetèrent,jeter,19
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
de,de,81
dédain,dédain,21
/.,/.,P
Germain,Germain,20
se,se,51
sentait,sentir,18
mal,mal,60
à,à,81
l',le,71
aise,aise,22
en,en,81
cette,ce,74
compagnie,compagnie,22
et,et,82
ne,ne,60
mangeait,manger,18
pas,pas,60
de,de,81
bon,bon,30
coeur,coeur,21
/.,/.,P
le,le,71
père,père,21
Léonard,Léonard,20
l',le,52
en,en,52
plaisanta,plaisanter,19
/.,/.,P
-,-,p
vous,vous,51
voilà,voilà,81
bien,bien,60
triste,triste,30
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
et,et,82
vous,vous,51
boudez,bouder,17
contre,contre,81
votre,votre,73
verre,verre,21
/.,/.,P
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
que,que,83
l',le,71
amour,amour,21
vous,vous,51
coupe,couper,17
l',le,71
appétit,appétit,21
",",",",p
car,car,82
un,un,71
galant,galant,21
à jeun,à jeun,60
ne,ne,60
sait,savoir,17
point,point,60
trouver,trouver,14
de,de,81
jolies,joli,30
paroles,parole,22
comme,comme,83
celui,celui,52
qui,qui,52
s',se,51
est,être,17
éclairci,éclaicir,12
les,le,71
idées,idée,22
avec,avec,81
une,un,71
petite,petit,30
pointe,pointe,22
de,de,81
vin,vin,21
/.,/.,P
Germain,Germain,20
fut,être,19
mortifié,mortifier,12
qu',que,83
on,on,51
le,le,52
supposât,supposer,18
déjà,déjà,60
amoureux,amoureux,30
",",",",p
et,et,82
l',le,71
air,air,21
maniéré,maniéré,30
de,de,81
la,le,71
veuve,veuve,22
",",",",p
qui,qui,52
baissa,baisser,19
les,le,71
yeux,oeil,21
en,en,81
souriant,sourire,13
",",",",p
comme,comme,83
une,un,71
personne,personne,22
sûre,sûr,30
de,de,81
son,son,73
fait,fait,21
",",",",p
lui,lui,51
donna,donner,19
l',le,71
envie,envie,22
de,de,81
protester,protester,14
contre,contre,81
sa,son,73
prétendue,prétendu,31
défaite,défaite,22
;,;,p
mais,mais,82
il,il,51
craignit,craindre,19
de,de,81
paraître,paraître,14
incivil,incivil,30
",",",",p
sourit,sourire,19
et,et,82
prit,prendre,19
patience,patience,22
/.,/.,P
les,le,71
galants,galant,21
de,de,81
la,le,71
veuve,veuve,22
lui,lui,51
parurent,paraître,19
trois,trois,72
rustres,rustre,21
/.,/.,P
il,il,51
fallait,falloir,18
qu',que,83
ils,ils,51
fussent,être,18
bien,bien,60
riches,riche,30
pour,pour,81
qu',que,83
elle,il,51
admît,admettre,18
leurs,leur,73
prétentions,prétention,22
/.,/.,P
l',le,71
un,un,52
avait,avoir,18
plus,plus,60
de,de,81
quarante,quarante,72
ans,an,21
et,et,82
était,être,18
quasi,quasi,60
aussi,aussi,60
gros,gros,30
que,que,83
le,le,71
père,père,21
Léonard,Léonard,20
;,;,p
un,un,71
autre,autre,52
était,être,18
borgne,borgne,30
et,et,82
buvait,boire,18
tant,tant,60
qu',que,83
il,il,51
en,en,52
était,être,18
abruti,abrutir,12
;,;,p
le,le,71
troisième,troisième,72
était,être,18
jeune,jeune,30
et,et,82
assez,assez,60
joli,joli,30
garçon,garçon,21
;,;,p
mais,mais,82
il,il,51
voulait,vouloir,18
faire,faire,14
de,de,81
l',le,71
esprit,esprit,21
et,et,82
disait,dire,18
des,de,81
des,le,71
choses,chose,22
si,si,60
plates,plat,30
que,que,83
cela,cela,52
faisait,faire,18
pitié,pitié,22
/.,/.,P
pourtant,pourtant,60
la,le,71
veuve,veuve,22
en,en,52
riait,rire,18
comme,comme,83
si,si,83
elle,il,51
eût,avoir,19
admiré,admirer,12
toutes,tout,75
ces,ce,74
sottises,sottise,22
et,et,82
",",",",p
en,en,81
cela,cela,52
",",",",p
elle,il,51
ne,ne,60
faisait,faire,18
pas,pas,60
preuve,preuve,22
de,de,81
goût,goût,21
/.,/.,P
Germain,Germain,20
crut,croire,19
d'abord,d'abord,60
qu',que,83
elle,il,51
en,en,52
était,être,18
coiffée,coiffer,12
;,;,p
mais,mais,82
bientôt,bientôt,60
il,il,51
s',se,51
aperçut,apercevoir,19
qu',que,83
il,il,51
était,être,18
lui-même,lui-même,51
encouragé,encourager,12
d',de,81
une,un,71
manière,manière,22
particulière,particulier,30
et,et,82
qu',que,83
on,on,51
souhaitait,souhaiter,18
qu',que,83
il,il,51
se,se,51
livrât,livrer,18
davantage,davantage,60
/.,/.,P
ce,ce,52
lui,lui,51
fut,être,19
une,un,71
raison,raison,22
pour,pour,81
se,se,51
sentir,sentir,14
et,et,82
se,se,51
montrer,montrer,14
plus,plus,60
froid,froid,30
et,et,82
plus,plus,60
grave,grave,30
/.,/.,P
l',le,71
heure,heure,22
de,de,81
la,le,71
messe,messe,22
arriva,arriver,19
",",",",p
et,et,82
on,on,51
se,se,51
leva,lever,19
de,de,81
table,table,22
pour,pour,81
s',se,51
y,y,52
rendre,rendre,14
ensemble,ensemble,60
/.,/.,P
il,il,51
fallait,falloir,18
aller,aller,14
jusqu',jusque,81
à,à,81
Mers,Mers,20
",",",",p
à,à,81
une,un,71
bonne,bon,30
demi-lieue,demi-lieue,22
de,de,81
là,là,60
",",",",p
et,et,82
Germain,Germain,20
était,être,18
si,si,60
fatigué,fatiguer,12
qu',que,83
il,il,51
eût,avoir,19
fort,fort,60
souhaité,souhaité,31
avoir,avoir,14
le,le,71
temps,temps,21
de,de,81
faire,faire,14
un,un,71
somme,somme,21
auparavant,auparavant,60
;,;,p
mais,mais,82
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
coutume,coutume,22
de,de,81
manquer,manquer,14
la,le,71
messe,messe,22
et,et,82
il,il,51
se,se,51
mit,mettre,19
en,en,81
route,route,22
avec,avec,81
les,le,71
autres,autre,52
/.,/.,P
les,le,71
chemins,chemin,21
étaient,être,18
couverts,couvrir,12
de,de,81
monde,monde,21
et,et,82
la,le,71
veuve,veuve,22
marchait,marcher,18
d',de,81
un,un,71
air,air,21
fier,fier,30
",",",",p
escortée,escorté,31
de,de,81
ses,son,73
trois,trois,72
prétendants,prétendant,21
",",",",p
donnant,donner,13
le,le,71
bras,bras,21
tantôt,tantôt,60
à,à,81
l',le,71
un,un,52
",",",",p
tantôt,tantôt,60
à,à,81
l',le,71
autre,autre,52
",",",",p
se,se,51
rengorgeant,rengorger,13
et,et,82
portant,porter,13
haut,haut,60
la,le,71
tête,tête,22
/.,/.,P
elle,il,51
eût,avoir,19
fort,fort,60
souhaité,souhaiter,12
produire,produire,14
le,le,71
quatrième,quatrième,72
aux,à,81
aux,le,71
yeux,oeil,21
des,de,81
des,le,71
passants,passant,21
;,;,p
mais,mais,82
Germain,Germain,20
trouva,trouver,19
si,si,60
ridicule,ridicule,30
d',de,81
être,être,14
traîné,traîner,12
ainsi,ainsi,60
de,de,81
compagnie,compagnie,22
",",",",p
par,par,81
un,un,71
cotillon,cotillon,21
",",",",p
à,à,81
la,le,71
vue,vue,22
de,de,81
tout,tout,75
le,le,71
monde,monde,21
",",",",p
qu',que,83
il,il,51
se,se,51
tint,tenir,19
à,à,81
distance,distance,22
convenable,convenable,30
",",",",p
causant,causer,13
avec,avec,81
le,le,71
père,père,21
Léonard,Léonard,20
et,et,82
trouvant,trouver,13
moyen,moyen,30
de,de,81
le,le,52
distraire,distraire,14
et,et,82
de,de,81
l',le,52
occuper,occuper,14
assez,assez,60
pour,pour,81
qu',que,83
ils,ils,51
n',ne,60
eussent,avoir,18
point,point,60
l',le,71
air,air,21
de,de,81
faire,faire,14
partie,partie,22
de,de,81
la,le,71
bande,bande,22
/.,/.,P
<XIII>,<>,<>
le,le,71
maître,maître,21
/.,/.,P
lorsqu',lorsque,83
ils,ils,51
atteignirent,atteindre,19
le,le,71
village,village,21
",",",",p
la,le,71
veuve,veuve,22
s',se,51
arrêta,arrêter,19
pour,pour,81
les,le,52
attendre,attendre,14
/.,/.,P
elle,il,51
voulait,vouloir,18
absolument,absolument,60
faire,faire,14
son,son,73
entrée,entrée,22
avec,avec,81
tout,tout,75
son,son,73
monde,monde,21
;,;,p
mais,mais,82
Germain,Germain,20
",",",",p
lui,lui,51
refusant,refuser,13
cette,ce,74
satisfaction,satisfaction,22
",",",",p
quitta,quitter,19
le,le,71
père,père,21
Léonard,Léonard,20
",",",",p
accosta,accoster,19
plusieurs,plusieurs,75
personnes,personne,22
de,de,81
sa,son,73
connaissance,connaissance,22
et,et,82
entra,entrer,19
dans,dans,81
l',le,71
église,église,22
par,par,81
une,un,71
autre,autre,75
porte,porte,22
/.,/.,P
la,le,71
veuve,veuve,22
en,en,52
eut,avoir,19
du,de,81
du,le,71
dépit,dépit,21
/.,/.,P
après,après,81
la,le,71
messe,messe,22
",",",",p
elle,il,51
se,se,51
montra,montrer,19
partout,partout,60
triomphante,triomphant,30
sur,sur,81
la,le,71
pelouse,pelouse,22
où,où,60
l',l',94
on,on,51
dansait,danser,18
",",",",p
et,et,82
ouvrit,ouvrir,19
la,le,71
danse,danse,22
avec,avec,81
ses,son,73
trois,trois,72
amoureux,amoureux,21
successivement,successivement,60
/.,/.,P
Germain,Germain,20
la,le,52
regarda,regarder,19
faire,faire,14
et,et,82
trouva,trouver,19
qu',que,83
elle,il,51
dansait,danser,18
bien,bien,60
",",",",p
mais,mais,82
avec,avec,81
affectation,affectation,22
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
lui,lui,51
dit,dire,19
Léonard,Léonard,20
en,en,81
lui,lui,51
frappant,frapper,13
sur,sur,81
l',le,71
épaule,épaule,22
",",",",p
vous,vous,51
ne,ne,60
faites,faire,17
donc,donc,82
pas,pas,60
danser,danser,14
ma,mon,73
fille,fille,22
/?,/?,P
vous,vous,51
êtes,être,17
aussi,aussi,60
par,par,81
trop,trop,60
timide,timide,30
/!,/!,P
je,je,51
ne,ne,60
danse,danser,17
plus,plus,60
depuis,depuis,81
que,que,83
j',je,51
ai,avoir,17
perdu,perdre,12
ma,mon,73
femme,femme,22
",",",",p
répondit,répondre,19
le,le,71
laboureur,laboureur,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
puisque,puisque,83
vous,vous,51
en,en,52
recherchez,rechercher,17
une,un,71
autre,autre,52
",",",",p
le,le,71
deuil,deuil,21
est,être,17
fini,finir,12
dans,dans,81
le,le,71
coeur,coeur,21
comme,comme,83
sur,sur,81
l',le,71
habit,habit,21
/.,/.,P
-,-,p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
une,un,71
raison,raison,22
",",",",p
père,père,21
Léonard,Léonard,20
;,;,p
d',de,81
ailleurs,ailleurs,60
je,je,51
me,je,51
trouve,trouver,17
trop,trop,60
vieux,vieux,30
",",",",p
je,je,51
n',ne,60
aime,aimer,17
plus,plus,60
la,le,71
danse,danse,22
/.,/.,P
-,-,p
écoutez,écouter,17
",",",",p
reprit,reprendre,19
Léonard,Léonard,20
en,en,81
l',le,52
attirant,attirer,13
dans,dans,81
un,un,71
endroit,endroit,21
isolé,isolé,31
",",",",p
vous,vous,51
avez,avoir,17
pris,prendre,12
du,de,81
du,le,71
dépit,dépit,21
en,en,81
entrant,entrer,13
chez,chez,81
moi,moi,51
",",",",p
de,de,81
voir,voir,14
la,le,71
place,place,22
déjà,déjà,60
entourée,entouré,31
d',de,81
assiégeants,assiégeant,21
",",",",p
et,et,82
je,je,51
vois,voir,17
que,que,83
vous,vous,51
êtes,être,17
très,très,60
fier,fier,30
;,;,p
mais,mais,82
ceci,ceci,52
n',ne,60
est,être,17
pas,pas,60
raisonnable,raisonnable,30
",",",",p
mon,mon,73
garçon,garçon,21
/.,/.,P
ma,mon,73
fille,fille,22
est,être,17
habituée,habituer,12
à,à,81
être,être,14
courtisée,courtiser,12
",",",",p
surtout,surtout,60
depuis,depuis,81
deux,deux,72
ans,an,21
qu',que,83
elle,il,51
a,avoir,17
fini,finir,12
son,son,73
deuil,deuil,21
",",",",p
et,et,82
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
à,à,81
elle,il,51
à,à,81
aller,aller,14
au-devant,au-devant,60
de,de,81
vous,vous,51
/.,/.,P
-,-,p
il,il,51
y,y,52
a,avoir,17
déjà,déjà,60
deux,deux,72
ans,an,21
que,que,83
votre,votre,73
fille,fille,22
est,être,17
à,à,81
marier,marier,14
",",",",p
et,et,82
elle,il,51
n',ne,60
a,avoir,17
pas,pas,60
encore,encore,60
pris,prendre,12
son,son,73
parti,parti,21
?,?,p
dit,dire,19
Germain,Germain,20
/.,/.,P
-,-,p
elle,il,51
ne,ne,60
veut,vouloir,17
pas,pas,60
se,se,51
presser,presser,14
et,et,82
elle,il,51
a,avoir,17
raison,raison,22
/.,/.,P
quoiqu',quoique,83
elle,il,51
ait,avoir,17
la,le,71
mine,mine,22
éveillée,éveillé,31
et,et,82
qu',que,83
elle,il,51
vous,vous,51
paraisse,paraître,17
peut-être,peut-être,60
ne,ne,60
pas,pas,60
beaucoup,beaucoup,60
réfléchir,réfléchir,14
",",",",p
c',ce,52
est,être,17
une,un,71
femme,femme,22
d',de,81
un,un,71
grand,grand,30
sens,sens,21
et,et,82
qui,qui,52
sait,savoir,17
fort,fort,60
bien,bien,60
ce,ce,52
qu',que,52
elle,il,51
fait,faire,17
/.,/.,P
-,-,p
il,il,51
ne,ne,60
me,je,51
semble,sembler,17
pas,pas,60
",",",",p
dit,dire,19
Germain,Germain,20
ingénument,ingénument,60
",",",",p
car,car,82
elle,il,51
a,avoir,17
trois,trois,72
galants,galant,21
à,à,81
sa,son,73
suite,suite,22
",",",",p
et,et,82
si,si,83
elle,il,51
savait,savoir,18
ce,ce,52
qu',que,52
elle,il,51
veut,vouloir,17
",",",",p
il,il,51
y,y,52
en,en,52
aurait,avoir,16
au,à,81
au,le,71
moins,moins,60
deux,deux,72
qu',que,52
elle,il,51
trouverait,trouver,16
de,de,81
trop,trop,60
et,et,82
qu',que,52
elle,il,51
prierait,prier,16
de,de,81
rester,rester,14
chez,chez,81
eux,ils,51
/.,/.,P
-,-,p
pourquoi,pourquoi,60
donc,donc,82
?,?,p
vous,vous,51
n',ne,60
y,y,52
entendez,entendre,17
