11688
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-cinquième extrait>,<>,<>
la,le,71
cousine,cousine,22
Bette,Bette,20
devint,devenir,19
le,le,71
Mohican,Mohican,20
dont,dont,52
les,le,71
pièges,piège,21
sont,être,17
inévitables,inévitable,30
",",",",p
dont,dont,52
la,le,71
dissimulation,dissimulation,22
est,être,17
impénétrable,impénétrable,30
",",",",p
dont,dont,52
la,le,71
décision,décision,22
rapide,rapide,30
est,être,17
fondée,fonder,12
sur,sur,81
la,le,71
perfection,perfection,22
inouïe,inouï,30
des,de,81
des,le,71
organes,organe,21
/.,/.,P
elle,il,51
fut,être,19
la,le,71
haine,haine,22
et,et,82
la,le,71
vengeance,vengeance,22
sans,sans,81
transaction,transaction,22
",",",",p
comme,comme,83
elles,ils,51
sont,être,17
en,en,81
Italie,Italie,20
",",",",p
en,en,81
Espagne,Espagne,20
et,et,82
en,en,81
Orient,Orient,20
/.,/.,P
ces,ce,74
deux,deux,72
sentiments,sentiment,21
",",",",p
qui,qui,52
sont,être,17
doublés,doubler,12
de,de,81
l',le,71
amitié,amitié,22
",",",",p
de,de,81
l',le,71
amour,amour,21
poussés,poussé,31
jusqu',jusque,81
à,à,81
l',le,71
absolu,absolu,21
",",",",p
ne,ne,60
sont,être,17
connus,connaître,12
que,que,83
dans,dans,81
les,le,71
pays,pays,21
baignés,baigné,31
de,de,81
soleil,soleil,21
/.,/.,P
mais,mais,82
Lisbeth,Lisbeth,20
fut,être,19
surtout,surtout,60
fille,fille,22
de,de,81
la,le,71
Lorraine,Lorraine,20
",",",",p
c'est-à-dire,c'est-à-dire,91
résolue,résolu,31
à,à,81
tromper,tromper,14
/.,/.,P
elle,il,51
ne,ne,60
prit,prendre,19
pas,pas,60
volontiers,volontiers,60
cette,ce,74
dernière,dernier,30
partie,partie,22
de,de,81
son,son,73
rôle,rôle,21
;,;,p
elle,il,51
fit,faire,19
une,un,71
singulière,singulier,30
tentative,tentative,22
",",",",p
due,dû,31
à,à,81
son,son,73
ignorance,ignorance,22
profonde,profond,30
/.,/.,P
elle,il,51
imagina,imaginer,19
que,que,83
la,le,71
prison,prison,22
était,être,18
ce,ce,52
que,que,52
les,le,71
enfants,enfant,21
l',le,52
imaginent,imaginer,17
tous,tout,52
",",",",p
elle,il,51
confondit,confondre,19
la,le,71
mise,mise,22
au,à,81
au,le,71
secret,secret,21
avec,avec,81
l',le,71
emprisonnement,emprisonnement,21
/.,/.,P
la,le,71
mise,mise,22
au,à,81
au,le,71
secret,secret,21
est,être,17
le,le,71
superlatif,superlatif,21
de,de,81
l',le,71
emprisonnement,emprisonnement,21
",",",",p
et,et,82
ce,ce,74
superlatif,superlatif,21
est,être,17
le,le,71
privilège,privilège,21
de,de,81
la,le,71
justice,justice,22
criminelle,criminel,30
/.,/.,P
en,en,81
sortant,sortir,13
de,de,81
chez,chez,81
madame,madame,22
Marneffe,Marneffe,20
",",",",p
Lisbeth,Lisbeth,20
courut,courir,19
chez,chez,81
monsieur,monsieur,21
Rivet,Rivet,20
",",",",p
et,et,82
le,le,52
trouva,trouver,19
dans,dans,81
son,son,73
cabinet,cabinet,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
mon,mon,73
bon,bon,30
monsieur,monsieur,21
Rivet,Rivet,20
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
après,après,81
avoir,avoir,14
mis,mettre,12
le,le,71
verrou,verrou,21
à,à,81
la,le,71
porte,porte,22
du,de,81
du,le,71
cabinet,cabinet,21
",",",",p
vous,vous,51
aviez,avoir,18
raison,raison,22
",",",",p
les,le,71
Polonais,Polonais,20
!,!,p
c',ce,52
est,être,17
de,de,81
la,le,71
canaille,canaille,22
…,…,p
tous,tout,75
gens,gens,21
sans,sans,81
foi,foi,22
ni,ni,82
loi,loi,22
/.,/.,P
-,-,p
des,de,81
des,le,71
gens,gens,21
qui,qui,52
veulent,vouloir,17
mettre,mettre,14
l',le,71
Europe,Europe,20
en,en,81
feu,feu,21
",",",",p
dit,dire,19
le,le,71
pacifique,pacifique,30
Rivet,Rivet,20
",",",",p
ruiner,ruiner,14
tous,tout,75
les,le,71
commerces,commerce,21
et,et,82
les,le,71
commerçants,commerçant,21
pour,pour,81
une,un,71
patrie,patrie,22
qui,qui,52
",",",",p
dit,dire,19
on,on,51
",",",",p
est,être,17
tout,tout,60
marais,marais,21
",",",",p
pleine,plein,30
d',de,81
affreux,affreux,30
Juifs,Juif,20
",",",",p
sans,sans,81
compter,compter,14
les,le,71
cosaques,cosaque,21
et,et,82
les,le,71
paysans,paysan,21
",",",",p
espèces,espèce,22
de,de,81
bêtes,bête,22
féroces,féroce,30
classées,classé,31
à,à,81
tort,tort,21
dans,dans,81
le,le,71
genre,genre,21
humain,humain,30
/.,/.,P
ces,ce,74
Polonais,Polonais,20
méconnaissent,méconnaître,17
le,le,71
temps,temps,21
actuel,actuel,30
/.,/.,P
nous,nous,51
ne,ne,60
sommes,être,17
plus,plus,60
des,de,81
des,le,71
barbares,barbare,21
/!,/!,P
la,le,71
guerre,guerre,22
s',se,51
en,en,52
va,aller,17
",",",",p
ma,mon,73
chère,cher,30
demoiselle,demoiselle,22
",",",",p
elle,il,51
s',se,51
en,en,52
est,être,17
allée,aller,12
avec,avec,81
les,le,71
rois,roi,21
/.,/.,P
notre,notre,73
temps,temps,21
est,être,17
le,le,71
triomphe,triomphe,21
du,de,81
du,le,71
commerce,commerce,21
",",",",p
de,de,81
l',le,71
industrie,industrie,22
et,et,82
de,de,81
la,le,71
sagesse,sagesse,22
bourgeoise,bourgeois,30
qui,qui,52
ont,avoir,17
créé,créer,12
la,le,71
Hollande,Hollande,20
/.,/.,P
oui,oui,60
",",",",p
dit,dire,19
il,il,51
en,en,81
s',se,51
animant,animer,13
",",",",p
nous,nous,51
sommes,être,17
dans,dans,81
une,un,71
époque,époque,22
où,où,60
les,le,71
peuples,peuple,21
doivent,devoir,17
tout,tout,52
obtenir,obtenir,14
par,par,81
le,le,71
développement,développement,21
légal,légal,30
de,de,81
leurs,leur,73
libertés,liberté,22
",",",",p
et,et,82
par,par,81
le,le,71
jeu,jeu,21
pacifique,pacifique,30
des,de,81
des,le,71
institutions,institution,22
constitutionnelles,constitutionnel,30
;,;,p
voilà,voilà,81
ce,ce,52
que,que,52
les,le,71
Polonais,Polonais,20
ignorent,ignorer,17
",",",",p
et,et,82
j',je,51
espère,espérer,17
/…,/…,P
vous,vous,51
dites,dire,17
",",",",p
ma,mon,73
belle,belle,22
?,?,p
ajouta,ajouter,19
t,t,94
il,il,51
en,en,81
s',se,51
interrompant,interrompre,13
et,et,82
voyant,voir,13
",",",",p
à,à,81
l',le,71
air,air,21
de,de,81
son,son,73
ouvrière,ouvrière,22
",",",",p
que,que,83
la,le,71
haute,haut,30
politique,politique,22
était,être,18
hors,hors,81
de,de,81
sa,son,73
compréhension,compréhension,22
/.,/.,P
-,-,p
voici,voici,81
le,le,71
dossier,dossier,21
",",",",p
répliqua,répliquer,19
Bette,Bette,20
;,;,p
si,si,83
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
perdre,perdre,14
mes,mon,73
trois,trois,72
mille,mille,72
deux,deux,72
cent,cent,72
dix,dix,72
francs,franc,21
",",",",p
il,il,51
faut,falloir,17
mettre,mettre,14
ce,ce,74
scélérat,scélérat,21
en,en,81
prison,prison,22
/…,/…,P
ah,ah,93
!,!,p
je,je,51
vous,vous,51
l',le,52
avais,avoir,18
bien,bien,60
dit,dire,12
!,!,p
s',se,51
écria,écrier,19
l',le,71
oracle,oracle,21
du,de,81
du,le,71
quartier,quartier,21
Saint-Denis,Saint-Denis,20
/.,/.,P
la,le,71
maison,maison,22
Rivet,Rivet,20
",",",",p
successeur,successeur,21
de,de,81
Pons,Pons,20
frères,frère,21
",",",",p
était,être,18
toujours,toujours,60
restée,rester,12
rue,rue,22
des,de,81
des,le,71
mauvaises,mauvais,30
paroles,parole,22
",",",",p
dans,dans,81
l',le,71
ancien,ancien,30
hôtel,hôtel,21
de,de,81
Langeais,Langeais,20
",",",",p
bâti,bâti,31
par,par,81
cette,ce,74
illustre,illustre,30
maison,maison,22
au,à,81
au,le,71
temps,temps,21
où,où,60
les,le,71
grands,grand,30
seigneurs,seigneur,21
se,se,51
groupaient,grouper,18
autour,autour,60
du,de,81
du,le,71
Louvre,Louvre,20
/.,/.,P
-,-,p
aussi,aussi,60
",",",",p
vous,vous,51
ai,avoir,17
je,je,51
donné,donner,12
des,de,81
des,le,71
bénédictions,bénédiction,22
en,en,81
venant,venir,13
ici,ici,60
!,!,p
répondit,répondre,19
Lisbeth,Lisbeth,20
/.,/.,P
-,-,p
s',si,83
il,il,51
peut,pouvoir,17
ne,ne,60
se,se,51
douter,douter,14
de,de,81
rien,rien,52
",",",",p
il,il,51
sera,être,15
coffré,coffrer,12
dès,dès,81
quatre,quatre,72
heures,heure,22
du,de,81
du,le,71
matin,matin,21
",",",",p
dit,dire,19
le,le,71
juge,juge,21
en,en,81
consultant,consulter,13
son,son,73
almanach,almanach,21
pour,pour,81
vérifier,vérifier,14
le,le,71
lever,lever,21
du,de,81
du,le,71
soleil,soleil,21
;,;,p
mais,mais,82
après-demain,après-demain,60
seulement,seulement,60
",",",",p
car,car,82
on,on,51
ne,ne,60
peut,pouvoir,17
pas,pas,60
l',le,52
emprisonner,emprisonner,14
sans,sans,81
l',le,52
avoir,avoir,14
prévenu,prévenir,12
qu',que,83
on,on,51
veut,vouloir,17
l',le,52
arrêter,arrêter,14
par,par,81
un,un,71
commandement,commandement,21
avec,avec,81
dénonciation,dénonciation,22
de,de,81
la,le,71
contrainte,contrainte,22
par,par,81
corps,corps,21
/.,/.,P
ainsi,ainsi,60
/…,/…,P
quelle,quel,75
bête,bête,22
de,de,81
loi,loi,22
",",",",p
dit,dire,19
la,le,71
cousine,cousine,22
Bette,Bette,20
",",",",p
car,car,82
le,le,71
débiteur,débiteur,21
se,se,51
sauve,sauver,17
/.,/.,P
-,-,p
il,il,51
en,en,52
a,avoir,17
bien,bien,60
le,le,71
droit,droit,21
",",",",p
répliqua,répliquer,19
le,le,71
juge,juge,21
en,en,81
souriant,sourire,13
/.,/.,P
aussi,aussi,60
",",",",p
tenez,tenir,17
",",",",p
voici,voici,81
comment,comment,60
/…,/…,P
quant,quand,83
à,à,81
cela,cela,52
",",",",p
je,je,51
prendrai,prendre,15
le,le,71
papier,papier,21
",",",",p
dit,dire,19
la,le,71
Bette,Bette,20
en,en,81
interrompant,interrompre,13
le,le,71
consul,consul,21
",",",",p
je,je,51
le,le,52
lui,lui,51
remettrai,remettre,15
en,en,81
lui,lui,51
disant,dire,13
que,que,83
j',je,51
ai,avoir,17
été,être,12
forcée,forcer,12
de,de,81
faire,faire,14
de,de,81
l',le,71
argent,argent,21
et,et,82
que,que,83
mon,mon,73
prêteur,prêteur,21
a,avoir,17
exigé,exiger,12
cette,ce,74
formalité,formalité,22
/.,/.,P
je,je,51
connais,connaître,17
mon,mon,73
Polonais,Polonais,20
",",",",p
il,il,51
ne,ne,60
dépliera,déplier,15
seulement,seulement,60
pas,pas,60
le,le,71
papier,papier,21
",",",",p
il,il,51
en,en,52
allumera,allumer,15
sa,son,73
pipe,pipe,22
/!,/!,P
ah,ah,93
!,!,p
pas,pas,60
mal,mal,60
!,!,p
pas,pas,60
mal,mal,60
!,!,p
mademoiselle,mademoiselle,22
Fischer,Fischer,20
eh,eh,93
bien,bien,60
!,!,p
soyez,être,17
tranquille,tranquille,30
",",",",p
l',le,71
affaire,affaire,22
sera,être,15
bâclée,bâcler,12
/.,/.,P
mais,mais,82
",",",",p
un,un,71
instant,instant,21
!,!,p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
le,le,71
tout,tout,21
que,que,83
de,de,81
coffrer,coffrer,14
un,un,71
homme,homme,21
",",",",p
on,on,51
ne,ne,60
se,se,51
passe,passer,17
ce,ce,74
luxe,luxe,21
judiciaire,judiciaire,30
que,que,83
pour,pour,81
toucher,toucher,14
son,son,73
argent,argent,21
/.,/.,P
par,par,81
qui,qui,52
serez,être,15
vous,vous,51
payée,payer,12
/?,/?,P
par,par,81
ceux,celui,52
qui,qui,52
lui,lui,51
donnent,donner,17
de,de,81
l',le,71
argent,argent,21
/.,/.,P
-,-,p
ah,ah,93
!,!,p
oui,oui,60
",",",",p
j',je,51
oubliais,oublier,18
que,que,83
le,le,71
ministre,ministre,21
de,de,81
la,le,71
guerre,guerre,22
l',le,52
a,avoir,17
chargé,charger,12
du,de,81
du,le,71
monument,monument,21
érigé,érigé,31
à,à,81
l',le,71
un,un,52
de,de,81
nos,notre,73
clients,client,21
/.,/.,P
ah,ah,93
!,!,p
la,le,71
maison,maison,22
a,avoir,17
fourni,fournir,12
bien,bien,60
des,de,81
des,le,71
uniformes,uniforme,21
au,à,81
au,le,71
général,général,21
Montcornet,Montcornet,20
",",",",p
il,il,51
les,le,52
noircissait,noircir,18
promptement,promptement,60
à,à,81
la,le,71
fumée,fumée,22
des,de,81
des,le,71
canons,canon,21
",",",",p
celui-là,celui-là,52
/!,/!,P
quel,quel,75
brave,brave,21
!,!,p
et,et,82
il,il,51
payait,payer,18
recta,recta,60
/!,/!,P
un,un,71
maréchal,maréchal,21
de,de,81
France,France,20
a,avoir,17
pu,pouvoir,12
sauver,sauver,14
l',le,71
empereur,empereur,21
ou,ou,82
son,son,73
pays,pays,21
",",",",p
il,il,51
payait,payer,18
recta,recta,60
sera,être,15
toujours,toujours,60
son,son,73
plus,plus,60
bel,beau,30
éloge,éloge,21
dans,dans,81
la,le,71
bouche,bouche,22
d',de,81
un,un,71
commerçant,commerçant,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
à,à,81
samedi,samedi,21
",",",",p
monsieur,monsieur,21
Rivet,Rivet,20
",",",",p
vous,vous,51
aurez,avoir,15
vos,votre,73
glands,gland,21
plats,plat,30
/.,/.,P
à,à,81
propos,propos,21
",",",",p
je,je,51
quitte,quitter,17
la,le,71
rue,rue,22
du,de,81
du,le,71
Doyenné,Doyenné,20
",",",",p
je,je,51
vais,aller,17
demeurer,demeurer,14
rue,rue,22
Vanneau,Vanneau,20
/.,/.,P
-,-,p
vous,vous,51
faites,faire,17
bien,bien,60
",",",",p
je,je,51
vous,vous,51
voyais,voir,18
avec,avec,81
peine,peine,22
dans,dans,81
ce,ce,74
trou,trou,21
qui,qui,52
",",",",p
malgré,malgré,81
ma,mon,73
répugnance,répugnance,22
pour,pour,81
tout,tout,52
ce,ce,52
qui,qui,52
ressemble,ressembler,17
à,à,81
de,de,81
l',le,71
opposition,opposition,22
",",",",p
déshonore,déshonorer,17
",",",",p
j',je,51
ose,oser,17
le,le,52
dire,dire,14
",",",",p
oui,oui,60
!,!,p
déshonore,déshonorer,17
le,le,71
Louvre,Louvre,20
et,et,82
la,le,71
place,place,22
du,de,81
du,le,71
Carrousel,Carrousel,20
/.,/.,P
j',je,51
adore,adorer,17
Louis-Philippe,Louis-Philippe,20
",",",",p
c',ce,52
est,être,17
mon,mon,73
idole,idole,22
",",",",p
il,il,51
est,être,17
la,le,71
représentation,représentation,22
auguste,auguste,30
",",",",p
exacte,exact,30
de,de,81
la,le,71
classe,classe,22
sur,sur,81
laquelle,lequel,52
il,il,51
a,avoir,17
fondé,fonder,12
sa,son,73
dynastie,dynastie,22
",",",",p
et,et,82
je,je,51
n',ne,60
oublierai,oublier,15
jamais,jamais,60
ce,ce,52
qu',que,52
il,il,51
a,avoir,17
fait,faire,12
pour,pour,81
la,le,71
passementerie,passementerie,22
en,en,81
rétablissant,rétablir,13
la,le,71
garde,garde,22
nationale,national,30
/…,/…,P
quand,quand,83
je,je,51
vous,vous,51
entends,entendre,17
parler,parler,14
ainsi,ainsi,60
",",",",p
dit,dire,19
Lisbeth,Lisbeth,20
",",",",p
je,je,51
me,je,51
demande,demander,17
pourquoi,pourquoi,60
vous,vous,51
n',ne,60
êtes,être,17
pas,pas,60
député,député,21
/.,/.,P
-,-,p
on,on,51
craint,craindre,17
mon,mon,73
attachement,attachement,21
à,à,81
la,le,71
dynastie,dynastie,22
",",",",p
répondit,répondre,19
Rivet,Rivet,20
",",",",p
mes,mon,73
ennemis,ennemi,21
politiques,politique,30
sont,être,17
ceux,celui,52
du,de,81
du,le,71
roi,roi,21
",",",",p
ah,ah,93
!,!,p
c',ce,52
est,être,17
un,un,71
noble,noble,30
caractère,caractère,21
",",",",p
une,un,71
belle-famille,belle-famille,22
;,;,p
enfin,enfin,60
",",",",p
reprit,reprendre,19
il,il,51
en,en,81
continuant,continuer,13
son,son,73
argumentation,argumentation,22
",",",",p
c',ce,52
est,être,17
notre,notre,73
idéal,idéal,21
:,:,p
des,de,81
des,le,71
moeurs,moeurs,22
",",",",p
de,de,81
l',le,71
économie,économie,22
",",",",p
tout,tout,52
/!,/!,P
mais,mais,82
la,le,71
finition,finition,22
du,de,81
du,le,71
Louvre,Louvre,20
est,être,17
une,un,52
des,de,81
des,le,71
conditions,condition,22
auxquelles,à,81
auxquelles,lequel,52
nous,nous,51
avons,avoir,17
donné,donner,12
la,le,71
couronne,couronne,22
",",",",p
et,et,82
la,le,71
liste,liste,22
civile,civil,30
",",",",p
à,à,81
qui,qui,52
l',l',94
on,on,51
n',ne,60
a,avoir,17
pas,pas,60
fixé,fixer,12
de,de,81
terme,terme,21
",",",",p
j',je,51
en,en,52
conviens,convenir,17
",",",",p
nous,nous,51
laisse,laisser,17
le,le,71
coeur,coeur,21
de,de,81
Paris,Paris,20
dans,dans,81
un,un,71
état,état,21
navrant,navrant,30
/…,/…,P
c',ce,52
est,être,17
parce que,parce que,83
je,je,51
suis,être,17
juste-milieu,juste-milieu,21
que,que,52
je,je,51
voudrais,vouloir,16
voir,voir,14
le,le,71
juste,juste,30
milieu,milieu,21
de,de,81
Paris,Paris,20
dans,dans,81
un,un,71
autre,autre,75
état,état,21
/.,/.,P
votre,votre,73
quartier,quartier,21
fait,faire,17
frémir,frémir,14
/.,/.,P
on,on,51
vous,vous,51
y,y,52
aurait,avoir,16
assassiné,assassiner,12
un,un,71
jour,jour,21
ou,ou,82
l',le,71
autre,autre,52
/…,/…,P
eh,eh,93
bien,bien,60
!,!,p
voilà,voilà,81
votre,votre,73
monsieur,monsieur,21
Crevel,Crevel,20
nommé,nommé,31
chef,chef,21
de,de,81
bataillon,bataillon,21
de,de,81
sa,son,73
légion,légion,22
",",",",p
j',je,51
espère,espérer,17
que,que,83
c',ce,52
est,être,17
nous,nous,51
qui,qui,52
lui,lui,51
fournirons,fournir,15
sa,son,73
grosse,gros,30
épaulette,épaulette,22
/.,/.,P
-,-,p
j',je,51
y,y,52
dîne,dîner,17
aujourd'hui,aujourd'hui,60
",",",",p
je,je,51
vous,vous,51
l',le,52
enverrai,envoyer,15
/.,/.,P
Lisbeth,Lisbeth,20
crut,croire,19
avoir,avoir,14
à,à,81
elle,il,51
son,son,73
Livonien,Livonien,20
en,en,81
se,se,51
flattant,flatter,13
de,de,81
couper,couper,14
toutes,tout,75
les,le,71
communications,communication,22
entre,entre,81
le,le,71
monde,monde,21
et,et,82
lui,lui,51
/.,/.,P
ne,ne,60
travaillant,travailler,13
plus,plus,60
",",",",p
l',le,71
artiste,artiste,21
serait,être,16
oublié,oublier,12
comme,comme,83
un,un,71
homme,homme,21
enterré,enterré,31
dans,dans,81
un,un,71
caveau,caveau,21
",",",",p
où,où,60
seule,seul,30
elle,il,51
irait,aller,16
le,le,52
voir,voir,14
/.,/.,P
elle,il,51
eut,avoir,19
ainsi,ainsi,60
deux,deux,72
jours,jour,21
de,de,81
bonheur,bonheur,21
",",",",p
car,car,82
elle,il,51
espéra,espérer,19
donner,donner,14
des,de,81
des,le,71
coups,coup,21
mortels,mortel,30
à,à,81
la,le,71
baronne,baronne,22
et,et,82
à,à,81
sa,son,73
fille,fille,22
/.,/.,P
pour,pour,81
se,se,51
rendre,rendre,14
chez,chez,81
monsieur,monsieur,21
Crevel,Crevel,20
",",",",p
qui,qui,52
demeurait,demeurer,18
rue,rue,22
des,de,81
des,le,71
Saussayes,Saussayes,20
",",",",p
elle,il,51
prit,prendre,19
par,par,81
le,le,71
pont,pont,21
du,de,81
du,le,71
Carrousel,Carrousel,20
",",",",p
le,le,71
quai,quai,21
Voltaire,Voltaire,20
",",",",p
le,le,71
quai,quai,21
d',de,81
Orsay,Orsay,20
",",",",p
la,le,71
rue,rue,22
Bellechasse,Bellechasse,20
",",",",p
la,le,71
rue,rue,22
de,de,81
l',le,71
université,université,22
",",",",p
le,le,71
pont,pont,21
de,de,81
la,le,71
Concorde,Concorde,20
et,et,82
l',le,71
avenue,avenue,22
de,de,81
Marigny,Marigny,20
/.,/.,P
cette,ce,74
route,route,22
illogique,illogique,30
était,être,18
tracée,tracer,12
par,par,81
la,le,71
logique,logique,22
des,de,81
des,le,71
passions,passion,22
",",",",p
toujours,toujours,60
excessivement,excessivement,60
ennemie,ennemi,30
des,de,81
des,le,71
jambes,jambe,22
/.,/.,P
la,le,71
cousine,cousine,22
Bette,Bette,20
",",",",p
tant,tant,60
qu',que,83
elle,il,51
fut,être,19
sur,sur,81
les,le,71
quais,quai,21
",",",",p
regarda,regarder,19
la,le,71
rive,rive,22
droite,droit,30
de,de,81
la,le,71
Seine,Seine,20
en,en,81
allant,aller,13
avec,avec,81
une,un,71
grande,grand,30
lenteur,lenteur,22
/.,/.,P
son,son,73
calcul,calcul,21
était,être,18
juste,juste,30
/.,/.,P
elle,il,51
avait,avoir,18
laissé,laisser,12
Wenceslas,Wenceslas,20
s',se,51
habillant,habiller,13
",",",",p
elle,il,51
pensait,penser,18
qu',que,83
aussitôt,aussitôt,60
délivré,délivré,31
d',de,81
elle,il,51
",",",",p
l',le,71
amoureux,amoureux,21
irait,aller,16
chez,chez,81
la,le,71
baronne,baronne,22
par,par,81
le,le,71
chemin,chemin,21
le,le,71
plus,plus,60
court,court,30
/.,/.,P
en,en,81
effet,effet,21
",",",",p
au,à,81
au,le,71
moment,moment,21
où,où,60
elle,il,51
longeait,longer,18
le,le,71
parapet,parapet,21
du,de,81
du,le,71
quai,quai,21
Voltaire,Voltaire,20
en,en,81
dévorant,dévorer,13
la,le,71
rivière,rivière,22
",",",",p
et,et,82
marchant,marcher,13
en,en,81
idée,idée,22
sur,sur,81
l',le,71
autre,autre,75
rive,rive,22
",",",",p
elle,il,51
reconnut,reconnaître,19
l',le,71
artiste,artiste,21
dès,dès,81
qu',que,83
il,il,51
déboucha,déboucher,19
par,par,81
le,le,71
guichet,guichet,21
des,de,81
des,le,71
Tuileries,Tuileries,20
pour,pour,81
gagner,gagner,14
le,le,71
Pont Royal,Pont Royal,20
/.,/.,P
elle,il,51
rejoignit,rejoindre,19
là,là,60
son,son,73
infidèle,infidèle,21
et,et,82
put,pouvoir,19
le,le,52
suivre,suivre,14
sans,sans,81
être,être,14
vue,voir,12
par,par,81
lui,lui,51
",",",",p
car,car,82
les,le,71
amoureux,amoureux,21
se,se,51
retournent,retourner,17
rarement,rarement,60
;,;,p
elle,il,51
l',le,52
accompagna,accompagner,19
jusqu',jusque,81
à,à,81
la,le,71
maison,maison,22
de,de,81
madame,madame,22
Hulot,Hulot,20
",",",",p
où,où,60
elle,il,51
le,le,52
vit,voir,19
entrer,entrer,14
comme,comme,83
un,un,71
homme,homme,21
habitué,habitué,31
d',de,81
y,y,52
venir,venir,14
/.,/.,P
cette,ce,74
dernière,dernier,30
preuve,preuve,22
qui,qui,52
confirmait,confirmer,18
les,le,71
confidences,confidence,22
de,de,81
madame,madame,22
Marneffe,Marneffe,20
",",",",p
mit,mettre,19
Lisbeth,Lisbeth,20
hors,hors,81
d',de,81
elle,il,51
/.,/.,P
elle,il,51
arriva,arriver,19
chez,chez,81
le,le,71
chef,chef,21
de,de,81
bataillon,bataillon,21
nouvellement,nouvellement,60
élu,élu,31
dans,dans,81
cet,ce,74
état,état,21
d',de,81
irritation,irritation,22
mentale,mental,30
qui,qui,52
fait,faire,17
commettre,commettre,14
les,le,71
meurtres,meurtre,21
",",",",p
et,et,82
trouva,trouver,19
le,le,71
père,père,21
Crevel,Crevel,20
attendant,attendre,13
ses,son,73
enfants,enfant,21
",",",",p
monsieur,monsieur,21
et,et,82
madame,madame,22
Hulot,Hulot,20
jeunes,jeune,30
",",",",p
dans,dans,81
son,son,73
salon,salon,21
/.,/.,P
mais,mais,82
Célestin,Célestin,20
Crevel,Crevel,20
est,être,17
le,le,71
représentant,représentant,21
si,si,60
naïf,naïf,30
et,et,82
si,si,60
vrai,vrai,30
du,de,81
du,le,71
parvenu,parvenu,21
parisien,parisien,30
",",",",p
qu',que,83
il,il,51
est,être,17
difficile,difficile,30
d',de,81
entrer,entrer,14
sans,sans,81
cérémonie,cérémonie,22
chez,chez,81
cet,ce,74
heureux,heureux,30
successeur,successeur,21
de,de,81
César,César,20
Birotteau,Birotteau,20
/.,/.,P
Célestin,Célestin,20
Crevel,Crevel,20
est,être,17
à,à,81
lui,lui,51
seul,seul,30
tout,tout,75
un,un,71
monde,monde,21
",",",",p
aussi,aussi,60
mérite,mériter,17
t,t,94
il,il,51
",",",",p
plus,plus,60
que,que,83
Rivet,Rivet,20
",",",",p
les,le,71
honneurs,honneur,21
de,de,81
la,le,71
palette,palette,22
",",",",p
à,à,81
cause,cause,22
de,de,81
son,son,73
importance,importance,22
dans,dans,81
ce,ce,74
drame,drame,21
domestique,domestique,30
/.,/.,P
avez,avoir,17
vous,vous,51
remarqué,remarquer,12
comme,comme,83
",",",",p
dans,dans,81
l',le,71
enfance,enfance,22
",",",",p
ou,ou,82
dans,dans,81
les,le,71
commencements,commencement,21
de,de,81
la,le,71
vie,vie,22
sociale,social,30
",",",",p
nous,nous,51
nous,nous,51
créons,créer,17
de,de,81
nos,notre,73
propres,propre,30
mains,main,22
un,un,71
modèle,modèle,21
à,à,81
notre,notre,73
insu,insu,21
",",",",p
souvent,souvent,60
/?,/?,P
ainsi,ainsi,60
le,le,71
commis,commis,21
d',de,81
une,un,71
maison,maison,22
de,de,81
banque,banque,22
rêve,rêver,17
",",",",p
en,en,81
entrant,entrer,13
dans,dans,81
le,le,71
salon,salon,21
de,de,81
son,son,73
patron,patron,21
",",",",p
de,de,81
posséder,posséder,14
un,un,71
salon,salon,21
pareil,pareil,30
/.,/.,P
s',si,83
il,il,51
fait,faire,17
fortune,fortune,22
",",",",p
ce,ce,52
ne,ne,60
sera,être,15
pas,pas,60
",",",",p
vingt,vingt,72
ans,an,21
plus,plus,60
tard,tard,60
",",",",p
le,le,71
luxe,luxe,21
alors,alors,60
à,à,81
la,le,71
mode,mode,22
qu',que,52
il,il,51
intronisera,introniser,15
chez,chez,81
lui,lui,51
",",",",p
mais,mais,82
le,le,71
luxe,luxe,21
arriéré,arriéré,30
qui,qui,52
le,le,52
fascinait,fasciner,18
jadis,jadis,60
/.,/.,P
on,on,51
ne,ne,60
sait,savoir,17
pas,pas,60
toutes,tout,75
les,le,71
sottises,sottise,22
qui,qui,52
sont,être,17
dues,devoir,12
à,à,81
cette,ce,74
jalousie,jalousie,22
rétrospective,retrospectif,30
",",",",p
de,de,81
même,même,60
qu',que,83
on,on,51
ignore,ignorer,17
toutes,tout,75
les,le,71
folies,folie,22
dues,dû,31
à,à,81
ces,ce,74
rivalités,rivalité,22
secrètes,secret,30
qui,qui,52
poussent,pousser,17
les,le,71
hommes,homme,21
à,à,81
imiter,imiter,14
le,le,71
type,type,21
qu',que,52
ils,ils,51
se,se,51
sont,être,17
donné,donner,12
",",",",p
à,à,81
consumer,consumer,14
leurs,leur,73
forces,force,22
pour,pour,81
être,être,14
un,un,71
clair,clair,21
de,de,81
lune,lune,22
/.,/.,P
Crevel,Crevel,20
