11796
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-seizième extrait>,<>,<>
des,de,81
des,le,71
liasses,liasse,22
de,de,81
papiers,papier,21
d',de,81
affaires,affaire,22
joints,joint,31
à,à,81
cette,ce,74
lettre,lettre,22
donnaient,donner,18
des,de,81
des,le,71
explications,explication,22
détaillées,détaillé,31
sur,sur,81
le,le,71
désastre,désastre,21
/.,/.,P
le,le,71
baron,baron,21
répondit,répondre,19
poste,poste,22
pour,pour,81
poste,poste,22
qu',que,83
on,on,51
allait,aller,18
aviser,aviser,14
/.,/.,P
puis,puis,60
il,il,51
partit,partir,19
pour,pour,81
le,le,71
Havre,Havre,20
afin,afin,81
de,de,81
se,se,51
renseigner,renseigner,14
;,;,p
et,et,82
il,il,51
hypothéqua,hypothéquer,19
des,de,81
des,le,71
terres,terre,22
pour,pour,81
se,se,51
procurer,procurer,14
de,de,81
l',le,71
argent,argent,21
qui,qui,52
fut,être,19
envoyé,envoyer,12
à,à,81
Paul,Paul,20
/.,/.,P
le,le,71
jeune,jeune,30
homme,homme,21
répondit,répondre,19
trois,trois,72
lettres,lettre,22
de,de,81
remerciements,remerciement,21
enthousiastes,enthousiaste,30
et,et,82
de,de,81
tendresses,tendresse,22
passionnées,passionné,31
",",",",p
annonçant,annoncer,13
sa,son,73
venue,venue,22
immédiate,immédiat,30
pour,pour,81
embrasser,embrasser,14
ses,son,73
chers,cher,30
parents,parent,21
/.,/.,P
il,il,51
ne,ne,60
vint,venir,19
pas,pas,60
/.,/.,P
une,un,71
année,année,22
entière,entier,30
s',se,51
écoula,écouler,19
/.,/.,P
Jeanne,Jeanne,20
et,et,82
le,le,71
baron,baron,21
allaient,aller,18
partir,partir,14
pour,pour,81
Paris,Paris,20
afin,afin,81
de,de,81
le,le,52
trouver,trouver,14
et,et,82
de,de,81
tenter,tenter,14
un,un,71
dernier,dernier,30
effort,effort,21
quand,quand,83
on,on,51
apprit,apprendre,19
par,par,81
un,un,71
mot,mot,21
qu',que,83
il,il,51
était,être,18
à,à,81
Londres,Londres,20
de,de,81
nouveau,nouveau,21
",",",",p
montant,monter,13
une,un,71
entreprise,entreprise,22
de,de,81
paquebots,paquebot,21
à,à,81
vapeur,vapeur,22
",",",",p
sous,sous,81
la,le,71
raison,raison,22
sociale,social,30
“,“,p
Paul,Paul,20
Delamare,Delamare,20
et,et,82
compagnie,compagnie,22
“,“,p
/.,/.,P
il,il,51
écrivait,écrire,18
:,:,p
“,“,p
c',ce,52
est,être,17
la,le,71
fortune,fortune,22
assurée,assuré,31
pour,pour,81
moi,moi,51
",",",",p
peut-être,peut-être,60
la,le,71
richesse,richesse,22
/.,/.,P
et,et,82
je,je,51
ne,ne,60
risque,risquer,17
rien,rien,52
/.,/.,P
vous,vous,51
voyez,voir,17
d',de,81
ici,ici,60
tous,tout,75
les,le,71
avantages,avantage,21
/.,/.,P
quand,quand,83
je,je,51
vous,vous,51
reverrai,revoir,15
",",",",p
j',je,51
aurai,avoir,15
une,un,71
belle,beau,30
position,position,22
dans,dans,81
le,le,71
monde,monde,21
/.,/.,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
que,que,83
les,le,71
affaires,affaire,22
pour,pour,81
se,se,51
tirer,tirer,14
d',de,81
embarras,embarras,21
aujourd'hui,aujourd'hui,60
/.,/.,P
“,“,p
trois,trois,72
mois,mois,21
plus,plus,60
tard,tard,60
",",",",p
la,le,71
compagnie,compagnie,22
de,de,81
paquebots,paquebot,21
était,être,18
mise,mettre,12
en,en,81
faillite,faillite,22
et,et,82
le,le,71
directeur,directeur,21
poursuivi,poursuivi,31
pour,pour,81
irrégularités,irrégularité,22
dans,dans,81
les,le,71
écritures,écriture,22
commerciales,commercial,30
/.,/.,P
Jeanne,Jeanne,20
eut,avoir,19
une,un,71
crise,crise,22
de,de,81
nerfs,nerf,21
qui,qui,52
dura,durer,19
plusieurs,plusieurs,75
heures,heure,22
;,;,p
puis,puis,60
elle,il,51
prit,prendre,19
le,le,71
lit,lit,21
/.,/.,P
le,le,71
baron,baron,21
repartit,repartir,19
au,à,81
au,le,71
Havre,Havre,20
",",",",p
s',se,51
informa,informer,19
",",",",p
vit,voir,19
des,de,81
des,le,71
avocats,avocat,21
",",",",p
des,de,81
des,le,71
hommes,homme,21
d',de,81
affaires,affaire,22
",",",",p
des,de,81
des,le,71
avoués,avoué,21
",",",",p
des,de,81
des,le,71
huissiers,huissier,21
",",",",p
constata,constater,19
que,que,83
le,le,71
déficit,déficit,21
de,de,81
la,le,71
société,société,22
Delamare,Delamare,20
était,être,18
de,de,81
deux,deux,72
cent,cent,72
trente,trente,72
cinq,cinq,72
mille,mille,72
francs,franc,21
",",",",p
et,et,82
il,il,51
hypothéqua,hypothéquer,19
de,de,81
nouveau,nouveau,21
ses,son,73
biens,bien,21
/.,/.,P
le,le,71
château,château,21
des,de,81
des,le,71
Peuples,Peuple,20
et,et,82
les,le,71
deux,deux,72
fermes,ferme,22
furent,être,19
grevés,grever,12
pour,pour,81
une,un,71
grosse,gros,30
somme,somme,22
/.,/.,P
un,un,71
soir,soir,21
",",",",p
comme,comme,83
il,il,51
réglait,régler,18
les,le,71
dernières,dernier,30
formalités,formalité,22
dans,dans,81
le,le,71
cabinet,cabinet,21
d',de,81
un,un,71
homme,homme,21
d',de,81
affaires,affaire,22
",",",",p
il,il,51
roula,rouler,19
sur,sur,81
le,le,71
parquet,parquet,21
",",",",p
frappé,frappé,31
d',de,81
une,un,71
attaque,attaque,22
d',de,81
apoplexie,apoplexie,22
/.,/.,P
Jeanne,Jeanne,20
fut,être,19
prévenue,prévenir,12
par,par,81
un,un,71
cavalier,cavalier,21
/.,/.,P
quand,quand,83
elle,il,51
arriva,arriver,19
",",",",p
il,il,51
était,être,18
mort,mourir,12
/.,/.,P
elle,il,51
le,le,52
ramena,ramener,19
aux,à,81
aux,le,71
Peuples,Peuple,20
",",",",p
tellement,tellement,60
anéantie,anéanti,31
que,que,83
sa,son,73
douleur,douleur,22
était,être,18
plutôt,plutôt,60
de,de,81
l',le,71
engourdissement,engourdissement,21
que,que,83
du,de,81
du,le,71
désespoir,désespoir,21
/.,/.,P
l',le,71
abbé,abbé,21
Tolbiac,Tolbiac,20
refusa,refuser,19
au,à,81
au,le,71
corps,corps,21
l',le,71
entrée,entrée,22
de,de,81
l',le,71
église,église,22
",",",",p
malgré,malgré,81
les,le,71
supplications,supplication,22
éperdues,éperdu,30
des,de,81
des,le,71
deux,deux,72
femmes,femme,22
/.,/.,P
le,le,71
baron,baron,21
fut,être,19
enterré,enterrer,12
à,à,81
la,le,71
nuit,nuit,22
tombante,tombant,30
",",",",p
sans,sans,81
cérémonie,cérémonie,22
aucune,aucun,52
/.,/.,P
Paul,Paul,20
connut,connaître,19
l',le,71
événement,événement,21
par,par,81
un,un,52
des,de,81
des,le,71
agents,agent,21
liquidateurs,liquidateur,30
de,de,81
sa,son,73
faillite,faillite,22
/.,/.,P
il,il,51
était,être,18
encore,encore,60
caché,cacher,12
en,en,81
Angleterre,Angleterre,20
/.,/.,P
il,il,51
écrivit,écrire,19
pour,pour,81
s',se,51
excuser,excuser,14
de,de,81
n',ne,60
être,être,14
point,point,60
venu,venir,12
",",",",p
ayant,avoir,13
appris,apprendre,12
trop,trop,60
tard,tard,60
le,le,71
malheur,malheur,21
/.,/.,P
“,“,p
d',de,81
ailleurs,ailleurs,60
",",",",p
maintenant,maintenant,60
que,que,83
tu,tu,51
m',je,51
as,avoir,17
tiré,tirer,12
d',de,81
affaire,affaire,22
",",",",p
ma,mon,73
chère,cher,30
maman,maman,22
",",",",p
je,je,51
rentre,rentrer,17
en,en,81
France,France,20
",",",",p
et,et,82
je,je,51
t',tu,51
embrasserai,embrasser,15
bientôt,bientôt,60
/.,/.,P
“,“,p
Jeanne,Jeanne,20
vivait,vivre,18
dans,dans,81
un,un,71
tel,tel,75
affaissement,affaissement,21
d',de,81
esprit,esprit,21
qu',que,83
elle,il,51
semblait,sembler,18
ne,ne,60
plus,plus,60
rien,rien,52
comprendre,comprendre,14
/.,/.,P
et,et,82
vers,vers,81
la,le,71
fin,fin,22
de,de,81
l',le,71
hiver,hiver,21
tante,tante,22
Lison,Lison,20
",",",",p
âgée,âgé,30
alors,alors,60
de,de,81
soixante,soixante,72
huit,huit,72
ans,an,21
",",",",p
eut,avoir,19
une,un,71
bronchite,bronchite,22
qui,qui,52
dégénéra,dégénérer,19
en,en,81
fluxion,fluxion,22
de,de,81
poitrine,poitrine,22
;,;,p
et,et,82
elle,il,51
expira,expirer,19
doucement,doucement,60
en,en,81
balbutiant,balbutier,13
:,:,p
“,“,p
ma,mon,73
pauvre,pauvre,30
petite,petit,30
Jeanne,Jeanne,20
",",",",p
je,je,51
vais,aller,17
demander,demander,14
au,à,81
au,le,71
bon,bon,30
dieu,dieu,21
qu',que,83
il,il,51
ait,avoir,17
pitié,pitié,22
de,de,81
toi,toi,51
/.,/.,P
“,“,p
Jeanne,Jeanne,20
la,le,52
suivit,suivre,19
au,à,81
au,le,71
cimetière,cimetière,21
",",",",p
vit,voir,19
tomber,tomber,14
la,le,71
terre,terre,22
sur,sur,81
le,le,71
cercueil,cercueil,21
",",",",p
et,et,82
",",",",p
comme,comme,83
elle,il,51
s',se,51
affaissait,affaisser,18
avec,avec,81
l',le,71
envie,envie,22
au,à,81
au,le,71
coeur,coeur,21
de,de,81
mourir,mourir,14
aussi,aussi,60
",",",",p
de,de,81
ne,ne,60
plus,plus,60
souffrir,souffrir,14
",",",",p
de,de,81
ne,ne,60
plus,plus,60
penser,penser,14
",",",",p
une,un,71
forte,fort,30
paysanne,paysanne,22
la,le,52
saisit,saisir,19
dans,dans,81
ses,son,73
bras,bras,21
et,et,82
l',le,52
emporta,emporter,19
comme,comme,83
elle,il,51
eût,avoir,19
fait,faire,12
d',de,81
un,un,71
petit,petit,30
enfant,enfant,21
/.,/.,P
en,en,81
rentrant,rentrer,13
au,à,81
au,le,71
château,château,21
",",",",p
Jeanne,Jeanne,20
",",",",p
qui,qui,52
venait,venir,18
de,de,81
passer,passer,14
cinq,cinq,72
nuits,nuit,22
au,à,81
au,le,71
chevet,chevet,21
de,de,81
la,le,71
vieille,vieux,30
fille,fille,22
",",",",p
se,se,51
laissa,laisser,19
mettre,mettre,14
au,à,81
au,le,71
lit,lit,21
sans,sans,81
résistance,résistance,22
par,par,81
cette,ce,74
campagnarde,campagnarde,22
inconnue,inconnu,30
qui,qui,52
la,le,52
maniait,manier,18
avec,avec,81
douceur,douceur,22
et,et,82
autorité,autorité,22
;,;,p
et,et,82
elle,il,51
tomba,tomber,19
dans,dans,81
un,un,71
sommeil,sommeil,21
d',de,81
épuisement,épuisement,21
",",",",p
accablée,accablé,31
de,de,81
fatigue,fatigue,22
et,et,82
de,de,81
souffrance,souffrance,22
/.,/.,P
elle,il,51
s',se,51
éveilla,éveiller,19
vers,vers,81
le,le,71
milieu,milieu,21
de,de,81
la,le,71
nuit,nuit,22
/.,/.,P
une,un,71
veilleuse,veilleuse,22
brûlait,brûler,18
sur,sur,81
la,le,71
cheminée,cheminée,22
/.,/.,P
une,un,71
femme,femme,22
dormait,dormir,18
dans,dans,81
un,un,71
fauteuil,fauteuil,21
/.,/.,P
qui,qui,52
était,être,18
cette,ce,74
femme,femme,22
/?,/?,P
elle,il,51
ne,ne,60
la,le,52
reconnaissait,reconnaître,18
pas,pas,60
",",",",p
et,et,82
elle,il,51
cherchait,chercher,18
",",",",p
s',se,51
étant,être,13
penchée,pencher,12
au,à,81
au,le,71
bord,bord,21
de,de,81
sa,son,73
couche,couche,22
",",",",p
pour,pour,81
bien,bien,60
distinguer,distinguer,14
ses,son,73
traits,trait,21
sous,sous,81
la,le,71
lueur,lueur,22
tremblotante,tremblotant,30
de,de,81
la,le,71
mèche,mèche,22
flottant,flotter,13
sur,sur,81
l',le,71
huile,huile,22
dans,dans,81
un,un,71
verre,verre,21
de,de,81
cuisine,cuisine,22
/.,/.,P
il,il,51
lui,lui,51
semblait,sembler,18
pourtant,pourtant,60
qu',que,83
elle,il,51
avait,avoir,18
vu,voir,12
cette,ce,74
figure,figure,22
/.,/.,P
mais,mais,82
quand,quand,83
/?,/?,P
mais,mais,82
où,où,60
/?,/?,P
la,le,71
femme,femme,22
dormait,dormir,18
paisiblement,paisiblement,60
",",",",p
la,le,71
tête,tête,22
inclinée,incliné,31
sur,sur,81
l',le,71
épaule,épaule,22
",",",",p
le,le,71
bonnet,bonnet,21
tombé,tomber,12
par,par,81
terre,terre,22
/.,/.,P
elle,il,51
pouvait,pouvoir,18
avoir,avoir,14
quarante,quarante,72
ou,ou,82
quarante,quarante,72
cinq,cinq,72
ans,an,21
/.,/.,P
elle,il,51
était,être,18
forte,fort,30
",",",",p
colorée,colorer,12
",",",",p
carrée,carrer,12
",",",",p
puissante,puissant,30
/.,/.,P
ses,son,73
larges,large,30
mains,main,22
pendaient,pendre,18
des,de,81
des,le,71
deux,deux,72
côtés,côté,21
du,de,81
du,le,71
siège,siège,21
/.,/.,P
ses,son,73
cheveux,cheveu,21
grisonnaient,grisonner,18
/.,/.,P
Jeanne,Jeanne,20
la,le,52
regardait,regarder,18
obstinément,obstinément,60
dans,dans,81
ce,ce,74
trouble,trouble,21
d',de,81
esprit,esprit,21
du,de,81
du,le,71
réveil,réveil,21
après,après,81
le,le,71
sommeil,sommeil,21
fiévreux,fiévreux,30
qui,qui,52
suit,suivre,17
les,le,71
grands,grand,30
malheurs,malheur,21
/.,/.,P
certes,certes,60
elle,il,51
avait,avoir,18
vu,voir,12
ce,ce,74
visage,visage,21
/!,/!,P
était,être,18
ce,ce,52
autrefois,autrefois,60
/?,/?,P
était,être,18
ce,ce,52
récemment,récemment,60
/?,/?,P
elle,il,51
n',ne,60
en,en,52
savait,savoir,18
rien,rien,52
",",",",p
et,et,82
cette,ce,74
obsession,obsession,22
l',le,52
agitait,agiter,18
",",",",p
l',le,52
énervait,énerver,18
/.,/.,P
elle,il,51
se,se,51
leva,lever,19
doucement,doucement,60
pour,pour,81
regarder,regarder,14
de,de,81
plus,plus,60
près,près,81
la,le,71
dormeuse,dormeuse,22
",",",",p
et,et,82
elle,il,51
s',se,51
approcha,approcher,19
sur,sur,81
la,le,71
pointe,pointe,22
des,de,81
des,le,71
pieds,pied,21
/.,/.,P
c',ce,52
était,être,18
la,le,71
femme,femme,22
qui,qui,52
l',le,52
avait,avoir,18
relevée,relever,12
au,à,81
au,le,71
cimetière,cimetière,21
",",",",p
puis,puis,60
couchée,coucher,12
/.,/.,P
elle,il,51
se,se,51
rappelait,rappeler,18
cela,cela,52
confusément,confusément,60
",",",",p
mais,mais,82
l',le,52
avait,avoir,18
elle,il,51
rencontrée,rencontrer,12
ailleurs,ailleurs,60
",",",",p
à,à,81
une,un,71
autre,autre,75
époque,époque,22
de,de,81
sa,son,73
vie,vie,22
/?,/?,P
ou,ou,82
bien,bien,21
la,le,52
croyait,croire,18
elle,il,51
reconnaître,reconnaître,14
seulement,seulement,60
dans,dans,81
le,le,71
souvenir,souvenir,21
obscur,obscur,30
de,de,81
la,le,71
dernière,dernier,30
journée,journée,22
/?,/?,P
et,et,82
puis,puis,60
comment,comment,60
était,être,18
elle,il,51
là,là,60
",",",",p
dans,dans,81
sa,son,73
chambre,chambre,22
/?,/?,P
pourquoi,pourquoi,60
/?,/?,P
la,le,71
femme,femme,22
souleva,soulever,19
sa,son,73
paupière,paupière,22
",",",",p
aperçut,apercevoir,19
Jeanne,Jeanne,20
et,et,82
se,se,51
dressa,dresser,19
brusquement,brusquement,60
/.,/.,P
elles,ils,51
se,se,51
trouvaient,trouver,18
face,face,22
à,à,81
face,face,22
",",",",p
si,si,60
près,près,81
que,que,83
leurs,leur,73
poitrines,poitrine,22
se,se,51
frôlaient,frôler,18
/.,/.,P
l',le,71
inconnue,inconnue,22
grommela,grommeler,19
:,:,p
“,“,p
comment,comment,60
!,!,p
vous,vous,51
v'là,voilà,81
d'bout,d'bouillir,17
/!,/!,P
vous,vous,51
allez,aller,17
attraper,attraper,14
du,de,81
du,le,71
mal,mal,21
à,à,81
c',ce,52
t',tu,51
heure,heure,22
/.,/.,P
voulez,vouloir,17
vous,vous,51
bien,bien,60
vous,vous,51
r'coucher,r'coucher,14
!,!,p
“,“,p
Jeanne,Jeanne,20
demanda,demander,19
:,:,p
“,“,p
qui,qui,52
êtes,être,17
vous,vous,51
?,?,p
“,“,p
mais,mais,82
la,le,71
femme,femme,22
",",",",p
ouvrant,ouvrir,13
les,le,71
bras,bras,21
",",",",p
la,le,52
saisit,saisir,19
",",",",p
l',le,52
enleva,enlever,19
de,de,81
nouveau,nouveau,21
",",",",p
et,et,82
la,le,52
reporta,reporter,19
sur,sur,81
son,son,73
lit,lit,21
avec,avec,81
la,le,71
force,force,22
d',de,81
un,un,71
homme,homme,21
/.,/.,P
et,et,82
comme,comme,83
elle,il,51
la,le,52
reposait,reposer,18
doucement,doucement,60
sur,sur,81
ses,son,73
draps,drap,21
",",",",p
penchée,penché,31
",",",",p
presque,presque,60
couchée,couché,31
sur,sur,81
Jeanne,Jeanne,20
",",",",p
elle,il,51
se,se,51
mit,mettre,19
à,à,81
pleurer,pleurer,14
en,en,81
l',le,52
embrassant,embrasser,13
éperdument,éperdument,60
sur,sur,81
les,le,71
joues,joue,22
",",",",p
dans,dans,81
les,le,71
cheveux,cheveu,21
",",",",p
sur,sur,81
les,le,71
yeux,oeil,21
",",",",p
lui,lui,51
trempant,tremper,13
la,le,71
figure,figure,22
de,de,81
ses,son,73
larmes,larme,22
",",",",p
et,et,82
balbutiant,balbutier,13
:,:,p
“,“,p
ma,mon,73
pauvre,pauvre,30
maîtresse,maîtresse,22
",",",",p
mam'zelle,mademoiselle,22
Jeanne,Jeanne,20
",",",",p
ma,mon,73
pauvre,pauvre,30
maîtresse,maîtresse,22
",",",",p
vous,vous,51
ne,ne,60
me,je,51
reconnaissez,reconnaître,17
donc,donc,82
point,point,60
?,?,p
“,“,p
et,et,82
Jeanne,Jeanne,20
s',se,51
écria,écrier,19
:,:,p
“,“,p
Rosalie,Rosalie,20
",",",",p
ma,mon,73
fille,fille,22
/.,/.,P
“,“,p
et,et,82
",",",",p
lui,lui,51
jetant,jeter,13
les,le,71
deux,deux,72
bras,bras,21
au,à,81
au,le,71
cou,cou,21
",",",",p
elle,il,51
l',le,52
étreignit,étreindre,19
en,en,81
la,le,52
baisant,baiser,13
;,;,p
et,et,82
elles,ils,51
sanglotaient,sangloter,18
toutes,tout,75
les,le,71
deux,deux,72
",",",",p
enlacées,enlacé,31
étroitement,étroitement,60
",",",",p
mêlant,mêler,13
leurs,leur,73
pleurs,pleur,21
",",",",p
ne,ne,60
pouvant,pouvoir,13
plus,plus,60
desserrer,desserrer,14
leurs,leur,73
bras,bras,21
/.,/.,P
Rosalie,Rosalie,20
se,se,51
calma,calmer,19
la,le,71
première,premier,72
:,:,p
“,“,p
allons,aller,17
",",",",p
faut,falloir,17
être,être,14
sage,sage,30
",",",",p
dit,dire,19
elle,il,51
",",",",p
et,et,82
ne,ne,60
pas,pas,60
attraper,attraper,14
froid,froid,21
/.,/.,P
“,“,p
et,et,82
elle,il,51
ramassa,ramasser,19
les,le,71
couvertures,couverture,22
",",",",p
reborda,reborder,19
le,le,71
lit,lit,21
",",",",p
replaça,replacer,19
l',le,71
oreiller,oreiller,21
sous,sous,81
la,le,71
tête,tête,22
de,de,81
son,son,73
ancienne,ancien,30
maîtresse,maîtresse,22
qui,qui,52
continuait,continuer,18
à,à,81
suffoquer,suffoquer,14
",",",",p
toute,tout,60
vibrante,vibrant,30
de,de,81
vieux,vieux,30
souvenirs,souvenir,21
surgis,surgi,31
en,en,81
son,son,73
âme,âme,22
/.,/.,P
elle,il,51
finit,finir,17
par,par,81
demander,demander,14
:,:,p
“,“,p
comment,comment,60
es,être,17
tu,tu,51
revenue,revenir,12
",",",",p
ma,mon,73
pauvre,pauvre,30
fille,fille,22
?,?,p
“,“,p
Rosalie,Rosalie,20
répondit,répondre,19
:,:,p
“,“,p
pardi,pardi,93
",",",",p
est,être,17
ce,ce,52
que,que,83
j',je,51
allais,aller,18
vous,vous,51
laisser,laisser,14
comme,comme,83
ça,ça,52
",",",",p
toute,tout,60
seule,seul,30
",",",",p
maintenant,maintenant,60
!,!,p
“,“,p
Jeanne,Jeanne,20
reprit,reprendre,19
:,:,p
“,“,p
allume,allumer,17
donc,donc,82
une,un,71
bougie,bougie,22
que,que,52
je,je,51
te,tu,51
voie,voir,17
/.,/.,P
“,“,p
et,et,82
",",",",p
quand,quand,83
la,le,71
lumière,lumière,22
fut,être,19
apportée,apporter,12
sur,sur,81
la,le,71
table,table,22
de,de,81
nuit,nuit,22
",",",",p
elles,ils,51
se,se,51
considérèrent,considérer,19
longtemps,longtemps,60
sans,sans,81
dire,dire,14
un,un,71
mot,mot,21
/.,/.,P
puis,puis,60
Jeanne,Jeanne,20
tendant,tendre,13
la,le,71
main,main,22
à,à,81
sa,son,73
vieille,vieux,30
bonne,bonne,22
murmura,murmurer,19
:,:,p
“,“,p
je,je,51
ne,ne,60
t',tu,51
aurais,avoir,16
jamais,jamais,60
reconnue,reconnaître,12
",",",",p
ma,mon,73
fille,fille,22
",",",",p
tu,tu,51
es,être,17
bien,bien,60
changée,changer,12
",",",",p
sais,savoir,17
tu,tu,51
",",",",p
mais,mais,82
pas,pas,60
tant,tant,60
que,que,83
moi,moi,51
",",",",p
encore,encore,60
/.,/.,P
“,“,p
et,et,82
Rosalie,Rosalie,20
",",",",p
contemplant,contempler,13
cette,ce,74
femme,femme,22
à,à,81
cheveux,cheveu,21
blancs,blanc,30
",",",",p
maigre,maigre,30
et,et,82
fanée,fané,31
",",",",p
qu',que,52
elle,il,51
avait,avoir,18
quittée,quitter,12
jeune,jeune,30
",",",",p
belle,beau,30
et,et,82
fraîche,frais,30
",",",",p
répondit,répondre,19
:,:,p
“,“,p
ça,ça,52
c',ce,52
est,être,17
vrai,vrai,30
que,que,83
vous,vous,51
êtes,être,17
changée,changer,12
",",",",p
madame,madame,22
Jeanne,Jeanne,20
",",",",p
et,et,82
plus,plus,60
que,que,83
de,de,81
raison,raison,22
/.,/.,P
mais,mais,82
songez,songer,17
aussi,aussi,60
que,que,83
v'là,voilà,81
vingt,vingt,72
quatre,quatre,72
ans,an,21
que,que,83
nous,nous,51
nous,nous,51
sommes,être,17
pas,pas,60
vues,voir,12
/.,/.,P
“,“,p
elles,ils,51
se,se,51
turent,taire,19
",",",",p
réfléchissant,réfléchir,13
de,de,81
nouveau,nouveau,21
/.,/.,P
Jeanne,Jeanne,20
",",",",p
enfin,enfin,60
",",",",p
balbutia,balbutier,19
:,:,p
“,“,p
as,avoir,17
tu,tu,51
été,être,12
heureuse,heureux,30
au,à,81
au,le,71
moins,moins,60
?,?,p
“,“,p
et,et,82
Rosalie,Rosalie,20
",",",",p
hésitant,hésiter,13
dans,dans,81
la,le,71
crainte,crainte,22
de,de,81
réveiller,réveiller,14
quelque,quelque,75
souvenir,souvenir,21
trop,trop,60
douloureux,douloureux,30
",",",",p
bégayait,bégayer,18
:,:,p
“,“,p
mais,mais,82
…,…,p
oui,oui,60
…,…,p
oui,oui,60
…,…,p
madame,madame,22
/.,/.,P
j',je,51
ai,avoir,17
pas,pas,60
trop,trop,60
à,à,81
me,je,51
plaindre,plaindre,14
",",",",p
j',je,51
ai,avoir,17
été,être,12
plus,plus,60
heureuse,heureux,30
que,que,83
vous,vous,51
…,…,p
pour,pour,81
sûr,sûr,30
/.,/.,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
qu',que,83
une,un,71
chose,chose,22
qui,qui,52
m',je,51
a,avoir,17
toujours,toujours,60
gâté,gâter,12
le,le,71
coeur,coeur,21
",",",",p
c',ce,52
est,être,17
de,de,81
ne,ne,60
pas,pas,60
être,être,14
restée,rester,12
ici,ici,60
/…,/…,P
“,“,p
puis,puis,60
elle,il,51
se,se,51
tut,taire,19
brusquement,brusquement,60
",",",",p
saisie,saisi,31
d',de,81
avoir,avoir,14
touché,toucher,12
à,à,81
cela,cela,52
sans,sans,81
y,y,52
songer,songer,14
/.,/.,P
mais,mais,82
Jeanne,Jeanne,20
reprit,reprendre,19
avec,avec,81
douceur,douceur,22
:,:,p
“,“,p
que,que,52
veux,vouloir,17
tu,tu,51
",",",",p
ma,mon,73
fille,fille,22
",",",",p
on,on,51
ne,ne,60
fait,faire,17
pas,pas,60
toujours,toujours,60
ce,ce,52
qu',que,52
on,on,51
veut,vouloir,17
/.,/.,P
tu,tu,51
es,être,17
veuve,veuve,22
aussi,aussi,60
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
?,?,p
“,“,p
puis,puis,60
une,un,71
angoisse,angoisse,22
fit,faire,19
trembler,trembler,14
sa,son,73
voix,voix,22
",",",",p
et,et,82
elle,il,51
continua,continuer,19
:,:,p
“,“,p
as,avoir,17
tu,tu,51
d',de,81
autres,autre,52
…,…,p
d',de,81
autres,autre,75
enfants,enfant,21
/?,/?,P
-,-,p
non,non,60
",",",",p
madame,madame,22
/.,/.,P
-,-,p
et,et,82
",",",",p
lui,lui,51
",",",",p
ton,ton,73
…,…,p
ton,ton,73
fils,fils,21
",",",",p
qu',que,52
est,être,17
ce,ce,52
qu',que,52
il,il,51
est,être,17
devenu,devenir,12
/?,/?,P
en,en,52
es,être,17
tu,tu,51
satisfaite,satisfaire,12
/?,/?,P
-,-,p
oui,oui,60
",",",",p
madame,madame,22
",",",",p
c',ce,52
est,être,17
un,un,71
bon,bon,30
gars,gars,21
qui,qui,52
travaille,travailler,17
d'attaque,d'attaquer,17
/.,/.,P
il,il,51
s',se,51
est,être,17
marié,marier,12
v'là,voilà,81
six,six,72
mois,mois,21
",",",",p
et,et,82
il,il,51
prend,prendre,17
ma,mon,73
ferme,ferme,22
",",",",p
donc,donc,82
",",",",p
puisque,puisque,83
me,je,51
v'là,voilà,81
revenue,revenu,31
avec,avec,81
vous,vous,51
/.,/.,P
“,“,p
Jeanne,Jeanne,20
",",",",p
tremblant,trembler,13
d',de,81
émotion,émotion,22
",",",",p
murmura,murmurer,19
:,:,p
“,“,p
alors,alors,60
",",",",p
tu,tu,51
ne,ne,60
me,je,51
quitteras,quitter,15
plus,plus,60
",",",",p
ma,mon,73
fille,fille,22
?,?,p
“,“,p
et,et,82
Rosalie,Rosalie,20
",",",",p
d',de,81
un,un,71
ton,ton,21
brusque,brusque,30
:,:,p
“,“,p
pour,pour,81
sûr,sûr,30
",",",",p
madame,madame,22
",",",",p
que,que,83
j',je,51
ai,avoir,17
pris,prendre,12
mes,mon,73
dispositions,disposition,22
pour,pour,81
ça,ça,52
/.,/.,P
“,“,p
puis,puis,60
elles,ils,51
ne,ne,60
parlèrent,parler,19
pas,pas,60
de,de,81
quelque,quelque,75
temps,temps,21
/.,/.,P
Jeanne,Jeanne,20
",",",",p
malgré,malgré,81
elle,il,51
",",",",p
se,se,51
remettait,remettre,18
à,à,81
comparer,comparer,14
leurs,leur,73
existences,existence,22
",",",",p
mais,mais,82
sans,sans,81
amertume,amertume,22
au,à,81
au,le,71
coeur,coeur,21
",",",",p
résignée,résigné,31
maintenant,maintenant,60
aux,à,81
aux,le,71
cruautés,cruauté,22
injustes,injuste,30
du,de,81
du,le,71
sort,sort,21
/.,/.,P
elle,il,51
dit,dire,17
:,:,p
“,“,p
ton,ton,73
mari,mari,21
",",",",p
comment,comment,60
a,avoir,17
t,t,94
il,il,51
été,être,12
pour,pour,81
toi,toi,51
/?,/?,P
-,-,p
oh,oh,93
!,!,p
c',ce,52
était,être,18
un,un,71
brave,brave,30
homme,homme,21
",",",",p
madame,madame,22
",",",",p
et,et,82
pas,pas,60
