12029
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt et unième extrait>,<>,<>
regard,regard,21
signifiant,signifiant,21
“,“,p
est,être,17
ce,ce,52
la,le,71
peine,peine,22
?,?,p
mais,mais,82
déjà,déjà,60
le,le,71
Comte,Comte,20
ouvrait,ouvrir,18
la,le,71
porte,porte,22
/.,/.,P
Mélie,Mélie,20
",",",",p
qui,qui,52
se,se,51
trouvait,trouver,18
derrière,derrière,81
",",",",p
s',se,51
enfuit,enfuir,17
brusquement,brusquement,60
/.,/.,P
comme,comme,83
il,il,51
passait,passer,18
dans,dans,81
la,le,71
cour,cour,22
",",",",p
il,il,51
remarqua,remarquer,19
Gorju,Gorju,20
",",",",p
en,en,81
train,train,21
de,de,81
fumer,fumer,14
sa,son,73
pipe,pipe,22
",",",",p
les,le,71
bras,bras,21
croisés,croisé,31
/.,/.,P
-,-,p
“,“,p
vous,vous,51
employez,employer,17
ce,ce,74
garçon,garçon,21
/!,/!,P
hum,hum,93
!,!,p
un,un,71
jour,jour,21
d',de,81
émeute,émeute,22
je,je,51
ne,ne,60
m',je,51
y,y,52
fierais,fier,16
pas,pas,60
/.,/.,P
“,“,p
et,et,82
monsieur,monsieur,21
de,de,81
Faverges,Faverges,20
remonta,remonter,19
dans,dans,81
son,son,73
tilbury,tilbury,21
/.,/.,P
pourquoi,pourquoi,60
leur,leur,73
bonne,bonne,22
semblait,sembler,18
elle,il,51
en,en,52
avoir,avoir,14
peur,peur,22
/?,/?,P
ils,ils,51
la,le,52
questionnèrent,questionner,19
;,;,p
et,et,82
elle,il,51
conta,conter,19
qu',que,83
elle,il,51
avait,avoir,18
servi,servir,12
dans,dans,81
sa,son,73
ferme,ferme,22
/.,/.,P
c',ce,52
était,être,18
cette,ce,74
petite,petit,30
fille,fille,22
qui,qui,52
versait,verser,18
à,à,81
boire,boire,14
aux,à,81
aux,le,71
moissonneuses,moissonneuse,22
quand,quand,83
ils,ils,51
étaient,être,18
venus,venir,12
/.,/.,P
deux,deux,72
ans,an,21
plus,plus,60
tard,tard,60
",",",",p
on,on,51
l',le,52
avait,avoir,18
prise,prendre,12
comme,comme,83
aide,aide,22
",",",",p
au,à,81
au,le,71
château,château,21
-,-,p
et,et,82
renvoyée,renvoyer,12
“,“,p
par,par,81
suite,suite,22
de,de,81
faux,faux,30
rapports,rapport,21
“,“,p
/.,/.,P
pour,pour,81
Gorju,Gorju,20
",",",",p
que,que,52
lui,lui,51
reprocher,reprocher,14
/?,/?,P
il,il,51
était,être,18
fort,fort,60
habile,habile,30
",",",",p
et,et,82
leur,leur,52
marquait,marquer,18
infiniment,infiniment,60
de,de,81
considération,considération,22
/.,/.,P
le,le,71
lendemain,lendemain,21
",",",",p
dès,dès,81
l',le,71
aube,aube,22
",",",",p
ils,ils,51
se,se,51
rendirent,rendre,19
au,à,81
au,le,71
cimetière,cimetière,21
/.,/.,P
Bouvard,Bouvard,20
",",",",p
avec,avec,81
sa,son,73
canne,canne,22
",",",",p
tâta,tâter,19
à,à,81
la,le,71
place,place,22
indiquée,indiqué,31
/.,/.,P
un,un,71
corps,corps,21
dur,dur,30
sonna,sonner,19
/.,/.,P
ils,ils,51
arrachèrent,arracher,19
quelques,quelque,75
orties,ortie,22
",",",",p
et,et,82
découvrirent,découvrir,19
une,un,71
cuvette,cuvette,22
en,en,81
grès,grès,21
",",",",p
un,un,52
font,faire,17
baptismal,baptismal,30
où,où,60
des,de,81
des,le,71
plantes,plante,22
poussaient,pousser,18
/.,/.,P
on,on,51
n',ne,60
a,avoir,17
pas,pas,60
coutume,coutume,22
cependant,cependant,82
d',de,81
enfouir,enfouir,14
les,le,71
fonts,fonts,21
baptismaux,baptismal,30
hors,hors,81
des,de,81
des,le,71
églises,église,22
/.,/.,P
Pécuchet,Pécuchet,20
en,en,52
fit,faire,19
un,un,71
dessin,dessin,21
",",",",p
Bouvard,Bouvard,20
la,le,71
description,description,22
;,;,p
et,et,82
ils,ils,51
envoyèrent,envoyer,19
le,le,71
tout,tout,21
à,à,81
Larsonneur,Larsonneur,20
/.,/.,P
sa,son,73
réponse,réponse,22
fut,être,19
immédiate,immédiat,30
/.,/.,P
-,-,p
“,“,p
Victoire,Victoire,20
",",",",p
mes,mon,73
chers,cher,30
confrères,confrère,21
/!,/!,P
incontestablement,incontestablement,60
",",",",p
c',ce,52
est,être,17
une,un,71
cuve,cuve,22
druidique,druidique,30
/!,/!,P
toutefois,toutefois,60
qu',que,52
ils,ils,51
y,y,52
prissent,prendre,18
garde,garde,22
/!,/!,P
la,le,71
hache,hache,22
était,être,18
douteuse,douteux,30
/.,/.,P
-,-,p
et,et,82
autant,autant,60
pour,pour,81
lui,lui,51
que,que,83
pour,pour,81
eux-mêmes,eux-mêmes,51
il,il,51
leur,leur,52
indiquait,indiquer,18
une,un,71
série,série,22
d',de,81
ouvrages,ouvrage,21
à,à,81
consulter,consulter,14
/.,/.,P
Larsonneur,Larsonneur,20
confessait,confesser,18
en,en,81
post-scriptum,post-scriptum,21
",",",",p
son,son,73
envie,envie,22
de,de,81
connaître,connaître,14
cette,ce,74
cuve,cuve,22
-,-,p
ce,ce,52
qui,qui,52
aurait,avoir,16
lieu,lieu,21
",",",",p
à,à,81
quelque,quelque,75
jour,jour,21
",",",",p
quand,quand,83
il,il,51
ferait,faire,16
le,le,71
voyage,voyage,21
de,de,81
la,le,71
Bretagne,Bretagne,20
/.,/.,P
alors,alors,60
Bouvard,Bouvard,20
et,et,82
Pécuchet,Pécuchet,20
se,se,51
plongèrent,plonger,19
dans,dans,81
l',le,71
archéologie,archéologie,22
celtique,celtique,30
/.,/.,P
d',de,81
après,après,81
cette,ce,74
science,science,22
",",",",p
les,le,71
anciens,ancien,30
Gaulois,Gaulois,20
",",",",p
nos,notre,73
aïeux,aïeul,21
",",",",p
adoraient,adorer,18
Kirk,Kirk,20
et,et,82
Kron,Kron,20
",",",",p
Taranis,Taranis,20
",",",",p
Esus,Esus,20
",",",",p
Nétalemnia,Nétalemnia,20
",",",",p
le,le,71
ciel,ciel,21
et,et,82
la,le,71
terre,terre,22
",",",",p
le,le,71
vent,vent,21
",",",",p
les,le,71
eaux,eau,22
",",",",p
-,-,p
et,et,82
",",",",p
par-dessus,par-dessus,60
tout,tout,52
",",",",p
le,le,71
grand,grand,30
Teutatès,Teutatès,20
",",",",p
qui,qui,52
est,être,17
le,le,71
Saturne,Saturne,20
des,de,81
des,le,71
païens,païen,21
/.,/.,P
-,-,p
car,car,82
Saturne,Saturne,20
",",",",p
quand,quand,83
il,il,51
régnait,régner,18
en,en,81
Phénicie,Phénicie,20
épousa,épouser,19
une,un,71
nymphe,nymphe,22
nommée,nommé,31
Anobret,Anobret,20
",",",",p
dont,dont,52
il,il,51
eut,avoir,19
un,un,71
enfant,enfant,21
appelé,appelé,21
Jeüd,Jeüd,20
-,-,p
et,et,82
Anobret,Anobret,20
a,avoir,17
les,le,71
traits,trait,21
de,de,81
Sara,Sara,20
",",",",p
Jeüd,Jeüd,20
fut,être,19
sacrifié,sacrifier,12
(,(,p
ou,ou,82
près,près,81
de,de,81
l',le,52
être,être,14
),),p
comme,comme,83
Isaac,Isaac,20
;,;,p
-,-,p
donc,donc,82
",",",",p
Saturne,Saturne,20
est,être,17
Abraham,Abraham,20
",",",",p
d',de,81
où,où,60
il,il,51
faut,falloir,17
conclure,conclure,14
que,que,83
la,le,71
religion,religion,22
des,de,81
des,le,71
Gaulois,Gaulois,20
avait,avoir,18
les,le,71
mêmes,même,75
principes,principe,21
que,que,83
celle,celui,52
des,de,81
des,le,71
Juifs,Juif,20
/.,/.,P
leur,leur,73
société,société,22
était,être,18
fort,fort,60
bien,bien,60
organisée,organiser,12
/.,/.,P
la,le,71
première,premier,72
classe,classe,22
de,de,81
personnes,personne,22
comprenait,comprendre,18
le,le,71
peuple,peuple,21
",",",",p
la,le,71
noblesse,noblesse,22
et,et,82
le,le,71
roi,roi,21
",",",",p
la,le,71
deuxième,deuxième,72
les,le,71
jurisconsultes,jurisconsulte,21
",",",",p
-,-,p
et,et,82
dans,dans,81
la,le,71
troisième,troisième,72
",",",",p
la,le,71
plus,plus,60
haute,haut,30
",",",",p
se,se,51
rangeaient,ranger,18
",",",",p
suivant,suivant,81
Taillepied,Taillepied,20
",",",",p
“,“,p
les,le,71
diverses,divers,30
manières,manière,22
de,de,81
philosophes,philosophe,21
“,“,p
c'est-à-dire,c'est-à-dire,91
les,le,71
druides,druide,21
ou,ou,82
Saronides,Saronides,20
",",",",p
eux-mêmes,eux-mêmes,51
divisés,divisé,31
en,en,81
Eubages,Eubage,20
",",",",p
Bardes,Barde,20
et,et,82
Vates,Vate,20
/.,/.,P
les,le,71
uns,un,52
prophétisaient,prophétiser,18
",",",",p
les,le,71
autres,autre,52
chantaient,chanter,18
",",",",p
d',de,81
autres,autre,52
enseignaient,enseigner,18
la,le,71
botanique,botanique,22
",",",",p
la,le,71
médecine,médecine,22
",",",",p
l',le,71
histoire,histoire,22
et,et,82
la,le,71
littérature,littérature,22
",",",",p
bref,bref,60
“,“,p
tous,tout,75
les,le,71
arts,art,21
de,de,81
leur,leur,73
époque,époque,22
“,“,p
/.,/.,P
Pythagore,Pythagore,20
et,et,82
Platon,Platon,20
furent,être,19
leurs,leur,73
élèves,élève,21
/.,/.,P
ils,ils,51
apprirent,apprendre,19
la,le,71
métaphysique,métaphysique,22
aux,à,81
aux,le,71
Grecs,Grec,20
",",",",p
la,le,71
sorcellerie,sorcellerie,22
aux,à,81
aux,le,71
Persans,Persan,20
",",",",p
l',le,71
aruspicine,aruspicine,22
aux,à,81
aux,le,71
Etrusques,Etrusque,20
-,-,p
et,et,82
aux,à,81
aux,le,71
Romains,Romain,20
",",",",p
l',le,71
étamage,étamage,21
du,de,81
du,le,71
cuivre,cuivre,21
et,et,82
le,le,71
commerce,commerce,21
des,de,81
des,le,71
jambons,jambon,21
/.,/.,P
mais,mais,82
de,de,81
ce,ce,74
peuple,peuple,21
",",",",p
qui,qui,52
dominait,dominer,18
l',le,71
ancien,ancien,30
monde,monde,21
",",",",p
il,il,51
ne,ne,60
reste,rester,17
que,que,83
des,de,81
des,le,71
pierres,pierre,22
",",",",p
soit,être,17
toutes,tout,60
seules,seul,30
",",",",p
ou,ou,82
par,par,81
groupes,groupe,21
de,de,81
trois,trois,72
",",",",p
ou,ou,82
disposées,disposer,12
en,en,81
galeries,galerie,22
",",",",p
ou,ou,82
formant,former,13
des,de,81
des,le,71
enceintes,enceinte,22
/.,/.,P
Bouvard,Bouvard,20
et,et,82
Pécuchet,Pécuchet,20
",",",",p
pleins,plein,30
d',de,81
ardeur,ardeur,22
",",",",p
étudièrent,étudier,19
successivement,successivement,60
la,le,71
Pierre,Pierre,20
du,de,81
du,le,71
Post,Post,20
à,à,81
Ussy,Ussy,20
",",",",p
la,le,71
Pierre,Pierre,20
couplée,couplé,31
au,à,81
au,le,71
Guest,Guest,20
",",",",p
la,le,71
Pierre,Pierre,20
du,de,81
du,le,71
Jarier,Jarier,20
",",",",p
près,près,81
de,de,81
Laigie,Laigie,20
-,-,p
d',de,81
autres,autre,52
encore,encore,60
/!,/!,P
tous,tout,75
ces,ce,74
blocs,bloc,21
",",",",p
d',de,81
une,un,71
égale,égal,30
insignifiance,insignifiance,22
",",",",p
les,le,52
ennuyèrent,ennuyer,19
promptement,promptement,60
;,;,p
-,-,p
et,et,82
un,un,71
jour,jour,21
qu',que,83
ils,ils,51
venaient,venir,18
de,de,81
voir,voir,14
le,le,71
menhir,menhir,21
du,de,81
du,le,71
Passais,Passais,20
",",",",p
ils,ils,51
allaient,aller,18
s',se,51
en,en,52
retourner,retourner,14
",",",",p
quand,quand,83
leur,leur,73
guide,guide,21
les,le,52
mena,mener,19
dans,dans,81
un,un,71
bois,bois,21
de,de,81
hêtres,hêtre,21
",",",",p
encombré,encombré,31
par,par,81
des,de,81
des,le,71
masses,masse,22
de,de,81
granit,granit,21
pareilles,pareil,30
à,à,81
des,de,81
des,le,71
piédestaux,piédestal,21
",",",",p
ou,ou,82
à,à,81
de,de,81
monstrueuses,monstrueux,30
tortues,tortue,22
/.,/.,P
la,le,71
plus,plus,60
considérable,considérable,30
est,être,17
creusée,creuser,12
comme,comme,83
un,un,71
bassin,bassin,21
/.,/.,P
un,un,52
des,de,81
des,le,71
bords,bord,21
se,se,51
relève,relever,17
-,-,p
et,et,82
du,de,81
du,le,71
fond,fond,21
partent,partir,17
deux,deux,72
entailles,entaille,22
qui,qui,52
descendent,descendre,17
jusqu',jusque,81
à,à,81
terre,terre,22
;,;,p
c',ce,52
était,être,18
pour,pour,81
l',le,71
écoulement,écoulement,21
du,de,81
du,le,71
sang,sang,21
;,;,p
impossible,impossible,21
d',de,81
en,en,52
douter,douter,14
/!,/!,P
le,le,71
hasard,hasard,21
ne,ne,60
fait,faire,17
pas,pas,60
de,de,81
ces,ce,74
choses,chose,22
/.,/.,P
les,le,71
racines,racine,22
des,de,81
des,le,71
arbres,arbre,21
s',se,51
entremêlaient,entremêler,18
à,à,81
ces,ce,74
rocs,roc,21
abrupts,abrupt,30
/.,/.,P
un,un,71
peu,peu,60
de,de,81
pluie,pluie,22
tombait,tomber,18
;,;,p
au,à,81
au,le,71
loin,loin,60
",",",",p
les,le,71
flocons,flocon,21
de,de,81
brume,brume,22
montaient,monter,18
",",",",p
comme,comme,83
de,de,81
grands,grand,30
fantômes,fantôme,21
/.,/.,P
il,il,51
était,être,18
facile,facile,30
d',de,81
imaginer,imaginer,14
sous,sous,81
les,le,71
feuillages,feuillage,21
",",",",p
les,le,71
prêtres,prêtre,21
en,en,81
tiare,tiare,22
d',de,81
or,or,21
et,et,82
en,en,81
robe,robe,22
blanche,blanc,30
",",",",p
avec,avec,81
leurs,leur,73
victimes,victime,22
humaines,humain,30
les,le,71
bras,bras,21
attachés,attaché,31
dans,dans,81
le,le,71
dos,dos,21
-,-,p
et,et,82
sur,sur,81
le,le,71
bord,bord,21
de,de,81
la,le,71
cuve,cuve,22
la,le,71
druidesse,druidesse,22
",",",",p
observant,observer,13
le,le,71
ruisseau,ruisseau,21
rouge,rouge,30
",",",",p
pendant,pendant,81
qu',que,83
autour,autour,60
d',de,81
elle,il,51
",",",",p
la,le,71
foule,foule,22
hurlait,hurler,18
",",",",p
au,à,81
au,le,71
tapage,tapage,21
des,de,81
des,le,71
cymbales,cymbale,22
et,et,82
des,de,81
des,le,71
buccins,buccin,21
faits,fait,31
d',de,81
une,un,71
corne,corne,22
d',de,81
auroch,auroch,21
/.,/.,P
tout,tout,60
de,de,81
suite,suite,22
",",",",p
leur,leur,73
plan,plan,21
fut,être,19
arrêté,arrêter,12
/.,/.,P
et,et,82
une,un,71
nuit,nuit,22
",",",",p
par,par,81
un,un,71
clair,clair,21
de,de,81
lune,lune,22
",",",",p
ils,ils,51
prirent,prendre,19
le,le,71
chemin,chemin,21
du,de,81
du,le,71
cimetière,cimetière,21
",",",",p
marchant,marcher,13
comme,comme,83
des,de,81
des,le,71
voleurs,voleur,21
",",",",p
dans,dans,81
l',le,71
ombre,ombre,22
des,de,81
des,le,71
maisons,maison,22
/.,/.,P
les,le,71
persiennes,persienne,22
étaient,être,18
closes,clore,12
",",",",p
et,et,82
les,le,71
masures,masure,22
tranquilles,tranquille,30
;,;,p
pas,pas,60
un,un,71
chien,chien,21
n',ne,60
aboya,aboyer,19
/.,/.,P
Gorju,Gorju,20
les,le,52
accompagnait,accompagner,18
",",",",p
ils,ils,51
se,se,51
mirent,mettre,19
à,à,81
l',le,71
ouvrage,ouvrage,21
/.,/.,P
on,on,51
n',ne,60
entendait,entendre,18
que,que,83
le,le,71
bruit,bruit,21
des,de,81
des,le,71
cailloux,caillou,21
heurtés,heurté,31
par,par,81
la,le,71
bêche,bêche,22
",",",",p
qui,qui,52
creusait,creuser,18
le,le,71
gazon,gazon,21
/.,/.,P
le,le,71
voisinage,voisinage,21
des,de,81
des,le,71
morts,mort,21
leur,leur,52
était,être,18
désagréable,désagréable,30
;,;,p
l',le,71
horloge,horloge,22
de,de,81
l',le,71
église,église,22
poussait,pousser,18
un,un,71
râle,râle,21
continu,continu,30
",",",",p
et,et,82
la,le,71
rosace,rosace,22
de,de,81
son,son,73
tympan,tympan,21
avait,avoir,18
l',le,71
air,air,21
d',de,81
un,un,71
oeil,oeil,21
épiant,épier,13
les,le,71
sacrilèges,sacrilège,21
/.,/.,P
enfin,enfin,60
",",",",p
ils,ils,51
emportèrent,emporter,19
la,le,71
cuve,cuve,22
/.,/.,P
le,le,71
lendemain,lendemain,21
",",",",p
ils,ils,51
revinrent,revenir,19
au,à,81
au,le,71
cimetière,cimetière,21
pour,pour,81
voir,voir,14
les,le,71
traces,trace,22
de,de,81
l',le,71
opération,opération,22
/.,/.,P
l',le,71
abbé,abbé,21
",",",",p
qui,qui,52
prenait,prendre,18
le,le,71
frais,frais,21
sur,sur,81
sa,son,73
porte,porte,22
",",",",p
les,le,52
pria,prier,19
de,de,81
lui,lui,51
faire,faire,14
l',le,71
honneur,honneur,21
d',de,81
une,un,71
visite,visite,22
;,;,p
et,et,82
les,le,52
ayant,avoir,13
introduits,introduire,12
dans,dans,81
sa,son,73
petite,petit,30
salle,salle,22
",",",",p
il,il,51
les,le,52
regarda,regarder,19
singulièrement,singulièrement,60
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
dressoir,dressoir,21
",",",",p
entre,entre,81
les,le,71
assiettes,assiette,22
",",",",p
il,il,51
y,y,52
avait,avoir,18
une,un,71
soupière,soupière,22
décorée,décoré,31
de,de,81
bouquets,bouquet,21
jaunes,jaune,30
/.,/.,P
Pécuchet,Pécuchet,20
la,le,52
vanta,vanter,19
",",",",p
ne,ne,60
sachant,savoir,13
que,que,83
dire,dire,14
/.,/.,P
-,-,p
“,“,p
c',ce,52
est,être,17
un,un,71
vieux,vieux,30
Rouen,Rouen,20
“,“,p
reprit,reprendre,19
le,le,71
curé,curé,21
",",",",p
“,“,p
un,un,71
meuble,meuble,21
de,de,81
famille,famille,22
/.,/.,P
les,le,71
amateurs,amateur,21
le,le,52
considèrent,considérer,17
",",",",p
monsieur,monsieur,21
Marescot,Marescot,20
",",",",p
surtout,surtout,60
/.,/.,P
“,“,p
pour,pour,81
lui,lui,51
",",",",p
grâce,grâce,22
à,à,81
dieu,dieu,21
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
l',le,71
amour,amour,21
des,de,81
des,le,71
curiosités,curiosité,22
;,;,p
-,-,p
et,et,82
comme,comme,83
ils,ils,51
semblaient,sembler,18
ne,ne,60
pas,pas,60
comprendre,comprendre,14
",",",",p
il,il,51
déclara,déclarer,19
les,le,52
avoir,avoir,14
aperçus,apercevoir,12
lui-même,lui-même,51
dérobant,dérober,13
le,le,52
font,faire,17
baptismal,baptismal,30
/.,/.,P
les,le,71
deux,deux,72
archéologues,archéologue,21
furent,être,19
très,très,60
penauds,penaud,30
",",",",p
balbutièrent,balbutier,19
/.,/.,P
l',le,71
objet,objet,21
en,en,81
question,question,22
n',ne,60
était,être,18
plus,plus,60
d',de,81
usage,usage,21
/.,/.,P
n',ne,60
importe,importer,17
!,!,p
ils,ils,51
devaient,devoir,18
le,le,52
rendre,rendre,14
/.,/.,P
sans,sans,81
doute,doute,21
/!,/!,P
mais,mais,82
au,à,81
au,le,71
moins,moins,60
qu',que,83
on,on,51
leur,leur,52
permît,permettre,18
de,de,81
faire,faire,14
venir,venir,14
un,un,71
peintre,peintre,21
pour,pour,81
le,le,52
dessiner,dessiner,14
/.,/.,P
-,-,p
“,“,p
soit,soit,82
",",",",p
messieurs,monsieur,21
/.,/.,P
“,“,p
-,-,p
“,“,p
entre,entre,81
nous,nous,51
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
?,?,p
dit,dire,19
Bouvard,Bouvard,20
“,“,p
sous,sous,81
le,le,71
sceau,sceau,21
de,de,81
la,le,71
confession,confession,22
/!,/!,P
l',le,71
ecclésiastique,ecclésiastique,21
",",",",p
en,en,81
souriant,sourire,13
les,le,52
rassura,rassurer,19
d',de,81
un,un,71
geste,geste,21
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
lui,lui,51
",",",",p
qu',que,83
ils,ils,51
craignaient,craindre,18
",",",",p
mais,mais,82
plutôt,plutôt,60
Larsonneur,Larsonneur,20
/.,/.,P
quand,quand,83
il,il,51
passerait,passer,16
par,par,81
Chavignolles,Chavignolles,20
",",",",p
il,il,51
aurait,avoir,16
envie,envie,22
de,de,81
la,le,71
cuve,cuve,22
-,-,p
et,et,82
ses,son,73
bavardages,bavardage,21
iraient,aller,16
jusqu',jusque,81
aux,à,81
aux,le,71
oreilles,oreille,22
du,de,81
du,le,71
gouvernement,gouvernement,21
/.,/.,P
par,par,81
prudence,prudence,22
",",",",p
ils,ils,51
la,le,52
cachèrent,cacher,19
dans,dans,81
le,le,71
fournil,fournil,21
",",",",p
puis,puis,60
dans,dans,81
la,le,71
tonnelle,tonnelle,22
",",",",p
dans,dans,81
la,le,71
cahute,cahute,22
",",",",p
dans,dans,81
une,un,71
armoire,armoire,22
/.,/.,P
Gorju,Gorju,20
était,être,18
las,las,30
de,de,81
la,le,52
trimbaler,trimballer,14
/.,/.,P
la,le,71
possession,possession,22
d',de,81
un,un,71
tel,tel,75
morceau,morceau,21
les,le,52
attachait,attacher,18
au,à,81
au,le,71
celticisme,celticisme,21
de,de,81
la,le,71
Normandie,Normandie,20
/.,/.,P
ses,son,73
origines,origine,22
sont,être,17
égyptiennes,égyptien,30
/.,/.,P
Séez,Séez,20
",",",",p
dans,dans,81
le,le,71
département,département,21
de,de,81
l',le,71
Orne,Orne,20
s',se,51
écrit,écrire,17
parfois,parfois,60
Saïs,Saïs,20
comme,comme,83
la,le,71
ville,ville,22
du,de,81
du,le,71
Delta,Delta,20
/.,/.,P
les,le,71
Gaulois,Gaulois,20
juraient,jurer,18
par,par,81
le,le,71
taureau,taureau,21
",",",",p
importation,importation,22
du,de,81
du,le,71
boeuf,boeuf,21
Apis,Apis,20
/.,/.,P
le,le,71
nom,nom,21
latin,latin,30
de,de,81
Bellocastes,Bellocaste,20
qui,qui,52
était,être,18
celui,celui,52
des,de,81
des,le,71
gens,gens,21
de,de,81
Bayeux,Bayeux,20
vient,venir,17
de,de,81
Beli Casa,Beli Casa,20
",",",",p
demeure,demeure,22
",",",",p
sanctuaire,sanctuaire,21
de,de,81
Bélus,Bélus,20
/.,/.,P
Bélus,Bélus,20
et,et,82
Osiris,Osiris,20
même,même,60
divinité,divinité,22
/.,/.,P
“,“,p
rien,rien,52
ne,ne,60
s',se,51
oppose,opposer,17
“,“,p
dit,dire,19
Mangon,Mangon,20
de,de,81
La Lande,La Lande,20
“,“,p
à,à,81
ce,ce,52
qu',que,52
il,il,51
y,y,52
ait,avoir,17
eu,avoir,12
",",",",p
près,près,81
de,de,81
Bayeux,Bayeux,20
",",",",p
des,de,81
des,le,71
monuments,monument,21
druidiques,druidique,30
/.,/.,P
“,“,p
-,-,p
“,“,p
ce,ce,74
pays,pays,21
“,“,p
ajoute,ajouter,17
monsieur,monsieur,21
Roussel,Roussel,20
“,“,p
ressemble,ressembler,17
au,à,81
au,le,71
pays,pays,21
où,où,60
les,le,71
Egyptiens,Egyptien,20
bâtirent,bâtir,19
le,le,71
temple,temple,21
de,de,81
Jupiter,Jupiter,20
Ammon,Ammon,20
/.,/.,P
“,“,p
donc,donc,82
",",",",p
il,il,51
y,y,52
avait,avoir,18
un,un,71
temple,temple,21
et,et,82
qui,qui,52
enfermait,enfermer,18
des,de,81
des,le,71
richesses,richesse,22
/.,/.,P
tous,tout,75
les,le,71
monuments,monument,21
celtiques,celtique,30
en,en,52
renferment,renfermer,17
/.,/.,P
en,en,81
<Nombre 1715>,<>,<>
mille,mille,72
sept,sept,72
cent,cent,72
quinze,quinze,72
<Fin nombre>,<>,<>
",",",",p
relate,relater,17
dom,dom,21
Martin,Martin,20
",",",",p
un,un,71
sieur,sieur,21
Héribel,Héribel,20
exhuma,exhumer,19
aux,à,81
aux,le,71
environs,environs,21
de,de,81
Bayeux,Bayeux,20
",",",",p
plusieurs,plusieurs,75
vases,vase,21
d',de,81
argile,argile,22
",",",",p
pleins,plein,21
d',de,81
ossements,ossement,21
-,-,p
et,et,82
conclut,conclure,17
(,(,p
d',de,81
après,après,81
la,le,71
tradition,tradition,22
et,et,82
des,de,81
des,le,71
autorités,autorité,22
évanouies,évanoui,31
),),p
que,que,83
cet,ce,74
endroit,endroit,21
",",",",p
une,un,71
nécropole,nécropole,22
",",",",p
était,être,18
le,le,71
mont,mont,21
Faunus,Faunus,20
",",",",p
où,où,60
l',l',94
on,on,51
a,avoir,17
enterré,enterrer,12
le,le,71
veau,veau,21
d',de,81
or,or,21
/.,/.,P
cependant,cependant,82
le,le,71
veau,veau,21
d',de,81
or,or,21
fut,être,19
brûlé,brûler,12
et,et,82
avalé,avaler,12
!,!,p
à,à,81
moins,moins,60
que,que,83
la,le,71
Bible,Bible,20
ne,ne,60
se,se,51
trompe,tromper,17
/?,/?,P
premièrement,premièrement,60
",",",",p
où,où,60
est,être,17
le,le,71
mont,mont,21
Faunus,Faunus,20
/?,/?,P
les,le,71
auteurs,auteur,21
ne,ne,60
l',le,52
indiquent,indiquer,17
pas,pas,60
/.,/.,P
les,le,71
indigènes,indigène,21
n',ne,60
en,en,52
savent,savoir,17
rien,rien,52
/.,/.,P
il,il,51
aurait,avoir,16
fallu,falloir,12
se,se,51
livrer,livrer,14
à,à,81
des,de,81
des,le,71
fouilles,fouille,22
;,;,p
-,-,p
et,et,82
dans,dans,81
ce,ce,74
but,but,21
",",",",p
ils,ils,51
envoyèrent,envoyer,19
à,à,81
monsieur,monsieur,21
le,le,71
préfet,préfet,21
",",",",p
une,un,71
pétition,pétition,22
",",",",p
qui,qui,52
n',ne,60
eut,avoir,19
pas,pas,60
de,de,81
réponse,réponse,22
/.,/.,P
peut-être,peut-être,60
que,que,83
le,le,71
mont,mont,21
Faunus,Faunus,20
a,avoir,17
disparu,disparaître,12
",",",",p
et,et,82
que,que,83
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
une,un,71
colline,colline,22
mais,mais,82
un,un,71
tumulus,tumulus,21
/?,/?,P
que,que,52
signifiaient,signifier,18
les,le,71
tumulus,tumulus,21
/?,/?,P
plusieurs,plusieurs,75
contiennent,contenir,17
des,de,81
des,le,71
squelettes,squelette,21
",",",",p
ayant,avoir,13
la,le,71
position,position,22
du,de,81
du,le,71
foetus,foetus,21
dans,dans,81
le,le,71
sein,sein,21
de,de,81
sa,son,73
mère,mère,22
/.,/.,P
cela,cela,52
veut,vouloir,17
dire,dire,14
que,que,83
le,le,71
tombeau,tombeau,21
était,être,18
pour,pour,81
eux,ils,51
comme,comme,83
une,un,71
seconde,second,72
gestation,gestation,22
les,le,52
préparant,préparer,13
à,à,81
une,un,71
autre,autre,75
vie,vie,22
/.,/.,P
donc,donc,82
",",",",p
le,le,71
tumulus,tumulus,21
symbolise,symboliser,17
l',le,71
organe,organe,21
femelle,femelle,22
",",",",p
comme,comme,83
la,le,71
pierre,pierre,22
levée,levé,31
est,être,17
l',le,71
organe,organe,21
mâle,mâle,30
/.,/.,P
en,en,81
effet,effet,21
",",",",p
où,où,60
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
menhirs,menhir,21
",",",",p
un,un,71
culte,culte,21
obscène,obscène,30
a,avoir,17
persisté,persister,12
/.,/.,P
témoin,témoin,21
ce,ce,52
qui,qui,52
se,se,51
faisait,faire,18
à,à,81
Guérande,Guérande,20
",",",",p
à,à,81
Chichebouche,Chichebouche,20
",",",",p
au,à,81
au,le,71
Croisic,Croisic,20
