11663
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-huitième extrait>,<>,<>
main,main,22
hardie,hardi,30
",",",",p
et,et,82
s',se,51
en,en,52
servir,servir,14
",",",",p
pourquoi,pourquoi,60
/?,/?,P
pour,pour,81
le,le,52
féliciter,féliciter,14
par,par,81
une,un,71
lettre,lettre,22
/.,/.,P
alors,alors,60
il,il,51
s',se,51
applaudit,applaudir,17
de,de,81
sa,son,73
bonté,bonté,22
comme,comme,83
chrétien,chrétien,21
;,;,p
il,il,51
se,se,51
maudit,maudire,17
comme,comme,83
juge,juge,21
souverain,souverain,30
;,;,p
il,il,51
se,se,51
méprise,mépriser,17
comme,comme,83
roi,roi,21
;,;,p
il,il,51
cherche,chercher,17
un,un,71
refuge,refuge,21
dans,dans,81
la,le,71
prière,prière,22
et,et,82
se,se,51
plonge,plonger,17
dans,dans,81
les,le,71
méditations,méditation,22
de,de,81
l',le,71
avenir,avenir,21
;,;,p
mais,mais,82
il,il,51
se,se,51
lève,lever,17
épouvanté,épouvanté,31
",",",",p
parce qu',parce que,83
il,il,51
a,avoir,17
entrevu,entrevoir,12
les,le,71
flammes,flamme,22
que,que,52
mérite,mériter,17
cet,ce,74
homme,homme,21
",",",",p
et,et,82
que,que,52
personne,personne,52
ne,ne,60
sait,savoir,17
aussi,aussi,60
bien,bien,60
que,que,83
lui,lui,51
les,le,71
secrets,secret,21
de,de,81
sa,son,73
damnation,damnation,22
/.,/.,P
il,il,51
faut,falloir,17
l',le,52
entendre,entendre,14
en,en,81
cet,ce,74
instant,instant,21
s',se,51
accuser,accuser,14
d',de,81
une,un,71
coupable,coupable,30
faiblesse,faiblesse,22
et,et,82
s',se,51
écrier,écrier,14
qu',que,83
il,il,51
sera,être,15
puni,punir,12
lui-même,lui-même,51
de,de,81
n',ne,60
avoir,avoir,14
pas,pas,60
su,savoir,12
le,le,52
punir,punir,14
/!,/!,P
on,on,51
dirait,dire,16
quelquefois,quelquefois,60
qu',que,83
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
ombres,ombre,22
qui,qui,52
lui,lui,51
ordonnent,ordonner,17
de,de,81
frapper,frapper,14
",",",",p
car,car,82
son,son,73
bras,bras,21
se,se,51
lève,lever,17
en,en,81
dormant,dormir,13
/.,/.,P
enfin,enfin,60
",",",",p
madame,madame,22
",",",",p
l',le,71
orage,orage,21
gronde,gronder,17
dans,dans,81
son,son,73
coeur,coeur,21
",",",",p
mais,mais,82
ne,ne,60
brûle,brûler,17
que,que,83
lui,lui,51
;,;,p
la,le,71
foudre,foudre,22
n',ne,60
en,en,52
peut,pouvoir,17
pas,pas,60
sortir,sortir,14
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
qu',que,52
on,on,51
la,le,52
fasse,faire,17
donc,donc,82
éclater,éclater,14
",",",",p
s',se,51
écria,écrier,19
le,le,71
duc,duc,21
de,de,81
Bouillon,Bouillon,20
/.,/.,P
-,-,p
celui,celui,52
qui,qui,52
la,le,52
touchera,toucher,15
peut,pouvoir,17
en,en,52
mourir,mourir,14
",",",",p
dit,dire,19
monsieur,monsieur,21
/.,/.,P
-,-,p
mais,mais,82
quel,quel,75
beau,beau,30
dévouement,dévouement,21
!,!,p
dit,dire,19
la,le,71
reine,reine,22
/.,/.,P
-,-,p
que,que,52
je,je,51
l',le,52
admirerais,admirer,16
!,!,p
dit,dire,19
Marie,Marie,20
à,à,81
demi-voix,demi-voix,22
/.,/.,P
-,-,p
ce,ce,52
sera,être,15
moi,moi,51
",",",",p
dit,dire,19
Cinq-Mars,Cinq-Mars,20
/.,/.,P
-,-,p
ce,ce,52
sera,être,15
nous,nous,51
",",",",p
dit,dire,12
monsieur,monsieur,21
de,de,81
Thou,Thou,20
à,à,81
son,son,73
oreille,oreille,22
/.,/.,P
le,le,71
jeune,jeune,30
Beauvau,Beauvau,20
s',se,51
était,être,18
rapproché,rapprocher,12
du,de,81
du,le,71
duc,duc,21
de,de,81
Bouillon,Bouillon,20
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
oubliez,oublier,17
vous,vous,51
la,le,71
suite,suite,22
/?,/?,P
non,non,60
",",",",p
pardieu,pardieu,93
",",",",p
je,je,51
ne,ne,60
l',le,52
oublie,oublier,17
pas,pas,60
!,!,p
répondit,répondre,19
tout,tout,60
bas,bas,30
celui-ci,celui-ci,52
/.,/.,P
et,et,82
s',se,51
adressant,adresser,13
à,à,81
la,le,71
reine,reine,22
:,:,p
-,-,p
acceptez,accepter,17
",",",",p
madame,madame,22
",",",",p
l',le,71
offre,offre,22
de,de,81
monsieur,monsieur,21
Le Grand,Le Grand,20
;,;,p
il,il,51
est,être,17
à,à,81
portée,portée,22
de,de,81
décider,décider,14
le,le,71
roi,roi,21
plus,plus,60
que,que,83
vous,vous,51
et,et,82
nous,nous,51
;,;,p
mais,mais,82
tenez,tenir,17
vous,vous,51
prête,prêt,30
à,à,81
tout,tout,52
",",",",p
car,car,82
le,le,71
cardinal,cardinal,21
est,être,17
trop,trop,60
habile,habile,30
pour,pour,81
s',se,51
endormir,endormir,14
/.,/.,P
je,je,51
ne,ne,60
crois,croire,17
pas,pas,60
à,à,81
sa,son,73
maladie,maladie,22
;,;,p
je,je,51
ne,ne,60
crois,croire,17
point,point,60
à,à,81
son,son,73
silence,silence,21
et,et,82
à,à,81
son,son,73
immobilité,immobilité,22
",",",",p
qu',que,52
il,il,51
veut,vouloir,17
nous,nous,51
persuader,persuader,14
depuis,depuis,81
deux,deux,72
ans,an,21
;,;,p
je,je,51
ne,ne,60
croirais,croire,16
point,point,60
à,à,81
sa,son,73
mort,mort,22
même,même,30
",",",",p
que,que,83
je,je,51
n',ne,60
eusse,avoir,18
porté,porter,12
sa,son,73
tête,tête,22
dans,dans,81
la,le,71
mer,mer,22
",",",",p
comme,comme,83
celle,celui,52
du,de,81
du,le,71
géant,géant,21
de,de,81
l',le,71
Arioste,Arioste,20
/.,/.,P
attendez,attendre,17
vous,vous,51
à,à,81
tout,tout,52
",",",",p
hâtons,hâter,17
nous,nous,51
sur,sur,81
toutes,tout,75
choses,chose,22
/.,/.,P
j',je,51
ai,avoir,17
fait,faire,12
montrer,montrer,14
mes,mon,73
plans,plan,21
à,à,81
monsieur,monsieur,21
tout,tout,60
à,à,81
l',le,71
heure,heure,22
;,;,p
',',p
je,je,51
vais,aller,17
vous,vous,51
en,en,52
faire,faire,14
l',le,71
abrégé,abrégé,21
:,:,p
je,je,51
vous,vous,51
offre,offrir,17
Sedan,Sedan,20
",",",",p
madame,madame,22
",",",",p
pour,pour,81
vous,vous,51
et,et,82
messeigneurs,monseigneur,21
vos,votre,73
fils,fils,21
/.,/.,P
l',le,71
armée,armée,22
d',de,81
Italie,Italie,20
est,être,17
à,à,81
moi,moi,51
;,;,p
je,je,51
la,le,52
fais,faire,17
rentrer,rentrer,14
s',si,83
il,il,51
le,le,52
faut,falloir,17
/.,/.,P
monsieur,monsieur,21
le,le,71
grand,grand,30
écuyer,écuyer,21
est,être,17
maître,maître,30
de,de,81
la,le,71
moitié,moitié,22
du,de,81
du,le,71
camp,camp,21
de,de,81
Perpignan,Perpignan,20
;,;,p
tous,tout,75
les,le,71
vieux,vieux,30
huguenots,huguenot,21
de,de,81
la,le,71
Rochelle,Rochelle,20
et,et,82
du,de,81
du,le,71
Midi,Midi,20
sont,être,17
prêts,prêt,30
au,à,81
au,le,71
premier,premier,72
signe,signe,21
à,à,81
le,le,52
venir,venir,14
trouver,trouver,14
:,:,p
tout,tout,52
est,être,17
organisé,organiser,12
depuis,depuis,81
un,un,71
an,an,21
par,par,81
mes,mon,73
soins,soin,21
en,en,81
cas,cas,21
d',de,81
événements,événement,21
/.,/.,P
-,-,p
je,je,51
n',ne,60
hésite,hésiter,17
point,point,60
",",",",p
dit,dire,19
la,le,71
reine,reine,22
",",",",p
à,à,81
me,je,51
mettre,mettre,14
dans,dans,81
vos,votre,73
mains,main,22
pour,pour,81
sauver,sauver,14
mes,mon,73
enfants,enfant,21
s',si,83
il,il,51
arrivait,arriver,18
quelque,quelque,75
malheur,malheur,21
au,à,81
au,le,71
roi,roi,21
/.,/.,P
mais,mais,82
dans,dans,81
ce,ce,74
plan,plan,21
général,général,30
vous,vous,51
oubliez,oublier,17
Paris,Paris,20
/.,/.,P
-,-,p
il,il,51
est,être,17
à,à,81
nous,nous,51
par,par,81
tous,tout,75
les,le,71
points,point,21
:,:,p
le,le,71
peuple,peuple,21
par,par,81
l',le,71
archevêque,archevêque,21
",",",",p
sans,sans,81
qu',que,83
il,il,51
s',se,51
en,en,52
doute,douter,17
",",",",p
et,et,82
par,par,81
monsieur,monsieur,21
de,de,81
Beaufort,Beaufort,20
",",",",p
qui,qui,52
est,être,17
son,son,73
roi,roi,21
;,;,p
les,le,71
troupes,troupe,22
par,par,81
vos,votre,73
gardes,garde,22
et,et,82
ceux,celui,52
de,de,81
monsieur,monsieur,21
",",",",p
qui,qui,52
commandera,commander,15
tout,tout,52
",",",",p
s',si,83
il,il,51
le,le,52
veut,vouloir,17
bien,bien,60
/.,/.,P
-,-,p
moi,moi,51
!,!,p
moi,moi,51
!,!,p
oh,oh,93
!,!,p
cela,cela,52
ne,ne,60
se,se,51
peut,pouvoir,17
pas,pas,60
absolument,absolument,60
!,!,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
assez,assez,60
de,de,81
monde,monde,21
",",",",p
et,et,82
il,il,51
me,je,51
faut,falloir,17
une,un,71
retraite,retraite,22
plus,plus,60
forte,fort,30
que,que,83
Sedan,Sedan,20
",",",",p
dit,dire,19
Gaston,Gaston,20
/.,/.,P
-,-,p
mais,mais,82
elle,il,51
suffit,suffire,17
à,à,81
la,le,71
reine,reine,22
",",",",p
reprit,reprendre,19
monsieur,monsieur,21
de,de,81
Bouillon,Bouillon,20
/.,/.,P
-,-,p
ah,ah,93
!,!,p
cela,cela,52
peut,pouvoir,17
bien,bien,60
être,être,14
",",",",p
mais,mais,82
ma,mon,73
soeur,soeur,22
ne,ne,60
risque,risquer,17
pas,pas,60
autant,autant,60
qu',que,83
un,un,71
homme,homme,21
qui,qui,52
tire,tirer,17
l',le,71
épée,épée,22
/.,/.,P
savez,savoir,17
vous,vous,51
que,que,83
c',ce,52
est,être,17
très,très,60
hardi,hardi,30
ce,ce,52
que,que,52
nous,nous,51
faisons,faire,17
là,là,60
/?,/?,P
quoi,quoi,52
!,!,p
même,même,60
ayant,avoir,13
le,le,71
roi,roi,21
pour,pour,81
nous,nous,51
?,?,p
dit,dire,19
Anne,Anne,20
d',de,81
Autriche,Autriche,20
/.,/.,P
-,-,p
oui,oui,60
",",",",p
madame,madame,22
",",",",p
oui,oui,60
",",",",p
on,on,51
ne,ne,60
sait,savoir,17
pas,pas,60
combien,combien,60
cela,cela,52
peut,pouvoir,17
durer,durer,14
:,:,p
il,il,51
faut,falloir,17
prendre,prendre,14
ses,son,73
sûretés,sûreté,22
",",",",p
et,et,82
je,je,51
ne,ne,60
fais,faire,17
rien,rien,52
sans,sans,81
le,le,71
traité,traité,21
avec,avec,81
l',le,71
Espagne,Espagne,20
/.,/.,P
-,-,p
ne,ne,60
faites,faire,17
donc,donc,82
rien,rien,52
",",",",p
dit,dire,19
la,le,71
reine,reine,22
en,en,81
rougissant,rougir,13
;,;,p
car,car,82
certes,certes,60
je,je,51
n',ne,60
en,en,52
entendrai,entendre,15
jamais,jamais,60
parler,parler,14
/.,/.,P
-,-,p
ah,ah,93
!,!,p
madame,madame,22
",",",",p
ce,ce,52
serait,être,16
pourtant,pourtant,60
plus,plus,60
sage,sage,30
",",",",p
et,et,82
monsieur,monsieur,21
a,avoir,17
raison,raison,22
",",",",p
dit,dire,19
le,le,71
duc,duc,21
de,de,81
Bouillon,Bouillon,20
;,;,p
car,car,82
le,le,71
comte,comte,21
duc,duc,21
de,de,81
San-Lucar,San Lucar,20
nous,nous,51
offre,offrir,17
dix,dix,72
sept,sept,72
mille,mille,72
hommes,homme,21
de,de,81
vieilles,vieux,30
troupes,troupe,22
et,et,82
cinq,cinq,72
cent,cent,72
mille,mille,72
écus,écu,21
comptants,comptant,30
/.,/.,P
-,-,p
quoi,quoi,52
!,!,p
dit,dire,19
la,le,71
reine,reine,22
étonnée,étonné,31
",",",",p
on,on,51
a,avoir,17
osé,oser,12
aller,aller,14
jusque-là,jusque-là,81
sans,sans,81
mon,mon,73
consentement,consentement,21
!,!,p
déjà,déjà,60
des,de,81
des,le,71
accords,accord,21
avec,avec,81
l',le,71
étranger,étranger,21
/!,/!,P
l',le,71
étranger,étranger,21
",",",",p
ma,mon,73
soeur,soeur,22
!,!,p
devions,devoir,18
nous,nous,51
supposer,supposer,14
qu',que,83
une,un,71
princesse,princesse,22
d',de,81
Espagne,Espagne,20
se,se,51
servirait,servir,16
de,de,81
ce,ce,74
mot,mot,21
?,?,p
répondit,répondre,19
Gaston,Gaston,20
/.,/.,P
Anne,Anne,20
d',de,81
Autriche,Autriche,20
se,se,51
leva,lever,19
en,en,81
prenant,prendre,13
le,le,71
dauphin,dauphin,21
par,par,81
la,le,71
main,main,22
",",",",p
et,et,82
s',se,51
appuyant,appuyer,13
sur,sur,81
Marie,Marie,20
:,:,p
-,-,p
oui,oui,60
",",",",p
monsieur,monsieur,21
",",",",p
dit,dire,19
elle,il,51
",",",",p
je,je,51
suis,être,17
Espagnole,Espagnol,20
;,;,p
mais,mais,82
je,je,51
suis,être,17
petite-fille,petite-fille,22
de,de,81
Charles-Quint,Charles Quint,20
",",",",p
et,et,82
je,je,51
sais,savoir,17
que,que,83
la,le,71
patrie,patrie,22
d',de,81
une,un,71
reine,reine,22
est,être,17
autour,autour,60
de,de,81
son,son,73
trône,trône,21
/.,/.,P
je,je,51
vous,vous,51
quitte,quitter,17
",",",",p
messieurs,monsieur,21
;,;,p
poursuivez,poursuivre,17
sans,sans,81
moi,moi,51
;,;,p
je,je,51
ne,ne,60
sais,savoir,17
plus,plus,60
rien,rien,52
désormais,désormais,60
/.,/.,P
elle,il,51
fit,faire,19
quelques,quelque,75
pas,pas,21
pour,pour,81
sortir,sortir,14
",",",",p
et,et,82
",",",",p
voyant,voir,13
Marie,Marie,20
tremblante,tremblant,30
et,et,82
inondée,inondé,31
de,de,81
larmes,larme,22
",",",",p
elle,il,51
revint,revenir,19
/.,/.,P
-,-,p
je,je,51
vous,vous,51
promets,promettre,17
cependant,cependant,82
solennellement,solennellement,60
un,un,71
inviolable,inviolable,30
secret,secret,21
",",",",p
mais,mais,82
rien,rien,52
de,de,81
plus,plus,60
/.,/.,P
tous,tout,52
furent,être,19
un,un,71
peu,peu,60
déconcertés,déconcerter,12
",",",",p
hormis,hormis,81
le,le,71
duc,duc,21
de,de,81
Bouillon,Bouillon,20
",",",",p
qui,qui,52
",",",",p
ne,ne,60
voulant,vouloir,13
rien,rien,52
perdre,perdre,14
de,de,81
ses,son,73
avantages,avantage,21
",",",",p
lui,lui,51
dit,dire,19
en,en,81
s',se,51
inclinant,incliner,13
avec,avec,81
respect,respect,21
:,:,p
-,-,p
nous,nous,51
sommes,être,17
reconnaissants,reconnaissant,30
de,de,81
cette,ce,74
promesse,promesse,22
",",",",p
madame,madame,22
",",",",p
et,et,82
nous,nous,51
n',ne,60
en,en,52
voulons,vouloir,17
pas,pas,60
plus,plus,60
",",",",p
persuadés,persuadé,31
qu',que,83
après,après,81
le,le,71
succès,succès,21
vous,vous,51
serez,être,15
tout,tout,60
à,à,81
fait,fait,21
des,de,81
des,le,71
nôtres,nôtre,52
/.,/.,P
ne,ne,60
voulant,vouloir,13
plus,plus,60
s',se,51
engager,engager,14
dans,dans,81
une,un,71
guerre,guerre,22
de,de,81
mots,mot,21
",",",",p
la,le,71
reine,reine,22
salua,saluer,19
un,un,71
peu,peu,60
sèchement,sèchement,60
",",",",p
et,et,82
sortit,sortir,19
avec,avec,81
Marie,Marie,20
",",",",p
qui,qui,52
laissa,laisser,19
tomber,tomber,14
sur,sur,81
Cinq-Mars,Cinq-Mars,20
un,un,52
de,de,81
ces,ce,74
regards,regard,21
qui,qui,52
renferment,renfermer,17
à,à,81
la,le,71
fois,fois,22
toutes,tout,75
les,le,71
émotions,émotion,22
de,de,81
l',le,71
âme,âme,22
/.,/.,P
il,il,51
crut,croire,19
lire,lire,14
dans,dans,81
ses,son,73
beaux,beau,30
yeux,oeil,21
le,le,71
dévouement,dévouement,21
éternel,éternel,30
et,et,82
malheureux,malheureux,30
d',de,81
une,un,71
femme,femme,22
donnée,donné,31
pour,pour,81
toujours,toujours,60
",",",",p
et,et,82
il,il,51
sentit,sentir,19
que,que,83
",",",",p
s',si,83
il,il,51
avait,avoir,18
jamais,jamais,60
eu,avoir,12
la,le,71
pensée,pensée,22
de,de,81
reculer,reculer,14
dans,dans,81
son,son,73
entreprise,entreprise,22
",",",",p
il,il,51
se,se,51
serait,être,16
regardé,regarder,12
comme,comme,83
le,le,71
dernier,dernier,21
des,de,81
des,le,71
hommes,homme,21
/.,/.,P
sitôt,sitôt,60
qu',que,83
on,on,51
quitta,quitter,19
les,le,71
deux,deux,72
princesses,princesse,22
:,:,p
-,-,p
là,là,60
",",",",p
là,là,60
",",",",p
là,là,60
",",",",p
je,je,51
vous,vous,51
l',le,52
avais,avoir,18
bien,bien,60
dit,dire,12
",",",",p
Bouillon,Bouillon,20
",",",",p
vous,vous,51
fâchez,fâcher,17
la,le,71
reine,reine,22
",",",",p
dit,dire,19
monsieur,monsieur,21
;,;,p
vOUS,vous,51
avez,avoir,17
été,être,12
trop,trop,60
loin,loin,60
aussi,aussi,60
/.,/.,P
on,on,51
ne,ne,60
m',je,51
accusera,accuser,15
pas,pas,60
certainement,certainement,60
d',de,81
avoir,avoir,14
faibli,faiblir,12
ce,ce,74
matin,matin,21
;,;,p
j',je,51
ai,avoir,17
montré,montrer,12
",",",",p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
plus,plus,60
de,de,81
résolution,résolution,22
que,que,83
je,je,51
n',ne,60
aurais,avoir,16
dû,devoir,12
/.,/.,P
-,-,p
je,je,51
suis,être,17
plein,plein,30
de,de,81
joie,joie,22
et,et,82
de,de,81
reconnaissance,reconnaissance,22
pour,pour,81
sa,son,73
majesté,majesté,22
",",",",p
répondit,répondre,19
monsieur,monsieur,21
de,de,81
Bouillon,Bouillon,20
d',de,81
un,un,71
air,air,21
triomphant,triomphant,30
;,;,p
nous,nous,51
voilà,voilà,81
sûrs,sûr,30
de,de,81
l',le,71
avenir,avenir,21
/.,/.,P
que,que,52
allez,aller,17
vous,vous,51
faire,faire,14
à,à,81
présent,présent,21
",",",",p
monsieur,monsieur,21
de,de,81
Cinq-Mars,Cinq-Mars,20
/?,/?,P
je,je,51
vous,vous,51
l',le,52
ai,avoir,17
dit,dire,12
",",",",p
monsieur,monsieur,21
",",",",p
je,je,51
ne,ne,60
recule,reculer,17
jamais,jamais,60
;,;,p
quelles,quel,52
qu',que,52
en,en,52
puissent,pouvoir,17
être,être,14
les,le,71
suites,suite,22
pour,pour,81
moi,moi,51
",",",",p
je,je,51
verrai,voir,15
le,le,71
roi,roi,21
;,;,p
je,je,51
m',je,51
exposerai,exposer,15
à,à,81
tout,tout,52
pour,pour,81
arracher,arracher,14
ses,son,73
ordres,ordre,21
/.,/.,P
-,-,p
et,et,82
le,le,71
traité,traité,21
d',de,81
Espagne,Espagne,20
/!,/!,P
oui,oui,60
",",",",p
je,je,51
le,le,52
/…,/…,P
-,-,p
de,de,81
Thou,Thou,20
saisit,saisir,19
le,le,71
bras,bras,21
de,de,81
Cinq-Mars,Cinq-Mars,20
",",",",p
et,et,82
",",",",p
s',se,51
avançant,avancer,13
tout,tout,60
à,à,81
coup,coup,21
",",",",p
dit,dire,19
d',de,81
un,un,71
air,air,21
solennel,solennel,30
:,:,p
-,-,p
nous,nous,51
avons,avoir,17
décidé,décider,12
que,que,83
ce,ce,52
serait,être,16
après,après,81
l',le,71
entrevue,entrevue,22
avec,avec,81
le,le,71
roi,roi,21
qu',que,83
on,on,51
le,le,52
signerait,signer,16
;,;,p
car,car,82
",",",",p
si,si,83
la,le,71
juste,juste,30
sévérité,sévérité,22
de,de,81
sa,son,73
majesté,majesté,22
envers,envers,81
le,le,71
cardinal,cardinal,21
vous,vous,51
en,en,52
dispense,dispenser,17
",",",",p
il,il,51
vaut,valoir,17
mieux,mieux,60
",",",",p
avons,avoir,17
nous,nous,51
pensé,penser,12
",",",",p
ne,ne,60
pas,pas,60
s',se,51
exposer,exposer,14
à,à,81
la,le,71
découverte,découverte,22
d',de,81
un,un,71
si,si,60
dangereux,dangereux,30
traité,traité,21
/.,/.,P
monsieur,monsieur,21
de,de,81
Bouillon,Bouillon,20
fronça,froncer,19
le,le,71
sourcil,sourcil,21
/.,/.,P
-,-,p
si,si,83
je,je,51
ne,ne,60
connaissais,connaître,18
monsieur,monsieur,21
de,de,81
Thou,Thou,20
",",",",p
dit,dire,19
il,il,51
",",",",p
je,je,51
prendrais,prendre,16
ceci,ceci,52
pour,pour,81
une,un,71
défaite,défaite,22
;,;,p
mais,mais,82
de,de,81
sa,son,73
part,part,22
/…,/…,P
-,-,p
monsieur,monsieur,21
",",",",p
reprit,reprendre,19
le,le,71
conseiller,conseiller,21
",",",",p
je,je,51
crois,croire,17
pouvoir,pouvoir,14
m',je,51
engager,engager,14
sur,sur,81
l',le,71
honneur,honneur,21
à,à,81
faire,faire,14
ce,ce,52
que,que,52
fera,faire,15
monsieur,monsieur,21
Le Grand,Le Grand,20
;,;,p
nous,nous,51
sommes,être,17
inséparables,inséparable,30
/.,/.,P
Cinq-Mars,Cinq-Mars,20
regarda,regarder,19
son,son,73
ami,ami,21
",",",",p
et,et,82
s',se,51
étonna,étonner,19
de,de,81
voir,voir,14
sur,sur,81
sa,son,73
figure,figure,22
douce,doux,30
l',le,71
expression,expression,22
d',de,81
un,un,71
sombre,sombre,30
désespoir,désespoir,21
;,;,p
il,il,51
en,en,52
fut,être,19
si,si,60
frappé,frapper,12
qu',que,83
il,il,51
n',ne,60
eut,avoir,19
pas,pas,60
la,le,71
force,force,22
de,de,81
le,le,52
contredire,contredire,14
/.,/.,P
-,-,p
il,il,51
a,avoir,17
raison,raison,22
",",",",p
messieurs,monsieur,21
",",",",p
dit,dire,19
il,il,51
seulement,seulement,60
avec,avec,81
un,un,71
sourire,sourire,21
",",",",p
froid,froid,30
",",",",p
mais,mais,82
gracieux,gracieux,30
",",",",p
le,le,71
roi,roi,21
nous,nous,51
épargnera,épargner,15
peut-être,peut-être,60
bien,bien,60
des,de,81
des,le,71
choses,chose,22
;,;,p
on,on,51
est,être,17
très,très,60
fort,fort,30
avec,avec,81
lui,lui,51
/.,/.,P
du,de,81
du,le,71
reste,reste,21
",",",",p
monseigneur,monseigneur,21
",",",",p
et,et,82
vous,vous,51
",",",",p
monsieur,monsieur,21
le,le,71
duc,duc,21
",",",",p
ajouta,ajouter,19
t,t,94
il,il,51
avec,avec,81
une,un,71
inébranlable,inébranlable,30
fermeté,fermeté,22
",",",",p
ne,ne,60
craignez,craindre,17
pas,pas,60
que,que,83
jamais,jamais,60
je,je,51
recule,reculer,17
;,;,p
j',je,51
ai,avoir,17
brûlé,brûler,12
tous,tout,75
les,le,71
ponts,pont,21
derrière,derrière,81
moi,moi,51
:,:,p
il,il,51
faut,falloir,17
que,que,83
je,je,51
marche,marcher,17
en,en,81
avant,avant,21
;,;,p
la,le,71
puissance,puissance,22
du,de,81
du,le,71
cardinal,cardinal,21
tombera,tomber,15
ou,ou,82
ce,ce,52
sera,être,15
ma,mon,73
tête,tête,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
singulier,singulier,30
!,!,p
fort,fort,60
singulier,singulier,30
!,!,p
dit,dire,19
monsieur,monsieur,21
;,;,p
je,je,51
remarque,remarquer,17
que,que,83
tout,tout,75
le,le,71
monde,monde,21
ici,ici,60
est,être,17
plus,plus,60
avancé,avancer,12
que,que,83
je,je,51
ne,ne,60
le,le,52
croyais,croire,18
dans,dans,81
la,le,71
conjuration,conjuration,22
/.,/.,P
-,-,p
point,point,60
du,de,81
du,le,71
tout,tout,21
",",",",p
monsieur,monsieur,21
",",",",p
dit,dire,19
le,le,71
duc,duc,21
de,de,81
Bouillon,Bouillon,20
;,;,p
on,on,51
n',ne,60
a,avoir,17
préparé,préparer,12
que,que,83
ce,ce,52
que,que,52
vous,vous,51
voudrez,vouloir,15
accepter,accepter,14
/.,/.,P
remarquez,remarquer,17
qu',que,83
il,il,51
n',ne,60
y,y,52
a,avoir,17
rien,rien,52
d',de,81
écrit,écrit,31
",",",",p
et,et,82
que,que,52
vous,vous,51
n',ne,60
avez,avoir,17
qu',que,83
à,à,81
parler,parler,14
pour,pour,81
que,que,83
rien,rien,52
n',ne,60
existe,exister,17
et,et,82
n',ne,60
ait,avoir,17
existé,exister,12
;,;,p
selon,selon,81
votre,votre,73
ordre,ordre,21
",",",",p
tout,tout,75
ceci,ceci,52
sera,être,15
un,un,71
rêve,rêve,21
ou,ou,82
un,un,71
volcan,volcan,21
/.,/.,P
-,-,p
allons,aller,17
",",",",p
allons,aller,17
",",",",p
je,je,51
suis,être,17
content,content,30
",",",",p
puisqu',puisque,83
il,il,51
en,en,52
est,être,17
ainsi,ainsi,60
",",",",p
dit,dire,19
Gaston,Gaston,20
;,;,p
occupons,occuper,17
nous,nous,51
de,de,81
choses,chose,22
plus,plus,60
agréables,agréable,30
/.,/.,P
grâce,grâce,22
à,à,81
dieu,dieu,21
",",",",p
nous,nous,51
avons,avoir,17
un,un,71
peu,peu,60
de,de,81
temps,temps,21
devant,devant,81
nous,nous,51
:,:,p
moi,moi,51
j',je,51
avoue,avouer,17
que,que,83
je,je,51
voudrais,vouloir,16
que,que,83
tout,tout,52
fût,être,19
déjà,déjà,60
fini,finir,12
;,;,p
je,je,51
ne,ne,60
suis,être,17
point,point,60
né,naître,12
pour,pour,81
les,le,71
émotions,émotion,22
violentes,violent,30
",",",",p
cela,cela,52
prend,prendre,17
sur,sur,81
ma,mon,73
santé,santé,22
",",",",p
ajouta,ajouter,19
t,t,94
il,il,51
",",",",p
s',se,51
emparant,emparer,13
du,de,81
du,le,71
bras,bras,21
de,de,81
monsieur,monsieur,21
de,de,81
Beauvau,Beauvau,20
:,:,p
dites,dire,17
nous,nous,51
plutôt,plutôt,60
si,si,83
les,le,71
Espagnoles,Espagnol,20
sont,être,17
toujours,toujours,60
jolies,joli,30
",",",",p
jeune,jeune,30
homme,homme,21
/.,/.,P
on,on,51
vous,vous,51
dit,dire,19
fort,fort,60
galant,galant,30
/.,/.,P
tudieu,tudieu,93
!,!,p
je,je,51
suis,être,17
sûr,sûr,30
qu',que,83
on,on,51
a,avoir,17
parlé,parler,12
de,de,81
vous,vous,51
là-bas,là-bas,60
/.,/.,P
on,on,51
dit,dire,17
que,que,83
les,le,71
femmes,femme,22
portent,porter,17
des,de,81
des,le,71
vertugadins,vertugadin,21
énormes,énorme,30
/!,/!,P
eh,eh,93
bien,bien,60
",",",",p
je,je,51
n',ne,60
en,en,52
suis,être,17
pas,pas,60
ennemi,ennemi,30
du,de,81
du,le,71
tout,tout,21
/.,/.,P
en,en,81
vérité,vérité,22
cela,cela,52
fait,faire,17
paraître,paraître,14
le,le,71
pied,pied,21
plus,plus,60
petit,petit,30
et,et,82
plus,plus,60
joli,joli,30
;,;,p
je,je,51
suis,être,17
sûr,sûr,30
que,que,83
la,le,71
femme,femme,22
de,de,81
don,don,21
Louis,Louis,20
de,de,81
Haro,Haro,20
n',ne,60
est,être,17
pas,pas,60
plus,plus,60
belle,beau,30
que,que,83
madame,madame,22
de,de,81
Guéménée,Guéménée,20
",",",",p
n',ne,60
