11488
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-septième extrait>,<>,<> 
",",",",p
inquiète,inquiet,30
et,et,82
bonne,bon,30
",",",",p
résolut,résoudre,19
de,de,81
savoir,savoir,14
à,à,81
tout,tout,75
prix,prix,21
des,de,81
des,le,71
nouvelles,nouvelle,22
de,de,81
madame,madame,22
Delmare,Delmare,20
/.,/.,P
elle,il,51
se,se,51
fit,faire,19
conduire,conduire,14
au,à,81
au,le,71
bout,bout,21
de,de,81
la,le,71
rue,rue,22
qu',que,52
elle,il,51
habitait,habiter,18
",",",",p
et,et,82
envoya,envoyer,19
un,un,71
domestique,domestique,21
questionner,questionner,14
le,le,71
concierge,concierge,21
",",",",p
en,en,81
lui,lui,51
recommandant,recommander,13
de,de,81
tâcher,tâcher,14
de,de,81
voir,voir,14
sir,sir,92
Ralph,Ralph,20
s',si,83
il,il,51
était,être,18
dans,dans,81
la,le,71
maison,maison,22
/.,/.,P
elle,il,51
attendit,attendre,19
dans,dans,81
sa,son,73
voiture,voiture,22
le,le,71
résultat,résultat,21
de,de,81
cette,ce,74
tentative,tentative,22
",",",",p
et,et,82
bientôt,bientôt,60
Ralph,Ralph,20
lui-même,lui-même,51
vint,venir,19
l',le,52
y,y,52
trouver,trouver,14
/.,/.,P
la,le,71
seule,seul,30
personne,personne,22
",",",",p
peut-être,peut-être,60
",",",",p
qui,qui,52
jugeât,juger,18
bien,bien,60
Ralph,Ralph,20
",",",",p
c',ce,52
était,être,18
madame,madame,22
de,de,81
Ramière,Ramière,20
;,;,p
quelques,quelque,75
mots,mot,21
suffirent,suffire,19
entre,entre,81
eux,ils,51
pour,pour,81
comprendre,comprendre,14
la,le,71
part,part,22
mutuelle,mutuel,30
d',de,81
intérêt,intérêt,21
sincère,sincère,30
et,et,82
pur,pur,30
qu',que,52
ils,ils,51
avaient,avoir,18
dans,dans,81
cette,ce,74
affaire,affaire,22
/.,/.,P
Ralph,Ralph,20
raconta,raconter,19
ce,ce,52
qui,qui,52
s',se,51
était,être,18
passé,passer,12
dans,dans,81
la,le,71
matinée,matinée,22
;,;,p
et,et,82
",",",",p
comme,comme,83
il,il,51
n',ne,60
avait,avoir,18
que,que,83
des,de,81
des,le,71
soupçons,soupçon,21
sur,sur,81
les,le,71
circonstances,circonstance,22
de,de,81
la,le,71
nuit,nuit,22
",",",",p
il,il,51
ne,ne,60
chercha,chercher,19
pas,pas,60
à,à,81
les,le,52
confirmer,confirmer,14
/.,/.,P
mais,mais,82
madame,madame,22
de,de,81
Ramière,Ramière,20
crut,croire,19
devoir,devoir,14
l',le,52
informer,informer,14
de,de,81
ce,ce,52
qu',que,52
elle,il,51
en,en,52
savait,savoir,18
",",",",p
le,le,52
mettant,mettre,13
de,de,81
moitié,moitié,22
dans,dans,81
son,son,73
désir,désir,21
de,de,81
rompre,rompre,14
cette,ce,74
liaison,liaison,22
funeste,funeste,30
et,et,82
impossible,impossible,30
/.,/.,P
Ralph,Ralph,20
",",",",p
qui,qui,52
se,se,51
sentait,sentir,18
plus,plus,60
à,à,81
l',le,71
aise,aise,22
devant,devant,81
elle,il,51
qu',que,83
il,il,51
ne,ne,60
l',le,52
était,être,18
vis-à-vis,vis-à-vis,60
de,de,81
personne,personne,52
",",",",p
laissa,laisser,19
paraître,paraître,14
sur,sur,81
ses,son,73
traits,trait,21
une,un,71
altération,altération,22
profonde,profond,30
en,en,81
recevant,recevoir,13
cette,ce,74
confidence,confidence,22
/.,/.,P
-,-,p
vous,vous,51
dites,dire,17
",",",",p
madame,madame,22
",",",",p
murmura,murmurer,19
t,t,94
il,il,51
en,en,81
réprimant,réprimer,13
comme,comme,83
un,un,71
frisson,frisson,21
nerveux,nerveux,30
qui,qui,52
parcourut,parcourir,19
ses,son,73
veines,veine,22
",",",",p
qu',que,83
elle,il,51
a,avoir,17
passé,passer,12
la,le,71
nuit,nuit,22
dans,dans,81
votre,votre,73
hôtel,hôtel,21
/?,/?,P
une,un,71
nuit,nuit,22
solitaire,solitaire,30
et,et,82
douloureuse,douloureux,30
",",",",p
sans,sans,81
doute,doute,21
/.,/.,P
Raymon,Raymon,20
",",",",p
qui,qui,52
n',ne,60
était,être,18
certes,certes,60
pas,pas,60
coupable,coupable,30
de,de,81
complicité,complicité,22
",",",",p
n',ne,60
est,être,17
rentré,rentrer,12
qu',que,83
à,à,81
six,six,72
heures,heure,22
",",",",p
et,et,82
",",",",p
à,à,81
sept,sept,72
",",",",p
il,il,51
est,être,17
venu,venir,12
me,je,51
trouver,trouver,14
pour,pour,81
m',je,51
engager,engager,14
à,à,81
calmer,calmer,14
l',le,71
esprit,esprit,21
de,de,81
cette,ce,74
malheureuse,malheureux,30
enfant,enfant,21
/.,/.,P
-,-,p
elle,il,51
voulait,vouloir,18
quitter,quitter,14
son,son,73
mari,mari,21
!,!,p
elle,il,51
voulait,vouloir,18
se,se,51
perdre,perdre,14
d',de,81
honneur,honneur,21
!,!,p
reprit,reprendre,19
Ralph,Ralph,20
les,le,71
yeux,oeil,21
fixes,fixe,30
",",",",p
et,et,82
dans,dans,81
une,un,71
étrange,étrange,30
préoccupation,préoccupation,22
de,de,81
coeur,coeur,21
/.,/.,P
elle,il,51
l',le,52
aime,aimer,17
donc,donc,82
bien,bien,60
cet,ce,74
homme,homme,21
indigne,indigne,30
d',de,81
elle,il,51
!,!,p
/…,/…,P
Ralph,Ralph,20
oubliait,oublier,18
qu',que,83
il,il,51
parlait,parler,18
à,à,81
la,le,71
mère,mère,22
de,de,81
Raymon,Raymon,20
/.,/.,P
-,-,p
je,je,51
m',je,51
en,en,52
doutais,douter,18
bien,bien,60
depuis,depuis,81
longtemps,longtemps,60
",",",",p
continua,continuer,19
t,t,94
il,il,51
;,;,p
pourquoi,pourquoi,60
n',ne,60
ai,avoir,17
je,je,51
pas,pas,60
prévu,prévoir,12
le,le,71
jour,jour,21
où,où,60
elle,il,51
consommerait,consommer,16
sa,son,73
perte,perte,22
/!,/!,P
je,je,51
l',le,52
aurais,avoir,16
tuée,tuer,12
auparavant,auparavant,60
/.,/.,P
ce,ce,74
langage,langage,21
dans,dans,81
la,le,71
bouche,bouche,22
de,de,81
Ralph,Ralph,20
surprit,surprendre,19
étrangement,étrangement,60
madame,madame,22
de,de,81
Ramière,Ramière,20
;,;,p
elle,il,51
croyait,croire,18
parler,parler,14
à,à,81
un,un,71
homme,homme,21
calme,calme,30
et,et,82
indulgent,indulgent,30
",",",",p
elle,il,51
se,se,51
repentir,repentir,14
d',de,81
avoir,avoir,14
cru,croire,12
aux,à,81
aux,le,71
apparences,apparence,22
/.,/.,P
-,-,p
mon,mon,73
dieu,dieu,21
!,!,p
dit,dire,19
elle,il,51
avec,avec,81
effroi,effroi,21
",",",",p
la,le,52
jugerez,juger,15
vous,vous,51
donc,donc,82
aussi,aussi,60
sans,sans,81
miséricorde,miséricorde,22
?,?,p
l',le,52
abandonnerez,abandonner,15
vous,vous,51
comme,comme,83
sa,son,73
tante,tante,22
/?,/?,P
êtes,être,17
vous,vous,51
donc,donc,82
tous,tout,52
sans,sans,81
pitié,pitié,22
et,et,82
sans,sans,81
pardon,pardon,21
/?,/?,P
ne,ne,60
lui,lui,51
restera,rester,15
t,t,94
il,il,51
pas,pas,60
un,un,71
ami,ami,21
après,après,81
une,un,71
faute,faute,22
dont,dont,52
elle,il,51
a,avoir,17
déjà,déjà,60
tant,tant,60
souffert,souffrir,12
/?,/?,P
ne,ne,60
craignez,craindre,17
rien,rien,52
de,de,81
pareil,pareil,30
de,de,81
ma,mon,73
part,part,22
",",",",p
madame,madame,22
",",",",p
répondit,répondre,19
Ralph,Ralph,20
;,;,p
il,il,51
y,y,52
a,avoir,17
six,six,72
mois,mois,21
que,que,83
je,je,51
n',ne,60
ai,avoir,17
rien,rien,52
dit,dire,12
/.,/.,P
j',je,51
ai,avoir,17
surpris,surprendre,12
leur,leur,73
premier,premier,72
baiser,baiser,21
",",",",p
et,et,82
je,je,51
n',ne,60
ai,avoir,17
point,point,60
jeté,jeter,12
monsieur,monsieur,21
de,de,81
Ramière,Ramière,20
à,à,81
bas,bas,60
de,de,81
son,son,73
cheval,cheval,21
;,;,p
j',je,51
ai,avoir,17
croisé,croiser,12
souvent,souvent,60
dans,dans,81
les,le,71
bois,bois,21
leurs,leur,73
messages,message,21
d',de,81
amour,amour,21
",",",",p
et,et,82
je,je,51
ne,ne,60
les,le,52
ai,avoir,17
point,point,60
déchirés,déchirer,12
à,à,81
coups,coup,21
de,de,81
fouet,fouet,21
/.,/.,P
j',je,51
ai,avoir,17
rencontré,rencontrer,12
monsieur,monsieur,21
de,de,81
Ramière,Ramière,20
sur,sur,81
le,le,71
pont,pont,21
qu',que,52
il,il,51
traversait,traverser,18
pour,pour,81
aller,aller,14
la,le,52
trouver,trouver,14
;,;,p
c',ce,52
était,être,18
la,le,71
nuit,nuit,22
",",",",p
nous,nous,51
étions,être,18
seuls,seul,30
",",",",p
et,et,82
je,je,51
suis,être,17
fort,fort,30
quatre,quatre,72
fois,fois,22
comme,comme,83
lui,lui,51
;,;,p
pourtant,pourtant,60
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
jeté,jeter,12
cet,ce,74
homme,homme,21
dans,dans,81
la,le,71
rivière,rivière,22
;,;,p
et,et,82
quand,quand,83
",",",",p
après,après,81
l',le,52
avoir,avoir,14
laissé,laisser,12
fuir,fuir,14
",",",",p
j',je,51
ai,avoir,17
découvert,découvrir,12
qu',que,83
il,il,51
avait,avoir,18
trompé,tromper,12
ma,mon,73
vigilance,vigilance,22
",",",",p
qu',que,83
il,il,51
s',se,51
était,être,18
introduit,introduire,12
chez,chez,81
elle,il,51
",",",",p
au,à,81
au,le,71
lieu,lieu,21
d',de,81
enfoncer,enfoncer,14
les,le,71
portes,porte,22
et,et,82
de,de,81
le,le,52
lancer,lancer,14
par,par,81
la,le,71
fenêtre,fenêtre,22
",",",",p
j',je,51
ai,avoir,17
été,être,12
paisiblement,paisiblement,60
les,le,52
avertir,avertir,14
de,de,81
l',le,71
approche,approche,22
du,de,81
du,le,71
mari,mari,21
",",",",p
et,et,82
sauver,sauver,14
la,le,71
vie,vie,22
de,de,81
l',le,71
un,un,52
afin,afin,81
de,de,81
sauver,sauver,14
l',le,71
honneur,honneur,21
de,de,81
l',le,71
autre,autre,52
/.,/.,P
vous,vous,51
voyez,voir,17
bien,bien,60
",",",",p
madame,madame,22
",",",",p
que,que,83
je,je,51
suis,être,17
clément,clément,30
et,et,82
miséricordieux,miséricordieux,30
/.,/.,P
ce,ce,74
matin,matin,21
",",",",p
je,je,51
tenais,tenir,18
cet,ce,74
homme,homme,21
sous,sous,81
ma,mon,73
main,main,22
;,;,p
je,je,51
savais,savoir,18
bien,bien,60
qu',que,83
il,il,51
était,être,18
la,le,71
cause,cause,22
de,de,81
tous,tout,75
nos,notre,73
maux,mal,21
",",",",p
et,et,82
",",",",p
si,si,83
je,je,51
n',ne,60
avais,avoir,18
pas,pas,60
le,le,71
droit,droit,21
de,de,81
l',le,52
accuser,accuser,14
sans,sans,81
preuves,preuve,22
",",",",p
j',je,51
avais,avoir,18
au,à,81
au,le,71
moins,moins,60
le,le,71
pouvoir,pouvoir,14
de,de,81
lui,lui,51
chercher,chercher,14
dispute,dispute,22
pour,pour,81
son,son,73
air,air,21
arrogant,arrogant,30
et,et,82
railleur,railleur,30
/.,/.,P
eh,eh,93
bien,bien,60
",",",",p
j',je,51
ai,avoir,17
supporté,supporter,12
des,de,81
des,le,71
dédains,dédain,21
insultants,insultant,30
",",",",p
parce que,parce que,83
je,je,51
savais,savoir,18
que,que,83
sa,son,73
mort,mort,22
tuerait,tuer,16
Indiana,Indiana,20
;,;,p
je,je,51
l',le,52
ai,avoir,17
laissé,laisser,12
se,se,51
rendormir,rendormir,14
sur,sur,81
l',le,71
autre,autre,75
flanc,flanc,21
",",",",p
tandis qu',tandis que,83
Indiana,Indiana,20
",",",",p
mourante,mourant,30
et,et,82
folle,fou,30
",",",",p
était,être,18
au,à,81
au,le,71
bord,bord,21
de,de,81
la,le,71
Seine,Seine,20
",",",",p
prête,prêt,30
à,à,81
rejoindre,rejoindre,14
l',le,71
autre,autre,75
victime,victime,22
/…,/…,P
vous,vous,51
voyez,voir,17
",",",",p
madame,madame,22
",",",",p
que,que,83
je,je,51
pratique,pratiquer,17
la,le,71
patience,patience,22
avec,avec,81
les,le,71
gens,gens,21
que,que,52
je,je,51
hais,haïr,17
et,et,82
l',le,71
indulgence,indulgence,22
avec,avec,81
ceux,celui,52
que,que,52
j',je,51
aime,aimer,17
/.,/.,P
madame,madame,22
de,de,81
Ramière,Ramière,20
",",",",p
assise,assis,31
dans,dans,81
sa,son,73
voiture,voiture,22
vis-à-vis,vis-à-vis,60
de,de,81
Ralph,Ralph,20
",",",",p
le,le,52
contemplait,contempler,18
avec,avec,81
une,un,71
surprise,surprise,22
mêlée,mêlé,31
de,de,81
frayeur,frayeur,22
/.,/.,P
il,il,51
était,être,18
si,si,60
différent,différent,30
de,de,81
ce,ce,52
qu',que,52
elle,il,51
l',le,52
avait,avoir,18
toujours,toujours,60
vu,voir,12
",",",",p
qu',que,83
elle,il,51
pensa,penser,19
presque,presque,60
à,à,81
la,le,71
possibilité,possibilité,22
d',de,81
une,un,71
subite,subit,30
aliénation,aliénation,22
mentale,mental,30
/.,/.,P
l',le,71
allusion,allusion,22
qu',que,52
il,il,51
venait,venir,18
de,de,81
faire,faire,14
à,à,81
la,le,71
mort,mort,22
de,de,81
Noun,Noun,20
la,le,52
confirmait,confirmer,18
dans,dans,81
cette,ce,74
idée,idée,22
;,;,p
car,car,82
elle,il,51
ignorait,ignorer,18
absolument,absolument,60
cette,ce,74
histoire,histoire,22
",",",",p
et,et,82
prenait,prendre,18
les,le,71
mots,mot,21
échappés,échappé,31
à,à,81
l',le,71
indignation,indignation,22
de,de,81
Ralph,Ralph,20
pour,pour,81
un,un,71
fragment,fragment,21
de,de,81
pensée,pensée,22
étrangère,étranger,30
à,à,81
son,son,73
sujet,sujet,21
/.,/.,P
il,il,51
était,être,18
",",",",p
en,en,81
effet,effet,21
",",",",p
dans,dans,81
une,un,52
de,de,81
ces,ce,74
situations,situation,22
violentes,violent,30
qui,qui,52
se,se,51
présentent,présenter,17
au,à,81
au,le,71
moins,moins,60
une,un,71
fois,fois,22
dans,dans,81
la,le,71
vie,vie,22
des,de,81
des,le,71
hommes,homme,21
les,le,71
plus,plus,60
raisonnables,raisonnable,30
",",",",p
et,et,82
qui,qui,52
tiennent,tenir,17
de,de,81
si,si,60
près,près,81
à,à,81
la,le,71
folie,folie,22
",",",",p
qu',que,83
un,un,71
degré,degré,21
de,de,81
plus,plus,60
les,le,52
porterait,porter,16
à,à,81
la,le,71
fureur,fureur,22
/.,/.,P
sa,son,73
colère,colère,22
était,être,18
cependant,cependant,82
pâle,pâle,30
et,et,82
concentrée,concentrer,12
comme,comme,83
celle,celui,52
des,de,81
des,le,71
tempéraments,tempérament,21
froids,froid,30
;,;,p
mais,mais,82
elle,il,51
était,être,18
profonde,profond,30
comme,comme,83
celle,celui,52
des,de,81
des,le,71
âmes,âme,22
nobles,noble,30
",",",",p
et,et,82
l',le,71
étrangeté,étrangeté,22
de,de,81
cette,ce,74
disposition,disposition,22
",",",",p
prodigieuse,prodigieux,30
chez,chez,81
lui,lui,51
en,en,52
rendait,rendre,18
l',le,71
aspect,aspect,21
terrible,terrible,30
/.,/.,P
madame,madame,22
de,de,81
Ramière,Ramière,20
prit,prendre,19
sa,son,73
main,main,22
et,et,82
lui,lui,51
dit,dire,19
avec,avec,81
douceur,douceur,22
:,:,p
-,-,p
vous,vous,51
souffrez,souffrir,17
beaucoup,beaucoup,60
",",",",p
mon,mon,73
cher,cher,30
Ralph,Ralph,20
;,;,p
car,car,82
vous,vous,51
me,je,51
faites,faire,17
du,de,81
du,le,71
mal,mal,21
sans,sans,81
remords,remords,21
:,:,p
vous,vous,51
oubliez,oublier,17
que,que,83
l',le,71
homme,homme,21
dont,dont,52
vous,vous,51
parlez,parler,17
est,être,17
mon,mon,73
fils,fils,21
",",",",p
et,et,82
que,que,83
ses,son,73
torts,tort,21
",",",",p
s',si,83
il,il,51
en,en,52
a,avoir,17
",",",",p
doivent,devoir,17
déchirer,déchirer,14
mon,mon,73
coeur,coeur,21
encore,encore,60
plus,plus,60
que,que,83
le,le,71
vôtre,vôtre,52
/.,/.,P
Ralph,Ralph,20
revint,revenir,19
aussitôt,aussitôt,60
à,à,81
lui-même,lui-même,51
",",",",p
et,et,82
",",",",p
baisant,baiser,13
la,le,71
main,main,22
de,de,81
madame,madame,22
de,de,81
Ramière,Ramière,20
avec,avec,81
une,un,71
effusion,effusion,22
d',de,81
amitié,amitié,22
dont,dont,52
le,le,71
témoignage,témoignage,21
était,être,18
presque,presque,60
aussi,aussi,60
rare,rare,30
que,que,83
celui,celui,52
de,de,81
sa,son,73
colère,colère,22
:,:,p
-,-,p
pardonnez,pardonner,17
moi,moi,51
",",",",p
madame,madame,22
",",",",p
lui,lui,51
dit,dire,19
il,il,51
;,;,p
vous,vous,51
avez,avoir,17
raison,raison,22
",",",",p
je,je,51
souffre,souffrir,17
beaucoup,beaucoup,60
",",",",p
et,et,82
j',je,51
oublie,oublier,17
ce,ce,52
que,que,52
je,je,51
devrais,devoir,16
respecter,respecter,14
/.,/.,P
oubliez,oublier,17
vous-même,vous-même,51
l',le,71
amertume,amertume,22
que,que,52
je,je,51
viens,venir,17
de,de,81
laisser,laisser,14
paraître,paraître,14
;,;,p
mon,mon,73
coeur,coeur,21
saura,savoir,15
la,le,52
renfermer,renfermer,14
encore,encore,60
/.,/.,P
madame,madame,22
de,de,81
Ramière,Ramière,20
",",",",p
quoique,quoique,83
rassurée,rassuré,31
par,par,81
cette,ce,74
réponse,réponse,22
gardait,garder,18
une,un,71
secrète,secret,30
inquiétude,inquiétude,22
en,en,81
voyant,voir,13
la,le,71
haine,haine,22
profonde,profond,30
que,que,52
Ralph,Ralph,20
nourrissait,nourrir,18
pour,pour,81
son,son,73
fils,fils,21
/.,/.,P
elle,il,51
essaya,essayer,19
de,de,81
l',le,52
excuser,excuser,14
aux,à,81
aux,le,71
yeux,oeil,21
de,de,81
son,son,73
ennemi,ennemi,21
;,;,p
il,il,51
l',le,52
arrêta,arrêter,19
/.,/.,P
-,-,p
je,je,51
devine,deviner,17
vos,votre,73
pensées,pensée,22
",",",",p
madame,madame,22
",",",",p
lui,lui,51
dit,dire,19
il,il,51
;,;,p
mais,mais,82
rassurez,rassurer,17
vous,vous,51
",",",",p
nous,nous,51
ne,ne,60
sommes,être,17
pas,pas,60
destinés,destiner,12
à,à,81
nous,nous,51
revoir,revoir,14
de,de,81
sitôt,sitôt,60
",",",",p
monsieur,monsieur,21
de,de,81
Ramière,Ramière,20
et,et,82
moi,moi,51
/.,/.,P
quant,quand,83
à,à,81
ma,mon,73
cousine,cousine,22
",",",",p
ne,ne,60
vous,vous,51
repentez,repentir,17
pas,pas,60
de,de,81
m',je,51
avoir,avoir,14
éclairé,éclairer,12
/.,/.,P
si,si,83
tout,tout,75
le,le,71
monde,monde,21
l',le,52
abandonne,abandonner,17
",",",",p
je,je,51
jure,jurer,17
qu',que,83
au,à,81
au,le,71
moins,moins,60
un,un,71
ami,ami,21
lui,lui,51
restera,rester,15
/.,/.,P
madame,madame,22
de,de,81
Ramière,Ramière,20
",",",",p
en,en,81
rentrant,rentrer,13
chez,chez,81
elle,il,51
vers,vers,81
le,le,71
soir,soir,21
",",",",p
trouva,trouver,19
Raymon,Raymon,20
",",",",p
qui,qui,52
chauffait,chauffer,18
voluptueusement,voluptueusement,60
ses,son,73
pieds,pied,21
enveloppés,enveloppé,31
de,de,81
pantoufles,pantoufle,22
de,de,81
cachemire,cachemire,21
",",",",p
et,et,82
qui,qui,52
prenait,prendre,18
du,de,81
du,le,71
thé,thé,21
pour,pour,81
achever,achever,14
de,de,81
dissiper,dissiper,14
les,le,71
agitations,agitation,22
nerveuses,nerveux,30
de,de,81
la,le,71
matinée,matinée,22
/.,/.,P
il,il,51
était,être,18
encore,encore,60
abattu,abattre,12
par,par,81
ces,ce,74
prétendues,prétendu,31
émotions,émotion,22
;,;,p
mais,mais,82
de,de,81
douces,doux,30
pensées,pensée,22
d',de,81
avenir,avenir,21
ravivaient,raviver,18
son,son,73
âme,âme,22
:,:,p
il,il,51
se,se,51
sentait,sentir,18
enfin,enfin,60
redevenu,redevenu,31
libre,libre,30
",",",",p
et,et,82
il,il,51
se,se,51
livrait,livrer,18
entièrement,entièrement,60
à,à,81
de,de,81
béates,béat,30
méditations,méditation,22
sur,sur,81
ce,ce,74
précieux,précieux,30
état,état,21
qu',que,52
il,il,51
avait,avoir,18
l',le,71
habitude,habitude,22
de,de,81
garder,garder,14
si,si,60
mal,mal,60
/.,/.,P
-,-,p
pourquoi,pourquoi,60
suis,être,17
je,je,51
destiné,destiner,12
",",",",p
se,se,51
disait,dire,18
il,il,51
",",",",p
à,à,81
m',je,51
ennuyer,ennuyer,14
sitôt,sitôt,60
dans,dans,81
cette,ce,74
ineffable,ineffable,30
liberté,liberté,22
d',de,81
esprit,esprit,21
qu',que,52
il,il,51
me,je,51
faut,falloir,17
toujours,toujours,60
racheter,racheter,14
si,si,60
chèrement,chèrement,60
/?,/?,P
quand,quand,83
je,je,51
me,je,51
sens,sentir,17
pris,pris,31
aux,à,81
aux,le,71
pièges,piège,21
d',de,81
une,un,71
femme,femme,22
",",",",p
il,il,51
me,je,51
tarde,tarder,17
de,de,81
les,le,52
rompre,rompre,14
",",",",p
afin,afin,81
de,de,81
reconquérir,reconquérir,14
mon,mon,73
repos,repos,21
et,et,82
ma,mon,73
tranquillité,tranquillité,22
d',de,81
âme,âme,22
/.,/.,P
que,que,52
je,je,51
sois,être,17
maudit,maudire,12
si,si,83
j',je,51
en,en,52
fais,faire,17
le,le,71
sacrifice,sacrifice,21
de,de,81
sitôt,sitôt,60
/!,/!,P
les,le,71
chagrins,chagrin,21
que,que,52
m',je,51
ont,avoir,17
suscités,susciter,12
ces,ce,74
deux,deux,72
créoles,créole,21
me,je,51
serviront,servir,15
d',de,81
avertissement,avertissement,21
",",",",p
et,et,82
je,je,51
ne,ne,60
veux,vouloir,17
plus,plus,60
avoir,avoir,14
affaire,affaire,22
qu',que,83
à,à,81
de,de,81
légères,léger,30
et,et,82
moqueuses,moqueur,30
Parisiennes,Parisien,20
/…,/…,P
à,à,81
de,de,81
véritables,véritable,30
femmes,femme,22
du,de,81
du,le,71
monde,monde,21
/.,/.,P
peut-être,peut-être,60
ferais,faire,16
je,je,51
bien,bien,60
de,de,81
me,je,51
marier,marier,14
pour,pour,81
faire,faire,14
une,un,71
fin,fin,22
",",",",p
comme,comme,83
on,on,51
dit,dire,17
/…,/…,P
il,il,51
était,être,18
plongé,plonger,12
dans,dans,81
ces,ce,74
bourgeoises,bourgeois,30
et,et,82
commodes,commode,22
pensées,pensé,31
",",",",p
quand,quand,83
sa,son,73
mère,mère,22
entra,entrer,19
émue,ému,31
et,et,82
fatiguée,fatigué,31
/.,/.,P
-,-,p
elle,il,51
se,se,51
porte,porter,17
mieux,mieux,60
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
;,;,p
tout,tout,52
s',se,51
est,être,17
bien,bien,60
passé,passer,12
",",",",p
j',je,51
espère,espérer,17
qu',que,83
elle,il,51
se,se,51
calmera,calmer,15
/…,/…,P
-,-,p
qui,qui,52
?,?,p
demanda,demander,19
Raymon,Raymon,20
",",",",p
réveillé,réveillé,31
en,en,81
sursaut,sursaut,21
dans,dans,81
ses,son,73
châteaux,château,21
en,en,81
Espagne,Espagne,20
/.,/.,P
cependant,cependant,82
il,il,51
songea,songer,19
",",",",p
le,le,71
lendemain,lendemain,21
",",",",p
qu',que,83
il,il,51
lui,lui,51
restait,rester,18
encore,encore,60
une,un,71
tâche,tâche,22
à,à,81
remplir,remplir,14
:,:,p
c',ce,52
était,être,18
de,de,81
regagner,regagner,14
l',le,71
estime,estime,22
",",",",p
sinon,sinon,83
l',le,71
amour,amour,21
de,de,81
cette,ce,74
femme,femme,22
/.,/.,P
il,il,51
ne,ne,60
voulait,vouloir,18
pas,pas,60
qu',que,83
elle,il,51
pût,pouvoir,18
se,se,51
vanter,vanter,14
de,de,81
l',le,52
avoir,avoir,14
quitté,quitter,12
;,;,p
il,il,51
voulait,vouloir,18
qu',que,83
elle,il,51
se,se,51
persuadât,persuader,18
avoir,avoir,14
cédé,céder,12
à,à,81
l',le,71
ascendant,ascendant,21
de,de,81
sa,son,73
raison,raison,22
et,et,82
de,de,81
sa,son,73
générosité,générosité,22
/.,/.,P
il,il,51
voulait,vouloir,18
la,le,52
dominer,dominer,14
encore,encore,60
après,après,81
l',le,52
avoir,avoir,14
repoussée,repousser,12
;,;,p
et,et,82
il,il,51
lui,lui,51
écrivit,écrire,19
:,:,p
“,“,p
je,je,51
ne,ne,60
viens,venir,17
pas,pas,60
vous,vous,51
demander,demander,14
pardon,pardon,21
",",",",p
mon,mon,73
amie,amie,22
",",",",p
de,de,81
quelques,quelque,75
paroles,parole,22
cruelles,cruel,30
ou,ou,82
audacieuses,audacieux,30
échappées,échappé,31
au,à,81
au,le,71
délire,délire,21
de,de,81
mes,mon,73
sens,sens,21
/.,/.,P
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
dans,dans,81
le,le,71
désordre,désordre,21
de,de,81
la,le,71
fièvre,fièvre,22
qu',que,52
on,on,51
peut,pouvoir,17
former,former,14
une,un,71
idée,idée,22
complète,complet,30
et,et,82
l',le,52
exprimer,exprimer,14
d',de,81
une,un,71
manière,manière,22
convenable,convenable,30
/.,/.,P
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
ma,mon,73
faute,faute,22
si,si,83
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
un,un,71
dieu,dieu,21
",",",",p
si,si,83
je,je,51
ne,ne,60
puis,pouvoir,17
maîtriser,maîtriser,14
auprès,auprès,60
de,de,81
vous,vous,51
l',le,71
ardeur,ardeur,22
de,de,81
mon,mon,73
sang,sang,21
qui,qui,52
bouillonne,bouillonner,17
",",",",p
si,si,83
ma,mon,73
tête,tête,22
s',se,51
égare,égarer,17
",",",",p
si,si,83
je,je,51
deviens,devenir,17
fou,fou,30
/.,/.,P
peut-être,peut-être,60
aurais,avoir,16
je,je,51
le,le,71
droit,droit,21
de,de,81
me,je,51
plaindre,plaindre,14
du,de,81
du,le,71
féroce,féroce,30
sang-froid,sang-froid,21
avec,avec,81
lequel,lequel,52
vous,vous,51
m,m,21
avez,avoir,17
condamné,condamner,12
à,à,81
d',de,81
affreuses,affreux,30
tortures,torture,22
sans,sans,81
jamais,jamais,60
en,en,52
prendre,prendre,14
aucune,aucun,75
pitié,pitié,22
;,;,p
mais,mais,82
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
votre,votre,73
faute,faute,22
non,non,60
plus,plus,60
/.,/.,P
vous,vous,51
étiez,être,18
trop,trop,60
parfaite,parfaire,12
pour,pour,81
jouer,jouer,14
en,en,81
ce,ce,74
monde,monde,21
le,le,71
même,même,75
rôle,rôle,21
que,que,52
nous,nous,51
",",",",p
créatures,créature,22
vulgaires,vulgaire,30
soumises,soumis,31
aux,à,81
aux,le,71
passions,passion,22
humaines,humain,30
",",",",p
esclaves,esclave,30
de,de,81
notre,notre,73
organisation,organisation,22
grossière,grossier,30
/.,/.,P
je,je,51
vous,vous,51
l',le,52
ai,avoir,17
dit,dire,12
souvent,souvent,60
",",",",p
Indiana,Indiana,20
",",",",p
vous,vous,51
n',ne,60
êtes,être,17
pas,pas,60
femme,femme,22
",",",",p
et,et,82
",",",",p
quand,quand,83
j',je,51
y,y,52
