11637
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-huitième extrait>,<>,<>
emmènerai,emmener,15
aux,à,81
aux,le,71
champs,champ,21
demain,demain,60
/.,/.,P
je,je,51
l',le,52
amuserai,amuser,15
toute,tout,75
la,le,71
journée,journée,22
et,et,82
j',je,51
aurai,avoir,15
soin,soin,21
qu',que,83
il,il,51
ne,ne,60
manque,manquer,17
de,de,81
rien,rien,52
/.,/.,P
-,-,p
et,et,82
il,il,51
t',tu,51
ennuiera,ennuyer,15
",",",",p
ma,mon,73
pauvre,pauvre,30
fille,fille,22
/!,/!,P
il,il,51
te,tu,51
gênera,gêner,15
!,!,p
toute,tout,75
une,un,71
journée,journée,22
",",",",p
c',ce,52
est,être,17
long,long,30
!,!,p
-,-,p
ça,ça,52
me,je,51
fera,faire,15
plaisir,plaisir,21
",",",",p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
ça,ça,52
me,je,51
tiendra,tenir,15
compagnie,compagnie,22
",",",",p
et,et,82
ça,ça,52
me,je,51
rendra,rendre,15
moins,moins,60
triste,triste,30
le,le,71
premier,premier,72
jour,jour,21
que,que,52
j',je,51
aurai,avoir,15
à,à,81
passer,passer,14
dans,dans,81
un,un,71
nouveau,nouveau,30
pays,pays,21
/.,/.,P
je,je,51
me,je,51
figurerai,figurer,15
que,que,83
je,je,51
suis,être,17
encore,encore,60
chez,chez,81
nous,nous,51
/.,/.,P
l',le,71
enfant,enfant,21
",",",",p
voyant,voir,13
que,que,83
la,le,71
petite,petit,30
Marie,Marie,20
prenait,prendre,18
son,son,73
parti,parti,21
",",",",p
s',se,51
était,être,18
cramponné,cramponner,12
à,à,81
sa,son,73
jupe,jupe,22
et,et,82
la,le,52
tenait,tenir,18
si,si,60
fort,fort,60
qu',que,83
il,il,51
eût,avoir,19
fallu,falloir,12
lui,lui,51
faire,faire,14
du,de,81
du,le,71
mal,mal,21
pour,pour,81
l',le,52
en,en,52
arracher,arracher,14
/.,/.,P
quand,quand,83
il,il,51
reconnut,reconnaître,19
que,que,83
son,son,73
père,père,21
cédait,céder,18
",",",",p
il,il,51
prit,prendre,19
la,le,71
main,main,22
de,de,81
Marie,Marie,20
dans,dans,81
ses,son,73
deux,deux,72
petites,petit,30
mains,main,22
brunies,bruni,31
par,par,81
le,le,71
soleil,soleil,21
",",",",p
et,et,82
l',le,52
embrassa,embrasser,19
en,en,81
sautant,sauter,13
de,de,81
joie,joie,22
et,et,82
en,en,81
la,le,52
tirant,tirer,13
vers,vers,81
la,le,71
jument,jument,22
",",",",p
avec,avec,81
cette,ce,74
impatience,impatience,22
ardente,ardent,30
que,que,52
les,le,71
enfants,enfant,21
portent,porter,17
dans,dans,81
leurs,leur,73
désirs,désir,21
/.,/.,P
-,-,p
allons,aller,17
",",",",p
allons,aller,17
",",",",p
dit,dire,19
la,le,71
jeune,jeune,30
fille,fille,22
",",",",p
en,en,81
le,le,52
soulevant,soulever,13
dans,dans,81
ses,son,73
bras,bras,21
",",",",p
tâchons,tâcher,17
d',de,81
apaiser,apaiser,14
ce,ce,74
pauvre,pauvre,30
coeur,coeur,21
qui,qui,52
saute,sauter,17
comme,comme,83
un,un,71
petit,petit,30
oiseau,oiseau,21
",",",",p
et,et,82
si,si,83
tu,tu,51
sens,sentir,17
le,le,71
froid,froid,21
quand,quand,83
la,le,71
nuit,nuit,22
viendra,venir,15
",",",",p
dis,dire,17
le,le,52
moi,moi,51
",",",",p
mon,mon,73
Pierre,Pierre,20
",",",",p
je,je,51
te,tu,51
serrerai,serrer,15
dans,dans,81
ma,mon,73
cape,cape,22
/.,/.,P
embrasse,embrasser,17
ton,ton,73
petit,petit,30
père,père,21
",",",",p
et,et,82
demande,demander,17
lui,lui,51
pardon,pardon,21
d',de,81
avoir,avoir,14
fait,faire,12
le,le,71
méchant,méchant,21
/.,/.,P
dis,dire,17
que,que,83
ça,ça,52
ne,ne,60
t',tu,51
arrivera,arriver,15
plus,plus,60
",",",",p
jamais,jamais,60
!,!,p
jamais,jamais,60
",",",",p
entends,entendre,17
tu,tu,51
/?,/?,P
-,-,p
oui,oui,60
",",",",p
oui,oui,60
",",",",p
à,à,81
condition,condition,22
que,que,83
je,je,51
ferai,faire,15
toujours,toujours,60
sa,son,73
volonté,volonté,22
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
?,?,p
dit,dire,12
Germain,Germain,20
en,en,81
essuyant,essuyer,13
les,le,71
yeux,oeil,21
du,de,81
du,le,71
petit,petit,21
avec,avec,81
son,son,73
mouchoir,mouchoir,21
:,:,p
ah,ah,93
/!,/!,P
Marie,Marie,20
",",",",p
vous,vous,51
me,je,51
le,le,52
gâtez,gâter,17
",",",",p
ce,ce,74
drôle,drôle,21
là,là,60
/!,/!,P
et,et,82
vraiment,vraiment,60
",",",",p
tu,tu,51
es,être,17
une,un,71
trop,trop,60
bonne,bon,30
fille,fille,22
",",",",p
petite,petit,30
Marie,Marie,20
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
pourquoi,pourquoi,60
tu,tu,51
n',ne,60
es,être,17
pas,pas,60
entrée,entrer,12
bergère,bergère,22
chez,chez,81
nous,nous,51
à,à,81
la,le,71
Saint-Jean,Saint-Jean,20
dernière,dernier,30
/.,/.,P
tu,tu,51
aurais,avoir,16
pris,prendre,12
soin,soin,21
de,de,81
mes,mon,73
enfants,enfant,21
",",",",p
et,et,82
j',je,51
aurais,avoir,16
mieux,mieux,60
aimé,aimer,12
te,tu,51
payer,payer,14
un,un,71
bon,bon,30
prix,prix,21
pour,pour,81
les,le,52
servir,servir,14
",",",",p
que,que,83
d',de,81
aller,aller,14
chercher,chercher,14
une,un,71
femme,femme,22
qui,qui,52
croira,croire,15
peut-être,peut-être,60
me,je,51
faire,faire,14
beaucoup,beaucoup,60
de,de,81
grâce,grâce,22
en,en,81
ne,ne,60
les,le,52
détestant,détester,13
pas,pas,60
/.,/.,P
-,-,p
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
voir,voir,14
comme,comme,83
ça,ça,52
les,le,71
choses,chose,22
par,par,81
le,le,71
mauvais,mauvais,30
côté,côté,21
",",",",p
répondit,répondre,19
la,le,71
petite,petit,30
Marie,Marie,20
",",",",p
en,en,81
tenant,tenir,13
la,le,71
bride,bride,22
du,de,81
du,le,71
cheval,cheval,21
pendant,pendant,81
que,que,83
Germain,Germain,20
plaçait,placer,18
son,son,73
fils,fils,21
sur,sur,81
le,le,71
devant,devant,21
du,de,81
du,le,71
large,large,30
bât,bât,21
garni,garni,31
de,de,81
peau,peau,22
de,de,81
chèvre,chèvre,22
:,:,p
si,si,83
votre,votre,73
femme,femme,22
n',ne,60
aime,aimer,17
pas,pas,60
les,le,71
enfants,enfant,21
",",",",p
vous,vous,51
me,je,51
prendrez,prendre,15
à,à,81
votre,votre,73
service,service,21
l',le,71
an,an,21
prochain,prochain,30
",",",",p
et,et,82
",",",",p
soyez,être,17
tranquille,tranquille,30
",",",",p
je,je,51
les,le,52
amuserai,amuser,15
si,si,60
bien,bien,60
qu',que,83
ils,ils,51
ne,ne,60
s',se,51
apercevront,apercevoir,15
de,de,81
rien,rien,52
/.,/.,P
dans,dans,81
la,le,71
lande,lande,22
/.,/.,P
ah,ah,93
ça,ça,52
",",",",p
dit,dire,19
Germain,Germain,20
",",",",p
lorsqu',lorsque,83
ils,ils,51
eurent,avoir,19
fait,faire,12
quelques,quelque,75
pas,pas,21
",",",",p
que,que,52
va,aller,17
t,t,94
on,on,51
penser,penser,14
à,à,81
la,le,71
maison,maison,22
en,en,81
ne,ne,60
voyant,voir,13
pas,pas,60
rentrer,rentrer,14
ce,ce,74
petit,petit,30
bonhomme,bonhomme,21
/?,/?,P
les,le,71
parents,parent,21
vont,aller,17
être,être,14
inquiets,inquiet,30
et,et,82
le,le,52
chercheront,chercher,15
partout,partout,60
/.,/.,P
-,-,p
vous,vous,51
allez,aller,17
dire,dire,14
au,à,81
au,le,71
cantonnier,cantonnier,21
qui,qui,52
travaille,travailler,17
là-haut,là-haut,60
sur,sur,81
la,le,71
route,route,22
que,que,83
vous,vous,51
l',le,52
emmenez,emmener,17
",",",",p
et,et,82
vous,vous,51
lui,lui,51
recommanderez,recommander,15
d',de,81
avertir,avertir,14
votre,votre,73
monde,monde,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
Marie,Marie,20
",",",",p
tu,tu,51
t',tu,51
avises,aviser,17
de,de,81
tout,tout,52
",",",",p
toi,toi,51
;,;,p
moi,moi,51
",",",",p
je,je,51
ne,ne,60
pensais,penser,18
plus,plus,60
que,que,83
Jeannie,Jeannie,20
devait,devoir,18
être,être,14
par là,par-là,60
/.,/.,P
-,-,p
et,et,82
justement,justement,60
",",",",p
il,il,51
demeure,demeurer,17
tout,tout,60
près,près,81
de,de,81
la,le,71
métairie,métairie,22
;,;,p
et,et,82
il,il,51
ne,ne,60
manquera,manquer,15
pas,pas,60
de,de,81
faire,faire,14
la,le,71
commission,commission,22
/.,/.,P
quand,quand,83
on,on,51
eut,avoir,19
avisé,aviser,12
à,à,81
cette,ce,74
précaution,précaution,22
",",",",p
Germain,Germain,20
remit,remettre,19
la,le,71
jument,jument,22
au,à,81
au,le,71
trot,trot,21
",",",",p
et,et,82
Petit-Pierre,Petit Pierre,20
était,être,18
si,si,60
joyeux,joyeux,30
",",",",p
qu',que,83
il,il,51
ne,ne,60
s',se,51
aperçut,apercevoir,19
pas,pas,60
tout,tout,60
de,de,81
suite,suite,22
qu',que,83
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
dîné,dîner,12
;,;,p
mais,mais,82
le,le,71
mouvement,mouvement,21
du,de,81
du,le,71
cheval,cheval,21
lui,lui,51
creusant,creuser,13
l',le,71
estomac,estomac,21
",",",",p
il,il,51
se,se,51
prit,prendre,19
",",",",p
au,à,81
au,le,71
bout,bout,21
d',de,81
une,un,71
lieue,lieue,22
",",",",p
à,à,81
bâiller,bâiller,14
",",",",p
à,à,81
pâlir,pâlir,14
",",",",p
et,et,82
à,à,81
confesser,confesser,14
qu',que,83
il,il,51
mourait,mourir,18
de,de,81
faim,faim,22
/.,/.,P
-,-,p
voilà,voilà,81
que,que,83
ça,ça,52
commence,commencer,17
",",",",p
dit,dire,19
Germain,Germain,20
/.,/.,P
je,je,51
savais,savoir,18
bien,bien,60
que,que,83
nous,nous,51
n',ne,60
irions,aller,16
pas,pas,60
loin,loin,60
sans,sans,81
que,que,83
ce,ce,74
monsieur,monsieur,21
criât,crier,18
la,le,71
faim,faim,22
ou,ou,82
la,le,71
soif,soif,22
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
soif,soif,22
aussi,aussi,60
!,!,p
dit,dire,19
Petit-Pierre,Petit Pierre,20
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
nous,nous,51
allons,aller,17
donc,donc,82
entrer,entrer,14
dans,dans,81
le,le,71
cabaret,cabaret,21
de,de,81
la,le,71
mère,mère,22
Rebec,Rebec,20
",",",",p
à,à,81
Corlay,Corlay,20
",",",",p
au,à,81
au,le,71
point,point,21
du,de,81
du,le,71
jour,jour,21
/?,/?,P
belle,beau,30
enseigne,enseigne,22
",",",",p
mais,mais,82
pauvre,pauvre,30
gîte,gîte,21
/!,/!,P
allons,aller,17
",",",",p
Marie,Marie,20
",",",",p
tu,tu,51
boiras,boire,15
aussi,aussi,60
un,un,71
doigt,doigt,21
de,de,81
vin,vin,21
/.,/.,P
-,-,p
non,non,60
",",",",p
non,non,60
",",",",p
je,je,51
n',ne,60
ai,avoir,17
besoin,besoin,21
de,de,81
rien,rien,52
",",",",p
dit,dire,19
elle,il,51
",",",",p
je,je,51
tiendrai,tenir,15
la,le,71
jument,jument,22
pendant,pendant,81
que,que,83
vous,vous,51
entrerez,entrer,15
avec,avec,81
le,le,71
petit,petit,21
/.,/.,P
-,-,p
mais,mais,82
j',je,51
y,y,52
songe,songer,17
",",",",p
ma,mon,73
bonne,bon,30
fille,fille,22
",",",",p
tu,tu,51
as,avoir,17
donné,donner,12
ce,ce,74
matin,matin,21
le,le,71
pain,pain,21
de,de,81
ton,ton,73
goûter,goûter,21
à,à,81
mon,mon,73
Pierre,Pierre,20
",",",",p
et,et,82
toi,toi,51
tu,tu,51
es,être,17
à jeun,à jeun,60
;,;,p
tu,tu,51
n',ne,60
as,avoir,17
pas,pas,60
voulu,vouloir,12
dîner,dîner,14
avec,avec,81
nous,nous,51
à,à,81
la,le,71
maison,maison,22
",",",",p
tu,tu,51
ne,ne,60
faisais,faire,18
que,que,83
pleurer,pleurer,14
/.,/.,P
-,-,p
ôh,oh,93
!,!,p
je,je,51
n',ne,60
avais,avoir,18
pas,pas,60
faim,faim,22
",",",",p
j',je,51
avais,avoir,18
trop,trop,60
de,de,81
peine,peine,22
!,!,p
et,et,82
je,je,51
vous,vous,51
jure,jurer,17
qu',que,83
à,à,81
présent,présent,21
encore,encore,60
je,je,51
ne,ne,60
sens,sentir,17
aucune,aucun,75
envie,envie,22
de,de,81
manger,manger,14
/.,/.,P
-,-,p
il,il,51
faut,falloir,17
te,tu,51
forcer,forcer,14
",",",",p
petite,petit,30
;,;,p
autrement,autrement,60
tu,tu,51
seras,être,15
malade,malade,30
/.,/.,P
nous,nous,51
avons,avoir,17
du,de,81
du,le,71
chemin,chemin,21
à,à,81
faire,faire,14
",",",",p
et,et,82
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
arriver,arriver,14
là-bas,là-bas,60
comme,comme,83
des,de,81
des,le,71
affamés,affamé,31
pour,pour,81
demander,demander,14
du,de,81
du,le,71
pain,pain,21
avant,avant,81
de,de,81
dire,dire,14
bonjour,bonjour,21
/.,/.,P
moi-même,moi-même,51
je,je,51
veux,vouloir,17
te,tu,51
donner,donner,14
l',le,71
exemple,exemple,21
",",",",p
quoique,quoique,83
je,je,51
n',ne,60
aie,avoir,17
pas,pas,60
grand,grand,30
appétit,appétit,21
;,;,p
mais,mais,82
j',je,51
en,en,52
viendrai,venir,15
à,à,81
bout,bout,21
",",",",p
vu,vu,81
que,que,83
",",",",p
après,après,81
tout,tout,52
",",",",p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
dîné,dîner,12
non,non,60
plus,plus,60
/.,/.,P
je,je,51
vous,vous,51
voyais,voir,18
pleurer,pleurer,14
",",",",p
toi,toi,51
et,et,82
ta,ton,73
mère,mère,22
",",",",p
et,et,82
ça,ça,52
me,je,51
troublait,troubler,18
le,le,71
coeur,coeur,21
/.,/.,P
allons,aller,17
",",",",p
allons,aller,17
",",",",p
je,je,51
vais,aller,17
attacher,attacher,14
la,le,71
Grise,Grise,20
à,à,81
la,le,71
porte,porte,22
;,;,p
descends,descendre,17
",",",",p
je,je,51
le,le,52
veux,vouloir,17
/.,/.,P
ils,ils,51
entrèrent,entrer,19
tous,tout,75
trois,trois,72
chez,chez,81
la,le,71
Rebec,Rebec,20
",",",",p
et,et,82
",",",",p
en,en,81
moins,moins,60
d',de,81
un,un,71
quart,quart,21
d',de,81
heure,heure,22
",",",",p
la,le,71
grosse,gros,30
boiteuse,boiteuse,22
réussit,réussir,17
à,à,81
leur,leur,52
servir,servir,14
une,un,71
omelette,omelette,22
de,de,81
bonne,bon,30
mine,mine,22
",",",",p
du,de,81
du,le,71
pain,pain,21
bis,bis,30
et,et,82
du,de,81
du,le,71
vin,vin,21
clairet,clairet,30
/.,/.,P
les,le,71
paysans,paysan,21
ne,ne,60
mangent,manger,17
pas,pas,60
vite,vite,60
",",",",p
et,et,82
le,le,71
petit,petit,30
Pierre,Pierre,20
avait,avoir,18
si,si,60
grand,grand,30
appétit,appétit,21
qu',que,83
il,il,51
se,se,51
passa,passer,19
bien,bien,60
une,un,71
heure,heure,22
avant,avant,81
que,que,83
Germain,Germain,20
pût,pouvoir,18
songer,songer,14
à,à,81
se,se,51
remettre,remettre,14
en,en,81
route,route,22
/.,/.,P
la,le,71
petite,petit,30
Marie,Marie,20
avait,avoir,18
mangé,manger,12
par,par,81
complaisance,complaisance,22
d'abord,d'abord,60
;,;,p
puis,puis,60
",",",",p
peu,peu,60
à,à,81
peu,peu,60
",",",",p
la,le,71
faim,faim,22
était,être,18
venue,venir,12
:,:,p
car,car,82
à,à,81
seize,seize,72
ans,an,21
on,on,51
ne,ne,60
peut,pouvoir,17
pas,pas,60
faire,faire,14
longtemps,longtemps,60
diète,diète,22
",",",",p
et,et,82
l',le,71
air,air,21
des,de,81
des,le,71
campagnes,campagne,22
est,être,17
impérieux,impérieux,30
/.,/.,P
les,le,71
bonnes,bon,30
paroles,parole,22
que,que,52
Germain,Germain,20
sut,savoir,19
lui,lui,51
dire,dire,14
pour,pour,81
la,le,52
consoler,consoler,14
et,et,82
lui,lui,51
faire,faire,14
prendre,prendre,14
courage,courage,21
produisirent,produire,19
aussi,aussi,60
leur,leur,73
effet,effet,21
;,;,p
elle,il,51
fit,faire,19
effort,effort,21
pour,pour,81
se,se,51
persuader,persuader,14
que,que,83
sept,sept,72
mois,mois,21
seraient,être,16
bientôt,bientôt,60
passés,passer,12
",",",",p
et,et,82
pour,pour,81
songer,songer,14
au,à,81
au,le,71
bonheur,bonheur,21
qu',que,52
elle,il,51
aurait,avoir,16
de,de,81
se,se,51
retrouver,retrouver,14
dans,dans,81
sa,son,73
famille,famille,22
et,et,82
dans,dans,81
son,son,73
hameau,hameau,21
",",",",p
puisque,puisque,83
le,le,71
père,père,21
Maurice,Maurice,20
et,et,82
Germain,Germain,20
s',se,51
accordaient,accorder,18
pour,pour,81
lui,lui,51
promettre,promettre,14
de,de,81
la,le,52
prendre,prendre,14
à,à,81
leur,leur,73
service,service,21
/.,/.,P
mais,mais,82
comme,comme,83
elle,il,51
commençait,commencer,18
à,à,81
s',se,51
égayer,égayer,14
et,et,82
à,à,81
badiner,badiner,14
avec,avec,81
le,le,71
petit,petit,30
Pierre,Pierre,20
",",",",p
Germain,Germain,20
eut,avoir,19
la,le,71
malheureuse,malheureux,30
idée,idée,22
de,de,81
lui,lui,51
faire,faire,14
regarder,regarder,14
par,par,81
la,le,71
fenêtre,fenêtre,22
du,de,81
du,le,71
cabaret,cabaret,21
",",",",p
la,le,71
belle,beau,30
vue,vue,22
de,de,81
la,le,71
vallée,vallée,22
qu',que,52
on,on,51
voit,voir,17
tout,tout,60
entière,entier,30
de,de,81
cette,ce,74
hauteur,hauteur,22
",",",",p
et,et,82
qui,qui,52
est,être,17
si,si,60
riante,riant,30
",",",",p
si,si,60
verte,vert,30
et,et,82
si,si,60
fertile,fertile,30
/.,/.,P
Marie,Marie,20
regarda,regarder,19
et,et,82
demanda,demander,19
si,si,83
de,de,81
là,là,60
on,on,51
voyait,voir,18
les,le,71
maisons,maison,22
de,de,81
Belair,Belair,20
/.,/.,P
-,-,p
sans,sans,81
doute,doute,21
",",",",p
dit,dire,19
Germain,Germain,20
",",",",p
et,et,82
la,le,71
métairie,métairie,22
",",",",p
et,et,82
même,même,60
ta,ton,73
maison,maison,22
/.,/.,P
tiens,tenir,17
",",",",p
ce,ce,74
petit,petit,30
point,point,21
gris,gris,30
",",",",p
pas,pas,60
loin,loin,60
du,de,81
du,le,71
grand,grand,30
peuplier,peuplier,21
à,à,81
Godard,Godard,20
",",",",p
plus,plus,60
bas,bas,60
que,que,83
le,le,71
clocher,clocher,21
/.,/.,P
-,-,p
ah,ah,93
!,!,p
je,je,51
la,le,52
vois,voir,17
",",",",p
dit,dire,19
la,le,71
petite,petit,30
;,;,p
et,et,82
là-dessus,là-dessus,60
elle,il,51
recommença,recommencer,19
de,de,81
pleurer,pleurer,14
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
eu,avoir,12
tort,tort,21
de,de,81
te,tu,51
faire,faire,14
songer,songer,14
à,à,81
ça,ça,52
",",",",p
dit,dire,19
Germain,Germain,20
",",",",p
je,je,51
ne,ne,60
fais,faire,17
que,que,83
des,de,81
des,le,71
bêtises,bêtise,22
aujourd'hui,aujourd'hui,60
/!,/!,P
allons,aller,17
",",",",p
Marie,Marie,20
",",",",p
partons,partir,17
",",",",p
ma,mon,73
fille,fille,22
;,;,p
les,le,71
jours,jour,21
sont,être,17
courts,court,30
",",",",p
et,et,82
dans,dans,81
une,un,71
heure,heure,22
",",",",p
quand,quand,83
la,le,71
lune,lune,22
montera,monter,15
",",",",p
il,il,51
ne,ne,60
fera,faire,15
pas,pas,60
chaud,chaud,21
/.,/.,P
ils,ils,51
se,se,51
remirent,remettre,19
en,en,81
route,route,22
",",",",p
traversèrent,traverser,19
la,le,71
grande,grand,30
brande,brande,22
",",",",p
et,et,82
comme,comme,83
",",",",p
pour,pour,81
ne,ne,60
pas,pas,60
fatiguer,fatiguer,14
la,le,71
jeune,jeune,30
fille,fille,22
et,et,82
l',le,71
enfant,enfant,21
par,par,81
un,un,71
trop,trop,60
grand,grand,30
trot,trot,21
",",",",p
Germain,Germain,20
ne,ne,60
pouvait,pouvoir,18
faire,faire,14
aller,aller,14
la,le,71
Grise,Grise,20
bien,bien,60
vite,vite,60
",",",",p
le,le,71
soleil,soleil,21
était,être,18
couché,coucher,12
quand,quand,83
ils,ils,51
quittèrent,quitter,19
la,le,71
route,route,22
pour,pour,81
gagner,gagner,14
les,le,71
bois,bois,21
/.,/.,P
Germain,Germain,20
connaissait,connaître,18
le,le,71
chemin,chemin,21
jusqu',jusque,81
au,à,81
au,le,71
Magnier,Magnier,20
;,;,p
mais,mais,82
il,il,51
pensa,penser,19
qu',que,83
il,il,51
aurait,avoir,16
plus,plus,60
court,court,30
en,en,81
ne,ne,60
prenant,prendre,13
pas,pas,60
l',le,71
avenue,avenue,22
de,de,81
Chanteloube,Chanteloube,20
",",",",p
mais,mais,82
en,en,81
descendant,descendre,13
par,par,81
Presles,Presles,20
et,et,82
la,le,71
Sépulture,Sépulture,20
",",",",p
direction,direction,22
qu',que,52
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
l',le,71
habitude,habitude,22
de,de,81
prendre,prendre,14
quand,quand,83
il,il,51
allait,aller,18
à,à,81
la,le,71
foire,foire,22
/.,/.,P
il,il,51
se,se,51
trompa,tromper,19
et,et,82
perdit,perdre,19
encore,encore,60
un,un,71
peu,peu,60
de,de,81
temps,temps,21
avant,avant,81
d',de,81
entrer,entrer,14
dans,dans,81
le,le,71
bois,bois,21
;,;,p
encore,encore,60
n',ne,60
y,y,52
entra,entrer,19
t,t,94
il,il,51
point,point,60
par,par,81
le,le,71
bon,bon,30
côté,côté,21
",",",",p
et,et,82
il,il,51
ne,ne,60
s',se,51
en,en,52
aperçut,apercevoir,19
pas,pas,60
",",",",p
si,si,60
bien,bien,60
qu',que,83
il,il,51
tourna,tourner,19
le,le,71
dos,dos,21
à,à,81
Fourche,Fourche,20
et,et,82
gagna,gagner,19
beaucoup,beaucoup,60
plus,plus,60
haut,haut,30
du,de,81
du,le,71
côté,côté,21
d',de,81
Ardentes,Ardentes,20
/.,/.,P
ce,ce,52
qui,qui,52
l',le,52
empêchait,empêcher,18
alors,alors,60
de,de,81
s',se,51
orienter,orienter,14
",",",",p
c',ce,52
était,être,18
un,un,71
brouillard,brouillard,21
qui,qui,52
s',se,51
élevait,élever,18
avec,avec,81
la,le,71
nuit,nuit,22
",",",",p
un,un,52
de,de,81
ces,ce,74
brouillards,brouillard,21
des,de,81
des,le,71
soirs,soir,21
d',de,81
automne,automne,21
que,que,52
la,le,71
blancheur,blancheur,22
du,de,81
du,le,71
clair,clair,21
de,de,81
lune,lune,22
rend,rendre,17
plus,plus,60
vagues,vague,30
et,et,82
plus,plus,60
trompeurs,trompeur,30
encore,encore,60
/.,/.,P
les,le,71
grandes,grand,30
flaques,flaque,22
d',de,81
eau,eau,22
dont,dont,52
les,le,71
clairières,clairière,22
sont,être,17
semées,semer,12
exhalaient,exhaler,18
des,de,81
des,le,71
vapeurs,vapeur,22
si,si,60
épaisses,épais,30
que,que,83
",",",",p
lorsque,lorsque,83
la,le,71
Grise,Grise,20
les,le,52
traversait,traverser,18
",",",",p
on,on,51
ne,ne,60
s',se,51
en,en,52
apercevait,apercevoir,18
qu',que,83
au,à,81
au,le,71
clapotement,clapotement,21
de,de,81
ses,son,73
pieds,pied,21
et,et,82
à,à,81
la,le,71
peine,peine,22
qu',que,52
elle,il,51
avait,avoir,18
à,à,81
les,le,52
tirer,tirer,14
de,de,81
la,le,71
vase,vase,22
/.,/.,P
quand,quand,83
on,on,51
eut,avoir,19
enfin,enfin,60
trouvé,trouver,12
une,un,71
belle,beau,30
allée,allée,22
bien,bien,60
droite,droit,30
",",",",p
et,et,82
qu',que,83
arrivé,arriver,12
au,à,81
au,le,71
bout,bout,21
",",",",p
Germain,Germain,20
chercha,chercher,19
à,à,81
voir,voir,14
où,où,60
il,il,51
était,être,18
",",",",p
il,il,51
s',se,51
aperçut,apercevoir,19
bien,bien,60
qu',que,83
il,il,51
s',se,51
était,être,18
perdu,perdre,12
;,;,p
car,car,82
le,le,71
père,père,21
Maurice,Maurice,20
",",",",p
en,en,81
lui,lui,51
expliquant,expliquer,13
son,son,73
chemin,chemin,21
",",",",p
lui,lui,51
avait,avoir,18
dit,dire,12
qu',que,83
à,à,81
la,le,71
sortie,sortie,22
des,de,81
des,le,71
bois,bois,21
il,il,51
aurait,avoir,16
à,à,81
descendre,descendre,14
un,un,71
bout,bout,21
de,de,81
côte,côte,22
très,très,60
raide,raide,30
",",",",p
à,à,81
traverser,traverser,14
une,un,71
immense,immense,30
prairie,prairie,22
et,et,82
à,à,81
passer,passer,14
deux,deux,72
fois,fois,22
la,le,71
rivière,rivière,22
à,à,81
gué,gué,21
/.,/.,P
il,il,51
lui,lui,51
avait,avoir,18
même,même,60
recommandé,recommander,12
d',de,81
entrer,entrer,14
dans,dans,81
cette,ce,74
rivière,rivière,22
avec,avec,81
précaution,précaution,22
",",",",p
parce qu',parce que,83
au,à,81
au,le,71
commencement,commencement,21
de,de,81
la,le,71
saison,saison,22
il,il,51
y,y,52
avait,avoir,18
eu,avoir,12
de,de,81
grandes,grand,30
pluies,pluie,22
et,et,82
que,que,83
l',le,71
eau,eau,22
pouvait,pouvoir,18
être,être,14
un,un,71
peu,peu,60
haute,haut,30
/.,/.,P
ne,ne,60
voyant,voir,13
ni,ni,82
descente,descente,22
",",",",p
ni,ni,82
prairie,prairie,22
",",",",p
ni,ni,82
rivière,rivière,22
",",",",p
mais,mais,82
la,le,71
lande,lande,22
unie,uni,31
et,et,82
blanche,blanc,30
comme,comme,83
une,un,71
nappe,nappe,22
de,de,81
neige,neige,22
",",",",p
Germain,Germain,20
s',se,51
arrêta,arrêter,19
",",",",p
chercha,chercher,19
une,un,71
maison,maison,22
",",",",p
attendit,attendre,19
un,un,71
passant,passant,21
",",",",p
et,et,82
ne,ne,60
trouva,trouver,19
rien,rien,52
qui,qui,52
pût,pouvoir,18
le,le,52
renseigner,renseigner,14
/.,/.,P
alors,alors,60
il,il,51
revint,revenir,19
sur,sur,81
ses,son,73
pas,pas,21
et,et,82
rentra,rentrer,19
dans,dans,81
les,le,71
bois,bois,21
/.,/.,P
mais,mais,82
le,le,71
brouillard,brouillard,21
s',se,51
épaissit,épaissir,19
encore,encore,60
plus,plus,60
",",",",p
la,le,71
lune,lune,22
fut,être,19
tout,tout,60
à,à,81
fait,fait,21
voilée,voiler,12
",",",",p
les,le,71
chemins,chemin,21
étaient,être,18
affreux,affreux,30
",",",",p
les,le,71
fondrières,fondrière,22
profondes,profond,30
/.,/.,P
par,par,81
deux,deux,72
fois,fois,22
",",",",p
la,le,71
Grise,Grise,20
faillit,faillir,19
s',se,51
abattre,abattre,14
;,;,p
chargée,chargé,31
comme,comme,83
elle,il,51
l',le,52
était,être,18
",",",",p
