11987
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-troisième extrait>,<>,<>
seule,seul,30
canne,canne,22
",",",",p
alors,alors,60
que,que,83
",",",",p
le,le,71
matin,matin,21
même,même,30
",",",",p
il,il,51
en,en,52
employait,employer,18
encore,encore,60
deux,deux,72
/.,/.,P
le,le,71
banquier,banquier,21
répétait,répéter,18
:,:,p
“,“,p
c',ce,52
est,être,17
un,un,71
miracle,miracle,21
",",",",p
un,un,71
vrai,vrai,30
miracle,miracle,21
/!,/!,P
sa,son,73
guérison,guérison,22
marche,marche,22
à,à,81
pas,pas,21
de,de,81
géant,géant,21
/.,/.,P
“,“,p
Paul,Paul,20
",",",",p
pour,pour,81
plaire,plaire,14
au,à,81
au,le,71
mari,mari,21
",",",",p
reprit,reprendre,19
:,:,p
“,“,p
c',ce,52
est,être,17
le,le,71
père,père,21
Clovis,Clovis,20
lui-même,lui-même,51
qui,qui,52
marche,marche,22
à,à,81
pas,pas,21
de,de,81
géant,géant,21
/.,/.,P
“,“,p
un,un,71
rire,rire,21
approbateur,approbateur,30
fit,faire,19
le,le,71
tour,tour,21
de,de,81
la,le,71
table,table,22
/.,/.,P
tous,tout,75
les,le,71
yeux,oeil,21
regardaient,regarder,18
Will,Will,20
",",",",p
toutes,tout,75
les,le,71
bouches,bouche,22
le,le,52
complimentaient,complimenter,18
/.,/.,P
les,le,71
garçons,garçon,21
du,de,81
du,le,71
restaurant,restaurant,21
s',se,51
étaient,être,18
mis,mettre,12
à,à,81
le,le,52
servir,servir,14
le,le,71
premier,premier,72
avec,avec,81
une,un,71
déférence,déférence,22
respectueuse,respectueux,30
qui,qui,52
disparaissait,disparaître,18
de,de,81
leurs,leur,73
visages,visage,21
et,et,82
de,de,81
leurs,leur,73
gestes,geste,21
dès,dès,81
qu',que,83
ils,ils,51
passaient,passer,18
les,le,71
plats,plat,21
aux,à,81
aux,le,71
voisins,voisin,21
/.,/.,P
un,un,52
d',de,81
eux,ils,51
lui,lui,51
présenta,présenter,19
une,un,71
carte,carte,22
sur,sur,81
une,un,71
assiette,assiette,22
/.,/.,P
il,il,51
la,le,52
prit,prendre,19
et,et,82
lut,lire,19
à mi-voix,à mi-voix,60
/.,/.,P
“,“,p
le,le,71
docteur,docteur,21
Latonne,Latonne,20
",",",",p
de,de,81
Paris,Paris,20
",",",",p
serait,être,16
heureux,heureux,30
si,si,83
monsieur,monsieur,21
Andermatt,Andermatt,20
voulait,vouloir,18
bien,bien,60
lui,lui,51
accorder,accorder,14
quelques,quelque,75
secondes,seconde,22
d',de,81
entretien,entretien,21
avant,avant,81
son,son,73
départ,départ,21
/.,/.,P
“,“,p
“,“,p
répondez,répondre,17
que,que,83
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
le,le,71
temps,temps,21
",",",",p
mais,mais,82
que,que,83
je,je,51
reviendrai,revenir,15
dans,dans,81
huit,huit,72
ou,ou,82
dix,dix,72
jours,jour,21
/.,/.,P
“,“,p
au,à,81
au,le,71
même,même,75
moment,moment,21
on,on,51
apportait,apporter,18
à,à,81
Christiane,Christiane,20
une,un,71
botte,botte,22
de,de,81
fleurs,fleur,22
de,de,81
la,le,71
part,part,22
du,de,81
du,le,71
docteur,docteur,21
Honorat,Honorat,20
/.,/.,P
Gontran,Gontran,20
riait,rire,18
:,:,p
“,“,p
le,le,71
père,père,21
Bonnefille,Bonnefille,20
est,être,17
mauvais,mauvais,30
troisième,troisième,72
“,“,p
",",",",p
dit,dire,19
il,il,51
/.,/.,P
le,le,71
dîner,dîner,21
allait,aller,18
finir,finir,14
/.,/.,P
on,on,51
prévint,prévenir,19
Andermatt,Andermatt,20
que,que,83
son,son,73
landau,landau,21
l',le,52
attendait,attendre,18
/.,/.,P
il,il,51
monta,monter,19
pour,pour,81
chercher,chercher,14
son,son,73
petit,petit,30
sac,sac,21
;,;,p
et,et,82
quand,quand,83
il,il,51
descendit,descendre,19
",",",",p
il,il,51
vit,voir,19
la,le,71
moitié,moitié,22
du,de,81
du,le,71
village,village,21
amassée,amassé,31
devant,devant,81
la,le,71
porte,porte,22
/.,/.,P
Petrus Martel,Petrus Martel,20
vint,venir,19
lui,lui,51
serrer,serrer,14
la,le,71
main,main,22
avec,avec,81
une,un,71
familiarité,familiarité,22
de,de,81
cabotin,cabotin,21
et,et,82
lui,lui,51
murmura,murmurer,19
dans,dans,81
l',le,71
oreille,oreille,22
:,:,p
“,“,p
j',je,51
aurai,avoir,15
une,un,71
proposition,proposition,22
à,à,81
vous,vous,51
faire,faire,14
",",",",p
quelque,quelque,75
chose,chose,22
d',de,81
épatant,épatant,30
pour,pour,81
votre,votre,73
affaire,affaire,22
/.,/.,P
“,“,p
soudain,soudain,60
le,le,71
docteur,docteur,21
Bonnefille,Bonnefille,20
parut,paraître,19
",",",",p
pressé,pressé,31
selon,selon,81
sa,son,73
coutume,coutume,22
/.,/.,P
il,il,51
passa,passer,19
tout,tout,60
près,près,81
de,de,81
Will,Will,20
",",",",p
et,et,82
",",",",p
le,le,52
saluant,saluer,13
très,très,60
bas,bas,60
comme,comme,83
il,il,51
faisait,faire,18
pour,pour,81
le,le,71
marquis,marquis,21
",",",",p
il,il,51
lui,lui,51
dit,dire,19
:,:,p
“,“,p
bon,bon,30
voyage,voyage,21
",",",",p
monsieur,monsieur,21
le,le,71
baron,baron,21
/.,/.,P
-,-,p
touché,touché,31
“,“,p
",",",",p
murmura,murmurer,19
Gontran,Gontran,20
/.,/.,P
Andermatt,Andermatt,20
",",",",p
triomphant,triomphant,30
",",",",p
gonflé,gonflé,31
de,de,81
joie,joie,22
et,et,82
d',de,81
orgueil,orgueil,21
",",",",p
serrait,serrer,18
les,le,71
mains,main,22
",",",",p
remerciait,remercier,18
",",",",p
répétait,répéter,18
:,:,p
“,“,p
au revoir,au revoir,21
/!,/!,P
mais,mais,82
il,il,51
faillit,faillir,19
oublier,oublier,14
d',de,81
embrasser,embrasser,14
sa,son,73
femme,femme,22
",",",",p
tant,tant,60
il,il,51
pensait,penser,18
à,à,81
autre,autre,75
chose,chose,22
/.,/.,P
cette,ce,74
indifférence,indifférence,22
fut,être,19
pour,pour,81
elle,il,51
un,un,71
soulagement,soulagement,21
",",",",p
et,et,82
quand,quand,83
elle,il,51
vit,voir,19
le,le,71
landau,landau,21
s',se,51
éloigner,éloigner,14
sur,sur,81
la,le,71
route,route,22
obscurcie,obscurci,31
",",",",p
au,à,81
au,le,71
grand,grand,30
trot,trot,21
des,de,81
des,le,71
deux,deux,72
chevaux,cheval,21
",",",",p
il,il,51
lui,lui,51
sembla,sembler,19
qu',que,83
elle,il,51
n',ne,60
avait,avoir,18
plus,plus,60
rien,rien,52
à,à,81
redouter,redouter,14
de,de,81
personne,personne,52
pour,pour,81
le,le,71
reste,reste,21
de,de,81
sa,son,73
vie,vie,22
/.,/.,P
elle,il,51
passa,passer,19
toute,tout,75
la,le,71
soirée,soirée,22
assise,assis,31
devant,devant,81
l',le,71
hôtel,hôtel,21
",",",",p
entre,entre,81
son,son,73
père,père,21
et,et,82
Paul,Paul,20
Brétigny,Brétigny,20
",",",",p
Gontran,Gontran,20
étant,être,13
parti,partir,12
au,à,81
au,le,71
Casino,Casino,20
",",",",p
comme,comme,83
il,il,51
faisait,faire,18
chaque,chaque,75
jour,jour,21
/.,/.,P
elle,il,51
ne,ne,60
voulait,vouloir,18
ni,ni,82
marcher,marcher,14
",",",",p
ni,ni,82
parler,parler,14
",",",",p
et,et,82
restait,rester,18
immobile,immobile,30
",",",",p
les,le,71
mains,main,22
croisées,croisé,31
sur,sur,81
son,son,73
genou,genou,21
",",",",p
les,le,71
yeux,oeil,21
perdus,perdu,31
dans,dans,81
l',le,71
obscurité,obscurité,22
",",",",p
alanguie,alangui,31
et,et,82
faible,faible,30
",",",",p
un,un,71
peu,peu,60
inquiète,inquiet,30
et,et,82
heureuse,heureux,30
pourtant,pourtant,60
",",",",p
pensant,penser,13
à,à,81
peine,peine,22
",",",",p
ne,ne,60
rêvant,rêver,13
même,même,60
pas,pas,60
",",",",p
luttant,lutter,13
par,par,81
moments,moment,21
contre,contre,81
de,de,81
vagues,vague,30
remords,remords,21
qu',que,83
elle,il,51
repoussait,repousser,18
en,en,81
se,se,51
répétant,répéter,13
:,:,p
“,“,p
je,je,51
l',le,52
aime,aimer,17
",",",",p
je,je,51
l',le,52
aime,aimer,17
",",",",p
je,je,51
l',le,52
aime,aimer,17
/!,/!,P
elle,il,51
monta,monter,19
de,de,81
bonne,bon,30
heure,heure,22
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
pour,pour,81
être,être,14
seule,seul,30
et,et,82
songer,songer,14
/.,/.,P
assise,assise,22
au,à,81
au,le,71
fond,fond,21
d',de,81
un,un,71
fauteuil,fauteuil,21
et,et,82
enveloppée,enveloppé,31
d',de,81
un,un,71
peignoir,peignoir,21
flottant,flottant,30
",",",",p
elle,il,51
regardait,regarder,18
les,le,71
étoiles,étoile,22
par,par,81
sa,son,73
fenêtre,fenêtre,22
restée,rester,12
ouverte,ouvert,31
;,;,p
et,et,82
dans,dans,81
le,le,71
cadre,cadre,21
de,de,81
cette,ce,74
fenêtre,fenêtre,22
",",",",p
elle,il,51
évoquait,évoquer,18
à,à,81
toute,tout,75
minute,minute,22
l',le,71
image,image,22
de,de,81
celui,celui,52
qui,qui,52
venait,venir,18
de,de,81
la,le,52
conquérir,conquérir,14
/.,/.,P
elle,il,51
le,le,52
voyait,voir,18
",",",",p
bon,bon,30
",",",",p
doux,doux,30
et,et,82
violent,violent,30
",",",",p
si,si,60
fort,fort,30
et,et,82
si,si,60
soumis,soumis,31
devant,devant,81
elle,il,51
/.,/.,P
cet,ce,74
homme,homme,21
l',le,52
avait,avoir,18
prise,prendre,12
",",",",p
elle,il,51
le,le,52
sentait,sentir,18
",",",",p
prise,prise,22
pour,pour,81
toujours,toujours,60
/.,/.,P
elle,il,51
n',ne,60
était,être,18
plus,plus,60
seule,seul,30
",",",",p
ils,ils,51
étaient,être,18
deux,deux,72
dont,dont,52
les,le,71
deux,deux,72
coeurs,coeur,21
ne,ne,60
formeraient,former,16
plus,plus,60
qu',que,83
un,un,71
coeur,coeur,21
",",",",p
dont,dont,52
les,le,71
deux,deux,72
âmes,âme,22
ne,ne,60
formeraient,former,16
plus,plus,60
qu',que,83
une,un,71
âme,âme,22
/.,/.,P
où,où,60
était,être,18
il,il,51
",",",",p
elle,il,51
ne,ne,60
le,le,52
savait,savoir,18
pas,pas,60
;,;,p
mais,mais,82
elle,il,51
savait,savoir,18
bien,bien,60
qu',que,83
il,il,51
rêvait,rêver,18
d',de,81
elle,il,51
comme,comme,83
elle,il,51
pensait,penser,18
à,à,81
lui,lui,51
/.,/.,P
à,à,81
chaque,chaque,75
battement,battement,21
de,de,81
son,son,73
coeur,coeur,21
",",",",p
elle,il,51
croyait,croire,18
entendre,entendre,14
un,un,71
autre,autre,75
battement,battement,21
qui,qui,52
répondait,répondre,18
quelque,quelque,75
part,part,22
/.,/.,P
elle,il,51
sentait,sentir,18
",",",",p
autour,autour,60
d',de,81
elle,il,51
",",",",p
rôder,rôder,14
un,un,71
désir,désir,21
qui,qui,52
l',le,52
effleurait,effleurer,18
comme,comme,83
une,un,71
aile,aile,22
d',de,81
oiseau,oiseau,21
;,;,p
elle,il,51
le,le,52
sentait,sentir,18
entrer,entrer,14
par,par,81
cette,ce,74
fenêtre,fenêtre,22
ouverte,ouvert,31
",",",",p
ce,ce,74
désir,désir,21
venu,venu,31
de,de,81
lui,lui,51
",",",",p
ce,ce,74
désir,désir,21
ardent,ardent,30
",",",",p
qui,qui,52
la,le,52
cherchait,chercher,18
",",",",p
qui,qui,52
l',le,52
implorait,implorer,18
dans,dans,81
le,le,71
silence,silence,21
de,de,81
la,le,71
nuit,nuit,22
/.,/.,P
comme,comme,83
c',ce,52
était,être,18
bon,bon,30
",",",",p
doux,doux,30
",",",",p
nouveau,nouveau,30
d',de,81
être,être,14
aimée,aimer,12
/!,/!,P
quelle,quel,75
joie,joie,22
de,de,81
penser,penser,14
à,à,81
quelqu'un,quelqu'un,52
avec,avec,81
une,un,71
envie,envie,22
de,de,81
pleurer,pleurer,14
dans,dans,81
les,le,71
yeux,oeil,21
",",",",p
de,de,81
pleurer,pleurer,14
d',de,81
attendrissement,attendrissement,21
",",",",p
et,et,82
une,un,71
envie,envie,22
aussi,aussi,60
d',de,81
ouvrir,ouvrir,14
les,le,71
bras,bras,21
",",",",p
même,même,60
sans,sans,81
le,le,52
voir,voir,14
",",",",p
pour,pour,81
l',le,52
appeler,appeler,14
",",",",p
d',de,81
ouvrir,ouvrir,14
les,le,71
bras,bras,21
vers,vers,81
son,son,73
image,image,22
apparue,apparu,31
",",",",p
vers,vers,81
ce,ce,74
baiser,baiser,21
qu',que,52
il,il,51
lui,lui,51
jetait,jeter,18
sans,sans,81
cesse,cesse,22
",",",",p
de,de,81
loin,loin,60
ou,ou,82
de,de,81
près,près,81
",",",",p
dans,dans,81
la,le,71
fièvre,fièvre,22
de,de,81
son,son,73
attente,attente,22
/.,/.,P
et,et,82
elle,il,51
tendait,tendre,18
vers,vers,81
les,le,71
étoiles,étoile,22
ses,son,73
deux,deux,72
bras,bras,21
blancs,blanc,30
dans,dans,81
les,le,71
manches,manche,22
du,de,81
du,le,71
peignoir,peignoir,21
/.,/.,P
soudain,soudain,60
",",",",p
elle,il,51
poussa,pousser,19
un,un,71
cri,cri,21
/.,/.,P
une,un,71
grande,grand,30
ombre,ombre,22
noire,noir,30
",",",",p
enjambant,enjamber,13
son,son,73
balcon,balcon,21
",",",",p
avait,avoir,18
surgi,surgir,12
dans,dans,81
sa,son,73
fenêtre,fenêtre,22
/.,/.,P
éperdue,éperdu,30
",",",",p
elle,il,51
se,se,51
dressa,dresser,19
/!,/!,P
c',ce,52
était,être,18
lui,lui,51
/!,/!,P
et,et,82
sans,sans,81
songer,songer,14
même,même,60
qu',que,83
on,on,51
pouvait,pouvoir,18
les,le,52
voir,voir,14
",",",",p
elle,il,51
se,se,51
jeta,jeter,19
sur,sur,81
sa,son,73
poitrine,poitrine,22
/.,/.,P
<VIII>,<>,<>
l',le,71
absence,absence,22
d',de,81
Andermatt,Andermatt,20
se,se,51
prolongeait,prolonger,18
/.,/.,P
monsieur,monsieur,21
Aubry-Pasteur,Aubry-Pasteur,20
faisait,faire,18
des,de,81
des,le,71
fouilles,fouille,22
/.,/.,P
il,il,51
trouva,trouver,19
de,de,81
nouveau,nouveau,21
quatre,quatre,72
sources,source,22
qui,qui,52
donnaient,donner,18
à,à,81
la,le,71
nouvelle,nouveau,30
société,société,22
deux,deux,72
fois,fois,22
plus,plus,60
d',de,81
eau,eau,22
qu',que,83
il,il,51
n',ne,60
en,en,52
fallait,falloir,18
/.,/.,P
le,le,71
pays,pays,21
entier,entier,30
",",",",p
affolé,affolé,31
par,par,81
ces,ce,74
recherches,recherche,22
",",",",p
par,par,81
ces,ce,74
découvertes,découverte,22
",",",",p
par,par,81
les,le,71
grandes,grand,30
nouvelles,nouvelle,22
qui,qui,52
couraient,courir,18
",",",",p
par,par,81
les,le,71
perspectives,perspective,22
d',de,81
un,un,71
avenir,avenir,21
éclatant,éclatant,30
",",",",p
s',se,51
agitait,agiter,18
et,et,82
s',se,51
enthousiasmait,enthousiasmer,18
",",",",p
ne,ne,60
parlait,parler,18
plus,plus,60
d',de,81
autre,autre,75
chose,chose,22
",",",",p
ne,ne,60
pensait,penser,18
plus,plus,60
à,à,81
autre,autre,75
chose,chose,22
/.,/.,P
le,le,71
marquis,marquis,21
et,et,82
Gontran,Gontran,20
eux-mêmes,eux-mêmes,51
passaient,passer,18
leurs,leur,73
jours,jour,21
autour,autour,60
des,de,81
des,le,71
ouvriers,ouvrier,21
qui,qui,52
sondaient,sonder,18
les,le,71
veines,veine,22
du,de,81
du,le,71
granit,granit,21
",",",",p
et,et,82
ils,ils,51
écoutaient,écouter,18
avec,avec,81
un,un,71
intérêt,intérêt,21
grandissant,grandissant,30
les,le,71
explications,explication,22
et,et,82
les,le,71
leçons,leçon,22
de,de,81
l',le,71
ingénieur,ingénieur,21
sur,sur,81
la,le,71
nature,nature,22
géologique,géologique,30
de,de,81
l',le,71
Auvergne,Auvergne,20
/.,/.,P
et,et,82
Paul,Paul,20
et,et,82
Christiane,Christiane,20
s',se,51
aimaient,aimer,18
librement,librement,60
",",",",p
tranquillement,tranquillement,60
",",",",p
dans,dans,81
une,un,71
sécurité,sécurité,22
absolue,absolu,30
",",",",p
sans,sans,81
que,que,83
personne,personne,52
s',se,51
occupât,occuper,18
d',de,81
eux,ils,51
",",",",p
sans,sans,81
que,que,83
personne,personne,52
devinât,deviner,18
rien,rien,52
",",",",p
sans,sans,81
que,que,83
personne,personne,52
songeât,songer,18
même,même,60
à,à,81
les,le,52
épier,épier,14
",",",",p
car,car,82
toute,tout,75
l',le,71
attention,attention,22
",",",",p
toute,tout,75
la,le,71
curiosité,curiosité,22
",",",",p
toute,tout,75
la,le,71
passion,passion,22
de,de,81
tout,tout,75
le,le,71
monde,monde,21
étaient,être,18
absorbées,absorber,12
par,par,81
la,le,71
station,station,22
future,futur,30
/.,/.,P
Christiane,Christiane,20
avait,avoir,18
fait,faire,12
comme,comme,83
un,un,71
adolescent,adolescent,21
qui,qui,52
s',se,51
enivre,enivrer,17
une,un,71
première,premier,72
fois,fois,22
/.,/.,P
le,le,71
premier,premier,72
verre,verre,21
",",",",p
le,le,71
premier,premier,72
baiser,baiser,21
",",",",p
l',le,52
avait,avoir,18
brûlée,brûler,12
",",",",p
étourdie,étourdir,12
/.,/.,P
elle,il,51
avait,avoir,18
bu,boire,12
le,le,71
second,second,72
bien,bien,60
vite,vite,60
",",",",p
et,et,82
l',le,52
avait,avoir,18
trouvé,trouver,12
meilleur,meilleur,30
",",",",p
et,et,82
maintenant,maintenant,60
elle,il,51
se,se,51
grisait,griser,18
à,à,81
pleine,plein,30
bouche,bouche,22
/.,/.,P
depuis,depuis,81
le,le,71
soir,soir,21
où,où,60
Paul,Paul,20
était,être,18
entré,entrer,12
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
elle,il,51
ne,ne,60
savait,savoir,18
plus,plus,60
du,de,81
du,le,71
tout,tout,52
ce,ce,52
qui,qui,52
se,se,51
passait,passer,18
dans,dans,81
le,le,71
monde,monde,21
/.,/.,P
le,le,71
temps,temps,21
",",",",p
les,le,71
choses,chose,22
",",",",p
les,le,71
êtres,être,21
n',ne,60
existaient,exister,18
plus,plus,60
pour,pour,81
elle,il,51
;,;,p
rien,rien,52
n',ne,60
existait,exister,18
plus,plus,60
qu',que,83
un,un,71
homme,homme,21
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
plus,plus,60
",",",",p
sur,sur,81
la,le,71
terre,terre,22
ou,ou,82
dans,dans,81
le,le,71
ciel,ciel,21
",",",",p
qu',que,83
un,un,71
homme,homme,21
",",",",p
un,un,71
seul,seul,30
homme,homme,21
",",",",p
celui,celui,52
qu',que,52
elle,il,51
aimait,aimer,18
/.,/.,P
ses,son,73
yeux,oeil,21
ne,ne,60
voyaient,voir,18
plus,plus,60
que,que,83
lui,lui,51
",",",",p
son,son,73
esprit,esprit,21
ne,ne,60
pensait,penser,18
plus,plus,60
qu',que,83
à,à,81
lui,lui,51
",",",",p
son,son,73
espoir,espoir,21
ne,ne,60
s',se,51
attachait,attacher,18
plus,plus,60
que,que,83
sur,sur,81
lui,lui,51
/.,/.,P
elle,il,51
vivait,vivre,18
",",",",p
changeait,changer,18
de,de,81
place,place,22
",",",",p
mangeait,manger,18
",",",",p
s',se,51
habillait,habiller,18
",",",",p
semblait,sembler,18
écouter,écouter,14
et,et,82
répondait,répondre,18
",",",",p
sans,sans,81
comprendre,comprendre,14
et,et,82
sans,sans,81
savoir,savoir,14
ce,ce,52
qu',que,52
elle,il,51
faisait,faire,18
/.,/.,P
aucune,aucun,75
inquiétude,inquiétude,22
ne,ne,60
la,le,52
hantait,hanter,18
",",",",p
car,car,82
aucun,aucun,75
malheur,malheur,21
n',ne,60
aurait,avoir,16
pu,pouvoir,12
la,le,52
frapper,frapper,14
/!,/!,P
elle,il,51
était,être,18
devenue,devenir,12
insensible,insensible,30
à,à,81
tout,tout,52
/.,/.,P
aucune,aucun,75
douleur,douleur,22
physique,physique,30
n',ne,60
aurait,avoir,16
eu,avoir,12
de,de,81
prise,prise,22
sur,sur,81
sa,son,73
chair,chair,22
que,que,83
l',le,71
amour,amour,21
seul,seul,30
pouvait,pouvoir,18
faire,faire,14
frémir,frémir,14
/.,/.,P
aucune,aucun,75
douleur,douleur,22
morale,moral,30
n',ne,60
aurait,avoir,16
eu,avoir,12
de,de,81
prise,prise,22
sur,sur,81
son,son,73
âme,âme,22
paralysée,paralysé,31
par,par,81
le,le,71
bonheur,bonheur,21
/.,/.,P
lui,lui,51
",",",",p
d',de,81
ailleurs,ailleurs,60
",",",",p
l',le,71
aimant,aimant,21
avec,avec,81
l',le,71
emportement,emportement,21
qu',que,83
il,il,51
apportait,apporter,18
en,en,81
toutes,tout,75
ses,son,73
passions,passion,22
",",",",p
surexcitait,surexciter,18
jusqu',jusque,81
à,à,81
la,le,71
folie,folie,22
la,le,71
tendresse,tendresse,22
de,de,81
la,le,71
jeune,jeune,30
femme,femme,22
/.,/.,P
souvent,souvent,60
",",",",p
vers,vers,81
la,le,71
fin,fin,22
du,de,81
du,le,71
jour,jour,21
",",",",p
quand,quand,83
il,il,51
savait,savoir,18
le,le,71
marquis,marquis,21
et,et,82
Gontran,Gontran,20
partis,parti,31
aux,à,81
aux,le,71
sources,source,22
:,:,p
“,“,p
allons,aller,17
voir,voir,14
notre,notre,73
ciel,ciel,21
“,“,p
",",",",p
disait,dire,18
il,il,51
/.,/.,P
il,il,51
appelait,appeler,18
leur,leur,73
ciel,ciel,21
un,un,71
bouquet,bouquet,21
de,de,81
sapins,sapin,21
poussé,poussé,31
sur,sur,81
la,le,71
côte,côte,22
",",",",p
au-dessus,au-dessus,60
même,même,60
des,de,81
des,le,71
gorges,gorge,22
/.,/.,P
ils,ils,51
y,y,52
montaient,monter,18
à,à,81
travers,travers,21
un,un,71
petit,petit,30
bois,bois,21
",",",",p
par,par,81
un,un,71
sentier,sentier,21
rapide,rapide,30
",",",",p
qui,qui,52
faisait,faire,18
souffler,souffler,14
Christiane,Christiane,20
/.,/.,P
comme,comme,83
ils,ils,51
avaient,avoir,18
peu,peu,60
de,de,81
temps,temps,21
ils,ils,51
allaient,aller,18
vite,vite,60
;,;,p
et,et,82
",",",",p
pour,pour,81
qu',que,83
elle,il,51
se,se,51
fatiguât,fatiguer,18
moins,moins,60
",",",",p
il,il,51
la,le,52
soulevait,soulever,18
par,par,81
la,le,71
taille,taille,22
/.,/.,P
ayant,avoir,13
mis,mettre,12
une,un,71
main,main,22
sur,sur,81
son,son,73
épaule,épaule,22
elle,il,51
se,se,51
laissait,laisser,18
enlever,enlever,14
",",",",p
et,et,82
parfois,parfois,60
lui,lui,51
sautant,sauter,13
au,à,81
au,le,71
cou,cou,21
posait,poser,18
sa,son,73
bouche,bouche,22
sur,sur,81
ses,son,73
lèvres,lèvre,22
/.,/.,P
à,à,81
mesure,mesure,22
qu',que,83
ils,ils,51
montaient,monter,18
",",",",p
l',le,71
air,air,21
devenait,devenir,18
plus,plus,60
vif,vif,30
;,;,p
et,et,82
quand,quand,83
ils,ils,51
atteignaient,atteindre,18
le,le,71
bouquet,bouquet,21
de,de,81
sapins,sapin,21
",",",",p
l',le,71
odeur,odeur,22
de,de,81
la,le,71
résine,résine,22
les,le,52
rafraîchissait,rafraîchir,18
comme,comme,83
un,un,71
souffle,souffle,21
de,de,81
la,le,71
mer,mer,22
/.,/.,P
ils,ils,51
s',se,51
asseyaient,asseoir,18
sous,sous,81
les,le,71
arbres,arbre,21
sombres,sombre,30
",",",",p
elle,il,51
sur,sur,81
une,un,71
butte,butte,22
d',de,81
herbe,herbe,22
",",",",p
lui,lui,51
plus,plus,60
bas,bas,30
",",",",p
à,à,81
ses,son,73
pieds,pied,21
/.,/.,P
le,le,71
vent,vent,21
dans,dans,81
les,le,71
tiges,tige,22
chantait,chanter,18
ce,ce,74
doux,doux,30
chant,chant,21
des,de,81
des,le,71
pins,pin,21
qui,qui,52
ressemble,ressembler,17
un,un,71
peu,peu,60
à,à,81
une,un,71
plainte,plainte,22
;,;,p
et,et,82
la,le,71
Limagne,Limagne,20
immense,immense,30
",",",",p
aux,à,81
aux,le,71
lointains,lointain,21
invisibles,invisible,30
",",",",p
noyée,noyé,31
dans,dans,81
les,le,71
brumes,brume,22
",",",",p
leur,leur,52
donnait,donner,18
tout,tout,60
à,à,81
fait,fait,21
la,le,71
sensation,sensation,22
de,de,81
l',le,71
océan,océan,21
/.,/.,P
oui,oui,60
",",",",p
la,le,71
mer,mer,22
était,être,18
là,là,60
",",",",p
devant,devant,81
eux,ils,51
",",",",p
là-bas,là-bas,60
/!,/!,P
ils,ils,51
n',ne,60
en,en,52
pouvaient,pouvoir,18
douter,douter,14
",",",",p
car,car,82
ils,ils,51
recevaient,recevoir,18
son,son,73
haleine,haleine,22
sur,sur,81
la,le,71
face,face,22
/!,/!,P
il,il,51
avait,avoir,18
pour,pour,81
elle,il,51
des,de,81
des,le,71
câlineries,câlinerie,22
enfantines,enfantin,30
:,:,p
“,“,p
donnez,donner,17
vos,votre,73
doigts,doigt,21
que,que,83
je,je,51
les,le,52
mange,manger,17
",",",",p
ce,ce,52
sont,être,17
mes,mon,73
bonbons,bonbon,21
",",",",p
à,à,81
moi,moi,51
/.,/.,P
“,“,p
il,il,51
les,le,52
prenait,prendre,18
",",",",p
l',le,71
un,un,52
après,après,81
l',le,71
autre,autre,52
",",",",p
dans,dans,81
sa,son,73
bouche,bouche,22
",",",",p
et,et,82
semblait,sembler,18
les,le,52
goûter,goûter,14
avec,avec,81
des,de,81
des,le,71
frissons,frisson,21
gourmands,gourmand,30
:,:,p
“,“,p
oh,oh,93
!,!,p
qu',que,52
ils,ils,51
sont,être,17
bons,bon,30
/!,/!,P
le,le,71
petit,petit,30
surtout,surtout,21
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
rien,rien,52
mangé,manger,12
de,de,81
meilleur,meilleur,30
que,que,83
le,le,71
petit,petit,21
/.,/.,P
“,“,p
puis,puis,60
il,il,51
se,se,51
mettait,mettre,18
à,à,81
genoux,genou,21
",",",",p
posant,poser,13
ses,son,73
coudes,coude,21
sur,sur,81
les,le,71
genoux,genou,21
de,de,81
Christiane,Christiane,20
et,et,82
il,il,51
murmurait,murmurer,18
:,:,p
“,“,p
Liane,Liane,20
",",",",p
regardez,regarder,17
moi,moi,51
/?,/?,P
il,il,51
l',le,52
appelait,appeler,18
Liane,Liane,20
parce qu',parce que,83
elle,il,51
s',se,51
enlaçait,enlacer,18
à,à,81
lui,lui,51
pour,pour,81
l',le,52
embrasser,embrasser,14
",",",",p
comme,comme,83
une,un,71
plante,plante,22
étreint,étreindre,17
un,un,71
arbre,arbre,21
/.,/.,P
“,“,p
regardez,regarder,17
moi,moi,51
/.,/.,P
je,je,51
vais,aller,17
entrer,entrer,14
dans,dans,81
votre,votre,73
âme,âme,22
/.,/.,P
“,“,p
et,et,82
ils,ils,51
se,se,51
regardaient,regarder,18
de,de,81
ce,ce,74
regard,regard,21
immobile,immobile,30
",",",",p
obstiné,obstiné,31
qui,qui,52
semble,sembler,17
vraiment,vraiment,60
mêler,mêler,14
deux,deux,72
êtres,être,21
l',le,71
un,un,52
à,à,81
l',le,71
autre,autre,52
/!,/!,P
on,on,51
ne,ne,60
s',se,51
aime,aimer,17
bien,bien,60
qu',que,83
en,en,81
se,se,51
