11549
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quinzième extrait>,<>,<>
aussi,aussi,60
",",",",p
le,le,71
soir,soir,21
même,même,30
",",",",p
à,à,81
mesure,mesure,22
que,que,83
les,le,71
paroles,parole,22
s',se,51
échappaient,échapper,18
des,de,81
des,le,71
lèvres,lèvre,22
de,de,81
l',le,71
orateur,orateur,21
",",",",p
elles,ils,51
couraient,courir,18
sur,sur,81
les,le,71
fils,fil,21
télégraphiques,télégraphique,30
",",",",p
à,à,81
travers,travers,21
les,le,71
Etats,état,21
de,de,81
l',le,71
Union,Union,20
",",",",p
avec,avec,81
une,un,71
vitesse,vitesse,22
de,de,81
deux,deux,72
cent,cent,72
quarante,quarante,72
huit,huit,72
mille,mille,72
quatre,quatre,72
cent,cent,72
quarante,quarante,72
sept,sept,72
milles,mille,21
(,(,p
cent,cent,72
mille,mille,72
lieues,lieue,22
-,-,p
c',ce,52
est,être,17
la,le,71
vitesse,vitesse,22
de,de,81
l',le,71
électricité,électricité,22
),),p
à,à,81
la,le,71
seconde,seconde,22
/.,/.,P
on,on,51
peut,pouvoir,17
donc,donc,82
dire,dire,14
avec,avec,81
une,un,71
certitude,certitude,22
absolue,absolu,30
qu',que,83
au,à,81
au,le,71
même,même,75
instant,instant,21
les,le,71
Etats-Unis,Etats-Unis,20
d',de,81
Amérique,Amérique,20
",",",",p
dix,dix,72
fois,fois,22
grands,grand,30
comme,comme,83
la,le,71
France,France,20
",",",",p
poussèrent,pousser,19
un,un,71
seul,seul,30
hurrah,hurrah,21
",",",",p
et,et,82
que,que,83
vingt,vingt,72
cinq,cinq,72
millions,million,21
de,de,81
coeurs,coeur,21
",",",",p
gonflés,gonflé,31
d',de,81
orgueil,orgueil,21
",",",",p
battirent,battre,19
de,de,81
la,le,71
même,même,75
pulsation,pulsation,22
/.,/.,P
le,le,71
lendemain,lendemain,21
",",",",p
quinze,quinze,72
cents,cent,72
journaux,journal,21
quotidiens,quotidien,30
",",",",p
hebdomadaires,hebdomadaire,30
",",",",p
bi-mensuels,bimensuel,30
ou,ou,82
mensuels,mensuel,30
",",",",p
s',se,51
emparèrent,emparer,19
de,de,81
la,le,71
question,question,22
;,;,p
ils,ils,51
l',le,52
examinèrent,examiner,19
sous,sous,81
ses,son,73
différents,différent,30
aspects,aspect,21
physiques,physique,30
",",",",p
météorologiques,météorologique,30
",",",",p
économiques,économique,30
ou,ou,82
moraux,moral,30
",",",",p
au,à,81
au,le,71
point,point,21
de,de,81
vue,vue,22
de,de,81
la,le,71
prépondérance,prépondérance,22
politique,politique,30
ou,ou,82
de,de,81
la,le,71
civilisation,civilisation,22
/.,/.,P
ils,ils,51
se,se,51
demandèrent,demander,19
si,si,83
la,le,71
Lune,Lune,20
était,être,18
un,un,71
monde,monde,21
achevé,achevé,31
",",",",p
si,si,83
elle,il,51
ne,ne,60
subissait,subir,18
plus,plus,60
aucune,aucun,75
transformation,transformation,22
/.,/.,P
ressemblait,ressembler,18
elle,il,51
à,à,81
la,le,71
terre,terre,22
au,à,81
au,le,71
temps,temps,21
où,où,60
l',le,71
atmosphère,atmosphère,22
n',ne,60
existait,exister,18
pas,pas,60
encore,encore,60
/?,/?,P
quel,quel,75
spectacle,spectacle,21
présentait,présenter,18
cette,ce,74
face,face,22
invisible,invisible,30
au,à,81
au,le,71
sphéroïde,sphéroïde,21
terrestre,terrestre,30
/?,/?,P
bien,bien,60
qu',que,83
il,il,51
ne,ne,60
s',se,51
agît,agir,18
encore,encore,60
que,que,83
d',de,81
envoyer,envoyer,14
un,un,71
boulet,boulet,21
à,à,81
l',le,71
astre,astre,21
des,de,81
des,le,71
nuits,nuit,22
",",",",p
tous,tout,52
voyaient,voir,18
là,là,60
le,le,71
point,point,21
de,de,81
départ,départ,21
d',de,81
une,un,71
série,série,22
d',de,81
expériences,expérience,22
;,;,p
tous,tout,52
espéraient,espérer,18
qu',que,83
un,un,71
jour,jour,21
l',le,52
Amérique,Amérique,20
pénétrerait,pénétrer,16
les,le,71
derniers,dernier,30
secrets,secret,21
de,de,81
ce,ce,74
disque,disque,21
mystérieux,mystérieux,30
",",",",p
et,et,82
quelques-uns,quelqu'un,52
même,même,60
semblèrent,sembler,19
craindre,craindre,14
que,que,83
sa,son,73
conquête,conquête,22
ne,ne,60
dérangeât,déranger,18
sensiblement,sensiblement,60
l',le,71
équilibre,équilibre,21
européen,européen,30
/.,/.,P
le,le,71
projet,projet,21
discuté,discuté,31
",",",",p
pas,pas,60
une,un,71
feuille,feuille,22
ne,ne,60
mit,mettre,19
en,en,81
doute,doute,21
sa,son,73
réalisation,réalisation,22
;,;,p
les,le,71
recueils,recueil,21
",",",",p
les,le,71
brochures,brochure,22
",",",",p
les,le,71
bulletins,bulletin,21
",",",",p
les,le,71
magazines,magazine,21
publiés,publié,31
par,par,81
les,le,71
sociétés,société,22
savantes,savant,30
",",",",p
littéraires,littéraire,30
ou,ou,82
religieuses,religieux,30
",",",",p
en,en,52
firent,faire,19
ressortir,ressortir,14
les,le,71
avantages,avantage,21
",",",",p
et,et,82
la,le,71
société,société,22
d',de,81
histoire,histoire,22
naturelle,naturel,30
de,de,81
Boston,Boston,20
",",",",p
la,le,71
société,société,22
américaine,américain,30
des,de,81
des,le,71
sciences,science,22
et,et,82
des,de,81
des,le,71
arts,art,21
d',de,81
Albany,Albany,20
",",",",p
la,le,71
société,société,22
géographique,géographique,30
et,et,82
statistique,statistique,30
de,de,81
New York,New York,20
",",",",p
la,le,71
société,société,22
philosophique,philosophique,30
américaine,américain,30
de,de,81
Philadelphie,Philadelphie,20
",",",",p
l',le,71
institution,institution,22
Smithsonienne,Smithsonien,20
de,de,81
Washington,Washington,20
",",",",p
envoyèrent,envoyer,19
dans,dans,81
mille,mille,72
lettres,lettre,22
leurs,leur,73
félicitations,félicitation,22
au,à,81
au,le,71
Gun-Club,Gun-Club,20
",",",",p
avec,avec,81
des,de,81
des,le,71
offres,offre,22
immédiates,immédiat,30
de,de,81
service,service,21
et,et,82
d',de,81
argent,argent,21
/.,/.,P
aussi,aussi,60
",",",",p
on,on,51
peut,pouvoir,17
le,le,52
dire,dire,14
",",",",p
jamais,jamais,60
proposition,proposition,22
ne,ne,60
réunit,réunir,19
un,un,71
pareil,pareil,30
nombre,nombre,21
d',de,81
adhérents,adhérent,21
;,;,p
d',de,81
hésitations,hésitation,22
",",",",p
de,de,81
doutes,doute,21
",",",",p
d',de,81
inquiétudes,inquiétude,22
",",",",p
il,il,51
ne,ne,60
fut,être,19
même,même,60
pas,pas,60
question,question,22
/.,/.,P
quant,quand,83
aux,à,81
aux,le,71
plaisanteries,plaisanterie,22
",",",",p
aux,à,81
aux,le,71
caricatures,caricature,22
",",",",p
aux,à,81
aux,le,71
chansons,chanson,22
qui,qui,52
eussent,avoir,18
accueilli,accueillir,12
en,en,81
Europe,Europe,20
",",",",p
et,et,82
particulièrement,particulièrement,60
en,en,81
France,France,20
",",",",p
l',le,71
idée,idée,22
d',de,81
envoyer,envoyer,14
un,un,71
projectile,projectile,21
à,à,81
la,le,71
Lune,Lune,20
",",",",p
elles,ils,51
auraient,avoir,16
fort,fort,60
mal,mal,60
servi,servir,12
leur,leur,73
auteur,auteur,21
;,;,p
tous,tout,75
les,le,71
life,life,92
preservers,preserver,92
(,(,p
arme,arme,22
de,de,81
poche,poche,22
faite,fait,31
en,en,81
baleine,baleine,22
flexible,flexible,30
et,et,82
d',de,81
une,un,71
boule,boule,22
de,de,81
métal,métal,21
),),p
du,de,81
du,le,71
monde,monde,21
eussent,avoir,18
été,être,12
impuissants,impuissant,30
à,à,81
le,le,52
garantir,garantir,14
contre,contre,81
l',le,71
indignation,indignation,22
générale,général,30
/.,/.,P
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
choses,chose,22
dont,dont,52
on,on,51
ne,ne,60
rit,rire,17
pas,pas,60
dans,dans,81
le,le,71
nouveau,nouveau,30
Monde,Monde,20
/.,/.,P
Impey,Impey,20
Barbicane,Barbicane,20
devint,devenir,19
donc,donc,82
",",",",p
à,à,81
partir,partir,14
de,de,81
ce,ce,74
jour,jour,21
",",",",p
un,un,52
des,de,81
des,le,71
plus,plus,60
grands,grand,30
citoyens,citoyen,21
des,de,81
des,le,71
Etats-Unis,Etats-Unis,20
",",",",p
quelque,quelque,75
chose,chose,22
comme,comme,83
le,le,71
Washington,Washington,20
de,de,81
la,le,71
science,science,22
",",",",p
et,et,82
un,un,71
trait,trait,21
",",",",p
entre,entre,81
plusieurs,plusieurs,75
",",",",p
montrera,montrer,15
jusqu',jusque,81
où,où,60
allait,aller,18
cette,ce,74
inféodation,inféodation,22
subite,subit,30
d',de,81
un,un,71
peuple,peuple,21
à,à,81
un,un,71
homme,homme,21
/.,/.,P
quelques,quelque,75
jours,jour,21
après,après,81
la,le,71
fameuse,fameux,30
séance,séance,22
du,de,81
du,le,71
Gun-Club,Gun-Club,20
",",",",p
le,le,71
directeur,directeur,21
d',de,81
une,un,71
troupe,troupe,22
anglaise,anglais,30
annonça,annoncer,19
au,à,81
au,le,71
théâtre,théâtre,21
de,de,81
Baltimore,Baltimore,20
la,le,71
représentation,représentation,22
de,de,81
much,much,92
ado,ado,92
about,about,92
nothing,nothing,92
(,(,p
beaucoup,beaucoup,60
de,de,81
bruit,bruit,21
pour,pour,81
rien,rien,52
",",",",p
une,un,52
des,de,81
des,le,71
comédies,comédie,22
de,de,81
Shakespeare,Shakespeare,20
),),p
/.,/.,P
mais,mais,82
la,le,71
population,population,22
de,de,81
la,le,71
ville,ville,22
",",",",p
voyant,voir,13
dans,dans,81
ce,ce,74
titre,titre,21
une,un,71
allusion,allusion,22
blessante,blessant,30
aux,à,81
aux,le,71
projets,projet,21
du,de,81
du,le,71
président,président,21
Barbicane,Barbicane,20
",",",",p
envahit,envahir,19
la,le,71
salle,salle,22
",",",",p
brisa,briser,19
les,le,71
banquettes,banquette,22
et,et,82
obligea,obliger,19
le,le,71
malheureux,malheureux,30
directeur,directeur,21
à,à,81
changer,changer,14
son,son,73
affiche,affiche,22
/.,/.,P
celui-ci,celui-ci,52
",",",",p
en,en,81
homme,homme,21
d',de,81
esprit,esprit,21
",",",",p
s',se,51
inclinant,incliner,13
devant,devant,81
la,le,71
volonté,volonté,22
publique,public,30
",",",",p
remplaça,remplacer,19
la,le,71
malencontreuse,malencontreux,30
comédie,comédie,22
par,par,81
as,as,92
you,you,92
like,like,92
it,it,92
(,(,p
comme,comme,83
il,il,51
vous,vous,51
plaira,plaire,15
",",",",p
de,de,81
Shakespeare,Shakespeare,20
),),p
et,et,82
",",",",p
pendant,pendant,81
plusieurs,plusieurs,75
semaines,semaine,22
",",",",p
il,il,51
fit,faire,19
des,de,81
des,le,71
recettes,recette,22
phénoménales,phénoménal,30
/.,/.,P
<IV >,<>,<>
réponse,réponse,22
de,de,81
l',le,71
observatoire,observatoire,21
de,de,81
Cambridge,Cambridge,20
/.,/.,P
cependant,cependant,82
Barbicane,Barbicane,20
ne,ne,60
perdit,perdre,19
pas,pas,60
un,un,71
instant,instant,21
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
ovations,ovation,22
dont,dont,52
il,il,51
était,être,18
l',le,71
objet,objet,21
/.,/.,P
son,son,73
premier,premier,72
soin,soin,21
fut,être,19
de,de,81
réunir,réunir,14
ses,son,73
collègues,collègue,21
dans,dans,81
les,le,71
bureaux,bureau,21
du,de,81
du,le,71
Gun-Club,Gun-Club,20
/.,/.,P
là,là,60
",",",",p
après,après,81
discussion,discussion,22
",",",",p
on,on,51
convint,convenir,19
de,de,81
consulter,consulter,14
les,le,71
astronomes,astronome,21
sur,sur,81
la,le,71
partie,partie,22
astronomique,astronomique,30
de,de,81
l',le,71
entreprise,entreprise,22
;,;,p
leur,leur,73
réponse,réponse,22
une,un,71
fois,fois,22
connue,connu,31
",",",",p
on,on,51
discuterait,discuter,16
alors,alors,60
les,le,71
moyens,moyen,21
mécaniques,mécanique,30
",",",",p
et,et,82
rien,rien,52
ne,ne,60
serait,être,16
négligé,négliger,12
pour,pour,81
assurer,assurer,14
le,le,71
succès,succès,21
de,de,81
cette,ce,74
grande,grand,30
expérience,expérience,22
/.,/.,P
une,un,71
note,note,22
très,très,60
précise,précis,30
",",",",p
contenant,contenir,13
des,de,81
des,le,71
questions,question,22
spéciales,spécial,30
",",",",p
fut,être,19
donc,donc,82
rédigée,rédiger,12
et,et,82
adressée,adresser,12
à,à,81
l',le,71
observatoire,observatoire,21
de,de,81
Cambridge,Cambridge,20
",",",",p
dans,dans,81
le,le,71
Massachusetts,Massachusetts,20
/.,/.,P
cette,ce,74
ville,ville,22
",",",",p
où,où,60
fut,être,19
fondée,fonder,12
la,le,71
première,premier,72
université,université,22
des,de,81
des,le,71
Etats-Unis,Etats-Unis,20
",",",",p
est,être,17
justement,justement,60
célèbre,célèbre,30
par,par,81
son,son,73
bureau,bureau,21
astronomique,astronomique,30
/.,/.,P
là,là,60
se,se,51
trouvent,trouver,17
réunis,réuni,31
des,de,81
des,le,71
savants,savant,21
du,de,81
du,le,71
plus,plus,60
haut,haut,30
mérite,mérite,21
;,;,p
là,là,60
fonctionne,fonctionner,17
la,le,71
puissante,puissant,30
lunette,lunette,22
qui,qui,52
permit,permettre,19
à,à,81
Bond,Bond,20
de,de,81
résoudre,résoudre,14
la,le,71
nébuleuse,nébuleuse,22
d',de,81
Andromède,Andromède,20
et,et,82
à,à,81
Clarke,Clarke,20
de,de,81
découvrir,découvrir,14
le,le,71
satellite,satellite,21
de,de,81
Sirius,Sirius,20
/.,/.,P
cet,ce,74
établissement,établissement,21
célèbre,célèbre,30
justifiait,justifier,18
donc,donc,82
à,à,81
tous,tout,75
les,le,71
titres,titre,21
la,le,71
confiance,confiance,22
du,de,81
du,le,71
Gun-Club,Gun-Club,20
/.,/.,P
aussi,aussi,60
",",",",p
deux,deux,72
jours,jour,21
après,après,81
",",",",p
sa,son,73
réponse,réponse,22
",",",",p
si,si,60
impatiemment,impatiemment,60
attendue,attendu,31
",",",",p
arrivait,arriver,18
entre,entre,81
les,le,71
mains,main,22
du,de,81
du,le,71
président,président,21
Barbicane,Barbicane,20
/.,/.,P
elle,il,51
était,être,18
conçue,concevoir,12
en,en,81
ces,ce,74
termes,terme,21
:,:,p
le,le,71
directeur,directeur,21
de,de,81
l',le,71
observatoire,observatoire,21
de,de,81
Cambridge,Cambridge,20
au,à,81
au,le,71
président,président,21
du,de,81
du,le,71
Gun-Club,Gun-Club,20
",",",",p
à,à,81
Baltimore,Baltimore,20
/.,/.,P
Cambridge,Cambridge,20
",",",",p
<Nombre 7 octobre>,<>,<>
sept,sept,72
octobre,octobre,21
<Fin nombre>,<>,<>
/.,/.,P
au,à,81
au,le,71
reçu,reçu,21
de,de,81
votre,votre,73
honorée,honoré,31
du,de,81
du,le,71
<Nombre 6>,<>,<>
six,six,72
<Fin nombre>,<>,<>
courant,courant,30
",",",",p
adressée,adressé,31
à,à,81
l',le,71
observatoire,observatoire,21
de,de,81
Cambridge,Cambridge,20
au,à,81
au,le,71
nom,nom,21
des,de,81
des,le,71
membres,membre,21
du,de,81
du,le,71
Gun-Club,Gun-Club,20
de,de,81
Baltimore,Baltimore,20
",",",",p
notre,notre,73
bureau,bureau,21
s',se,51
est,être,17
immédiatement,immédiatement,60
réuni,réunir,12
",",",",p
et,et,82
il,il,51
a,avoir,17
jugé,juger,12
à,à,81
propos,propos,21
(,(,p
il,il,51
y,y,52
a,avoir,17
dans,dans,81
le,le,71
texte,texte,21
le,le,71
mot,mot,21
expédient,expédient,30
",",",",p
qui,qui,52
est,être,17
absolument,absolument,60
intraduisible,intraduisible,30
en,en,81
français,français,21
),),p
de,de,81
répondre,répondre,14
comme,comme,83
suit,suivre,17
:,:,p
les,le,71
questions,question,22
qui,qui,52
lui,lui,51
ont,avoir,17
été,être,12
posées,poser,12
sont,être,17
celles-ci,celui-ci,52
:,:,p
premièrement,premièrement,60
",",",",p
est,être,17
il,il,51
possible,possible,30
d',de,81
envoyer,envoyer,14
un,un,71
projectile,projectile,21
dans,dans,81
la,le,71
Lune,Lune,20
/?,/?,P
deuxièmement,deuxièmement,60
",",",",p
quelle,quel,52
est,être,17
la,le,71
distance,distance,22
exacte,exact,30
qui,qui,52
sépare,séparer,17
la,le,71
terre,terre,22
de,de,81
son,son,73
satellite,satellite,21
/?,/?,P
troisièmement,troisièmement,60
",",",",p
quelle,quel,52
sera,être,15
la,le,71
durée,durée,22
du,de,81
du,le,71
trajet,trajet,21
du,de,81
du,le,71
projectile,projectile,21
auquel,à,81
auquel,lequel,52
aura,avoir,15
été,être,12
imprimée,imprimer,12
une,un,71
vitesse,vitesse,22
initiale,initial,30
suffisante,suffisant,30
",",",",p
et,et,82
",",",",p
par,par,81
conséquent,conséquent,30
",",",",p
à,à,81
quel,quel,75
moment,moment,21
devra,devoir,15
t,t,94
on,on,51
le,le,52
lancer,lancer,14
pour,pour,81
qu',que,83
il,il,51
rencontre,rencontrer,17
la,le,71
Lune,Lune,20
en,en,81
un,un,71
point,point,21
déterminé,déterminé,31
/?,/?,P
quatrièmement,quatrièmement,60
à,à,81
quel,quel,75
moment,moment,21
précis,précis,30
la,le,71
Lune,Lune,20
se,se,51
présentera,présenter,15
t,t,94
elle,il,51
dans,dans,81
la,le,71
position,position,22
la,le,71
plus,plus,60
favorable,favorable,30
pour,pour,81
être,être,14
atteinte,atteindre,12
par,par,81
le,le,71
projectile,projectile,21
/?,/?,P
cinquièmement,cinquièmement,60
quel,quel,75
point,point,21
du,de,81
du,le,71
ciel,ciel,21
devra,devoir,15
t,t,94
on,on,51
viser,viser,14
avec,avec,81
le,le,71
canon,canon,21
destiné,destiné,31
à,à,81
lancer,lancer,14
le,le,71
projectile,projectile,21
/?,/?,P
sixièmement,sixièmement,60
quelle,quel,75
place,place,22
la,le,52
Lune,Lune,20
occupera,occuper,15
t,t,94
elle,il,51
dans,dans,81
le,le,71
ciel,ciel,21
au,à,81
au,le,71
moment,moment,21
où,où,60
partira,partir,15
le,le,71
projectile,projectile,21
/?,/?,P
sur,sur,81
la,le,71
première,premier,72
question,question,22
:,:,p
-,-,p
est,être,17
il,il,51
possible,possible,30
d',de,81
envoyer,envoyer,14
un,un,71
projectile,projectile,21
dans,dans,81
la,le,71
Lune,Lune,20
/?,/?,P
oui,oui,60
",",",",p
il,il,51
est,être,17
possible,possible,30
d',de,81
envoyer,envoyer,14
un,un,71
projectile,projectile,21
dans,dans,81
la,le,71
Lune,Lune,20
",",",",p
si,si,83
l',l',94
on,on,51
parvient,parvenir,17
à,à,81
animer,animer,14
ce,ce,74
projectile,projectile,21
d',de,81
une,un,71
vitesse,vitesse,22
initiale,initial,30
de,de,81
douze,douze,72
mille,mille,72
yards,yard,21
par,par,81
seconde,seconde,22
/.,/.,P
le,le,71
calcul,calcul,21
démontre,démontrer,17
que,que,83
cette,ce,74
vitesse,vitesse,22
est,être,17
suffisante,suffisant,30
/.,/.,P
à,à,81
mesure,mesure,22
que,que,83
l',l',94
on,on,51
s',se,51
éloigne,éloigner,17
de,de,81
la,le,71
terre,terre,22
",",",",p
l',le,71
action,action,22
de,de,81
la,le,71
pesanteur,pesanteur,22
diminue,diminuer,17
en,en,81
raison,raison,22
inverse,inverse,30
du,de,81
du,le,71
carré,carré,21
des,de,81
des,le,71
distances,distance,22
",",",",p
c'est-à-dire,c'est-à-dire,91
que,que,83
",",",",p
pour,pour,81
une,un,71
distance,distance,22
trois,trois,72
fois,fois,22
plus,plus,60
grande,grand,30
",",",",p
cette,ce,74
action,action,22
est,être,17
neuf,neuf,30
fois,fois,22
moins,moins,60
forte,fort,30
/.,/.,P
en,en,81
conséquence,conséquence,22
",",",",p
la,le,71
pesanteur,pesanteur,22
du,de,81
du,le,71
boulet,boulet,21
décroîtra,décroître,15
rapidement,rapidement,60
",",",",p
et,et,82
finira,finir,15
par,par,81
s',se,51
annuler,annuler,14
complètement,complètement,60
au,à,81
au,le,71
moment,moment,21
où,où,60
l',le,71
attraction,attraction,22
de,de,81
la,le,71
Lune,Lune,20
fera,faire,15
équilibre,équilibre,21
à,à,81
celle,celui,52
de,de,81
la,le,71
terre,terre,22
",",",",p
c'est-à-dire,c'est-à-dire,91
aux,à,81
aux,le,71
quarante,quarante,72
sept,sept,72
cinquante,cinquante,72
deuxièmes,deuxième,72
du,de,81
du,le,71
trajet,trajet,21
/.,/.,P
en,en,81
ce,ce,74
moment,moment,21
",",",",p
le,le,71
projectile,projectile,21
ne,ne,60
pèsera,peser,15
plus,plus,60
",",",",p
et,et,82
",",",",p
s',si,83
il,il,51
franchit,franchir,17
ce,ce,74
point,point,21
",",",",p
il,il,51
tombera,tomber,15
sur,sur,81
la,le,71
Lune,Lune,20
par,par,81
l',le,71
effet,effet,21
seul,seul,30
de,de,81
l',le,71
attraction,attraction,22
lunaire,lunaire,30
/.,/.,P
la,le,71
possibilité,possibilité,22
théorique,théorique,30
de,de,81
l',le,71
expérience,expérience,22
est,être,17
donc,donc,82
absolument,absolument,60
démontrée,démontrer,12
;,;,p
quant,quand,83
à,à,81
sa,son,73
réussite,réussite,22
",",",",p
elle,il,51
dépend,dépendre,17
uniquement,uniquement,60
de,de,81
la,le,71
puissance,puissance,22
de,de,81
l',le,71
engin,engin,21
employé,employé,31
/.,/.,P
sur,sur,81
la,le,71
deuxième,deuxième,72
question,question,22
:,:,p
-,-,p
quelle,quel,52
est,être,17
la,le,71
distance,distance,22
exacte,exact,30
qui,qui,52
sépare,séparer,17
la,le,71
terre,terre,22
de,de,81
son,son,73
satellite,satellite,21
/?,/?,P
la,le,71
Lune,Lune,20
ne,ne,60
décrit,décrire,17
pas,pas,60
autour,autour,60
de,de,81
la,le,71
terre,terre,22
une,un,71
circonférence,circonférence,22
",",",",p
mais,mais,82
bien,bien,60
une,un,71
ellipse,ellipse,22
dont,dont,52
notre,notre,73
globe,globe,21
occupe,occuper,17
l',le,71
un,un,52
des,de,81
des,le,71
foyers,foyer,21
;,;,p
de,de,81
là,là,60
cette,ce,74
conséquence,conséquence,22
que,que,83
la,le,71
Lune,Lune,20
se,se,51
trouve,trouver,17
tantôt,tantôt,60
plus,plus,60
rapprochée,rapproché,31
de,de,81
la,le,71
terre,terre,22
",",",",p
et,et,82
tantôt,tantôt,60
plus,plus,60
éloignée,éloigné,31
",",",",p
ou,ou,82
",",",",p
en,en,81
termes,terme,21
astronomiques,astronomique,30
",",",",p
tantôt,tantôt,60
dans,dans,81
son,son,73
apogée,apogée,22
",",",",p
tantôt,tantôt,60
dans,dans,81
son,son,73
périgée,périgée,21
/.,/.,P
or,or,82
",",",",p
la,le,71
différence,différence,22
entre,entre,81
sa,son,73
plus,plus,60
grande,grand,30
et,et,82
sa,son,73
plus,plus,60
petite,petit,30
distance,distance,22
est,être,17
assez,assez,60
considérable,considérable,30
",",",",p
dans,dans,81
l',le,71
espèce,espèce,22
",",",",p
pour,pour,81
qu',que,83
on,on,51
ne,ne,60
doive,devoir,17
pas,pas,60
la,le,52
négliger,négliger,14
/.,/.,P
en,en,81
effet,effet,21
",",",",p
dans,dans,81
son,son,73
apogée,apogée,22
",",",",p
la,le,71
Lune,Lune,20
est,être,17
à,à,81
deux,deux,72
cent,cent,72
quarante,quarante,72
sept,sept,72
mille,mille,72
cinq,cinq,72
cent,cent,72
cinquante,cinquante,72
deux,deux,72
milles,mille,21
(,(,p
<Nombre 99640 lieues>,<>,<>
quatre,quatre,72
vingt,vingt,72
dix,dix,72
neuf,neuf,72
mille,mille,72
six,six,72
cent,cent,72
quarante,quarante,72
lieues,lieue,22
<Fin nombre>,<>,<>
de,de,81
<Nombre 4 kilomètres>,<>,<>
quatre,quatre,72
kilomètres,kilomètre,21
<Fin nombre>,<>,<>
),),p
",",",",p
et,et,82
dans,dans,81
son,son,73
périgée,périgée,21
à,à,81
deux,deux,72
cent,cent,72
dix,dix,72
huit,huit,72
mille,mille,72
six,six,72
cent,cent,72
cinquante,cinquante,72
sept,sept,72
milles,mille,21
seulement,seulement,60
(,(,p
<Nombre 88010 lieues>,<>,<>
quatre,quatre,72
vingt,vingt,72
huit,huit,72
mille,mille,72
dix,dix,72
lieues,lieue,22
<Fin nombre>,<>,<>
),),p
",",",",p
ce,ce,52
qui,qui,52
fait,faire,17
une,un,71
différence,différence,22
de,de,81
vingt,vingt,72
huit,huit,72
mille,mille,72
huit,huit,72
cent,cent,72
quatre,quatre,72
vingt,vingt,72
quinze,quinze,72
milles,mille,21
(,(,p
<Nombre 11630 lieues>,<>,<>
onze,onze,72
mille,mille,72
six,six,72
cent,cent,72
trente,trente,72
lieues,lieue,22
<Fin nombre>,<>,<>
),),p
",",",",p
ou,ou,82
plus,plus,60
du,de,81
du,le,71
neuvième,neuvième,72
du,de,81
du,le,71
parcours,parcours,21
/.,/.,P
c',ce,52
est,être,17
donc,donc,82
la,le,71
distance,distance,22
périgéenne,périgéen,30
de,de,81
la,le,71
Lune,Lune,20
qui,qui,52
doit,devoir,17
servir,servir,14
de,de,81
base,base,22
aux,à,81
aux,le,71
calculs,calcul,21
/.,/.,P
sur,sur,81
la,le,71
troisième,troisième,72
question,question,22
:,:,p
-,-,p
quelle,quel,52
sera,être,15
la,le,71
durée,durée,22
du,de,81
du,le,71
trajet,trajet,21
du,de,81
du,le,71
projectile,projectile,21
auquel,à,81
auquel,lequel,52
aura,avoir,15
été,être,12
imprimée,imprimer,12
une,un,71
vitesse,vitesse,22
initiale,initial,30
suffisante,suffisant,30
",",",",p
et,et,82
",",",",p
par,par,81
conséquent,conséquent,30
",",",",p
à,à,81
quel,quel,75
moment,moment,21
devra,devoir,15
t,t,94
on,on,51
le,le,52
lancer,lancer,14
pour,pour,81
qu',que,83
il,il,51
rencontre,rencontrer,17
la,le,71
Lune,Lune,20
en,en,81
un,un,71
point,point,21
déterminé,déterminé,31
/?,/?,P
si,si,83
le,le,71
boulet,boulet,21
conservait,conserver,18
indéfiniment,indéfiniment,60
la,le,71
vitesse,vitesse,22
initiale,initial,30
de,de,81
douze,douze,72
mille,mille,72
yards,yard,21
par,par,81
seconde,seconde,22
qui,qui,52
lui,lui,51
aura,avoir,15
été,être,12
imprimée,imprimer,12
à,à,81
son,son,73
départ,départ,21
",",",",p
il,il,51
ne,ne,60
mettrait,mettre,16
que,que,83
neuf,neuf,72
heures,heure,22
environ,environ,60
à,à,81
se,se,51
rendre,rendre,14
à,à,81
sa,son,73
destination,destination,22
;,;,p
mais,mais,82
comme,comme,83
cette,ce,74
vitesse,vitesse,22
initiale,initial,30
ira,aller,15
continuellement,continuellement,60
en,en,81
décroissant,décroître,13
",",",",p
il,il,51
se,se,51
trouve,trouver,17
",",",",p
tout,tout,75
calcul,calcul,21
fait,fait,31
",",",",p
que,que,83
le,le,71
projectile,projectile,21
emploiera,employer,15
trois,trois,72
cent,cent,72
mille,mille,72
secondes,seconde,22
",",",",p
soit,soit,82
quatre,quatre,72
vingt,vingt,72
trois,trois,72
heures,heure,22
et,et,82
vingt,vingt,72
minutes,minute,22
",",",",p
pour,pour,81
atteindre,atteindre,14
le,le,71
point,point,21
où,où,60
les,le,71
attractions,attraction,22
terrestre,terrestre,30
et,et,82
lunaire,lunaire,30
se,se,51
font,faire,17
équilibre,équilibre,21
",",",",p
et,et,82
de,de,81
ce,ce,74
point,point,21
il,il,51
tombera,tomber,15
sur,sur,81
la,le,71
Lune,Lune,20
en,en,81
cinquante,cinquante,72
mille,mille,72
secondes,seconde,22
",",",",p
ou,ou,82
treize,treize,72
heures,heure,22
cinquante,cinquante,72
trois,trois,72
minutes,minute,22
et,et,82
vingt,vingt,72
secondes,seconde,22
/.,/.,P
il,il,51
conviendra,convenir,15
donc,donc,82
de,de,81
le,le,52
