11994
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-douzième extrait>,<>,<>
de,de,81
lui,lui,51
",",",",p
et,et,82
il,il,51
saisit,saisir,19
la,le,71
petite,petite,22
dans,dans,81
le,le,71
berceau,berceau,21
",",",",p
il,il,51
la,le,52
jeta,jeter,19
sur,sur,81
le,le,71
lit,lit,21
de,de,81
la,le,71
mère,mère,22
",",",",p
en,en,81
balbutiant,balbutier,13
de,de,81
fureur,fureur,22
:,:,p
-,-,p
tiens,tenir,17
!,!,p
prends,prendre,17
la,le,52
",",",",p
je,je,51
l',le,52
écraserais,écraser,16
/.,/.,P
nom,nom,21
de,de,81
dieu,dieu,21
d',de,81
enfant,enfant,21
!,!,p
ça,ça,52
ne,ne,60
manque,manquer,17
de,de,81
rien,rien,52
",",",",p
ça,ça,52
tète,téter,17
",",",",p
et,et,82
ça,ça,52
se,se,51
plaint,plaindre,17
plus,plus,60
haut,haut,60
que,que,83
les,le,71
autres,autre,52
/!,/!,P
Estelle,Estelle,20
s',se,51
était,être,18
mise,mettre,12
à,à,81
téter,téter,14
",",",",p
en,en,81
effet,effet,21
/.,/.,P
disparue,disparu,22
sous,sous,81
la,le,71
couverture,couverture,22
",",",",p
calmée,calmé,31
par,par,81
la,le,71
tiédeur,tiédeur,22
du,de,81
du,le,71
lit,lit,21
",",",",p
elle,il,51
n',ne,60
avait,avoir,18
plus,plus,60
qu',que,83
un,un,71
petit,petit,30
bruit,bruit,21
goulu,goulu,30
des,de,81
des,le,71
lèvres,lèvre,22
/.,/.,P
-,-,p
est,être,17
ce,ce,52
que,que,83
les,le,71
bourgeois,bourgeois,21
de,de,81
la,le,71
Piolaine,Piolaine,20
ne,ne,60
t',tu,51
ont,avoir,17
pas,pas,60
dit,dire,12
d',de,81
aller,aller,14
les,le,52
voir,voir,14
?,?,p
reprit,reprendre,19
le,le,71
père,père,21
au,à,81
au,le,71
bout,bout,21
d',de,81
un,un,71
silence,silence,21
/.,/.,P
la,le,71
mère,mère,22
pinça,pincer,19
la,le,71
bouche,bouche,22
",",",",p
d',de,81
un,un,71
air,air,21
de,de,81
doute,doute,21
découragé,découragé,31
/.,/.,P
-,-,p
oui,oui,60
",",",",p
ils,ils,51
m',je,51
ont,avoir,17
rencontrée,rencontrer,12
",",",",p
ils,ils,51
portent,porter,17
des,de,81
des,le,71
vêtements,vêtement,21
aux,à,81
aux,le,71
enfants,enfant,21
pauvres,pauvre,30
/…,/…,P
enfin,enfin,60
",",",",p
je,je,51
mènerai,mener,15
ce,ce,74
matin,matin,21
chez,chez,81
eux,ils,51
Lénore,Lénore,20
et,et,82
Henri,Henri,20
/.,/.,P
s',si,83
ils,ils,51
me,je,51
donnaient,donner,18
cent,cent,72
sous,sou,21
seulement,seulement,60
/.,/.,P
le,le,71
silence,silence,21
recommença,recommencer,19
/.,/.,P
Maheu,Maheu,20
était,être,18
prêt,prêt,30
/.,/.,P
il,il,51
demeura,demeurer,19
un,un,71
moment,moment,21
immobile,immobile,30
",",",",p
puis,puis,60
il,il,51
conclut,conclure,17
de,de,81
sa,son,73
voix,voix,22
sourde,sourd,30
:,:,p
-,-,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
tu,tu,51
veux,vouloir,17
?,?,p
c',ce,52
est,être,17
comme,comme,83
ça,ça,52
",",",",p
arrange,arranger,17
toi,toi,51
pour,pour,81
la,le,71
soupe,soupe,22
/…,/…,P
ça,ça,52
n',ne,60
avance,avancer,17
à,à,81
rien,rien,52
d',de,81
en,en,52
causer,causer,14
",",",",p
vaut,valoir,17
mieux,mieux,60
être,être,14
là-bas,là-bas,60
au,à,81
au,le,71
travail,travail,21
/.,/.,P
-,-,p
bien,bien,60
sur,sur,81
",",",",p
répondit,répondre,19
la,le,71
Maheude,Maheude,20
/.,/.,P
souffle,souffler,17
la,le,71
chandelle,chandelle,22
",",",",p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
besoin,besoin,21
de,de,81
voir,voir,14
la,le,71
couleur,couleur,22
de,de,81
mes,mon,73
idées,idée,22
/.,/.,P
il,il,51
souffla,souffler,19
la,le,71
chandelle,chandelle,22
/.,/.,P
déjà,déjà,60
",",",",p
Zacharie,Zacharie,20
et,et,82
Jeanlin,Jeanlin,20
descendaient,descendre,18
;,;,p
il,il,51
les,le,52
suivit,suivre,19
;,;,p
et,et,82
l',le,71
escalier,escalier,21
de,de,81
bois,bois,21
craquait,craquer,18
sous,sous,81
leurs,leur,73
pieds,pied,21
lourds,lourd,30
",",",",p
chaussés,chaussé,31
de,de,81
laine,laine,22
/.,/.,P
derrière,derrière,81
eux,ils,51
",",",",p
le,le,71
cabinet,cabinet,21
et,et,82
la,le,71
chambre,chambre,22
étaient,être,18
retombés,retomber,12
aux,à,81
aux,le,71
ténèbres,ténèbre,22
/.,/.,P
les,le,71
enfants,enfant,21
dormaient,dormir,18
",",",",p
les,le,71
paupières,paupière,22
d',de,81
Alzire,Alzire,20
elle-même,lui-même,51
s',se,51
étaient,être,18
closes,clore,12
/.,/.,P
mais,mais,82
la,le,71
mère,mère,22
restait,rester,18
maintenant,maintenant,60
les,le,71
yeux,oeil,21
ouverts,ouvert,31
dans,dans,81
l',le,71
obscurité,obscurité,22
",",",",p
tandis que,tandis que,83
",",",",p
tirant,tirer,13
sur,sur,81
sa,son,73
mamelle,mamelle,22
pendante,pendant,30
de,de,81
femme,femme,22
épuisée,épuisé,31
",",",",p
Estelle,Estelle,20
ronronnait,ronronner,18
comme,comme,83
un,un,71
petit,petit,30
chat,chat,21
/.,/.,P
en,en,81
bas,bas,21
",",",",p
Catherine,Catherine,20
s',se,51
était,être,18
d'abord,d'abord,60
occupée,occuper,12
du,de,81
du,le,71
feu,feu,21
",",",",p
la,le,71
cheminée,cheminée,22
de,de,81
fonte,fonte,22
",",",",p
à,à,81
grille,grille,22
centrale,central,30
",",",",p
flanquée,flanqué,31
de,de,81
deux,deux,72
fours,four,21
",",",",p
et,et,82
où,où,60
brûlait,brûler,18
constamment,constamment,60
un,un,71
feu,feu,21
de,de,81
houille,houille,22
/.,/.,P
la,le,71
compagnie,compagnie,22
distribuait,distribuer,18
par,par,81
mois,mois,21
",",",",p
à,à,81
chaque,chaque,75
famille,famille,22
",",",",p
huit,huit,72
hectolitres,hectolitre,21
d',de,81
escaillage,escaillage,21
",",",",p
charbon,charbon,21
dur,dur,30
ramassé,ramassé,31
dans,dans,81
les,le,71
voies,voie,22
/.,/.,P
il,il,51
s',se,51
allumait,allumer,18
difficilement,difficilement,60
",",",",p
et,et,82
la,le,71
jeune,jeune,30
fille,fille,22
qui,qui,52
couvrait,couvrir,18
le,le,71
feu,feu,21
chaque,chaque,75
soir,soir,21
",",",",p
n',ne,60
avait,avoir,18
qu',que,83
à,à,81
le,le,52
secouer,secouer,14
le,le,71
matin,matin,21
",",",",p
en,en,81
ajoutant,ajouter,13
des,de,81
des,le,71
petits,petit,30
morceaux,morceau,21
de,de,81
charbon,charbon,21
tendre,tendre,30
",",",",p
triés,trié,31
avec,avec,81
soin,soin,21
/.,/.,P
puis,puis,60
",",",",p
après,après,81
avoir,avoir,14
posé,poser,12
une,un,71
bouillotte,bouillotte,22
sur,sur,81
la,le,71
grille,grille,22
",",",",p
elle,il,51
s',se,51
accroupit,accroupir,19
devant,devant,81
le,le,71
buffet,buffet,21
/.,/.,P
c',ce,52
était,être,18
une,un,71
salle,salle,22
assez,assez,60
vaste,vaste,30
",",",",p
tenant,tenir,13
tout,tout,75
le,le,71
rez-de-chaussée,rez-de-chaussée,21
",",",",p
peinte,peint,31
en,en,81
vert,vert,21
pomme,pomme,22
",",",",p
d',de,81
une,un,71
propreté,propreté,22
flamande,flamand,30
",",",",p
avec,avec,81
ses,son,73
dalles,dalle,22
lavées,lavé,31
à,à,81
grande,grand,30
eau,eau,22
et,et,82
semées,semé,31
de,de,81
sable,sable,21
blanc,blanc,30
/.,/.,P
outre,outre,81
le,le,71
buffet,buffet,21
de,de,81
sapin,sapin,21
verni,verni,31
",",",",p
l',le,71
ameublement,ameublement,21
consistait,consister,18
en,en,81
une,un,71
table,table,22
et,et,82
des,de,81
des,le,71
chaises,chaise,22
du,de,81
du,le,71
même,même,75
bois,bois,21
/.,/.,P
collées,collé,31
sur,sur,81
les,le,71
murs,mur,21
",",",",p
des,de,81
des,le,71
enluminures,enluminure,22
violentes,violent,30
",",",",p
les,le,71
portraits,portrait,21
de,de,81
l',le,71
empereur,empereur,21
et,et,82
de,de,81
l',le,71
impératrice,impératrice,22
donnés,donné,31
par,par,81
la,le,71
compagnie,compagnie,22
",",",",p
des,de,81
des,le,71
soldats,soldat,21
et,et,82
des,de,81
des,le,71
saints,saint,21
",",",",p
bariolés,bariolé,31
d',de,81
or,or,21
",",",",p
tranchaient,trancher,18
crûment,crûment,60
dans,dans,81
la,le,71
nudité,nudité,22
claire,clair,30
de,de,81
la,le,71
pièce,pièce,22
;,;,p
et,et,82
il,il,51
n',ne,60
y,y,52
avait,avoir,18
d',de,81
autres,autre,75
ornements,ornement,21
qu',que,83
une,un,71
boîte,boîte,22
de,de,81
carton,carton,21
rose,rose,30
sur,sur,81
le,le,71
buffet,buffet,21
",",",",p
et,et,82
que,que,83
le,le,71
coucou,coucou,21
à,à,81
cadran,cadran,21
peinturluré,peinturluré,31
",",",",p
dont,dont,52
le,le,71
gros,gros,30
tic-tac,tic-tac,21
semblait,sembler,18
remplir,remplir,14
le,le,71
vide,vide,21
du,de,81
du,le,71
plafond,plafond,21
/.,/.,P
près,près,81
de,de,81
la,le,71
porte,porte,22
de,de,81
l',le,71
escalier,escalier,21
",",",",p
une,un,71
autre,autre,75
porte,porte,22
conduisait,conduire,18
à,à,81
la,le,71
cave,cave,22
/.,/.,P
malgré,malgré,81
la,le,71
propreté,propreté,22
",",",",p
une,un,71
odeur,odeur,22
d',de,81
oignon,oignon,21
cuit,cuit,31
",",",",p
enfermée,enfermé,31
depuis,depuis,81
la,le,71
veille,veille,22
",",",",p
empoisonnait,empoisonner,18
l',le,71
air,air,21
chaud,chaud,30
",",",",p
cet,ce,74
air,air,21
alourdi,alourdi,31
",",",",p
toujours,toujours,60
chargé,chargé,31
d',de,81
une,un,71
âcreté,âcreté,22
de,de,81
houille,houille,22
/.,/.,P
devant,devant,81
le,le,71
buffet,buffet,21
ouvert,ouvert,31
",",",",p
Catherine,Catherine,20
réfléchissait,réfléchir,18
/.,/.,P
il,il,51
ne,ne,60
restait,rester,18
qu',que,83
un,un,71
bout,bout,21
de,de,81
pain,pain,21
",",",",p
du,de,81
du,le,71
fromage,fromage,21
blanc,blanc,30
en,en,81
suffisance,suffisance,22
",",",",p
mais,mais,82
à,à,81
peine,peine,22
une,un,71
lichette,lichette,22
de,de,81
beurre,beurre,21
;,;,p
et,et,82
il,il,51
s',se,51
agissait,agir,18
de,de,81
faire,faire,14
les,le,71
tartines,tartine,22
pour,pour,81
eux,ils,51
quatre,quatre,72
/.,/.,P
enfin,enfin,60
",",",",p
elle,il,51
se,se,51
décida,décider,19
",",",",p
coupa,couper,19
les,le,71
tranches,tranche,22
",",",",p
en,en,52
prit,prendre,19
une,un,52
qu',que,52
elle,il,51
couvrit,couvrir,19
de,de,81
fromage,fromage,21
",",",",p
en,en,52
frotta,frotter,19
une,un,71
autre,autre,52
de,de,81
beurre,beurre,21
",",",",p
puis,puis,60
les,le,52
colla,coller,19
ensemble,ensemble,60
:,:,p
c',ce,52
était,être,18
“,“,p
le,le,71
briquet,briquet,21
“,“,p
",",",",p
la,le,71
double,double,30
tartine,tartine,22
emportée,emporté,31
chaque,chaque,75
matin,matin,21
à,à,81
la,le,71
fosse,fosse,22
/.,/.,P
bientôt,bientôt,60
",",",",p
les,le,71
quatre,quatre,72
briquets,briquet,21
furent,être,19
en,en,81
rang,rang,21
sur,sur,81
la,le,71
table,table,22
",",",",p
répartis,réparti,31
avec,avec,81
une,un,71
sévère,sévère,30
justice,justice,22
",",",",p
depuis,depuis,81
le,le,71
gros,gros,30
du,de,81
du,le,71
père,père,21
jusqu',jusque,81
au,à,81
au,le,71
petit,petit,21
de,de,81
Jeanlin,Jeanlin,20
/.,/.,P
Catherine,Catherine,20
",",",",p
qui,qui,52
paraissait,paraître,18
toute,tout,52
à,à,81
son,son,73
ménage,ménage,21
",",",",p
devait,devoir,18
pourtant,pourtant,60
rêvasser,rêvasser,14
aux,à,81
aux,le,71
histoires,histoire,22
que,que,52
Zacharie,Zacharie,20
racontait,raconter,18
sur,sur,81
le,le,71
maître,maître,21
porion,porion,21
et,et,82
la,le,71
Pierronne,Pierronne,20
",",",",p
car,car,82
elle,il,51
entrebâilla,entrebâiller,19
la,le,71
porte,porte,22
d',de,81
entrée,entrée,22
et,et,82
jeta,jeter,19
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
dehors,dehors,60
/.,/.,P
le,le,71
vent,vent,21
soufflait,souffler,18
toujours,toujours,60
",",",",p
des,de,81
des,le,71
clartés,clarté,22
plus,plus,60
nombreuses,nombreux,30
couraient,courir,18
sur,sur,81
les,le,71
façades,façade,22
basses,bas,30
du,de,81
du,le,71
coron,coron,21
",",",",p
d',de,81
où,où,60
montait,monter,18
une,un,71
vague,vague,30
trépidation,trépidation,22
de,de,81
réveil,réveil,21
/.,/.,P
déjà,déjà,60
des,de,81
des,le,71
portes,porte,22
se,se,51
refermaient,refermer,18
",",",",p
des,de,81
des,le,71
files,file,22
noires,noir,30
d',de,81
ouvriers,ouvrier,21
s',se,51
éloignaient,éloigner,18
dans,dans,81
la,le,71
nuit,nuit,22
/.,/.,P
était,être,18
elle,il,51
bête,bête,30
",",",",p
de,de,81
se,se,51
refroidir,refroidir,14
",",",",p
puisque,puisque,83
le,le,71
chargeur,chargeur,21
à,à,81
l',le,71
accrochage,accrochage,21
dormait,dormir,18
bien,bien,60
sûr,sûr,30
",",",",p
en,en,81
attendant,attendre,13
d',de,81
aller,aller,14
prendre,prendre,14
son,son,73
service,service,21
",",",",p
à,à,81
six,six,72
heures,heure,22
/!,/!,P
et,et,82
elle,il,51
restait,rester,18
",",",",p
elle,il,51
regardait,regarder,18
la,le,71
maison,maison,22
",",",",p
de,de,81
l',le,71
autre,autre,75
côté,côté,21
des,de,81
des,le,71
jardins,jardin,21
/.,/.,P
la,le,71
porte,porte,22
s',se,51
ouvrit,ouvrir,19
",",",",p
sa,son,73
curiosité,curiosité,22
s',se,51
alluma,allumer,19
/.,/.,P
mais,mais,82
ce,ce,52
ne,ne,60
pouvait,pouvoir,18
être,être,14
que,que,83
la,le,71
petite,petite,22
des,de,81
des,le,71
Pierron,Pierron,20
",",",",p
Lydie,Lydie,20
",",",",p
qui,qui,52
partait,partir,18
pour,pour,81
la,le,71
fosse,fosse,22
/.,/.,P
un,un,71
bruit,bruit,21
sifflant,sifflant,30
de,de,81
vapeur,vapeur,22
la,le,52
fit,faire,19
se,se,51
tourner,tourner,14
/.,/.,P
elle,il,51
ferma,fermer,19
",",",",p
se,se,51
hâta,hâter,19
de,de,81
courir,courir,14
:,:,p
l',le,71
eau,eau,22
bouillait,bouillir,18
et,et,82
se,se,51
répandait,répandre,18
",",",",p
éteignant,éteindre,13
le,le,71
feu,feu,21
/.,/.,P
il,il,51
ne,ne,60
restait,rester,18
plus,plus,60
de,de,81
café,café,21
",",",",p
elle,il,51
dut,devoir,19
se,se,51
contenter,contenter,14
de,de,81
passer,passer,14
l',le,71
eau,eau,22
sur,sur,81
le,le,71
marc,marc,21
de,de,81
la,le,71
veille,veille,22
;,;,p
puis,puis,60
",",",",p
elle,il,51
sucra,sucrer,19
dans,dans,81
la,le,71
cafetière,cafetière,22
",",",",p
avec,avec,81
de,de,81
la,le,71
cassonade,cassonade,22
/.,/.,P
justement,justement,60
",",",",p
son,son,73
père,père,21
et,et,82
ses,son,73
deux,deux,72
frères,frère,21
descendaient,descendre,18
/.,/.,P
-,-,p
fichtre,fichtre,93
!,!,p
déclara,déclarer,19
Zacharie,Zacharie,20
",",",",p
quand,quand,83
il,il,51
eut,avoir,19
mis,mettre,12
le,le,71
nez,nez,21
dans,dans,81
son,son,73
bol,bol,21
",",",",p
en,en,52
voilà,voilà,81
un,un,52
qui,qui,52
ne,ne,60
nous,nous,51
cassera,casser,15
pas,pas,60
la,le,71
tête,tête,22
/!,/!,P
Maheu,Maheu,20
haussa,hausser,19
les,le,71
épaules,épaule,22
d',de,81
un,un,71
air,air,21
résigné,résigné,31
/.,/.,P
-,-,p
bah,bah,93
!,!,p
c',ce,52
est,être,17
chaud,chaud,30
",",",",p
c',ce,52
est,être,17
bon,bon,30
tout,tout,60
de,de,81
même,même,60
/.,/.,P
Jeanlin,Jeanlin,20
avait,avoir,18
ramassé,ramasser,12
les,le,71
miettes,miette,22
des,de,81
des,le,71
tartines,tartine,22
et,et,82
trempait,tremper,18
une,un,71
soupe,soupe,22
/.,/.,P
après,après,81
avoir,avoir,14
bu,boire,12
",",",",p
Catherine,Catherine,20
acheva,achever,19
de,de,81
vider,vider,14
la,le,71
cafetière,cafetière,22
dans,dans,81
les,le,71
gourdes,gourde,22
de,de,81
fer-blanc,fer-blanc,21
/.,/.,P
tous,tout,75
quatre,quatre,72
",",",",p
debout,debout,60
",",",",p
mal,mal,60
éclairés,éclairé,31
par,par,81
la,le,71
chandelle,chandelle,22
fumeuse,fumeux,30
",",",",p
avalaient,avaler,18
en,en,81
hâte,hâte,22
/.,/.,P
-,-,p
y,y,52
sommes,être,17
nous,nous,51
à,à,81
la,le,71
fin,fin,22
!,!,p
dit,dire,19
le,le,71
père,père,21
/.,/.,P
on,on,51
croirait,croire,16
qu',que,83
on,on,51
a,avoir,17
des,de,81
des,le,71
rentes,rente,22
/!,/!,P
mais,mais,82
une,un,71
voix,voix,22
vint,venir,19
de,de,81
l',le,71
escalier,escalier,21
",",",",p
dont,dont,52
ils,ils,51
avaient,avoir,18
laissé,laisser,12
la,le,71
porte,porte,22
ouverte,ouvert,31
/.,/.,P
c',ce,52
était,être,18
la,le,71
Maheude,Maheude,20
qui,qui,52
criait,crier,18
:,:,p
-,-,p
prenez,prendre,17
tout,tout,75
le,le,71
pain,pain,21
",",",",p
j',je,51
ai,avoir,17
un,un,71
peu,peu,60
de,de,81
vermicelle,vermicelle,21
pour,pour,81
les,le,71
enfants,enfant,21
/!,/!,P
oui,oui,60
",",",",p
oui,oui,60
!,!,p
répondit,répondre,19
Catherine,Catherine,20
/.,/.,P
elle,il,51
avait,avoir,18
recouvert,recouvrir,12
le,le,71
feu,feu,21
",",",",p
en,en,81
calant,caler,13
",",",",p
sur,sur,81
un,un,71
coin,coin,21
de,de,81
la,le,71
grille,grille,22
",",",",p
un,un,71
restant,restant,21
de,de,81
soupe,soupe,22
",",",",p
que,que,52
le,le,71
grand-père,grand-père,21
trouverait,trouver,16
chaude,chaud,30
",",",",p
lorsqu',lorsque,83
il,il,51
rentrerait,rentrer,16
à,à,81
six,six,72
heures,heure,22
/.,/.,P
chacun,chacun,52
prit,prendre,19
sa,son,73
paire,paire,22
de,de,81
sabots,sabot,21
sous,sous,81
le,le,71
buffet,buffet,21
",",",",p
se,se,51
passa,passer,19
la,le,71
ficelle,ficelle,22
de,de,81
sa,son,73
gourde,gourde,22
à,à,81
l',le,71
épaule,épaule,22
",",",",p
et,et,82
fourra,fourrer,19
son,son,73
briquet,briquet,21
dans,dans,81
son,son,73
dos,dos,21
",",",",p
entre,entre,81
la,le,71
chemise,chemise,22
et,et,82
la,le,71
veste,veste,22
/.,/.,P
et,et,82
ils,ils,51
sortirent,sortir,19
",",",",p
les,le,71
hommes,homme,21
devant,devant,81
",",",",p
la,le,71
fille,fille,22
derrière,derrière,81
",",",",p
soufflant,souffler,13
la,le,71
chandelle,chandelle,22
",",",",p
donnant,donner,13
un,un,71
tour,tour,21
de,de,81
clef,clé,22
/.,/.,P
la,le,71
maison,maison,22
redevint,redevenir,19
noire,noir,30
/.,/.,P
-,-,p
tiens,tenir,17
!,!,p
nous,nous,51
filons,filer,17
ensemble,ensemble,60
",",",",p
dit,dire,19
un,un,71
homme,homme,21
qui,qui,52
refermait,refermer,18
la,le,71
porte,porte,22
de,de,81
la,le,71
maison,maison,22
voisine,voisin,30
/.,/.,P
c',ce,52
était,être,18
Levaque,Levaque,20
",",",",p
avec,avec,81
son,son,73
fils,fils,21
Bébert,Bébert,20
",",",",p
un,un,71
gamin,gamin,21
de,de,81
douze,douze,72
ans,an,21
",",",",p
grand,grand,30
ami,ami,21
de,de,81
Jeanlin,Jeanlin,20
/.,/.,P
Catherine,Catherine,20
",",",",p
étonnée,étonné,31
",",",",p
étouffa,étouffer,19
un,un,71
rire,rire,21
",",",",p
à,à,81
l',le,71
oreille,oreille,22
de,de,81
Zacharie,Zacharie,20
:,:,p
quoi,quoi,52
donc,donc,82
/?,/?,P
Bouteloup,Bouteloup,20
n',ne,60
attendait,attendre,18
même,même,60
plus,plus,60
que,que,83
le,le,71
mari,mari,21
fût,être,19
parti,partir,12
/!,/!,P
maintenant,maintenant,60
",",",",p
dans,dans,81
le,le,71
coron,coron,21
",",",",p
les,le,71
lumières,lumière,22
s',se,51
éteignaient,éteindre,18
/.,/.,P
une,un,71
dernière,dernier,30
porte,porte,22
claqua,claquer,19
",",",",p
tout,tout,52
dormait,dormir,18
de,de,81
nouveau,nouveau,21
",",",",p
les,le,71
femmes,femme,22
et,et,82
les,le,71
petits,petit,30
reprenaient,reprendre,18
leur,leur,73
somme,somme,21
",",",",p
au,à,81
au,le,71
fond,fond,21
des,de,81
des,le,71
lits,lit,21
plus,plus,60
larges,large,30
/.,/.,P
et,et,82
",",",",p
du,de,81
du,le,71
village,village,21
éteint,éteint,31
au,à,81
au,le,71
Voreux,Voreux,20
qui,qui,52
soufflait,souffler,18
",",",",p
c',ce,52
était,être,18
sous,sous,81
les,le,71
rafales,rafale,22
un,un,71
lent,lent,30
défilé,défilé,21
d',de,81
ombres,ombre,22
",",",",p
le,le,71
départ,départ,21
des,de,81
des,le,71
charbonniers,charbonnier,21
pour,pour,81
le,le,71
travail,travail,21
",",",",p
roulant,rouler,13
des,de,81
des,le,71
épaules,épaule,22
",",",",p
embarrassés,embarrassé,31
de,de,81
leurs,leur,73
bras,bras,21
",",",",p
qu',que,52
ils,ils,51
croisaient,croiser,18
sur,sur,81
la,le,71
poitrine,poitrine,22
;,;,p
tandis que,tandis que,83
",",",",p
derrière,derrière,81
",",",",p
le,le,71
briquet,briquet,21
faisait,faire,18
à,à,81
chacun,chacun,52
une,un,71
bosse,bosse,22
/.,/.,P
vêtus,vêtu,31
de,de,81
toile,toile,22
mince,mince,30
",",",",p
ils,ils,51
grelottaient,grelotter,18
de,de,81
froid,froid,21
",",",",p
sans,sans,81
se,se,51
hâter,hâter,14
davantage,davantage,60
",",",",p
débandés,débandé,31
le,le,71
long,long,21
de,de,81
la,le,71
route,route,22
",",",",p
avec,avec,81
un,un,71
piétinement,piétinement,21
de,de,81
troupeau,troupeau,21
/.,/.,P
<I III>,<>,<>
Etienne,Etienne,20
",",",",p
descendu,descendu,31
enfin,enfin,60
du,de,81
du,le,71
terri,terril,21
",",",",p
venait,venir,18
d',de,81
entrer,entrer,14
au,à,81
au,le,71
Voreux,Voreux,20
;,;,p
et,et,82
les,le,71
hommes,homme,21
auxquels,à,81
auxquels,lequel,52
il,il,51
s',se,51
adressait,adresser,18
",",",",p
demandant,demander,13
s',si,83
il,il,51
y,y,52
avait,avoir,18
du,de,81
du,le,71
travail,travail,21
",",",",p
hochaient,hocher,18
la,le,71
tête,tête,22
",",",",p
lui,lui,51
disaient,dire,18
tous,tout,52
d',de,81
attendre,attendre,14
le,le,71
maître,maître,21
porion,porion,21
/.,/.,P
on,on,51
le,le,52
laissait,laisser,18
libre,libre,30
",",",",p
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
bâtiments,bâtiment,21
mal,mal,60
éclairés,éclairé,31
",",",",p
pleins,plein,30
de,de,81
trous,trou,21
noirs,noir,30
",",",",p
inquiétants,inquiétant,30
avec,avec,81
la,le,71
complication,complication,22
de,de,81
leurs,leur,73
salles,salle,22
et,et,82
de,de,81
leurs,leur,73
étages,étage,21
/.,/.,P
après,après,81
avoir,avoir,14
monté,monter,12
un,un,71
escalier,escalier,21
obscur,obscur,30
à,à,81
moitié,moitié,22
détruit,détruit,31
",",",",p
il,il,51
s',se,51
était,être,18
trouvé,trouver,12
sur,sur,81
une,un,71
passerelle,passerelle,22
branlante,branlant,30
",",",",p
puis,puis,60
avait,avoir,18
traversé,traverser,12
le,le,71
hangar,hangar,21
du,de,81
du,le,71
criblage,criblage,21
",",",",p
plongé,plonger,12
dans,dans,81
une,un,71
nuit,nuit,22
si,si,60
profonde,profond,30
",",",",p
qu',que,83
il,il,51
marchait,marcher,18
les,le,71
mains,main,22
en,en,81
avant,avant,21
",",",",p
pour,pour,81
ne,ne,60
pas,pas,60
se,se,51
heurter,heurter,14
/.,/.,P
devant,devant,81
lui,lui,51
",",",",p
brusquement,brusquement,60
",",",",p
deux,deux,72
yeux,oeil,21
jaunes,jaune,30
",",",",p
énormes,énorme,30
",",",",p
trouèrent,trouer,19
les,le,71
ténèbres,ténèbre,22
/.,/.,P
il,il,51
était,être,18
sous,sous,81
le,le,71
beffroi,beffroi,21
",",",",p
dans,dans,81
la,le,71
salle,salle,22
de,de,81
recette,recette,22
",",",",p
à,à,81
la,le,71
bouche,bouche,22
même,même,30
du,de,81
du,le,71
puits,puits,21
/.,/.,P
un,un,71
porion,porion,21
",",",",p
le,le,71
père,père,21
Richomme,Richomme,20
",",",",p
un,un,71
gros,gros,21
à,à,81
figure,figure,22
de,de,81
bon,bon,30
gendarme,gendarme,21
",",",",p
barrée,barré,31
de,de,81
moustaches,moustache,22
grises,gris,30
",",",",p
se,se,51
dirigeait,diriger,18
justement,justement,60
vers,vers,81
le,le,71
bureau,bureau,21
du,de,81
du,le,71
receveur,receveur,21
/.,/.,P
-,-,p
on,on,51
n',ne,60
a,avoir,17
pas,pas,60
besoin,besoin,21
d',de,81
un,un,71
ouvrier,ouvrier,21
ici,ici,60
",",",",p
pour,pour,81
n',ne,60
importe,importer,17
quel,quel,75
travail,travail,21
?,?,p
demanda,demander,19
de,de,81
nouveau,nouveau,30
Etienne,Etienne,20
/.,/.,P
Richomme,Richomme,20
allait,aller,18
dire,dire,14
non,non,60
;,;,p
mais,mais,82
il,il,51
se,se,51
reprit,reprendre,19
et,et,82
répondit,répondre,19
comme,comme,83
les,le,71
autres,autre,52
",",",",p
en,en,81
s',se,51
éloignant,éloigner,13
:,:,p
-,-,p
attendez,attendre,17
monsieur,monsieur,21
Dansaert,Dansaert,20
",",",",p
le,le,71
maître,maître,21
porion,porion,21
/.,/.,P
quatre,quatre,72
lanternes,lanterne,22
étaient,être,18
plantées,planter,12
là,là,60
",",",",p
et,et,82
les,le,71
réflecteurs,réflecteur,21
",",",",p
qui,qui,52
jetaient,jeter,18
toute,tout,75
la,le,71
lumière,lumière,22
sur,sur,81
le,le,71
puits,puits,21
",",",",p
éclairaient,éclairer,18
vivement,vivement,60
les,le,71
rampes,rampe,22
de,de,81
fer,fer,21
",",",",p
les,le,71
leviers,levier,21
des,de,81
des,le,71
signaux,signal,21
et,et,82
des,de,81
des,le,71
verrous,verrou,21
",",",",p
les,le,71
madriers,madrier,21
des,de,81
des,le,71
guides,guide,21
",",",",p
où,où,60
glissaient,glisser,18
les,le,71
deux,deux,72
cages,cage,22
/.,/.,P
le,le,71
reste,reste,21
",",",",p
la,le,71
vaste,vaste,30
salle,salle,22
",",",",p
pareille,pareil,30
à,à,81
une,un,71
nef,nef,22
d',de,81
église,église,22
",",",",p
se,se,51
noyait,noyer,18
",",",",p
peuplée,peuplé,31
de,de,81
