11480
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Onzième extrait>,<>,<>
voyais,voir,18
/?,/?,P
être,être,14
avec,avec,81
les,le,71
gens,gens,21
qu',que,52
on,on,51
aime,aimer,17
",",",",p
dit,dire,19
La Bruyère,La Bruyère,20
",",",",p
cela,cela,52
suffit,suffire,17
;,;,p
rêver,rêver,14
",",",",p
leur,leur,73
parler,parler,21
",",",",p
ne,ne,60
leur,leur,52
parler,parler,14
point,point,60
",",",",p
penser,penser,14
à,à,81
eux,ils,51
",",",",p
penser,penser,14
à,à,81
des,de,81
des,le,71
choses,chose,22
plus,plus,60
indifférentes,indifférent,30
",",",",p
mais,mais,82
auprès,auprès,60
d',de,81
eux,ils,51
",",",",p
tout,tout,52
est,être,17
égal,égal,30
/.,/.,P
“,“,p
j',je,51
aimais,aimer,18
/.,/.,P
depuis,depuis,81
trois,trois,72
mois,mois,21
",",",",p
nous,nous,51
avions,avoir,18
fait,faire,12
ensemble,ensemble,60
de,de,81
longues,long,30
promenades,promenade,22
;,;,p
j',je,51
étais,être,18
initié,initier,12
dans,dans,81
les,le,71
mystères,mystère,21
de,de,81
sa,son,73
charité,charité,22
modeste,modeste,30
;,;,p
nous,nous,51
traversions,traverser,18
les,le,71
sombres,sombre,30
allées,allée,22
",",",",p
elle,il,51
sur,sur,81
un,un,71
petit,petit,30
cheval,cheval,21
",",",",p
moi,moi,51
à,à,81
pied,pied,21
",",",",p
une,un,71
baguette,baguette,22
à,à,81
la,le,71
main,main,22
;,;,p
ainsi,ainsi,60
",",",",p
moitié,moitié,22
contant,conter,13
",",",",p
moitié,moitié,22
rêvant,rêver,13
",",",",p
nous,nous,51
allions,aller,18
frapper,frapper,14
aux,à,81
aux,le,71
chaumières,chaumière,22
;,;,p
il,il,51
y,y,52
avait,avoir,18
un,un,71
petit,petit,30
banc,banc,21
à,à,81
l',le,71
entrée,entrée,22
du,de,81
du,le,71
bois,bois,21
",",",",p
où,où,60
j',je,51
allais,aller,18
l',le,52
attendre,attendre,14
après,après,81
dîner,dîner,21
;,;,p
nous,nous,51
nous,nous,51
trouvions,trouver,18
de,de,81
cette,ce,74
sorte,sorte,22
comme,comme,83
par,par,81
hasard,hasard,21
et,et,82
régulièrement,régulièrement,60
/.,/.,P
le,le,71
matin,matin,21
",",",",p
la,le,71
musique,musique,22
",",",",p
la,le,71
lecture,lecture,22
;,;,p
le,le,71
soir,soir,21
",",",",p
avec,avec,81
la,le,71
tante,tante,22
",",",",p
la,le,71
partie,partie,22
de,de,81
cartes,carte,22
au,à,81
au,le,71
coin,coin,21
du,de,81
du,le,71
feu,feu,21
",",",",p
comme,comme,83
autrefois,autrefois,60
mon,mon,73
père,père,21
;,;,p
et,et,82
toujours,toujours,60
",",",",p
en,en,81
tout,tout,75
lieu,lieu,21
",",",",p
elle,il,51
près,près,81
de,de,81
là,là,60
",",",",p
elle,il,51
souriant,sourire,13
",",",",p
et,et,82
sa,son,73
présence,présence,22
remplissant,remplir,13
mon,mon,73
coeur,coeur,21
/.,/.,P
par,par,81
quel,quel,75
chemin,chemin,21
",",",",p
ô,oh,93
providence,providence,22
!,!,p
m',je,51
avez,avoir,17
vous,vous,51
conduit,conduire,12
au,à,81
au,le,71
malheur,malheur,21
?,?,p
quelle,quel,75
destinée,destinée,22
irrévocable,irrévocable,30
étais,être,18
je,je,51
donc,donc,82
chargé,charger,12
d',de,81
accomplir,accomplir,14
/?,/?,P
quoi,quoi,52
!,!,p
une,un,71
vie,vie,22
si,si,60
libre,libre,30
",",",",p
une,un,71
intimité,intimité,22
si,si,60
charmante,charmant,30
",",",",p
tant,tant,60
de,de,81
repos,repos,21
",",",",p
l',le,71
espérance,espérance,22
naissante,naissant,30
!,!,p
o,oh,93
dieu,dieu,21
!,!,p
de,de,81
quoi,quoi,52
se,se,51
plaignent,plaindre,17
les,le,71
hommes,homme,21
?,?,p
qu',que,52
y,y,52
a,avoir,17
t,t,94
il,il,51
de,de,81
plus,plus,60
doux,doux,30
que,que,83
d',de,81
aimer,aimer,14
/?,/?,P
vivre,vivre,14
",",",",p
oui,oui,60
",",",",p
sentir,sentir,14
fortement,fortement,60
",",",",p
profondément,profondément,60
",",",",p
qu',que,83
on,on,51
existe,exister,17
",",",",p
qu',que,83
on,on,51
est,être,17
homme,homme,21
",",",",p
créé,créé,31
par,par,81
dieu,dieu,21
",",",",p
voilà,voilà,81
le,le,71
premier,premier,72
",",",",p
le,le,71
plus,plus,60
grand,grand,30
bienfait,bienfait,21
de,de,81
l',le,71
amour,amour,21
/.,/.,P
il,il,51
n',ne,60
en,en,52
faut,falloir,17
pas,pas,60
douter,douter,14
",",",",p
l',le,71
amour,amour,21
est,être,17
un,un,71
mystère,mystère,21
inexplicable,inexplicable,30
/.,/.,P
de,de,81
quelques,quelque,75
chaînes,chaîne,22
",",",",p
de,de,81
quelques,quelque,75
misères,misère,22
",",",",p
et,et,82
je,je,51
dirai,dire,15
même,même,60
de,de,81
quelques,quelque,75
dégoûts,dégoût,21
que,que,52
le,le,71
monde,monde,21
l',le,52
ait,avoir,17
entouré,entourer,12
",",",",p
tout,tout,52
enseveli,ensevelir,12
qu',que,83
il,il,51
y,y,52
est,être,17
sous,sous,81
une,un,71
montagne,montagne,22
de,de,81
préjugés,préjugé,21
qui,qui,52
le,le,52
dénaturent,dénaturer,17
et,et,82
le,le,52
dépravent,dépraver,17
",",",",p
à,à,81
travers,travers,21
toutes,tout,75
les,le,71
ordures,ordure,22
dans,dans,81
lesquelles,lequel,52
on,on,51
le,le,52
traîne,traîner,17
",",",",p
l',le,71
amour,amour,21
",",",",p
le,le,71
vivace,vivace,30
et,et,82
fatal,fatal,30
amour,amour,21
n',ne,60
en,en,52
est,être,17
pas,pas,60
moins,moins,60
une,un,71
loi,loi,22
céleste,céleste,30
aussi,aussi,60
puissante,puissant,30
et,et,82
aussi,aussi,60
incompréhensible,incompréhensible,30
que,que,83
celle,celui,52
qui,qui,52
suspend,suspendre,17
le,le,71
soleil,soleil,21
dans,dans,81
les,le,71
cieux,ciel,21
/.,/.,P
qu',que,52
est,être,17
ce,ce,52
que,que,52
c',ce,52
est,être,17
",",",",p
je,je,51
vous,vous,51
le,le,52
demande,demander,17
",",",",p
qu',que,83
un,un,71
lien,lien,21
plus,plus,60
dur,dur,30
",",",",p
plus,plus,60
solide,solide,30
que,que,83
le,le,71
fer,fer,21
",",",",p
et,et,82
qu',que,52
on,on,51
ne,ne,60
peut,pouvoir,17
ni,ni,82
voir,voir,14
ni,ni,82
toucher,toucher,14
/?,/?,P
qu',que,52
est,être,17
ce,ce,52
que,que,52
c',ce,52
est,être,17
que,que,83
de,de,81
rencontrer,rencontrer,14
une,un,71
femme,femme,22
",",",",p
de,de,81
la,le,52
regarder,regarder,14
",",",",p
de,de,81
lui,lui,51
dire,dire,14
un,un,71
mot,mot,21
",",",",p
et,et,82
de,de,81
ne,ne,60
plus,plus,60
jamais,jamais,60
l',le,52
oublier,oublier,14
/?,/?,P
pourquoi,pourquoi,60
celle-là,celui-là,52
plutôt,plutôt,60
qu',que,83
une,un,71
autre,autre,52
/?,/?,P
invoquez,invoquer,17
la,le,71
raison,raison,22
",",",",p
l',le,71
habitude,habitude,22
",",",",p
les,le,71
sens,sens,21
",",",",p
la,le,71
tête,tête,22
",",",",p
le,le,71
coeur,coeur,21
",",",",p
et,et,82
expliquez,expliquer,17
",",",",p
si,si,83
vous,vous,51
pouvez,pouvoir,17
/.,/.,P
vous,vous,51
ne,ne,60
trouverez,trouver,15
que,que,83
deux,deux,72
corps,corps,21
",",",",p
un,un,52
là,là,60
",",",",p
l',le,71
autre,autre,52
ici,ici,60
",",",",p
et,et,82
entre,entre,81
eux,ils,51
",",",",p
quoi,quoi,52
?,?,p
l',le,71
air,air,21
",",",",p
l',le,71
espace,espace,21
",",",",p
l',le,71
immensité,immensité,22
/.,/.,P
o,oh,93
insensés,insensé,30
qui,qui,52
vous,vous,51
croyez,croire,17
des,de,81
des,le,71
hommes,homme,21
et,et,82
qui,qui,52
osez,oser,17
raisonner,raisonner,14
de,de,81
l',le,71
amour,amour,21
!,!,p
l',le,52
avez,avoir,17
vous,vous,51
vu,voir,12
pour,pour,81
en,en,52
parler,parler,14
/?,/?,P
non,non,60
",",",",p
vous,vous,51
l',le,52
avez,avoir,17
senti,sentir,12
/.,/.,P
vous,vous,51
avez,avoir,17
échangé,échanger,12
un,un,71
regard,regard,21
avec,avec,81
un,un,71
être,être,21
inconnu,inconnu,30
qui,qui,52
passait,passer,18
",",",",p
et,et,82
tout,tout,60
à,à,81
coup,coup,21
il,il,51
s',se,51
est,être,17
envolé,envoler,12
de,de,81
vous,vous,51
je,je,51
ne,ne,60
sais,savoir,17
quoi,quoi,52
qui,qui,52
n',ne,60
a,avoir,17
pas,pas,60
de,de,81
nom,nom,21
/.,/.,P
vous,vous,51
avez,avoir,17
pris,prendre,12
racine,racine,22
en,en,81
terre,terre,22
",",",",p
comme,comme,83
le,le,71
grain,grain,21
caché,caché,31
dans,dans,81
l',le,71
herbe,herbe,22
qui,qui,52
sent,sentir,17
que,que,83
la,le,71
vie,vie,22
le,le,52
soulève,soulever,17
",",",",p
et,et,82
qu',que,52
il,il,51
va,aller,17
devenir,devenir,14
une,un,71
moisson,moisson,22
/.,/.,P
nous,nous,51
étions,être,18
seuls,seul,30
",",",",p
la,le,71
croisée,croisée,22
ouverte,ouvert,31
;,;,p
il,il,51
y,y,52
avait,avoir,18
au,à,81
au,le,71
fond,fond,21
du,de,81
du,le,71
jardin,jardin,21
une,un,71
petite,petit,30
fontaine,fontaine,22
dont,dont,52
le,le,71
bruit,bruit,21
arrivait,arriver,18
jusqu',jusque,81
à,à,81
nous,nous,51
/.,/.,P
o,oh,93
dieu,dieu,21
!,!,p
je,je,51
voudrais,vouloir,16
compter,compter,14
goutte,goutte,22
par,par,81
goutte,goutte,22
toute,tout,75
l',le,71
eau,eau,22
qui,qui,52
en,en,52
est,être,17
tombée,tomber,12
tandis que,tandis que,83
nous,nous,51
étions,être,18
assis,asseoir,12
",",",",p
qu',que,83
elle,il,51
parlait,parler,18
et,et,82
que,que,83
je,je,51
lui,lui,51
répondais,répondre,18
/.,/.,P
c',ce,52
est,être,17
là,là,60
que,que,83
je,je,51
m',je,51
enivrai,enivrer,19
d',de,81
elle,il,51
jusqu',jusque,81
à,à,81
en,en,52
perdre,perdre,14
la,le,71
raison,raison,22
/.,/.,P
on,on,51
dit,dire,17
qu',que,83
il,il,51
n',ne,60
y,y,52
a,avoir,17
rien,rien,52
de,de,81
si,si,60
rapide,rapide,30
qu',que,83
un,un,71
sentiment,sentiment,21
d',de,81
antipathie,antipathie,22
;,;,p
mais,mais,82
je,je,51
crois,croire,17
qu',que,83
on,on,51
devine,deviner,17
plus,plus,60
vite,vite,60
encore,encore,60
qu',que,83
on,on,51
se,se,51
comprend,comprendre,17
et,et,82
qu',que,83
on,on,51
va,aller,17
s',se,51
aimer,aimer,14
/.,/.,P
de,de,81
quel,quel,75
prix,prix,21
sont,être,17
alors,alors,60
les,le,71
moindres,moindre,30
mots,mot,21
/!,/!,P
qu',que,52
importe,importer,17
de,de,81
quoi,quoi,52
parlent,parler,17
les,le,71
lèvres,lèvre,22
",",",",p
lorsqu',lorsque,83
on,on,51
écoute,écouter,17
les,le,71
coeurs,coeur,21
se,se,51
répondre,répondre,14
/?,/?,P
quelle,quel,75
douceur,douceur,22
infinie,infini,30
dans,dans,81
les,le,71
premiers,premier,72
regards,regard,21
près,près,81
d',de,81
une,un,71
femme,femme,22
qui,qui,52
vous,vous,51
attire,attirer,17
/!,/!,P
d'abord,d'abord,60
il,il,51
semble,sembler,17
que,que,83
tout,tout,52
ce,ce,52
qu',que,52
on,on,51
dit,dire,17
en,en,81
présence,présence,22
l',le,71
un,un,52
de,de,81
l',le,71
autre,autre,52
soit,être,17
comme,comme,83
des,de,81
des,le,71
essais,essai,21
timides,timide,30
",",",",p
comme,comme,83
de,de,81
légères,léger,30
épreuves,épreuve,22
;,;,p
bientôt,bientôt,60
naît,naître,17
une,un,71
joie,joie,22
étrange,étrange,30
;,;,p
on,on,51
sent,sentir,17
qu',que,83
on,on,51
a,avoir,17
frappé,frapper,12
un,un,71
écho,écho,21
;,;,p
on,on,51
s',se,51
anime,animer,17
d',de,81
une,un,71
double,double,30
vie,vie,22
/.,/.,P
quel,quel,75
toucher,toucher,21
!,!,p
quelle,quel,75
approche,approche,22
/!,/!,P
et,et,82
quand,quand,83
on,on,51
est,être,17
sûr,sûr,30
de,de,81
s',se,51
aimer,aimer,14
",",",",p
quand,quand,83
on,on,51
a,avoir,17
reconnu,reconnaître,12
dans,dans,81
l',le,71
être,être,21
chéri,chéri,31
la,le,71
fraternité,fraternité,22
qu',que,52
on,on,51
y,y,52
cherchait,chercher,18
",",",",p
quelle,quel,75
sérénité,sérénité,22
dans,dans,81
l',le,71
âme,âme,22
/!,/!,P
la,le,71
parole,parole,22
expire,expirer,17
d',de,81
elle-même,lui-même,51
;,;,p
on,on,51
sait,savoir,17
d',de,81
avance,avance,22
ce,ce,52
qu',que,52
on,on,51
va,aller,17
se,se,51
dire,dire,14
;,;,p
les,le,71
âmes,âme,22
s',se,51
entendent,entendre,17
",",",",p
les,le,71
lèvres,lèvre,22
se,se,51
taisent,taire,17
/.,/.,P
oh,oh,93
!,!,p
quel,quel,75
silence,silence,21
!,!,p
quel,quel,75
oubli,oubli,21
de,de,81
tout,tout,52
/!,/!,P
quoique,quoique,83
mon,mon,73
amour,amour,21
",",",",p
qui,qui,52
avait,avoir,18
commencé,commencer,12
dès,dès,81
le,le,71
premier,premier,72
jour,jour,21
",",",",p
eût,avoir,19
augmenté,augmenter,12
jusqu',jusque,81
à,à,81
l',le,71
excès,excès,21
",",",",p
le,le,71
respect,respect,21
que,que,52
j',je,51
avais,avoir,18
pour,pour,81
madame,madame,22
Pierson,Pierson,20
m',je,51
avait,avoir,18
pourtant,pourtant,60
fermé,fermer,12
la,le,71
bouche,bouche,22
/.,/.,P
si,si,83
elle,il,51
m',je,51
eût,avoir,19
admis,admettre,12
moins,moins,60
facilement,facilement,60
dans,dans,81
son,son,73
intimité,intimité,22
",",",",p
j',je,51
eusse,avoir,18
peut-être,peut-être,60
été,être,12
plus,plus,60
hardi,hardi,30
",",",",p
car,car,82
elle,il,51
avait,avoir,18
produit,produire,12
sur,sur,81
moi,moi,51
une,un,71
impression,impression,22
si,si,60
violente,violent,30
que,que,83
je,je,51
ne,ne,60
la,le,52
quittais,quitter,18
jamais,jamais,60
sans,sans,81
des,de,81
des,le,71
transports,transport,21
d',de,81
amour,amour,21
/.,/.,P
mais,mais,82
il,il,51
y,y,52
avait,avoir,18
dans,dans,81
sa,son,73
franchise,franchise,22
même,même,30
et,et,82
dans,dans,81
la,le,71
confiance,confiance,22
qu',que,52
elle,il,51
me,je,51
témoignait,témoigner,18
",",",",p
quelque,quelque,75
chose,chose,22
qui,qui,52
m',je,51
arrêtait,arrêter,18
;,;,p
en,en,81
outre,outre,81
c',ce,52
était,être,18
sur,sur,81
le,le,71
nom,nom,21
de,de,81
mon,mon,73
père,père,21
qu',que,52
elle,il,51
m',je,51
avait,avoir,18
traité,traiter,12
en,en,81
ami,ami,21
/.,/.,P
cette,ce,74
considération,considération,22
me,je,51
rendait,rendre,18
encore,encore,60
plus,plus,60
respectueux,respectueux,30
auprès,auprès,60
d',de,81
elle,il,51
;,;,p
je,je,51
tenais,tenir,18
à,à,81
me,je,51
montrer,montrer,14
digne,digne,30
de,de,81
ce,ce,74
nom,nom,21
/.,/.,P
“,“,p
parler,parler,14
d',de,81
amour,amour,21
",",",",p
dit,dire,19
on,on,51
",",",",p
c',ce,52
est,être,17
faire,faire,14
l',le,71
amour,amour,21
/.,/.,P
“,“,p
nous,nous,51
en,en,52
parlions,parler,18
rarement,rarement,60
/.,/.,P
toutes,tout,75
les,le,71
fois,fois,22
qu',que,83
il,il,51
m',je,51
arrivait,arriver,18
de,de,81
toucher,toucher,14
ce,ce,74
sujet,sujet,21
en,en,81
passant,passer,13
",",",",p
madame,madame,22
Pierson,Pierson,20
répondait,répondre,18
à,à,81
peine,peine,22
et,et,82
parlait,parler,18
d',de,81
autre,autre,75
chose,chose,22
/.,/.,P
je,je,51
ne,ne,60
démêlais,démêler,18
pas,pas,60
par,par,81
quel,quel,75
motif,motif,21
",",",",p
car,car,82
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
pruderie,pruderie,22
;,;,p
mais,mais,82
il,il,51
me,je,51
semblait,sembler,18
quelquefois,quelquefois,60
que,que,83
son,son,73
visage,visage,21
prenait,prendre,18
",",",",p
dans,dans,81
ces,ce,74
occasions,occasion,22
",",",",p
une,un,71
légère,léger,30
teinte,teinte,22
de,de,81
sévérité,sévérité,22
",",",",p
et,et,82
même,même,60
de,de,81
souffrance,souffrance,22
/.,/.,P
comme,comme,83
je,je,51
ne,ne,60
lui,lui,51
avais,avoir,18
jamais,jamais,60
fait,faire,12
de,de,81
question,question,22
sur,sur,81
sa,son,73
vie,vie,22
passée,passé,31
",",",",p
et,et,82
que,que,52
je,je,51
ne,ne,60
voulais,vouloir,18
point,point,60
lui,lui,51
en,en,52
faire,faire,14
",",",",p
je,je,51
ne,ne,60
lui,lui,51
en,en,52
demandais,demander,18
pas,pas,60
plus,plus,60
long,long,60
/.,/.,P
le,le,71
dimanche,dimanche,21
",",",",p
on,on,51
dansait,danser,18
au,à,81
au,le,71
village,village,21
;,;,p
elle,il,51
y,y,52
allait,aller,18
presque,presque,60
toujours,toujours,60
/.,/.,P
ces,ce,74
jours,jour,21
là,là,60
",",",",p
sa,son,73
toilette,toilette,22
était,être,18
plus,plus,60
élégante,élégant,30
",",",",p
quoique,quoique,83
toujours,toujours,60
simple,simple,30
;,;,p
c',ce,52
était,être,18
une,un,71
fleur,fleur,22
dans,dans,81
les,le,71
cheveux,cheveu,21
",",",",p
un,un,71
ruban,ruban,21
plus,plus,60
gai,gai,30
",",",",p
la,le,71
moindre,moindre,30
bagatelle,bagatelle,22
;,;,p
mais,mais,82
il,il,51
y,y,52
avait,avoir,18
dans,dans,81
toute,tout,75
sa,son,73
personne,personne,22
un,un,71
air,air,21
plus,plus,60
jeune,jeune,30
",",",",p
plus,plus,60
dégagé,dégager,12
/.,/.,P
la,le,71
danse,danse,22
",",",",p
qu',que,52
elle,il,51
aimait,aimer,18
beaucoup,beaucoup,60
pour,pour,81
elle-même,lui-même,51
",",",",p
et,et,82
franchement,franchement,60
",",",",p
comme,comme,83
un,un,71
exercice,exercice,21
amusant,amusant,30
",",",",p
lui,lui,51
inspirait,inspirer,18
une,un,71
gaieté,gaieté,22
folâtre,folâtre,30
;,;,p
elle,il,51
avait,avoir,18
sa,son,73
place,place,22
sous,sous,81
le,le,71
petit,petit,30
orchestre,orchestre,21
de,de,81
l',le,71
endroit,endroit,21
;,;,p
elle,il,51
y,y,52
arrivait,arriver,18
en,en,81
sautant,sauter,13
",",",",p
riant,rire,13
avec,avec,81
les,le,71
filles,fille,22
de,de,81
campagne,campagne,22
",",",",p
qui,qui,52
la,le,52
connaissaient,connaître,18
presque,presque,60
toutes,tout,52
/.,/.,P
une,un,71
fois,fois,22
lancée,lancé,31
",",",",p
elle,il,51
ne,ne,60
s',se,51
arrêtait,arrêter,18
plus,plus,60
/.,/.,P
alors,alors,60
il,il,51
me,je,51
semblait,sembler,18
qu',que,83
elle,il,51
me,je,51
parlait,parler,18
avec,avec,81
plus,plus,60
de,de,81
liberté,liberté,22
qu',que,83
à,à,81
l',le,71
ordinaire,ordinaire,22
;,;,p
il,il,51
y,y,52
avait,avoir,18
entre,entre,81
nous,nous,51
une,un,71
familiarité,familiarité,22
inusitée,inusité,30
/.,/.,P
je,je,51
ne,ne,60
dansais,danser,18
pas,pas,60
",",",",p
étant,être,13
encore,encore,60
en,en,81
deuil,deuil,21
",",",",p
mais,mais,82
je,je,51
restais,rester,18
derrière,derrière,81
elle,il,51
",",",",p
et,et,82
",",",",p
la,le,52
voyant,voir,13
si,si,60
bien,bien,60
disposée,disposé,31
",",",",p
j',je,51
avais,avoir,18
éprouvé,éprouver,12
plus,plus,60
d',de,81
une,un,71
fois,fois,22
la,le,71
tentation,tentation,22
de,de,81
lui,lui,51
avouer,avouer,14
que,que,83
je,je,51
l',le,52
aimais,aimer,18
/.,/.,P
mais,mais,82
je,je,51
ne,ne,60
sais,savoir,17
pourquoi,pourquoi,60
",",",",p
dès,dès,81
que,que,83
j',je,51
y,y,52
pensais,penser,18
",",",",p
je,je,51
me,je,51
sentais,sentir,18
une,un,71
peur,peur,22
invincible,invincible,30
;,;,p
cette,ce,74
seule,seul,30
idée,idée,22
d',de,81
un,un,71
aveu,aveu,21
me,je,51
rendait,rendre,18
tout,tout,60
à,à,81
coup,coup,21
sérieux,sérieux,30
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
entretiens,entretien,21
les,le,71
plus,plus,60
gais,gai,30
/.,/.,P
j',je,51
avais,avoir,18
pensé,penser,12
quelquefois,quelquefois,60
à,à,81
lui,lui,51
écrire,écrire,14
",",",",p
mais,mais,82
je,je,51
brûlais,brûler,18
mes,mon,73
lettres,lettre,22
dès,dès,81
qu',que,83
elles,ils,51
étaient,être,18
à,à,81
moitié,moitié,22
/.,/.,P
ce,ce,74
soir,soir,21
là,là,60
",",",",p
j',je,51
avais,avoir,18
dîné,dîner,12
chez,chez,81
elle,il,51
;,;,p
je,je,51
regardais,regarder,18
toute,tout,75
cette,ce,74
tranquillité,tranquillité,22
de,de,81
son,son,73
intérieur,intérieur,21
;,;,p
je,je,51
pensais,penser,18
à,à,81
la,le,71
vie,vie,22
calme,calme,30
que,que,52
je,je,51
menais,mener,18
",",",",p
à,à,81
mon,mon,73
bonheur,bonheur,21
depuis,depuis,81
que,que,83
je,je,51
la,le,52
connaissais,connaître,18
",",",",p
et,et,82
je,je,51
me,je,51
disais,dire,18
:,:,p
pourquoi,pourquoi,60
davantage,davantage,60
?,?,p
cela,cela,52
ne,ne,60
te,tu,51
suffit,suffire,17
pas,pas,60
/?,/?,P
qui,qui,52
sait,savoir,17
/?,/?,P
dieu,dieu,21
n',ne,60
en,en,52
a,avoir,17
peut-être,peut-être,60
pas,pas,60
fait,faire,12
plus,plus,60
pour,pour,81
toi,toi,51
/.,/.,P
si,si,83
je,je,51
lui,lui,51
disais,dire,18
que,que,83
je,je,51
l',le,52
aime,aimer,17
",",",",p
qu',que,52
en,en,52
arriverait,arriver,16
il,il,51
?,?,p
elle,il,51
me,je,51
défendrait,défendre,16
peut-être,peut-être,60
de,de,81
la,le,52
voir,voir,14
/.,/.,P
la,le,52
rendrais,rendre,16
je,je,51
",",",",p
en,en,81
le,le,71
lui,lui,51
disant,dire,13
",",",",p
plus,plus,60
heureuse,heureux,30
qu',que,83
elle,il,51
ne,ne,60
l',le,52
est,être,17
aujourd'hui,aujourd'hui,60
?,?,p
en,en,52
serais,être,16
je,je,51
plus,plus,60
heureux,heureux,30
moi-même,moi-même,51
/?,/?,P
j',je,51
étais,être,18
appuyé,appuyer,12
sur,sur,81
le,le,71
piano,piano,21
",",",",p
et,et,82
",",",",p
comme,comme,83
je,je,51
faisais,faire,18
ces,ce,74
réflexions,réflexion,22
",",",",p
la,le,71
tristesse,tristesse,22
s',se,51
emparait,emparer,18
de,de,81
moi,moi,51
/.,/.,P
le,le,71
jour,jour,21
baissait,baisser,18
",",",",p
elle,il,51
alluma,allumer,19
une,un,71
bougie,bougie,22
;,;,p
en,en,81
revenant,revenir,13
s',se,51
asseoir,asseoir,14
",",",",p
elle,il,51
vit,voir,19
qu',que,83
une,un,71
larme,larme,22
s',se,51
était,être,18
échappée,échapper,12
de,de,81
mes,mon,73
yeux,oeil,21
/.,/.,P
-,-,p
qu',que,52
avez,avoir,17
vous,vous,51
?,?,p
dit,dire,19
elle,il,51
/.,/.,P
je,je,51
me,je,51
détournai,détourner,19
/.,/.,P
je,je,51
cherchais,chercher,18
une,un,71
excuse,excuse,22
et,et,82
n',ne,60
en,en,52
trouvais,trouver,18
point,point,60
;,;,p
je,je,51
craignais,craindre,18
de,de,81
rencontrer,rencontrer,14
ses,son,73
regards,regard,21
/.,/.,P
je,je,51
me,je,51
levai,lever,19
et,et,82
fus,être,19
à,à,81
la,le,71
croisée,croisée,22
/.,/.,P
l',le,71
air,air,21
était,être,18
doux,doux,30
;,;,p
la,le,71
lune,lune,22
se,se,51
levait,lever,18
derrière,derrière,81
l',le,71
allée,allée,22
des,de,81
des,le,71
tilleuls,tilleul,21
",",",",p
celle,celui,52
où,où,60
je,je,51
l',le,52
avais,avoir,18
vue,voir,12
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
/.,/.,P
je,je,51
tombai,tomber,19
dans,dans,81
une,un,71
rêverie,rêverie,22
profonde,profond,30
;,;,p
j',je,51
oubliai,oublier,19
sa,son,73
présence,présence,22
même,même,30
",",",",p
et,et,82
",",",",p
étendant,étendre,13
les,le,71
bras,bras,21
vers,vers,81
le,le,71
ciel,ciel,21
",",",",p
un,un,71
sanglot,sanglot,21
sortit,sortir,19
de,de,81
mon,mon,73
coeur,coeur,21
/.,/.,P
elle,il,51
s',se,51
était,être,18
levée,lever,12
",",",",p
et,et,82
elle,il,51
était,être,18
derrière,derrière,81
moi,moi,51
/.,/.,P
-,-,p
qu',que,52
est,être,17
ce,ce,52
donc,donc,82
?,?,p
demanda,demander,19
t,t,94
elle,il,51
encore,encore,60
/.,/.,P
je,je,51
lui,lui,51
répondis,répondre,19
que,que,83
la,le,71
mort,mort,22
de,de,81
mon,mon,73
père,père,21
s',se,51
était,être,18
représentée,représenter,12
à,à,81
ma,mon,73
pensée,pensée,22
à,à,81
la,le,71
vue,vue,22
de,de,81
cette,ce,74
vallée,vallée,22
solitaire,solitaire,30
;,;,p
je,je,51
pris,prendre,19
congé,congé,21
d',de,81
elle,il,51
",",",",p
et,et,82
sortis,sortir,19
/.,/.,P
pourquoi,pourquoi,60
j',je,51
étais,être,18
déterminé,déterminer,12
à,à,81
taire,taire,14
mon,mon,73
amour,amour,21
",",",",p
je,je,51
ne,ne,60
pouvais,pouvoir,18
m',je,51
en,en,52
rendre,rendre,14
compte,compte,21
/.,/.,P
cependant,cependant,82
",",",",p
au,à,81
au,le,71
lieu,lieu,21
de,de,81
rentrer,rentrer,14
chez,chez,81
moi,moi,51
",",",",p
je,je,51
commençai,commencer,19
à,à,81
errer,errer,14
comme,comme,83
un,un,71
fou,fou,21
dans,dans,81
le,le,71
village,village,21
et,et,82
dans,dans,81
le,le,71
bois,bois,21
/.,/.,P
je,je,51
m',je,51
asseyais,asseoir,18
là,là,60
où,où,60
je,je,51
trouvais,trouver,18
un,un,71
banc,banc,21
",",",",p
puis,puis,60
je,je,51
me,je,51
levais,lever,18
précipitamment,précipitamment,60
/.,/.,P
vers,vers,81
minuit,minuit,21
",",",",p
je,je,51
m',je,51
approchai,approcher,19
de,de,81
la,le,71
maison,maison,22
de,de,81
madame,madame,22
Pierson,Pierson,20
;,;,p
elle,il,51
était,être,18
à,à,81
la,le,71
fenêtre,fenêtre,22
/.,/.,P
en,en,81
la,le,52
voyant,voir,13
",",",",p
je,je,51
me,je,51
sentis,sentir,19
trembler,trembler,14
;,;,p
je,je,51
voulus,vouloir,19
retourner,retourner,14
sur,sur,81
mes,mon,73
pas,pas,21
;,;,p
j',je,51
étais,être,18
comme,comme,83
fasciné,fasciner,12
;,;,p
je,je,51
vins,venir,19
lentement,lentement,60
et,et,82
tristement,tristement,60
m',je,51
asseoir,asseoir,14
au-dessous,au-dessous,60
d',de,81
elle,il,51
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
si,si,83
elle,il,51
