11606
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante et unième extrait>,<>,<>
avez,avoir,17
qu',que,83
à,à,81
demander,demander,14
/.,/.,P
ah,ah,93
",",",",p
bien,bien,60
oui,oui,60
",",",",p
demander,demander,14
!,!,p
que,que,83
je,je,51
suis,être,17
bête,bête,30
/!,/!,P
Paris,Paris,20
",",",",p
c',ce,52
est,être,17
un,un,71
gouffre,gouffre,21
/.,/.,P
qui,qui,52
est,être,17
ce,ce,52
qui,qui,52
connaît,connaître,17
le,le,71
père,père,21
Champmathieu,Champmathieu,20
/?,/?,P
pourtant,pourtant,60
je,je,51
vous,vous,51
dis,dire,17
monsieur,monsieur,21
Baloup,Baloup,20
/.,/.,P
voyez,voir,17
chez,chez,81
monsieur,monsieur,21
Baloup,Baloup,20
/.,/.,P
après,après,81
ça,ça,52
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
ce,ce,52
qu',que,52
on,on,51
me,je,51
veut,vouloir,17
/.,/.,P
l',le,71
homme,homme,21
se,se,51
tut,taire,19
",",",",p
et,et,82
resta,rester,19
debout,debout,60
/.,/.,P
il,il,51
avait,avoir,18
dit,dire,12
ces,ce,74
choses,chose,22
d',de,81
une,un,71
voix,voix,22
haute,haut,30
",",",",p
rapide,rapide,30
",",",",p
rauque,rauque,30
",",",",p
dure,dur,30
et,et,82
enrouée,enroué,31
",",",",p
avec,avec,81
une,un,71
sorte,sorte,22
de,de,81
naïveté,naïveté,22
irritée,irrité,31
et,et,82
sauvage,sauvage,30
/.,/.,P
une,un,71
fois,fois,22
il,il,51
s',se,51
était,être,18
interrompu,interrompre,12
pour,pour,81
saluer,saluer,14
quelqu'un,quelqu'un,52
dans,dans,81
la,le,71
foule,foule,22
/.,/.,P
les,le,71
espèces,espèce,22
d',de,81
affirmations,affirmation,22
qu',que,52
il,il,51
semblait,sembler,18
jeter,jeter,14
au,à,81
au,le,71
hasard,hasard,21
devant,devant,81
lui,lui,51
",",",",p
lui,lui,51
venaient,venir,18
comme,comme,83
des,de,81
des,le,71
hoquets,hoquet,21
",",",",p
et,et,82
il,il,51
ajoutait,ajouter,18
à,à,81
chacune,chacun,52
d',de,81
elles,ils,51
le,le,71
geste,geste,21
d',de,81
un,un,71
bûcheron,bûcheron,21
qui,qui,52
fend,fendre,17
du,de,81
du,le,71
bois,bois,21
/.,/.,P
quand,quand,83
il,il,51
eut,avoir,19
fini,finir,12
",",",",p
l',le,71
auditoire,auditoire,21
éclata,éclater,19
de,de,81
rire,rire,21
/.,/.,P
il,il,51
regarda,regarder,19
le,le,71
public,public,30
",",",",p
et,et,82
voyant,voir,13
qu',que,83
on,on,51
riait,rire,18
",",",",p
et,et,82
ne,ne,60
comprenant,comprendre,13
pas,pas,60
",",",",p
il,il,51
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
lui-même,lui-même,51
/.,/.,P
cela,cela,52
était,être,18
sinistre,sinistre,30
/.,/.,P
le,le,71
président,président,21
",",",",p
homme,homme,21
attentif,attentif,30
et,et,82
bienveillant,bienveillant,30
",",",",p
éleva,élever,19
la,le,71
voix,voix,22
/.,/.,P
il,il,51
rappela,rappeler,19
à,à,81
“,“,p
messieurs,monsieur,21
les,le,71
jurés,juré,21
“,“,p
que,que,83
“,“,p
le,le,71
sieur,sieur,21
Baloup,Baloup,20
",",",",p
l',le,71
ancien,ancien,30
maître,maître,21
charron,charron,21
chez,chez,81
lequel,lequel,52
l',le,71
accusé,accusé,21
disait,dire,18
avoir,avoir,14
servi,servir,12
",",",",p
avait,avoir,18
été,être,12
inutilement,inutilement,60
cité,citer,12
/.,/.,P
il,il,51
était,être,18
en,en,81
faillite,faillite,22
",",",",p
et,et,82
n',ne,60
avait,avoir,18
pu,pouvoir,12
être,être,14
retrouvé,retrouver,12
/.,/.,P
“,“,p
puis,puis,60
se,se,51
tournant,tourner,13
vers,vers,81
l',le,71
accusé,accusé,21
",",",",p
il,il,51
l',le,52
engagea,engager,19
à,à,81
écouter,écouter,14
ce,ce,52
qu',que,52
il,il,51
allait,aller,18
lui,lui,51
dire,dire,14
et,et,82
ajouta,ajouter,19
:,:,p
-,-,p
vous,vous,51
êtes,être,17
dans,dans,81
une,un,71
situation,situation,22
où,où,60
il,il,51
faut,falloir,17
réfléchir,réfléchir,14
/.,/.,P
les,le,71
présomptions,présomption,22
les,le,71
plus,plus,60
graves,grave,30
pèsent,peser,17
sur,sur,81
vous,vous,51
et,et,82
peuvent,pouvoir,17
entraîner,entraîner,14
des,de,81
des,le,71
conséquences,conséquence,22
capitales,capital,30
/.,/.,P
accusé,accusé,21
",",",",p
dans,dans,81
votre,votre,73
intérêt,intérêt,21
",",",",p
je,je,51
vous,vous,51
interpelle,interpeller,17
une,un,71
dernière,dernier,30
fois,fois,22
",",",",p
expliquez,expliquer,17
vous,vous,51
clairement,clairement,60
sur,sur,81
ces,ce,74
deux,deux,72
faits,fait,21
:,:,p
-,-,p
premièrement,premièrement,60
",",",",p
avez,avoir,17
vous,vous,51
",",",",p
oui,oui,60
ou,ou,82
non,non,60
",",",",p
franchi,franchir,12
le,le,71
mur,mur,21
du,de,81
du,le,71
clos,clos,21
Pierron,Pierron,20
",",",",p
cassé,casser,12
la,le,71
branche,branche,22
et,et,82
volé,volé,31
les,le,71
pommes,pomme,22
",",",",p
c'est-à-dire,c'est-à-dire,91
commis,commettre,19
le,le,71
crime,crime,21
de,de,81
vol,vol,21
avec,avec,81
escalade,escalade,22
/?,/?,P
deuxièmement,deuxièmement,60
",",",",p
oui,oui,60
ou,ou,82
non,non,60
",",",",p
êtes,être,17
vous,vous,51
le,le,71
forçat,forçat,21
libéré,libéré,31
Jean,Jean,20
Valjean,Valjean,20
/?,/?,P
l',le,71
accusé,accusé,21
secoua,secouer,19
la,le,71
tête,tête,22
d',de,81
un,un,71
air,air,21
capable,capable,30
",",",",p
comme,comme,83
un,un,71
homme,homme,21
qui,qui,52
a,avoir,17
bien,bien,60
compris,comprendre,12
et,et,82
qui,qui,52
sait,savoir,17
ce,ce,52
qu',que,52
il,il,51
va,aller,17
répondre,répondre,14
/.,/.,P
il,il,51
ouvrit,ouvrir,19
la,le,71
bouche,bouche,22
",",",",p
se,se,51
tourna,tourner,19
vers,vers,81
le,le,71
président,président,21
et,et,82
dit,dire,19
:,:,p
-,-,p
d'abord,d'abord,60
/…,/…,P
puis,puis,60
il,il,51
regarda,regarder,19
son,son,73
bonnet,bonnet,21
",",",",p
il,il,51
regarda,regarder,19
le,le,71
plafond,plafond,21
",",",",p
et,et,82
se,se,51
tut,taire,19
/.,/.,P
-,-,p
accusé,accusé,31
",",",",p
reprit,reprendre,19
l',le,71
avocat,avocat,21
général,général,30
d',de,81
une,un,71
voix,voix,22
sévère,sévère,30
",",",",p
faites,faire,17
attention,attention,22
/.,/.,P
vous,vous,51
ne,ne,60
répondez,répondre,17
à,à,81
rien,rien,52
de,de,81
ce,ce,52
qu',que,52
on,on,51
vous,vous,51
demande,demander,17
/.,/.,P
votre,votre,73
trouble,trouble,21
vous,vous,51
condamne,condamner,17
/.,/.,P
il,il,51
est,être,17
évident,évident,30
que,que,83
vous,vous,51
ne,ne,60
vous,vous,51
appelez,appeler,17
pas,pas,60
Champmathieu,Champmathieu,20
",",",",p
que,que,52
vous,vous,51
êtes,être,17
le,le,71
forçat,forçat,21
Jean,Jean,20
Valjean,Valjean,20
caché,caché,31
d'abord,d'abord,60
sous,sous,81
le,le,71
nom,nom,21
de,de,81
Jean,Jean,20
Mathieu,Mathieu,20
qui,qui,52
était,être,18
le,le,71
nom,nom,21
de,de,81
sa,son,73
mère,mère,22
",",",",p
que,que,52
vous,vous,51
êtes,être,17
allé,aller,12
en,en,81
Auvergne,Auvergne,20
",",",",p
que,que,52
vous,vous,51
êtes,être,17
né,naître,12
à,à,81
Faverolles,Faverolles,20
où,où,60
vous,vous,51
avez,avoir,17
été,être,12
émondeur,émondeur,21
/.,/.,P
il,il,51
est,être,17
évident,évident,30
que,que,83
vous,vous,51
avez,avoir,17
volé,voler,12
avec,avec,81
escalade,escalade,22
des,de,81
des,le,71
pommes,pomme,22
mûres,mûr,30
dans,dans,81
le,le,71
clos,clos,21
Pierron,Pierron,20
/.,/.,P
messieurs,monsieur,21
les,le,71
jurés,juré,21
apprécieront,apprécier,15
/.,/.,P
l',le,71
accusé,accusé,21
avait,avoir,18
fini,finir,12
par,par,81
se,se,51
rasseoir,rasseoir,14
;,;,p
il,il,51
se,se,51
leva,lever,19
brusquement,brusquement,60
quand,quand,83
l',le,71
avocat,avocat,21
général,général,30
eut,avoir,19
fini,finir,12
",",",",p
et,et,82
s',se,51
écria,écrier,19
:,:,p
-,-,p
vous,vous,51
êtes,être,17
très,très,60
méchant,méchant,30
",",",",p
vous,vous,51
/!,/!,P
voilà,voilà,81
ce,ce,52
que,que,52
je,je,51
voulais,vouloir,18
dire,dire,14
/.,/.,P
je,je,51
ne,ne,60
trouvais,trouver,18
pas,pas,60
d'abord,d'abord,60
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
rien,rien,52
volé,voler,12
/.,/.,P
je,je,51
suis,être,17
un,un,71
homme,homme,21
qui,qui,52
ne,ne,60
mange,manger,17
pas,pas,60
tous,tout,75
les,le,71
jours,jour,21
/.,/.,P
je,je,51
venais,venir,18
d',de,81
Ailly,Ailly,20
",",",",p
je,je,51
marchais,marcher,18
dans,dans,81
le,le,71
pays,pays,21
après,après,81
une,un,71
ondée,ondée,22
qui,qui,52
avait,avoir,18
fait,faire,12
la,le,71
campagne,campagne,22
toute,tout,60
jaune,jaune,30
",",",",p
même,même,60
que,que,83
les,le,71
mares,mare,22
débordaient,déborder,18
et,et,82
qu',que,83
il,il,51
ne,ne,60
sortait,sortir,18
plus,plus,60
des,de,81
des,le,71
sables,sable,21
que,que,83
de,de,81
petits,petit,30
brins,brin,21
d',de,81
herbe,herbe,22
au,à,81
au,le,71
bord,bord,21
de,de,81
la,le,71
route,route,22
",",",",p
j',je,51
ai,avoir,17
trouvé,trouver,12
une,un,71
branche,branche,22
cassée,cassé,31
par,par,81
terre,terre,22
où,où,60
il,il,51
y,y,52
avait,avoir,18
des,de,81
des,le,71
pommes,pomme,22
",",",",p
j',je,51
ai,avoir,17
ramassé,ramasser,12
la,le,71
branche,branche,22
sans,sans,81
savoir,savoir,14
qu',que,83
elle,il,51
me,je,51
ferait,faire,16
arriver,arriver,14
de,de,81
la,le,71
peine,peine,22
/.,/.,P
il,il,51
y,y,52
a,avoir,17
trois,trois,72
mois,mois,21
que,que,83
je,je,51
suis,être,17
en,en,81
prison,prison,22
et,et,82
qu',que,83
on,on,51
me,je,51
trimballe,trimballer,17
/.,/.,P
après,après,81
ça,ça,52
",",",",p
je,je,51
ne,ne,60
peux,pouvoir,17
pas,pas,60
dire,dire,14
",",",",p
on,on,51
parle,parler,17
contre,contre,81
moi,moi,51
",",",",p
on,on,51
me,je,51
dit,dire,17
:,:,p
répondez,répondre,17
!,!,p
le,le,71
gendarme,gendarme,21
",",",",p
qui,qui,52
est,être,17
bon,bon,30
enfant,enfant,21
",",",",p
me,je,51
pousse,pousser,17
le,le,71
coude,coude,21
et,et,82
me,je,51
dit,dire,17
tout,tout,60
bas,bas,30
:,:,p
réponds,répondre,17
donc,donc,82
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
expliquer,expliquer,14
",",",",p
moi,moi,51
",",",",p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
fait,faire,12
les,le,71
études,étude,22
",",",",p
je,je,51
suis,être,17
un,un,71
pauvre,pauvre,30
homme,homme,21
/.,/.,P
voilà,voilà,81
ce,ce,52
qu',que,52
on,on,51
a,avoir,17
tort,tort,21
de,de,81
ne,ne,60
pas,pas,60
voir,voir,14
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
volé,voler,12
",",",",p
j',je,51
ai,avoir,17
ramassé,ramasser,12
par,par,81
terre,terre,22
des,de,81
des,le,71
choses,chose,22
qu',que,83
il,il,51
y,y,52
avait,avoir,18
/.,/.,P
vous,vous,51
dites,dire,17
Jean,Jean,20
Valjean,Valjean,20
",",",",p
Jean,Jean,20
Mathieu,Mathieu,20
/!,/!,P
je,je,51
ne,ne,60
connais,connaître,17
pas,pas,60
ces,ce,74
personnes,personne,22
là,là,60
/.,/.,P
c',ce,52
est,être,17
des,de,81
des,le,71
villageois,villageois,21
/.,/.,P
j',je,51
ai,avoir,17
travaillé,travailler,12
chez,chez,81
monsieur,monsieur,21
Baloup,Baloup,20
",",",",p
Boulevard de l'Hôpital,Boulevard de l'Hôpital,20
/.,/.,P
je,je,51
m',je,51
appelle,appeler,17
Champmathieu,Champmathieu,20
/.,/.,P
vous,vous,51
êtes,être,17
bien,bien,60
malins,malin,30
de,de,81
me,je,51
dire,dire,14
où,où,60
je,je,51
suis,être,17
né,naître,12
/.,/.,P
moi,moi,51
",",",",p
je,je,51
l',le,52
ignore,ignorer,17
/.,/.,P
tout,tout,75
le,le,71
monde,monde,21
n',ne,60
a,avoir,17
pas,pas,60
des,de,81
des,le,71
maisons,maison,22
pour,pour,81
y,y,52
venir,venir,14
au,à,81
au,le,71
monde,monde,21
/.,/.,P
ce,ce,52
serait,être,16
trop,trop,60
commode,commode,30
/.,/.,P
je,je,51
crois,croire,17
que,que,83
mon,mon,73
père,père,21
et,et,82
ma,mon,73
mère,mère,22
étaient,être,18
des,de,81
des,le,71
gens,gens,21
qui,qui,52
allaient,aller,18
sur,sur,81
les,le,71
routes,route,22
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
d',de,81
ailleurs,ailleurs,60
/.,/.,P
quand,quand,83
j',je,51
étais,être,18
enfant,enfant,21
",",",",p
on,on,51
m',je,51
appelait,appeler,18
petit,petit,60
",",",",p
maintenant,maintenant,60
",",",",p
on,on,51
m',je,51
appelle,appeler,17
vieux,vieux,30
/.,/.,P
voilà,voilà,81
mes,mon,73
noms,nom,21
de,de,81
baptême,baptême,21
/.,/.,P
prenez,prendre,17
ça,ça,52
comme,comme,83
vous,vous,51
voudrez,vouloir,15
/.,/.,P
j',je,51
ai,avoir,17
été,être,12
en,en,81
Auvergne,Auvergne,20
",",",",p
j',je,51
ai,avoir,17
été,être,12
à,à,81
Faverolles,Faverolles,20
",",",",p
pardi,pardi,93
/!,/!,P
eh,eh,93
bien,bien,60
?,?,p
est,être,17
ce,ce,52
qu',que,83
on,on,51
ne,ne,60
peut,pouvoir,17
pas,pas,60
avoir,avoir,14
été,être,12
en,en,81
Auvergne,Auvergne,20
et,et,82
avoir,avoir,14
été,être,12
à,à,81
Faverolles,Faverolles,20
sans,sans,81
avoir,avoir,14
été,être,12
aux,à,81
aux,le,71
galères,galère,22
/?,/?,P
je,je,51
vous,vous,51
dis,dire,17
que,que,83
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
volé,voler,12
",",",",p
et,et,82
que,que,83
je,je,51
suis,être,17
le,le,71
père,père,21
Champmathieu,Champmathieu,20
/.,/.,P
j',je,51
ai,avoir,17
été,être,12
chez,chez,81
monsieur,monsieur,21
Baloup,Baloup,20
",",",",p
j',je,51
ai,avoir,17
été,être,12
domicilié,domicilier,12
/.,/.,P
vous,vous,51
m',je,51
ennuyez,ennuyer,17
avec,avec,81
vos,votre,73
bêtises,bêtise,22
à,à,81
la,le,71
fin,fin,22
/!,/!,P
pourquoi,pourquoi,60
donc,donc,82
est,être,17
ce,ce,52
que,que,83
le,le,71
monde,monde,21
est,être,17
après,après,81
moi,moi,51
comme,comme,83
des,de,81
des,le,71
acharnés,acharné,31
/!,/!,P
l',le,71
avocat,avocat,21
général,général,30
était,être,18
demeuré,demeurer,12
debout,debout,60
;,;,p
il,il,51
s',se,51
adressa,adresser,19
au,à,81
au,le,71
président,président,21
:,:,p
-,-,p
monsieur,monsieur,21
le,le,71
président,président,21
",",",",p
en,en,81
présence,présence,22
des,de,81
des,le,71
dénégations,dénégation,22
confuses,confus,30
",",",",p
mais,mais,82
fort,fort,60
habiles,habile,30
de,de,81
l',le,71
accusé,accusé,21
",",",",p
qui,qui,52
voudrait,vouloir,16
bien,bien,60
se,se,51
faire,faire,14
passer,passer,14
pour,pour,81
idiot,idiot,21
",",",",p
mais,mais,82
qui,qui,52
n',ne,60
y,y,52
parviendra,parvenir,15
pas,pas,60
-,-,p
nous,nous,51
l',le,52
en,en,52
prévenons,prévenir,17
-,-,p
nous,nous,51
requérons,requérir,17
qu',que,83
il,il,51
vous,vous,51
plaise,plaire,17
et,et,82
qu',que,83
il,il,51
plaise,plaire,17
à,à,81
la,le,71
cour,cour,22
appeler,appeler,14
de,de,81
nouveau,nouveau,21
dans,dans,81
cette,ce,74
enceinte,enceinte,22
les,le,71
condamnés,condamné,21
Brevet,Brevet,20
",",",",p
Cochepaille,Cochepaille,20
et,et,82
Chenildieu,Chenildieu,20
et,et,82
l',le,71
inspecteur,inspecteur,21
de,de,81
police,police,22
Javert,Javert,20
",",",",p
et,et,82
les,le,52
interpeller,interpeller,14
une,un,71
dernière,dernier,30
fois,fois,22
sur,sur,81
l',le,71
identité,identité,22
de,de,81
l',le,71
accusé,accusé,21
avec,avec,81
le,le,71
forçat,forçat,21
Jean,Jean,20
Valjean,Valjean,20
/.,/.,P
-,-,p
je,je,51
fais,faire,17
remarquer,remarquer,14
à,à,81
monsieur,monsieur,21
l',le,71
avocat,avocat,21
général,général,30
",",",",p
dit,dire,19
le,le,71
président,président,21
",",",",p
que,que,52
l',le,71
inspecteur,inspecteur,21
de,de,81
police,police,22
Javert,Javert,20
",",",",p
rappelé,rappelé,21
par,par,81
ses,son,73
fonctions,fonction,22
au,à,81
au,le,71
chef-lieu,chef-lieu,21
d',de,81
un,un,71
arrondissement,arrondissement,21
voisin,voisin,30
",",",",p
a,avoir,17
quitté,quitter,12
l',le,71
audience,audience,22
et,et,82
même,même,60
la,le,71
ville,ville,22
",",",",p
aussitôt,aussitôt,60
sa,son,73
déposition,déposition,22
faite,fait,31
/.,/.,P
nous,nous,51
lui,lui,51
en,en,52
avons,avoir,17
accordé,accorder,12
l',le,71
autorisation,autorisation,22
",",",",p
avec,avec,81
l',le,71
agrément,agrément,21
de,de,81
monsieur,monsieur,21
l',le,71
avocat,avocat,21
général,général,30
et,et,82
du,de,81
du,le,71
défenseur,défenseur,21
de,de,81
l',le,71
accusé,accusé,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
juste,juste,30
",",",",p
monsieur,monsieur,21
le,le,71
président,président,21
",",",",p
reprit,reprendre,19
l',le,71
avocat,avocat,21
général,général,30
/.,/.,P
en,en,81
l',le,71
absence,absence,22
du,de,81
du,le,71
sieur,sieur,21
Javert,Javert,20
",",",",p
je,je,51
crois,croire,17
devoir,devoir,14
rappeler,rappeler,14
à,à,81
messieurs,monsieur,21
les,le,71
jurés,juré,21
ce,ce,52
qu',que,52
il,il,51
a,avoir,17
dit,dire,12
ici-même,ici-même,60
",",",",p
il,il,51
y,y,52
a,avoir,17
peu,peu,60
d',de,81
heures,heure,22
/.,/.,P
Javert,Javert,20
est,être,17
un,un,71
homme,homme,21
estimé,estimé,31
qui,qui,52
honore,honorer,17
par,par,81
sa,son,73
rigoureuse,rigoureux,30
et,et,82
stricte,strict,30
probité,probité,22
des,de,81
des,le,71
fonctions,fonction,22
inférieures,inférieur,30
",",",",p
mais,mais,82
importantes,importante,22
/.,/.,P
voici,voici,81
en,en,81
quels,quel,75
termes,terme,21
il,il,51
a,avoir,17
déposé,déposer,12
:,:,p
-,-,p
“,“,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
même,même,60
besoin,besoin,21
des,de,81
des,le,71
présomptions,présomption,22
morales,moral,30
et,et,82
des,de,81
des,le,71
preuves,preuve,22
matérielles,matériel,30
qui,qui,52
démentent,démentir,17
les,le,71
dénégations,dénégation,22
de,de,81
l',le,71
accusé,accusé,21
/.,/.,P
je,je,51
le,le,52
reconnais,reconnaître,17
parfaitement,parfaitement,60
/.,/.,P
cet,ce,74
homme,homme,21
ne,ne,60
s',se,51
appelle,appeler,17
pas,pas,60
Champmathieu,Champmathieu,20
;,;,p
c',ce,52
est,être,17
un,un,71
ancien,ancien,30
forçat,forçat,21
très,très,60
méchant,méchant,30
et,et,82
très,très,60
redouté,redouté,31
nommé,nommé,31
Jean,Jean,20
Valjean,Valjean,20
/.,/.,P
on,on,51
ne,ne,60
l',le,52
a,avoir,17
libéré,libérer,12
à,à,81
l',le,71
expiration,expiration,22
de,de,81
sa,son,73
peine,peine,22
qu',que,83
avec,avec,81
un,un,71
extrême,extrême,30
regret,regret,21
/.,/.,P
il,il,51
a,avoir,17
subi,subir,12
dix,dix,72
neuf,neuf,72
ans,an,21
de,de,81
travaux,travail,21
forcés,forcé,31
pour,pour,81
vol,vol,21
qualifié,qualifié,31
/.,/.,P
il,il,51
avait,avoir,18
cinq,cinq,72
ou,ou,82
six,six,72
fois,fois,22
tenté,tenter,12
de,de,81
s',se,51
évader,évader,14
/.,/.,P
outre,outre,81
le,le,71
vol,vol,21
Petit-Gervais,Petit-Gervais,20
et,et,82
le,le,71
vol,vol,21
Pierron,Pierron,20
",",",",p
je,je,51
le,le,52
soupçonne,soupçonner,17
encore,encore,60
d',de,81
un,un,71
vol,vol,21
commis,commis,31
chez,chez,81
sa,son,73
grandeur,grandeur,22
le,le,71
défunt,défunt,30
évêque,évêque,21
de,de,81
Digne,Digne,20
/.,/.,P
je,je,51
l',le,52
ai,avoir,17
souvent,souvent,60
vu,voir,12
",",",",p
à,à,81
l',le,71
époque,époque,22
où,où,60
j',je,51
étais,être,18
adjudant,adjudant,21
garde-chiourme,garde-chiourme,21
au,à,81
au,le,71
bagne,bagne,21
de,de,81
Toulon,Toulon,20
/.,/.,P
je,je,51
répète,répéter,17
que,que,83
je,je,51
le,le,52
reconnais,reconnaître,17
parfaitement,parfaitement,60
/.,/.,P
“,“,p
cette,ce,74
déclaration,déclaration,22
si,si,60
précise,précis,30
parut,paraître,19
produire,produire,14
une,un,71
vive,vif,30
impression,impression,22
sur,sur,81
le,le,71
public,public,30
et,et,82
le,le,71
jury,jury,21
/.,/.,P
l',le,71
avocat,avocat,21
général,général,30
termina,terminer,19
en,en,81
insistant,insister,13
pour,pour,81
qu',que,83
à,à,81
défaut,défaut,21
de,de,81
Javert,Javert,20
",",",",p
les,le,71
trois,trois,72
témoins,témoin,21
Brevet,Brevet,20
",",",",p
Chenildieu,Chenildieu,20
et,et,82
Cochepaille,Cochepaille,20
fussent,être,18
entendus,entendre,12
de,de,81
nouveau,nouveau,21
et,et,82
interpellés,interpeller,12
solennellement,solennellement,60
/.,/.,P
le,le,71
président,président,21
transmit,transmettre,19
un,un,71
ordre,ordre,21
à,à,81
un,un,71
huissier,huissier,21
",",",",p
et,et,82
un,un,71
moment,moment,21
après,après,81
la,le,71
porte,porte,22
de,de,81
la,le,71
chambre,chambre,22
des,de,81
des,le,71
témoins,témoin,21
s',se,51
ouvrit,ouvrir,19
/.,/.,P
l',le,71
huissier,huissier,21
",",",",p
accompagné,accompagné,31
d',de,81
un,un,71
gendarme,gendarme,21
prêt,prêt,30
à,à,81
lui,lui,51
prêter,prêter,14
main-forte,main-forte,22
",",",",p
introduisit,introduire,19
le,le,71
condamné,condamné,21
Brevet,Brevet,20
/.,/.,P
l',le,71
auditoire,auditoire,21
était,être,18
en,en,81
suspens,suspens,21
et,et,82
toutes,tout,75
les,le,71
poitrines,poitrine,22
palpitaient,palpiter,18
comme,comme,83
si,si,83
elles,ils,51
n',ne,60
eussent,avoir,18
eu,avoir,12
qu',que,83
une,un,71
seule,seul,30
âme,âme,22
/.,/.,P
l',le,71
ancien,ancien,30
forçat,forçat,21
Brevet,Brevet,20
portait,porter,18
la,le,71
veste,veste,22
noire,noir,30
et,et,82
grise,gris,30
des,de,81
des,le,71
maisons,maison,22
centrales,central,30
/.,/.,P
Brevet,Brevet,20
était,être,18
un,un,71
personnage,personnage,21
d',de,81
une,un,71
soixantaine,soixantaine,22
d',de,81
années,année,22
qui,qui,52
avait,avoir,18
une,un,71
espèce,espèce,22
de,de,81
figure,figure,22
d',de,81
homme,homme,21
d',de,81
affaires,affaire,22
et,et,82
l',le,71
air,air,21
d',de,81
un,un,71
coquin,coquin,21
/.,/.,P
cela,cela,52
va,aller,17
quelquefois,quelquefois,60
ensemble,ensemble,60
/.,/.,P
il,il,51
était,être,18
devenu,devenir,12
",",",",p
dans,dans,81
la,le,71
prison,prison,22
où,où,60
de,de,81
nouveaux,nouveau,30
méfaits,méfait,21
l',le,52
avaient,avoir,18
ramené,ramener,12
",",",",p
quelque,quelque,75
chose,chose,22
comme,comme,83
guichetier,guichetier,21
/.,/.,P
c',ce,52
était,être,18
un,un,71
homme,homme,21
dont,dont,52
les,le,71
chefs,chef,21
disaient,dire,18
:,:,p
il,il,51
cherche,chercher,17
à,à,81
se,se,51
rendre,rendre,14
utile,utile,30
/.,/.,P
les,le,71
aumôniers,aumônier,21
portaient,porter,18
bon,bon,30
témoignage,témoignage,21
de,de,81
ses,son,73
habitudes,habitude,22
religieuses,religieux,30
/.,/.,P
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
oublier,oublier,14
que,que,83
ceci,ceci,52
se,se,51
passait,passer,18
sous,sous,81
la,le,71
restauration,restauration,22
/.,/.,P
-,-,p
Brevet,Brevet,20
",",",",p
dit,dire,19
le,le,71
président,président,21
",",",",p
vous,vous,51
avez,avoir,17
subi,subir,12
une,un,71
condamnation,condamnation,22
infamante,infamant,30
et,et,82
vous,vous,51
ne,ne,60
pouvez,pouvoir,17
prêter,prêter,14
serment,serment,21
/…,/…,P
Brevet,Brevet,20
baissa,baisser,19
les,le,71
yeux,oeil,21
/.,/.,P
-,-,p
cependant,cependant,82
",",",",p
reprit,reprendre,19
le,le,71
président,président,21
",",",",p
même,même,60
dans,dans,81
l',le,71
homme,homme,21
que,que,83
la,le,71
loi,loi,22
a,avoir,17
dégradé,dégrader,12
",",",",p
il,il,51
peut,pouvoir,17
rester,rester,14
",",",",p
quand,quand,83
la,le,71
pitié,pitié,22
divine,divin,30
le,le,52
permet,permettre,17
",",",",p
un,un,71
sentiment,sentiment,21
d',de,81
honneur,honneur,21
et,et,82
d',de,81
équité,équité,22
/.,/.,P
c',ce,52
est,être,17
à,à,81
ce,ce,74
sentiment,sentiment,21
que,que,83
je,je,51
fais,faire,17
appel,appel,21
à,à,81
cette,ce,74
heure,heure,22
décisive,décisif,30
/.,/.,P
s',si,83
il,il,51
existe,exister,17
encore,encore,60
en,en,81
vous,vous,51
",",",",p
et,et,82
je,je,51
l',le,52
espère,espérer,17
",",",",p
réfléchissez,réfléchir,17
avant,avant,81
de,de,81
me,je,51
répondre,répondre,14
",",",",p
considérez,considérer,17
d',de,81
une,un,71
part,part,22
cet,ce,74
homme,homme,21
qu',que,83
un,un,71
mot,mot,21
de,de,81
vous,vous,51
peut,pouvoir,17
perdre,perdre,14
",",",",p
d',de,81
autre,autre,75
part,part,22
la,le,71
justice,justice,22
qu',que,83
un,un,71
mot,mot,21
de,de,81
vous,vous,51
peut,pouvoir,17
éclairer,éclairer,14
/.,/.,P
l',le,71
instant,instant,21
est,être,17
solennel,solennel,30
",",",",p
et,et,82
il,il,51
est,être,17
toujours,toujours,60
temps,temps,21
de,de,81
vous,vous,51
rétracter,rétracter,14
",",",",p
si,si,83
vous,vous,51
croyez,croire,17
vous,vous,51
être,être,14
trompé,tromper,12
/.,/.,P
-,-,p
accusé,accusé,31
",",",",p
levez,lever,17
vous,vous,51
/.,/.,P
-,-,p
Brevet,Brevet,20
",",",",p
regardez,regarder,17
bien,bien,60
l',le,71
accusé,accusé,21
",",",",p
recueillez,recueillir,17
