11756
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-quatorzième extrait>,<>,<>
voulu,vouloir,12
s',se,51
agrandir,agrandir,14
par,par,81
des,de,81
des,le,71
empiétements,empiétement,21
sur,sur,81
les,le,71
provinces,province,22
puniques,punique,30
",",",",p
et,et,82
",",",",p
selon,selon,81
les,le,71
chances,chance,22
de,de,81
la,le,71
victoire,victoire,22
",",",",p
tour,tour,21
à,à,81
tour,tour,21
secouru,secouru,31
et,et,82
délaissé,délaissé,31
les,le,71
mercenaires,mercenaire,21
/.,/.,P
mais,mais,82
voyant,voir,13
que,que,83
le,le,71
plus,plus,60
fort,fort,30
serait,être,16
définitivement,définitivement,60
Hamilcar,Hamilcar,20
",",",",p
il,il,51
s',se,51
était,être,18
tourné,tourner,12
vers,vers,81
lui,lui,51
;,;,p
et,et,82
peut-être,peut-être,60
y,y,52
avait,avoir,18
il,il,51
dans,dans,81
sa,son,73
défection,défection,22
une,un,71
rancune,rancune,22
contre,contre,81
Mâtho,Mâtho,20
",",",",p
soit,être,17
à,à,81
cause,cause,22
du,de,81
du,le,71
commandement,commandement,21
ou,ou,82
de,de,81
son,son,73
ancien,ancien,30
amour,amour,21
/.,/.,P
le,le,71
Suffète,Suffète,20
l',le,52
écouta,écouter,19
sans,sans,81
l',le,52
interrompre,interrompre,14
/.,/.,P
l',le,71
homme,homme,21
qui,qui,52
se,se,51
présentait,présenter,18
ainsi,ainsi,60
dans,dans,81
une,un,71
armée,armée,22
où,où,60
on,on,51
lui,lui,51
devait,devoir,18
des,de,81
des,le,71
vengeances,vengeance,22
n',ne,60
était,être,18
pas,pas,60
un,un,71
auxiliaire,auxiliaire,21
à,à,81
dédaigner,dédaigner,14
;,;,p
Hamilcar,Hamilcar,20
devina,deviner,19
tout,tout,60
de,de,81
suite,suite,22
l',le,71
utilité,utilité,22
d',de,81
une,un,71
telle,tel,75
alliance,alliance,22
pour,pour,81
ses,son,73
grands,grand,30
projets,projet,21
/.,/.,P
avec,avec,81
les,le,71
Numides,Numides,20
",",",",p
il,il,51
se,se,51
débarrasserait,débarrasser,16
des,de,81
des,le,71
Libyens,Libyen,20
/.,/.,P
puis,puis,60
il,il,51
entraînerait,entraîner,16
l',le,71
occident,occident,21
à,à,81
la,le,71
conquête,conquête,22
de,de,81
l',le,71
Ibérie,Ibérie,20
;,;,p
et,et,82
",",",",p
sans,sans,81
lui,lui,51
demander,demander,14
pourquoi,pourquoi,60
il,il,51
n',ne,60
était,être,18
pas,pas,60
venu,venir,12
plus,plus,60
tôt,tôt,60
",",",",p
ni,ni,82
relever,relever,14
aucun,aucun,52
de,de,81
ses,son,73
mensonges,mensonge,21
",",",",p
il,il,51
baisa,baiser,19
Narr'Havas,Narr'Havas,20
",",",",p
en,en,81
heurtant,heurter,13
trois,trois,72
fois,fois,22
sa,son,73
poitrine,poitrine,22
contre,contre,81
la,le,71
sienne,sien,52
/.,/.,P
c',ce,52
était,être,18
pour,pour,81
en,en,52
finir,finir,14
",",",",p
et,et,82
par,par,81
désespoir,désespoir,21
",",",",p
qu',que,83
il,il,51
avait,avoir,18
incendié,incendier,12
le,le,71
camp,camp,21
des,de,81
des,le,71
Libyens,Libyen,20
/.,/.,P
cette,ce,74
armée,armée,22
lui,lui,51
arrivait,arriver,18
comme,comme,83
un,un,71
secours,secours,21
des,de,81
des,le,71
dieux,dieu,21
;,;,p
en,en,81
dissimulant,dissimuler,13
sa,son,73
joie,joie,22
",",",",p
il,il,51
répondit,répondre,19
:,:,p
-,-,p
“,“,p
que,que,83
les,le,71
Baals,Baal,20
te,tu,51
favorisent,favoriser,17
/!,/!,P
j',je,51
ignore,ignorer,17
ce,ce,52
que,que,52
fera,faire,15
pour,pour,81
toi,toi,51
la,le,71
république,république,22
",",",",p
mais,mais,82
Hamilcar,Hamilcar,20
n',ne,60
a,avoir,17
pas,pas,60
d',de,81
ingratitude,ingratitude,22
/.,/.,P
“,“,p
le,le,71
tumulte,tumulte,21
redoublait,redoubler,18
;,;,p
des,de,81
des,le,71
capitaines,capitaine,21
entraient,entrer,18
/.,/.,P
il,il,51
s',se,51
armait,armer,18
tout,tout,60
en,en,81
parlant,parler,13
:,:,p
-,-,p
“,“,p
allons,aller,17
",",",",p
retourne,retourner,17
/!,/!,P
avec,avec,81
les,le,71
cavaliers,cavalier,21
",",",",p
tu,tu,51
rabattras,rabattre,15
leur,leur,73
infanterie,infanterie,22
entre,entre,81
tes,ton,73
éléphants,éléphant,21
et,et,82
les,le,71
miens,mien,52
/!,/!,P
courage,courage,21
!,!,p
extermine,exterminer,17
/!,/!,P
et,et,82
Narr'Havas,Narr'Havas,20
se,se,51
précipitait,précipiter,18
",",",",p
quand,quand,83
Salammbô,Salammbô,20
parut,paraître,19
/.,/.,P
elle,il,51
sauta,sauter,19
vite,vite,60
à,à,81
bas,bas,21
de,de,81
son,son,73
cheval,cheval,21
/.,/.,P
elle,il,51
ouvrit,ouvrir,19
son,son,73
large,large,30
manteau,manteau,21
",",",",p
et,et,82
",",",",p
en,en,81
écartant,écarter,13
les,le,71
bras,bras,21
",",",",p
elle,il,51
déploya,déployer,19
le,le,71
zaïmph,zaïmph,21
/.,/.,P
la,le,71
tente,tente,22
de,de,81
cuir,cuir,21
",",",",p
relevée,relevé,31
dans,dans,81
les,le,71
coins,coin,21
",",",",p
laissait,laisser,18
voir,voir,14
le,le,71
tour,tour,21
entier,entier,30
de,de,81
la,le,71
montagne,montagne,22
couverte,couvert,31
de,de,81
soldats,soldat,21
",",",",p
et,et,82
comme,comme,83
elle,il,51
se,se,51
trouvait,trouver,18
au,à,81
au,le,71
centre,centre,21
",",",",p
de,de,81
tous,tout,75
les,le,71
côtés,côté,21
on,on,51
apercevait,apercevoir,18
Salammbô,Salammbô,20
/.,/.,P
une,un,71
clameur,clameur,22
immense,immense,30
éclata,éclater,19
",",",",p
un,un,71
long,long,30
cri,cri,21
de,de,81
triomphe,triomphe,21
et,et,82
d',de,81
espoir,espoir,21
/.,/.,P
ceux,celui,52
qui,qui,52
étaient,être,18
en,en,81
marche,marche,22
s',se,51
arrêtèrent,arrêter,19
;,;,p
les,le,71
moribonds,moribond,21
",",",",p
s',se,51
appuyant,appuyer,13
sur,sur,81
le,le,71
coude,coude,21
",",",",p
se,se,51
retournaient,retourner,18
pour,pour,81
la,le,52
bénir,bénir,14
/.,/.,P
tous,tout,75
les,le,71
barbares,barbare,21
savaient,savoir,18
maintenant,maintenant,60
qu',que,83
elle,il,51
avait,avoir,18
repris,reprendre,12
le,le,71
zaïmph,zaïmph,21
;,;,p
de,de,81
loin,loin,60
ils,ils,51
la,le,52
voyaient,voir,18
",",",",p
ils,ils,51
croyaient,croire,18
la,le,52
voir,voir,14
;,;,p
et,et,82
d',de,81
autres,autre,75
cris,cri,21
",",",",p
mais,mais,82
de,de,81
rage,rage,22
et,et,82
de,de,81
vengeance,vengeance,22
",",",",p
retentissaient,retentir,18
",",",",p
malgré,malgré,81
les,le,71
applaudissements,applaudissement,21
des,de,81
des,le,71
Carthaginois,Carthaginois,20
;,;,p
les,le,71
cinq,cinq,72
armées,armée,22
",",",",p
s',se,51
étageant,étager,13
sur,sur,81
la,le,71
montagne,montagne,22
",",",",p
trépignaient,trépigner,18
et,et,82
hurlaient,hurler,18
ainsi,ainsi,60
tout,tout,60
autour,autour,60
de,de,81
Salammbô,Salammbô,20
/.,/.,P
Hamilcar,Hamilcar,20
",",",",p
sans,sans,81
pouvoir,pouvoir,14
parler,parler,14
",",",",p
la,le,52
remerciait,remercier,18
par,par,81
des,de,81
des,le,71
signes,signe,21
de,de,81
tête,tête,22
/.,/.,P
ses,son,73
yeux,oeil,21
se,se,51
portaient,porter,18
alternativement,alternativement,60
sur,sur,81
le,le,71
zaïmph,zaïmph,21
et,et,82
sur,sur,81
elle,il,51
",",",",p
et,et,82
il,il,51
remarqua,remarquer,19
que,que,83
sa,son,73
chaînette,chaînette,22
était,être,18
rompue,rompre,12
/.,/.,P
alors,alors,60
il,il,51
frissonna,frissonner,19
",",",",p
saisi,saisi,31
par,par,81
un,un,71
soupçon,soupçon,21
terrible,terrible,30
/.,/.,P
mais,mais,82
reprenant,reprendre,13
vite,vite,60
son,son,73
impassibilité,impassibilité,22
",",",",p
il,il,51
considéra,considérer,19
Narr'Havas,Narr'Havas,20
obliquement,obliquement,60
",",",",p
sans,sans,81
tourner,tourner,14
la,le,71
figure,figure,22
/.,/.,P
le,le,71
roi,roi,21
des,de,81
des,le,71
Numides,Numides,20
se,se,51
tenait,tenir,18
à,à,81
l',le,71
écart,écart,21
dans,dans,81
une,un,71
attitude,attitude,22
discrète,discret,30
;,;,p
il,il,51
portait,porter,18
au,à,81
au,le,71
front,front,21
un,un,71
peu,peu,60
de,de,81
la,le,71
poussière,poussière,22
qu',que,52
il,il,51
avait,avoir,18
touchée,toucher,12
en,en,81
se,se,51
prosternant,prosterner,13
/.,/.,P
enfin,enfin,60
le,le,71
Suffète,Suffète,20
s',se,51
avança,avancer,19
vers,vers,81
lui,lui,51
et,et,82
",",",",p
avec,avec,81
un,un,71
air,air,21
plein,plein,30
de,de,81
gravité,gravité,22
:,:,p
-,-,p
“,“,p
en,en,81
récompense,récompense,22
des,de,81
des,le,71
services,service,21
que,que,52
tu,tu,51
m',je,51
as,avoir,17
rendus,rendre,12
",",",",p
Narr'Havas,Narr'Havas,20
",",",",p
je,je,51
te,tu,51
donne,donner,17
ma,mon,73
fille,fille,22
/.,/.,P
“,“,p
“,“,p
il,il,51
ajouta,ajouter,19
:,:,p
“,“,p
sois,être,17
mon,mon,73
fils,fils,21
et,et,82
défends,défendre,17
ton,ton,73
père,père,21
/!,/!,P
Narr'Havas,Narr'Havas,20
eut,avoir,19
un,un,71
grand,grand,30
geste,geste,21
de,de,81
surprise,surprise,22
",",",",p
puis,puis,60
se,se,51
jeta,jeter,19
sur,sur,81
ses,son,73
mains,main,22
qu',que,83
il,il,51
couvrit,couvrir,19
de,de,81
baisers,baiser,21
/.,/.,P
Salammbô,Salammbô,20
",",",",p
calme,calme,30
comme,comme,83
une,un,71
statue,statue,22
",",",",p
semblait,sembler,18
ne,ne,60
pas,pas,60
comprendre,comprendre,14
/.,/.,P
elle,il,51
rougissait,rougir,18
un,un,71
peu,peu,60
",",",",p
tout,tout,60
en,en,81
baissant,baisser,13
les,le,71
paupières,paupière,22
;,;,p
ses,son,73
longs,long,30
cils,cil,21
recourbés,recourbé,31
faisaient,faire,18
des,de,81
des,le,71
ombres,ombre,22
sur,sur,81
ses,son,73
joues,joue,22
/.,/.,P
Hamilcar,Hamilcar,20
voulut,vouloir,19
immédiatement,immédiatement,60
les,le,52
unir,unir,14
par,par,81
des,de,81
des,le,71
fiançailles,fiançaille,22
indissolubles,indissoluble,30
/.,/.,P
on,on,51
mit,mettre,19
entre,entre,81
les,le,71
mains,main,22
de,de,81
Salammbô,Salammbô,20
une,un,71
lance,lance,22
qu',que,83
elle,il,51
offrit,offrir,19
à,à,81
Narr'Havas,Narr'Havas,20
:,:,p
on,on,51
attacha,attacher,19
leurs,leur,73
pouces,pouce,21
l',le,71
un,un,52
contre,contre,81
l',le,71
autre,autre,52
avec,avec,81
une,un,71
lanière,lanière,22
de,de,81
boeuf,boeuf,21
",",",",p
puis,puis,60
on,on,51
leur,leur,52
versa,verser,19
du,de,81
du,le,71
blé,blé,21
sur,sur,81
la,le,71
tête,tête,22
",",",",p
et,et,82
les,le,71
grains,grain,21
qui,qui,52
tombaient,tomber,18
autour,autour,60
d',de,81
eux,ils,51
sonnèrent,sonner,19
comme,comme,83
de,de,81
la,le,71
grêle,grêle,22
en,en,81
rebondissant,rebondir,13
/.,/.,P
<Chapitre 12>,<>,<>
l',le,71
aqueduc,aqueduc,21
/.,/.,P
douze,douze,72
heures,heure,22
après,après,81
",",",",p
il,il,51
ne,ne,60
restait,rester,18
plus,plus,60
des,de,81
des,le,71
mercenaires,mercenaire,21
qu',que,83
un,un,71
tas,tas,21
de,de,81
blessés,blessé,21
",",",",p
de,de,81
morts,mort,21
et,et,82
d',de,81
agonisants,agonisant,21
/.,/.,P
Hamilcar,Hamilcar,20
",",",",p
sorti,sorti,31
brusquement,brusquement,60
du,de,81
du,le,71
fond,fond,21
de,de,81
la,le,71
gorge,gorge,22
",",",",p
était,être,18
redescendu,redescendre,12
sur,sur,81
la,le,71
pente,pente,22
occidentale,occidental,30
qui,qui,52
regarde,regarder,17
Hippo-Zaryte,Hippo-Zaryte,20
",",",",p
et,et,82
",",",",p
l',le,71
espace,espace,21
étant,être,13
plus,plus,60
large,large,30
en,en,81
cet,ce,74
endroit,endroit,21
",",",",p
il,il,51
avait,avoir,18
eu,avoir,12
soin,soin,21
d',de,81
y,y,52
attirer,attirer,14
les,le,71
barbares,barbare,21
/.,/.,P
Narr'Havas,Narr'Havas,20
les,le,52
avait,avoir,18
enveloppés,envelopper,12
avec,avec,81
ses,son,73
chevaux,cheval,21
;,;,p
le,le,71
Suffète,Suffète,20
",",",",p
pendant,pendant,81
ce,ce,74
temps,temps,21
là,là,60
",",",",p
les,le,52
refoulait,refouler,18
",",",",p
les,le,52
écrasait,écraser,18
;,;,p
puis,puis,60
ils,ils,51
étaient,être,18
vaincus,vaincre,12
d',de,81
avance,avance,22
par,par,81
la,le,71
perte,perte,22
du,de,81
du,le,71
zaïmph,zaïmph,21
;,;,p
ceux,celui,52
mêmes,même,30
qui,qui,52
ne,ne,60
s',se,51
en,en,52
souciaient,soucier,18
avaient,avoir,18
senti,sentir,12
une,un,71
angoisse,angoisse,22
et,et,82
comme,comme,83
un,un,71
affaiblissement,affaiblissement,21
/.,/.,P
Hamilcar,Hamilcar,20
",",",",p
ne,ne,60
mettant,mettre,13
pas,pas,60
son,son,73
orgueil,orgueil,21
à,à,81
garder,garder,14
pour,pour,81
lui,lui,51
le,le,71
champ,champ,21
de,de,81
bataille,bataille,22
",",",",p
s',se,51
était,être,18
retiré,retirer,12
un,un,71
peu,peu,60
plus,plus,60
loin,loin,60
",",",",p
à,à,81
gauche,gauche,22
sur,sur,81
des,de,81
des,le,71
hauteurs,hauteur,22
d',de,81
où,où,60
il,il,51
les,le,52
dominait,dominer,18
/.,/.,P
on,on,51
reconnaissait,reconnaître,18
la,le,71
forme,forme,22
des,de,81
des,le,71
camps,camp,21
à,à,81
leurs,leur,73
palissades,palissade,22
inclinées,incliné,31
/.,/.,P
un,un,71
long,long,30
amas,amas,21
de,de,81
cendres,cendre,22
noires,noir,30
fumait,fumer,18
sur,sur,81
l',le,71
emplacement,emplacement,21
des,de,81
des,le,71
Libyens,Libyen,20
;,;,p
le,le,71
sol,sol,21
bouleversé,bouleversé,31
avait,avoir,18
des,de,81
des,le,71
ondulations,ondulation,22
comme,comme,83
la,le,71
mer,mer,22
",",",",p
et,et,82
les,le,71
tentes,tente,22
",",",",p
avec,avec,81
leurs,leur,73
toiles,toile,22
en,en,81
lambeaux,lambeau,21
",",",",p
semblaient,sembler,18
de,de,81
vagues,vague,30
navires,navire,21
à,à,81
demi,demi,30
perdus,perdu,31
dans,dans,81
les,le,71
écueils,écueil,21
/.,/.,P
des,de,81
des,le,71
cuirasses,cuirasse,22
",",",",p
des,de,81
des,le,71
fourches,fourche,22
",",",",p
des,de,81
des,le,71
clairons,clairon,21
",",",",p
des,de,81
des,le,71
morceaux,morceau,21
de,de,81
bois,bois,21
",",",",p
de,de,81
fer,fer,21
et,et,82
d',de,81
airain,airain,21
",",",",p
du,de,81
du,le,71
blé,blé,21
",",",",p
de,de,81
la,le,71
paille,paille,22
et,et,82
des,de,81
des,le,71
vêtements,vêtement,21
s',se,51
éparpillaient,éparpiller,18
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
cadavres,cadavre,21
;,;,p
çà,çà,60
et,et,82
là,là,60
quelque,quelque,75
phalarique,phalarique,22
prête,prêter,17
à,à,81
s',se,51
éteindre,éteindre,14
brûlait,brûler,18
contre,contre,81
un,un,71
monceau,monceau,21
de,de,81
bagages,bagage,21
;,;,p
la,le,71
terre,terre,22
",",",",p
en,en,81
de,de,81
certains,certain,75
endroits,endroit,21
",",",",p
disparaissait,disparaître,18
sous,sous,81
les,le,71
boucliers,bouclier,21
;,;,p
des,de,81
des,le,71
charognes,charogne,22
de,de,81
chevaux,cheval,21
se,se,51
suivaient,suivre,18
comme,comme,83
une,un,71
série,série,22
de,de,81
monticules,monticule,21
;,;,p
on,on,51
apercevait,apercevoir,18
des,de,81
des,le,71
jambes,jambe,22
",",",",p
des,de,81
des,le,71
sandales,sandale,22
",",",",p
des,de,81
des,le,71
bras,bras,21
",",",",p
des,de,81
des,le,71
cottes,cotte,22
de,de,81
mailles,maille,22
et,et,82
des,de,81
des,le,71
têtes,tête,22
dans,dans,81
leurs,leur,73
casques,casque,21
",",",",p
maintenues,maintenu,31
par,par,81
la,le,71
mentonnière,mentonnière,22
et,et,82
qui,qui,52
roulaient,rouler,18
comme,comme,83
des,de,81
des,le,71
boules,boule,22
;,;,p
des,de,81
des,le,71
chevelures,chevelure,22
pendaient,pendre,18
aux,à,81
aux,le,71
épines,épine,22
;,;,p
dans,dans,81
des,de,81
des,le,71
mares,mare,22
de,de,81
sang,sang,21
",",",",p
des,de,81
des,le,71
éléphants,éléphant,21
",",",",p
les,le,71
entrailles,entraille,22
ouvertes,ouvert,31
",",",",p
râlaient,râler,18
couchés,couché,31
avec,avec,81
leurs,leur,73
tours,tour,21
;,;,p
on,on,51
marchait,marcher,18
sur,sur,81
des,de,81
des,le,71
choses,chose,22
gluantes,gluant,30
et,et,82
il,il,51
y,y,52
avait,avoir,18
des,de,81
des,le,71
flaques,flaque,22
de,de,81
boue,boue,22
",",",",p
bien,bien,60
que,que,83
la,le,71
pluie,pluie,22
n',ne,60
eût,avoir,19
pas,pas,60
tombé,tomber,12
/.,/.,P
cette,ce,74
confusion,confusion,22
de,de,81
cadavres,cadavre,21
occupait,occuper,18
",",",",p
du,de,81
du,le,71
haut,haut,21
en,en,81
bas,bas,21
",",",",p
la,le,71
montagne,montagne,22
tout,tout,60
entière,entier,30
/.,/.,P
ceux,celui,52
qui,qui,52
survivaient,survivre,18
ne,ne,60
bougeaient,bouger,18
pas,pas,60
plus,plus,60
que,que,83
les,le,71
morts,mort,21
/.,/.,P
accroupis,accroupi,31
par,par,81
groupes,groupe,21
inégaux,inégal,30
",",",",p
ils,ils,51
se,se,51
regardaient,regarder,18
",",",",p
effarés,effaré,31
",",",",p
et,et,82
ne,ne,60
parlaient,parler,18
pas,pas,60
/.,/.,P
au,à,81
au,le,71
bout,bout,21
d',de,81
une,un,71
longue,long,30
prairie,prairie,22
",",",",p
le,le,71
lac,lac,21
d',de,81
Hippo-Zaryte,Hippo-Zaryte,20
resplendissait,resplendir,18
sous,sous,81
le,le,71
soleil,soleil,21
couchant,couchant,30
/.,/.,P
à,à,81
droite,droite,22
",",",",p
de,de,81
blanches,blanc,30
maisons,maison,22
agglomérées,aggloméré,31
dépassaient,dépasser,18
une,un,71
ceinture,ceinture,22
de,de,81
murailles,muraille,22
;,;,p
puis,puis,60
la,le,71
mer,mer,22
s',se,51
étalait,étaler,18
",",",",p
indéfiniment,indéfiniment,60
;,;,p
-,-,p
et,et,82
",",",",p
le,le,71
menton,menton,21
dans,dans,81
la,le,71
main,main,22
",",",",p
les,le,71
barbares,barbare,21
soupiraient,soupirer,18
en,en,81
songeant,songer,13
à,à,81
leurs,leur,73
patries,patrie,22
/.,/.,P
un,un,71
nuage,nuage,21
de,de,81
poudre,poudre,22
grise,gris,30
retombait,retomber,18
/.,/.,P
le,le,71
vent,vent,21
du,de,81
du,le,71
soir,soir,21
souffla,souffler,19
;,;,p
alors,alors,60
toutes,tout,75
les,le,71
poitrines,poitrine,22
se,se,51
dilatèrent,dilater,19
;,;,p
et,et,82
",",",",p
à,à,81
mesure,mesure,22
que,que,83
la,le,71
fraîcheur,fraîcheur,22
augmentait,augmenter,18
",",",",p
on,on,51
pouvait,pouvoir,18
voir,voir,14
la,le,71
vermine,vermine,22
abandonner,abandonner,14
les,le,71
morts,mort,21
qui,qui,52
se,se,51
refroidissaient,refroidir,18
",",",",p
et,et,82
courir,courir,14
sur,sur,81
le,le,71
sable,sable,21
chaud,chaud,30
/.,/.,P
au,à,81
au,le,71
sommet,sommet,21
des,de,81
des,le,71
grosses,gros,30
pierres,pierre,22
",",",",p
des,de,81
des,le,71
corbeaux,corbeau,21
immobiles,immobile,30
restaient,rester,18
tournés,tourné,31
vers,vers,81
les,le,71
agonisants,agonisant,21
/.,/.,P
quand,quand,83
la,le,71
nuit,nuit,22
fut,être,19
descendue,descendre,12
",",",",p
des,de,81
des,le,71
chiens,chien,21
à,à,81
poil,poil,21
jaune,jaune,30
",",",",p
de,de,81
ces,ce,74
bêtes,bête,22
immondes,immonde,30
qui,qui,52
suivaient,suivre,18
les,le,71
armées,armée,22
",",",",p
arrivèrent,arriver,19
tout,tout,60
doucement,doucement,60
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
barbares,barbare,21
/.,/.,P
d'abord,d'abord,60
ils,ils,51
léchèrent,lécher,19
les,le,71
caillots,caillot,21
de,de,81
sang,sang,21
sur,sur,81
les,le,71
moignons,moignon,21
encore,encore,60
tièdes,tiède,30
;,;,p
et,et,82
bientôt,bientôt,60
ils,ils,51
se,se,51
mirent,mettre,19
à,à,81
dévorer,dévorer,14
les,le,71
cadavres,cadavre,21
",",",",p
en,en,81
les,le,52
entamant,entamer,13
par,par,81
le,le,71
ventre,ventre,21
/.,/.,P
les,le,71
fugitifs,fugitif,21
reparaissaient,reparaître,18
un,un,52
à,à,81
un,un,52
",",",",p
comme,comme,83
des,de,81
des,le,71
ombres,ombre,22
;,;,p
les,le,71
femmes,femme,22
aussi,aussi,60
se,se,51
hasardèrent,hasarder,19
à,à,81
revenir,revenir,14
",",",",p
car,car,82
il,il,51
en,en,52
restait,rester,18
encore,encore,60
",",",",p
chez,chez,81
les,le,71
Libyens,Libyen,20
surtout,surtout,60
",",",",p
malgré,malgré,81
le,le,71
massacre,massacre,21
effroyable,effroyable,30
que,que,83
les,le,71
Numides,Numides,20
en,en,52
avaient,avoir,18
fait,faire,12
/.,/.,P
quelques-uns,quelqu'un,52
prirent,prendre,19
des,de,81
des,le,71
bouts,bout,21
de,de,81
corde,corde,22
qu',que,52
ils,ils,51
allumèrent,allumer,19
pour,pour,81
servir,servir,14
de,de,81
flambeaux,flambeau,21
/.,/.,P
d',de,81
autres,autre,52
tenaient,tenir,18
des,de,81
des,le,71
piques,pique,22
entrecroisées,entrecroisé,31
/.,/.,P
on,on,51
plaçait,placer,18
dessus,dessus,60
les,le,71
cadavres,cadavre,21
et,et,82
on,on,51
les,le,52
transportait,transporter,18
à,à,81
l',le,71
écart,écart,21
/.,/.,P
ils,ils,51
se,se,51
trouvaient,trouver,18
étendus,étendu,31
par,par,81
longues,long,30
lignes,ligne,22
",",",",p
sur,sur,81
le,le,71
dos,dos,21
",",",",p
la,le,71
bouche,bouche,22
ouverte,ouvert,31
",",",",p
avec,avec,81
leurs,leur,73
lances,lance,22
auprès,auprès,60
d',de,81
eux,ils,51
;,;,p
ou,ou,82
bien,bien,60
ils,ils,51
s',se,51
entassaient,entasser,18
pêle-mêle,pêle-mêle,60
",",",",p
et,et,82
souvent,souvent,60
",",",",p
pour,pour,81
découvrir,découvrir,14
ceux,celui,52
qui,qui,52
manquaient,manquer,18
",",",",p
il,il,51
fallait,falloir,18
creuser,creuser,14
tout,tout,75
un,un,71
monceau,monceau,21
/.,/.,P
puis,puis,60
on,on,51
promenait,promener,18
la,le,71
torche,torche,22
sur,sur,81
leur,leur,73
visage,visage,21
",",",",p
lentement,lentement,60
/.,/.,P
des,de,81
des,le,71
armes,arme,22
hideuses,hideux,30
leur,leur,52
avaient,avoir,18
fait,faire,12
des,de,81
des,le,71
blessures,blessure,22
compliquées,compliqué,31
/.,/.,P
des,de,81
des,le,71
lambeaux,lambeau,21
verdâtres,verdâtre,30
leur,leur,52
pendaient,pendre,18
du,de,81
du,le,71
front,front,21
;,;,p
ils,ils,51
étaient,être,18
tailladés,taillader,12
en,en,81
morceaux,morceau,21
",",",",p
écrasés,écrasé,31
jusqu',jusque,81
à,à,81
la,le,71
moelle,moelle,22
",",",",p
bleuis,bleui,31
sous,sous,81
des,de,81
des,le,71
strangulations,strangulation,22
",",",",p
ou,ou,82
largement,largement,60
fendus,fendu,31
par,par,81
l',le,71
ivoire,ivoire,21
des,de,81
des,le,71
éléphants,éléphant,21
/.,/.,P
bien,bien,60
qu',que,83
ils,ils,51
fussent,être,18
morts,mourir,12
presque,presque,60
en,en,81
même,même,75
temps,temps,21
",",",",p
des,de,81
des,le,71
différences,différence,22
existaient,exister,18
dans,dans,81
leur,leur,73
corruption,corruption,22
/.,/.,P
les,le,71
hommes,homme,21
du,de,81
du,le,71
nord,nord,21
étaient,être,18
gonflés,gonfler,12
d',de,81
une,un,71
bouffissure,bouffissure,22
livide,livide,30
",",",",p
tandis que,tandis que,83
les,le,71
Africains,Africain,20
",",",",p
plus,plus,60
nerveux,nerveux,30
",",",",p
avaient,avoir,18
l',le,71
air,air,21
enfumés,enfumé,31
",",",",p
et,et,82
déjà,déjà,60
se,se,51
desséchaient,dessécher,18
/.,/.,P
on,on,51
reconnaissait,reconnaître,18
les,le,71
mercenaires,mercenaire,21
aux,à,81
aux,le,71
tatouages,tatouage,21
de,de,81
leurs,leur,73
mains,main,22
:,:,p
les,le,71
vieux,vieux,30
soldats,soldat,21
d',de,81
Antiochus,Antiochus,20
portaient,porter,18
un,un,71
épervier,épervier,21
;,;,p
ceux,celui,52
qui,qui,52
avaient,avoir,18
servi,servir,12
en,en,81
Egypte,Egypte,20
",",",",p
la,le,71
tête,tête,22
d',de,81
un,un,71
cynocéphale,cynocéphale,21
;,;,p
chez,chez,81
les,le,71
princes,prince,21
de,de,81
l',le,71
Asie,Asie,20
",",",",p
une,un,71
hache,hache,22
",",",",p
une,un,71
grenade,grenade,22
",",",",p
un,un,71
marteau,marteau,21
;,;,p
dans,dans,81
les,le,71
républiques,république,22
grecques,grec,30
",",",",p
le,le,71
profil,profil,21
d',de,81
une,un,71
citadelle,citadelle,22
ou,ou,82
le,le,71
nom,nom,21
d',de,81
un,un,71
archonte,archonte,21
;,;,p
et,et,82
on,on,51
en,en,52
voyait,voir,18
dont,dont,52
les,le,71
bras,bras,21
étaient,être,18
couverts,couvrir,12
entièrement,entièrement,60
par,par,81
ces,ce,74
symboles,symbole,21
multipliés,multiplié,31
",",",",p
qui,qui,52
se,se,51
mêlaient,mêler,18
à,à,81
leurs,leur,73
cicatrices,cicatrice,22
et,et,82
aux,à,81
aux,le,71
blessures,blessure,22
nouvelles,nouveau,30
/.,/.,P
pour,pour,81
les,le,71
hommes,homme,21
de,de,81
race,race,22
latine,latin,30
",",",",p
les,le,71
Samnites,Samnite,20
",",",",p
les,le,71
Etrusques,Etrusque,20
",",",",p
les,le,71
Campaniens,Campanien,20
et,et,82
les,le,71
Brutiens,Brutien,20
",",",",p
on,on,51
établit,établir,17
quatre,quatre,72
grands,grand,30
bûchers,bûcher,21
/.,/.,P
les,le,71
Grecs,Grec,20
",",",",p
avec,avec,81
la,le,71
pointe,pointe,22
de,de,81
leurs,leur,73
glaives,glaive,21
",",",",p
creusèrent,creuser,19
des,de,81
des,le,71
fosses,fosse,22
/.,/.,P
les,le,71
Spartiates,Spartiate,20
",",",",p
retirant,retirer,13
leurs,leur,73
manteaux,manteau,21
rouges,rouge,30
",",",",p
en,en,52
enveloppèrent,envelopper,19
les,le,71
morts,mort,21
;,;,p
les,le,71
Athéniens,Athénien,20
les,le,52
étendaient,étendre,18
la,le,71
face,face,22
