11897
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-treizième extrait>,<>,<>
toujours,toujours,60
à,à,81
croire,croire,14
à,à,81
la,le,71
vieillesse,vieillesse,22
du,de,81
du,le,71
coeur,coeur,21
",",",",p
à,à,81
la,le,71
corruption,corruption,22
des,de,81
des,le,71
calculs,calcul,21
",",",",p
quand,quand,83
les,le,71
yeux,oeil,21
nagent,nager,17
encore,encore,60
dans,dans,81
un,un,71
fluide,fluide,21
pur,pur,30
",",",",p
et,et,82
qu',que,83
il,il,51
n',ne,60
y,y,52
a,avoir,17
point,point,60
de,de,81
rides,ride,22
sur,sur,81
le,le,71
front,front,21
/.,/.,P
Charles,Charles,20
n',ne,60
avait,avoir,18
jamais,jamais,60
eu,avoir,12
l',le,71
occasion,occasion,22
d',de,81
appliquer,appliquer,14
les,le,71
maximes,maxime,22
de,de,81
la,le,71
morale,morale,22
parisienne,parisien,30
",",",",p
et,et,82
jusqu',jusque,81
à,à,81
ce,ce,74
jour,jour,21
il,il,51
était,être,18
beau,beau,30
d',de,81
inexpérience,inexpérience,22
/.,/.,P
mais,mais,82
",",",",p
à,à,81
son,son,73
insu,insu,21
",",",",p
l',le,71
égoïsme,égoïsme,21
lui,lui,51
avait,avoir,18
été,être,12
inoculé,inoculer,12
/.,/.,P
les,le,71
germes,germe,21
de,de,81
l',le,71
économie,économie,22
politique,politique,30
à,à,81
l',le,71
usage,usage,21
du,de,81
du,le,71
Parisien,Parisien,20
",",",",p
latents,latent,30
en,en,81
son,son,73
coeur,coeur,21
",",",",p
ne,ne,60
devaient,devoir,18
pas,pas,60
tarder,tarder,14
à,à,81
y,y,52
fleurir,fleurir,14
",",",",p
aussitôt,aussitôt,60
que,que,83
de,de,81
spectateur,spectateur,21
oisif,oisif,30
il,il,51
deviendrait,devenir,16
acteur,acteur,21
dans,dans,81
le,le,71
drame,drame,21
de,de,81
la,le,71
vie,vie,22
réelle,réel,30
/.,/.,P
presque,presque,60
toutes,tout,75
les,le,71
jeunes,jeune,30
filles,fille,22
s',se,51
abandonnent,abandonner,17
aux,à,81
aux,le,71
douces,doux,30
promesses,promesse,22
de,de,81
ces,ce,74
dehors,dehors,21
;,;,p
mais,mais,82
Eugénie,Eugénie,20
eût,avoir,19
elle,il,51
été,être,12
prudente,prudent,30
et,et,82
observatrice,observateur,30
autant,autant,60
que,que,83
le,le,52
sont,être,17
certaines,certain,75
filles,fille,22
en,en,81
province,province,22
",",",",p
aurait,avoir,16
elle,il,51
pu,pouvoir,12
se,se,51
défier,défier,14
de,de,81
son,son,73
cousin,cousin,21
",",",",p
quand,quand,83
",",",",p
chez,chez,81
lui,lui,51
",",",",p
les,le,71
manières,manière,22
",",",",p
les,le,71
paroles,parole,22
et,et,82
les,le,71
actions,action,22
s',se,51
accordaient,accorder,18
encore,encore,60
avec,avec,81
les,le,71
inspirations,inspiration,22
du,de,81
du,le,71
coeur,coeur,21
/?,/?,P
un,un,71
hasard,hasard,21
",",",",p
fatal,fatal,30
pour,pour,81
elle,il,51
",",",",p
lui,lui,51
fit,faire,19
essuyer,essuyer,14
les,le,71
dernières,dernier,30
effusions,effusion,22
de,de,81
sensibilité,sensibilité,22
vraie,vrai,30
qui,qui,52
fût,être,19
en,en,81
ce,ce,74
jeune,jeune,30
coeur,coeur,21
",",",",p
et,et,82
entendre,entendre,14
",",",",p
pour,pour,81
ainsi,ainsi,60
dire,dire,14
",",",",p
les,le,71
derniers,dernier,30
soupirs,soupir,21
de,de,81
la,le,71
conscience,conscience,22
/.,/.,P
elle,il,51
laissa,laisser,19
donc,donc,82
cette,ce,74
lettre,lettre,22
pour,pour,81
elle,il,51
pleine,plein,30
d',de,81
amour,amour,21
",",",",p
et,et,82
se,se,51
mit,mettre,19
complaisamment,complaisamment,60
à,à,81
contempler,contempler,14
son,son,73
cousin,cousin,21
endormi,endormi,31
:,:,p
les,le,71
fraîches,frais,30
illusions,illusion,22
de,de,81
la,le,71
vie,vie,22
jouaient,jouer,18
encore,encore,60
pour,pour,81
elle,il,51
sur,sur,81
ce,ce,74
visage,visage,21
",",",",p
elle,il,51
se,se,51
jura,jurer,19
d'abord,d'abord,60
à,à,81
elle-même,lui-même,51
de,de,81
l',le,52
aimer,aimer,14
toujours,toujours,60
/.,/.,P
puis,puis,60
elle,il,51
jeta,jeter,19
les,le,71
yeux,oeil,21
sur,sur,81
l',le,71
autre,autre,75
lettre,lettre,22
sans,sans,81
attacher,attacher,14
beaucoup,beaucoup,60
d',de,81
importance,importance,22
à,à,81
cette,ce,74
indiscrétion,indiscrétion,22
",",",",p
et,et,82
",",",",p
si,si,83
elle,il,51
commença,commencer,19
de,de,81
la,le,52
lire,lire,14
",",",",p
ce,ce,52
fut,être,19
pour,pour,81
acquérir,acquérir,14
de,de,81
nouvelles,nouveau,30
preuves,preuve,22
des,de,81
des,le,71
nobles,noble,30
qualités,qualité,22
que,que,52
",",",",p
semblable,semblable,30
à,à,81
toutes,tout,75
les,le,71
femmes,femme,22
",",",",p
elle,il,51
prêtait,prêter,18
à,à,81
celui,celui,52
qu',que,52
elle,il,51
choisissait,choisir,18
/.,/.,P
“,“,p
mon,mon,73
cher,cher,30
Alphonse,Alphonse,20
",",",",p
au,à,81
au,le,71
moment,moment,21
où,où,60
tu,tu,51
liras,lire,15
cette,ce,74
lettre,lettre,22
je,je,51
n',ne,60
aurai,avoir,15
plus,plus,60
d',de,81
amis,ami,21
;,;,p
mais,mais,82
je,je,51
t',tu,51
avoue,avouer,17
qu',que,83
en,en,81
doutant,douter,13
de,de,81
ces,ce,74
gens,gens,21
du,de,81
du,le,71
monde,monde,21
habitués,habitué,31
à,à,81
prodiguer,prodiguer,14
ce,ce,74
mot,mot,21
",",",",p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
douté,douter,12
de,de,81
ton,ton,73
amitié,amitié,22
/.,/.,P
je,je,51
te,tu,51
charge,charger,17
donc,donc,82
d',de,81
arranger,arranger,14
mes,mon,73
affaires,affaire,22
",",",",p
et,et,82
compte,compter,17
sur,sur,81
toi,toi,51
",",",",p
pour,pour,81
tirer,tirer,14
un,un,71
bon,bon,30
parti,parti,21
de,de,81
tout,tout,52
ce,ce,52
que,que,52
je,je,51
possède,posséder,17
/.,/.,P
tu,tu,51
dois,devoir,17
maintenant,maintenant,60
connaître,connaître,14
ma,mon,73
position,position,22
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
rien,rien,52
",",",",p
et,et,82
veux,vouloir,17
partir,partir,14
pour,pour,81
les,le,71
Indes,Inde,20
/.,/.,P
je,je,51
viens,venir,17
d',de,81
écrire,écrire,14
à,à,81
toutes,tout,75
les,le,71
personnes,personne,22
auxquelles,à,81
auxquelles,lequel,52
je,je,51
crois,croire,17
devoir,devoir,14
quelque,quelque,75
argent,argent,21
",",",",p
et,et,82
tu,tu,51
en,en,52
trouveras,trouver,15
ci-joint,ci-joint,60
la,le,71
liste,liste,22
aussi,aussi,60
exacte,exact,30
qu',que,83
il,il,51
m',je,51
est,être,17
possible,possible,30
de,de,81
la,le,52
donner,donner,14
de,de,81
mémoire,mémoire,22
/.,/.,P
ma,mon,73
bibliothèque,bibliothèque,22
",",",",p
mes,mon,73
meubles,meuble,21
",",",",p
mes,mon,73
voitures,voiture,22
",",",",p
mes,mon,73
chevaux,cheval,21
",",",",p
etc,et cetera,91
",",",",p
suffiront,suffire,15
",",",",p
je,je,51
crois,croire,17
",",",",p
à,à,81
payer,payer,14
mes,mon,73
dettes,dette,22
/.,/.,P
je,je,51
ne,ne,60
veux,vouloir,17
me,je,51
réserver,réserver,14
que,que,83
les,le,71
babioles,babiole,22
sans,sans,81
valeur,valeur,22
qui,qui,52
seront,être,15
susceptibles,susceptible,30
de,de,81
me,je,51
faire,faire,14
un,un,71
commencement,commencement,21
de,de,81
pacotille,pacotille,22
/.,/.,P
mon,mon,73
cher,cher,30
Alphonse,Alphonse,20
",",",",p
je,je,51
t',tu,51
enverrai,envoyer,15
d',de,81
ici,ici,60
",",",",p
pour,pour,81
cette,ce,74
vente,vente,22
",",",",p
une,un,71
procuration,procuration,22
régulière,régulier,30
",",",",p
en,en,81
cas,cas,21
de,de,81
contestations,contestation,22
/.,/.,P
tu,tu,51
m',je,51
adresseras,adresser,15
toutes,tout,75
mes,mon,73
armes,arme,22
/.,/.,P
puis,puis,60
tu,tu,51
garderas,garder,15
pour,pour,81
toi,toi,51
Briton,Briton,20
/.,/.,P
personne,personne,52
ne,ne,60
voudrait,vouloir,16
donner,donner,14
le,le,71
prix,prix,21
de,de,81
cette,ce,74
admirable,admirable,30
bête,bête,22
",",",",p
j',je,51
aime,aimer,17
mieux,mieux,60
te,tu,51
l',le,52
offrir,offrir,14
",",",",p
comme,comme,83
la,le,71
bague,bague,22
d',de,81
usage,usage,21
que,que,52
lègue,léguer,17
un,un,71
mourant,mourant,21
à,à,81
son,son,73
exécuteur,exécuteur,21
testamentaire,testamentaire,30
/.,/.,P
on,on,51
m',je,51
a,avoir,17
fait,faire,12
une,un,71
très,très,60
confortable,confortable,30
voiture,voiture,22
de,de,81
voyage,voyage,21
chez,chez,81
les,le,71
Farry,Farry,20
",",",",p
Breilman,Breilman,20
et,et,82
cie,compagnie,22
",",",",p
mais,mais,82
ils,ils,51
ne,ne,60
l',le,52
ont,avoir,17
pas,pas,60
livrée,livrer,12
",",",",p
obtiens,obtenir,17
d',de,81
eux,ils,51
qu',que,83
ils,ils,51
la,le,52
gardent,garder,17
sans,sans,81
me,je,51
demander,demander,14
d',de,81
indemnité,indemnité,22
;,;,p
s',si,83
ils,ils,51
se,se,51
refusaient,refuser,18
à,à,81
cet,ce,74
arrangement,arrangement,21
",",",",p
évite,éviter,17
tout,tout,52
ce,ce,52
qui,qui,52
pourrait,pouvoir,16
entacher,entacher,14
ma,mon,73
loyauté,loyauté,22
",",",",p
dans,dans,81
les,le,71
circonstances,circonstance,22
où,où,60
je,je,51
me,je,51
trouve,trouver,17
/.,/.,P
je,je,51
dois,devoir,17
six,six,72
louis,louis,21
à,à,81
l',le,71
insulaire,insulaire,21
",",",",p
perdus,perdu,31
au,à,81
au,le,71
jeu,jeu,21
",",",",p
ne,ne,60
manque,manquer,17
pas,pas,60
de,de,81
les,le,52
lui,lui,51
/…,/…,P
cher,cher,30
cousin,cousin,21
",",",",p
dit,dire,19
Eugénie,Eugénie,20
en,en,81
laissant,laisser,13
la,le,71
lettre,lettre,22
",",",",p
et,et,82
se,se,51
sauvant,sauver,13
à,à,81
petits,petit,30
pas,pas,21
chez,chez,81
elle,il,51
avec,avec,81
une,un,52
des,de,81
des,le,71
bougies,bougie,22
allumées,allumé,31
/.,/.,P
là,là,60
ce,ce,52
ne,ne,60
fut,être,19
pas,pas,60
sans,sans,81
une,un,71
vive,vif,30
émotion,émotion,22
de,de,81
plaisir,plaisir,21
qu',que,52
elle,il,51
ouvrit,ouvrir,19
le,le,71
tiroir,tiroir,21
d',de,81
un,un,71
vieux,vieux,30
meuble,meuble,21
en,en,81
chêne,chêne,21
",",",",p
l',le,71
un,un,52
des,de,81
des,le,71
plus,plus,60
beaux,beau,30
ouvrages,ouvrage,21
de,de,81
l',le,71
époque,époque,22
nommée,nommé,31
la,le,71
Renaissance,Renaissance,20
",",",",p
et,et,82
sur,sur,81
lequel,lequel,52
se,se,51
voyait,voir,18
encore,encore,60
",",",",p
à,à,81
demi,demi,30
effacée,effacé,31
",",",",p
la,le,71
fameuse,fameux,30
salamandre,salamandre,22
royale,royal,30
/.,/.,P
elle,il,51
y,y,52
prit,prendre,19
une,un,71
grosse,gros,30
bourse,bourse,22
en,en,81
velours,velours,21
rouge,rouge,30
à,à,81
glands,gland,21
d',de,81
or,or,21
",",",",p
et,et,82
bordée,bordé,31
de,de,81
cannetille,cannetille,22
usée,usé,31
",",",",p
provenant,provenir,13
de,de,81
la,le,71
succession,succession,22
de,de,81
sa,son,73
grand'mère,grand-mère,22
/.,/.,P
puis,puis,60
elle,il,51
pesa,peser,19
fort,fort,60
orgueilleusement,orgueilleusement,60
cette,ce,74
bourse,bourse,22
",",",",p
et,et,82
se,se,51
plut,plaire,19
à,à,81
vérifier,vérifier,14
le,le,71
compte,compte,21
oublié,oublié,31
de,de,81
son,son,73
petit,petit,30
pécule,pécule,21
/.,/.,P
elle,il,51
sépara,séparer,19
d'abord,d'abord,60
vingt,vingt,72
portugaises,portugaise,22
encore,encore,60
neuves,neuf,30
",",",",p
frappées,frappé,31
sous,sous,81
le,le,71
règne,règne,21
de,de,81
Jean V,Jean V,20
",",",",p
en,en,81
<Nombre 1725>,<>,<>
mille,mille,72
sept,sept,72
cent,cent,72
vingt,vingt,72
cinq,cinq,72
<Fin nombre>,<>,<>
",",",",p
valant,valoir,13
réellement,réellement,60
au,à,81
au,le,71
change,change,21
cinq,cinq,72
lisbonines,lisbonine,22
ou,ou,82
chacune,chacun,52
cent,cent,72
soixante,soixante,72
huit,huit,72
francs,franc,21
soixante,soixante,72
quatre,quatre,72
centimes,centime,21
",",",",p
lui,lui,51
disait,dire,18
son,son,73
père,père,21
",",",",p
mais,mais,82
dont,dont,52
la,le,71
valeur,valeur,22
conventionnelle,conventionnel,30
était,être,18
de,de,81
cent,cent,72
quatre,quatre,72
vingts,vingt,72
francs,franc,21
",",",",p
attendu,attendre,12
la,le,71
rareté,rareté,22
",",",",p
la,le,71
beauté,beauté,22
desdites,de,81
desdites,ledit,30
pièces,pièce,22
qui,qui,52
reluisaient,reluire,18
comme,comme,83
des,de,81
des,le,71
soleils,soleil,21
/.,/.,P
item,item,21
",",",",p
cinq,cinq,72
génovines,génovine,22
ou,ou,82
pièces,pièce,22
de,de,81
cent,cent,72
livres,livre,22
de,de,81
Gênes,Gênes,20
",",",",p
autre,autre,75
monnaie,monnaie,22
rare,rare,30
et,et,82
valant,valoir,13
quatre,quatre,72
vingt,vingt,72
sept,sept,72
francs,franc,21
au,à,81
au,le,71
change,change,21
",",",",p
mais,mais,82
cent,cent,72
francs,franc,21
pour,pour,81
les,le,71
amateurs,amateur,21
d',de,81
or,or,21
/.,/.,P
elles,ils,51
lui,lui,51
venaient,venir,18
du,de,81
du,le,71
vieux,vieux,30
monsieur,monsieur,21
La Bertellière,La Bertellière,20
/.,/.,P
item,item,21
",",",",p
trois,trois,72
quadruples,quadruple,21
d',de,81
or,or,21
espagnols,espagnol,30
de,de,81
Philippe V,Philippe V,20
",",",",p
frappés,frappé,31
en,en,81
<Nombre 1729>,<>,<>
mille,mille,72
sept,sept,72
cent,cent,72
vingt,vingt,72
neuf,neuf,72
<Fin nombre>,<>,<>
",",",",p
donnés,donné,31
par,par,81
madame,madame,22
Gentillet,Gentillet,20
",",",",p
qui,qui,52
",",",",p
en,en,81
les,le,71
lui,lui,51
offrant,offrir,13
",",",",p
lui,lui,51
disait,dire,18
toujours,toujours,60
la,le,71
même,même,75
phrase,phrase,22
:,:,p
-,-,p
ce,ce,74
cher,cher,30
serin,serin,21
là,là,60
",",",",p
ce,ce,74
petit,petit,30
jaunet,jaunet,21
",",",",p
vaut,valoir,17
quatre,quatre,72
vingt,vingt,72
dix,dix,72
huit,huit,72
livres,livre,22
/!,/!,P
gardez,garder,17
le,le,52
bien,bien,60
",",",",p
ma,mon,73
mignonne,mignonne,22
",",",",p
ce,ce,52
sera,être,15
la,le,71
fleur,fleur,22
de,de,81
votre,votre,73
trésor,trésor,21
/.,/.,P
item,item,21
",",",",p
ce,ce,52
que,que,52
son,son,73
père,père,21
estimait,estimer,18
le,le,71
plus,plus,60
(,(,p
l',le,71
or,or,21
de,de,81
ces,ce,74
pièces,pièce,22
était,être,18
à,à,81
vingt,vingt,72
trois,trois,72
carats,carat,21
et,et,82
une,un,71
fraction,fraction,22
),),p
",",",",p
cent,cent,72
ducats,ducat,21
de,de,81
Hollande,Hollande,20
",",",",p
fabriqués,fabriqué,31
en,en,81
l',le,71
an,an,21
<Nombre 1756>,<>,<>
mille,mille,72
sept,sept,72
cent,cent,72
cinquante,cinquante,72
six,six,72
<Fin nombre>,<>,<>
",",",",p
et,et,82
valant,valoir,13
près,près,81
de,de,81
treize,treize,72
francs,franc,21
/.,/.,P
item,item,21
",",",",p
une,un,71
grande,grand,30
curiosité,curiosité,22
!,!,p
des,de,81
des,le,71
espèces,espèce,22
de,de,81
médailles,médaille,22
précieuses,précieux,30
aux,à,81
aux,le,71
avares,avare,21
",",",",p
trois,trois,72
roupies,roupie,22
au,à,81
au,le,71
signe,signe,21
de,de,81
la,le,71
balance,balance,22
",",",",p
et,et,82
cinq,cinq,72
roupies,roupie,22
au,à,81
au,le,71
signe,signe,21
de,de,81
Vierge,Vierge,20
",",",",p
toutes,tout,52
d',de,81
or,or,21
pur,pur,30
à,à,81
vingt,vingt,72
quatre,quatre,72
carats,carat,21
",",",",p
la,le,71
magnifique,magnifique,30
monnaie,monnaie,22
du,de,81
du,le,71
Grand-Mogol,Grand-Mogol,20
",",",",p
et,et,82
dont,dont,52
chacune,chacun,52
valait,valoir,18
trente,trente,72
sept,sept,72
francs,franc,21
quarante,quarante,72
centimes,centime,21
au,à,81
au,le,71
poids,poids,21
;,;,p
mais,mais,82
au,à,81
au,le,71
moins,moins,60
cinquante,cinquante,72
francs,franc,21
pour,pour,81
les,le,71
connaisseurs,connaisseur,21
qui,qui,52
aiment,aimer,17
à,à,81
manier,manier,14
l',le,71
or,or,21
/.,/.,P
item,item,21
",",",",p
le,le,71
napoléon,napoléon,21
de,de,81
quarante,quarante,72
francs,franc,21
reçu,reçu,31
l',le,71
avant-veille,avant-veille,22
",",",",p
et,et,82
qu',que,52
elle,il,51
avait,avoir,18
négligemment,négligemment,60
mis,mettre,12
dans,dans,81
sa,son,73
bourse,bourse,22
rouge,rouge,30
/.,/.,P
ce,ce,74
trésor,trésor,21
contenait,contenir,18
des,de,81
des,le,71
pièces,pièce,22
neuves,neuf,30
et,et,82
vierges,vierge,30
",",",",p
de,de,81
véritables,véritable,30
morceaux,morceau,21
d',de,81
art,art,21
desquels,de,81
desquels,lequel,52
le,le,71
père,père,21
Grandet,Grandet,20
s',se,51
informait,informer,18
parfois,parfois,60
et,et,82
qu',que,52
il,il,51
voulait,vouloir,18
revoir,revoir,14
",",",",p
afin,afin,81
de,de,81
détailler,détailler,14
à,à,81
sa,son,73
fille,fille,22
les,le,71
vertus,vertu,22
intrinsèques,intrinsèque,30
",",",",p
comme,comme,83
la,le,71
beauté,beauté,22
du,de,81
du,le,71
cordon,cordon,21
",",",",p
la,le,71
clarté,clarté,22
du,de,81
du,le,71
plat,plat,21
",",",",p
la,le,71
richesse,richesse,22
des,de,81
des,le,71
lettres,lettre,22
dont,dont,52
les,le,71
vives,vif,30
arêtes,arête,22
n',ne,60
étaient,être,18
pas,pas,60
encore,encore,60
rayées,rayer,12
/.,/.,P
mais,mais,82
elle,il,51
ne,ne,60
pensait,penser,18
ni,ni,82
à,à,81
ces,ce,74
raretés,rareté,22
",",",",p
ni,ni,82
à,à,81
la,le,71
manie,manie,22
de,de,81
son,son,73
père,père,21
",",",",p
ni,ni,82
au,à,81
au,le,71
danger,danger,21
qu',que,52
il,il,51
y,y,52
avait,avoir,18
pour,pour,81
elle,il,51
de,de,81
se,se,51
démunir,démunir,14
d',de,81
un,un,71
trésor,trésor,21
si,si,60
cher,cher,30
à,à,81
son,son,73
père,père,21
;,;,p
non,non,60
",",",",p
elle,il,51
songeait,songer,18
à,à,81
son,son,73
cousin,cousin,21
",",",",p
et,et,82
parvint,parvenir,19
enfin,enfin,60
à,à,81
comprendre,comprendre,14
",",",",p
après,après,81
quelques,quelque,75
fautes,faute,22
de,de,81
calcul,calcul,21
",",",",p
qu',que,83
elle,il,51
possédait,posséder,18
environ,environ,60
cinq,cinq,72
mille,mille,72
huit,huit,72
cents,cent,72
francs,franc,21
en,en,81
valeurs,valeur,22
réelles,réel,30
",",",",p
qui,qui,52
",",",",p
conventionnellement,conventionnellement,60
",",",",p
pouvaient,pouvoir,18
se,se,51
vendre,vendre,14
près,près,81
de,de,81
deux,deux,72
mille,mille,72
écus,écu,21
/.,/.,P
à,à,81
la,le,71
vue,vue,22
de,de,81
ses,son,73
richesses,richesse,22
",",",",p
elle,il,51
se,se,51
mit,mettre,19
à,à,81
applaudir,applaudir,14
en,en,81
battant,battre,13
des,de,81
des,le,71
mains,main,22
",",",",p
comme,comme,83
un,un,71
enfant,enfant,21
forcé,forcé,31
de,de,81
perdre,perdre,14
son,son,73
trop-plein,trop-plein,21
de,de,81
joie,joie,22
dans,dans,81
les,le,71
naïfs,naïf,30
mouvements,mouvement,21
du,de,81
du,le,71
corps,corps,21
/.,/.,P
ainsi,ainsi,60
le,le,71
père,père,21
et,et,82
la,le,71
fille,fille,22
avaient,avoir,18
compté,compter,12
chacun,chacun,52
leur,leur,73
fortune,fortune,22
:,:,p
lui,lui,51
",",",",p
pour,pour,81
aller,aller,14
vendre,vendre,14
son,son,73
or,or,21
;,;,p
Eugénie,Eugénie,20
",",",",p
pour,pour,81
jeter,jeter,14
le,le,71
sien,sien,52
dans,dans,81
un,un,71
océan,océan,21
d',de,81
affection,affection,22
/.,/.,P
elle,il,51
remit,remettre,19
les,le,71
pièces,pièce,22
dans,dans,81
la,le,71
vieille,vieux,30
bourse,bourse,22
",",",",p
la,le,52
prit,prendre,19
et,et,82
remonta,remonter,19
sans,sans,81
hésitation,hésitation,22
/.,/.,P
la,le,71
misère,misère,22
secrète,secret,30
de,de,81
son,son,73
cousin,cousin,21
lui,lui,51
faisait,faire,18
oublier,oublier,14
la,le,71
nuit,nuit,22
",",",",p
les,le,71
convenances,convenance,22
;,;,p
puis,puis,60
",",",",p
elle,il,51
était,être,18
forte,fort,30
de,de,81
sa,son,73
conscience,conscience,22
",",",",p
de,de,81
son,son,73
dévouement,dévouement,21
",",",",p
de,de,81
son,son,73
bonheur,bonheur,21
/.,/.,P
au,à,81
au,le,71
moment,moment,21
où,où,60
elle,il,51
se,se,51
montra,montrer,19
sur,sur,81
le,le,71
seuil,seuil,21
de,de,81
la,le,71
porte,porte,22
",",",",p
en,en,81
tenant,tenir,13
d',de,81
une,un,71
main,main,22
la,le,71
bougie,bougie,22
",",",",p
de,de,81
l',le,71
autre,autre,52
sa,son,73
bourse,bourse,22
",",",",p
Charles,Charles,20
se,se,51
réveilla,réveiller,19
",",",",p
vit,voir,19
sa,son,73
cousine,cousine,22
et,et,82
resta,rester,19
béant,béant,30
de,de,81
surprise,surprise,22
/.,/.,P
Eugénie,Eugénie,20
s',se,51
avança,avancer,19
",",",",p
posa,poser,19
le,le,71
flambeau,flambeau,21
sur,sur,81
la,le,71
table,table,22
et,et,82
dit,dire,19
d',de,81
une,un,71
voix,voix,22
émue,ému,31
:,:,p
-,-,p
mon,mon,73
cousin,cousin,21
",",",",p
j',je,51
ai,avoir,17
à,à,81
vous,vous,51
demander,demander,14
pardon,pardon,21
d',de,81
une,un,71
faute,faute,22
grave,grave,30
que,que,52
j',je,51
ai,avoir,17
commise,commettre,12
envers,envers,81
vous,vous,51
;,;,p
mais,mais,82
dieu,dieu,21
me,je,51
le,le,52
pardonnera,pardonner,15
",",",",p
ce,ce,74
péché,péché,21
",",",",p
si,si,83
vous,vous,51
voulez,vouloir,17
l',le,52
effacer,effacer,14
/.,/.,P
-,-,p
qu',que,52
est,être,17
ce,ce,52
donc,donc,82
?,?,p
dit,dire,19
Charles,Charles,20
en,en,81
se,se,51
frottant,frotter,13
les,le,71
yeux,oeil,21
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
lu,lire,12
ces,ce,74
deux,deux,72
lettres,lettre,22
/.,/.,P
Charles,Charles,20
rougit,rougir,19
/.,/.,P
-,-,p
comment,comment,60
cela,cela,52
s',se,51
est,être,17
il,il,51
fait,faire,12
?,?,p
reprit,reprendre,19
elle,il,51
",",",",p
pourquoi,pourquoi,60
suis,être,17
je,je,51
montée,monter,12
/?,/?,P
en,en,81
vérité,vérité,22
",",",",p
maintenant,maintenant,60
je,je,51
ne,ne,60
le,le,52
sais,savoir,17
plus,plus,60
/.,/.,P
mais,mais,82
",",",",p
je,je,51
suis,être,17
tentée,tenter,12
de,de,81
ne,ne,60
pas,pas,60
trop,trop,60
me,je,51
repentir,repentir,14
d',de,81
avoir,avoir,14
lu,lire,12
ces,ce,74
lettres,lettre,22
",",",",p
puisqu',puisque,83
elles,ils,51
m',je,51
ont,avoir,17
fait,faire,12
connaître,connaître,14
votre,votre,73
coeur,coeur,21
",",",",p
votre,votre,73
âme,âme,22
et,et,82
/…,/…,P
et,et,82
quoi,quoi,52
?,?,p
demanda,demander,19
Charles,Charles,20
/.,/.,P
-,-,p
et,et,82
vos,votre,73
projets,projet,21
",",",",p
la,le,71
nécessité,nécessité,22
où,où,60
vous,vous,51
êtes,être,17
d',de,81
avoir,avoir,14
une,un,71
somme,somme,22
/…,/…,P
ma,mon,73
chère,cher,30
cousine,cousine,22
/…,/…,P
chut,chut,93
",",",",p
chut,chut,93
",",",",p
mon,mon,73
cousin,cousin,21
",",",",p
pas,pas,60
si,si,60
haut,haut,60
",",",",p
n',ne,60
éveillons,éveiller,17
personne,personne,52
/.,/.,P
voici,voici,81
",",",",p
dit,dire,19
elle,il,51
en,en,81
ouvrant,ouvrir,13
la,le,71
bourse,bourse,22
",",",",p
les,le,71
économies,économie,22
d',de,81
une,un,71
pauvre,pauvre,30
fille,fille,22
qui,qui,52
n',ne,60
a,avoir,17
besoin,besoin,21
de,de,81
rien,rien,52
/.,/.,P
Charles,Charles,20
",",",",p
acceptez,accepter,17
les,le,52
/.,/.,P
ce,ce,74
matin,matin,21
",",",",p
j',je,51
ignorais,ignorer,18
ce,ce,52
qu',que,52
était,être,18
l',le,71
argent,argent,21
",",",",p
vous,vous,51
me,je,51
l',le,52
avez,avoir,17
appris,apprendre,12
",",",",p
ce,ce,52
n',ne,60
est,être,17
qu',que,83
un,un,71
moyen,moyen,21
",",",",p
voilà,voilà,81
tout,tout,52
/.,/.,P
un,un,71
cousin,cousin,21
est,être,17
presque,presque,60
un,un,71
frère,frère,21
",",",",p
vous,vous,51
pouvez,pouvoir,17
bien,bien,60
emprunter,emprunter,14
la,le,71
bourse,bourse,22
de,de,81
votre,votre,73
soeur,soeur,22
/.,/.,P
Eugénie,Eugénie,20
",",",",p
autant,autant,60
femme,femme,22
que,que,83
jeune,jeune,30
fille,fille,22
",",",",p
n',ne,60
avait,avoir,18
pas,pas,60
prévu,prévoir,12
des,de,81
des,le,71
refus,refus,21
",",",",p
et,et,82
son,son,73
cousin,cousin,21
restait,rester,18
muet,muet,30
/.,/.,P
-,-,p
eh,eh,93
!,!,p
bien,bien,60
",",",",p
vous,vous,51
refuseriez,refuser,16
?,?,p
demanda,demander,19
Eugénie,Eugénie,20
dont,dont,52
les,le,71
palpitations,palpitation,22
retentirent,retentir,19
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
profond,profond,30
silence,silence,21
/.,/.,P
l',le,71
hésitation,hésitation,22
de,de,81
son,son,73
cousin,cousin,21
l',le,52
humilia,humilier,19
;,;,p
mais,mais,82
la,le,71
nécessité,nécessité,22
dans,dans,81
laquelle,lequel,52
il,il,51
se,se,51
trouvait,trouver,18
se,se,51
représenta,représenter,19
plus,plus,60
vivement,vivement,60
à,à,81
son,son,73
esprit,esprit,21
",",",",p
et,et,82
elle,il,51
plia,plier,19
le,le,71
genou,genou,21
/.,/.,P
-,-,p
je,je,51
ne,ne,60
me,je,51
relèverai,relever,15
pas,pas,60
que,que,83
vous,vous,51
n',ne,60
ayez,avoir,17
pris,prendre,12
cet,ce,74
or,or,21
!,!,p
dit,dire,19
elle,il,51
/.,/.,P
mon,mon,73
cousin,cousin,21
",",",",p
de,de,81
