11881
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-quatrième extrait>,<>,<>
avait,avoir,18
vidé,vider,12
",",",",p
ne,ne,60
contenait,contenir,18
que,que,83
trois,trois,72
francs,franc,21
quatre,quatre,72
sous,sou,21
/.,/.,P
le,le,71
directeur,directeur,21
avait,avoir,18
d',de,81
ailleurs,ailleurs,60
évité,éviter,12
de,de,81
mettre,mettre,14
la,le,71
police,police,22
dans,dans,81
l',le,71
affaire,affaire,22
",",",",p
pour,pour,81
épargner,épargner,14
à,à,81
ces,ce,74
pauvres,pauvre,30
dames,dame,22
de,de,81
Beauvilliers,Beauvilliers,20
le,le,71
scandale,scandale,21
public,public,30
;,;,p
et,et,82
madame,madame,22
Caroline,Caroline,20
l',le,52
en,en,52
remercia,remercier,19
",",",",p
promit,promettre,19
qu',que,83
elle-même,lui-même,51
ne,ne,60
ferait,faire,16
aucune,aucun,75
démarche,démarche,22
à,à,81
la,le,71
préfecture,préfecture,22
",",",",p
malgré,malgré,81
son,son,73
ardent,ardent,30
désir,désir,21
de,de,81
savoir,savoir,14
/.,/.,P
puis,puis,60
",",",",p
désespérée,désespéré,31
de,de,81
s',se,51
en,en,52
aller,aller,14
aussi,aussi,60
ignorante,ignorant,30
qu',que,83
elle,il,51
était,être,18
venue,venir,12
",",",",p
elle,il,51
eut,avoir,19
l',le,71
idée,idée,22
de,de,81
monter,monter,14
à,à,81
l',le,71
infirmerie,infirmerie,22
",",",",p
pour,pour,81
interroger,interroger,14
les,le,71
soeurs,soeur,22
/.,/.,P
mais,mais,82
elle,il,51
n',ne,60
en,en,52
tira,tirer,19
non,non,60
plus,plus,60
aucun,aucun,75
renseignement,renseignement,21
précis,précis,30
",",",",p
et,et,82
elle,il,51
ne,ne,60
goûta,goûter,19
en,en,81
haut,haut,21
",",",",p
dans,dans,81
la,le,71
petite,petit,30
pièce,pièce,22
calme,calme,30
qui,qui,52
séparait,séparer,18
le,le,71
dortoir,dortoir,21
des,de,81
des,le,71
filles,fille,22
de,de,81
celui,celui,52
des,de,81
des,le,71
garçons,garçon,21
",",",",p
que,que,83
quelques,quelque,75
minutes,minute,22
de,de,81
profond,profond,30
apaisement,apaisement,21
/.,/.,P
un,un,71
joyeux,joyeux,30
vacarme,vacarme,21
montait,monter,18
",",",",p
c',ce,52
était,être,18
l',le,71
heure,heure,22
de,de,81
la,le,71
récréation,récréation,22
",",",",p
elle,il,51
se,se,51
sentit,sentir,19
injuste,injuste,30
pour,pour,81
les,le,71
guérisons,guérison,22
heureuses,heureux,30
",",",",p
obtenues,obtenu,31
par,par,81
le,le,71
grand,grand,30
air,air,21
",",",",p
le,le,71
bien-être,bien-être,21
et,et,82
le,le,71
travail,travail,21
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
certainement,certainement,60
là,là,60
des,de,81
des,le,71
hommes,homme,21
sains,sain,30
et,et,82
forts,fort,30
qui,qui,52
poussaient,pousser,18
/.,/.,P
un,un,71
bandit,bandit,21
sur,sur,81
quatre,quatre,72
ou,ou,82
cinq,cinq,72
honnêtetés,honnêteté,22
moyennes,moyen,30
",",",",p
que,que,52
cela,cela,52
serait,être,16
beau,beau,30
encore,encore,60
",",",",p
dans,dans,81
les,le,71
hasards,hasard,21
qui,qui,52
aggravent,aggraver,17
ou,ou,82
qui,qui,52
amoindrissent,amoindrir,17
les,le,71
tares,tare,22
héréditaires,héréditaire,30
/!,/!,P
et,et,82
madame,madame,22
Caroline,Caroline,20
",",",",p
laissée,laissé,31
seule,seul,30
un,un,71
instant,instant,21
par,par,81
la,le,71
soeur,soeur,22
de,de,81
service,service,21
",",",",p
s',se,51
approchait,approcher,18
de,de,81
la,le,71
fenêtre,fenêtre,22
",",",",p
pour,pour,81
voir,voir,14
les,le,71
enfants,enfant,21
jouer,jouer,14
",",",",p
en,en,81
bas,bas,21
",",",",p
lorsque,lorsque,83
des,de,81
des,le,71
voix,voix,22
cristallines,cristallin,30
de,de,81
petites,petit,30
filles,fille,22
",",",",p
dans,dans,81
l',le,71
infirmerie,infirmerie,22
voisine,voisin,30
",",",",p
l',le,52
attirèrent,attirer,19
/.,/.,P
la,le,71
porte,porte,22
se,se,51
trouvait,trouver,18
à,à,81
demi,demi,30
ouverte,ouvert,31
",",",",p
elle,il,51
put,pouvoir,19
assister,assister,14
à,à,81
la,le,71
scène,scène,22
sans,sans,81
être,être,14
remarquée,remarquer,12
/.,/.,P
c',ce,52
était,être,18
une,un,71
pièce,pièce,22
très,très,60
gaie,gai,30
",",",",p
cette,ce,74
infirmerie,infirmerie,22
blanche,blanc,30
",",",",p
aux,à,81
aux,le,71
murs,mur,21
blancs,blanc,30
",",",",p
avec,avec,81
les,le,71
quatre,quatre,72
lits,lit,21
drapés,drapé,31
de,de,81
rideaux,rideau,21
blancs,blanc,30
/.,/.,P
une,un,71
large,large,30
nappe,nappe,22
de,de,81
soleil,soleil,21
dorait,dorer,18
cette,ce,74
blancheur,blancheur,22
",",",",p
toute,tout,75
une,un,71
floraison,floraison,22
de,de,81
lis,lis,21
au,à,81
au,le,71
milieu,milieu,21
de,de,81
l',le,71
air,air,21
tiède,tiède,30
/.,/.,P
dans,dans,81
le,le,71
premier,premier,72
lit,lit,21
",",",",p
à,à,81
gauche,gauche,22
",",",",p
elle,il,51
reconnut,reconnaître,19
très,très,60
bien,bien,60
Madeleine,Madeleine,20
",",",",p
la,le,71
fillette,fillette,22
qui,qui,52
était,être,18
déjà,déjà,60
là,là,60
",",",",p
convalescente,convalescent,30
",",",",p
mangeant,manger,13
des,de,81
des,le,71
tartines,tartine,22
de,de,81
confiture,confiture,22
",",",",p
le,le,71
jour,jour,21
où,où,60
elle,il,51
avait,avoir,18
amené,amener,12
Victor,Victor,20
/.,/.,P
toujours,toujours,60
elle,il,51
retombait,retomber,18
malade,malade,30
",",",",p
dévastée,dévasté,31
par,par,81
l',le,71
alcoolisme,alcoolisme,21
de,de,81
sa,son,73
race,race,22
",",",",p
si,si,60
pauvre,pauvre,30
de,de,81
sang,sang,21
",",",",p
qu',que,83
avec,avec,81
ses,son,73
grands,grand,30
yeux,oeil,21
de,de,81
femme,femme,22
faite,fait,31
",",",",p
elle,il,51
était,être,18
mince,mince,30
et,et,82
blanche,blanc,30
comme,comme,83
une,un,71
sainte,sainte,22
de,de,81
vitrail,vitrail,21
/.,/.,P
elle,il,51
avait,avoir,18
treize,treize,72
ans,an,21
",",",",p
seule,seul,30
au,à,81
au,le,71
monde,monde,21
désormais,désormais,60
",",",",p
sa,son,73
mère,mère,22
étant,être,13
morte,mourir,12
",",",",p
un,un,71
soir,soir,21
de,de,81
soûlerie,soûlerie,22
",",",",p
d',de,81
un,un,71
coup,coup,21
de,de,81
pied,pied,21
dans,dans,81
le,le,71
ventre,ventre,21
",",",",p
qu',que,52
un,un,71
homme,homme,21
lui,lui,51
avait,avoir,18
allongé,allonger,12
pour,pour,81
ne,ne,60
pas,pas,60
lui,lui,51
donner,donner,14
les,le,71
six,six,72
sous,sou,21
dont,dont,52
ils,ils,51
étaient,être,18
convenus,convenir,12
/.,/.,P
et,et,82
c',ce,52
était,être,18
elle,il,51
",",",",p
dans,dans,81
sa,son,73
longue,long,30
chemise,chemise,22
blanche,blanc,30
",",",",p
agenouillée,agenouiller,12
au,à,81
au,le,71
milieu,milieu,21
de,de,81
son,son,73
lit,lit,21
",",",",p
avec,avec,81
ses,son,73
cheveux,cheveu,21
blonds,blond,30
dénoués,dénoué,31
sur,sur,81
les,le,71
épaules,épaule,22
",",",",p
qui,qui,52
enseignait,enseigner,18
une,un,71
prière,prière,22
à,à,81
trois,trois,72
petites,petit,30
filles,fille,22
occupant,occuper,13
les,le,71
trois,trois,72
autres,autre,75
lits,lit,21
/.,/.,P
“,“,p
joignez,joindre,17
vos,votre,73
mains,main,22
comme,comme,83
ça,ça,52
",",",",p
ouvrez,ouvrir,17
votre,votre,73
coeur,coeur,21
tout,tout,60
grand,grand,30
/…,/…,P
“,“,p
les,le,71
trois,trois,72
petites,petit,30
filles,fille,22
étaient,être,18
",",",",p
elles,ils,51
aussi,aussi,60
",",",",p
agenouillées,agenouiller,12
au,à,81
au,le,71
milieu,milieu,21
de,de,81
leurs,leur,73
draps,drap,21
/.,/.,P
deux,deux,72
avaient,avoir,18
de,de,81
huit,huit,72
à,à,81
dix,dix,72
ans,an,21
",",",",p
la,le,71
troisième,troisième,72
n',ne,60
en,en,52
avait,avoir,18
pas,pas,60
cinq,cinq,72
/.,/.,P
dans,dans,81
les,le,71
longues,long,30
chemises,chemise,22
blanches,blanc,30
",",",",p
avec,avec,81
leurs,leur,73
frêles,frêle,30
mains,main,22
jointes,joint,31
",",",",p
leurs,leur,73
visages,visage,21
sérieux,sérieux,30
et,et,82
extasiés,extasié,31
",",",",p
on,on,51
aurait,avoir,16
dit,dire,12
de,de,81
petits,petit,30
anges,ange,21
/.,/.,P
“,“,p
et,et,82
vous,vous,51
allez,aller,17
répéter,répéter,14
après,après,81
moi,moi,51
ce,ce,52
que,que,52
je,je,51
vais,aller,17
dire,dire,14
/.,/.,P
écoutez,écouter,17
bien,bien,60
/…,/…,P
mon,mon,73
dieu,dieu,21
!,!,p
faites,faire,17
que,que,83
monsieur,monsieur,21
Saccard,Saccard,20
soit,être,17
récompensé,récompenser,12
de,de,81
sa,son,73
bonté,bonté,22
",",",",p
qu',que,83
il,il,51
ait,avoir,17
de,de,81
longs,long,30
jours,jour,21
et,et,82
qu',que,83
il,il,51
soit,être,17
heureux,heureux,30
/.,/.,P
“,“,p
alors,alors,60
",",",",p
avec,avec,81
des,de,81
des,le,71
voix,voix,22
de,de,81
chérubin,chérubin,21
",",",",p
un,un,71
zézaiement,zézaiement,21
d',de,81
une,un,71
maladresse,maladresse,22
adorable,adorable,30
d',de,81
enfance,enfance,22
",",",",p
les,le,71
quatre,quatre,72
fillettes,fillette,22
répétèrent,répéter,19
ensemble,ensemble,60
",",",",p
dans,dans,81
un,un,71
élan,élan,21
de,de,81
foi,foi,22
où,où,60
tout,tout,75
leur,leur,73
petit,petit,30
être,être,21
pur,pur,30
se,se,51
donnait,donner,18
:,:,p
“,“,p
mon,mon,73
dieu,dieu,21
!,!,p
faites,faire,17
que,que,83
monsieur,monsieur,21
Saccard,Saccard,20
soit,être,17
récompensé,récompenser,12
de,de,81
sa,son,73
bonté,bonté,22
",",",",p
qu',que,83
il,il,51
ait,avoir,17
de,de,81
longs,long,30
jours,jour,21
et,et,82
qu',que,83
il,il,51
soit,être,17
heureux,heureux,30
/.,/.,P
“,“,p
d',de,81
un,un,71
mouvement,mouvement,21
emporté,emporté,31
",",",",p
madame,madame,22
Caroline,Caroline,20
allait,aller,18
entrer,entrer,14
dans,dans,81
la,le,71
pièce,pièce,22
faire,faire,14
taire,taire,14
ces,ce,74
enfants,enfant,21
",",",",p
leur,leur,52
défendre,défendre,14
ce,ce,52
qu',que,52
elle,il,51
regardait,regarder,18
comme,comme,83
un,un,71
jeu,jeu,21
blasphématoire,blasphématoire,30
et,et,82
cruel,cruel,30
/.,/.,P
non,non,60
",",",",p
non,non,60
/!,/!,P
Saccard,Saccard,20
n',ne,60
avait,avoir,18
pas,pas,60
le,le,71
droit,droit,21
d',de,81
être,être,14
aimé,aimer,12
",",",",p
c',ce,52
était,être,18
salir,salir,14
l',le,71
enfance,enfance,22
que,que,83
de,de,81
la,le,52
laisser,laisser,14
prier,prier,14
pour,pour,81
son,son,73
bonheur,bonheur,21
/!,/!,P
puis,puis,60
",",",",p
un,un,71
grand,grand,30
frisson,frisson,21
l',le,52
arrêta,arrêter,19
",",",",p
des,de,81
des,le,71
larmes,larme,22
lui,lui,51
montaient,monter,18
aux,à,81
aux,le,71
yeux,oeil,21
/.,/.,P
pourquoi,pourquoi,60
donc,donc,82
aurait,avoir,16
elle,il,51
fait,faire,12
épouser,épouser,14
sa,son,73
querelle,querelle,22
",",",",p
la,le,71
colère,colère,22
de,de,81
son,son,73
expérience,expérience,22
",",",",p
à,à,81
ces,ce,74
êtres,être,21
innocents,innocent,30
",",",",p
ne,ne,60
sachant,savoir,13
rien,rien,52
encore,encore,60
de,de,81
la,le,71
vie,vie,22
/?,/?,P
est,être,17
ce,ce,52
que,que,83
Saccard,Saccard,20
n',ne,60
avait,avoir,18
pas,pas,60
été,être,12
bon,bon,30
pour,pour,81
eux,ils,51
",",",",p
lui,lui,51
qui,qui,52
était,être,18
un,un,71
peu,peu,60
le,le,71
créateur,créateur,21
de,de,81
cette,ce,74
maison,maison,22
",",",",p
qui,qui,52
leur,leur,52
envoyait,envoyer,18
tous,tout,75
les,le,71
mois,mois,21
des,de,81
des,le,71
jouets,jouet,21
/?,/?,P
un,un,71
trouble,trouble,21
profond,profond,30
l',le,52
avait,avoir,18
saisie,saisir,12
",",",",p
elle,il,51
retrouvait,retrouver,18
cette,ce,74
preuve,preuve,22
qu',que,52
il,il,51
n',ne,60
y,y,52
a,avoir,17
point,point,60
d',de,81
homme,homme,21
condamnable,condamnable,30
",",",",p
qui,qui,52
",",",",p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
tout,tout,75
le,le,71
mal,mal,21
qu',que,52
il,il,51
a,avoir,17
pu,pouvoir,12
faire,faire,14
",",",",p
n',ne,60
ait,avoir,17
encore,encore,60
fait,faire,12
beaucoup,beaucoup,60
de,de,81
bien,bien,21
/.,/.,P
et,et,82
elle,il,51
partit,partir,19
",",",",p
pendant,pendant,81
que,que,83
les,le,71
fillettes,fillette,22
reprenaient,reprendre,18
leur,leur,73
prière,prière,22
",",",",p
elle,il,51
emporta,emporter,19
dans,dans,81
son,son,73
oreille,oreille,22
ces,ce,74
voix,voix,22
angéliques,angélique,30
appelant,appeler,13
les,le,71
bénédictions,bénédiction,22
du,de,81
du,le,71
ciel,ciel,21
sur,sur,81
l',le,71
homme,homme,21
d',de,81
inconscience,inconscience,22
et,et,82
de,de,81
catastrophe,catastrophe,22
",",",",p
dont,dont,52
les,le,71
mains,main,22
folles,fou,30
venaient,venir,18
de,de,81
ruiner,ruiner,14
un,un,71
monde,monde,21
/.,/.,P
comme,comme,83
elle,il,51
quittait,quitter,18
enfin,enfin,60
son,son,73
fiacre,fiacre,21
",",",",p
boulevard,boulevard,21
du,de,81
du,le,71
palais,palais,21
",",",",p
devant,devant,81
la,le,71
Conciergerie,Conciergerie,20
",",",",p
elle,il,51
s',se,51
aperçut,apercevoir,19
que,que,83
",",",",p
dans,dans,81
son,son,73
émotion,émotion,22
",",",",p
elle,il,51
avait,avoir,18
oublié,oublier,12
",",",",p
chez,chez,81
elle,il,51
",",",",p
la,le,71
botte,botte,22
d',de,81
oeillets,oeillet,21
qu',que,52
elle,il,51
avait,avoir,18
préparée,préparer,12
le,le,71
matin,matin,21
pour,pour,81
son,son,73
frère,frère,21
/.,/.,P
une,un,71
marchande,marchande,22
était,être,18
là,là,60
",",",",p
vendant,vendre,13
des,de,81
des,le,71
petits,petit,30
bouquets,bouquet,21
de,de,81
roses,rose,22
de,de,81
deux,deux,72
sous,sou,21
",",",",p
et,et,82
elle,il,51
en,en,52
prit,prendre,19
un,un,52
",",",",p
et,et,82
elle,il,51
fit,faire,19
sourire,sourire,14
Hamelin,Hamelin,20
",",",",p
qui,qui,52
adorait,adorer,18
les,le,71
fleurs,fleur,22
",",",",p
lorsqu',lorsque,83
elle,il,51
lui,lui,51
conta,conter,19
son,son,73
étourderie,étourderie,22
/.,/.,P
ce,ce,74
jour,jour,21
là,là,60
pourtant,pourtant,60
",",",",p
elle,il,51
le,le,52
trouva,trouver,19
triste,triste,30
/.,/.,P
d'abord,d'abord,60
",",",",p
pendant,pendant,81
les,le,71
premières,premier,72
semaines,semaine,22
de,de,81
son,son,73
emprisonnement,emprisonnement,21
",",",",p
il,il,51
n',ne,60
avait,avoir,18
pu,pouvoir,12
croire,croire,14
à,à,81
des,de,81
des,le,71
charges,charge,22
sérieuses,sérieux,30
contre,contre,81
lui,lui,51
/.,/.,P
sa,son,73
défense,défense,22
lui,lui,51
semblait,sembler,18
si,si,60
simple,simple,30
:,:,p
on,on,51
ne,ne,60
l',le,52
avait,avoir,18
nommé,nommer,12
président,président,21
que,que,83
contre,contre,81
son,son,73
gré,gré,21
",",",",p
il,il,51
était,être,18
resté,rester,12
en,en,81
dehors,dehors,21
de,de,81
toutes,tout,75
les,le,71
opérations,opération,22
financières,financier,30
",",",",p
presque,presque,60
toujours,toujours,60
absent,absent,30
de,de,81
Paris,Paris,20
",",",",p
ne,ne,60
pouvant,pouvoir,13
exercer,exercer,14
aucun,aucun,75
contrôle,contrôle,21
/.,/.,P
mais,mais,82
les,le,71
conversations,conversation,22
avec,avec,81
son,son,73
avocat,avocat,21
",",",",p
les,le,71
démarches,démarche,22
que,que,52
faisait,faire,18
madame,madame,22
Caroline,Caroline,20
et,et,82
dont,dont,52
elle,il,51
lui,lui,51
disait,dire,18
l',le,71
inutile,inutile,30
fatigue,fatigue,22
",",",",p
lui,lui,51
avaient,avoir,18
ensuite,ensuite,60
fait,faire,12
entrevoir,entrevoir,14
les,le,71
effrayantes,effrayant,30
responsabilités,responsabilité,22
qui,qui,52
l',le,52
accablaient,accabler,18
/.,/.,P
il,il,51
allait,aller,18
être,être,14
solidaire,solidaire,30
des,de,81
des,le,71
moindres,moindre,30
illégalités,illégalité,22
commises,commis,31
",",",",p
jamais,jamais,60
on,on,51
n',ne,60
admettrait,admettre,16
qu',que,83
il,il,51
en,en,52
ignorât,ignorer,18
une,un,71
seule,seul,30
",",",",p
Saccard,Saccard,20
l',le,52
entraînait,entraîner,18
dans,dans,81
une,un,71
déshonorante,déshonorant,30
complicité,complicité,22
/.,/.,P
et,et,82
ce,ce,52
fut,être,19
alors,alors,60
qu',que,83
il,il,51
dut,devoir,19
à,à,81
sa,son,73
foi,foi,22
un,un,71
peu,peu,60
simple,simple,30
de,de,81
catholique,catholique,21
pratiquant,pratiquant,30
une,un,71
résignation,résignation,22
",",",",p
une,un,71
tranquillité,tranquillité,22
d',de,81
âme,âme,22
",",",",p
qui,qui,52
étonnaient,étonner,18
sa,son,73
soeur,soeur,22
/.,/.,P
quand,quand,83
elle,il,51
arrivait,arriver,18
du,de,81
du,le,71
dehors,dehors,21
",",",",p
de,de,81
ses,son,73
courses,course,22
anxieuses,anxieux,30
",",",",p
de,de,81
cette,ce,74
humanité,humanité,22
en,en,81
liberté,liberté,22
si,si,60
trouble,trouble,30
et,et,82
si,si,60
dure,dur,30
",",",",p
elle,il,51
restait,rester,18
saisie,saisi,31
de,de,81
le,le,52
voir,voir,14
paisible,paisible,30
",",",",p
souriant,souriant,30
",",",",p
dans,dans,81
sa,son,73
cellule,cellule,22
nue,nu,30
",",",",p
où,où,60
il,il,51
avait,avoir,18
",",",",p
en,en,81
grand,grand,30
enfant,enfant,21
pieux,pieux,30
",",",",p
doué,douer,12
quatre,quatre,72
images,image,22
de,de,81
sainteté,sainteté,22
",",",",p
coloriées,colorié,31
violemment,violemment,60
",",",",p
autour,autour,60
d',de,81
un,un,71
petit,petit,30
crucifix,crucifix,21
de,de,81
bois,bois,21
noir,noir,30
/.,/.,P
dès,dès,81
qu',que,83
on,on,51
se,se,51
met,mettre,17
dans,dans,81
la,le,71
main,main,22
de,de,81
dieu,dieu,21
",",",",p
il,il,51
n',ne,60
y,y,52
a,avoir,17
plus,plus,60
de,de,81
révolte,révolte,22
",",",",p
toute,tout,75
souffrance,souffrance,22
imméritée,immérité,30
est,être,17
un,un,71
gage,gage,21
de,de,81
salut,salut,21
/.,/.,P
son,son,73
unique,unique,30
tristesse,tristesse,22
",",",",p
parfois,parfois,60
",",",",p
venait,venir,18
de,de,81
l',le,71
arrêt,arrêt,21
désastreux,désastreux,30
de,de,81
ses,son,73
grands,grand,30
travaux,travail,21
/.,/.,P
qui,qui,52
reprendrait,reprendre,16
son,son,73
oeuvre,oeuvre,22
?,?,p
qui,qui,52
continuerait,continuer,16
la,le,71
résurrection,résurrection,22
de,de,81
l',le,71
Orient,Orient,20
",",",",p
si,si,60
heureusement,heureusement,60
commencée,commencé,31
par,par,81
la,le,71
Compagnie Générale,Compagnie Générale,20
des,de,81
des,le,71
paquebots,paquebot,21
réunis,réuni,31
et,et,82
par,par,81
la,le,71
société,société,22
des,de,81
des,le,71
mines,mine,22
d',de,81
argent,argent,21
du,de,81
du,le,71
Carmel,Carmel,20
?,?,p
qui,qui,52
construirait,construire,16
le,le,71
réseau,réseau,21
de,de,81
lignes,ligne,22
ferrées,ferré,31
",",",",p
de,de,81
Brousse,Brousse,20
à,à,81
Beyrouth,Beyrouth,20
et,et,82
à,à,81
Damas,Damas,20
",",",",p
de,de,81
Smyrne,Smyrne,20
à,à,81
Trébizonde,Trébizonde,20
",",",",p
toute,tout,75
cette,ce,74
circulation,circulation,22
de,de,81
sang,sang,21
jeune,jeune,30
dans,dans,81
les,le,71
veines,veine,22
du,de,81
du,le,71
vieux,vieux,30
monde,monde,21
/?,/?,P
là,là,60
d',de,81
ailleurs,ailleurs,60
encore,encore,60
",",",",p
il,il,51
croyait,croire,18
",",",",p
il,il,51
disait,dire,18
que,que,83
l',le,71
oeuvre,oeuvre,22
entreprise,entrepris,31
ne,ne,60
pouvait,pouvoir,18
mourir,mourir,14
",",",",p
il,il,51
n',ne,60
éprouvait,éprouver,18
que,que,83
la,le,71
douleur,douleur,22
de,de,81
n',ne,60
être,être,14
plus,plus,60
celui,celui,52
que,que,52
le,le,71
ciel,ciel,21
avait,avoir,18
élu,élire,12
pour,pour,81
l',le,52
exécuter,exécuter,14
/.,/.,P
surtout,surtout,60
",",",",p
sa,son,73
voix,voix,22
se,se,51
brisait,briser,18
",",",",p
lorsqu',lorsque,83
il,il,51
cherchait,chercher,18
en,en,81
punition,punition,22
de,de,81
quelle,quel,75
faute,faute,22
dieu,dieu,21
ne,ne,60
lui,lui,51
avait,avoir,18
pas,pas,60
permis,permettre,12
de,de,81
réaliser,réaliser,14
la,le,71
grande,grand,30
banque,banque,22
catholique,catholique,30
destinée,destiné,31
à,à,81
transformer,transformer,14
la,le,71
société,société,22
moderne,moderne,30
",",",",p
ce,ce,74
Trésor,Trésor,20
du,de,81
du,le,71
Saint-Sépulcre,Saint-Sépulcre,20
qui,qui,52
rendrait,rendre,16
un,un,71
royaume,royaume,21
au,à,81
au,le,71
pape,pape,21
et,et,82
qui,qui,52
finirait,finir,16
par,par,81
faire,faire,14
une,un,71
seule,seul,30
nation,nation,22
de,de,81
tous,tout,75
les,le,71
peuples,peuple,21
",",",",p
en,en,81
enlevant,enlever,13
aux,à,81
aux,le,71
juifs,juif,21
la,le,71
puissance,puissance,22
souveraine,souverain,30
de,de,81
l',le,71
argent,argent,21
/.,/.,P
il,il,51
la,le,52
prédisait,prédire,18
aussi,aussi,60
",",",",p
cette,ce,74
banque,banque,22
",",",",p
inévitable,inévitable,30
",",",",p
invincible,invincible,30
;,;,p
il,il,51
annonçait,annoncer,18
le,le,71
juste,juste,21
aux,à,81
aux,le,71
mains,main,22
pures,pur,30
qui,qui,52
la,le,52
fonderait,fonder,16
un,un,71
jour,jour,21
/.,/.,P
et,et,82
si,si,83
",",",",p
cet,ce,74
après-midi,après-midi,21
là,là,60
",",",",p
il,il,51
semblait,sembler,18
soucieux,soucieux,30
",",",",p
ce,ce,52
devait,devoir,18
être,être,14
simplement,simplement,60
que,que,83
",",",",p
dans,dans,81
sa,son,73
sérénité,sérénité,22
de,de,81
prévenu,prévenu,21
dont,dont,52
on,on,51
allait,aller,18
faire,faire,14
un,un,71
coupable,coupable,21
",",",",p
il,il,51
avait,avoir,18
songé,songer,12
que,que,83
",",",",p
jamais,jamais,60
",",",",p
au,à,81
au,le,71
sortir,sortir,21
de,de,81
prison,prison,22
",",",",p
il,il,51
n',ne,60
aurait,avoir,16
les,le,71
mains,main,22
assez,assez,60
nettes,net,30
pour,pour,81
reprendre,reprendre,14
la,le,71
grande,grand,30
besogne,besogne,22
/.,/.,P
d',de,81
une,un,71
oreille,oreille,22
distraite,distrait,31
",",",",p
il,il,51
écouta,écouter,19
sa,son,73
soeur,soeur,22
lui,lui,51
expliquer,expliquer,14
que,que,83
",",",",p
dans,dans,81
les,le,71
journaux,journal,21
",",",",p
l',le,71
opinion,opinion,22
paraissait,paraître,18
lui,lui,51
redevenir,redevenir,14
un,un,71
peu,peu,60
plus,plus,60
favorable,favorable,30
/.,/.,P
puis,puis,60
",",",",p
sans,sans,81
transition,transition,22
",",",",p
la,le,52
regardant,regarder,13
de,de,81
ses,son,73
yeux,oeil,21
de,de,81
dormeur,dormeur,21
éveillé,éveillé,31
:,:,p
“,“,p
pourquoi,pourquoi,60
refuses,refuser,17
tu,tu,51
de,de,81
le,le,52
voir,voir,14
/?,/?,P
elle,il,51
frémit,frémir,17
",",",",p
elle,il,51
comprit,comprendre,19
bien,bien,60
qu',que,83
il,il,51
lui,lui,51
parlait,parler,18
de,de,81
Saccard,Saccard,20
/.,/.,P
d',de,81
un,un,71
signe,signe,21
de,de,81
tête,tête,22
",",",",p
elle,il,51
dit,dire,19
non,non,60
",",",",p
encore,encore,60
non,non,60
/.,/.,P
alors,alors,60
",",",",p
il,il,51
se,se,51
décida,décider,19
",",",",p
confus,confus,30
",",",",p
à,à,81
voix,voix,22
très,très,60
basse,bas,30
/.,/.,P
“,“,p
après,après,81
ce,ce,52
qu',que,52
il,il,51
a,avoir,17
été,être,12
pour,pour,81
toi,toi,51
",",",",p
tu,tu,51
ne,ne,60
peux,pouvoir,17
refuser,refuser,14
",",",",p
va,aller,17
le,le,52
voir,voir,14
/!,/!,P
mon,mon,73
dieu,dieu,21
!,!,p
il,il,51
savait,savoir,18
",",",",p
elle,il,51
fut,être,19
envahie,envahir,12
d',de,81
une,un,71
ardente,ardent,30
rougeur,rougeur,22
",",",",p
elle,il,51
se,se,51
jeta,jeter,19
dans,dans,81
ses,son,73
bras,bras,21
pour,pour,81
cacher,cacher,14
son,son,73
visage,visage,21
;,;,p
et,et,82
elle,il,51
bégayait,bégayer,18
",",",",p
demandait,demander,18
qui,qui,52
avait,avoir,18
pu,pouvoir,12
lui,lui,51
dire,dire,14
",",",",p
comment,comment,60
il,il,51
savait,savoir,18
cette,ce,74
chose,chose,22
qu',que,52
elle,il,51
croyait,croire,18
ignorée,ignoré,31
",",",",p
ignorée,ignoré,31
de,de,81
lui,lui,51
surtout,surtout,60
/.,/.,P
“,“,p
ma,mon,73
pauvre,pauvre,30
Caroline,Caroline,20
",",",",p
il,il,51
y,y,52
a,avoir,17
longtemps,longtemps,60
/…,/…,P
des,de,81
des,le,71
lettres,lettre,22
anonymes,anonyme,30
",",",",p
de,de,81
vilaines,vilain,30
gens,gens,22
qui,qui,52
nous,nous,51
jalousaient,jalouser,18
/…,/…,P
jamais,jamais,60
je,je,51
ne,ne,60
t',tu,51
en,en,52
ai,avoir,17
parlé,parler,12
",",",",p
tu,tu,51
es,être,17
libre,libre,30
",",",",p
nous,nous,51
ne,ne,60
pensons,penser,17
plus,plus,60
de,de,81
même,même,60
/…,/…,P
je,je,51
sais,savoir,17
que,que,83
tu,tu,51
es,être,17
la,le,71
meilleure,meilleur,30
femme,femme,22
de,de,81
la,le,71
terre,terre,22
/.,/.,P
va,aller,17
le,le,52
voir,voir,14
/.,/.,P
“,“,p
et,et,82
",",",",p
gaiement,gaiement,60
",",",",p
retrouvant,retrouver,13
son,son,73
sourire,sourire,21
",",",",p
il,il,51
reprit,reprendre,19
le,le,71
petit,petit,30
bouquet,bouquet,21
de,de,81
roses,rose,22
qu',que,52
il,il,51
avait,avoir,18
déjà,déjà,60
glissé,glisser,12
derrière,derrière,81
le,le,71
crucifix,crucifix,21
",",",",p
il,il,51
le,le,52
lui,lui,51
remit,remettre,19
dans,dans,81
la,le,71
