11921
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Dixième extrait>,<>,<>
nous,nous,51
bavarderons,bavarder,15
comme,comme,83
aujourd'hui,aujourd'hui,60
",",",",p
vous,vous,51
me,je,51
ferez,faire,15
toujours,toujours,60
plaisir,plaisir,21
/.,/.,P
mais,mais,82
pourquoi,pourquoi,60
ne,ne,60
vous,vous,51
voit,voir,17
on,on,51
plus,plus,60
",",",",p
chez,chez,81
les,le,71
Forestier,Forestier,20
/?,/?,P
il,il,51
répondit,répondre,19
:,:,p
-,-,p
oh,oh,93
!,!,p
pour,pour,81
rien,rien,52
/.,/.,P
j',je,51
ai,avoir,17
eu,avoir,12
beaucoup,beaucoup,60
à,à,81
faire,faire,14
/.,/.,P
j',je,51
espère,espérer,17
bien,bien,60
que,que,83
nous,nous,51
nous,nous,51
y,y,52
retrouverons,retrouver,15
un,un,52
de,de,81
ces,ce,74
jours,jour,21
/.,/.,P
et,et,82
il,il,51
sortit,sortir,19
",",",",p
le,le,71
coeur,coeur,21
plein,plein,30
d',de,81
espoir,espoir,21
",",",",p
sans,sans,81
savoir,savoir,14
pourquoi,pourquoi,60
/.,/.,P
il,il,51
ne,ne,60
parla,parler,19
pas,pas,60
à,à,81
Forestier,Forestier,20
de,de,81
cette,ce,74
visite,visite,22
/.,/.,P
mais,mais,82
il,il,51
en,en,52
garda,garder,19
le,le,71
souvenir,souvenir,21
",",",",p
les,le,71
jours,jour,21
suivants,suivant,30
",",",",p
plus,plus,60
que,que,83
le,le,71
souvenir,souvenir,21
",",",",p
une,un,71
sorte,sorte,22
de,de,81
sensation,sensation,22
de,de,81
la,le,71
présence,présence,22
irréelle,irréel,30
et,et,82
persistante,persistant,30
de,de,81
cette,ce,74
femme,femme,22
/.,/.,P
il,il,51
lui,lui,51
semblait,sembler,18
avoir,avoir,14
pris,prendre,12
quelque,quelque,75
chose,chose,22
d',de,81
elle,il,51
",",",",p
l',le,71
image,image,22
de,de,81
son,son,73
corps,corps,21
restée,resté,31
dans,dans,81
ses,son,73
yeux,oeil,21
et,et,82
la,le,71
saveur,saveur,22
de,de,81
son,son,73
être,être,21
moral,moral,30
restée,resté,31
en,en,81
son,son,73
coeur,coeur,21
/.,/.,P
il,il,51
demeurait,demeurer,18
sous,sous,81
l',le,71
obsession,obsession,22
de,de,81
son,son,73
image,image,22
",",",",p
comme,comme,83
il,il,51
arrive,arriver,17
quelquefois,quelquefois,60
quand,quand,83
on,on,51
a,avoir,17
passé,passer,12
des,de,81
des,le,71
heures,heure,22
charmantes,charmant,30
auprès,auprès,60
d',de,81
un,un,71
être,être,21
/.,/.,P
on,on,51
dirait,dire,16
qu',que,83
on,on,51
subit,subir,17
une,un,71
possession,possession,22
étrange,étrange,30
",",",",p
intime,intime,30
",",",",p
confuse,confus,30
",",",",p
troublante,troublant,30
et,et,82
exquise,exquis,30
",",",",p
parce qu',parce que,83
elle,il,51
est,être,17
mystérieuse,mystérieux,30
/.,/.,P
il,il,51
fit,faire,19
une,un,71
seconde,second,72
visite,visite,22
au,à,81
au,le,71
bout,bout,21
de,de,81
quelques,quelque,75
jours,jour,21
/.,/.,P
la,le,71
bonne,bonne,22
l',le,52
introduisit,introduire,19
dans,dans,81
le,le,71
salon,salon,21
",",",",p
et,et,82
Laurine,Laurine,20
parut,paraître,19
aussitôt,aussitôt,60
/.,/.,P
elle,il,51
tendit,tendre,19
",",",",p
non,non,60
plus,plus,60
sa,son,73
main,main,22
",",",",p
mais,mais,82
son,son,73
front,front,21
",",",",p
et,et,82
dit,dire,19
:,:,p
-,-,p
maman,maman,22
m',je,51
a,avoir,17
chargée,charger,12
de,de,81
vous,vous,51
prier,prier,14
de,de,81
l',le,52
attendre,attendre,14
/.,/.,P
elle,il,51
en,en,52
a,avoir,17
pour,pour,81
un,un,71
quart,quart,21
d',de,81
heure,heure,22
",",",",p
parce qu',parce que,83
elle,il,51
n',ne,60
est,être,17
pas,pas,60
habillée,habiller,12
/.,/.,P
je,je,51
vous,vous,51
tiendrai,tenir,15
compagnie,compagnie,22
/.,/.,P
Duroy,Duroy,20
",",",",p
qu',que,52
amusaient,amuser,18
les,le,71
manières,manière,22
cérémonieuses,cérémonieux,30
de,de,81
la,le,71
fillette,fillette,22
",",",",p
répondit,répondre,19
:,:,p
-,-,p
parfaitement,parfaitement,60
",",",",p
mademoiselle,mademoiselle,22
",",",",p
je,je,51
serai,être,16
enchanté,enchanter,12
de,de,81
passer,passer,14
un,un,71
quart,quart,21
d',de,81
heure,heure,22
avec,avec,81
vous,vous,51
;,;,p
mais,mais,82
je,je,51
vous,vous,51
préviens,prévenir,17
que,que,83
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
sérieux,sérieux,30
du,de,81
du,le,71
tout,tout,21
",",",",p
moi,moi,51
",",",",p
je,je,51
joue,jouer,17
toute,tout,75
la,le,71
journée,journée,22
;,;,p
je,je,51
vous,vous,51
propose,proposer,17
donc,donc,82
de,de,81
faire,faire,14
une,un,71
partie,partie,22
de,de,81
chat,chat,21
perché,perché,31
/.,/.,P
la,le,71
gamine,gamine,22
demeura,demeurer,19
saisie,saisi,31
",",",",p
puis,puis,60
elle,il,51
sourit,sourire,19
",",",",p
comme,comme,83
aurait,avoir,16
fait,faire,12
une,un,71
femme,femme,22
",",",",p
de,de,81
cette,ce,74
idée,idée,22
qui,qui,52
la,le,52
choquait,choquer,18
un,un,71
peu,peu,60
et,et,82
l',le,52
étonnait,étonner,18
aussi,aussi,60
",",",",p
et,et,82
elle,il,51
murmura,murmurer,19
:,:,p
-,-,p
les,le,71
appartements,appartement,21
ne,ne,60
sont,être,17
pas,pas,60
faits,faire,12
pour,pour,81
jouer,jouer,14
/.,/.,P
il,il,51
reprit,reprendre,19
:,:,p
-,-,p
ça,ça,52
m',je,51
est,être,17
égal,égal,30
/.,/.,P
moi,moi,51
",",",",p
je,je,51
joue,jouer,17
partout,partout,60
/.,/.,P
allons,aller,17
",",",",p
attrapez,attraper,17
moi,moi,51
-,-,p
et,et,82
il,il,51
se,se,51
mit,mettre,19
à,à,81
tourner,tourner,14
autour,autour,60
de,de,81
la,le,71
table,table,22
",",",",p
en,en,81
l',le,52
excitant,exciter,13
à,à,81
le,le,52
poursuivre,poursuivre,14
",",",",p
tandis qu',tandis que,83
elle,il,51
s',se,51
en,en,52
venait,venir,18
derrière,derrière,81
lui,lui,51
",",",",p
souriant,sourire,13
toujours,toujours,60
avec,avec,81
une,un,71
sorte,sorte,22
de,de,81
condescendance,condescendance,22
polie,poli,31
",",",",p
et,et,82
étendant,étendre,13
parfois,parfois,60
la,le,71
main,main,22
pour,pour,81
le,le,52
toucher,toucher,14
",",",",p
mais,mais,82
sans,sans,81
s',se,51
abandonner,abandonner,14
jusqu',jusque,81
à,à,81
courir,courir,14
/.,/.,P
il,il,51
s',se,51
arrêtait,arrêter,18
",",",",p
se,se,51
baissait,baisser,18
",",",",p
et,et,82
lorsqu',lorsque,83
elle,il,51
approchait,approcher,18
",",",",p
de,de,81
son,son,73
petit,petit,21
pas,pas,60
hésitant,hésitant,30
",",",",p
il,il,51
sautait,sauter,18
en,en,81
l',le,71
air,air,21
comme,comme,83
les,le,71
diables,diable,21
enfermés,enfermé,31
en,en,81
des,de,81
des,le,71
boîtes,boîte,22
",",",",p
puis,puis,60
il,il,51
s',se,51
élançait,élancer,18
d',de,81
une,un,71
enjambée,enjambée,22
à,à,81
l',le,71
autre,autre,75
bout,bout,21
du,de,81
du,le,71
salon,salon,21
/.,/.,P
elle,il,51
trouvait,trouver,18
ça,ça,52
drôle,drôle,30
",",",",p
finissait,finir,18
par,par,81
rire,rire,14
",",",",p
et,et,82
",",",",p
s',se,51
animant,animer,13
",",",",p
commençait,commencer,18
à,à,81
trottiner,trottiner,14
derrière,derrière,81
lui,lui,51
",",",",p
avec,avec,81
de,de,81
légers,léger,30
cris,cri,21
joyeux,joyeux,30
et,et,82
craintifs,craintif,30
",",",",p
quand,quand,83
elle,il,51
avait,avoir,18
cru,croire,12
le,le,52
saisir,saisir,14
/.,/.,P
il,il,51
déplaçait,déplacer,18
les,le,71
chaises,chaise,22
",",",",p
en,en,52
faisait,faire,18
des,de,81
des,le,71
obstacles,obstacle,21
",",",",p
la,le,52
forçait,forcer,18
à,à,81
pivoter,pivoter,14
pendant,pendant,81
une,un,71
minute,minute,22
autour,autour,60
de,de,81
la,le,71
même,même,52
",",",",p
puis,puis,60
",",",",p
quittant,quitter,13
celle-là,celui-là,52
",",",",p
en,en,52
saisissait,saisir,18
une,un,71
autre,autre,52
/.,/.,P
Laurine,Laurine,20
courait,courir,18
maintenant,maintenant,60
",",",",p
s',se,51
abandonnait,abandonner,18
tout,tout,60
à,à,81
fait,fait,21
au,à,81
au,le,71
plaisir,plaisir,21
de,de,81
ce,ce,74
jeu,jeu,21
nouveau,nouveau,30
et,et,82
",",",",p
la,le,71
figure,figure,22
rose,rose,30
",",",",p
elle,il,51
se,se,51
précipitait,précipiter,18
d',de,81
un,un,71
grand,grand,30
élan,élan,21
d',de,81
enfant,enfant,21
ravie,ravi,31
",",",",p
à,à,81
chacune,chacun,52
des,de,81
des,le,71
fuites,fuite,22
",",",",p
à,à,81
chacune,chacun,52
des,de,81
des,le,71
ruses,ruse,22
",",",",p
à,à,81
chacune,chacun,52
des,de,81
des,le,71
feintes,feinte,22
de,de,81
son,son,73
compagnon,compagnon,21
/.,/.,P
brusquement,brusquement,60
",",",",p
comme,comme,83
elle,il,51
s',se,51
imaginait,imaginer,18
l',le,52
atteindre,atteindre,14
",",",",p
il,il,51
la,le,52
saisit,saisir,19
dans,dans,81
ses,son,73
bras,bras,21
",",",",p
et,et,82
",",",",p
l',le,52
élevant,élever,13
jusqu',jusque,81
au,à,81
au,le,71
plafond,plafond,21
",",",",p
il,il,51
cria,crier,19
:,:,p
-,-,p
chat,chat,21
perché,perché,31
/!,/!,P
la,le,71
fillette,fillette,22
enchantée,enchanté,31
agitait,agiter,18
ses,son,73
jambes,jambe,22
pour,pour,81
s',se,51
échapper,échapper,14
et,et,82
riait,rire,18
de,de,81
tout,tout,75
son,son,73
coeur,coeur,21
/.,/.,P
madame,madame,22
de,de,81
Marelle,Marelle,20
entra,entrer,19
et,et,82
",",",",p
stupéfaite,stupéfait,30
:,:,p
-,-,p
ah,ah,93
/!,/!,P
Laurine,Laurine,20
/…,/…,P
Laurine,Laurine,20
qui,qui,52
joue,jouer,17
/…,/…,P
vous,vous,51
êtes,être,17
un,un,71
ensorceleur,ensorceleur,21
",",",",p
monsieur,monsieur,21
/.,/.,P
il,il,51
reposa,reposer,19
par,par,81
terre,terre,22
la,le,71
gamine,gamine,22
",",",",p
baisa,baiser,19
la,le,71
main,main,22
de,de,81
la,le,71
mère,mère,22
",",",",p
et,et,82
ils,ils,51
s',se,51
assirent,asseoir,19
",",",",p
l',le,71
enfant,enfant,21
entre,entre,81
eux,ils,51
/.,/.,P
ils,ils,51
voulurent,vouloir,19
causer,causer,14
;,;,p
mais,mais,82
Laurine,Laurine,20
",",",",p
grisée,grisé,31
",",",",p
si,si,60
muette,muet,30
d',de,81
ordinaire,ordinaire,21
",",",",p
parlait,parler,18
tout,tout,75
le,le,71
temps,temps,21
",",",",p
et,et,82
il,il,51
fallut,falloir,19
l',le,52
envoyer,envoyer,14
à,à,81
sa,son,73
chambre,chambre,22
/.,/.,P
elle,il,51
obéit,obéir,17
sans,sans,81
répondre,répondre,14
",",",",p
mais,mais,82
avec,avec,81
des,de,81
des,le,71
larmes,larme,22
dans,dans,81
les,le,71
yeux,oeil,21
/.,/.,P
dès,dès,81
qu',que,83
ils,ils,51
furent,être,19
seuls,seul,30
",",",",p
madame,madame,22
de,de,81
Marelle,Marelle,20
baissa,baisser,19
la,le,71
voix,voix,22
:,:,p
-,-,p
vous,vous,51
ne,ne,60
savez,savoir,17
pas,pas,60
",",",",p
j',je,51
ai,avoir,17
un,un,71
grand,grand,30
projet,projet,21
",",",",p
et,et,82
j',je,51
ai,avoir,17
pensé,penser,12
à,à,81
vous,vous,51
/.,/.,P
voilà,voilà,81
:,:,p
comme,comme,83
je,je,51
dîne,dîner,17
toutes,tout,75
les,le,71
semaines,semaine,22
chez,chez,81
les,le,71
Forestier,Forestier,20
",",",",p
je,je,51
leur,leur,52
rends,rendre,17
ça,ça,52
",",",",p
de,de,81
temps,temps,21
en,en,81
temps,temps,21
",",",",p
dans,dans,81
un,un,71
restaurant,restaurant,21
/.,/.,P
moi,moi,51
",",",",p
je,je,51
n',ne,60
aime,aimer,17
pas,pas,60
à,à,81
avoir,avoir,14
du,de,81
du,le,71
monde,monde,21
chez,chez,81
moi,moi,51
",",",",p
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
organisée,organiser,12
pour,pour,81
ça,ça,52
",",",",p
et,et,82
",",",",p
d',de,81
ailleurs,ailleurs,60
",",",",p
je,je,51
n',ne,60
entends,entendre,17
rien,rien,52
aux,à,81
aux,le,71
choses,chose,22
de,de,81
la,le,71
maison,maison,22
",",",",p
rien,rien,52
à,à,81
la,le,71
cuisine,cuisine,22
",",",",p
rien,rien,52
à,à,81
rien,rien,52
/.,/.,P
j',je,51
aime,aimer,17
vivre,vivre,14
à,à,81
la,le,71
diable,diable,21
/.,/.,P
donc,donc,82
je,je,51
les,le,52
reçois,recevoir,17
de,de,81
temps,temps,21
en,en,81
temps,temps,21
au,à,81
au,le,71
restaurant,restaurant,21
",",",",p
mais,mais,82
çà,çà,60
n',ne,60
est,être,17
pas,pas,60
gai,gai,30
quand,quand,83
nous,nous,51
ne,ne,60
sommes,être,17
que,que,83
nous,nous,51
trois,trois,72
",",",",p
et,et,82
mes,mon,73
connaissances,connaissance,22
à,à,81
moi,moi,51
ne,ne,60
vont,aller,17
guère,guère,60
avec,avec,81
eux,ils,51
/.,/.,P
je,je,51
vous,vous,51
dis,dire,17
ça,ça,52
pour,pour,81
vous,vous,51
expliquer,expliquer,14
une,un,71
invitation,invitation,22
peu,peu,60
régulière,régulier,30
/.,/.,P
vous,vous,51
comprenez,comprendre,17
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
",",",",p
que,que,83
je,je,51
vous,vous,51
demande,demander,17
d',de,81
être,être,14
des,de,81
des,le,71
nôtres,nôtre,52
samedi,samedi,21
",",",",p
au,à,81
au,le,71
café,café,21
riche,riche,30
",",",",p
sept,sept,72
heures,heure,22
et,et,82
demie,demi,30
/.,/.,P
vous,vous,51
connaissez,connaître,17
la,le,71
maison,maison,22
/?,/?,P
il,il,51
accepta,accepter,19
avec,avec,81
bonheur,bonheur,21
/.,/.,P
elle,il,51
reprit,reprendre,19
:,:,p
-,-,p
nous,nous,51
serons,être,15
tous,tout,75
les,le,71
quatre,quatre,72
seulement,seulement,60
",",",",p
une,un,71
vraie,vrai,30
partie,partie,22
carrée,carré,31
/.,/.,P
c',ce,52
est,être,17
très,très,60
amusant,amusant,30
ces,ce,74
petites,petit,30
fêtes,fête,22
là,là,60
",",",",p
pour,pour,81
nous autres,nous autre,51
femmes,femme,22
qui,qui,52
n',ne,60
y,y,52
sommes,être,17
pas,pas,60
habituées,habituer,12
/.,/.,P
elle,il,51
portait,porter,18
une,un,71
robe,robe,22
marron,marron,30
foncé,foncé,31
",",",",p
qui,qui,52
moulait,mouler,18
sa,son,73
taille,taille,22
",",",",p
ses,son,73
hanches,hanche,22
",",",",p
sa,son,73
gorge,gorge,22
",",",",p
ses,son,73
bras,bras,21
d',de,81
une,un,71
façon,façon,22
provocante,provocant,30
et,et,82
coquette,coquet,30
;,;,p
et,et,82
Duroy,Duroy,20
éprouvait,éprouver,18
un,un,71
étonnement,étonnement,21
confus,confus,30
",",",",p
presque,presque,60
une,un,71
gêne,gêne,22
dont,dont,52
il,il,51
ne,ne,60
saisissait,saisir,18
pas,pas,60
bien,bien,60
la,le,71
cause,cause,22
",",",",p
du,de,81
du,le,71
désaccord,désaccord,21
de,de,81
cette,ce,74
élégance,élégance,22
soignée,soigné,31
et,et,82
raffinée,raffiné,31
avec,avec,81
l',le,71
insouci,insouci,21
visible,visible,30
pour,pour,81
le,le,71
logis,logis,21
qu',que,52
elle,il,51
habitait,habiter,18
/.,/.,P
tout,tout,52
ce,ce,52
qui,qui,52
vêtait,vêtir,18
son,son,73
corps,corps,21
",",",",p
tout,tout,52
ce,ce,52
qui,qui,52
touchait,toucher,18
intimement,intimement,60
et,et,82
directement,directement,60
sa,son,73
chair,chair,22
",",",",p
était,être,18
délicat,délicat,30
et,et,82
fin,fin,30
",",",",p
mais,mais,82
ce,ce,52
qui,qui,52
l',le,52
entourait,entourer,18
ne,ne,60
lui,lui,51
importait,importer,18
plus,plus,60
/.,/.,P
il,il,51
la,le,52
quitta,quitter,19
",",",",p
gardant,garder,13
",",",",p
comme,comme,83
l',le,71
autre,autre,75
fois,fois,22
",",",",p
la,le,71
sensation,sensation,22
de,de,81
sa,son,73
présence,présence,22
continuée,continué,31
dans,dans,81
une,un,71
sorte,sorte,22
d',de,81
hallucination,hallucination,22
de,de,81
ses,son,73
sens,sens,21
/.,/.,P
et,et,82
il,il,51
attendit,attendre,19
le,le,71
jour,jour,21
du,de,81
du,le,71
dîner,dîner,21
avec,avec,81
une,un,71
impatience,impatience,22
grandissante,grandissant,30
/.,/.,P
ayant,avoir,13
loué,louer,12
pour,pour,81
la,le,71
seconde,second,72
fois,fois,22
un,un,71
habit,habit,21
noir,noir,30
",",",",p
ses,son,73
moyens,moyen,21
ne,ne,60
lui,lui,51
permettant,permettre,13
point,point,60
encore,encore,60
d',de,81
acheter,acheter,14
un,un,71
costume,costume,21
de,de,81
soirée,soirée,22
",",",",p
il,il,51
arriva,arriver,19
le,le,71
premier,premier,72
au,à,81
au,le,71
rendez-vous,rendez-vous,21
",",",",p
quelques,quelque,75
minutes,minute,22
avant,avant,81
l',le,71
heure,heure,22
/.,/.,P
on,on,51
le,le,52
fit,faire,19
monter,monter,14
au,à,81
au,le,71
second,second,72
étage,étage,21
",",",",p
et,et,82
on,on,51
l',le,52
introduisit,introduire,19
dans,dans,81
un,un,71
petit,petit,30
salon,salon,21
de,de,81
restaurant,restaurant,21
",",",",p
tendu,tendu,31
de,de,81
rouge,rouge,21
et,et,82
ouvrant,ouvrir,13
sur,sur,81
le,le,71
boulevard,boulevard,21
son,son,73
unique,unique,30
fenêtre,fenêtre,22
/.,/.,P
une,un,71
table,table,22
carrée,carré,31
",",",",p
de,de,81
quatre,quatre,72
couverts,couvert,21
",",",",p
étalait,étaler,18
sa,son,73
nappe,nappe,22
blanche,blanc,30
",",",",p
si,si,60
luisante,luisant,30
qu',que,83
elle,il,51
semblait,sembler,18
vernie,verni,31
;,;,p
et,et,82
les,le,71
verres,verre,21
",",",",p
l',le,71
argenterie,argenterie,22
",",",",p
le,le,71
réchaud,réchaud,21
brillaient,briller,18
gaiement,gaiement,60
sous,sous,81
la,le,71
flamme,flamme,22
de,de,81
douze,douze,72
bougies,bougie,22
portées,porté,31
par,par,81
deux,deux,72
hauts,haut,30
candélabres,candélabre,21
/.,/.,P
au dehors,au-dehors,60
on,on,51
apercevait,apercevoir,18
une,un,71
grande,grand,30
tache,tache,22
d',de,81
un,un,71
vert,vert,21
clair,clair,30
que,que,52
faisaient,faire,18
les,le,71
feuilles,feuille,22
d',de,81
un,un,71
arbre,arbre,21
",",",",p
éclairées,éclairé,31
par,par,81
la,le,71
lumière,lumière,22
vive,vif,30
des,de,81
des,le,71
cabinets,cabinet,21
particuliers,particulier,30
/.,/.,P
Duroy,Duroy,20
s',se,51
assit,asseoir,19
sur,sur,81
un,un,71
canapé,canapé,21
très,très,60
bas,bas,30
",",",",p
rouge,rouge,30
comme,comme,83
les,le,71
tentures,tenture,22
des,de,81
des,le,71
murs,mur,21
",",",",p
et,et,82
dont,dont,52
les,le,71
ressorts,ressort,21
fatigués,fatigué,31
",",",",p
s',se,51
enfonçant,enfoncer,13
sous,sous,81
lui,lui,51
",",",",p
lui,lui,51
donnèrent,donner,19
la,le,71
sensation,sensation,22
de,de,81
tomber,tomber,14
dans,dans,81
un,un,71
trou,trou,21
/.,/.,P
il,il,51
entendait,entendre,18
dans,dans,81
toute,tout,75
cette,ce,74
vaste,vaste,30
maison,maison,22
une,un,71
rumeur,rumeur,22
confuse,confus,30
",",",",p
ce,ce,74
bruissement,bruissement,21
des,de,81
des,le,71
grands,grand,30
restaurants,restaurant,21
fait,faire,17
du,de,81
du,le,71
bruit,bruit,21
des,de,81
des,le,71
vaisselles,vaisselle,22
et,et,82
des,de,81
des,le,71
argenteries,argenterie,22
heurtées,heurté,31
",",",",p
du,de,81
du,le,71
bruit,bruit,21
des,de,81
des,le,71
pas,pas,21
rapides,rapide,30
des,de,81
des,le,71
garçons,garçon,21
",",",",p
adoucis,adouci,31
par,par,81
le,le,71
tapis,tapis,21
des,de,81
des,le,71
corridors,corridor,21
",",",",p
du,de,81
du,le,71
bruit,bruit,21
des,de,81
des,le,71
portes,porte,22
un,un,71
moment,moment,21
ouvertes,ouvert,31
et,et,82
qui,qui,52
laissent,laisser,17
échapper,échapper,14
le,le,71
son,son,21
des,de,81
des,le,71
voix,voix,22
de,de,81
tous,tout,75
ces,ce,74
étroits,étroit,30
salons,salon,21
où,où,60
sont,être,17
enfermés,enfermer,12
des,de,81
des,le,71
gens,gens,21
qui,qui,52
dînent,dîner,17
/.,/.,P
Forestier,Forestier,20
entra,entrer,19
et,et,82
lui,lui,51
serra,serrer,19
la,le,71
main,main,22
avec,avec,81
une,un,71
familiarité,familiarité,22
cordiale,cordial,30
",",",",p
qu',que,52
il,il,51
ne,ne,60
lui,lui,51
témoignait,témoigner,18
jamais,jamais,60
dans,dans,81
les,le,71
bureaux,bureau,21
:,:,p
de,de,81
la,le,71
vie,vie,22
française,français,30
/.,/.,P
-,-,p
ces,ce,74
deux,deux,72
dames,dame,22
vont,aller,17
arriver,arriver,14
ensemble,ensemble,60
",",",",p
dit,dire,19
il,il,51
;,;,p
c',ce,52
est,être,17
très,très,60
gentil,gentil,30
ces,ce,74
dîners,dîner,21
là,là,60
/!,/!,P
puis,puis,60
il,il,51
regarda,regarder,19
la,le,71
table,table,22
",",",",p
fit,faire,19
éteindre,éteindre,14
tout,tout,60
à,à,81
fait,fait,21
un,un,71
bec,bec,21
de,de,81
gaz,gaz,21
qui,qui,52
brûlait,brûler,18
en,en,81
veilleuse,veilleuse,22
",",",",p
ferma,fermer,19
un,un,71
battant,battant,21
de,de,81
la,le,71
fenêtre,fenêtre,22
",",",",p
à,à,81
cause,cause,22
du,de,81
du,le,71
courant,courant,21
d',de,81
air,air,21
",",",",p
et,et,82
choisit,choisir,19
sa,son,73
place,place,22
bien,bien,60
à,à,81
l',le,71
abri,abri,21
",",",",p
en,en,81
déclarant,déclarer,13
:,:,p
-,-,p
il,il,51
faut,falloir,17
que,que,83
je,je,51
fasse,faire,17
grande,grand,30
attention,attention,22
;,;,p
j',je,51
ai,avoir,17
été,être,12
mieux,mieux,60
pendant,pendant,81
un,un,71
mois,mois,21
",",",",p
et,et,82
me,je,51
voici,voici,81
repris,repris,31
depuis,depuis,81
quelques,quelque,75
jours,jour,21
/.,/.,P
j',je,51
aurai,avoir,15
attrapé,attraper,12
froid,froid,30
mardi,mardi,21
en,en,81
sortant,sortir,13
du,de,81
du,le,71
théâtre,théâtre,21
/.,/.,P
on,on,51
ouvrit,ouvrir,19
la,le,71
porte,porte,22
et,et,82
les,le,71
deux,deux,72
jeunes,jeune,30
femmes,femme,22
parurent,paraître,19
",",",",p
suivies,suivi,31
d',de,81
un,un,71
maître,maître,21
d',de,81
hôtel,hôtel,21
",",",",p
voilées,voilé,31
",",",",p
cachées,caché,31
",",",",p
discrètes,discret,30
",",",",p
avec,avec,81
cette,ce,74
allure,allure,22
de,de,81
mystère,mystère,21
charmant,charmant,30
",",",",p
qu',que,52
elles,ils,51
prennent,prendre,17
en,en,81
ces,ce,74
endroits,endroit,21
où,où,60
les,le,71
voisinages,voisinage,21
et,et,82
les,le,71
rencontres,rencontre,22
sont,être,17
suspects,suspect,30
/.,/.,P
comme,comme,83
Duroy,Duroy,20
saluait,saluer,18
madame,madame,22
Forestier,Forestier,20
",",",",p
elle,il,51
le,le,52
gronda,gronder,19
fort,fort,60
de,de,81
n',ne,60
être,être,14
pas,pas,60
revenu,revenir,12
la,le,52
voir,voir,14
",",",",p
puis,puis,60
elle,il,51
ajouta,ajouter,19
",",",",p
avec,avec,81
un,un,71
sourire,sourire,21
vers,vers,81
son,son,73
amie,amie,22
:,:,p
-,-,p
c',ce,52
est,être,17
ça,ça,52
",",",",p
vous,vous,51
me,je,51
préférez,préférer,17
madame,madame,22
de,de,81
Marelle,Marelle,20
",",",",p
vous,vous,51
trouvez,trouver,17
bien,bien,60
le,le,71
temps,temps,21
pour,pour,81
elle,il,51
/.,/.,P
puis,puis,60
on,on,51
s',se,51
assit,asseoir,19
",",",",p
et,et,82
le,le,71
maître,maître,21
d',de,81
hôtel,hôtel,21
ayant,avoir,13
présenté,présenter,12
à,à,81
Forestier,Forestier,20
la,le,71
carte,carte,22
des,de,81
des,le,71
vins,vin,21
",",",",p
madame,madame,22
de,de,81
Marelle,Marelle,20
s',se,51
écria,écrier,19
:,:,p
-,-,p
donnez,donner,17
à,à,81
ces,ce,74
messieurs,monsieur,21
ce,ce,52
qu',que,52
ils,ils,51
voudront,vouloir,15
;,;,p
quant,quand,83
à,à,81
nous,nous,51
",",",",p
du,de,81
du,le,71
champagne,champagne,21
frappé,frappé,31
",",",",p
du,de,81
du,le,71
meilleur,meilleur,30
",",",",p
du,de,81
du,le,71
champagne,champagne,21
doux,doux,30
par,par,81
exemple,exemple,21
",",",",p
rien,rien,52
autre,autre,75
chose,chose,22
/.,/.,P
-,-,p
et,et,82
l',le,71
homme,homme,21
étant,être,13
sorti,sortir,12
",",",",p
elle,il,51
annonça,annoncer,19
avec,avec,81
un,un,71
rire,rire,21
excité,excité,31
:,:,p
-,-,p
je,je,51
veux,vouloir,17
me,je,51
pocharder,pocharder,14
ce,ce,74
soir,soir,21
",",",",p
nous,nous,51
allons,aller,17
faire,faire,14
une,un,71
noce,noce,22
",",",",p
une,un,71
vraie,vrai,30
noce,noce,22
/.,/.,P
Forestier,Forestier,20
",",",",p
qui,qui,52
paraissait,paraître,18
n',ne,60
avoir,avoir,14
point,point,60
entendu,entendre,12
",",",",p
demande,demander,17
:,:,p
-,-,p
cela,cela,52
ne,ne,60
vous,vous,51
ferait,faire,16
il,il,51
rien,rien,52
qu',que,83
on,on,51
fermât,fermer,18
la,le,71
fenêtre,fenêtre,22
?,?,p
j',je,51
ai,avoir,17
la,le,71
poitrine,poitrine,22
un,un,71
peu,peu,60
prise,pris,31
depuis,depuis,81
quelques,quelque,75
jours,jour,21
/.,/.,P
-,-,p
non,non,60
",",",",p
rien,rien,52
du,de,81
du,le,71
tout,tout,21
/.,/.,P
il,il,51
alla,aller,19
donc,donc,82
pousser,pousser,14
le,le,71
battant,battant,21
resté,resté,31
entr'ouvert,entr'ouvert,31
et,et,82
il,il,51
revint,revenir,19
s',se,51
asseoir,asseoir,14
avec,avec,81
un,un,71
visage,visage,21
rasséréné,rasséréné,31
",",",",p
tranquillisé,tranquillisé,31
/.,/.,P
sa,son,73
femme,femme,22
ne,ne,60
disait,dire,18
rien,rien,52
",",",",p
paraissait,paraître,18
absorbée,absorbé,31
;,;,p
et,et,82
",",",",p
les,le,71
yeux,oeil,21
baissés,baissé,31
vers,vers,81
la,le,71
table,table,22
",",",",p
elle,il,51
souriait,sourire,18
aux,à,81
aux,le,71
verres,verre,21
",",",",p
de,de,81
ce,ce,74
sourire,sourire,21
vague,vague,30
qui,qui,52
semblait,sembler,18
promettre,promettre,14
toujours,toujours,60
