12080
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-treizième extrait>,<>,<>
le,le,52
surmonterai,surmonter,15
",",",",p
soyez,être,17
tranquille,tranquille,30
/.,/.,P
-,-,p
comment,comment,60
cela,cela,52
/?,/?,P
j',je,51
irai,aller,15
trouver,trouver,14
ce,ce,74
soir,soir,21
même,même,30
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
",",",",p
que,que,83
je,je,51
chargerai,charger,15
de,de,81
demander,demander,14
pour,pour,81
moi,moi,51
cette,ce,74
faveur,faveur,22
à,à,81
son,son,73
beau-frère,beau-frère,21
",",",",p
monsieur,monsieur,21
des,de,81
des,le,71
Essarts,Essarts,20
/.,/.,P
-,-,p
maintenant,maintenant,60
",",",",p
autre,autre,75
chose,chose,22
/.,/.,P
-,-,p
quoi,quoi,52
?,?,p
demanda,demander,19
d',de,81
Artagnan,Artagnan,20
",",",",p
voyant,voir,13
que,que,83
madame,madame,22
Bonacieux,Bonacieux,20
hésitait,hésiter,18
à,à,81
continuer,continuer,14
/.,/.,P
-,-,p
vous,vous,51
n',ne,60
avez,avoir,17
peut-être,peut-être,60
pas,pas,60
d',de,81
argent,argent,21
/?,/?,P
peut-être,peut-être,60
est,être,17
de,de,81
trop,trop,60
",",",",p
dit,dire,12
d',de,81
Artagnan,Artagnan,20
en,en,81
souriant,sourire,13
/.,/.,P
-,-,p
alors,alors,60
",",",",p
reprit,reprendre,19
madame,madame,22
Bonacieux,Bonacieux,20
en,en,81
ouvrant,ouvrir,13
une,un,71
armoire,armoire,22
et,et,82
en,en,81
tirant,tirer,13
de,de,81
cette,ce,74
armoire,armoire,22
le,le,71
sac,sac,21
qu',que,52
une,un,71
demi-heure,demi-heure,22
auparavant,auparavant,60
caressait,caresser,18
si,si,60
amoureusement,amoureusement,60
son,son,73
mari,mari,21
",",",",p
prenez,prendre,17
ce,ce,74
sac,sac,21
/.,/.,P
-,-,p
celui,celui,52
du,de,81
du,le,71
cardinal,cardinal,21
!,!,p
s',se,51
écria,écrier,19
en,en,81
éclatant,éclater,13
de,de,81
rire,rire,21
d',de,81
Artagnan,Artagnan,20
qui,qui,52
",",",",p
comme,comme,83
on,on,51
s',se,51
en,en,52
souvient,souvenir,17
",",",",p
grâce,grâce,22
à,à,81
ses,son,73
carreaux,carreau,21
enlevés,enlevé,31
",",",",p
n',ne,60
avait,avoir,18
pas,pas,60
perdu,perdre,12
une,un,71
syllabe,syllabe,22
de,de,81
la,le,71
conversation,conversation,22
du,de,81
du,le,71
mercier,mercier,21
et,et,82
de,de,81
sa,son,73
femme,femme,22
/.,/.,P
-,-,p
celui,celui,52
du,de,81
du,le,71
cardinal,cardinal,21
",",",",p
répondit,répondre,19
madame,madame,22
Bonacieux,Bonacieux,20
;,;,p
vous,vous,51
voyez,voir,17
qu',que,83
il,il,51
se,se,51
présente,présenter,17
sous,sous,81
un,un,71
aspect,aspect,21
assez,assez,60
respectable,respectable,30
/.,/.,P
-,-,p
pardieu,pardieu,93
!,!,p
s',se,51
écria,écrier,19
d',de,81
Artagnan,Artagnan,20
",",",",p
ce,ce,52
sera,être,15
une,un,71
chose,chose,22
doublement,doublement,60
divertissante,divertissant,30
que,que,83
de,de,81
sauver,sauver,14
la,le,71
reine,reine,22
avec,avec,81
l',le,71
argent,argent,21
de,de,81
son,son,73
éminence,éminence,22
/!,/!,P
vous,vous,51
êtes,être,17
un,un,71
aimable,aimable,30
et,et,82
charmant,charmer,13
jeune,jeune,30
homme,homme,21
",",",",p
dit,dire,19
madame,madame,22
Bonacieux,Bonacieux,20
/.,/.,P
croyez,croire,17
que,que,83
sa,son,73
majesté,majesté,22
ne,ne,60
sera,être,15
point,point,60
ingrate,ingrat,30
/.,/.,P
-,-,p
oh,oh,93
!,!,p
je,je,51
suis,être,17
déjà,déjà,60
grandement,grandement,60
récompensé,récompenser,12
!,!,p
s',se,51
écria,écrier,19
d',de,81
Artagnan,Artagnan,20
/.,/.,P
je,je,51
vous,vous,51
aime,aimer,17
",",",",p
vous,vous,51
me,je,51
permettez,permettre,17
de,de,81
vous,vous,51
le,le,52
dire,dire,14
;,;,p
c',ce,52
est,être,17
déjà,déjà,60
plus,plus,60
de,de,81
bonheur,bonheur,21
que,que,83
je,je,51
n',ne,60
en,en,52
osais,oser,18
espérer,espérer,14
/.,/.,P
-,-,p
silence,silence,21
!,!,p
dit,dire,19
madame,madame,22
Bonacieux,Bonacieux,20
en,en,81
tressaillant,tressaillir,13
/.,/.,P
-,-,p
quoi,quoi,52
/?,/?,P
on,on,51
parle,parler,17
dans,dans,81
la,le,71
rue,rue,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
la,le,71
voix,voix,22
/…,/…,P
de,de,81
mon,mon,73
mari,mari,21
/.,/.,P
oui,oui,60
",",",",p
je,je,51
l',le,52
ai,avoir,17
reconnue,reconnaître,12
/!,/!,P
d',de,81
Artagnan,Artagnan,20
courut,courir,19
à,à,81
la,le,71
porte,porte,22
et,et,82
poussa,pousser,19
le,le,71
verrou,verrou,21
/.,/.,P
“,“,p
il,il,51
n',ne,60
entrera,entrer,15
pas,pas,60
que,que,83
je,je,51
ne,ne,60
sois,être,17
parti,partir,12
“,“,p
",",",",p
dit,dire,19
il,il,51
",",",",p
et,et,82
quand,quand,83
je,je,51
serai,être,16
parti,partir,12
",",",",p
vous,vous,51
lui,lui,51
ouvrirez,ouvrir,15
/.,/.,P
-,-,p
mais,mais,82
je,je,51
devrais,devoir,16
être,être,14
partie,partir,12
aussi,aussi,60
",",",",p
moi,moi,51
/.,/.,P
et,et,82
la,le,71
disparition,disparition,22
de,de,81
cet,ce,74
argent,argent,21
",",",",p
comment,comment,60
la,le,52
justifier,justifier,14
si,si,83
je,je,51
suis,être,17
là,là,60
/?,/?,P
vous,vous,51
avez,avoir,17
raison,raison,22
",",",",p
il,il,51
faut,falloir,17
sortir,sortir,14
/.,/.,P
-,-,p
sortir,sortir,14
",",",",p
comment,comment,60
/?,/?,P
on,on,51
nous,nous,51
verra,voir,15
si,si,83
nous,nous,51
sortons,sortir,17
/.,/.,P
-,-,p
alors,alors,60
il,il,51
faut,falloir,17
monter,monter,14
chez,chez,81
moi,moi,51
/.,/.,P
-,-,p
ah,ah,93
!,!,p
s',se,51
écria,écrier,19
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
vous,vous,51
me,je,51
dites,dire,17
cela,cela,52
d',de,81
un,un,71
ton,ton,21
qui,qui,52
me,je,51
fait,faire,17
peur,peur,22
/.,/.,P
“,“,p
madame,madame,22
Bonacieux,Bonacieux,20
prononça,prononcer,19
ces,ce,74
paroles,parole,22
avec,avec,81
une,un,71
larme,larme,22
dans,dans,81
les,le,71
yeux,oeil,21
/.,/.,P
d',de,81
Artagnan,Artagnan,20
vit,voir,19
cette,ce,74
larme,larme,22
",",",",p
et,et,82
",",",",p
troublé,troublé,31
",",",",p
attendri,attendri,31
",",",",p
il,il,51
se,se,51
jeta,jeter,19
à,à,81
ses,son,73
genoux,genou,21
/.,/.,P
“,“,p
chez,chez,81
moi,moi,51
",",",",p
dit,dire,19
il,il,51
",",",",p
vous,vous,51
serez,être,15
en,en,81
sûreté,sûreté,22
comme,comme,83
dans,dans,81
un,un,71
temple,temple,21
",",",",p
je,je,51
vous,vous,51
en,en,52
donne,donner,17
ma,mon,73
parole,parole,22
de,de,81
gentilhomme,gentilhomme,21
/.,/.,P
-,-,p
partons,partir,17
",",",",p
dit,dire,19
elle,il,51
",",",",p
je,je,51
me,je,51
fie,fier,17
à,à,81
vous,vous,51
",",",",p
mon,mon,73
ami,ami,21
/.,/.,P
“,“,p
d',de,81
Artagnan,Artagnan,20
rouvrit,rouvrir,19
avec,avec,81
précaution,précaution,22
le,le,71
verrou,verrou,21
",",",",p
et,et,82
tous,tout,75
deux,deux,72
",",",",p
légers,léger,30
comme,comme,83
des,de,81
des,le,71
ombres,ombre,22
",",",",p
se,se,51
glissèrent,glisser,19
par,par,81
la,le,71
porte,porte,22
intérieure,intérieur,30
dans,dans,81
l',le,71
allée,allée,22
",",",",p
montèrent,monter,19
sans,sans,81
bruit,bruit,21
l',le,71
escalier,escalier,21
et,et,82
rentrèrent,rentrer,19
dans,dans,81
la,le,71
chambre,chambre,22
de,de,81
d',de,81
Artagnan,Artagnan,20
/.,/.,P
une,un,71
fois,fois,22
chez,chez,81
lui,lui,51
",",",",p
pour,pour,81
plus,plus,60
de,de,81
sûreté,sûreté,22
",",",",p
le,le,71
jeune,jeune,30
homme,homme,21
barricada,barricader,19
la,le,71
porte,porte,22
;,;,p
ils,ils,51
s',se,51
approchèrent,approcher,19
tous,tout,75
deux,deux,72
de,de,81
la,le,71
fenêtre,fenêtre,22
",",",",p
et,et,82
par,par,81
une,un,71
fente,fente,22
du,de,81
du,le,71
volet,volet,21
ils,ils,51
virent,voir,19
monsieur,monsieur,21
Bonacieux,Bonacieux,20
qui,qui,52
causait,causer,18
avec,avec,81
un,un,71
homme,homme,21
en,en,81
manteau,manteau,21
/.,/.,P
à,à,81
la,le,71
vue,vue,22
de,de,81
l',le,71
homme,homme,21
en,en,81
manteau,manteau,21
",",",",p
d',de,81
Artagnan,Artagnan,20
bondit,bondir,19
",",",",p
et,et,82
",",",",p
tirant,tirer,13
son,son,73
épée,épée,22
à,à,81
demi,demi,30
",",",",p
s',se,51
élança,élancer,19
vers,vers,81
la,le,71
porte,porte,22
/.,/.,P
c',ce,52
était,être,18
l',le,71
homme,homme,21
de,de,81
Meung,Meung,20
/.,/.,P
“,“,p
que,que,52
allez,aller,17
vous,vous,51
faire,faire,14
?,?,p
s',se,51
écria,écrier,19
madame,madame,22
Bonacieux,Bonacieux,20
;,;,p
vous,vous,51
nous,nous,51
perdez,perdre,17
/.,/.,P
-,-,p
mais,mais,82
j',je,51
ai,avoir,17
juré,jurer,12
de,de,81
tuer,tuer,14
cet,ce,74
homme,homme,21
!,!,p
dit,dire,19
d',de,81
Artagnan,Artagnan,20
/.,/.,P
-,-,p
votre,votre,73
vie,vie,22
est,être,17
vouée,vouer,12
en,en,81
ce,ce,74
moment,moment,21
et,et,82
ne,ne,60
vous,vous,51
appartient,appartenir,17
pas,pas,60
/.,/.,P
au,à,81
au,le,71
nom,nom,21
de,de,81
la,le,71
reine,reine,22
",",",",p
je,je,51
vous,vous,51
défends,défendre,17
de,de,81
vous,vous,51
jeter,jeter,14
dans,dans,81
aucun,aucun,75
péril,péril,21
étranger,étranger,30
à,à,81
celui,celui,52
du,de,81
du,le,71
voyage,voyage,21
/.,/.,P
-,-,p
et,et,82
en,en,81
votre,votre,73
nom,nom,21
",",",",p
n',ne,60
ordonnez,ordonner,17
vous,vous,51
rien,rien,52
/?,/?,P
en,en,81
mon,mon,73
nom,nom,21
",",",",p
dit,dire,19
madame,madame,22
Bonacieux,Bonacieux,20
avec,avec,81
une,un,71
vive,vif,30
émotion,émotion,22
;,;,p
en,en,81
mon,mon,73
nom,nom,21
",",",",p
je,je,51
vous,vous,51
en,en,52
prie,prier,17
/.,/.,P
mais,mais,82
écoutons,écouter,17
",",",",p
il,il,51
me,je,51
semble,sembler,17
qu',que,83
ils,ils,51
parlent,parler,17
de,de,81
moi,moi,51
/.,/.,P
“,“,p
d',de,81
Artagnan,Artagnan,20
se,se,51
rapprocha,rapprocher,19
de,de,81
la,le,71
fenêtre,fenêtre,22
et,et,82
prêta,prêter,19
l',le,71
oreille,oreille,22
/.,/.,P
monsieur,monsieur,21
Bonacieux,Bonacieux,20
avait,avoir,18
rouvert,rouvrir,12
sa,son,73
porte,porte,22
",",",",p
et,et,82
voyant,voir,13
l',le,71
appartement,appartement,21
vide,vide,30
",",",",p
il,il,51
était,être,18
revenu,revenir,12
à,à,81
l',le,71
homme,homme,21
au,à,81
au,le,71
manteau,manteau,21
qu',que,52
un,un,71
instant,instant,21
il,il,51
avait,avoir,18
laissé,laisser,12
seul,seul,30
/.,/.,P
“,“,p
elle,il,51
est,être,17
partie,partir,12
",",",",p
dit,dire,19
il,il,51
",",",",p
elle,il,51
sera,être,15
retournée,retourner,12
au,à,81
au,le,71
Louvre,Louvre,20
“,“,p
/.,/.,P
-,-,p
vous,vous,51
êtes,être,17
sûr,sûr,30
",",",",p
répondit,répondre,19
l',le,71
étranger,étranger,21
",",",",p
qu',que,83
elle,il,51
ne,ne,60
s',se,51
est,être,17
pas,pas,60
doutée,douter,12
dans,dans,81
quelles,quel,75
intentions,intention,22
vous,vous,51
êtes,être,17
sorti,sortir,12
/?,/?,P
non,non,60
",",",",p
répondit,répondre,19
Bonacieux,Bonacieux,20
avec,avec,81
suffisance,suffisance,22
;,;,p
c',ce,52
est,être,17
une,un,71
femme,femme,22
trop,trop,60
superficielle,superficiel,30
/.,/.,P
-,-,p
le,le,71
cadet,cadet,21
aux,à,81
aux,le,71
gardes,garde,21
est,être,17
il,il,51
chez,chez,81
lui,lui,51
/?,/?,P
je,je,51
ne,ne,60
le,le,52
crois,croire,17
pas,pas,60
;,;,p
comme,comme,83
vous,vous,51
le,le,52
voyez,voir,17
",",",",p
son,son,73
volet,volet,21
est,être,17
fermé,fermer,12
",",",",p
et,et,82
l',l',94
on,on,51
ne,ne,60
voit,voir,17
aucune,aucun,75
lumière,lumière,22
briller,briller,14
à,à,81
travers,travers,21
les,le,71
fentes,fente,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
égal,égal,30
",",",",p
il,il,51
faudrait,falloir,16
s',se,51
en,en,52
assurer,assurer,14
/.,/.,P
-,-,p
comment,comment,60
cela,cela,52
/?,/?,P
en,en,81
allant,aller,13
frapper,frapper,14
à,à,81
sa,son,73
porte,porte,22
/.,/.,P
-,-,p
je,je,51
demanderai,demander,15
à,à,81
son,son,73
valet,valet,21
/.,/.,P
-,-,p
allez,aller,17
/.,/.,P
“,“,p
Bonacieux,Bonacieux,20
rentra,rentrer,19
chez,chez,81
lui,lui,51
",",",",p
passa,passer,19
par,par,81
la,le,71
même,même,75
porte,porte,22
qui,qui,52
venait,venir,18
de,de,81
donner,donner,14
passage,passage,21
aux,à,81
aux,le,71
deux,deux,72
fugitifs,fugitif,21
",",",",p
monta,monter,19
jusqu',jusque,81
au,à,81
au,le,71
palier,palier,21
de,de,81
d',de,81
Artagnan,Artagnan,20
et,et,82
frappa,frapper,19
/.,/.,P
personne,personne,52
ne,ne,60
répondit,répondre,19
/.,/.,P
Porthos,Porthos,20
",",",",p
pour,pour,81
faire,faire,14
plus,plus,60
grande,grand,30
figure,figure,22
",",",",p
avait,avoir,18
emprunté,emprunter,12
ce,ce,74
soir,soir,21
là,là,60
Planchet,Planchet,20
/.,/.,P
quant,quand,83
à,à,81
d',de,81
Artagnan,Artagnan,20
",",",",p
il,il,51
n',ne,60
avait,avoir,18
garde,garde,22
de,de,81
donner,donner,14
signe,signe,21
d',de,81
existence,existence,22
/.,/.,P
au,à,81
au,le,71
moment,moment,21
où,où,60
le,le,71
doigt,doigt,21
de,de,81
Bonacieux,Bonacieux,20
résonna,résonner,19
sur,sur,81
la,le,71
porte,porte,22
",",",",p
les,le,71
deux,deux,72
jeunes,jeune,30
gens,gens,21
sentirent,sentir,19
bondir,bondir,14
leurs,leur,73
coeurs,coeur,21
/.,/.,P
“,“,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
personne,personne,52
chez,chez,81
lui,lui,51
",",",",p
dit,dire,19
Bonacieux,Bonacieux,20
/.,/.,P
-,-,p
n',ne,60
importe,importer,17
",",",",p
rentrons,rentrer,17
toujours,toujours,60
chez,chez,81
vous,vous,51
",",",",p
nous,nous,51
serons,être,15
plus,plus,60
en,en,81
sûreté,sûreté,22
que,que,83
sur,sur,81
le,le,71
seuil,seuil,21
d',de,81
une,un,71
porte,porte,22
/.,/.,P
-,-,p
ah,ah,93
!,!,p
mon,mon,73
dieu,dieu,21
!,!,p
murmura,murmurer,19
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
nous,nous,51
n',ne,60
allons,aller,17
plus,plus,60
rien,rien,52
entendre,entendre,14
/.,/.,P
-,-,p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
dit,dire,19
d',de,81
Artagnan,Artagnan,20
",",",",p
nous,nous,51
n',ne,60
entendrons,entendre,15
que,que,83
mieux,mieux,60
/.,/.,P
“,“,p
d',de,81
Artagnan,Artagnan,20
enleva,enlever,19
les,le,71
trois,trois,72
ou,ou,82
quatre,quatre,72
carreaux,carreau,21
qui,qui,52
faisaient,faire,18
de,de,81
sa,son,73
chambre,chambre,22
une,un,71
autre,autre,75
oreille,oreille,22
de,de,81
Denys,Denys,20
",",",",p
étendit,étendre,19
un,un,71
tapis,tapis,21
à,à,81
terre,terre,22
",",",",p
se,se,51
mit,mettre,19
à,à,81
genoux,genou,21
",",",",p
et,et,82
fit,faire,19
signe,signe,21
à,à,81
madame,madame,22
Bonacieux,Bonacieux,20
de,de,81
se,se,51
pencher,pencher,14
",",",",p
comme,comme,83
il,il,51
le,le,52
faisait,faire,18
vers,vers,81
l',le,71
ouverture,ouverture,22
/.,/.,P
“,“,p
vous,vous,51
êtes,être,17
sûr,sûr,30
qu',que,83
il,il,51
n',ne,60
y,y,52
a,avoir,17
personne,personne,52
?,?,p
dit,dire,19
l',le,71
inconnu,inconnu,21
/.,/.,P
-,-,p
j',je,51
en,en,52
réponds,répondre,17
",",",",p
dit,dire,19
Bonacieux,Bonacieux,20
/.,/.,P
-,-,p
et,et,82
vous,vous,51
pensez,penser,17
que,que,83
votre,votre,73
femme,femme,22
/?,/?,P
-,-,p
est,être,17
retournée,retourner,12
au,à,81
au,le,71
Louvre,Louvre,20
/.,/.,P
-,-,p
sans,sans,81
parler,parler,14
à,à,81
aucune,aucun,75
personne,personne,22
qu',que,83
à,à,81
vous,vous,51
/?,/?,P
j',je,51
en,en,52
suis,être,17
sûr,sûr,30
/.,/.,P
-,-,p
c',ce,52
est,être,17
un,un,71
point,point,21
important,important,30
",",",",p
comprenez,comprendre,17
vous,vous,51
/?,/?,P
ainsi,ainsi,60
",",",",p
la,le,71
nouvelle,nouvelle,22
que,que,52
je,je,51
vous,vous,51
ai,avoir,17
apportée,apporter,12
a,avoir,17
donc,donc,82
une,un,71
valeur,valeur,22
/…,/…,P
-,-,p
très,très,60
grande,grand,30
",",",",p
mon,mon,73
cher,cher,30
Bonacieux,Bonacieux,20
",",",",p
je,je,51
ne,ne,60
vous,vous,51
le,le,52
cache,cacher,17
pas,pas,60
/.,/.,P
-,-,p
alors,alors,60
le,le,71
cardinal,cardinal,21
sera,être,15
content,content,30
de,de,81
moi,moi,51
/?,/?,P
je,je,51
n',ne,60
en,en,52
doute,douter,17
pas,pas,60
/.,/.,P
-,-,p
le,le,71
grand,grand,30
cardinal,cardinal,21
/!,/!,P
vous,vous,51
êtes,être,17
sûr,sûr,30
que,que,83
",",",",p
dans,dans,81
sa,son,73
conversation,conversation,22
avec,avec,81
vous,vous,51
",",",",p
votre,votre,73
femme,femme,22
n',ne,60
a,avoir,17
pas,pas,60
prononcé,prononcer,12
de,de,81
noms,nom,21
propres,propre,30
/?,/?,P
je,je,51
ne,ne,60
crois,croire,17
pas,pas,60
/.,/.,P
-,-,p
elle,il,51
n',ne,60
a,avoir,17
nommé,nommer,12
ni,ni,82
madame,madame,22
de,de,81
Chevreuse,Chevreuse,20
",",",",p
ni,ni,82
monsieur,monsieur,21
de,de,81
Buckingham,Buckingham,20
",",",",p
ni,ni,82
madame,madame,22
de,de,81
Vernet,Vernet,20
/?,/?,P
non,non,60
",",",",p
elle,il,51
m',je,51
a,avoir,17
dit,dire,12
seulement,seulement,60
qu',que,83
elle,il,51
voulait,vouloir,18
m',je,51
envoyer,envoyer,14
à,à,81
Londres,Londres,20
pour,pour,81
servir,servir,14
les,le,71
intérêts,intérêt,21
d',de,81
une,un,71
personne,personne,22
illustre,illustre,30
/.,/.,P
“,“,p
“,“,p
le,le,71
traître,traître,21
!,!,p
murmura,murmurer,19
madame,madame,22
Bonacieux,Bonacieux,20
/.,/.,P
-,-,p
silence,silence,21
!,!,p
dit,dire,19
d',de,81
Artagnan,Artagnan,20
en,en,81
lui,lui,51
prenant,prendre,13
une,un,71
main,main,22
qu',que,52
elle,il,51
lui,lui,51
abandonna,abandonner,19
sans,sans,81
y,y,52
penser,penser,14
/.,/.,P
“,“,p
n',ne,60
importe,importer,17
",",",",p
continua,continuer,19
l',le,71
homme,homme,21
au,à,81
au,le,71
manteau,manteau,21
",",",",p
vous,vous,51
êtes,être,17
un,un,71
niais,niais,21
de,de,81
n',ne,60
avoir,avoir,14
pas,pas,60
feint,feindre,12
d',de,81
accepter,accepter,14
la,le,71
commission,commission,22
",",",",p
vous,vous,51
auriez,avoir,16
la,le,71
lettre,lettre,22
à,à,81
présent,présent,21
;,;,p
l',le,71
Etat,état,21
qu',que,52
on,on,51
menace,menacer,17
était,être,18
sauvé,sauver,12
",",",",p
et,et,82
vous,vous,51
/…,/…,P
et,et,82
moi,moi,51
/?,/?,P
eh,eh,93
bien,bien,60
",",",",p
vous,vous,51
!,!,p
le,le,71
cardinal,cardinal,21
vous,vous,51
donnait,donner,18
des,de,81
des,le,71
lettres,lettre,22
de,de,81
noblesse,noblesse,22
/…,/…,P
il,il,51
vous,vous,51
l',le,52
a,avoir,17
dit,dire,12
/?,/?,P
oui,oui,60
",",",",p
je,je,51
sais,savoir,17
qu',que,83
il,il,51
voulait,vouloir,18
vous,vous,51
faire,faire,14
cette,ce,74
surprise,surprise,22
/.,/.,P
-,-,p
soyez,être,17
tranquille,tranquille,30
",",",",p
reprit,reprendre,19
Bonacieux,Bonacieux,20
;,;,p
ma,mon,73
femme,femme,22
m',je,51
adore,adorer,17
",",",",p
et,et,82
il,il,51
est,être,17
encore,encore,60
temps,temps,21
/.,/.,P
“,“,p
“,“,p
le,le,71
niais,niais,21
!,!,p
murmura,murmurer,19
madame,madame,22
Bonacieux,Bonacieux,20
/.,/.,P
-,-,p
silence,silence,21
!,!,p
dit,dire,19
d',de,81
Artagnan,Artagnan,20
en,en,81
lui,lui,51
serrant,serrer,13
plus,plus,60
fortement,fortement,60
la,le,71
main,main,22
/.,/.,P
“,“,p
comment,comment,60
est,être,17
il,il,51
encore,encore,60
temps,temps,21
?,?,p
reprit,reprendre,19
l',le,71
homme,homme,21
au,à,81
au,le,71
manteau,manteau,21
/.,/.,P
-,-,p
je,je,51
retourne,retourner,17
au,à,81
au,le,71
Louvre,Louvre,20
",",",",p
je,je,51
demande,demander,17
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
je,je,51
dis,dire,17
que,que,83
j',je,51
ai,avoir,17
réfléchi,réfléchir,12
",",",",p
je,je,51
renoue,renouer,17
l',le,71
affaire,affaire,22
",",",",p
j',je,51
obtiens,obtenir,17
la,le,71
lettre,lettre,22
",",",",p
et,et,82
je,je,51
cours,courir,17
chez,chez,81
le,le,71
cardinal,cardinal,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
allez,aller,17
vite,vite,60
;,;,p
je,je,51
reviendrai,revenir,15
bientôt,bientôt,60
savoir,savoir,14
le,le,71
résultat,résultat,21
de,de,81
votre,votre,73
démarche,démarche,22
/.,/.,P
“,“,p
l',le,71
inconnu,inconnu,21
sortit,sortir,19
/.,/.,P
“,“,p
l',le,71
infâme,infâme,30
!,!,p
dit,dire,19
madame,madame,22
Bonacieux,Bonacieux,20
en,en,81
adressant,adresser,13
encore,encore,60
cette,ce,74
épithète,épithète,22
à,à,81
son,son,73
mari,mari,21
/.,/.,P
-,-,p
silence,silence,21
!,!,p
répéta,répéter,19
d',de,81
Artagnan,Artagnan,20
en,en,81
lui,lui,51
serrant,serrer,13
la,le,71
main,main,22
plus,plus,60
fortement,fortement,60
encore,encore,60
/.,/.,P
un,un,71
hurlement,hurlement,21
terrible,terrible,30
interrompit,interrompre,19
alors,alors,60
les,le,71
réflexions,réflexion,22
de,de,81
d',de,81
Artagnan,Artagnan,20
et,et,82
de,de,81
madame,madame,22
Bonacieux,Bonacieux,20
/.,/.,P
c',ce,52
était,être,18
son,son,73
mari,mari,21
",",",",p
qui,qui,52
s',se,51
était,être,18
aperçu,apercevoir,12
de,de,81
la,le,71
disparition,disparition,22
de,de,81
son,son,73
sac,sac,21
et,et,82
qui,qui,52
criait,crier,18
au,à,81
au,le,71
voleur,voleur,21
/.,/.,P
“,“,p
oh,oh,93
!,!,p
mon,mon,73
dieu,dieu,21
!,!,p
s',se,51
écria,écrier,19
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
il,il,51
va,aller,17
ameuter,ameuter,14
tout,tout,75
le,le,71
quartier,quartier,21
/.,/.,P
“,“,p
Bonacieux,Bonacieux,20
cria,crier,19
longtemps,longtemps,60
;,;,p
mais,mais,82
comme,comme,83
de,de,81
pareils,pareil,30
cris,cri,21
",",",",p
attendu,attendu,81
leur,leur,73
fréquence,fréquence,22
",",",",p
n',ne,60
attiraient,attirer,18
personne,personne,52
dans,dans,81
la,le,71
rue,rue,22
des,de,81
des,le,71
fossoyeurs,fossoyeur,21
",",",",p
et,et,82
que,que,83
d',de,81
ailleurs,ailleurs,60
la,le,71
maison,maison,22
du,de,81
du,le,71
mercier,mercier,21
était,être,18
depuis,depuis,81
quelque,quelque,75
temps,temps,21
assez,assez,60
mal,mal,60
famée,famé,30
",",",",p
voyant,voir,13
que,que,83
personne,personne,52
ne,ne,60
venait,venir,18
",",",",p
il,il,51
sortit,sortir,19
en,en,81
continuant,continuer,13
de,de,81
crier,crier,14
",",",",p
et,et,82
l',l',94
on,on,51
entendit,entendre,19
sa,son,73
voix,voix,22
qui,qui,52
s',se,51
éloignait,éloigner,18
dans,dans,81
la,le,71
direction,direction,22
de,de,81
la,le,71
rue,rue,22
du,de,81
du,le,71
bac,bac,21
/.,/.,P
“,“,p
et,et,82
maintenant,maintenant,60
qu',que,83
il,il,51
est,être,17
parti,partir,12
",",",",p
à,à,81
votre,votre,73
tour,tour,21
de,de,81
vous,vous,51
éloigner,éloigner,14
",",",",p
dit,dire,19
madame,madame,22
Bonacieux,Bonacieux,20
;,;,p
du,de,81
du,le,71
courage,courage,21
",",",",p
mais,mais,82
surtout,surtout,60
de,de,81
la,le,71
prudence,prudence,22
",",",",p
et,et,82
songez,songer,17
que,que,83
vous,vous,51
vous,vous,51
devez,devoir,17
à,à,81
la,le,71
reine,reine,22
/.,/.,P
-,-,p
à,à,81
elle,il,51
et,et,82
à,à,81
vous,vous,51
!,!,p
s',se,51
écria,écrier,19
d',de,81
Artagnan,Artagnan,20
/.,/.,P
soyez,être,17
tranquille,tranquille,30
",",",",p
belle,beau,30
Constance,Constance,20
",",",",p
je,je,51
reviendrai,revenir,15
digne,digne,30
de,de,81
sa,son,73
reconnaissance,reconnaissance,22
;,;,p
mais,mais,82
reviendrai,revenir,15
je,je,51
aussi,aussi,60
digne,digne,30
de,de,81
votre,votre,73
amour,amour,21
/?,/?,P
la,le,71
jeune,jeune,30
femme,femme,22
ne,ne,60
répondit,répondre,19
que,que,83
par,par,81
la,le,71
vive,vif,30
rougeur,rougeur,22
qui,qui,52
colora,colorer,19
ses,son,73
joues,joue,22
/.,/.,P
quelques,quelque,75
instants,instant,21
après,après,81
",",",",p
d',de,81
Artagnan,Artagnan,20
sortit,sortir,19
à,à,81
son,son,73
tour,tour,21
",",",",p
enveloppé,enveloppé,31
",",",",p
lui,lui,51
aussi,aussi,60
",",",",p
d',de,81
un,un,71
grand,grand,30
manteau,manteau,21
que,que,52
retroussait,retrousser,18
cavalièrement,cavalièrement,60
le,le,71
fourreau,fourreau,21
d',de,81
une,un,71
longue,long,30
épée,épée,22
/.,/.,P
madame,madame,22
Bonacieux,Bonacieux,20
le,le,52
suivit,suivre,19
des,de,81
des,le,71
