11347
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trentième extrait>,<>,<>
que,que,83
tu,tu,51
m',je,51
as,avoir,17
si,si,60
bravement,bravement,60
défendue,défendre,12
;,;,p
et,et,82
d',de,81
ailleurs,ailleurs,60
je,je,51
ne,ne,60
crains,craindre,17
personne,personne,52
/.,/.,P
je,je,51
me,je,51
cachais,cacher,18
pour,pour,81
pleurer,pleurer,14
",",",",p
et,et,82
c',ce,52
est,être,17
tout,tout,52
",",",",p
car,car,82
il,il,51
n',ne,60
y,y,52
a,avoir,17
rien,rien,52
de,de,81
si,si,60
sot,sot,30
que,que,83
de,de,81
montrer,montrer,14
sa,son,73
peine,peine,22
aux,à,81
aux,le,71
autres,autre,52
/.,/.,P
-,-,p
mais,mais,82
pourquoi,pourquoi,60
as,avoir,17
tu,tu,51
une,un,71
si,si,60
grosse,gros,30
peine,peine,22
/?,/?,P
est,être,17
ce,ce,52
à,à,81
cause,cause,22
des,de,81
des,le,71
méchancetés,méchanceté,22
qu',que,52
on,on,51
t',tu,51
a,avoir,17
faites,faire,12
aujourd'hui,aujourd'hui,60
/?,/?,P
il,il,51
y,y,52
a,avoir,17
eu,avoir,12
un,un,71
peu,peu,60
de,de,81
ta,ton,73
faute,faute,22
;,;,p
mais,mais,82
il,il,51
faut,falloir,17
t',tu,51
en,en,52
consoler,consoler,14
et,et,82
ne,ne,60
plus,plus,60
t',tu,51
y,y,52
exposer,exposer,14
/.,/.,P
-,-,p
pourquoi,pourquoi,60
dites,dire,17
vous,vous,51
",",",",p
Landry,Landry,20
",",",",p
qu',que,83
il,il,51
y,y,52
a,avoir,17
eu,avoir,12
de,de,81
ma,mon,73
faute,faute,22
/?,/?,P
c',ce,52
est,être,17
donc,donc,82
un,un,71
outrage,outrage,21
que,que,52
je,je,51
vous,vous,51
ai,avoir,17
fait,faire,12
de,de,81
souhaiter,souhaiter,14
de,de,81
danser,danser,14
avec,avec,81
vous,vous,51
",",",",p
et,et,82
je,je,51
suis,être,17
donc,donc,82
la,le,71
seule,seul,30
fille,fille,22
qui,qui,52
n',ne,60
ait,avoir,17
pas,pas,60
le,le,71
droit,droit,21
de,de,81
s',se,51
amuser,amuser,14
comme,comme,83
les,le,71
autres,autre,52
/?,/?,P
ce,ce,52
n',ne,60
est,être,17
point,point,60
cela,cela,52
",",",",p
Fadette,Fadette,20
;,;,p
je,je,51
ne,ne,60
vous,vous,51
fais,faire,17
point,point,60
de,de,81
reproche,reproche,21
d',de,81
avoir,avoir,14
voulu,vouloir,12
danser,danser,14
avec,avec,81
moi,moi,51
/.,/.,P
j',je,51
ai,avoir,17
fait,faire,12
ce,ce,52
que,que,52
vous,vous,51
souhaitiez,souhaiter,18
",",",",p
et,et,82
je,je,51
me,je,51
suis,être,17
conduit,conduire,12
avec,avec,81
vous,vous,51
comme,comme,83
je,je,51
devais,devoir,18
/.,/.,P
votre,votre,73
tort,tort,21
est,être,17
plus,plus,60
ancien,ancien,30
que,que,83
la,le,71
journée,journée,22
d',de,81
aujourd'hui,aujourd'hui,60
",",",",p
et,et,82
si,si,83
vous,vous,51
l',le,52
avez,avoir,17
eu,avoir,12
",",",",p
ce,ce,52
n',ne,60
est,être,17
point,point,60
envers,envers,81
moi,moi,51
",",",",p
mais,mais,82
envers,envers,81
vous-même,vous-même,51
",",",",p
vous,vous,51
le,le,52
savez,savoir,17
bien,bien,60
/.,/.,P
-,-,p
non,non,60
",",",",p
Landry,Landry,20
;,;,p
aussi,aussi,60
vrai,vrai,60
que,que,83
j',je,51
aime,aimer,17
dieu,dieu,21
",",",",p
je,je,51
ne,ne,60
connais,connaître,17
pas,pas,60
ce,ce,74
tort,tort,21
là,là,60
;,;,p
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
songé,songer,12
à,à,81
moi-même,moi-même,51
",",",",p
et,et,82
si,si,83
je,je,51
me,je,51
reproche,reprocher,17
quelque,quelque,75
chose,chose,22
",",",",p
c',ce,52
est,être,17
de,de,81
vous,vous,51
avoir,avoir,14
causé,causer,12
du,de,81
du,le,71
désagrément,désagrément,21
contre,contre,81
mon,mon,73
gré,gré,21
/.,/.,P
-,-,p
ne,ne,60
parlons,parler,17
pas,pas,60
de,de,81
moi,moi,51
",",",",p
Fadette,Fadette,20
",",",",p
je,je,51
ne,ne,60
vous,vous,51
fais,faire,17
aucune,aucun,75
plainte,plainte,22
;,;,p
parlons,parler,17
de,de,81
vous,vous,51
;,;,p
et,et,82
puisque,puisque,83
vous,vous,51
ne,ne,60
vous,vous,51
connaissez,connaître,17
point,point,60
de,de,81
défauts,défaut,21
",",",",p
voulez,vouloir,17
vous,vous,51
que,que,83
",",",",p
de,de,81
bonne,bon,30
foi,foi,22
et,et,82
de,de,81
bonne,bon,30
amitié,amitié,22
",",",",p
je,je,51
vous,vous,51
dise,dire,17
ceux,celui,52
que,que,52
vous,vous,51
avez,avoir,17
/?,/?,P
oui,oui,60
",",",",p
Landry,Landry,20
",",",",p
je,je,51
le,le,52
veux,vouloir,17
",",",",p
et,et,82
j',je,51
estimerai,estimer,15
cela,cela,52
la,le,71
meilleure,meilleur,30
récompense,récompense,22
ou,ou,82
la,le,71
meilleure,meilleur,30
punition,punition,22
que,que,52
tu,tu,51
puisses,pouvoir,17
me,je,51
donner,donner,14
pour,pour,81
le,le,71
bien,bien,21
ou,ou,82
le,le,71
mal,mal,21
que,que,52
je,je,51
t',tu,51
ai,avoir,17
fait,faire,12
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
Fanchon,Fanchon,20
Fadet,Fadet,20
",",",",p
puisque,puisque,83
tu,tu,51
parles,parler,17
si,si,60
raisonnablement,raisonnablement,60
",",",",p
et,et,82
que,que,83
",",",",p
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
de,de,81
ta,ton,73
vie,vie,22
",",",",p
je,je,51
te,tu,51
vois,voir,17
douce,doux,30
et,et,82
traitable,traitable,30
",",",",p
je,je,51
vas,aller,17
te,tu,51
dire,dire,14
pourquoi,pourquoi,60
on,on,51
ne,ne,60
te,tu,51
respecte,respecter,17
pas,pas,60
comme,comme,83
une,un,71
fille,fille,22
de,de,81
seize,seize,72
ans,an,21
devrait,devoir,16
pouvoir,pouvoir,14
l',le,52
exiger,exiger,14
/.,/.,P
c',ce,52
est,être,17
que,que,83
tu,tu,51
n',ne,60
as,avoir,17
rien,rien,52
d',de,81
une,un,71
fille,fille,22
et,et,82
tout,tout,60
d',de,81
un,un,71
garçon,garçon,21
",",",",p
dans,dans,81
ton,ton,73
air,air,21
et,et,82
dans,dans,81
tes,ton,73
manières,manière,22
;,;,p
c',ce,52
est,être,17
que,que,83
tu,tu,51
ne,ne,60
prends,prendre,17
pas,pas,60
soin,soin,21
de,de,81
ta,ton,73
personne,personne,22
/.,/.,P
pour,pour,81
commencer,commencer,14
",",",",p
tu,tu,51
n',ne,60
as,avoir,17
point,point,60
l',le,71
air,air,21
propre,propre,30
et,et,82
soigneux,soigneux,30
",",",",p
et,et,82
tu,tu,51
te,tu,51
fais,faire,17
paraître,paraître,14
laide,laid,30
par,par,81
ton,ton,73
habillement,habillement,21
et,et,82
ton,ton,73
langage,langage,21
/.,/.,P
tu,tu,51
sais,savoir,17
bien,bien,60
que,que,83
les,le,71
enfants,enfant,21
t',tu,51
appellent,appeler,17
d',de,81
un,un,71
nom,nom,21
encore,encore,60
plus,plus,60
déplaisant,déplaisant,30
que,que,83
celui,celui,52
de,de,81
grelet,grelet,21
/.,/.,P
ils,ils,51
t',tu,51
appellent,appeler,17
souvent,souvent,60
le,le,71
mâlot,mâlot,21
/.,/.,P
eh,eh,93
bien,bien,60
",",",",p
crois,croire,17
tu,tu,51
que,que,83
ce,ce,52
soit,être,17
à,à,81
propos,propos,21
",",",",p
à,à,81
seize,seize,72
ans,an,21
",",",",p
de,de,81
ne,ne,60
point,point,60
ressembler,ressembler,14
encore,encore,60
à,à,81
une,un,71
fille,fille,22
/?,/?,P
tu,tu,51
montes,monter,17
sur,sur,81
les,le,71
arbres,arbre,21
comme,comme,83
un,un,71
vrai,vrai,30
chat,chat,21
écurieux,curieux,30
",",",",p
et,et,82
quand,quand,83
tu,tu,51
sautes,sauter,17
sur,sur,81
une,un,71
jument,jument,22
",",",",p
sans,sans,81
bride,bride,22
ni,ni,82
selle,selle,22
",",",",p
tu,tu,51
la,le,52
fais,faire,17
galoper,galoper,14
comme,comme,83
si,si,83
le,le,71
diable,diable,21
était,être,18
dessus,dessus,60
/.,/.,P
c',ce,52
est,être,17
bon,bon,30
d',de,81
être,être,14
forte,fort,30
et,et,82
leste,leste,30
;,;,p
c',ce,52
est,être,17
bon,bon,30
aussi,aussi,60
de,de,81
n',ne,60
avoir,avoir,14
peur,peur,22
de,de,81
rien,rien,52
",",",",p
et,et,82
c',ce,52
est,être,17
un,un,71
avantage,avantage,21
de,de,81
nature,nature,22
pour,pour,81
un,un,71
homme,homme,21
/.,/.,P
mais,mais,82
pour,pour,81
une,un,71
femme,femme,22
trop,trop,60
est,être,17
trop,trop,60
",",",",p
et,et,82
tu,tu,51
as,avoir,17
l',le,71
air,air,21
de,de,81
vouloir,vouloir,14
te,tu,51
faire,faire,14
remarquer,remarquer,14
/.,/.,P
aussi,aussi,60
on,on,51
te,tu,51
remarque,remarquer,17
",",",",p
on,on,51
te,tu,51
taquine,taquiner,17
",",",",p
on,on,51
crie,crier,17
après,après,81
toi,toi,51
comme,comme,83
après,après,81
un,un,71
loup,loup,21
/.,/.,P
tu,tu,51
as,avoir,17
de,de,81
l',le,71
esprit,esprit,21
et,et,82
tu,tu,51
réponds,répondre,17
des,de,81
des,le,71
malices,malice,22
qui,qui,52
font,faire,17
rire,rire,14
ceux,celui,52
à,à,81
qui,qui,52
elles,ils,51
ne,ne,60
s',se,51
adressent,adresser,17
point,point,60
/.,/.,P
c',ce,52
est,être,17
encore,encore,60
bon,bon,30
d',de,81
avoir,avoir,14
plus,plus,60
d',de,81
esprit,esprit,21
que,que,83
les,le,71
autres,autre,52
;,;,p
mais,mais,82
à,à,81
force,force,22
de,de,81
le,le,52
montrer,montrer,14
",",",",p
on,on,51
se,se,51
fait,faire,17
des,de,81
des,le,71
ennemis,ennemi,21
/.,/.,P
tu,tu,51
es,être,17
curieuse,curieux,30
",",",",p
et,et,82
quand,quand,83
tu,tu,51
as,avoir,17
surpris,surprendre,12
les,le,71
secrets,secret,21
des,de,81
des,le,71
autres,autre,52
",",",",p
tu,tu,51
les,le,52
leur,leur,52
jettes,jeter,17
à,à,81
la,le,71
figure,figure,22
bien,bien,60
durement,durement,60
",",",",p
aussitôt,aussitôt,60
que,que,83
tu,tu,51
as,avoir,17
à,à,81
te,tu,51
plaindre,plaindre,14
d',de,81
eux,ils,51
/.,/.,P
cela,cela,52
te,tu,51
fait,faire,17
craindre,craindre,14
",",",",p
et,et,82
on,on,51
déteste,détester,17
ceux,celui,52
qu',que,52
on,on,51
craint,craindre,17
/.,/.,P
on,on,51
leur,leur,52
rend,rendre,17
plus,plus,60
de,de,81
mal,mal,21
qu',que,83
ils,ils,51
n',ne,60
en,en,52
font,faire,17
/.,/.,P
enfin,enfin,60
",",",",p
que,que,52
tu,tu,51
sois,être,17
sorcière,sorcier,30
ou,ou,82
non,non,60
",",",",p
je,je,51
veux,vouloir,17
croire,croire,14
que,que,83
tu,tu,51
as,avoir,17
des,de,81
des,le,71
connaissances,connaissance,22
",",",",p
mais,mais,82
j',je,51
espère,espérer,17
que,que,83
tu,tu,51
ne,ne,60
t',tu,51
es,être,17
pas,pas,60
donnée,donner,12
aux,à,81
aux,le,71
mauvais,mauvais,30
esprits,esprit,21
;,;,p
tu,tu,51
cherches,chercher,17
à,à,81
le,le,71
paraître,paraître,21
pour,pour,81
effrayer,effrayer,14
ceux,celui,52
qui,qui,52
te,tu,51
fâchent,fâcher,17
",",",",p
et,et,82
c',ce,52
est,être,17
toujours,toujours,60
un,un,71
assez,assez,60
vilain,vilain,30
renom,renom,21
que,que,52
tu,tu,51
te,tu,51
donnes,donner,17
là,là,60
/.,/.,P
voilà,voilà,81
tous,tout,75
tes,ton,73
torts,tort,21
",",",",p
Fanchon,Fanchon,20
Fadet,Fadet,20
",",",",p
et,et,82
c',ce,52
est,être,17
à,à,81
cause,cause,22
de,de,81
ces,ce,74
torts,tort,21
là,là,60
que,que,83
les,le,71
gens,gens,21
en,en,52
ont,avoir,17
avec,avec,81
toi,toi,51
/.,/.,P
rumine,ruminer,17
un,un,71
peu,peu,60
la,le,71
chose,chose,22
",",",",p
et,et,82
tu,tu,51
verras,voir,15
que,que,83
si,si,83
tu,tu,51
voulais,vouloir,18
être,être,14
un,un,71
peu,peu,60
plus,plus,60
comme,comme,83
les,le,71
autres,autre,52
",",",",p
on,on,51
te,tu,51
saurait,savoir,16
plus,plus,60
de,de,81
gré,gré,21
de,de,81
ce,ce,52
que,que,52
tu,tu,51
as,avoir,17
de,de,81
plus,plus,60
qu',que,83
eux,ils,51
dans,dans,81
ton,ton,73
entendement,entendement,21
/.,/.,P
-,-,p
je,je,51
te,tu,51
remercie,remercier,17
",",",",p
Landry,Landry,20
",",",",p
répondit,répondre,19
la,le,71
petite,petit,30
Fadette,Fadette,20
",",",",p
d',de,81
un,un,71
air,air,21
très,très,60
sérieux,sérieux,30
",",",",p
après,après,81
avoir,avoir,14
écouté,écouter,12
le,le,71
besson,besson,21
bien,bien,60
religieusement,religieusement,60
/.,/.,P
tu,tu,51
m',je,51
as,avoir,17
dit,dire,12
à,à,81
peu,peu,60
près,près,81
ce,ce,52
que,que,52
tout,tout,75
le,le,71
monde,monde,21
me,je,51
reproche,reprocher,17
",",",",p
et,et,82
tu,tu,51
me,je,51
l',le,52
as,avoir,17
dit,dire,12
avec,avec,81
beaucoup,beaucoup,60
d',de,81
honnêteté,honnêteté,22
et,et,82
de,de,81
ménagement,ménagement,21
",",",",p
ce,ce,52
que,que,52
les,le,71
autres,autre,52
ne,ne,60
font,faire,17
point,point,60
;,;,p
mais,mais,82
à,à,81
présent,présent,21
veux,vouloir,17
tu,tu,51
que,que,83
je,je,51
te,tu,51
réponde,répondre,17
",",",",p
et,et,82
",",",",p
pour,pour,81
cela,cela,52
",",",",p
veux,vouloir,17
tu,tu,51
t',tu,51
asseoir,asseoir,14
à,à,81
mon,mon,73
côté,côté,21
pour,pour,81
un,un,71
petit,petit,30
moment,moment,21
/?,/?,P
l',le,71
endroit,endroit,21
n',ne,60
est,être,17
guère,guère,60
agréable,agréable,30
",",",",p
dit,dire,19
Landry,Landry,20
",",",",p
qui,qui,52
ne,ne,60
se,se,51
souciait,soucier,18
point,point,60
trop,trop,60
de,de,81
s',se,51
attarder,attarder,14
avec,avec,81
elle,il,51
",",",",p
et,et,82
qui,qui,52
songeait,songer,18
toujours,toujours,60
aux,à,81
aux,le,71
mauvais,mauvais,30
sorts,sort,21
qu',que,52
on,on,51
l',le,52
accusait,accuser,18
de,de,81
jeter,jeter,14
sur,sur,81
ceux,celui,52
qui,qui,52
ne,ne,60
s',se,51
en,en,52
méfiaient,méfier,18
point,point,60
/.,/.,P
-,-,p
tu,tu,51
ne,ne,60
trouves,trouver,17
point,point,60
l',le,71
endroit,endroit,21
agréable,agréable,30
",",",",p
reprit,reprendre,19
elle,il,51
",",",",p
parce que,parce que,83
vous autres,vous autres,52
riches,riche,30
vous,vous,51
êtes,être,17
difficiles,difficile,30
/.,/.,P
il,il,51
vous,vous,51
faut,falloir,17
du,de,81
du,le,71
beau,beau,30
gazon,gazon,21
pour,pour,81
vous,vous,51
asseoir,asseoir,14
dehors,dehors,60
",",",",p
et,et,82
vous,vous,51
pouvez,pouvoir,17
choisir,choisir,14
dans,dans,81
vos,votre,73
prés,pré,21
et,et,82
dans,dans,81
vos,votre,73
jardins,jardin,21
les,le,71
plus,plus,60
belles,beau,30
places,place,22
et,et,82
le,le,71
meilleur,meilleur,30
ombrage,ombrage,21
/.,/.,P
mais,mais,82
ceux,celui,52
qui,qui,52
n',ne,60
ont,avoir,17
rien,rien,52
à,à,81
eux,ils,51
n',ne,60
en,en,52
demandent,demander,17
pas,pas,60
si,si,60
long,long,60
au,à,81
au,le,71
bon,bon,30
dieu,dieu,21
",",",",p
et,et,82
ils,ils,51
s',se,51
accommodent,accommoder,17
de,de,81
la,le,71
première,premier,72
pierre,pierre,22
venue,venu,31
pour,pour,81
poser,poser,14
leur,leur,73
tête,tête,22
/.,/.,P
les,le,71
épines,épine,22
ne,ne,60
blessent,blesser,17
point,point,60
leurs,leur,73
pieds,pied,21
",",",",p
et,et,82
là,là,60
où,où,60
ils,ils,51
se,se,51
trouvent,trouver,17
",",",",p
ils,ils,51
observent,observer,17
tout,tout,52
ce,ce,52
qui,qui,52
est,être,17
joli,joli,30
et,et,82
avenant,avenant,30
au,à,81
au,le,71
ciel,ciel,21
et,et,82
sur,sur,81
la,le,71
terre,terre,22
/.,/.,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
point,point,60
de,de,81
vilain,vilain,30
endroit,endroit,21
",",",",p
Landry,Landry,20
",",",",p
pour,pour,81
ceux,celui,52
qui,qui,52
connaissent,connaître,17
la,le,71
vertu,vertu,22
et,et,82
la,le,71
douceur,douceur,22
de,de,81
toutes,tout,75
les,le,71
choses,chose,22
que,que,52
dieu,dieu,21
a,avoir,17
faites,faire,12
/.,/.,P
moi,moi,51
",",",",p
je,je,51
sais,savoir,17
",",",",p
sans,sans,81
être,être,14
sorcière,sorcier,30
",",",",p
à,à,81
quoi,quoi,52
sont,être,17
bonnes,bon,30
les,le,71
moindres,moindre,30
herbes,herbe,22
que,que,52
tu,tu,51
écrases,écraser,17
sous,sous,81
tes,ton,73
pieds,pied,21
;,;,p
et,et,82
quand,quand,83
je,je,51
sais,savoir,17
leur,leur,73
usage,usage,21
",",",",p
je,je,51
les,le,52
regarde,regarder,17
et,et,82
ne,ne,60
méprise,mépriser,17
ni,ni,82
leur,leur,73
odeur,odeur,22
ni,ni,82
leur,leur,73
figure,figure,22
/.,/.,P
je,je,51
te,tu,51
dis,dire,17
cela,cela,52
",",",",p
Landry,Landry,20
",",",",p
pour,pour,81
t',tu,51
enseigner,enseigner,14
tout,tout,60
à,à,81
l',le,71
heure,heure,22
une,un,71
autre,autre,75
chose,chose,22
qui,qui,52
se,se,51
rapporte,rapporter,17
aux,à,81
aux,le,71
âmes,âme,22
chrétiennes,chrétien,30
aussi,aussi,60
bien,bien,60
qu',que,83
aux,à,81
aux,le,71
fleurs,fleur,22
des,de,81
des,le,71
jardins,jardin,21
et,et,82
aux,à,81
aux,le,71
ronces,ronce,22
des,de,81
des,le,71
carrières,carrière,22
;,;,p
c',ce,52
est,être,17
que,que,83
l',l',94
on,on,51
méprise,mépriser,17
trop,trop,60
souvent,souvent,60
ce,ce,52
qui,qui,52
ne,ne,60
paraît,paraître,17
ni,ni,82
beau,beau,30
ni,ni,82
bon,bon,30
",",",",p
et,et,82
que,que,83
",",",",p
par là,par-là,60
",",",",p
on,on,51
se,se,51
prive,priver,17
de,de,81
ce,ce,52
qui,qui,52
est,être,17
secourable,secourable,30
et,et,82
salutaire,salutaire,30
/.,/.,P
-,-,p
je,je,51
n',ne,60
entends,entendre,17
pas,pas,60
bien,bien,60
ce,ce,52
que,que,52
tu,tu,51
veux,vouloir,17
signifier,signifier,14
",",",",p
dit,dire,19
Landry,Landry,20
en,en,81
s',se,51
asseyant,asseoir,13
auprès,auprès,60
d',de,81
elle,il,51
/.,/.,P
et,et,82
ils,ils,51
restèrent,rester,19
un,un,71
moment,moment,21
sans,sans,81
parler,parler,14
",",",",p
car,car,82
la,le,71
petite,petit,30
Fadette,Fadette,20
avait,avoir,18
l',le,71
esprit,esprit,21
envolé,envolé,31
à,à,81
des,de,81
des,le,71
idées,idée,22
que,que,52
Landry,Landry,20
ne,ne,60
connaissait,connaître,18
point,point,60
;,;,p
et,et,82
quant,quand,83
à,à,81
lui,lui,51
",",",",p
malgré,malgré,81
qu',que,83
il,il,51
en,en,52
eût,avoir,19
un,un,71
peu,peu,60
d',de,81
embrouillement,embrouillement,21
dans,dans,81
la,le,71
tête,tête,22
",",",",p
il,il,51
ne,ne,60
pouvait,pouvoir,18
pas,pas,60
s',se,51
empêcher,empêcher,14
d',de,81
avoir,avoir,14
du,de,81
du,le,71
plaisir,plaisir,21
à,à,81
entendre,entendre,14
cette,ce,74
fille,fille,22
;,;,p
car,car,82
jamais,jamais,60
il,il,51
n',ne,60
avait,avoir,18
entendu,entendre,12
une,un,71
voix,voix,22
si,si,60
douce,doux,30
et,et,82
des,de,81
des,le,71
paroles,parole,22
si,si,60
bien,bien,60
dites,dit,31
que,que,83
les,le,71
paroles,parole,22
et,et,82
la,le,71
voix,voix,22
de,de,81
la,le,71
Fadette,Fadette,20
dans,dans,81
ce,ce,74
moment,moment,21
là,là,60
/.,/.,P
-,-,p
écoute,écouter,17
",",",",p
Landry,Landry,20
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
",",",",p
je,je,51
suis,être,17
plus,plus,60
à,à,81
plaindre,plaindre,14
qu',que,83
à,à,81
blâmer,blâmer,14
;,;,p
et,et,82
si,si,83
j',je,51
ai,avoir,17
des,de,81
des,le,71
torts,tort,21
envers,envers,81
moi-même,moi-même,51
",",",",p
du,de,81
du,le,71
moins,moins,60
n',ne,60
en,en,52
ai,avoir,17
je,je,51
jamais,jamais,60
eu,avoir,12
de,de,81
sérieux,sérieux,30
envers,envers,81
les,le,71
autres,autre,52
;,;,p
et,et,82
si,si,83
le,le,71
monde,monde,21
était,être,18
juste,juste,30
et,et,82
raisonnable,raisonnable,30
",",",",p
il,il,51
ferait,faire,16
plus,plus,60
d',de,81
attention,attention,22
à,à,81
mon,mon,73
bon,bon,30
coeur,coeur,21
qu',que,83
à,à,81
ma,mon,73
vilaine,vilain,30
figure,figure,22
et,et,82
à,à,81
mes,mon,73
mauvais,mauvais,30
habillements,habillement,21
/.,/.,P
vois,voir,17
un,un,71
peu,peu,60
",",",",p
ou,ou,82
apprends,apprendre,17
si,si,83
tu,tu,51
ne,ne,60
le,le,52
sais,savoir,17
",",",",p
quel,quel,52
a,avoir,17
été,être,12
mon,mon,73
sort,sort,21
depuis,depuis,81
que,que,83
je,je,51
suis,être,17
au,à,81
au,le,71
monde,monde,21
/.,/.,P
je,je,51
ne,ne,60
te,tu,51
dirai,dire,15
point,point,60
de,de,81
mal,mal,21
de,de,81
ma,mon,73
pauvre,pauvre,30
mère,mère,22
qu',que,52
un,un,52
chacun,chacun,52
blâme,blâmer,17
et,et,82
insulte,insulter,17
",",",",p
quoiqu',quoique,83
elle,il,51
ne,ne,60
soit,être,17
point,point,60
là,là,60
pour,pour,81
se,se,51
défendre,défendre,14
",",",",p
et,et,82
sans,sans,81
que,que,83
je,je,51
puisse,pouvoir,17
le,le,52
faire,faire,14
",",",",p
moi,moi,51
qui,qui,52
ne,ne,60
sais,savoir,17
pas,pas,60
bien,bien,60
ce,ce,52
qu',que,52
elle,il,51
a,avoir,17
fait,faire,12
de,de,81
mal,mal,21
",",",",p
ni,ni,82
pourquoi,pourquoi,60
elle,il,51
a,avoir,17
été,être,12
poussée,pousser,12
à,à,81
le,le,52
faire,faire,14
/.,/.,P
eh,eh,93
bien,bien,60
!,!,p
le,le,71
monde,monde,21
est,être,17
si,si,60
méchant,méchant,30
",",",",p
qu',que,83
à,à,81
peine,peine,22
ma,mon,73
mère,mère,22
m',je,51
eut,avoir,19
elle,il,51
délaissée,délaisser,12
",",",",p
et,et,82
comme,comme,83
je,je,51
la,le,52
pleurais,pleurer,18
encore,encore,60
bien,bien,60
amèrement,amèrement,60
",",",",p
au,à,81
au,le,71
moindre,moindre,30
dépit,dépit,21
que,que,52
les,le,71
autres,autre,75
enfants,enfant,21
avaient,avoir,18
contre,contre,81
moi,moi,51
",",",",p
pour,pour,81
un,un,71
jeu,jeu,21
",",",",p
pour,pour,81
un,un,71
rien,rien,21
qu',que,52
ils,ils,51
se,se,51
seraient,être,16
pardonné,pardonner,12
entre,entre,81
eux,ils,51
",",",",p
ils,ils,51
me,je,51
reprochaient,reprocher,18
la,le,71
faute,faute,22
de,de,81
ma,mon,73
mère,mère,22
et,et,82
voulaient,vouloir,18
me,je,51
forcer,forcer,14
à,à,81
rougir,rougir,14
d',de,81
elle,il,51
/.,/.,P
peut-être,peut-être,60
qu',que,83
à,à,81
ma,mon,73
place,place,22
une,un,71
fille,fille,22
raisonnable,raisonnable,30
",",",",p
comme,comme,83
tu,tu,51
dis,dire,19
",",",",p
se,se,51
fût,être,19
abaissée,abaisser,12
dans,dans,81
le,le,71
silence,silence,21
",",",",p
pensant,penser,13
qu',que,83
il,il,51
était,être,18
prudent,prudent,30
d',de,81
abandonner,abandonner,14
la,le,71
cause,cause,22
de,de,81
sa,son,73
mère,mère,22
et,et,82
de,de,81
la,le,52
laisser,laisser,14
injurier,injurier,14
pour,pour,81
se,se,51
préserver,préserver,14
de,de,81
l',le,52
être,être,14
/.,/.,P
mais,mais,82
moi,moi,51
",",",",p
vois,voir,17
tu,tu,51
",",",",p
je,je,51
ne,ne,60
le,le,52
pouvais,pouvoir,18
pas,pas,60
/.,/.,P
c',ce,52
était,être,18
plus,plus,60
fort,fort,30
que,que,83
moi,moi,51
/.,/.,P
ma,mon,73
mère,mère,22
était,être,18
toujours,toujours,60
ma,mon,73
mère,mère,22
",",",",p
et,et,82
qu',que,52
elle,il,51
soit,être,17
ce,ce,52
qu',que,52
on,on,51
voudra,vouloir,15
",",",",p
que,que,52
je,je,51
la,le,52
retrouve,retrouver,17
ou,ou,82
que,que,52
je,je,51
n',ne,60
en,en,52
entende,entendre,17
jamais,jamais,60
parler,parler,14
",",",",p
je,je,51
l',le,52
aimerai,aimer,15
toujours,toujours,60
de,de,81
toute,tout,75
la,le,71
force,force,22
de,de,81
mon,mon,73
coeur,coeur,21
/.,/.,P
aussi,aussi,60
",",",",p
quand,quand,83
on,on,51
m',je,51
appelle,appeler,17
enfant,enfant,21
de,de,81
coureuse,coureuse,22
et,et,82
de,de,81
vivandière,vivandière,22
",",",",p
je,je,51
suis,être,17
en,en,81
colère,colère,22
",",",",p
non,non,60
à,à,81
cause,cause,22
de,de,81
moi,moi,51
:,:,p
je,je,51
sais,savoir,17
bien,bien,60
que,que,83
cela,cela,52
ne,ne,60
peut,pouvoir,17
m',je,51
offenser,offenser,14
",",",",p
puisque,puisque,83
je,je,51
n',ne,60
ai,avoir,17
rien,rien,52
fait,faire,12
de,de,81
mal,mal,21
;,;,p
mais,mais,82
à,à,81
cause,cause,22
de,de,81
cette,ce,74
pauvre,pauvre,30
chère,cher,30
femme,femme,22
que,que,52
mon,mon,73
devoir,devoir,21
est,être,17
de,de,81
défendre,défendre,14
/.,/.,P
et,et,82
comme,comme,83
je,je,51
ne,ne,60
peux,pouvoir,17
ni,ni,82
ne,ne,60
sais,savoir,17
la,le,52
défendre,défendre,14
",",",",p
je,je,51
la,le,52
venge,venger,17
",",",",p
en,en,81
disant,dire,13
aux,à,81
aux,le,71
autres,autre,52
les,le,71
vérités,vérité,22
qu',que,52
ils,ils,51
méritent,mériter,17
",",",",p
et,et,82
en,en,81
leur,leur,52
montrant,montrer,13
qu',que,83
ils,ils,51
ne,ne,60
valent,valoir,17
pas,pas,60
mieux,mieux,60
que,que,83
celle,celui,52
à,à,81
qui,qui,52
ils,ils,51
jettent,jeter,17
la,le,71
pierre,pierre,22
/.,/.,P
voilà,voilà,81
pourquoi,pourquoi,60
ils,ils,51
disent,dire,17
que,que,83
je,je,51
suis,être,17
curieuse,curieux,30
et,et,82
insolente,insolent,30
",",",",p
que,que,83
je,je,51
surprends,surprendre,17
leurs,leur,73
secrets,secret,21
pour,pour,81
les,le,52
