11673
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-dixième extrait>,<>,<>
pieds,pied,21
/.,/.,P
elle,il,51
appelait,appeler,18
Schahabarim,Schahabarim,20
",",",",p
et,et,82
",",",",p
quand,quand,83
il,il,51
était,être,18
venu,venir,12
",",",",p
n',ne,60
avait,avoir,18
plus,plus,60
rien,rien,52
à,à,81
lui,lui,51
dire,dire,14
/.,/.,P
elle,il,51
ne,ne,60
pouvait,pouvoir,18
vivre,vivre,14
sans,sans,81
le,le,71
soulagement,soulagement,21
de,de,81
sa,son,73
présence,présence,22
/.,/.,P
mais,mais,82
elle,il,51
se,se,51
révoltait,révolter,18
intérieurement,intérieurement,60
contre,contre,81
cette,ce,74
domination,domination,22
;,;,p
elle,il,51
sentait,sentir,18
pour,pour,81
le,le,71
prêtre,prêtre,21
tout,tout,60
à,à,81
la,le,71
fois,fois,22
de,de,81
la,le,71
terreur,terreur,22
",",",",p
de,de,81
la,le,71
jalousie,jalousie,22
",",",",p
de,de,81
la,le,71
haine,haine,22
et,et,82
une,un,71
espèce,espèce,22
d',de,81
amour,amour,21
",",",",p
en,en,81
reconnaissance,reconnaissance,22
de,de,81
la,le,71
singulière,singulier,30
volupté,volupté,22
qu',que,52
elle,il,51
trouvait,trouver,18
près,près,81
de,de,81
lui,lui,51
/.,/.,P
il,il,51
avait,avoir,18
reconnu,reconnaître,12
l',le,71
influence,influence,22
de,de,81
la,le,71
Rabbet,Rabbet,20
",",",",p
habile,habile,30
à,à,81
distinguer,distinguer,14
quels,quel,52
étaient,être,18
les,le,71
dieux,dieu,21
qui,qui,52
envoyaient,envoyer,18
les,le,71
maladies,maladie,22
;,;,p
et,et,82
",",",",p
pour,pour,81
guérir,guérir,14
Salammbô,Salammbô,20
",",",",p
il,il,51
faisait,faire,18
arroser,arroser,14
son,son,73
appartement,appartement,21
avec,avec,81
des,de,81
des,le,71
lotions,lotion,22
de,de,81
verveine,verveine,22
et,et,82
d',de,81
adiante,adiante,22
;,;,p
elle,il,51
mangeait,manger,18
tous,tout,75
les,le,71
matins,matin,21
des,de,81
des,le,71
mandragores,mandragore,22
;,;,p
elle,il,51
dormait,dormir,18
",",",",p
la,le,71
tête,tête,22
sur,sur,81
un,un,71
sachet,sachet,21
d',de,81
aromates,aromate,21
mixtionnés,mixtionné,31
par,par,81
les,le,71
pontifes,pontife,21
;,;,p
il,il,51
avait,avoir,18
même,même,60
employé,employer,12
le,le,52
baaras,baara,22
",",",",p
racine,racine,22
couleur,couleur,22
de,de,81
feu,feu,21
qui,qui,52
refoule,refouler,17
dans,dans,81
le,le,71
septentrion,septentrion,21
les,le,71
génies,génie,21
funestes,funeste,30
;,;,p
enfin,enfin,60
",",",",p
se,se,51
tournant,tourner,13
vers,vers,81
l',le,71
étoile,étoile,22
polaire,polaire,30
",",",",p
il,il,51
murmura,murmurer,19
par,par,81
trois,trois,72
fois,fois,22
le,le,71
nom,nom,21
mystérieux,mystérieux,30
de,de,81
Tanit,Tanit,20
;,;,p
mais,mais,82
Salammbô,Salammbô,20
souffrant,souffrant,30
toujours,toujours,60
",",",",p
ses,son,73
angoisses,angoisse,22
s',se,51
approfondirent,approfondir,19
/.,/.,P
personne,personne,52
à,à,81
Carthage,Carthage,20
n',ne,60
était,être,18
savant,savant,30
comme,comme,83
lui,lui,51
/.,/.,P
dans,dans,81
sa,son,73
jeunesse,jeunesse,22
",",",",p
il,il,51
avait,avoir,18
étudié,étudier,12
au,à,81
au,le,71
collège,collège,21
des,de,81
des,le,71
Mogbeds,Mogbed,20
",",",",p
à,à,81
Borsippa,Borsippa,20
",",",",p
près,près,81
de,de,81
Babylone,Babylone,20
;,;,p
puis,puis,60
visité,visité,31
Samothrace,Samothrace,20
",",",",p
Pessinunte,Pessinunte,20
",",",",p
Ephèse,Ephèse,20
",",",",p
la,le,71
Thessalie,Thessalie,20
",",",",p
la,le,71
Judée,Judée,20
",",",",p
les,le,71
temples,temple,21
des,de,81
des,le,71
Nabathéens,Nabathéen,20
",",",",p
qui,qui,52
sont,être,17
perdus,perdre,12
dans,dans,81
les,le,71
sables,sable,21
;,;,p
et,et,82
",",",",p
des,de,81
des,le,71
cataractes,cataracte,22
jusqu',jusque,81
à,à,81
la,le,71
mer,mer,22
",",",",p
parcouru,parcouru,31
à,à,81
pied,pied,21
les,le,71
bords,bord,21
du,de,81
du,le,71
Nil,Nil,20
/.,/.,P
la,le,71
face,face,22
couverte,couvert,31
d',de,81
un,un,71
voile,voile,21
",",",",p
et,et,82
en,en,81
secouant,secouer,13
des,de,81
des,le,71
flambeaux,flambeau,21
",",",",p
il,il,51
avait,avoir,18
jeté,jeter,12
un,un,71
coq,coq,21
noir,noir,30
sur,sur,81
un,un,71
feu,feu,21
de,de,81
sandaraque,sandaraque,22
",",",",p
devant,devant,81
le,le,71
poitrail,poitrail,21
du,de,81
du,le,71
Sphinx,Sphinx,20
",",",",p
le,le,71
père,père,21
de,de,81
la,le,71
terreur,terreur,22
/.,/.,P
il,il,51
était,être,18
descendu,descendre,12
dans,dans,81
les,le,71
cavernes,caverne,22
de,de,81
Proserpine,Proserpine,20
;,;,p
il,il,51
avait,avoir,18
vu,voir,12
tourner,tourner,14
les,le,71
cinq,cinq,72
cents,cent,72
colonnes,colonne,22
du,de,81
du,le,71
labyrinthe,labyrinthe,21
de,de,81
Lemnos,Lemnos,20
et,et,82
resplendir,resplendir,14
le,le,71
candélabre,candélabre,21
de,de,81
Tarente,Tarente,20
",",",",p
portant,porter,13
sur,sur,81
sa,son,73
tige,tige,22
autant,autant,60
de,de,81
lampadaires,lampadaire,21
qu',que,83
il,il,51
y,y,52
a,avoir,17
de,de,81
jours,jour,21
dans,dans,81
l',le,71
année,année,22
;,;,p
la,le,71
nuit,nuit,22
",",",",p
parfois,parfois,60
",",",",p
il,il,51
recevait,recevoir,18
des,de,81
des,le,71
Grecs,Grec,20
pour,pour,81
les,le,52
interroger,interroger,14
/.,/.,P
la,le,71
constitution,constitution,22
du,de,81
du,le,71
monde,monde,21
ne,ne,60
l',le,52
inquiétait,inquiéter,18
pas,pas,60
moins,moins,60
que,que,83
la,le,71
nature,nature,22
des,de,81
des,le,71
dieux,dieu,21
;,;,p
avec,avec,81
les,le,71
armilles,armille,21
placés,placé,31
dans,dans,81
le,le,71
portique,portique,21
d',de,81
Alexandrie,Alexandrie,20
",",",",p
il,il,51
avait,avoir,18
observé,observer,12
les,le,71
équinoxes,équinoxe,22
",",",",p
et,et,82
accompagné,accompagner,12
jusqu',jusque,81
à,à,81
Cyrène,Cyrène,20
les,le,71
bématistes,bématiste,21
d',de,81
Evergète,Evergète,20
",",",",p
qui,qui,52
mesurent,mesurer,17
le,le,71
ciel,ciel,21
en,en,81
calculant,calculer,13
le,le,71
nombre,nombre,21
de,de,81
leurs,leur,73
pas,pas,21
;,;,p
-,-,p
si,si,60
bien,bien,60
que,que,83
maintenant,maintenant,60
grandissait,grandir,18
dans,dans,81
sa,son,73
pensée,pensée,22
une,un,71
religion,religion,22
particulière,particulier,30
",",",",p
sans,sans,81
formule,formule,22
distincte,distinct,30
",",",",p
et,et,82
",",",",p
à,à,81
cause,cause,22
de,de,81
cela,cela,52
même,même,30
",",",",p
toute,tout,60
pleine,plein,30
de,de,81
vertiges,vertige,21
et,et,82
d',de,81
ardeurs,ardeur,22
/.,/.,P
il,il,51
ne,ne,60
croyait,croire,18
plus,plus,60
la,le,71
terre,terre,22
faite,fait,31
comme,comme,83
une,un,71
pomme,pomme,22
de,de,81
pin,pin,21
;,;,p
il,il,51
la,le,52
croyait,croire,18
ronde,ronde,22
et,et,82
tombant,tomber,13
éternellement,éternellement,60
dans,dans,81
l',le,71
immensité,immensité,22
",",",",p
avec,avec,81
une,un,71
vitesse,vitesse,22
si,si,60
prodigieuse,prodigieux,30
qu',que,83
on,on,51
ne,ne,60
s',se,51
aperçoit,apercevoir,17
pas,pas,60
de,de,81
sa,son,73
chute,chute,22
/.,/.,P
de,de,81
la,le,71
position,position,22
du,de,81
du,le,71
soleil,soleil,21
au-dessus,au-dessus,60
de,de,81
la,le,71
lune,lune,22
",",",",p
il,il,51
concluait,conclure,18
à,à,81
la,le,71
prédominance,prédominance,22
de,de,81
Baal,Baal,20
",",",",p
dont,dont,52
l',le,71
astre,astre,21
lui-même,lui-même,51
n',ne,60
est,être,17
que,que,83
le,le,71
reflet,reflet,21
et,et,82
la,le,71
figure,figure,22
;,;,p
d',de,81
ailleurs,ailleurs,60
",",",",p
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
voyait,voir,18
des,de,81
des,le,71
choses,chose,22
terrestres,terrestre,30
le,le,52
forçait,forcer,18
à,à,81
reconnaître,reconnaître,14
pour,pour,81
suprême,suprême,30
le,le,71
principe,principe,21
mâle,mâle,30
exterminateur,exterminateur,30
/.,/.,P
puis,puis,60
",",",",p
il,il,51
accusait,accuser,18
secrètement,secrètement,60
la,le,71
Rabbet,Rabbet,20
de,de,81
l',le,71
infortune,infortune,22
de,de,81
sa,son,73
vie,vie,22
/.,/.,P
n',ne,60
était,être,18
ce,ce,52
pas,pas,60
pour,pour,81
elle,il,51
qu',que,83
autrefois,autrefois,60
",",",",p
le,le,71
grand,grand,30
pontife,pontife,21
",",",",p
s',se,51
avançant,avancer,13
dans,dans,81
le,le,71
tumulte,tumulte,21
des,de,81
des,le,71
cymbales,cymbale,22
",",",",p
lui,lui,51
avait,avoir,18
pris,prendre,12
sous,sous,81
une,un,71
patère,patère,22
d',de,81
eau,eau,22
bouillante,bouillant,30
sa,son,73
virilité,virilité,22
future,futur,30
/?,/?,P
et,et,82
il,il,51
suivait,suivre,18
d',de,81
un,un,71
oeil,oeil,21
mélancolique,mélancolique,30
des,de,81
des,le,71
hommes,homme,21
qui,qui,52
se,se,51
perdaient,perdre,18
avec,avec,81
les,le,71
prêtresses,prêtresse,22
au,à,81
au,le,71
fond,fond,21
des,de,81
des,le,71
térébinthes,térébinthe,21
/.,/.,P
ses,son,73
jours,jour,21
se,se,51
passaient,passer,18
à,à,81
inspecter,inspecter,14
les,le,71
encensoirs,encensoir,21
",",",",p
les,le,71
vases,vase,21
d',de,81
or,or,21
",",",",p
les,le,71
pinces,pince,22
",",",",p
les,le,71
râteaux,râteau,21
pour,pour,81
les,le,71
cendres,cendre,22
de,de,81
l',le,71
autel,autel,21
",",",",p
et,et,82
toutes,tout,75
les,le,71
robes,robe,22
des,de,81
des,le,71
statues,statue,22
",",",",p
jusqu',jusque,81
à,à,81
l',le,71
aiguille,aiguille,22
de,de,81
bronze,bronze,21
servant,servir,13
à,à,81
friser,friser,14
les,le,71
cheveux,cheveu,21
d',de,81
une,un,71
vieille,vieux,30
Tanit,Tanit,20
",",",",p
dans,dans,81
le,le,71
troisième,troisième,72
édicule,édicule,21
",",",",p
près,près,81
de,de,81
la,le,71
vigne,vigne,22
d',de,81
émeraude,émeraude,22
/.,/.,P
aux,à,81
aux,le,71
mêmes,même,75
heures,heure,22
",",",",p
il,il,51
soulevait,soulever,18
les,le,71
grandes,grand,30
tapisseries,tapisserie,22
des,de,81
des,le,71
mêmes,même,75
portes,porte,22
qui,qui,52
retombaient,retomber,18
;,;,p
il,il,51
restait,rester,18
les,le,71
bras,bras,21
ouverts,ouvert,31
dans,dans,81
la,le,71
même,même,75
attitude,attitude,22
",",",",p
;,;,p
il,il,51
priait,prier,18
prosterné,prosterné,31
sur,sur,81
les,le,71
mêmes,même,75
dalles,dalle,22
",",",",p
tandis qu',tandis que,83
autour,autour,60
de,de,81
lui,lui,51
un,un,71
peuple,peuple,21
de,de,81
prêtres,prêtre,21
circulait,circuler,18
pieds,pied,21
nus,nu,30
par,par,81
les,le,71
couloirs,couloir,21
pleins,plein,30
d',de,81
un,un,71
crépuscule,crépuscule,21
éternel,éternel,30
/.,/.,P
mais,mais,82
sur,sur,81
l',le,71
aridité,aridité,22
de,de,81
sa,son,73
vie,vie,22
",",",",p
Salammbô,Salammbô,20
faisait,faire,18
comme,comme,83
une,un,71
fleur,fleur,22
dans,dans,81
la,le,71
fente,fente,22
d',de,81
un,un,71
sépulcre,sépulcre,21
/.,/.,P
cependant,cependant,82
",",",",p
il,il,51
était,être,18
dur,dur,30
pour,pour,81
elle,il,51
",",",",p
et,et,82
ne,ne,60
lui,lui,51
épargnait,épargner,18
point,point,60
les,le,71
pénitences,pénitence,22
ni,ni,82
les,le,71
paroles,parole,22
amères,amer,30
/.,/.,P
sa,son,73
condition,condition,22
établissait,établir,18
entre,entre,81
eux,ils,51
comme,comme,83
l',le,71
égalité,égalité,22
d',de,81
un,un,71
sexe,sexe,21
commun,commun,30
",",",",p
et,et,82
il,il,51
en,en,52
voulait,vouloir,18
moins,moins,60
à,à,81
la,le,71
jeune,jeune,30
fille,fille,22
de,de,81
ne,ne,60
pouvoir,pouvoir,14
la,le,52
posséder,posséder,14
que,que,83
de,de,81
la,le,52
trouver,trouver,14
si,si,60
belle,beau,30
et,et,82
surtout,surtout,60
si,si,60
pure,pur,30
/.,/.,P
souvent,souvent,60
il,il,51
voyait,voir,18
bien,bien,60
qu',que,83
elle,il,51
se,se,51
fatiguait,fatiguer,18
à,à,81
suivre,suivre,14
sa,son,73
pensée,pensée,22
/.,/.,P
alors,alors,60
il,il,51
s',se,51
en,en,52
retournait,retourner,18
plus,plus,60
triste,triste,30
;,;,p
il,il,51
se,se,51
sentait,sentir,18
plus,plus,60
abandonné,abandonné,31
",",",",p
plus,plus,60
seul,seul,30
",",",",p
plus,plus,60
vide,vide,30
/.,/.,P
des,de,81
des,le,71
mots,mot,21
étranges,étrange,30
quelquefois,quelquefois,60
lui,lui,51
échappaient,échapper,18
",",",",p
et,et,82
qui,qui,52
passaient,passer,18
devant,devant,81
Salammbô,Salammbô,20
comme,comme,83
de,de,81
larges,large,30
éclairs,éclair,21
illuminant,illuminer,13
des,de,81
des,le,71
abîmes,abîme,21
/.,/.,P
c',ce,52
était,être,18
la,le,71
nuit,nuit,22
",",",",p
sur,sur,81
la,le,71
terrasse,terrasse,22
",",",",p
quand,quand,83
",",",",p
seuls,seul,30
tous,tout,75
les,le,71
deux,deux,72
",",",",p
ils,ils,51
regardaient,regarder,18
les,le,71
étoiles,étoile,22
",",",",p
et,et,82
que,que,83
Carthage,Carthage,20
s',se,51
étalait,étaler,18
en,en,81
bas,bas,21
",",",",p
sous,sous,81
leurs,leur,73
pieds,pied,21
",",",",p
avec,avec,81
le,le,71
golfe,golfe,21
et,et,82
la,le,71
pleine,plein,30
mer,mer,22
vaguement,vaguement,60
perdus,perdu,31
dans,dans,81
la,le,71
couleur,couleur,22
des,de,81
des,le,71
ténèbres,ténèbre,22
/.,/.,P
il,il,51
lui,lui,51
exposait,exposer,18
la,le,71
théorie,théorie,22
des,de,81
des,le,71
âmes,âme,22
qui,qui,52
descendent,descendre,17
sur,sur,81
la,le,71
terre,terre,22
",",",",p
en,en,81
suivant,suivre,13
la,le,71
même,même,75
route,route,22
que,que,83
le,le,71
soleil,soleil,21
par,par,81
les,le,71
signes,signe,21
du,de,81
du,le,71
zodiaque,zodiaque,21
/.,/.,P
de,de,81
son,son,73
bras,bras,21
étendu,étendu,31
",",",",p
il,il,51
montrait,montrer,18
dans,dans,81
le,le,71
Bélier,Bélier,20
la,le,71
porte,porte,22
de,de,81
la,le,71
génération,génération,22
humaine,humain,30
",",",",p
dans,dans,81
le,le,71
Capricorne,Capricorne,20
",",",",p
celle,celui,52
du,de,81
du,le,71
retour,retour,21
vers,vers,81
les,le,71
dieux,dieu,21
;,;,p
et,et,82
Salammbô,Salammbô,20
s',se,51
efforçait,efforcer,18
de,de,81
les,le,52
apercevoir,apercevoir,14
",",",",p
car,car,82
elle,il,51
prenait,prendre,18
ces,ce,74
conceptions,conception,22
pour,pour,81
des,de,81
des,le,71
réalités,réalité,22
;,;,p
elle,il,51
acceptait,accepter,18
comme,comme,83
vrais,vrai,30
en,en,81
eux-mêmes,eux-mêmes,51
de,de,81
purs,pur,30
symboles,symbole,21
et,et,82
jusqu',jusque,81
à,à,81
des,de,81
des,le,71
manières,manière,22
de,de,81
langage,langage,21
",",",",p
distinction,distinction,22
qui,qui,52
n',ne,60
était,être,18
pas,pas,60
",",",",p
non,non,60
plus,plus,60
",",",",p
toujours,toujours,60
bien,bien,60
nette,net,30
pour,pour,81
le,le,71
prêtre,prêtre,21
/.,/.,P
-,-,p
“,“,p
les,le,71
âmes,âme,22
des,de,81
des,le,71
morts,mort,21
“,“,p
",",",",p
disait,dire,18
il,il,51
",",",",p
“,“,p
se,se,51
résolvent,résoudre,17
dans,dans,81
la,le,71
lune,lune,22
comme,comme,83
les,le,71
cadavres,cadavre,21
dans,dans,81
la,le,71
terre,terre,22
/.,/.,P
leurs,leur,73
larmes,larme,22
composent,composer,17
son,son,73
humidité,humidité,22
;,;,p
c',ce,52
est,être,17
un,un,71
séjour,séjour,21
obscur,obscur,30
plein,plein,30
de,de,81
fange,fange,22
",",",",p
de,de,81
débris,débris,21
et,et,82
de,de,81
tempêtes,tempête,22
/.,/.,P
“,“,p
elle,il,51
demanda,demander,19
ce,ce,52
qu',que,52
elle,il,51
y,y,52
deviendrait,devenir,16
/.,/.,P
d'abord,d'abord,60
",",",",p
tu,tu,51
languiras,languir,15
",",",",p
légère,léger,30
comme,comme,83
une,un,71
vapeur,vapeur,22
qui,qui,52
se,se,51
balance,balancer,17
sur,sur,81
les,le,71
flots,flot,21
;,;,p
et,et,82
",",",",p
après,après,81
des,de,81
des,le,71
épreuves,épreuve,22
et,et,82
des,de,81
des,le,71
angoisses,angoisse,22
plus,plus,60
longues,long,30
",",",",p
tu,tu,51
t',tu,51
en,en,52
iras,aller,15
dans,dans,81
le,le,71
foyer,foyer,21
du,de,81
du,le,71
soleil,soleil,21
",",",",p
à,à,81
la,le,71
source,source,22
même,même,30
de,de,81
l',le,71
intelligence,intelligence,22
/!,/!,P
cependant,cependant,82
il,il,51
ne,ne,60
parlait,parler,18
pas,pas,60
de,de,81
la,le,71
Rabbet,Rabbet,20
/.,/.,P
Salammbô,Salammbô,20
s',se,51
imaginait,imaginer,18
que,que,83
c',ce,52
était,être,18
par,par,81
pudeur,pudeur,22
pour,pour,81
sa,son,73
déesse,déesse,22
vaincue,vaincu,31
",",",",p
et,et,82
",",",",p
l',le,52
appelant,appeler,13
d',de,81
un,un,71
nom,nom,21
commun,commun,30
qui,qui,52
désignait,désigner,18
la,le,71
lune,lune,22
",",",",p
elle,il,51
se,se,51
répandait,répandre,18
en,en,81
bénédictions,bénédiction,22
sur,sur,81
l',le,71
astre,astre,21
fertile,fertile,30
et,et,82
doux,doux,30
/.,/.,P
à,à,81
la,le,71
fin,fin,22
",",",",p
il,il,51
s',se,51
écria,écrier,19
:,:,p
-,-,p
“,“,p
non,non,60
!,!,p
non,non,60
!,!,p
elle,il,51
tire,tirer,17
de,de,81
l',le,71
autre,autre,52
toute,tout,75
sa,son,73
fécondité,fécondité,22
/!,/!,P
ne,ne,60
la,le,52
vois,voir,17
tu,tu,51
pas,pas,60
vagabondant,vagabonder,13
autour,autour,60
de,de,81
lui,lui,51
comme,comme,83
une,un,71
femme,femme,22
amoureuse,amoureux,30
qui,qui,52
court,courir,17
après,après,81
un,un,71
homme,homme,21
dans,dans,81
un,un,71
champ,champ,21
/?,/?,P
et,et,82
sans,sans,81
cesse,cesse,22
",",",",p
il,il,51
exaltait,exalter,18
la,le,71
vertu,vertu,22
de,de,81
la,le,71
lumière,lumière,22
/.,/.,P
loin,loin,60
d',de,81
abattre,abattre,14
ses,son,73
désirs,désir,21
mystiques,mystique,30
",",",",p
au,à,81
au,le,71
contraire,contraire,21
il,il,51
les,le,52
sollicitait,solliciter,18
",",",",p
et,et,82
même,même,60
il,il,51
semblait,sembler,18
prendre,prendre,14
de,de,81
la,le,71
joie,joie,22
à,à,81
la,le,52
désoler,désoler,14
par,par,81
les,le,71
révélations,révélation,22
d',de,81
une,un,71
doctrine,doctrine,22
impitoyable,impitoyable,30
/.,/.,P
Salammbô,Salammbô,20
",",",",p
malgré,malgré,81
les,le,71
douleurs,douleur,22
de,de,81
son,son,73
amour,amour,21
",",",",p
se,se,51
jetait,jeter,18
dessus,dessus,60
avec,avec,81
emportement,emportement,21
/.,/.,P
mais,mais,82
plus,plus,60
Schahabarim,Schahabarim,20
se,se,51
sentait,sentir,18
douter,douter,14
de,de,81
Tanit,Tanit,20
",",",",p
plus,plus,60
il,il,51
voulait,vouloir,18
y,y,52
croire,croire,14
/.,/.,P
au,à,81
au,le,71
fond,fond,21
de,de,81
son,son,73
âme,âme,22
un,un,71
remords,remords,21
l',le,52
arrêtait,arrêter,18
/.,/.,P
il,il,51
lui,lui,51
aurait,avoir,16
fallu,falloir,12
quelque,quelque,75
preuve,preuve,22
",",",",p
une,un,71
manifestation,manifestation,22
des,de,81
des,le,71
dieux,dieu,21
",",",",p
et,et,82
",",",",p
dans,dans,81
l',le,71
espoir,espoir,21
de,de,81
l',le,52
obtenir,obtenir,14
",",",",p
le,le,71
prêtre,prêtre,21
imagina,imaginer,19
une,un,71
entreprise,entreprise,22
qui,qui,52
pouvait,pouvoir,18
à,à,81
la,le,71
fois,fois,22
sauver,sauver,14
sa,son,73
patrie,patrie,22
et,et,82
sa,son,73
croyance,croyance,22
/.,/.,P
dès,dès,81
lors,lors,60
il,il,51
se,se,51
mit,mettre,19
",",",",p
devant,devant,81
Salammbô,Salammbô,20
",",",",p
à,à,81
déplorer,déplorer,14
le,le,71
sacrilège,sacrilège,21
et,et,82
les,le,71
malheurs,malheur,21
qui,qui,52
en,en,52
résultaient,résulter,18
jusque,jusque,81
dans,dans,81
les,le,71
régions,région,22
du,de,81
du,le,71
ciel,ciel,21
/.,/.,P
puis,puis,60
",",",",p
tout,tout,60
à,à,81
coup,coup,21
",",",",p
il,il,51
lui,lui,51
annonça,annoncer,19
le,le,71
péril,péril,21
du,de,81
du,le,71
Suffète,Suffète,20
",",",",p
assailli,assailli,31
par,par,81
trois,trois,72
armées,armée,22
que,que,52
commandait,commander,18
Mâtho,Mâtho,20
;,;,p
car,car,82
Mâtho,Mâtho,20
",",",",p
pour,pour,81
les,le,71
Carthaginois,Carthaginois,20
",",",",p
était,être,18
",",",",p
à,à,81
cause,cause,22
du,de,81
du,le,71
voile,voile,21
",",",",p
comme,comme,83
le,le,71
roi,roi,21
des,de,81
des,le,71
barbares,barbare,21
;,;,p
et,et,82
il,il,51
ajouta,ajouter,19
que,que,83
le,le,71
salut,salut,21
de,de,81
la,le,71
république,république,22
et,et,82
de,de,81
son,son,73
père,père,21
dépendait,dépendre,18
d',de,81
elle,il,51
seule,seul,30
/.,/.,P
-,-,p
“,“,p
de,de,81
moi,moi,51
!,!,p
s',se,51
écria,écrier,19
t,t,94
elle,il,51
",",",",p
“,“,p
comment,comment,60
puis,pouvoir,17
je,je,51
/…,/…,P
mais,mais,82
le,le,71
prêtre,prêtre,21
",",",",p
avec,avec,81
un,un,71
sourire,sourire,21
de,de,81
dédain,dédain,21
:,:,p
-,-,p
“,“,p
jamais,jamais,60
tu,tu,51
ne,ne,60
consentiras,consentir,15
/!,/!,P
elle,il,51
le,le,52
suppliait,supplier,18
/.,/.,P
enfin,enfin,60
Schahabarim,Schahabarim,20
lui,lui,51
dit,dire,19
:,:,p
-,-,p
“,“,p
il,il,51
faut,falloir,17
que,que,83
tu,tu,51
ailles,aller,17
chez,chez,81
les,le,71
barbares,barbare,21
reprendre,reprendre,14
le,le,71
zaïmph,zaïmph,21
/!,/!,P
elle,il,51
s',se,51
affaissa,affaisser,19
sur,sur,81
l',le,71
escabeau,escabeau,21
d',de,81
ébène,ébène,21
;,;,p
et,et,82
elle,il,51
restait,rester,18
les,le,71
bras,bras,21
allongés,allongé,31
entre,entre,81
ses,son,73
genoux,genou,21
",",",",p
avec,avec,81
un,un,71
frisson,frisson,21
de,de,81
tous,tout,75
ses,son,73
membres,membre,21
",",",",p
comme,comme,83
une,un,71
victime,victime,22
au,à,81
au,le,71
pied,pied,21
de,de,81
l',le,71
autel,autel,21
quand,quand,83
elle,il,51
attend,attendre,17
le,le,71
coup,coup,21
de,de,81
massue,massue,22
/.,/.,P
ses,son,73
tempes,tempe,22
bourdonnaient,bourdonner,18
",",",",p
elle,il,51
voyait,voir,18
tourner,tourner,14
des,de,81
des,le,71
cercles,cercle,21
de,de,81
feu,feu,21
",",",",p
et,et,82
",",",",p
dans,dans,81
sa,son,73
stupeur,stupeur,22
",",",",p
ne,ne,60
comprenait,comprendre,18
plus,plus,60
qu',que,83
une,un,71
chose,chose,22
",",",",p
c',ce,52
est,être,17
que,que,83
certainement,certainement,60
elle,il,51
allait,aller,18
bientôt,bientôt,60
mourir,mourir,14
/.,/.,P
mais,mais,82
si,si,83
Rabbetna,Rabbetna,20
triomphait,triompher,18
",",",",p
si,si,83
le,le,71
zaïmph,zaïmph,21
était,être,18
rendu,rendre,12
et,et,82
Carthage,Carthage,20
délivrée,délivré,31
",",",",p
qu',que,52
importe,importer,17
la,le,71
vie,vie,22
d',de,81
une,un,71
femme,femme,22
!,!,p
pensait,penser,18
Schahabarim,Schahabarim,20
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
elle,il,51
obtiendrait,obtenir,16
peut-être,peut-être,60
le,le,71
voile,voile,21
et,et,82
ne,ne,60
périrait,périr,16
pas,pas,60
/.,/.,P
il,il,51
fut,être,19
trois,trois,72
jours,jour,21
sans,sans,81
revenir,revenir,14
",",",",p
;,;,p
le,le,71
soir,soir,21
du,de,81
du,le,71
quatrième,quatrième,72
",",",",p
elle,il,51
l',le,52
envoya,envoyer,19
chercher,chercher,14
/.,/.,P
pour,pour,81
mieux,mieux,60
enflammer,enflammer,14
son,son,73
coeur,coeur,21
",",",",p
il,il,51
lui,lui,51
apportait,apporter,18
toutes,tout,75
les,le,71
invectives,invective,22
que,que,83
l',l',94
on,on,51
hurlait,hurler,18
contre,contre,81
Hamilcar,Hamilcar,20
en,en,81
plein,plein,30
Conseil,conseil,21
;,;,p
il,il,51
lui,lui,51
disait,dire,18
qu',que,83
elle,il,51
avait,avoir,18
failli,faillir,12
",",",",p
qu',que,52
elle,il,51
devait,devoir,18
réparer,réparer,14
son,son,73
crime,crime,21
",",",",p
et,et,82
que,que,52
la,le,71
Rabbetna,Rabbetna,20
ordonnait,ordonner,18
ce,ce,74
sacrifice,sacrifice,21
/.,/.,P
souvent,souvent,60
une,un,71
large,large,30
clameur,clameur,22
traversant,traverser,13
les,le,71
Mappales,Mappales,20
arrivait,arriver,18
dans,dans,81
Mégara,Mégara,20
/.,/.,P
Schahabarim,Schahabarim,20
et,et,82
Salammbô,Salammbô,20
sortaient,sortir,18
vivement,vivement,60
;,;,p
et,et,82
",",",",p
du,de,81
du,le,71
haut,haut,21
de,de,81
l',le,71
escalier,escalier,21
des,de,81
des,le,71
galères,galère,22
",",",",p
ils,ils,51
regardaient,regarder,18
/.,/.,P
c',ce,52
étaient,être,18
des,de,81
des,le,71
gens,gens,21
sur,sur,81
la,le,71
place,place,22
de,de,81
Khamon,Khamon,20
qui,qui,52
criaient,crier,18
pour,pour,81
avoir,avoir,14
des,de,81
des,le,71
armes,arme,22
/.,/.,P
les,le,71
anciens,ancien,21
ne,ne,60
voulaient,vouloir,18
pas,pas,60
leur,leur,52
en,en,52
fournir,fournir,14
",",",",p
estimant,estimer,13
cet,ce,74
effort,effort,21
inutile,inutile,30
;,;,p
d',de,81
autres,autre,75
partis,parti,21
",",",",p
sans,sans,81
général,général,21
",",",",p
avaient,avoir,18
été,être,12
massacrés,massacrer,12
/.,/.,P
enfin,enfin,60
on,on,51
leur,leur,52
permit,permettre,19
de,de,81
s',se,51
en,en,52
aller,aller,14
",",",",p
