11375
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dixième extrait>,<>,<>
devient,devenir,17
une,un,71
passion,passion,22
",",",",p
un,un,71
fanatisme,fanatisme,21
",",",",p
une,un,71
frénésie,frénésie,22
",",",",p
qui,qui,52
font,faire,17
de,de,81
nous,nous,51
des,de,81
des,le,71
esclaves,esclave,21
",",",",p
des,de,81
des,le,71
furieux,furieux,30
",",",",p
des,de,81
des,le,71
aveugles,aveugle,21
/.,/.,P
-,-,p
cette,ce,74
pauvre,pauvre,30
lettre,lettre,22
que,que,52
je,je,51
viens,venir,17
de,de,81
vous,vous,51
donner,donner,14
à,à,81
lire,lire,14
ne,ne,60
tint,tenir,19
dans,dans,81
mon,mon,73
esprit,esprit,21
que,que,83
la,le,71
place,place,22
de,de,81
ce,ce,52
que,que,52
les,le,71
écoliers,écolier,21
nomment,nommer,17
un,un,71
sermon,sermon,21
",",",",p
et,et,82
je,je,51
ne,ne,60
sentis,sentir,19
que,que,83
le,le,71
soulagement,soulagement,21
impie,impie,30
des,de,81
des,le,71
enfants,enfant,21
qui,qui,52
se,se,51
trouvent,trouver,17
délivrés,délivré,31
de,de,81
l',le,71
autorité,autorité,22
naturelle,naturel,30
et,et,82
se,se,51
croient,croire,17
libres,libre,30
parce qu',parce que,83
ils,ils,51
ont,avoir,17
choisi,choisir,12
la,le,71
chaîne,chaîne,22
que,que,52
l',le,71
entraînement,entraînement,21
général,général,30
leur,leur,52
a,avoir,17
fait,faire,12
river,river,14
à,à,81
leur,leur,73
cou,cou,21
/.,/.,P
mais,mais,82
un,un,71
reste,reste,21
de,de,81
bons,bon,30
sentiments,sentiment,21
natifs,natif,30
me,je,51
fit,faire,19
conserver,conserver,14
cette,ce,74
écriture,écriture,22
sacrée,sacré,31
",",",",p
et,et,82
son,son,73
autorité,autorité,22
sur,sur,81
moi,moi,51
a,avoir,17
grandi,grandir,12
à,à,81
mesure,mesure,22
que,que,83
diminuaient,diminuer,18
mes,mon,73
rêves,rêve,21
d',de,81
héroïque,héroïque,30
sujétion,sujétion,22
/.,/.,P
elle,il,51
est,être,17
restée,rester,12
toujours,toujours,60
sur,sur,81
mon,mon,73
coeur,coeur,21
",",",",p
et,et,82
elle,il,51
a,avoir,17
fini,finir,12
par,par,81
y,y,52
jeter,jeter,14
des,de,81
des,le,71
racines,racine,22
invisibles,invisible,30
",",",",p
aussitôt,aussitôt,60
que,que,83
le,le,71
bon,bon,30
sens,sens,21
a,avoir,17
dégagé,dégager,12
ma,mon,73
vue,vue,22
des,de,81
des,le,71
nuages,nuage,21
qui,qui,52
la,le,52
couvraient,couvrir,18
alors,alors,60
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
pu,pouvoir,12
m',je,51
empêcher,empêcher,14
",",",",p
cette,ce,74
nuit,nuit,22
",",",",p
de,de,81
la,le,52
relire,relire,14
avec,avec,81
vous,vous,51
",",",",p
et,et,82
je,je,51
me,je,51
prends,prendre,17
en,en,81
pitié,pitié,22
en,en,81
considérant,considérer,13
combien,combien,60
a,avoir,17
été,être,12
lente,lent,30
la,le,71
courbe,courbe,22
que,que,52
mes,mon,73
idées,idée,22
ont,avoir,17
suivie,suivre,12
pour,pour,81
revenir,revenir,14
à,à,81
la,le,71
base,base,22
la,le,71
plus,plus,60
solide,solide,30
et,et,82
la,le,71
plus,plus,60
simple,simple,30
de,de,81
la,le,71
conduite,conduite,22
d',de,81
un,un,71
homme,homme,21
/.,/.,P
vous,vous,51
verrez,voir,15
à,à,81
combien,combien,60
peu,peu,60
elle,il,51
se,se,51
réduit,réduire,17
;,;,p
mais,mais,82
",",",",p
en,en,81
vérité,vérité,22
",",",",p
monsieur,monsieur,21
",",",",p
je,je,51
pense,penser,17
que,que,83
cela,cela,52
suffit,suffire,17
à,à,81
la,le,71
vie,vie,22
d',de,81
un,un,71
honnête,honnête,30
homme,homme,21
",",",",p
et,et,82
il,il,51
m',je,51
a,avoir,17
fallu,falloir,12
bien,bien,60
du,de,81
du,le,71
temps,temps,21
pour,pour,81
arriver,arriver,14
à,à,81
trouver,trouver,14
la,le,71
source,source,22
de,de,81
la,le,71
véritable,véritable,30
grandeur,grandeur,22
qu',que,52
il,il,51
peut,pouvoir,17
y,y,52
avoir,avoir,14
dans,dans,81
la,le,71
profession,profession,22
presque,presque,60
barbare,barbare,30
des,de,81
des,le,71
armes,arme,22
/.,/.,P
<* * * * *>,<>,<>
ici,ici,60
le,le,71
capitaine,capitaine,21
Renaud,Renaud,20
fut,être,19
interrompu,interrompre,12
par,par,81
un,un,71
vieux,vieux,30
sergent,sergent,21
de,de,81
grenadiers,grenadier,21
qui,qui,52
vint,venir,19
se,se,51
placer,placer,14
à,à,81
la,le,71
porte,porte,22
du,de,81
du,le,71
café,café,21
",",",",p
portant,porter,13
son,son,73
arme,arme,22
en,en,81
sous-officier,sous-officier,21
et,et,82
tirant,tirer,13
une,un,71
lettre,lettre,22
écrite,écrit,31
sur,sur,81
papier,papier,21
gris,gris,30
placée,placé,31
dans,dans,81
la,le,71
bretelle,bretelle,22
de,de,81
son,son,73
fusil,fusil,21
/.,/.,P
le,le,71
capitaine,capitaine,21
se,se,51
leva,lever,19
paisiblement,paisiblement,60
et,et,82
ouvrit,ouvrir,19
l',le,71
ordre,ordre,21
qu',que,52
il,il,51
recevait,recevoir,18
/.,/.,P
-,-,p
“,“,p
dites,dire,17
à,à,81
Béjaud,Béjaud,20
de,de,81
copier,copier,14
cela,cela,52
sur,sur,81
le,le,71
livre,livre,21
d',de,81
ordres,ordre,21
",",",",p
dit,dire,19
il,il,51
au,à,81
au,le,71
sergent,sergent,21
/.,/.,P
-,-,p
le,le,71
sergent-major,sergent-major,21
n',ne,60
est,être,17
pas,pas,60
revenu,revenir,12
de,de,81
l',le,71
arsenal,arsenal,21
",",",",p
“,“,p
dit,dire,19
le,le,71
sous-officier,sous-officier,21
",",",",p
d',de,81
une,un,71
voix,voix,22
douce,doux,30
comme,comme,83
celle,celui,52
d',de,81
une,un,71
fille,fille,22
",",",",p
et,et,82
baissant,baisser,13
les,le,71
yeux,oeil,21
sans,sans,81
même,même,60
daigner,daigner,14
dire,dire,14
comment,comment,60
son,son,73
camarade,camarade,21
avait,avoir,18
été,être,12
tué,tuer,12
/.,/.,P
-,-,p
“,“,p
le,le,71
fourrier,fourrier,21
le,le,52
remplacera,remplacer,15
",",",",p
“,“,p
dit,dire,19
le,le,71
capitaine,capitaine,21
sans,sans,81
rien,rien,52
demander,demander,14
;,;,p
et,et,82
il,il,51
signa,signer,19
son,son,73
ordre,ordre,21
sur,sur,81
le,le,71
livre,livre,21
du,de,81
du,le,71
sergent,sergent,21
qui,qui,52
lui,lui,51
servit,servir,19
de,de,81
pupitre,pupitre,21
/.,/.,P
il,il,51
toussa,tousser,19
un,un,71
peu,peu,60
et,et,82
reprit,reprendre,19
avec,avec,81
tranquillité,tranquillité,22
:,:,p
<Chapitre V>,<>,<>
le,le,71
dialogue,dialogue,21
inconnu,inconnu,30
/.,/.,P
la,le,71
lettre,lettre,22
de,de,81
mon,mon,73
pauvre,pauvre,30
père,père,21
",",",",p
et,et,82
sa,son,73
mort,mort,22
",",",",p
que,que,52
j',je,51
appris,apprendre,19
peu,peu,60
de,de,81
temps,temps,21
après,après,81
",",",",p
produisirent,produire,19
en,en,81
moi,moi,51
",",",",p
tout,tout,60
enivré,enivré,31
que,que,83
j',je,51
étais,être,18
et,et,82
tout,tout,60
étourdi,étourdi,31
du,de,81
du,le,71
bruit,bruit,21
de,de,81
mes,mon,73
éperons,éperon,21
",",",",p
une,un,71
impression,impression,22
assez,assez,60
forte,fort,30
pour,pour,81
donner,donner,14
un,un,71
grand,grand,30
ébranlement,ébranlement,21
à,à,81
mon,mon,73
ardeur,ardeur,22
aveugle,aveugle,30
",",",",p
et,et,82
je,je,51
commençai,commencer,19
à,à,81
examiner,examiner,14
de,de,81
plus,plus,60
près,près,81
et,et,82
avec,avec,81
plus,plus,60
de,de,81
calme,calme,21
ce,ce,52
qu',que,52
il,il,51
y,y,52
avait,avoir,18
de,de,81
surnaturel,surnaturel,30
dans,dans,81
l',le,71
éclat,éclat,21
qui,qui,52
m',je,51
enivrait,enivrer,18
/.,/.,P
je,je,51
me,je,51
demandai,demander,19
",",",",p
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
",",",",p
en,en,81
quoi,quoi,52
consistait,consister,18
l',le,71
ascendant,ascendant,21
que,que,52
nous,nous,51
laissions,laisser,18
prendre,prendre,14
sur,sur,81
nous,nous,51
aux,à,81
aux,le,71
hommes,homme,21
d',de,81
action,action,22
revêtus,revêtu,31
d',de,81
un,un,71
pouvoir,pouvoir,21
absolu,absolu,30
",",",",p
et,et,82
j',je,51
osai,oser,19
tenter,tenter,14
quelques,quelque,75
efforts,effort,21
intérieurs,intérieur,30
pour,pour,81
tracer,tracer,14
des,de,81
des,le,71
bornes,borne,22
",",",",p
dans,dans,81
ma,mon,73
pensée,pensée,22
",",",",p
à,à,81
cette,ce,74
donation,donation,22
volontaire,volontaire,30
de,de,81
tant,tant,60
d',de,81
hommes,homme,21
à,à,81
un,un,71
homme,homme,21
/.,/.,P
cette,ce,74
première,premier,72
secousse,secousse,22
me,je,51
fit,faire,19
entr'ouvrir,entr'ouvrir,14
la,le,71
paupière,paupière,22
",",",",p
et,et,82
j',je,51
eus,avoir,19
l',le,71
audace,audace,22
de,de,81
regarder,regarder,14
en,en,81
face,face,22
l',le,71
aigle,aigle,21
éblouissant,éblouissant,30
qui,qui,52
m',je,51
avait,avoir,18
enlevé,enlever,12
tout,tout,75
enfant,enfant,21
",",",",p
et,et,82
dont,dont,52
les,le,71
ongles,ongle,21
me,je,51
pressaient,presser,18
les,le,71
reins,rein,21
/.,/.,P
je,je,51
ne,ne,60
tardai,tarder,19
pas,pas,60
à,à,81
trouver,trouver,14
des,de,81
des,le,71
occasions,occasion,22
de,de,81
l',le,52
examiner,examiner,14
de,de,81
plus,plus,60
près,près,81
",",",",p
et,et,82
d',de,81
épier,épier,14
l',le,71
esprit,esprit,21
du,de,81
du,le,71
grand,grand,30
homme,homme,21
dans,dans,81
les,le,71
actes,acte,21
obscurs,obscur,30
de,de,81
sa,son,73
vie,vie,22
privée,privé,31
/.,/.,P
on,on,51
avait,avoir,18
osé,oser,12
créer,créer,14
des,de,81
des,le,71
pages,page,21
",",",",p
comme,comme,83
je,je,51
vous,vous,51
l',le,52
ai,avoir,17
dit,dire,12
;,;,p
mais,mais,82
nous,nous,51
portions,porter,17
l',le,71
uniforme,uniforme,21
d',de,81
officiers,officier,21
en,en,81
attendant,attendre,13
la,le,71
livrée,livrée,22
verte,vert,30
à,à,81
culottes,culotte,22
rouges,rouge,30
que,que,52
nous,nous,51
devions,devoir,18
prendre,prendre,14
au,à,81
au,le,71
sacre,sacre,21
/.,/.,P
nous,nous,51
servions,servir,18
d',de,81
écuyers,écuyer,21
",",",",p
de,de,81
secrétaires,secrétaire,21
et,et,82
d',de,81
aides,aide,21
de,de,81
camp,camp,21
jusque-là,jusque-là,81
",",",",p
selon,selon,81
la,le,71
volonté,volonté,22
du,de,81
du,le,71
maître,maître,21
",",",",p
qui,qui,52
prenait,prendre,18
ce,ce,52
qu',que,52
il,il,51
trouvait,trouver,18
sous,sous,81
sa,son,73
main,main,22
/.,/.,P
déjà,déjà,60
il,il,51
se,se,51
plaisait,plaire,18
à,à,81
peupler,peupler,14
ses,son,73
antichambres,antichambre,22
;,;,p
et,et,82
comme,comme,83
le,le,71
besoin,besoin,21
de,de,81
dominer,dominer,14
le,le,52
suivait,suivre,18
partout,partout,60
",",",",p
il,il,51
ne,ne,60
pouvait,pouvoir,18
s',se,51
empêcher,empêcher,14
de,de,81
l',le,52
exercer,exercer,14
dans,dans,81
les,le,71
plus,plus,60
petites,petit,30
choses,chose,22
et,et,82
tourmentait,tourmenter,18
autour,autour,60
de,de,81
lui,lui,51
ceux,celui,52
qui,qui,52
l',le,52
entouraient,entourer,18
",",",",p
par,par,81
l',le,71
infatigable,infatigable,30
maniement,maniement,21
d',de,81
une,un,71
volonté,volonté,22
toujours,toujours,60
présente,présent,30
/.,/.,P
il,il,51
s',se,51
amusait,amuser,18
de,de,81
ma,mon,73
timidité,timidité,22
;,;,p
il,il,51
jouait,jouer,18
avec,avec,81
mes,mon,73
terreurs,terreur,22
et,et,82
mon,mon,73
respect,respect,21
/.,/.,P
-,-,p
quelquefois,quelquefois,60
il,il,51
m',je,51
appelait,appeler,18
brusquement,brusquement,60
;,;,p
et,et,82
",",",",p
me,je,51
voyant,voir,13
entrer,entrer,14
pâle,pâle,30
et,et,82
balbutiant,balbutiant,30
",",",",p
il,il,51
s',se,51
amusait,amuser,18
à,à,81
me,je,51
faire,faire,14
parler,parler,14
longtemps,longtemps,60
pour,pour,81
voir,voir,14
mes,mon,73
étonnements,étonnement,21
et,et,82
troubler,troubler,14
mes,mon,73
idées,idée,22
/.,/.,P
quelquefois,quelquefois,60
",",",",p
tandis que,tandis que,83
j',je,51
écrivais,écrire,18
sous,sous,81
sa,son,73
dictée,dictée,22
",",",",p
il,il,51
me,je,51
tirait,tirer,18
l',le,71
oreille,oreille,22
tout,tout,60
d',de,81
un,un,71
coup,coup,21
",",",",p
à,à,81
sa,son,73
manière,manière,22
",",",",p
et,et,82
me,je,51
faisait,faire,18
une,un,71
question,question,22
imprévue,imprévu,30
sur,sur,81
quelque,quelque,75
vulgaire,vulgaire,30
connaissance,connaissance,22
comme,comme,83
la,le,71
géographie,géographie,22
ou,ou,82
l',le,71
algèbre,algèbre,21
",",",",p
me,je,51
posant,poser,13
le,le,71
plus,plus,60
facile,facile,30
problème,problème,21
d',de,81
enfant,enfant,21
;,;,p
il,il,51
me,je,51
semblait,sembler,18
alors,alors,60
que,que,83
la,le,71
foudre,foudre,22
tombait,tomber,18
sur,sur,81
ma,mon,73
tête,tête,22
/.,/.,P
je,je,51
savais,savoir,18
mille,mille,72
fois,fois,22
ce,ce,52
qu',que,52
il,il,51
me,je,51
demandait,demander,18
;,;,p
j',je,51
en,en,52
savais,savoir,18
plus,plus,60
qu',que,83
il,il,51
ne,ne,60
le,le,52
croyait,croire,18
",",",",p
j',je,51
en,en,52
savais,savoir,18
même,même,60
souvent,souvent,60
plus,plus,60
que,que,83
lui,lui,51
;,;,p
mais,mais,82
son,son,73
oeil,oeil,21
me,je,51
paralysait,paralyser,18
/.,/.,P
lorsqu',lorsque,83
il,il,51
était,être,18
hors,hors,81
de,de,81
la,le,71
chambre,chambre,22
",",",",p
je,je,51
pouvais,pouvoir,18
respirer,respirer,14
",",",",p
le,le,71
sang,sang,21
commençait,commencer,18
à,à,81
circuler,circuler,14
dans,dans,81
mes,mon,73
veines,veine,22
",",",",p
la,le,71
mémoire,mémoire,22
me,je,51
revenait,revenir,18
et,et,82
avec,avec,81
elle,il,51
une,un,71
honte,honte,22
inexprimable,inexprimable,30
;,;,p
la,le,71
rage,rage,22
me,je,51
prenait,prendre,18
",",",",p
j',je,51
écrivais,écrire,18
ce,ce,52
que,que,52
j',je,51
aurais,avoir,16
dû,devoir,12
lui,lui,51
répondre,répondre,14
;,;,p
puis,puis,60
je,je,51
me,je,51
roulais,rouler,18
sur,sur,81
le,le,71
tapis,tapis,21
",",",",p
je,je,51
pleurais,pleurer,18
",",",",p
j',je,51
avais,avoir,18
envie,envie,22
de,de,81
me,je,51
tuer,tuer,14
/.,/.,P
-,-,p
quoi,quoi,52
!,!,p
me,je,51
disais,dire,18
je,je,51
",",",",p
il,il,51
y,y,52
a,avoir,17
donc,donc,82
des,de,81
des,le,71
têtes,tête,22
assez,assez,60
fortes,fort,30
pour,pour,81
être,être,14
sûres,sûr,30
de,de,81
tout,tout,52
et,et,82
n',ne,60
hésiter,hésiter,14
devant,devant,81
personne,personne,52
/?,/?,P
des,de,81
des,le,71
hommes,homme,21
qui,qui,52
s',se,51
étourdissent,étourdir,17
par,par,81
l',le,71
action,action,22
sur,sur,81
toute,tout,75
chose,chose,22
",",",",p
et,et,82
dont,dont,52
l',le,71
assurance,assurance,22
écrase,écraser,17
les,le,71
autres,autre,52
en,en,81
leur,leur,52
faisant,faire,13
penser,penser,14
que,que,83
la,le,71
clef,clé,22
de,de,81
tout,tout,52
savoir,savoir,14
et,et,82
de,de,81
tout,tout,52
pouvoir,pouvoir,14
",",",",p
clef,clé,22
qu',que,52
on,on,51
ne,ne,60
cesse,cesser,17
de,de,81
chercher,chercher,14
",",",",p
est,être,17
dans,dans,81
leur,leur,73
poche,poche,22
",",",",p
et,et,82
qu',que,52
ils,ils,51
n',ne,60
ont,avoir,17
qu',que,83
à,à,81
l',le,52
ouvrir,ouvrir,14
pour,pour,81
en,en,52
tirer,tirer,14
lumière,lumière,22
et,et,82
autorité,autorité,22
infaillibles,infaillible,30
/!,/!,P
je,je,51
sentais,sentir,18
pourtant,pourtant,60
que,que,83
c',ce,52
était,être,18
là,là,60
une,un,71
force,force,22
fausse,faux,30
et,et,82
usurpée,usurpé,31
/.,/.,P
je,je,51
me,je,51
révoltais,révolter,18
",",",",p
je,je,51
criais,crier,18
:,:,p
“,“,p
il,il,51
ment,mentir,17
/!,/!,P
son,son,73
attitude,attitude,22
",",",",p
sa,son,73
voix,voix,22
",",",",p
son,son,73
geste,geste,21
",",",",p
ne,ne,60
sont,être,17
qu',que,83
une,un,71
pantomime,pantomime,22
d',de,81
acteur,acteur,21
",",",",p
une,un,71
misérable,misérable,30
parade,parade,22
de,de,81
souveraineté,souveraineté,22
",",",",p
dont,dont,52
il,il,51
doit,devoir,17
savoir,savoir,14
la,le,71
vanité,vanité,22
/.,/.,P
il,il,51
n',ne,60
est,être,17
pas,pas,60
possible,possible,30
qu',que,83
il,il,51
croie,croire,17
en,en,81
lui-même,lui-même,51
aussi,aussi,60
sincèrement,sincèrement,60
/!,/!,P
il,il,51
nous,nous,51
défend,défendre,17
à,à,81
tous,tout,52
de,de,81
lever,lever,14
le,le,71
voile,voile,21
",",",",p
mais,mais,82
il,il,51
se,se,51
voit,voir,17
nu,nu,30
par dessous,par-dessous,60
/.,/.,P
et,et,82
que,que,52
voit,voir,17
il,il,51
?,?,p
un,un,71
pauvre,pauvre,30
ignorant,ignorant,21
comme,comme,83
nous,nous,51
tous,tout,52
",",",",p
et,et,82
sous,sous,81
tout,tout,75
cela,cela,52
la,le,71
créature,créature,22
faible,faible,30
/!,/!,P
cependant,cependant,82
je,je,51
ne,ne,60
savais,savoir,18
comment,comment,60
voir,voir,14
le,le,71
fond,fond,21
de,de,81
cette,ce,74
âme,âme,22
déguisée,déguisé,31
/.,/.,P
le,le,71
pouvoir,pouvoir,21
et,et,82
la,le,71
gloire,gloire,22
le,le,52
défendaient,défendre,18
sur,sur,81
tous,tout,75
les,le,71
points,point,21
;,;,p
je,je,51
tournais,tourner,18
autour,autour,60
sans,sans,81
réussir,réussir,14
à,à,81
y,y,52
rien,rien,52
surprendre,surprendre,14
",",",",p
et,et,82
ce,ce,74
porc-épic,porc-épic,21
",",",",p
toujours,toujours,60
armé,armé,31
",",",",p
se,se,51
roulait,rouler,18
devant,devant,81
moi,moi,51
",",",",p
n',ne,60
offrant,offrir,13
de,de,81
tous,tout,75
côtés,côté,21
que,que,83
des,de,81
des,le,71
pointes,pointe,22
acérées,acéré,30
/.,/.,P
-,-,p
un,un,71
jour,jour,21
pourtant,pourtant,60
",",",",p
le,le,71
hasard,hasard,21
",",",",p
notre,notre,73
maître,maître,21
à,à,81
tous,tout,52
",",",",p
les,le,52
entr'ouvrit,entr'ouvrir,19
",",",",p
et,et,82
à,à,81
travers,travers,21
ces,ce,74
piques,pique,22
et,et,82
ces,ce,74
dards,dard,21
fit,faire,19
pénétrer,pénétrer,14
une,un,71
lumière,lumière,22
d',de,81
un,un,71
moment,moment,21
/.,/.,P
-,-,p
un,un,71
jour,jour,21
",",",",p
ce,ce,52
fut,être,19
peut-être,peut-être,60
le,le,71
seul,seul,30
de,de,81
sa,son,73
vie,vie,22
",",",",p
il,il,51
rencontra,rencontrer,19
plus,plus,60
fort,fort,30
que,que,83
lui,lui,51
et,et,82
recula,reculer,19
un,un,71
instant,instant,21
devant,devant,81
un,un,71
ascendant,ascendant,21
plus,plus,60
grand,grand,30
que,que,83
le,le,71
sien,sien,52
/.,/.,P
-,-,p
j',je,51
en,en,52
fus,être,19
témoin,témoin,21
",",",",p
et,et,82
me,je,51
sentis,sentir,19
vengé,vengé,31
/.,/.,P
-,-,p
voici,voici,81
comment,comment,60
cela,cela,52
m',je,51
arriva,arriver,19
:,:,p
nous,nous,51
étions,être,18
à,à,81
Fontainebleau,Fontainebleau,20
/.,/.,P
le,le,71
pape,pape,21
venait,venir,18
d',de,81
arriver,arriver,14
/.,/.,P
l',le,71
empereur,empereur,21
l',le,52
avait,avoir,18
attendu,attendre,12
impatiemment,impatiemment,60
pour,pour,81
le,le,71
sacre,sacre,21
",",",",p
et,et,82
l',le,52
avait,avoir,18
reçu,recevoir,12
en,en,81
voiture,voiture,22
",",",",p
montant,monter,13
de,de,81
chaque,chaque,75
côté,côté,21
",",",",p
au,à,81
au,le,71
même,même,75
instant,instant,21
",",",",p
avec,avec,81
une,un,71
étiquette,étiquette,22
en,en,81
apparence,apparence,22
négligée,négligé,31
",",",",p
mais,mais,82
profondément,profondément,60
calculée,calculé,31
de,de,81
manière,manière,22
à,à,81
ne,ne,60
céder,céder,14
ni,ni,82
prendre,prendre,14
le,le,71
pas,pas,21
",",",",p
ruse,ruse,22
italienne,italien,30
/.,/.,P
il,il,51
revenait,revenir,18
au,à,81
au,le,71
château,château,21
:,:,p
tout,tout,52
y,y,52
était,être,18
en,en,81
rumeur,rumeur,22
;,;,p
j',je,51
avais,avoir,18
laissé,laisser,12
plusieurs,plusieurs,75
officiers,officier,21
dans,dans,81
la,le,71
chambre,chambre,22
qui,qui,52
précédait,précéder,18
celle,celui,52
de,de,81
l',le,71
empereur,empereur,21
",",",",p
et,et,82
j',je,51
étais,être,18
resté,rester,12
seul,seul,30
dans,dans,81
la,le,71
sienne,sien,52
/.,/.,P
-,-,p
je,je,51
considérais,considérer,18
une,un,71
longue,long,30
table,table,22
qui,qui,52
portait,porter,18
",",",",p
au,à,81
au,le,71
lieu,lieu,21
de,de,81
marbre,marbre,21
",",",",p
des,de,81
des,le,71
mosaïques,mosaïque,22
romaines,romain,30
",",",",p
et,et,82
que,que,52
surchargeait,surcharger,18
un,un,71
amas,amas,21
énorme,énorme,30
de,de,81
placets,placet,21
/.,/.,P
j',je,51
avais,avoir,18
vu,voir,12
souvent,souvent,60
Bonaparte,Bonaparte,20
rentrer,rentrer,14
et,et,82
leur,leur,52
faire,faire,14
subir,subir,14
une,un,71
étrange,étrange,30
épreuve,épreuve,22
/.,/.,P
il,il,51
ne,ne,60
les,le,52
prenait,prendre,18
ni,ni,82
par,par,81
ordre,ordre,21
",",",",p
ni,ni,82
au,à,81
au,le,71
hasard,hasard,21
;,;,p
mais,mais,82
quand,quand,83
leur,leur,73
nombre,nombre,21
l',le,52
irritait,irriter,18
",",",",p
il,il,51
passait,passer,18
sa,son,73
main,main,22
sur,sur,81
la,le,71
table,table,22
de,de,81
gauche,gauche,22
à,à,81
droite,droite,22
et,et,82
de,de,81
droite,droite,22
à,à,81
gauche,gauche,22
",",",",p
comme,comme,83
un,un,71
faucheur,faucheur,21
",",",",p
et,et,82
les,le,52
dispersait,disperser,18
jusqu',jusque,81
à,à,81
ce,ce,52
qu',que,52
il,il,51
en,en,52
eût,avoir,19
réduit,réduire,12
le,le,71
nombre,nombre,21
à,à,81
cinq,cinq,72
ou,ou,82
six,six,72
qu',que,52
il,il,51
ouvrait,ouvrir,18
/.,/.,P
cette,ce,74
sorte,sorte,22
de,de,81
jeu,jeu,21
dédaigneux,dédaigneux,30
m',je,51
avait,avoir,18
ému,émouvoir,12
singulièrement,singulièrement,60
/.,/.,P
tous,tout,75
ces,ce,74
papiers,papier,21
de,de,81
deuil,deuil,21
et,et,82
de,de,81
détresse,détresse,22
repoussés,repoussé,31
et,et,82
jetés,jeté,31
sur,sur,81
le,le,71
parquet,parquet,21
",",",",p
enlevés,enlevé,31
comme,comme,83
par,par,81
un,un,71
vent,vent,21
colère,colère,22
;,;,p
ces,ce,74
implorations,imploration,22
inutiles,inutile,30
des,de,81
des,le,71
veuves,veuve,22
et,et,82
des,de,81
des,le,71
orphelins,orphelin,21
n',ne,60
ayant,avoir,13
pour,pour,81
chance,chance,22
de,de,81
secours,secours,21
que,que,83
la,le,71
manière,manière,22
dont,dont,52
les,le,71
feuilles,feuille,22
volantes,volant,30
étaient,être,18
balayées,balayer,12
par,par,81
le,le,71
chapeau,chapeau,21
consulaire,consulaire,30
;,;,p
toutes,tout,75
ces,ce,74
feuilles,feuille,22
gémissantes,gémissant,30
",",",",p
mouillées,mouillé,31
par,par,81
des,de,81
des,le,71
larmes,larme,22
de,de,81
famille,famille,22
",",",",p
traînant,traîner,13
au,à,81
au,le,71
hasard,hasard,21
sous,sous,81
ses,son,73
bottes,botte,22
et,et,82
sur,sur,81
lesquelles,lequel,52
il,il,51
marchait,marcher,18
comme,comme,83
sur,sur,81
ses,son,73
morts,mort,22
du,de,81
du,le,71
champ,champ,21
de,de,81
bataille,bataille,22
",",",",p
me,je,51
représentaient,représenter,18
la,le,71
destinée,destinée,22
présente,présent,30
de,de,81
la,le,71
France,France,20
comme,comme,83
une,un,71
loterie,loterie,22
sinistre,sinistre,30
",",",",p
et,et,82
",",",",p
toute,tout,60
grande,grand,30
qu',que,83
était,être,18
la,le,71
main,main,22
indifférente,indifférent,30
et,et,82
rude,rude,30
qui,qui,52
tirait,tirer,18
les,le,71
lots,lot,21
",",",",p
je,je,51
pensais,penser,18
qu',que,83
il,il,51
n',ne,60
était,être,18
pas,pas,60
juste,juste,30
de,de,81
livrer,livrer,14
ainsi,ainsi,60
au,à,81
au,le,71
caprice,caprice,21
de,de,81
ses,son,73
coups,coup,21
de,de,81
poing,poing,21
tant,tant,60
de,de,81
fortunes,fortune,22
obscures,obscur,30
qui,qui,52
eussent,avoir,18
été,être,12
peut-être,peut-être,60
un,un,71
jour,jour,21
aussi,aussi,60
grandes,grand,30
que,que,83
la,le,71
sienne,sien,52
",",",",p
si,si,83
un,un,71
point,point,21
d',de,81
appui,appui,21
leur,leur,52
eût,avoir,19
été,être,12
donné,donner,12
/.,/.,P
je,je,51
sentis,sentir,19
mon,mon,73
coeur,coeur,21
battre,battre,14
contre,contre,81
Bonaparte,Bonaparte,20
et,et,82
se,se,51
révolter,révolter,14
",",",",p
mais,mais,82
honteusement,honteusement,60
",",",",p
mais,mais,82
en,en,81
coeur,coeur,21
d',de,81
esclave,esclave,21
qu',que,52
il,il,51
était,être,18
/.,/.,P
je,je,51
considérais,considérer,18
ces,ce,74
lettres,lettre,22
abandonnées,abandonné,31
:,:,p
des,de,81
des,le,71
cris,cri,21
de,de,81
douleur,douleur,22
inentendus,inentendu,30
s',se,51
élevaient,élever,18
de,de,81
leurs,leur,73
plis,pli,21
profanés,profané,31
;,;,p
et,et,82
",",",",p
les,le,52
prenant,prendre,13
pour,pour,81
les,le,52
lire,lire,14
",",",",p
les,le,52
rejetant,rejeter,13
ensuite,ensuite,60
",",",",p
moi-même,moi-même,51
je,je,51
me,je,51
faisais,faire,18
juge,juge,21
entre,entre,81
ces,ce,74
malheureux,malheureux,21
et,et,82
le,le,71
maître,maître,21
qu',que,52
ils,ils,51
s',se,51
étaient,être,18
donné,donner,12
",",",",p
et,et,82
qui,qui,52
allait,aller,18
aujourd'hui,aujourd'hui,60
s',se,51
asseoir,asseoir,14
plus,plus,60
solidement,solidement,60
que,que,83
jamais,jamais,60
sur,sur,81
leurs,leur,73
têtes,tête,22
