11677
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-et-unième extrait>,<>,<>
ailleurs,ailleurs,60
/.,/.,P
eh,eh,93
!,!,p
cher,cher,30
monsieur,monsieur,21
",",",",p
si,si,83
nous,nous,51
ne,ne,60
nous,nous,51
étions,être,18
pas,pas,60
engagés,engager,12
dans,dans,81
les,le,71
Champs-Elysées,Champs Elysées,20
",",",",p
autour,autour,60
de,de,81
la,le,71
bourse,bourse,22
qui,qui,52
va,aller,17
s',se,51
achever,achever,14
",",",",p
dans,dans,81
le,le,71
quartier,quartier,21
Saint-Lazare,Saint-Lazare,20
et,et,82
à,à,81
Tivoli,Tivoli,20
",",",",p
nous,nous,51
ne,ne,60
serions,être,16
pas,pas,60
",",",",p
comme,comme,83
dit,dire,17
le,le,71
gros,gros,30
Nucingen,Nucingen,20
",",",",p
dans,dans,81
les,le,71
iffires,affaire,22
/.,/.,P
qu',que,52
est,être,17
ce,ce,52
que,que,83
c',ce,52
est,être,17
donc,donc,82
que,que,83
la,le,71
Madeleine,Madeleine,20
?,?,p
une,un,71
petite,petit,30
souillon,souillon,22
d',de,81
affaire,affaire,22
/.,/.,P
prrr,prrr,93
!,!,p
nous,nous,51
ne,ne,60
carottons,carotter,17
pas,pas,60
",",",",p
mon,mon,73
brave,brave,21
",",",",p
dit,dire,19
il,il,51
en,en,81
frappant,frapper,13
sur,sur,81
le,le,71
ventre,ventre,21
de,de,81
Birotteau,Birotteau,20
et,et,82
lui,lui,51
serrant,serrer,13
la,le,71
taille,taille,22
/.,/.,P
allons,aller,17
",",",",p
voyons,voir,17
",",",",p
déjeunez,déjeuner,17
",",",",p
nous,nous,51
causerons,causer,15
",",",",p
reprit,reprendre,19
Claparon,Claparon,20
afin,afin,81
d',de,81
adoucir,adoucir,14
son,son,73
refus,refus,21
/.,/.,P
-,-,p
volontiers,volontiers,60
",",",",p
dit,dire,19
Birotteau,Birotteau,20
/.,/.,P
tant,tant,60
pis,pis,60
pour,pour,81
le,le,71
convive,convive,21
",",",",p
pensa,penser,19
le,le,71
parfumeur,parfumeur,21
en,en,81
méditant,méditer,13
de,de,81
griser,griser,14
Claparon,Claparon,20
afin,afin,81
d',de,81
apprendre,apprendre,14
quels,quel,52
étaient,être,18
ses,son,73
vrais,vrai,30
associés,associé,21
dans,dans,81
une,un,71
affaire,affaire,22
qui,qui,52
commençait,commencer,18
à,à,81
lui,lui,51
paraître,paraître,14
ténébreuse,ténébreux,30
/.,/.,P
-,-,p
bon,bon,60
/!,/!,P
Victoire,Victoire,20
!,!,p
cria,crier,19
le,le,71
banquier,banquier,21
/.,/.,P
à,à,81
ce,ce,74
cri,cri,21
parut,paraître,19
une,un,71
vraie,vrai,30
Léonarde,Léonarde,20
attifée,attifé,31
comme,comme,83
une,un,71
marchande,marchande,22
de,de,81
poisson,poisson,21
/.,/.,P
-,-,p
dites,dire,17
à,à,81
mes,mon,73
commis,commis,21
que,que,83
je,je,51
n',ne,60
y,y,52
suis,être,17
pour,pour,81
personne,personne,52
",",",",p
pas,pas,60
même,même,60
pour,pour,81
Nucingen,Nucingen,20
",",",",p
les,le,71
Keller,Keller,20
",",",",p
Gigonnet,Gigonnet,20
et,et,82
autres,autre,52
/!,/!,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
que,que,83
monsieur,monsieur,21
Lempereur,Lempereur,20
de,de,81
venu,venu,31
/.,/.,P
-,-,p
il,il,51
recevra,recevoir,15
le,le,71
beau,beau,30
monde,monde,21
",",",",p
dit,dire,19
Claparon,Claparon,20
/.,/.,P
le,le,71
fretin,fretin,21
ne,ne,60
passera,passer,15
pas,pas,60
la,le,71
première,premier,72
pièce,pièce,22
/.,/.,P
on,on,51
dira,dire,15
que,que,83
je,je,51
médite,méditer,17
un,un,71
coup,coup,21
…,…,p
de,de,81
vin,vin,21
de,de,81
Champagne,Champagne,20
/!,/!,P
griser,griser,14
un,un,71
ancien,ancien,30
commis voyageur,commis voyageur,21
est,être,17
la,le,71
chose,chose,22
impossible,impossible,30
/.,/.,P
César,César,20
avait,avoir,18
pris,prendre,12
la,le,71
verve,verve,22
du,de,81
du,le,71
mauvais,mauvais,30
ton,ton,21
pour,pour,81
les,le,71
symptômes,symptôme,21
de,de,81
l',le,71
ivresse,ivresse,22
",",",",p
quand,quand,83
il,il,51
essaya,essayer,19
de,de,81
confesser,confesser,14
son,son,73
associé,associé,21
/.,/.,P
-,-,p
cet,ce,74
infâme,infâme,30
Roguin,Roguin,20
est,être,17
toujours,toujours,60
avec,avec,81
vous,vous,51
",",",",p
dit,dire,19
Birotteau,Birotteau,20
",",",",p
ne,ne,60
devriez,devoir,16
vous,vous,51
pas,pas,60
lui,lui,51
écrire,écrire,14
d',de,81
aider,aider,14
un,un,71
ami,ami,21
qu',que,52
il,il,51
a,avoir,17
compromis,compromettre,12
",",",",p
un,un,71
homme,homme,21
avec,avec,81
lequel,lequel,52
il,il,51
dînait,dîner,18
tous,tout,75
les,le,71
dimanches,dimanche,21
et,et,82
qu',que,52
il,il,51
connaît,connaître,17
depuis,depuis,81
vingt,vingt,72
ans,an,21
/?,/?,P
Roguin,Roguin,20
?,?,p
un,un,71
sot,sot,21
!,!,p
sa,son,73
part,part,22
est,être,17
à,à,81
nous,nous,51
/.,/.,P
ne,ne,60
soyez,être,17
pas,pas,60
triste,triste,30
",",",",p
mon,mon,73
brave,brave,21
",",",",p
tout,tout,52
ira,aller,15
bien,bien,60
/.,/.,P
payez,payer,17
le,le,71
quinze,quinze,72
",",",",p
et,et,82
la,le,71
première,premier,72
fois,fois,22
nous,nous,51
verrons,voir,15
/!,/!,P
quand,quand,83
je,je,51
dis,dire,17
nous,nous,51
verrons,voir,15
…,…,p
(,(,p
un,un,71
verre,verre,21
de,de,81
vin,vin,21
!,!,p
),),p
les,le,71
fonds,fonds,21
ne,ne,60
me,je,51
concernent,concerner,17
en,en,81
aucune,aucun,75
manière,manière,22
/.,/.,P
ah,ah,93
!,!,p
vous,vous,51
ne,ne,60
paieriez,payer,16
pas,pas,60
",",",",p
je,je,51
ne,ne,60
vous,vous,51
ferais,faire,16
point,point,60
la,le,71
mine,mine,22
",",",",p
je,je,51
ne,ne,60
suis,être,17
dans,dans,81
l',le,71
affaire,affaire,22
que,que,83
pour,pour,81
une,un,71
commission,commission,22
sur,sur,81
les,le,71
achats,achat,21
et,et,82
pour,pour,81
un,un,71
droit,droit,21
sur,sur,81
les,le,71
réalisations,réalisation,22
",",",",p
moyennant,moyennant,81
quoi,quoi,52
je,je,51
manoeuvre,manoeuvrer,17
les,le,71
propriétaires,propriétaire,21
/…,/…,P
comprenez,comprendre,17
vous,vous,51
?,?,p
vous,vous,51
avez,avoir,17
des,de,81
des,le,71
associés,associé,21
solides,solide,30
",",",",p
aussi,aussi,60
n',ne,60
ai,avoir,17
je,je,51
pas,pas,60
peur,peur,22
",",",",p
mon,mon,73
cher,cher,30
monsieur,monsieur,21
/.,/.,P
aujourd'hui,aujourd'hui,60
les,le,71
affaires,affaire,22
se,se,51
divisent,diviser,17
/!,/!,P
une,un,71
affaire,affaire,22
exige,exiger,17
le,le,71
concours,concours,21
de,de,81
tant,tant,60
de,de,81
capacités,capacité,22
/!,/!,P
mettez,mettre,17
vous,vous,51
avec,avec,81
nous,nous,51
dans,dans,81
les,le,71
affaires,affaire,22
/?,/?,P
ne,ne,60
carottez,carotter,17
pas,pas,60
avec,avec,81
des,de,81
des,le,71
pots,pot,21
de,de,81
pommade,pommade,22
et,et,82
des,de,81
des,le,71
peignes,peigne,21
:,:,p
mauvais,mauvais,30
!,!,p
mauvais,mauvais,30
/!,/!,P
tondez,tondre,17
le,le,71
public,public,21
",",",",p
entrez,entrer,17
dans,dans,81
la,le,71
spéculation,spéculation,22
/.,/.,P
-,-,p
la,le,71
spéculation,spéculation,22
?,?,p
dit,dire,19
le,le,71
parfumeur,parfumeur,21
",",",",p
quel,quel,52
est,être,17
ce,ce,74
commerce,commerce,21
/?,/?,P
c',ce,52
est,être,17
le,le,71
commerce,commerce,21
abstrait,abstrait,31
",",",",p
reprit,reprendre,19
Claparon,Claparon,20
",",",",p
un,un,71
commerce,commerce,21
qui,qui,52
restera,rester,15
secret,secret,30
pendant,pendant,81
une,un,71
dizaine,dizaine,22
d',de,81
années,année,22
encore,encore,60
",",",",p
au,à,81
au,le,71
dire,dire,21
du,de,81
du,le,71
grand,grand,30
Nucingen,Nucingen,20
",",",",p
le,le,71
Napoléon,Napoléon,20
de,de,81
la,le,71
finance,finance,22
",",",",p
et,et,82
par,par,81
lequel,lequel,52
un,un,71
homme,homme,21
embrasse,embrasser,17
les,le,71
totalités,totalité,22
des,de,81
des,le,71
chiffres,chiffre,21
",",",",p
écrème,écrémer,17
les,le,71
revenus,revenu,21
avant,avant,81
qu',que,83
ils,ils,51
n',ne,60
existent,exister,17
",",",",p
une,un,71
conception,conception,22
gigantesque,gigantesque,30
",",",",p
une,un,71
façon,façon,22
de,de,81
mettre,mettre,14
l',le,71
espérance,espérance,22
en,en,81
coupes,coupe,22
réglées,réglé,31
",",",",p
enfin,enfin,60
une,un,71
nouvelle,nouveau,30
Cabale,Cabale,20
/!,/!,P
nous,nous,51
ne,ne,60
sommes,être,17
encore,encore,60
que,que,83
dix,dix,72
ou,ou,82
douze,douze,72
têtes,tête,22
fortes,fort,30
initiées,initié,31
aux,à,81
aux,le,71
secrets,secret,21
cabalistiques,cabalistique,30
de,de,81
ces,ce,74
magnifiques,magnifique,30
combinaisons,combinaison,22
/.,/.,P
César,César,20
ouvrait,ouvrir,18
les,le,71
yeux,oeil,21
et,et,82
les,le,71
oreilles,oreille,22
en,en,81
essayant,essayer,13
de,de,81
comprendre,comprendre,14
cette,ce,74
phraséologie,phraséologie,22
composite,composite,30
/.,/.,P
-,-,p
écoutez,écouter,17
",",",",p
dit,dire,19
Claparon,Claparon,20
après,après,81
une,un,71
pause,pause,22
",",",",p
de,de,81
semblables,semblable,30
coups,coup,21
veulent,vouloir,17
des,de,81
des,le,71
hommes,homme,21
/.,/.,P
il,il,51
y,y,52
a,avoir,17
l',le,71
homme,homme,21
à,à,81
idées,idée,22
qui,qui,52
n',ne,60
a,avoir,17
pas,pas,60
le,le,71
sou,sou,21
",",",",p
comme,comme,83
tous,tout,75
les,le,71
gens,gens,21
à,à,81
idées,idée,22
/.,/.,P
ces,ce,74
gens,gens,21
là,là,60
pensent,penser,17
et,et,82
dépensent,dépenser,17
",",",",p
sans,sans,81
faire,faire,14
attention,attention,22
à,à,81
rien,rien,52
/.,/.,P
figurez,figurer,17
vous,vous,51
un,un,71
cochon,cochon,21
qui,qui,52
vague,vaguer,17
dans,dans,81
un,un,71
bois,bois,21
à,à,81
truffes,truffe,22
/!,/!,P
il,il,51
est,être,17
suivi,suivre,12
par,par,81
un,un,71
gaillard,gaillard,21
",",",",p
l',le,71
homme,homme,21
d',de,81
argent,argent,21
",",",",p
qui,qui,52
attend,attendre,17
le,le,71
grognement,grognement,21
excité,excité,31
par,par,81
la,le,71
trouvaille,trouvaille,22
/.,/.,P
quand,quand,83
l',le,71
homme,homme,21
à,à,81
idées,idée,22
a,avoir,17
rencontré,rencontrer,12
quelque,quelque,75
bonne,bon,30
affaire,affaire,22
",",",",p
l',le,71
homme,homme,21
d',de,81
argent,argent,21
lui,lui,51
donne,donner,17
alors,alors,60
une,un,71
tape,tape,22
sur,sur,81
l',le,71
épaule,épaule,22
et,et,82
lui,lui,51
dit,dire,19
:,:,p
qu',que,52
est,être,17
ce,ce,52
que,que,83
c',ce,52
est,être,17
que,que,83
ça,ça,52
/?,/?,P
vous,vous,51
vous,vous,51
mettez,mettre,17
dans,dans,81
la,le,71
gueule,gueule,22
d',de,81
un,un,71
four,four,21
",",",",p
mon,mon,73
brave,brave,21
",",",",p
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
les,le,71
reins,rein,21
assez,assez,60
forts,fort,30
;,;,p
voilà,voilà,81
mille,mille,72
francs,franc,21
",",",",p
et,et,82
laissez,laisser,17
moi,moi,51
mettre,mettre,14
en,en,81
scène,scène,22
cette,ce,74
affaire,affaire,22
/.,/.,P
bon,bon,60
!,!,p
le,le,71
banquier,banquier,21
convoque,convoquer,17
les,le,71
industriels,industriel,21
/.,/.,P
mes,mon,73
amis,ami,21
",",",",p
à,à,81
l',le,71
ouvrage,ouvrage,21
!,!,p
des,de,81
des,le,71
prospectus,prospectus,21
!,!,p
la,le,71
blague,blague,22
à,à,81
mort,mort,22
/!,/!,P
on,on,51
prend,prendre,17
des,de,81
des,le,71
cors,cor,21
de,de,81
chasse,chasse,22
et,et,82
on,on,51
crie,crier,17
à,à,81
son,son,21
de,de,81
trompe,trompe,22
:,:,p
cent,cent,72
mille,mille,72
francs,franc,21
pour,pour,81
cinq,cinq,72
sous,sou,21
!,!,p
ou,ou,82
cinq,cinq,72
sous,sou,21
pour,pour,81
cent,cent,72
mille,mille,72
francs,franc,21
",",",",p
des,de,81
des,le,71
mines,mine,22
d',de,81
or,or,21
",",",",p
des,de,81
des,le,71
mines,mine,22
de,de,81
charbon,charbon,21
/.,/.,P
enfin,enfin,60
tout,tout,75
l',le,71
esbrouffe,esbroufe,22
du,de,81
du,le,71
commerce,commerce,21
/.,/.,P
on,on,51
achète,acheter,17
l',le,71
avis,avis,21
des,de,81
des,le,71
hommes,homme,21
de,de,81
science,science,22
ou,ou,82
d',de,81
art,art,21
",",",",p
la,le,71
parade,parade,22
se,se,51
déploie,déployer,17
",",",",p
le,le,71
public,public,21
entre,entrer,17
",",",",p
il,il,51
en,en,52
a,avoir,17
pour,pour,81
son,son,73
argent,argent,21
",",",",p
la,le,71
recette,recette,22
est,être,17
dans,dans,81
nos,notre,73
mains,main,22
/.,/.,P
le,le,71
cochon,cochon,21
est,être,17
chambré,chambrer,12
sous,sous,81
son,son,73
toit,toit,21
avec,avec,81
des,de,81
des,le,71
pommes,pomme,22
de,de,81
terre,terre,22
",",",",p
et,et,82
les,le,71
autres,autre,52
se,se,51
chafriolent,chafrioler,17
dans,dans,81
les,le,71
billets,billet,21
de,de,81
banque,banque,22
/.,/.,P
voilà,voilà,81
",",",",p
mon,mon,73
cher,cher,30
monsieur,monsieur,21
/.,/.,P
entrez,entrer,17
dans,dans,81
les,le,71
affaires,affaire,22
/.,/.,P
que,que,52
voulez,vouloir,17
vous,vous,51
être,être,14
?,?,p
cochon,cochon,30
",",",",p
dindon,dindon,21
",",",",p
paillasse,paillasse,22
ou,ou,82
millionnaire,millionnaire,21
/?,/?,P
réfléchissez,réfléchir,17
à,à,81
ceci,ceci,52
:,:,p
je,je,51
vous,vous,51
ai,avoir,17
formulé,formuler,12
la,le,71
théorie,théorie,22
des,de,81
des,le,71
emprunts,emprunt,21
modernes,moderne,30
/.,/.,P
venez,venir,17
me,je,51
voir,voir,14
",",",",p
vous,vous,51
trouverez,trouver,15
un,un,71
bon,bon,30
garçon,garçon,21
toujours,toujours,60
jovial,jovial,30
/.,/.,P
la,le,71
jovialité,jovialité,22
française,français,30
",",",",p
grave,grave,30
et,et,82
légère,léger,30
tout,tout,60
à,à,81
la,le,71
fois,fois,22
",",",",p
ne,ne,60
nuit,nuire,17
pas,pas,60
aux,à,81
aux,le,71
affaires,affaire,22
",",",",p
au,à,81
au,le,71
contraire,contraire,21
/!,/!,P
des,de,81
des,le,71
hommes,homme,21
qui,qui,52
trinquent,trinquer,17
sont,être,17
bien,bien,60
faits,faire,12
pour,pour,81
se,se,51
comprendre,comprendre,14
/!,/!,P
allons,aller,17
!,!,p
encore,encore,60
un,un,71
verre,verre,21
de,de,81
vin,vin,21
de,de,81
Champagne,Champagne,20
?,?,p
il,il,51
est,être,17
soigné,soigner,12
",",",",p
allez,aller,17
/!,/!,P
ce,ce,74
vin,vin,21
est,être,17
envoyé,envoyer,12
par,par,81
un,un,71
homme,homme,21
d',de,81
Epernay,Epernay,20
même,même,30
",",",",p
à,à,81
qui,qui,52
j',je,51
en,en,52
ai,avoir,17
bien,bien,60
fait,faire,12
vendre,vendre,14
",",",",p
et,et,82
à,à,81
bon,bon,30
prix,prix,21
/.,/.,P
(,(,p
j',je,51
étais,être,18
dans,dans,81
les,le,71
vins,vin,21
/.,/.,P
),),p
il,il,51
se,se,51
montre,montrer,17
reconnaissant,reconnaissant,30
et,et,82
se,se,51
souvient,souvenir,17
de,de,81
moi,moi,51
dans,dans,81
ma,mon,73
prospérité,prospérité,22
/.,/.,P
c',ce,52
est,être,17
rare,rare,30
/.,/.,P
Birotteau,Birotteau,20
",",",",p
surpris,surpris,31
de,de,81
la,le,71
légèreté,légèreté,22
",",",",p
de,de,81
l',le,71
insouciance,insouciance,22
de,de,81
cet,ce,74
homme,homme,21
à,à,81
qui,qui,52
tout,tout,75
le,le,71
monde,monde,21
accordait,accorder,18
une,un,71
profondeur,profondeur,22
étonnante,étonnant,30
et,et,82
de,de,81
la,le,71
capacité,capacité,22
",",",",p
n',ne,60
osait,oser,18
plus,plus,60
le,le,52
questionner,questionner,14
/.,/.,P
dans,dans,81
l',le,71
excitation,excitation,22
brouillonne,brouillon,30
où,où,60
l',le,52
avait,avoir,18
mis,mettre,12
le,le,71
vin,vin,21
de,de,81
Champagne,Champagne,20
",",",",p
il,il,51
se,se,51
souvint,souvenir,19
cependant,cependant,82
d',de,81
un,un,71
nom,nom,21
qu',que,52
avait,avoir,18
prononcé,prononcer,12
du,de,81
du,le,71
Tillet,Tillet,20
",",",",p
et,et,82
demanda,demander,19
quel,quel,52
était,être,18
et,et,82
où,où,60
demeurait,demeurer,18
monsieur,monsieur,21
Gobseck,Gobseck,20
",",",",p
banquier,banquier,21
/.,/.,P
-,-,p
en,en,52
seriez,être,16
vous,vous,51
là,là,60
",",",",p
mon,mon,73
cher,cher,30
monsieur,monsieur,21
?,?,p
dit,dire,19
Claparon,Claparon,20
/.,/.,P
Gobseck,Gobseck,20
est,être,17
banquier,banquier,21
comme,comme,83
le,le,71
bourreau,bourreau,21
de,de,81
Paris,Paris,20
est,être,17
médecin,médecin,21
/.,/.,P
son,son,73
premier,premier,72
mot,mot,21
est,être,17
le,le,71
cinquante,cinquante,72
pour,pour,81
cent,cent,72
;,;,p
il,il,51
est,être,17
de,de,81
l',le,71
école,école,22
d',de,81
Harpagon,Harpagon,20
:,:,p
il,il,51
tient,tenir,17
à,à,81
votre,votre,73
disposition,disposition,22
des,de,81
des,le,71
serins,serin,21
des,de,81
des,le,71
Canaries,Canaries,20
",",",",p
des,de,81
des,le,71
boas,boa,21
empaillés,empaillé,31
",",",",p
des,de,81
des,le,71
fourrures,fourrure,22
en,en,81
été,été,21
",",",",p
du,de,81
du,le,71
nankin,nankin,21
en,en,81
hiver,hiver,21
/.,/.,P
et,et,82
quelles,quel,75
valeurs,valeur,22
lui,lui,51
présenteriez,présenter,16
vous,vous,51
/?,/?,P
pour,pour,81
prendre,prendre,14
votre,votre,73
papier,papier,21
nu,nu,30
",",",",p
il,il,51
faudrait,falloir,16
lui,lui,51
déposer,déposer,14
votre,votre,73
femme,femme,22
",",",",p
votre,votre,73
fille,fille,22
",",",",p
votre,votre,73
parapluie,parapluie,21
",",",",p
tout,tout,52
",",",",p
jusqu',jusque,81
à,à,81
votre,votre,73
carton,carton,21
à,à,81
chapeau,chapeau,21
",",",",p
vos,votre,73
socques,socque,21
(,(,p
vous,vous,51
donnez,donner,17
dans,dans,81
le,le,71
socque,socque,21
articulé,articulé,31
),),p
",",",",p
pelles,pelle,22
",",",",p
pincettes,pincette,22
et,et,82
le,le,71
bois,bois,21
que,que,52
vous,vous,51
avez,avoir,17
dans,dans,81
vos,votre,73
caves,cave,22
:,:,p
Gobseck,Gobseck,20
",",",",p
Gobseck,Gobseck,20
?,?,p
vertu,vertu,22
du,de,81
du,le,71
malheur,malheur,21
!,!,p
qui,qui,52
vous,vous,51
a,avoir,17
indiqué,indiquer,12
cette,ce,74
guillotine,guillotine,22
financière,financier,30
/?,/?,P
monsieur,monsieur,21
du,de,81
du,le,71
Tillet,Tillet,20
/.,/.,P
-,-,p
ah,ah,93
!,!,p
le,le,71
drôle,drôle,21
",",",",p
je,je,51
le,le,52
reconnais,reconnaître,17
/.,/.,P
nous,nous,51
avons,avoir,17
été,être,12
jadis,jadis,60
amis,ami,30
;,;,p
et,et,82
si,si,83
nous,nous,51
nous,nous,51
sommes,être,17
brouillés,brouiller,12
à,à,81
ne,ne,60
pas,pas,60
nous,nous,51
saluer,saluer,14
",",",",p
croyez,croire,17
que,que,83
ma,mon,73
répulsion,répulsion,22
est,être,17
fondée,fonder,12
:,:,p
il,il,51
m',je,51
a,avoir,17
laissé,laisser,12
lire,lire,14
au,à,81
au,le,71
fond,fond,21
de,de,81
son,son,73
âme,âme,22
de,de,81
boue,boue,22
",",",",p
et,et,82
il,il,51
m',je,51
a,avoir,17
mis,mettre,12
mal,mal,60
à,à,81
mon,mon,73
aise,aise,22
pendant,pendant,81
le,le,71
beau,beau,30
bal,bal,21
que,que,52
vous,vous,51
nous,nous,51
avez,avoir,17
donné,donner,12
:,:,p
je,je,51
ne,ne,60
puis,pouvoir,17
pas,pas,60
le,le,52
sentir,sentir,14
avec,avec,81
son,son,73
air,air,21
fat,fat,30
/.,/.,P
parce qu',parce que,83
il,il,51
a,avoir,17
une,un,71
notaresse,notaresse,22
/!,/!,P
j',je,51
aurai,avoir,15
des,de,81
des,le,71
marquises,marquise,22
",",",",p
moi,moi,51
",",",",p
quand,quand,83
je,je,51
voudrai,vouloir,15
",",",",p
et,et,82
il,il,51
n',ne,60
aura,avoir,15
jamais,jamais,60
mon,mon,73
estime,estime,22
",",",",p
lui,lui,51
/!,/!,P
ah,ah,93
!,!,p
mon,mon,73
estime,estime,22
est,être,17
une,un,71
princesse,princesse,22
qui,qui,52
ne,ne,60
le,le,52
gênera,gêner,15
jamais,jamais,60
dans,dans,81
son,son,73
lit,lit,21
/.,/.,P
vous,vous,51
êtes,être,17
un,un,71
farceur,farceur,21
",",",",p
dites,dire,17
donc,donc,82
",",",",p
gros,gros,30
père,père,21
",",",",p
nous,nous,51
flanquer,flanquer,14
un,un,71
bal,bal,21
et,et,82
deux,deux,72
mois,mois,21
après,après,81
demander,demander,14
des,de,81
des,le,71
renouvellements,renouvellement,21
/!,/!,P
vous,vous,51
pouvez,pouvoir,17
aller,aller,14
très,très,60
loin,loin,60
/.,/.,P
faisons,faire,17
des,de,81
des,le,71
affaires,affaire,22
ensemble,ensemble,60
/.,/.,P
vous,vous,51
avez,avoir,17
une,un,71
réputation,réputation,22
",",",",p
elle,il,51
me,je,51
servira,servir,15
/.,/.,P
oh,oh,93
!,!,p
du,de,81
du,le,71
Tillet,Tillet,20
était,être,18
né,naître,12
pour,pour,81
comprendre,comprendre,14
Gobseck,Gobseck,20
/.,/.,P
du,de,81
du,le,71
Tillet,Tillet,20
finira,finir,15
mal,mal,60
sur,sur,81
la,le,71
place,place,22
/.,/.,P
on,on,51
le,le,52
dit,dire,17
le,le,71
mouton,mouton,21
de,de,81
ce,ce,74
vieux,vieux,30
Gobseck,Gobseck,20
/.,/.,P
il,il,51
ne,ne,60
peut,pouvoir,17
pas,pas,60
aller,aller,14
loin,loin,60
/.,/.,P
Gobseck,Gobseck,20
est,être,17
dans,dans,81
le,le,71
coin,coin,21
de,de,81
sa,son,73
toile,toile,22
",",",",p
tapi,tapi,31
comme,comme,83
une,un,71
vieille,vieux,30
araignée,araignée,22
qui,qui,52
a,avoir,17
fait,faire,12
le,le,71
tour,tour,21
du,de,81
du,le,71
monde,monde,21
/.,/.,P
tôt,tôt,60
ou,ou,82
tard,tard,60
",",",",p
zut,zut,93
!,!,p
l',le,71
usurier,usurier,21
le,le,52
sifflera,siffler,15
comme,comme,83
moi,moi,51
ce,ce,74
verre,verre,21
de,de,81
vin,vin,21
/.,/.,P
tant,tant,60
mieux,mieux,60
/!,/!,P
du,de,81
du,le,71
Tillet,Tillet,20
m',je,51
a,avoir,17
joué,jouer,12
un,un,71
tour,tour,21
/…,/…,P
oh,oh,93
!,!,p
un,un,71
tour,tour,21
pendable,pendable,30
/.,/.,P
après,après,81
une,un,71
heure,heure,22
et,et,82
demie,demi,30
employée,employé,31
à,à,81
des,de,81
des,le,71
bavardages,bavardage,21
qui,qui,52
n',ne,60
avaient,avoir,18
aucun,aucun,75
sens,sens,21
",",",",p
Birotteau,Birotteau,20
voulut,vouloir,19
partir,partir,14
en,en,81
voyant,voir,13
l',le,71
ancien,ancien,30
commis voyageur,commis voyageur,21
prêt,prêt,30
à,à,81
lui,lui,51
raconter,raconter,14
l',le,71
aventure,aventure,22
d',de,81
un,un,71
représentant,représentant,21
du,de,81
du,le,71
peuple,peuple,21
à,à,81
Marseille,Marseille,20
",",",",p
amoureux,amoureux,30
d',de,81
une,un,71
actrice,actrice,22
qui,qui,52
jouait,jouer,18
le,le,71
rôle,rôle,21
de,de,81
la,le,71
belle,beau,30
Arsène,Arsène,20
et,et,82
que,que,52
le,le,71
parterre,parterre,21
royaliste,royaliste,30
sifflait,siffler,18
/.,/.,P
-,-,p
“,“,p
il,il,51
se,se,51
lève,lever,17
",",",",p
dit,dire,19
Claparon,Claparon,20
",",",",p
et,et,82
se,se,51
dresse,dresser,17
dans,dans,81
sa,son,73
loge,loge,22
:,:,p
<Arte qui l’a siblée… eu !… Si c’est oune femme - je l’amprise ; si c’est oune homme - nous se verrons ; si c’est ni l’un ni l’autte - que le troun di Diou le cure !…>,<>,<>
savez,savoir,17
vous,vous,51
comment,comment,60
a,avoir,17
fini,finir,12
l',le,17
aventure,aventure,22
/?,/?,P
adieu,adieu,21
",",",",p
monsieur,monsieur,21
",",",",p
dit,dire,19
Birotteau,Birotteau,20
/.,/.,P
-,-,p
vous,vous,51
aurez,avoir,15
à,à,81
venir,venir,14
me,je,51
voir,voir,14
",",",",p
lui,lui,51
dit,dire,19
alors,alors,60
Claparon,Claparon,20
/.,/.,P
la,le,71
première,premier,72
broche,broche,22
Cayron,Cayron,20
nous,nous,51
est,être,17
revenue,revenir,12
avec,avec,81
protêt,protêt,21
et,et,82
je,je,51
suis,être,17
endosseur,endosseur,21
",",",",p
j',je,51
ai,avoir,17
remboursé,rembourser,12
/.,/.,P
je,je,51
vais,aller,17
envoyer,envoyer,14
chez,chez,81
vous,vous,51
",",",",p
car,car,82
les,le,71
affaires,affaire,22
avant,avant,81
tout,tout,52
/.,/.,P
Birotteau,Birotteau,20
se,se,51
sentit,sentir,19
atteint,atteint,31
aussi,aussi,60
avant,avant,81
dans,dans,81
le,le,71
coeur,coeur,21
par,par,81
cette,ce,74
froide,froid,30
et,et,82
grimacière,grimacier,30
obligeance,obligeance,22
que,que,52
par,par,81
la,le,71
dureté,dureté,22
de,de,81
Keller,Keller,20
et,et,82
par,par,81
la,le,71
raillerie,raillerie,22
allemande,allemand,30
de,de,81
Nucingen,Nucingen,20
/.,/.,P
la,le,71
familiarité,familiarité,22
de,de,81
cet,ce,74
homme,homme,21
et,et,82
ses,son,73
grotesques,grotesque,30
confidences,confidence,22
allumées,allumé,31
par,par,81
le,le,71
vin,vin,21
de,de,81
Champagne,Champagne,20
avaient,avoir,18
flétri,flétrir,12
l',le,71
âme,âme,22
de,de,81
l',le,71
honnête,honnête,30
parfumeur,parfumeur,21
qui,qui,52
crut,croire,19
sortir,sortir,14
d',de,81
un,un,71
mauvais,mauvais,30
lieu,lieu,21
financier,financier,30
/.,/.,P
il,il,51
descendit,descendre,19
l',le,71
escalier,escalier,21
",",",",p
se,se,51
trouva,trouver,19
dans,dans,81
les,le,71
rues,rue,22
",",",",p
sans,sans,81
savoir,savoir,14
où,où,60
il,il,51
allait,aller,18
/.,/.,P
il,il,51
continua,continuer,19
les,le,71
boulevards,boulevard,21
",",",",p
