11813
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixantième extrait>,<>,<>
",",",",p
en,en,81
manches,manche,22
de,de,81
chemise,chemise,22
",",",",p
sortant,sortir,13
de,de,81
l',le,71
arrière-boutique,arrière-boutique,22
avec,avec,81
la,le,71
tête,tête,22
ennuyée,ennuyé,31
d',de,81
un,un,71
mari,mari,21
qu',que,52
on,on,51
dérange,déranger,17
;,;,p
et,et,82
il,il,51
répondait,répondre,18
pour,pour,81
Coupeau,Coupeau,20
",",",",p
il,il,51
disait,dire,18
que,que,83
c',ce,52
était,être,18
la,le,71
même,même,75
chose,chose,22
/.,/.,P
entre,entre,81
ces,ce,74
deux,deux,72
messieurs,monsieur,21
",",",",p
Gervaise,Gervaise,20
ne,ne,60
riait,rire,18
pas,pas,60
tous,tout,75
les,le,71
jours,jour,21
/.,/.,P
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
à,à,81
se,se,51
plaindre,plaindre,14
de,de,81
sa,son,73
santé,santé,22
",",",",p
dieu,dieu,21
merci,merci,21
/!,/!,P
elle,il,51
aussi,aussi,60
devenait,devenir,18
trop,trop,60
grasse,gras,30
/.,/.,P
mais,mais,82
deux,deux,72
hommes,homme,21
sur,sur,81
le,le,71
dos,dos,21
",",",",p
à,à,81
soigner,soigner,14
et,et,82
à,à,81
contenter,contenter,14
",",",",p
ça,ça,52
dépassait,dépasser,18
ses,son,73
forces,force,22
",",",",p
souvent,souvent,60
/.,/.,P
ah,ah,93
/!,/!,P
dieu,dieu,21
de,de,81
dieu,dieu,21
!,!,p
un,un,71
seul,seul,30
mari,mari,21
vous,vous,51
esquinte,esquinter,17
déjà,déjà,60
assez,assez,60
le,le,71
tempérament,tempérament,21
/!,/!,P
le,le,71
pis,pis,21
était,être,18
qu',que,83
ils,ils,51
s',se,51
entendaient,entendre,18
très,très,60
bien,bien,60
",",",",p
ces,ce,74
mâtins,mâtin,21
là,là,60
/.,/.,P
jamais,jamais,60
ils,ils,51
ne,ne,60
se,se,51
disputaient,disputer,18
;,;,p
ils,ils,51
se,se,51
ricanaient,ricaner,18
dans,dans,81
la,le,71
figure,figure,22
",",",",p
le,le,71
soir,soir,21
",",",",p
après,après,81
le,le,71
dîner,dîner,21
",",",",p
les,le,71
coudes,coude,21
posés,posé,31
au,à,81
au,le,71
bord,bord,21
de,de,81
la,le,71
table,table,22
;,;,p
ils,ils,51
se,se,51
frottaient,frotter,18
l',le,71
un,un,52
contre,contre,81
l',le,71
autre,autre,52
toute,tout,75
la,le,71
journée,journée,22
",",",",p
comme,comme,83
les,le,71
chats,chat,21
qui,qui,52
cherchent,chercher,17
et,et,82
cultivent,cultiver,17
leur,leur,73
plaisir,plaisir,21
/.,/.,P
les,le,71
jours,jour,21
où,où,60
ils,ils,51
rentraient,rentrer,18
furieux,furieux,30
",",",",p
c',ce,52
était,être,18
sur,sur,81
elle,il,51
qu',que,83
ils,ils,51
tombaient,tomber,18
/.,/.,P
allez,aller,17
y,y,52
!,!,p
tapez,taper,17
sur,sur,81
la,le,71
bête,bête,22
/!,/!,P
elle,il,51
avait,avoir,18
bon,bon,30
dos,dos,21
;,;,p
ça,ça,52
les,le,52
rendait,rendre,18
meilleurs,meilleur,30
camarades,camarade,21
de,de,81
gueuler,gueuler,14
ensemble,ensemble,60
/.,/.,P
et,et,82
il,il,51
ne,ne,60
fallait,falloir,18
pas,pas,60
qu',que,83
elle,il,51
s',se,51
avisât,aviser,18
de,de,81
se,se,51
rebéquer,rebéquer,14
/.,/.,P
dans,dans,81
les,le,71
commencements,commencement,21
",",",",p
quand,quand,83
l',le,71
un,un,52
criait,crier,18
",",",",p
elle,il,51
suppliait,supplier,18
l',le,71
autre,autre,52
du,de,81
du,le,71
coin,coin,21
de,de,81
l',le,71
oeil,oeil,21
",",",",p
pour,pour,81
en,en,52
tirer,tirer,14
une,un,71
parole,parole,22
de,de,81
bonne,bon,30
amitié,amitié,22
/.,/.,P
seulement,seulement,60
",",",",p
ça,ça,52
ne,ne,60
réussissait,réussir,18
guère,guère,60
/.,/.,P
elle,il,51
filait,filer,18
doux,doux,30
maintenant,maintenant,60
",",",",p
elle,il,51
pliait,plier,18
ses,son,73
grosses,gros,30
épaules,épaule,22
",",",",p
ayant,avoir,13
compris,comprendre,12
qu',que,83
ils,ils,51
s',se,51
amusaient,amuser,18
à,à,81
la,le,52
bousculer,bousculer,14
",",",",p
tant,tant,60
elle,il,51
était,être,18
ronde,rond,30
",",",",p
une,un,71
vraie,vrai,30
boule,boule,22
/.,/.,P
Coupeau,Coupeau,20
",",",",p
très,très,60
mal,mal,60
embouché,embouché,31
",",",",p
la,le,52
traitait,traiter,18
avec,avec,81
des,de,81
des,le,71
mots,mot,21
abominables,abominable,30
/.,/.,P
Lantier,Lantier,20
",",",",p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
choisissait,choisir,18
ses,son,73
sottises,sottise,22
",",",",p
allait,aller,18
chercher,chercher,14
les,le,71
mots,mot,21
que,que,52
personne,personne,52
ne,ne,60
dit,dire,17
et,et,82
qui,qui,52
la,le,52
blessaient,blesser,18
plus,plus,60
encore,encore,60
/.,/.,P
heureusement,heureusement,60
",",",",p
on,on,51
s',se,51
accoutume,accoutumer,17
à,à,81
tout,tout,52
;,;,p
les,le,71
mauvaises,mauvais,30
paroles,parole,22
",",",",p
les,le,71
injustices,injustice,22
des,de,81
des,le,71
deux,deux,72
hommes,homme,21
finissaient,finir,18
par,par,81
glisser,glisser,14
sur,sur,81
sa,son,73
peau,peau,22
fine,fin,30
comme,comme,83
sur,sur,81
une,un,71
toile,toile,22
cirée,ciré,31
/.,/.,P
elle,il,51
en,en,52
était,être,18
même,même,60
arrivée,arriver,12
à,à,81
les,le,52
préférer,préférer,14
en,en,81
colère,colère,22
",",",",p
parce que,parce que,83
",",",",p
les,le,71
fois,fois,22
où,où,60
ils,ils,51
faisaient,faire,18
les,le,71
gentils,gentil,30
",",",",p
ils,ils,51
l',le,52
assommaient,assommer,18
davantage,davantage,60
",",",",p
toujours,toujours,60
après,après,81
elle,il,51
",",",",p
ne,ne,60
lui,lui,51
laissant,laisser,13
plus,plus,60
repasser,repasser,14
un,un,71
bonnet,bonnet,21
tranquillement,tranquillement,60
/.,/.,P
alors,alors,60
",",",",p
ils,ils,51
lui,lui,51
demandaient,demander,18
des,de,81
des,le,71
petits,petit,30
plats,plat,21
",",",",p
elle,il,51
devait,devoir,18
saler,saler,14
et,et,82
ne,ne,60
pas,pas,60
saler,saler,14
",",",",p
dire,dire,14
blanc,blanc,30
et,et,82
dire,dire,14
noir,noir,30
",",",",p
les,le,52
dorloter,dorloter,14
",",",",p
les,le,52
coucher,coucher,14
l',le,71
un,un,52
après,après,81
l',le,71
autre,autre,52
dans,dans,81
du,de,81
du,le,71
coton,coton,21
/.,/.,P
au,à,81
au,le,71
bout,bout,21
de,de,81
la,le,71
semaine,semaine,22
",",",",p
elle,il,51
avait,avoir,18
la,le,71
tête,tête,22
et,et,82
les,le,71
membres,membre,21
cassés,cassé,31
",",",",p
elle,il,51
restait,rester,18
hébétée,hébété,30
",",",",p
avec,avec,81
des,de,81
des,le,71
yeux,oeil,21
de,de,81
folle,folle,22
/.,/.,P
ça,ça,52
use,user,17
une,un,71
femme,femme,22
",",",",p
un,un,71
métier,métier,21
pareil,pareil,30
/.,/.,P
oui,oui,60
",",",",p
Coupeau,Coupeau,20
et,et,82
Lantier,Lantier,20
l',le,52
usaient,user,18
",",",",p
c',ce,52
était,être,18
le,le,71
mot,mot,21
;,;,p
ils,ils,51
la,le,52
brûlaient,brûler,18
par,par,81
les,le,71
deux,deux,72
bouts,bout,21
",",",",p
comme,comme,83
on,on,51
dit,dire,17
de,de,81
la,le,71
chandelle,chandelle,22
/.,/.,P
bien,bien,60
sûr,sûr,30
",",",",p
le,le,71
zingueur,zingueur,21
manquait,manquer,18
d',de,81
instruction,instruction,22
;,;,p
mais,mais,82
le,le,71
chapelier,chapelier,21
en,en,52
avait,avoir,18
trop,trop,60
",",",",p
ou,ou,82
du,de,81
du,le,71
moins,moins,60
il,il,51
avait,avoir,18
une,un,71
instruction,instruction,22
comme,comme,83
les,le,71
gens,gens,21
pas,pas,60
propres,propre,30
ont,avoir,17
une,un,71
chemise,chemise,22
blanche,blanc,30
avec,avec,81
de,de,81
la,le,71
crasse,crasse,22
par-dessous,par-dessous,60
/.,/.,P
une,un,71
nuit,nuit,22
",",",",p
elle,il,51
rêva,rêver,19
qu',que,83
elle,il,51
était,être,18
au,à,81
au,le,71
bord,bord,21
d',de,81
un,un,71
puits,puits,21
;,;,p
Coupeau,Coupeau,20
la,le,52
poussait,pousser,18
d',de,81
un,un,71
coup,coup,21
de,de,81
poing,poing,21
",",",",p
tandis que,tandis que,83
Lantier,Lantier,20
lui,lui,51
chatouillait,chatouiller,18
les,le,71
reins,rein,21
pour,pour,81
la,le,52
faire,faire,14
sauter,sauter,14
plus,plus,60
vite,vite,60
/.,/.,P
eh,eh,93
bien,bien,60
!,!,p
ça,ça,52
ressemblait,ressembler,18
à,à,81
sa,son,73
vie,vie,22
/.,/.,P
ah,ah,93
!,!,p
elle,il,51
était,être,18
à,à,81
bonne,bon,30
école,école,22
",",",",p
ça,ça,52
n',ne,60
avait,avoir,18
rien,rien,52
d',de,81
étonnant,étonnant,30
",",",",p
si,si,83
elle,il,51
s',se,51
avachissait,avachir,18
/.,/.,P
les,le,71
gens,gens,21
du,de,81
du,le,71
quartier,quartier,21
ne,ne,60
se,se,51
montraient,montrer,18
guère,guère,60
justes,juste,30
",",",",p
quand,quand,83
ils,ils,51
lui,lui,51
reprochaient,reprocher,18
les,le,71
vilaines,vilain,30
façons,façon,22
qu',que,52
elle,il,51
prenait,prendre,18
",",",",p
car,car,82
son,son,73
malheur,malheur,21
ne,ne,60
venait,venir,18
pas,pas,60
d',de,81
elle,il,51
/.,/.,P
parfois,parfois,60
",",",",p
lorsqu',lorsque,83
elle,il,51
réfléchissait,réfléchir,18
",",",",p
un,un,71
frisson,frisson,21
lui,lui,51
courait,courir,18
sur,sur,81
la,le,71
peau,peau,22
/.,/.,P
puis,puis,60
",",",",p
elle,il,51
pensait,penser,18
que,que,83
les,le,71
choses,chose,22
auraient,avoir,16
pu,pouvoir,12
tourner,tourner,14
plus,plus,60
mal,mal,60
encore,encore,60
/.,/.,P
il,il,51
valait,valoir,18
mieux,mieux,60
avoir,avoir,14
deux,deux,72
hommes,homme,21
",",",",p
par,par,81
exemple,exemple,21
",",",",p
que,que,83
de,de,81
perdre,perdre,14
les,le,71
deux,deux,72
bras,bras,21
/.,/.,P
et,et,82
elle,il,51
trouvait,trouver,18
sa,son,73
position,position,22
naturelle,naturel,30
",",",",p
une,un,71
position,position,22
comme,comme,83
il,il,51
y,y,52
en,en,52
a,avoir,17
tant,tant,60
;,;,p
elle,il,51
tâchait,tâcher,18
de,de,81
s',se,51
arranger,arranger,14
là dedans,là-dedans,60
un,un,71
petit,petit,30
bonheur,bonheur,21
/.,/.,P
ce,ce,52
qui,qui,52
prouvait,prouver,18
combien,combien,60
ça,ça,52
devenait,devenir,18
popote,popote,22
et,et,82
bonhomme,bonhomme,21
",",",",p
c',ce,52
était,être,18
qu',que,83
elle,il,51
ne,ne,60
détestait,détester,18
pas,pas,60
plus,plus,60
Coupeau,Coupeau,20
que,que,83
Lantier,Lantier,20
/.,/.,P
dans,dans,81
une,un,71
pièce,pièce,22
",",",",p
à,à,81
la,le,71
gaîté,gaieté,22
",",",",p
elle,il,51
avait,avoir,18
vu,voir,12
une,un,71
garce,garce,22
qui,qui,52
abominait,abominer,18
son,son,73
mari,mari,21
et,et,82
l',le,52
empoisonnait,empoisonner,18
",",",",p
à,à,81
cause,cause,22
de,de,81
son,son,73
amant,amant,21
;,;,p
et,et,82
elle,il,51
s',se,51
était,être,18
fâchée,fâcher,12
",",",",p
parce qu',parce que,83
elle,il,51
ne,ne,60
sentait,sentir,18
rien,rien,52
de,de,81
pareil,pareil,30
dans,dans,81
son,son,73
coeur,coeur,21
/.,/.,P
est,être,17
ce,ce,52
qu',que,83
il,il,51
n',ne,60
était,être,18
pas,pas,60
plus,plus,60
raisonnable,raisonnable,30
de,de,81
vivre,vivre,14
en,en,81
bon,bon,30
accord,accord,21
tous,tout,75
les,le,71
trois,trois,72
/?,/?,P
non,non,60
",",",",p
non,non,60
",",",",p
pas,pas,60
de,de,81
ces,ce,74
bêtises,bêtise,22
là,là,60
;,;,p
ça,ça,52
dérangeait,déranger,18
la,le,71
vie,vie,22
",",",",p
qui,qui,52
n',ne,60
avait,avoir,18
déjà,déjà,60
rien,rien,52
de,de,81
bien,bien,60
drôle,drôle,30
/.,/.,P
enfin,enfin,60
",",",",p
malgré,malgré,81
les,le,71
dettes,dette,22
",",",",p
malgré,malgré,81
la,le,71
misère,misère,22
qui,qui,52
les,le,52
menaçait,menacer,18
",",",",p
elle,il,51
se,se,51
serait,être,16
déclarée,déclarer,12
très,très,60
tranquille,tranquille,30
",",",",p
très,très,60
contente,content,30
",",",",p
si,si,83
le,le,71
zingueur,zingueur,21
et,et,82
le,le,71
chapelier,chapelier,21
l',le,52
avaient,avoir,18
moins,moins,60
échinée,échiner,12
et,et,82
moins,moins,60
engueulée,engueuler,12
/.,/.,P
vers,vers,81
l',le,71
automne,automne,21
",",",",p
malheureusement,malheureusement,60
",",",",p
le,le,71
ménage,ménage,21
se,se,51
gâta,gâter,19
encore,encore,60
/.,/.,P
Lantier,Lantier,20
prétendait,prétendre,18
maigrir,maigrir,14
",",",",p
faisait,faire,18
un,un,71
nez,nez,21
qui,qui,52
s',se,51
allongeait,allonger,18
chaque,chaque,75
jour,jour,21
/.,/.,P
il,il,51
renaudait,renauder,18
à,à,81
propos,propos,21
de,de,81
tout,tout,52
",",",",p
renâclait,renâcler,18
sur,sur,81
les,le,71
potées,potée,22
de,de,81
pommes,pomme,22
de,de,81
terre,terre,22
",",",",p
une,un,71
ratatouille,ratatouille,22
dont,dont,52
il,il,51
ne,ne,60
pouvait,pouvoir,18
pas,pas,60
manger,manger,14
",",",",p
disait,dire,18
il,il,51
",",",",p
sans,sans,81
avoir,avoir,14
des,de,81
des,le,71
coliques,colique,22
/.,/.,P
les,le,71
moindres,moindre,30
bisbilles,bisbille,22
",",",",p
maintenant,maintenant,60
",",",",p
finissaient,finir,18
par,par,81
des,de,81
des,le,71
attrapages,attrapage,21
",",",",p
où,où,60
l',l',94
on,on,51
se,se,51
jetait,jeter,18
la,le,71
débine,débine,22
de,de,81
la,le,71
maison,maison,22
à,à,81
la,le,71
tête,tête,22
;,;,p
et,et,82
c',ce,52
était,être,18
le,le,71
diable,diable,21
pour,pour,81
se,se,51
rabibocher,rabibocher,14
",",",",p
avant,avant,81
d',de,81
aller,aller,14
pioncer,pioncer,14
chacun,chacun,52
dans,dans,81
son,son,73
dodo,dodo,21
/.,/.,P
quand,quand,83
il,il,51
n',ne,60
y,y,52
a,avoir,17
plus,plus,60
de,de,81
son,son,21
",",",",p
les,le,71
ânes,âne,21
se,se,51
battent,battre,17
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
Lantier,Lantier,20
flairait,flairer,18
la,le,71
panne,panne,22
;,;,p
ça,ça,52
l',le,52
exaspérait,exaspérer,18
de,de,81
sentir,sentir,14
la,le,71
maison,maison,22
déjà,déjà,60
mangée,mangé,31
",",",",p
si,si,60
bien,bien,60
nettoyée,nettoyé,31
",",",",p
qu',que,83
il,il,51
voyait,voir,18
le,le,71
jour,jour,21
où,où,60
il,il,51
lui,lui,51
faudrait,falloir,16
prendre,prendre,14
son,son,73
chapeau,chapeau,21
et,et,82
chercher,chercher,14
ailleurs,ailleurs,60
la,le,71
niche,niche,22
et,et,82
la,le,71
pâtée,pâtée,22
/.,/.,P
il,il,51
était,être,18
bien,bien,60
accoutumé,accoutumer,12
à,à,81
son,son,73
trou,trou,21
",",",",p
ayant,avoir,13
pris,prendre,12
là,là,60
ses,son,73
petites,petit,30
habitudes,habitude,22
",",",",p
dorloté,dorloté,31
par,par,81
tout,tout,75
le,le,71
monde,monde,21
;,;,p
un,un,71
vrai,vrai,30
pays,pays,21
de,de,81
cocagne,cocagne,22
",",",",p
dont,dont,52
il,il,51
ne,ne,60
remplacerait,remplacer,16
jamais,jamais,60
les,le,71
douceurs,douceur,22
/.,/.,P
dame,dame,22
!,!,p
on,on,51
ne,ne,60
peut,pouvoir,17
pas,pas,60
s',se,51
être,être,14
empli,emplir,12
jusqu',jusque,81
aux,à,81
aux,le,71
oreilles,oreille,22
et,et,82
avoir,avoir,14
encore,encore,60
les,le,71
morceaux,morceau,21
sur,sur,81
son,son,73
assiette,assiette,22
/.,/.,P
il,il,51
se,se,51
mettait,mettre,18
en,en,81
colère,colère,22
contre,contre,81
son,son,73
ventre,ventre,21
",",",",p
après,après,81
tout,tout,52
",",",",p
puisque,puisque,83
la,le,71
maison,maison,22
à,à,81
cette,ce,74
heure,heure,22
était,être,18
dans,dans,81
son,son,73
ventre,ventre,21
/.,/.,P
mais,mais,82
il,il,51
ne,ne,60
raisonnait,raisonner,18
point,point,60
ainsi,ainsi,60
;,;,p
il,il,51
gardait,garder,18
aux,à,81
aux,le,71
autres,autre,52
une,un,71
fière,fier,30
rancune,rancune,22
de,de,81
s',se,51
être,être,14
laissé,laisser,12
rafaler,rafaler,14
en,en,81
deux,deux,72
ans,an,21
/.,/.,P
vrai,vrai,60
",",",",p
les,le,71
Coupeau,Coupeau,20
n',ne,60
étaient,être,18
guère,guère,60
râblés,râblé,30
/.,/.,P
alors,alors,60
",",",",p
il,il,51
cria,crier,19
que,que,83
Gervaise,Gervaise,20
manquait,manquer,18
d',de,81
économie,économie,22
/.,/.,P
tonnerre,tonnerre,21
de,de,81
dieu,dieu,21
!,!,p
qu',que,52
est,être,17
ce,ce,52
qu',que,52
on,on,51
allait,aller,18
devenir,devenir,14
/?,/?,P
juste,juste,60
les,le,71
amis,ami,21
le,le,52
lâchaient,lâcher,18
",",",",p
lorsqu',lorsque,83
il,il,51
était,être,18
sur,sur,81
le,le,71
point,point,21
de,de,81
conclure,conclure,14
une,un,71
affaire,affaire,22
superbe,superbe,30
",",",",p
six,six,72
mille,mille,72
francs,franc,21
d',de,81
appointements,appointement,21
dans,dans,81
une,un,71
fabrique,fabrique,22
",",",",p
de,de,81
quoi,quoi,52
mettre,mettre,14
toute,tout,75
la,le,71
petite,petit,30
famille,famille,22
dans,dans,81
le,le,71
luxe,luxe,21
/.,/.,P
en,en,81
décembre,décembre,21
",",",",p
un,un,71
soir,soir,21
",",",",p
on,on,51
dîna,dîner,19
par,par,81
coeur,coeur,21
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
plus,plus,60
un,un,71
radis,radis,21
/.,/.,P
Lantier,Lantier,20
",",",",p
très,très,60
sombre,sombre,30
",",",",p
sortait,sortir,18
de,de,81
bonne,bon,30
heure,heure,22
",",",",p
battait,battre,18
le,le,71
pavé,pavé,21
pour,pour,81
trouver,trouver,14
une,un,71
autre,autre,75
cambuse,cambuse,22
",",",",p
où,où,60
l',le,71
odeur,odeur,22
de,de,81
la,le,71
cuisine,cuisine,22
déridât,dérider,18
les,le,71
visages,visage,21
/.,/.,P
il,il,51
restait,rester,18
des,de,81
des,le,71
heures,heure,22
à,à,81
réfléchir,réfléchir,14
",",",",p
près,près,81
de,de,81
la,le,71
mécanique,mécanique,22
/.,/.,P
puis,puis,60
",",",",p
tout,tout,60
d',de,81
un,un,71
coup,coup,21
",",",",p
il,il,51
montra,montrer,19
une,un,71
grande,grand,30
amitié,amitié,22
pour,pour,81
les,le,71
Poisson,Poisson,20
/.,/.,P
il,il,51
ne,ne,60
blaguait,blaguer,18
plus,plus,60
le,le,71
sergent,sergent,21
de,de,81
ville,ville,22
en,en,81
l',le,52
appelant,appeler,13
Badingue,Badingue,20
",",",",p
allait,aller,18
jusqu',jusque,81
à,à,81
lui,lui,51
concéder,concéder,14
que,que,83
l',le,71
empereur,empereur,21
était,être,18
un,un,71
bon,bon,30
garçon,garçon,21
",",",",p
peut-être,peut-être,60
/.,/.,P
il,il,51
paraissait,paraître,18
surtout,surtout,60
estimer,estimer,14
Virginie,Virginie,20
",",",",p
une,un,71
femme,femme,22
de,de,81
tête,tête,22
",",",",p
disait,dire,18
il,il,51
",",",",p
et,et,82
qui,qui,52
saurait,savoir,16
joliment,joliment,60
mener,mener,14
sa,son,73
barque,barque,22
/.,/.,P
c',ce,52
était,être,18
visible,visible,30
",",",",p
il,il,51
les,le,52
pelotait,peloter,18
/.,/.,P
même,même,60
on,on,51
pouvait,pouvoir,18
croire,croire,14
qu',que,83
il,il,51
voulait,vouloir,18
prendre,prendre,14
pension,pension,22
chez,chez,81
eux,ils,51
/.,/.,P
mais,mais,82
il,il,51
avait,avoir,18
une,un,71
caboche,caboche,22
à,à,81
double,double,30
fond,fond,21
",",",",p
beaucoup,beaucoup,60
plus,plus,60
compliquée,compliqué,31
que,que,83
ça,ça,52
/.,/.,P
Virginie,Virginie,20
lui,lui,51
ayant,avoir,13
dit,dire,12
son,son,73
désir,désir,21
de,de,81
s',se,51
établir,établir,14
marchande,marchande,22
de,de,81
quelque,quelque,75
chose,chose,22
",",",",p
il,il,51
se,se,51
roulait,rouler,18
devant,devant,81
elle,il,51
",",",",p
il,il,51
déclarait,déclarer,18
ce,ce,74
projet,projet,21
là,là,60
très,très,60
fort,fort,30
/.,/.,P
oui,oui,60
",",",",p
elle,il,51
devait,devoir,18
être,être,14
bâtie,bâtir,12
pour,pour,81
le,le,71
commerce,commerce,21
",",",",p
grande,grand,30
",",",",p
avenante,avenant,30
",",",",p
active,actif,30
/.,/.,P
oh,oh,93
!,!,p
elle,il,51
gagnerait,gagner,16
ce,ce,52
qu',que,52
elle,il,51
voudrait,vouloir,16
/.,/.,P
puisque,puisque,83
l',le,71
argent,argent,21
était,être,18
prêt,prêt,30
depuis,depuis,81
longtemps,longtemps,60
",",",",p
l',le,71
héritage,héritage,21
d',de,81
une,un,71
tante,tante,22
",",",",p
elle,il,51
avait,avoir,18
joliment,joliment,60
raison,raison,22
de,de,81
lâcher,lâcher,14
les,le,71
quatre,quatre,72
robes,robe,22
qu',que,52
elle,il,51
bâclait,bâcler,18
par,par,81
saison,saison,22
",",",",p
pour,pour,81
se,se,51
lancer,lancer,14
dans,dans,81
les,le,71
affaires,affaire,22
;,;,p
et,et,82
il,il,51
citait,citer,18
des,de,81
des,le,71
gens,gens,21
en,en,81
train,train,21
de,de,81
réaliser,réaliser,14
des,de,81
des,le,71
fortunes,fortune,22
",",",",p
la,le,71
fruitière,fruitière,22
du,de,81
du,le,71
coin,coin,21
de,de,81
la,le,71
rue,rue,22
",",",",p
une,un,71
petite,petit,30
marchande,marchande,22
de,de,81
faïence,faïence,22
du,de,81
du,le,71
boulevard,boulevard,21
extérieur,extérieur,30
;,;,p
car,car,82
le,le,71
moment,moment,21
était,être,18
superbe,superbe,30
",",",",p
on,on,51
aurait,avoir,16
vendu,vendre,12
les,le,71
balayures,balayure,22
des,de,81
des,le,71
comptoirs,comptoir,21
/.,/.,P
cependant,cependant,82
",",",",p
Virginie,Virginie,20
hésitait,hésiter,18
;,;,p
elle,il,51
cherchait,chercher,18
une,un,71
boutique,boutique,22
à,à,81
louer,louer,14
",",",",p
elle,il,51
désirait,désirer,18
ne,ne,60
pas,pas,60
quitter,quitter,14
le,le,71
quartier,quartier,21
/.,/.,P
alors,alors,60
",",",",p
Lantier,Lantier,20
l',le,52
emmena,emmener,19
dans,dans,81
les,le,71
coins,coin,21
",",",",p
causa,causer,19
tout,tout,60
bas,bas,60
avec,avec,81
elle,il,51
pendant,pendant,81
des,de,81
des,le,71
dix,dix,72
minutes,minute,22
/.,/.,P
il,il,51
semblait,sembler,18
lui,lui,51
pousser,pousser,14
quelque,quelque,75
chose,chose,22
de,de,81
force,force,22
",",",",p
et,et,82
elle,il,51
ne,ne,60
disait,dire,18
plus,plus,60
non,non,60
",",",",p
elle,il,51
avait,avoir,18
l',le,71
air,air,21
de,de,81
l',le,52
autoriser,autoriser,14
à,à,81
agir,agir,14
/.,/.,P
c',ce,52
était,être,18
comme,comme,83
un,un,71
secret,secret,21
entre,entre,81
eux,ils,51
",",",",p
avec,avec,81
des,de,81
des,le,71
clignements,clignement,21
d',de,81
yeux,oeil,21
",",",",p
des,de,81
des,le,71
mots,mot,21
rapides,rapide,30
",",",",p
une,un,71
sourde,sourd,30
machination,machination,22
qui,qui,52
se,se,51
trahissait,trahir,18
jusque,jusque,81
dans,dans,81
leurs,leur,73
poignées,poignée,22
de,de,81
main,main,22
/.,/.,P
dès,dès,81
ce,ce,74
moment,moment,21
",",",",p
le,le,71
chapelier,chapelier,21
",",",",p
en,en,81
mangeant,manger,13
son,son,73
pain,pain,21
sec,sec,30
",",",",p
guetta,guetter,19
les,le,71
Coupeau,Coupeau,20
de,de,81
son,son,73
regard,regard,21
en,en,81
dessous,dessous,21
",",",",p
redevenu,redevenu,31
très,très,60
parleur,parleur,21
",",",",p
les,le,52
étourdissant,étourdir,13
de,de,81
ses,son,73
jérémiades,jérémiade,22
continues,continu,30
/.,/.,P
toute,tout,75
la,le,71
journée,journée,22
",",",",p
Gervaise,Gervaise,20
marchait,marcher,18
dans,dans,81
cette,ce,74
misère,misère,22
qu',que,52
il,il,51
étalait,étaler,18
complaisamment,complaisamment,60
/.,/.,P
il,il,51
ne,ne,60
parlait,parler,18
pas,pas,60
pour,pour,81
lui,lui,51
",",",",p
grand,grand,30
dieu,dieu,21
/!,/!,P
il,il,51
crèverait,crever,16
la,le,71
faim,faim,22
avec,avec,81
les,le,71
amis,ami,21
tant,tant,60
qu',que,83
on,on,51
voudrait,vouloir,16
/.,/.,P
seulement,seulement,60
",",",",p
la,le,71
prudence,prudence,22
exigeait,exiger,18
qu',que,83
on,on,51
se,se,51
rendît,rendre,18
compte,compte,21
au,à,81
au,le,71
juste,juste,21
de,de,81
la,le,71
situation,situation,22
/.,/.,P
on,on,51
devait,devoir,18
pour,pour,81
le,le,71
moins,moins,60
cinq,cinq,72
cents,cent,72
francs,franc,21
dans,dans,81
le,le,71
quartier,quartier,21
",",",",p
au,à,81
au,le,71
boulanger,boulanger,21
",",",",p
au,à,81
au,le,71
charbonnier,charbonnier,21
",",",",p
à,à,81
l',le,71
épicier,épicier,21
et,et,82
aux,à,81
aux,le,71
autres,autre,52
/.,/.,P
de,de,81
plus,plus,60
",",",",p
on,on,51
se,se,51
trouvait,trouver,18
en,en,81
retard,retard,21
de,de,81
deux,deux,72
termes,terme,21
",",",",p
soit,soit,82
encore,encore,60
deux,deux,72
cent,cent,72
cinquante,cinquante,72
francs,franc,21
;,;,p
le,le,71
propriétaire,propriétaire,21
",",",",p
monsieur,monsieur,21
Marescot,Marescot,20
",",",",p
parlait,parler,18
même,même,60
de,de,81
les,le,52
expulser,expulser,14
",",",",p
s',si,83
ils,ils,51
ne,ne,60
le,le,52
payaient,payer,18
pas,pas,60
avant,avant,81
le,le,71
<Nombre 1er janvier>,<>,<>
premier,premier,72
janvier,janvier,21
<Fin nombre>,<>,<>
/.,/.,P
enfin,enfin,60
",",",",p
le,le,71
Mont-de-Piété,Mont-de-Piété,20
avait,avoir,18
tout,tout,52
pris,prendre,12
",",",",p
on,on,51
n',ne,60
aurait,avoir,16
pas,pas,60
pu,pouvoir,12
y,y,52
porter,porter,14
pour,pour,81
trois,trois,72
francs,franc,21
de,de,81
bibelots,bibelot,21
",",",",p
tellement,tellement,60
le,le,71
lavage,lavage,21
du,de,81
du,le,71
logement,logement,21
était,être,18
sérieux,sérieux,30
;,;,p
les,le,71
clous,clou,21
restaient,rester,18
aux,à,81
aux,le,71
