11960
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatrième extrait>,<>,<>
un,un,72
million,million,21
de,de,81
fois,fois,22
plus,plus,60
gros,gros,60
que,que,83
la,le,71
terre,terre,22
",",",",p
Sirius,Sirius,20
a,avoir,17
douze,douze,72
fois,fois,22
la,le,71
grandeur,grandeur,22
du,de,81
du,le,71
soleil,soleil,21
",",",",p
des,de,81
des,le,71
comètes,comète,22
mesurent,mesurer,17
trente,trente,72
quatre,quatre,72
millions,million,21
de,de,81
lieues,lieue,22
/!,/!,P
c',ce,52
est,être,17
à,à,81
rendre,rendre,14
fou,fou,30
“,“,p
dit,dire,19
Bouvard,Bouvard,20
/.,/.,P
il,il,51
déplora,déplorer,19
son,son,73
ignorance,ignorance,22
et,et,82
même,même,60
regrettait,regretter,18
de,de,81
n',ne,60
avoir,avoir,14
pas,pas,60
été,être,12
",",",",p
dans,dans,81
sa,son,73
jeunesse,jeunesse,22
",",",",p
à,à,81
l',le,71
école,école,22
Polytechnique,Polytechnique,20
/.,/.,P
alors,alors,60
Pécuchet,Pécuchet,20
le,le,71
tournant,tournant,21
vers,vers,81
la,le,71
Grande Ourse,Grande Ourse,20
",",",",p
lui,lui,51
montra,montrer,19
l',le,71
étoile,étoile,22
polaire,polaire,30
",",",",p
puis,puis,60
Cassiopée,Cassiopée,20
dont,dont,52
la,le,71
constellation,constellation,22
forme,former,17
un,un,71
Y,Y,20
",",",",p
Véga,Véga,20
de,de,81
la,le,71
Lyre,Lyre,20
toute,tout,60
scintillante,scintillant,30
",",",",p
et,et,82
au,à,81
au,le,71
bas,bas,21
de,de,81
l',le,71
horizon,horizon,21
",",",",p
le,le,71
rouge,rouge,21
Aldebaran,Aldebaran,20
/.,/.,P
Bouvard,Bouvard,20
",",",",p
la,le,71
tête,tête,22
renversée,renversé,31
",",",",p
suivait,suivre,18
péniblement,péniblement,60
les,le,71
triangles,triangle,21
",",",",p
quadrilatères,quadrilatère,21
et,et,82
pentagones,pentagone,21
qu',que,52
il,il,51
faut,falloir,17
imaginer,imaginer,14
pour,pour,81
se,se,51
reconnaître,reconnaître,14
dans,dans,81
le,le,71
ciel,ciel,21
/.,/.,P
Pécuchet,Pécuchet,20
continua,continuer,19
:,:,p
-,-,p
“,“,p
la,le,71
vitesse,vitesse,22
de,de,81
la,le,71
lumière,lumière,22
est,être,17
de,de,81
quatre,quatre,72
vingt,vingt,72
mille,mille,72
lieues,lieue,22
dans,dans,81
une,un,71
seconde,seconde,22
/.,/.,P
un,un,71
rayon,rayon,21
de,de,81
la,le,71
voie,voie,22
lactée,lacté,30
met,mettre,17
six,six,72
siècles,siècle,21
à,à,81
nous,nous,51
parvenir,parvenir,14
-,-,p
si,si,60
bien,bien,60
qu',que,83
une,un,71
étoile,étoile,22
",",",",p
quand,quand,83
on,on,51
l',le,52
observe,observer,17
",",",",p
peut,pouvoir,17
avoir,avoir,14
disparu,disparaître,12
/.,/.,P
plusieurs,plusieurs,75
sont,être,17
intermittentes,intermittent,30
",",",",p
d',de,81
autres,autre,52
ne,ne,60
reviennent,revenir,17
jamais,jamais,60
;,;,p
-,-,p
et,et,82
elles,ils,51
changent,changer,17
de,de,81
position,position,22
;,;,p
tout,tout,52
s',se,51
agite,agiter,17
",",",",p
tout,tout,52
passe,passer,17
/.,/.,P
“,“,p
-,-,p
“,“,p
cependant,cependant,82
",",",",p
le,le,71
soleil,soleil,21
est,être,17
immobile,immobile,30
/?,/?,P
on,on,51
le,le,52
croyait,croire,18
autrefois,autrefois,60
/.,/.,P
mais,mais,82
les,le,71
savants,savant,21
aujourd'hui,aujourd'hui,60
",",",",p
annoncent,annoncer,17
qu',que,83
il,il,51
se,se,51
précipite,précipiter,17
vers,vers,81
la,le,71
constellation,constellation,22
d',de,81
Hercule,Hercule,20
/!,/!,P
cela,cela,52
dérangeait,déranger,18
les,le,71
idées,idée,22
de,de,81
Bouvard,Bouvard,20
-,-,p
et,et,82
après,après,81
une,un,71
minute,minute,22
de,de,81
réflexion,réflexion,22
:,:,p
-,-,p
“,“,p
la,le,71
science,science,22
est,être,17
faite,faire,12
",",",",p
suivant,suivant,81
les,le,71
données,donnée,22
fournies,fourni,31
par,par,81
un,un,71
coin,coin,21
de,de,81
l',le,71
étendue,étendue,22
/.,/.,P
peut-être,peut-être,60
ne,ne,60
convient,convenir,17
elle,il,51
pas,pas,60
à,à,81
tout,tout,75
le,le,71
reste,reste,21
qu',que,83
on,on,51
ignore,ignorer,17
",",",",p
qui,qui,52
est,être,17
beaucoup,beaucoup,60
plus,plus,60
grand,grand,30
",",",",p
et,et,82
qu',que,52
on,on,51
ne,ne,60
peut,pouvoir,17
découvrir,découvrir,14
/.,/.,P
“,“,p
ils,ils,51
parlaient,parler,18
ainsi,ainsi,60
",",",",p
debout,debout,60
sur,sur,81
le,le,71
vigneau,vigneau,21
",",",",p
à,à,81
la,le,71
lueur,lueur,22
des,de,81
des,le,71
astres,astre,21
-,-,p
et,et,82
leurs,leur,73
discours,discours,21
étaient,être,18
coupés,couper,12
par,par,81
de,de,81
longs,long,30
silences,silence,21
/.,/.,P
enfin,enfin,60
ils,ils,51
se,se,51
demandèrent,demander,19
s',si,83
il,il,51
y,y,52
avait,avoir,18
des,de,81
des,le,71
hommes,homme,21
dans,dans,81
les,le,71
étoiles,étoile,22
/.,/.,P
pourquoi,pourquoi,60
pas,pas,60
/?,/?,P
et,et,82
comme,comme,83
la,le,71
création,création,22
est,être,17
harmonique,harmonique,30
",",",",p
les,le,71
habitants,habitant,21
de,de,81
Sirius,Sirius,20
devaient,devoir,18
être,être,14
démesurés,démesuré,30
",",",",p
ceux,celui,52
de,de,81
Mars,Mars,20
d',de,81
une,un,71
taille,taille,22
moyenne,moyen,30
",",",",p
ceux,celui,52
de,de,81
Vénus,Vénus,20
très,très,60
petits,petit,30
/.,/.,P
à,à,81
moins,moins,60
que,que,83
ce,ce,52
ne,ne,60
soit,être,17
partout,partout,60
la,le,71
même,même,75
chose,chose,22
/?,/?,P
il,il,51
existe,exister,17
là-haut,là-haut,60
des,de,81
des,le,71
commerçants,commerçant,21
",",",",p
des,de,81
des,le,71
gendarmes,gendarme,21
;,;,p
on,on,51
y,y,52
trafique,trafiquer,17
",",",",p
on,on,51
s',se,51
y,y,52
bat,battre,17
",",",",p
on,on,51
y,y,52
détrône,détrôner,17
des,de,81
des,le,71
rois,roi,21
!,!,p
/…,/…,P
quelques,quelque,75
étoiles,étoile,22
filantes,filant,30
glissèrent,glisser,19
tout,tout,60
à,à,81
coup,coup,21
",",",",p
décrivant,décrire,13
sur,sur,81
le,le,71
ciel,ciel,21
comme,comme,83
la,le,71
parabole,parabole,22
d',de,81
une,un,71
monstrueuse,monstrueux,30
fusée,fusée,22
/.,/.,P
-,-,p
“,“,p
tiens,tenir,17
!,!,p
dit,dire,19
Bouvard,Bouvard,20
“,“,p
voilà,voilà,81
des,de,81
des,le,71
mondes,monde,21
qui,qui,52
disparaissent,disparaître,17
/.,/.,P
“,“,p
Pécuchet,Pécuchet,20
reprit,reprendre,19
:,:,p
-,-,p
“,“,p
si,si,83
le,le,71
nôtre,nôtre,52
",",",",p
à,à,81
son,son,73
tour,tour,21
",",",",p
faisait,faire,18
la,le,71
cabriole,cabriole,22
",",",",p
les,le,71
citoyens,citoyen,21
des,de,81
des,le,71
étoiles,étoile,22
ne,ne,60
seraient,être,16
pas,pas,60
plus,plus,60
émus,émouvoir,12
que,que,83
nous,nous,51
ne,ne,60
le,le,52
sommes,être,17
maintenant,maintenant,60
/!,/!,P
de,de,81
pareilles,pareil,30
idées,idée,22
vous,vous,51
renfoncent,renfoncer,17
l',le,71
orgueil,orgueil,21
/.,/.,P
“,“,p
-,-,p
“,“,p
quel,quel,52
est,être,17
le,le,71
but,but,21
de,de,81
tout,tout,75
cela,cela,52
/?,/?,P
peut-être,peut-être,60
qu',que,83
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
de,de,81
but,but,21
/?,/?,P
cependant,cependant,82
!,!,p
et,et,82
Pécuchet,Pécuchet,20
répéta,répéter,19
deux,deux,72
ou,ou,82
trois,trois,72
fois,fois,22
“,“,p
cependant,cependant,82
“,“,p
sans,sans,81
trouver,trouver,14
rien,rien,52
de,de,81
plus,plus,60
à,à,81
dire,dire,14
/.,/.,P
-,-,p
“,“,p
n',ne,60
importe,importer,17
!,!,p
je,je,51
voudrais,vouloir,16
bien,bien,60
savoir,savoir,14
comment,comment,60
l',le,71
univers,univers,21
s',se,51
est,être,17
fait,faire,12
/!,/!,P
cela,cela,52
doit,devoir,17
être,être,14
dans,dans,81
Buffon,Buffon,20
!,!,p
répondit,répondre,19
Bouvard,Bouvard,20
",",",",p
dont,dont,52
les,le,71
yeux,oeil,21
se,se,51
fermaient,fermer,18
/.,/.,P
“,“,p
je,je,51
n',ne,60
en,en,52
peux,pouvoir,17
plus,plus,60
!,!,p
je,je,51
vais,aller,17
me,je,51
coucher,coucher,14
/!,/!,P
les,le,71
époques,époque,22
de,de,81
la,le,71
nature,nature,22
leur,leur,52
apprirent,apprendre,19
qu',que,83
une,un,71
comète,comète,22
",",",",p
en,en,81
heurtant,heurter,13
le,le,71
soleil,soleil,21
",",",",p
en,en,52
avait,avoir,18
détaché,détacher,12
une,un,71
portion,portion,22
",",",",p
qui,qui,52
devint,devenir,19
la,le,71
terre,terre,22
/.,/.,P
d'abord,d'abord,60
les,le,71
pôles,pôle,21
s',se,51
étaient,être,18
refroidis,refroidir,12
/.,/.,P
toutes,tout,75
les,le,71
eaux,eau,22
avaient,avoir,18
enveloppé,envelopper,12
le,le,71
globe,globe,21
/.,/.,P
elles,ils,51
s',se,51
étaient,être,18
retirées,retirer,12
dans,dans,81
les,le,71
cavernes,caverne,22
;,;,p
puis,puis,60
les,le,71
continents,continent,21
se,se,51
divisèrent,diviser,19
",",",",p
les,le,71
animaux,animal,21
et,et,82
l',le,71
homme,homme,21
parurent,paraître,19
/.,/.,P
la,le,71
majesté,majesté,22
de,de,81
la,le,71
création,création,22
leur,leur,52
causa,causer,19
un,un,71
ébahissement,ébahissement,21
",",",",p
infini,infini,21
comme,comme,83
elle,il,51
/.,/.,P
leur,leur,73
tête,tête,22
s',se,51
élargissait,élargir,18
/.,/.,P
ils,ils,51
étaient,être,18
fiers,fier,30
de,de,81
réfléchir,réfléchir,14
sur,sur,81
de,de,81
si,si,60
grands,grand,30
objets,objet,21
/.,/.,P
les,le,71
minéraux,minéral,21
ne,ne,60
tardèrent,tarder,19
pas,pas,60
à,à,81
les,le,52
fatiguer,fatiguer,14
;,;,p
-,-,p
et,et,82
ils,ils,51
recoururent,recourir,19
comme,comme,83
distraction,distraction,22
",",",",p
aux,à,81
aux,le,71
harmonies,harmonie,22
de,de,81
Bernardin,Bernardin,20
de,de,81
Saint-Pierre,Saint-Pierre,20
/.,/.,P
harmonies,harmonie,22
végétales,végétal,30
et,et,82
terrestres,terrestre,30
",",",",p
aériennes,aérien,30
",",",",p
aquatiques,aquatique,30
",",",",p
humaines,humain,30
",",",",p
fraternelles,fraternel,30
et,et,82
même,même,60
conjugales,conjugal,30
",",",",p
tout,tout,52
y,y,52
passa,passer,19
-,-,p
sans,sans,81
omettre,omettre,14
les,le,71
invocations,invocation,22
à,à,81
Vénus,Vénus,20
",",",",p
aux,à,81
aux,le,71
Zéphyrs,Zéphir,20
et,et,82
aux,à,81
aux,le,71
amours,amour,21
/!,/!,P
ils,ils,51
s',se,51
étonnaient,étonner,18
que,que,83
les,le,71
poissons,poisson,21
eussent,avoir,18
des,de,81
des,le,71
nageoires,nageoire,22
",",",",p
les,le,71
oiseaux,oiseau,21
des,de,81
des,le,71
ailes,aile,22
",",",",p
les,le,71
semences,semence,22
une,un,71
enveloppe,enveloppe,22
-,-,p
pleins,plein,21
de,de,81
cette,ce,74
philosophie,philosophie,22
qui,qui,52
découvre,découvrir,17
dans,dans,81
la,le,71
nature,nature,22
des,de,81
des,le,71
intentions,intention,22
vertueuses,vertueux,30
et,et,82
la,le,52
considère,considérer,17
comme,comme,83
une,un,71
espèce,espèce,22
de,de,81
saint,saint,30
Vincent,Vincent,20
de,de,81
Paul,Paul,20
",",",",p
toujours,toujours,60
occupé,occupé,31
à,à,81
répandre,répandre,14
des,de,81
des,le,71
bienfaits,bienfait,21
/!,/!,P
ils,ils,51
admirèrent,admirer,19
ensuite,ensuite,60
ses,son,73
prodiges,prodige,21
",",",",p
les,le,71
trombes,trombe,22
",",",",p
les,le,71
volcans,volcan,21
",",",",p
les,le,71
forêts,forêt,22
vierges,vierge,30
;,;,p
-,-,p
et,et,82
ils,ils,51
achetèrent,acheter,19
l',le,71
ouvrage,ouvrage,21
de,de,81
monsieur,monsieur,21
Depping,Depping,20
sur,sur,81
les,le,71
merveilles,merveille,22
et,et,82
beautés,beauté,22
de,de,81
la,le,71
nature,nature,22
en,en,81
France,France,20
/.,/.,P
le,le,71
Cantal,Cantal,20
en,en,52
possède,posséder,17
trois,trois,72
",",",",p
l',le,71
Hérault,Hérault,20
cinq,cinq,72
",",",",p
la,le,71
Bourgogne,Bourgogne,20
deux,deux,72
-,-,p
pas,pas,60
davantage,davantage,60
-,-,p
tandis que,tandis que,83
le,le,71
Dauphiné,Dauphiné,20
compte,compter,17
à,à,81
lui,lui,51
seul,seul,30
jusqu',jusque,81
à,à,81
quinze,quinze,72
merveilles,merveille,22
/!,/!,P
mais,mais,82
bientôt,bientôt,60
",",",",p
on,on,51
n',ne,60
en,en,52
trouvera,trouver,15
plus,plus,60
/!,/!,P
les,le,71
grottes,grotte,22
à,à,81
stalactites,stalactite,22
se,se,51
bouchent,boucher,17
",",",",p
les,le,71
montagnes,montagne,22
ardentes,ardent,30
s',se,51
éteignent,éteindre,17
",",",",p
les,le,71
glacières,glacière,22
naturelles,naturel,30
s',se,51
échauffent,échauffer,17
;,;,p
-,-,p
et,et,82
les,le,71
vieux,vieux,30
arbres,arbre,21
dans,dans,81
lesquels,lequel,52
on,on,51
disait,dire,18
la,le,71
messe,messe,22
tombent,tomber,17
sous,sous,81
la,le,71
cognée,cognée,22
des,de,81
des,le,71
niveleurs,niveleur,21
",",",",p
ou,ou,82
sont,être,17
en,en,81
train,train,21
de,de,81
mourir,mourir,14
/.,/.,P
puis,puis,60
leur,leur,73
curiosité,curiosité,22
se,se,51
tourna,tourner,19
vers,vers,81
les,le,71
bêtes,bête,22
/.,/.,P
ils,ils,51
rouvrirent,rouvrir,19
leur,leur,73
Buffon,Buffon,20
et,et,82
s',se,51
extasièrent,extasier,19
devant,devant,81
les,le,71
goûts,goût,21
bizarres,bizarre,30
de,de,81
certains,certain,75
animaux,animal,21
/.,/.,P
mais,mais,82
tous,tout,75
les,le,71
livres,livre,21
ne,ne,60
valant,valoir,13
pas,pas,60
une,un,71
observation,observation,22
personnelle,personnel,30
",",",",p
ils,ils,51
entraient,entrer,18
dans,dans,81
les,le,71
cours,cour,22
",",",",p
et,et,82
demandaient,demander,18
aux,à,81
aux,le,71
laboureurs,laboureur,21
s',si,83
ils,ils,51
avaient,avoir,18
vu,voir,12
des,de,81
des,le,71
taureaux,taureau,21
se,se,51
joindre,joindre,14
à,à,81
des,de,81
des,le,71
juments,jument,22
",",",",p
les,le,71
cochons,cochon,21
rechercher,rechercher,14
les,le,71
vaches,vache,22
",",",",p
et,et,82
les,le,71
mâles,mâle,21
des,de,81
des,le,71
perdrix,perdrix,22
commettre,commettre,14
entre,entre,81
eux,ils,51
des,de,81
des,le,71
turpitudes,turpitude,22
/.,/.,P
-,-,p
“,“,p
jamais,jamais,60
de,de,81
la,le,71
vie,vie,22
/!,/!,P
on,on,51
trouvait,trouver,18
même,même,60
ces,ce,74
questions,question,22
un,un,71
peu,peu,60
drôles,drôle,30
pour,pour,81
des,de,81
des,le,71
messieurs,monsieur,21
de,de,81
leur,leur,73
âge,âge,21
/.,/.,P
ils,ils,51
voulurent,vouloir,19
tenter,tenter,14
des,de,81
des,le,71
alliances,alliance,22
anormales,anormal,30
/.,/.,P
la,le,71
moins,moins,60
difficile,difficile,30
est,être,17
celle,celui,52
du,de,81
du,le,71
bouc,bouc,21
et,et,82
de,de,81
la,le,71
brebis,brebis,22
/.,/.,P
leur,leur,73
fermier,fermier,21
ne,ne,60
possédait,posséder,18
pas,pas,60
de,de,81
bouc,bouc,21
/.,/.,P
une,un,71
voisine,voisine,22
prêta,prêter,19
le,le,71
sien,sien,52
;,;,p
et,et,82
l',le,71
époque,époque,22
du,de,81
du,le,71
rut,rut,21
étant,être,13
venue,venir,12
",",",",p
ils,ils,51
enfermèrent,enfermer,19
les,le,71
deux,deux,72
bêtes,bête,22
dans,dans,81
le,le,71
pressoir,pressoir,21
",",",",p
en,en,81
se,se,51
cachant,cacher,13
derrière,derrière,81
les,le,71
futailles,futaille,22
",",",",p
pour,pour,81
que,que,83
l',le,71
événement,événement,21
pût,pouvoir,18
s',se,51
accomplir,accomplir,14
en,en,81
paix,paix,22
/.,/.,P
chacune,chacun,52
",",",",p
d'abord,d'abord,60
",",",",p
mangea,manger,19
son,son,73
petit,petit,30
tas,tas,21
de,de,81
foin,foin,21
/.,/.,P
puis,puis,60
",",",",p
elles,ils,51
ruminèrent,ruminer,19
",",",",p
la,le,71
brebis,brebis,22
se,se,51
coucha,coucher,19
;,;,p
-,-,p
et,et,82
elle,il,51
bêlait,bêler,18
sans,sans,81
discontinuer,discontinuer,14
",",",",p
pendant,pendant,81
que,que,83
le,le,71
bouc,bouc,21
",",",",p
d',de,81
aplomb,aplomb,21
sur,sur,81
ses,son,73
jambes,jambe,22
torses,torse,21
",",",",p
avec,avec,81
sa,son,73
grande,grand,30
barbe,barbe,22
et,et,82
ses,son,73
oreilles,oreille,22
pendantes,pendant,30
",",",",p
fixait,fixer,18
sur,sur,81
eux,ils,51
ses,son,73
prunelles,prunelle,22
",",",",p
qui,qui,52
luisaient,luire,18
dans,dans,81
l',le,71
ombre,ombre,22
/.,/.,P
enfin,enfin,60
",",",",p
le,le,71
soir,soir,21
du,de,81
du,le,71
troisième,troisième,72
jour,jour,21
",",",",p
ils,ils,51
jugèrent,juger,19
convenable,convenable,30
de,de,81
faciliter,faciliter,14
la,le,71
nature,nature,22
/.,/.,P
mais,mais,82
le,le,71
bouc,bouc,21
se,se,51
retournant,retourner,13
contre,contre,81
Pécuchet,Pécuchet,20
",",",",p
lui,lui,51
flanqua,flanquer,19
un,un,71
coup,coup,21
de,de,81
cornes,corne,22
au,à,81
au,le,71
bas,bas,21
du,de,81
du,le,71
ventre,ventre,21
/.,/.,P
la,le,71
brebis,brebis,22
",",",",p
saisie,saisie,22
de,de,81
peur,peur,22
",",",",p
se,se,51
mit,mettre,19
à,à,81
tourner,tourner,14
dans,dans,81
le,le,71
pressoir,pressoir,21
comme,comme,83
dans,dans,81
un,un,71
manège,manège,21
/.,/.,P
Bouvard,Bouvard,20
courut,courir,19
après,après,81
",",",",p
se,se,51
jeta,jeter,19
dessus,dessus,60
pour,pour,81
la,le,52
retenir,retenir,14
",",",",p
et,et,82
tomba,tomber,19
par,par,81
terre,terre,22
avec,avec,81
des,de,81
des,le,71
poignées,poignée,22
de,de,81
laine,laine,22
dans,dans,81
les,le,71
deux,deux,72
mains,main,22
/.,/.,P
ils,ils,51
renouvelèrent,renouveler,19
leurs,leur,73
tentatives,tentative,22
sur,sur,81
des,de,81
des,le,71
poules,poule,22
et,et,82
un,un,71
canard,canard,21
",",",",p
sur,sur,81
un,un,71
dogue,dogue,21
et,et,82
une,un,71
truie,truie,22
",",",",p
avec,avec,81
l',le,71
espoir,espoir,21
qu',que,52
il,il,51
en,en,52
sortirait,sortir,16
des,de,81
des,le,71
monstres,monstre,21
et,et,82
ne,ne,60
comprenant,comprendre,13
rien,rien,52
à,à,81
la,le,71
question,question,22
de,de,81
l',le,71
espèce,espèce,22
/.,/.,P
ce,ce,74
mot,mot,21
désigne,désigner,17
un,un,71
groupe,groupe,21
d',de,81
individus,individu,21
dont,dont,52
les,le,71
descendants,descendant,21
se,se,51
reproduisent,reproduire,17
/.,/.,P
mais,mais,82
des,de,81
des,le,71
animaux,animal,21
classés,classé,31
comme,comme,83
d',de,81
espèces,espèce,22
différentes,différent,30
peuvent,pouvoir,17
se,se,51
reproduire,reproduire,14
",",",",p
et,et,82
d',de,81
autres,autre,75
compris,compris,31
dans,dans,81
la,le,71
même,même,52
en,en,52
ont,avoir,17
perdu,perdre,12
la,le,71
faculté,faculté,22
/.,/.,P
ils,ils,51
se,se,51
flattèrent,flatter,19
d',de,81
obtenir,obtenir,14
là-dessus,là-dessus,60
des,de,81
des,le,71
idées,idée,22
nettes,net,30
",",",",p
en,en,81
étudiant,étudier,13
le,le,71
développement,développement,21
des,de,81
des,le,71
germes,germe,21
;,;,p
et,et,82
Pécuchet,Pécuchet,20
écrivit,écrire,19
à,à,81
Dumouchel,Dumouchel,20
",",",",p
pour,pour,81
avoir,avoir,14
un,un,71
microscope,microscope,21
/.,/.,P
tour,tour,21
à,à,81
tour,tour,21
ils,ils,51
mirent,mettre,19
sur,sur,81
la,le,71
plaque,plaque,22
de,de,81
verre,verre,21
des,de,81
des,le,71
cheveux,cheveu,21
",",",",p
du,de,81
du,le,71
tabac,tabac,21
",",",",p
des,de,81
des,le,71
ongles,ongle,21
",",",",p
une,un,71
patte,patte,22
de,de,81
mouche,mouche,22
/.,/.,P
mais,mais,82
ils,ils,51
avaient,avoir,18
oublié,oublier,12
la,le,71
goutte,goutte,22
d',de,81
eau,eau,22
",",",",p
indispensable,indispensable,30
/.,/.,P
c',ce,52
était,être,18
",",",",p
d',de,81
autres,autre,75
fois,fois,22
",",",",p
la,le,71
petite,petit,30
lamelle,lamelle,22
;,;,p
-,-,p
et,et,82
ils,ils,51
se,se,51
poussaient,pousser,18
",",",",p
dérangeaient,déranger,18
l',le,71
instrument,instrument,21
;,;,p
puis,puis,60
",",",",p
n',ne,60
apercevant,apercevoir,13
que,que,83
du,de,81
du,le,71
brouillard,brouillard,21
accusaient,accuser,18
l',le,71
opticien,opticien,21
/.,/.,P
ils,ils,51
en,en,52
arrivèrent,arriver,19
à,à,81
douter,douter,14
du,de,81
du,le,71
microscope,microscope,21
/.,/.,P
les,le,71
découvertes,découverte,22
qu',que,52
on,on,51
lui,lui,51
attribue,attribuer,17
ne,ne,60
sont,être,17
peut-être,peut-être,60
pas,pas,60
si,si,60
positives,positif,30
/.,/.,P
Dumouchel,Dumouchel,20
",",",",p
en,en,81
leur,leur,52
adressant,adresser,13
la,le,71
facture,facture,22
",",",",p
les,le,52
pria,prier,19
de,de,81
recueillir,recueillir,14
à,à,81
son,son,73
intention,intention,22
des,de,81
des,le,71
ammonites,ammonite,22
et,et,82
des,de,81
des,le,71
oursins,oursin,21
",",",",p
curiosités,curiosité,22
dont,dont,52
il,il,51
était,être,18
toujours,toujours,60
amateur,amateur,21
",",",",p
et,et,82
fréquentes,fréquent,30
dans,dans,81
leur,leur,73
pays,pays,21
/.,/.,P
pour,pour,81
les,le,52
exciter,exciter,14
à,à,81
la,le,71
géologie,géologie,22
",",",",p
il,il,51
leur,leur,52
envoyait,envoyer,18
les,le,71
lettres,lettre,22
de,de,81
Bertrand,Bertrand,20
avec,avec,81
le,le,71
discours,discours,21
de,de,81
Cuvier,Cuvier,20
sur,sur,81
les,le,71
révolutions,révolution,22
du,de,81
du,le,71
globe,globe,21
/.,/.,P
après,après,81
ces,ce,74
deux,deux,72
lectures,lecture,22
",",",",p
ils,ils,51
se,se,51
figurèrent,figurer,19
les,le,71
choses,chose,22
suivantes,suivant,30
/.,/.,P
d'abord,d'abord,60
une,un,71
immense,immense,30
nappe,napper,17
d',de,81
eau,eau,22
",",",",p
d',de,81
où,où,60
émergeaient,émerger,18
des,de,81
des,le,71
promontoires,promontoire,21
",",",",p
tachetés,tacheté,31
par,par,81
des,de,81
des,le,71
lichens,lichen,21
;,;,p
et,et,82
pas,pas,60
un,un,71
être,être,21
vivant,vivant,30
",",",",p
pas,pas,60
un,un,71
cri,cri,21
;,;,p
c',ce,52
était,être,18
un,un,71
monde,monde,21
silencieux,silencieux,30
",",",",p
immobile,immobile,30
et,et,82
nu,nu,30
/.,/.,P
-,-,p
puis,puis,60
de,de,81
longues,long,30
plantes,plante,22
se,se,51
balançaient,balancer,18
dans,dans,81
un,un,71
brouillard,brouillard,21
qui,qui,52
ressemblait,ressembler,18
à,à,81
la,le,71
vapeur,vapeur,22
d',de,81
une,un,71
étuve,étuve,22
/.,/.,P
un,un,71
soleil,soleil,21
tout,tout,60
rouge,rouge,30
surchauffait,surchauffer,18
l',le,71
atmosphère,atmosphère,22
humide,humide,30
/.,/.,P
alors,alors,60
des,de,81
des,le,71
volcans,volcan,21
éclatèrent,éclater,19
",",",",p
les,le,71
roches,roche,22
ignées,igné,30
jaillissaient,jaillir,18
des,de,81
des,le,71
montagnes,montagne,22
;,;,p
et,et,82
la,le,71
pâte,pâte,22
des,de,81
des,le,71
porphyres,porphyre,21
et,et,82
des,de,81
des,le,71
basaltes,basalte,21
qui,qui,52
coulait,couler,18
",",",",p
se,se,51
figea,figer,19
/.,/.,P
-,-,p
troisième,troisième,72
tableau,tableau,21
:,:,p
dans,dans,81
des,de,81
des,le,71
mers,mer,22
peu,peu,60
profondes,profond,30
",",",",p
des,de,81
des,le,71
îles,île,22
de,de,81
madrépores,madrépore,21
ont,avoir,17
surgi,surgir,12
;,;,p
un,un,71
bouquet,bouquet,21
de,de,81
palmiers,palmier,21
",",",",p
de,de,81
place,place,22
en,en,81
place,place,22
",",",",p
les,le,52
domine,dominer,17
/.,/.,P
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
coquillages,coquillage,21
pareils,pareil,30
à,à,81
des,de,81
des,le,71
roues,roue,22
de,de,81
chariot,chariot,21
",",",",p
des,de,81
des,le,71
tortues,tortue,22
qui,qui,52
ont,avoir,17
trois,trois,72
mètres,mètre,21
",",",",p
des,de,81
des,le,71
lézards,lézard,21
de,de,81
soixante,soixante,72
pieds,pied,21
/.,/.,P
des,de,81
des,le,71
amphibies,amphibie,30
allongent,allonger,17
entre,entre,81
les,le,71
roseaux,roseau,21
leur,leur,73
col,col,21
d',de,81
autruche,autruche,22
à,à,81
mâchoire,mâchoire,22
de,de,81
crocodile,crocodile,21
/.,/.,P
des,de,81
des,le,71
serpents,serpent,21
ailés,ailé,30
s',se,51
envolent,envoler,17
/.,/.,P
-,-,p
enfin,enfin,60
",",",",p
sur,sur,81
les,le,71
grands,grand,21
continents,continent,30
",",",",p
de,de,81
grands,grand,30
mammifères,mammifère,21
parurent,paraître,19
",",",",p
les,le,71
membres,membre,21
difformes,difforme,30
comme,comme,83
des,de,81
des,le,71
pièces,pièce,22
de,de,81
bois,bois,21
mal,mal,60
équarries,équarri,31
",",",",p
le,le,71
cuir,cuir,21
plus,plus,60
épais,épais,30
que,que,83
des,de,81
des,le,71
plaques,plaque,22
de,de,81
bronze,bronze,21
",",",",p
ou,ou,82
bien,bien,60
velus,velu,30
",",",",p
lippus,lippu,30
",",",",p
avec,avec,81
des,de,81
des,le,71
crinières,crinière,22
",",",",p
et,et,82
des,de,81
des,le,71
défenses,défense,22
contournées,contourné,31
/.,/.,P
des,de,81
des,le,71
troupeaux,troupeau,21
de,de,81
mammouths,mammouth,21
broutaient,brouter,18
les,le,71
plaines,plaine,22
où,où,60
fut,être,19
depuis,depuis,81
l',le,71
Atlantique,Atlantique,20
;,;,p
le,le,71
paléothérium,paléothérium,21
",",",",p
moitié,moitié,22
cheval,cheval,21
moitié,moitié,22
tapir,tapir,14
",",",",p
bouleversait,bouleverser,18
de,de,81
son,son,73
groin,groin,21
les,le,71
fourmilières,fourmilière,22
de,de,81
Montmartre,Montmartre,20
