11698
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-sixième extrait>,<>,<> 
:,:,p
-,-,p
oui,oui,60
",",",",p
un,un,71
peu,peu,60
/.,/.,P
-,-,p
que,que,52
s',se,51
est,être,17
il,il,51
passé,passer,12
/?,/?,P
ces,ce,74
deux,deux,72
messieurs,monsieur,21
là-bas,là-bas,60
se,se,51
sont,être,17
mal,mal,60
conduits,conduire,12
avec,avec,81
moi,moi,51
/.,/.,P
-,-,p
qu',que,52
est,être,17
ce,ce,52
qu',que,52
ils,ils,51
ont,avoir,17
fait,faire,12
/?,/?,P
ils,ils,51
m',je,51
ont,avoir,17
prise,prendre,12
pour,pour,81
une,un,71
pas,pas,60
grand'chose,grand-chose,22
/.,/.,P
-,-,p
vous,vous,51
vous,vous,51
êtes,être,17
plainte,plaindre,12
au,à,81
au,le,71
patron,patron,21
/?,/?,P
elle,il,51
eut,avoir,19
un,un,71
haussement,haussement,21
d',de,81
épaules,épaule,22
désolé,désoler,12
/.,/.,P
-,-,p
oh,oh,93
!,!,p
monsieur,monsieur,21
…,…,p
le,le,71
patron,patron,21
…,…,p
le,le,71
patron,patron,21
…,…,p
je,je,51
le,le,52
connais,connaître,17
…,…,p
maintenant,maintenant,60
",",",",p
le,le,71
patron,patron,21
!,!,p
/…,/…,P
Mariolle,Mariolle,20
",",",",p
ému,ému,31
",",",",p
un,un,71
peu,peu,60
irrité,irrité,31
",",",",p
lui,lui,51
dit,dire,19
:,:,p
-,-,p
contez,conter,17
moi,moi,51
tout,tout,75
ça,ça,52
/?,/?,P
elle,il,51
conta,conter,19
les,le,71
tentatives,tentative,22
immédiates,immédiat,30
et,et,82
brutales,brutal,30
de,de,81
ces,ce,74
deux,deux,72
rapins,rapin,21
arrivés,arrivé,31
la,le,71
veille,veille,22
/.,/.,P
puis,puis,60
elle,il,51
se,se,51
remit,remettre,19
à,à,81
pleurer,pleurer,14
",",",",p
se,se,51
demandant,demander,13
ce,ce,52
qu',que,52
elle,il,51
allait,aller,18
faire,faire,14
",",",",p
perdue,perdu,31
en,en,81
ce,ce,74
pays,pays,21
",",",",p
sans,sans,81
protection,protection,22
",",",",p
sans,sans,81
appui,appui,21
",",",",p
sans,sans,81
argent,argent,21
",",",",p
sans,sans,81
ressources,ressource,22
/.,/.,P
Mariolle,Mariolle,20
lui,lui,51
proposa,proposer,19
soudain,soudain,60
:,:,p
-,-,p
voulez,vouloir,17
vous,vous,51
entrer,entrer,14
à,à,81
mon,mon,73
service,service,21
/?,/?,P
vous,vous,51
serez,être,15
bien,bien,60
traitée,traiter,12
chez,chez,81
moi,moi,51
;,;,p
et,et,82
",",",",p
quand,quand,83
je,je,51
retournerai,retourner,15
à,à,81
Paris,Paris,20
",",",",p
vous,vous,51
demeurerez,demeurer,15
libre,libre,30
de,de,81
faire,faire,14
ce,ce,52
qu',que,52
il,il,51
vous,vous,51
plaira,plaire,15
/.,/.,P
elle,il,51
le,le,52
regardait,regarder,18
en,en,81
face,face,22
",",",",p
avec,avec,81
des,de,81
des,le,71
yeux,oeil,21
interrogateurs,interrogateur,30
/.,/.,P
puis,puis,60
tout,tout,60
à,à,81
coup,coup,21
:,:,p
-,-,p
je,je,51
veux,vouloir,17
bien,bien,60
",",",",p
monsieur,monsieur,21
/.,/.,P
-,-,p
combien,combien,60
gagnez,gagner,17
vous,vous,51
ici,ici,60
/?,/?,P
soixante,soixante,72
francs,franc,21
par,par,81
mois,mois,21
/.,/.,P
elle,il,51
ajouta,ajouter,19
",",",",p
prise,pris,31
d',de,81
inquiétude,inquiétude,22
:,:,p
-,-,p
et,et,82
j',je,51
ai,avoir,17
ma,mon,73
petite,petit,30
part,part,22
des,de,81
des,le,71
pourboires,pourboire,21
en,en,81
plus,plus,60
/.,/.,P
ça,ça,52
fait,faire,17
environ,environ,60
soixante-dix,soixante-dix,72
/.,/.,P
-,-,p
je,je,51
vous,vous,51
en,en,52
donnerai,donner,15
cent,cent,72
/.,/.,P
surprise,surprise,22
",",",",p
elle,il,51
répéta,répéter,19
:,:,p
-,-,p
cent,cent,72
francs,franc,21
par,par,81
mois,mois,21
/?,/?,P
oui,oui,60
/.,/.,P
ça,ça,52
vous,vous,51
va,aller,17
/?,/?,P
je,je,51
crois,croire,17
bien,bien,60
que,que,83
ça,ça,52
me,je,51
va,aller,17
/!,/!,P
vous,vous,51
aurez,avoir,15
simplement,simplement,60
à,à,81
me,je,51
servir,servir,14
",",",",p
à,à,81
prendre,prendre,14
soin,soin,21
de,de,81
mes,mon,73
effets,effet,21
",",",",p
linge,linge,21
et,et,82
habits,habit,21
",",",",p
et,et,82
à,à,81
faire,faire,14
ma,mon,73
chambre,chambre,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
entendu,entendre,12
",",",",p
monsieur,monsieur,21
/.,/.,P
-,-,p
quand,quand,83
viendrez,venir,15
vous,vous,51
/?,/?,P
demain,demain,60
",",",",p
si,si,83
vous,vous,51
voulez,vouloir,17
/.,/.,P
après,après,81
ce,ce,52
qui,qui,52
s',se,51
est,être,17
passé,passer,12
ici,ici,60
",",",",p
j',je,51
irai,aller,15
trouver,trouver,14
le,le,71
maire,maire,21
",",",",p
et,et,82
je,je,51
m',je,51
en,en,52
irai,aller,15
de,de,81
force,force,22
/.,/.,P
Mariolle,Mariolle,20
tira,tirer,19
deux,deux,72
louis,louis,21
de,de,81
sa,son,73
poche,poche,22
",",",",p
et,et,82
",",",",p
les,le,71
lui,lui,51
donnant,donner,13
:,:,p
-,-,p
voilà,voilà,81
votre,votre,73
denier,denier,21
à,à,81
dieu,dieu,21
/.,/.,P
une,un,71
joie,joie,22
éclaira,éclairer,19
son,son,73
visage,visage,21
",",",",p
et,et,82
elle,il,51
lui,lui,51
dit,dire,19
d',de,81
un,un,71
ton,ton,21
décidé,décidé,31
:,:,p
-,-,p
je,je,51
serai,être,16
chez,chez,81
vous,vous,51
demain,demain,60
",",",",p
avant,avant,81
midi,midi,21
",",",",p
monsieur,monsieur,21
/.,/.,P
Elisabeth,Elisabeth,20
arriva,arriver,19
le,le,71
lendemain,lendemain,21
à,à,81
Montigny,Montigny,20
",",",",p
suivie,suivi,31
d',de,81
un,un,71
paysan,paysan,21
qui,qui,52
portait,porter,18
sa,son,73
malle,malle,22
dans,dans,81
une,un,71
brouette,brouette,22
/.,/.,P
Mariolle,Mariolle,20
s',se,51
était,être,18
débarrassé,débarrasser,12
d',de,81
une,un,52
de,de,81
ses,son,73
vieilles,vieille,22
en,en,81
décomposition,décomposition,22
généreusement,généreusement,60
",",",",p
et,et,82
la,le,71
nouvelle,nouveau,30
venue,venu,31
prit,prendre,19
possession,possession,22
d',de,81
une,un,71
petite,petit,30
chambre,chambre,22
",",",",p
au,à,81
au,le,71
second,second,72
étage,étage,21
",",",",p
à,à,81
côté,côté,21
de,de,81
la,le,71
cuisinière,cuisinière,22
/.,/.,P
quand,quand,83
elle,il,51
se,se,51
présenta,présenter,19
devant,devant,81
son,son,73
maître,maître,21
",",",",p
elle,il,51
lui,lui,51
parut,paraître,19
un,un,71
peu,peu,60
différente,différent,30
de,de,81
ce,ce,52
qu',que,52
elle,il,51
était,être,18
à,à,81
Marlotte,Marlotte,20
",",",",p
moins,moins,60
expansive,expansif,30
",",",",p
plus,plus,60
humble,humble,30
",",",",p
devenue,devenu,31
la,le,71
domestique,domestique,22
du,de,81
du,le,71
monsieur,monsieur,21
dont,dont,52
elle,il,51
était,être,18
presque,presque,60
la,le,71
modeste,modeste,30
amie,amie,22
sous,sous,81
la,le,71
tonnelle,tonnelle,22
de,de,81
son,son,73
auberge,auberge,22
/.,/.,P
il,il,51
lui,lui,51
indiqua,indiquer,19
en,en,81
quelques,quelque,75
mots,mot,21
ce,ce,52
qu',que,52
elle,il,51
aurait,avoir,16
à,à,81
faire,faire,14
/.,/.,P
elle,il,51
écouta,écouter,19
avec,avec,81
grand,grand,30
soin,soin,21
",",",",p
s',se,51
installa,installer,19
et,et,82
prit,prendre,19
son,son,73
service,service,21
/.,/.,P
une,un,71
semaine,semaine,22
s',se,51
écoula,écouler,19
sans,sans,81
apporter,apporter,14
dans,dans,81
l',le,71
âme,âme,22
de,de,81
Mariolle,Mariolle,20
un,un,71
appréciable,appréciable,30
changement,changement,21
/.,/.,P
il,il,51
remarqua,remarquer,19
seulement,seulement,60
qu',que,83
il,il,51
quittait,quitter,18
moins,moins,60
sa,son,73
maison,maison,22
",",",",p
car,car,82
il,il,51
n',ne,60
avait,avoir,18
plus,plus,60
le,le,71
prétexte,prétexte,21
des,de,81
des,le,71
promenades,promenade,22
à,à,81
Marlotte,Marlotte,20
",",",",p
et,et,82
qu',que,83
elle,il,51
lui,lui,51
semblait,sembler,18
peut-être,peut-être,60
moins,moins,60
lugubre,lugubre,30
que,que,83
dans,dans,81
les,le,71
premiers,premier,72
jours,jour,21
/.,/.,P
la,le,71
grande,grand,30
ardeur,ardeur,22
de,de,81
son,son,73
chagrin,chagrin,21
se,se,51
calmait,calmer,18
un,un,71
peu,peu,60
",",",",p
comme,comme,83
tout,tout,52
se,se,51
calme,calmer,17
;,;,p
mais,mais,82
",",",",p
à,à,81
la,le,71
place,place,22
de,de,81
cette,ce,74
brûlure,brûlure,22
",",",",p
naissait,naître,18
en,en,81
lui,lui,51
une,un,71
tristesse,tristesse,22
insurmontable,insurmontable,30
",",",",p
une,un,52
de,de,81
ces,ce,74
mélancolies,mélancolie,22
profondes,profond,30
pareilles,pareil,30
aux,à,81
aux,le,71
maladies,maladie,22
chroniques,chronique,30
et,et,82
lentes,lent,30
",",",",p
dont,dont,52
on,on,51
finit,finir,19
quelquefois,quelquefois,60
par,par,81
mourir,mourir,14
/.,/.,P
toute,tout,75
son,son,73
activité,activité,22
passée,passé,31
",",",",p
toute,tout,75
la,le,71
curiosité,curiosité,22
de,de,81
son,son,73
esprit,esprit,21
",",",",p
tout,tout,75
son,son,73
intérêt,intérêt,21
pour,pour,81
les,le,71
choses,chose,22
qui,qui,52
l',le,52
avaient,avoir,18
jusqu'ici,jusqu'ici,81
occupé,occuper,12
et,et,82
amusé,amuser,12
étaient,être,18
morts,mourir,12
en,en,81
lui,lui,51
",",",",p
remplacés,remplacé,31
par,par,81
un,un,71
dégoût,dégoût,21
de,de,81
tout,tout,52
et,et,82
une,un,71
nonchalance,nonchalance,22
invincible,invincible,30
qui,qui,52
ne,ne,60
lui,lui,51
laissait,laisser,18
pas,pas,60
même,même,60
la,le,71
force,force,22
de,de,81
se,se,51
lever,lever,14
pour,pour,81
une,un,71
sortie,sortie,22
/.,/.,P
il,il,51
ne,ne,60
quittait,quitter,18
plus,plus,60
guère,guère,60
sa,son,73
maison,maison,22
",",",",p
allant,aller,13
de,de,81
son,son,73
salon,salon,21
à,à,81
son,son,73
hamac,hamac,21
",",",",p
de,de,81
son,son,73
hamac,hamac,21
à,à,81
son,son,73
salon,salon,21
/.,/.,P
ses,son,73
plus,plus,60
grandes,grand,30
distractions,distraction,22
consistaient,consister,18
à,à,81
regarder,regarder,14
couler,couler,14
le,le,71
Loing,Loing,20
et,et,82
le,le,71
pêcheur,pêcheur,21
jeter,jeter,14
son,son,73
épervier,épervier,21
/.,/.,P
après,après,81
ses,son,73
premiers,premier,72
jours,jour,21
de,de,81
réserve,réserve,22
et,et,82
de,de,81
retenue,retenue,22
",",",",p
Elisabeth,Elisabeth,20
s',se,51
enhardissait,enhardir,18
un,un,71
peu,peu,60
",",",",p
et,et,82
",",",",p
remarquant,remarquer,13
",",",",p
avec,avec,81
son,son,73
flair,flair,21
féminin,féminin,30
",",",",p
l',le,71
abattement,abattement,21
constant,constant,30
de,de,81
son,son,73
maître,maître,21
",",",",p
elle,il,51
lui,lui,51
demandait,demander,18
parfois,parfois,60
",",",",p
quand,quand,83
l',le,71
autre,autre,75
bonne,bonne,22
n',ne,60
était,être,18
pas,pas,60
là,là,60
:,:,p
-,-,p
monsieur,monsieur,21
s',se,51
ennuie,ennuyer,17
beaucoup,beaucoup,60
/?,/?,P
il,il,51
répondait,répondre,18
avec,avec,81
résignation,résignation,22
:,:,p
-,-,p
oui,oui,60
",",",",p
pas,pas,60
mal,mal,60
/.,/.,P
-,-,p
monsieur,monsieur,21
devrait,devoir,16
se,se,51
promener,promener,14
/.,/.,P
-,-,p
ça,ça,52
ne,ne,60
m',je,51
amuserait,amuser,16
pas,pas,60
davantage,davantage,60
/.,/.,P
elle,il,51
avait,avoir,18
pour,pour,81
lui,lui,51
des,de,81
des,le,71
attentions,attention,22
discrètes,discret,30
et,et,82
dévouées,dévoué,31
/.,/.,P
chaque,chaque,75
matin,matin,21
",",",",p
en,en,81
entrant,entrer,13
dans,dans,81
son,son,73
salon,salon,21
",",",",p
il,il,51
le,le,52
trouvait,trouver,18
plein,plein,81
de,de,81
fleurs,fleur,22
",",",",p
et,et,82
parfumé,parfumé,31
comme,comme,83
une,un,71
serre,serre,22
/.,/.,P
Elisabeth,Elisabeth,20
assurément,assurément,60
devait,devoir,18
mettre,mettre,14
à,à,81
contribution,contribution,22
les,le,71
courses,course,22
des,de,81
des,le,71
gamins,gamin,21
qui,qui,52
lui,lui,51
rapportaient,rapporter,18
de,de,81
la,le,71
forêt,forêt,22
des,de,81
des,le,71
primevères,primevère,22
",",",",p
des,de,81
des,le,71
violettes,violette,22
",",",",p
des,de,81
des,le,71
genêts,genêt,21
d',de,81
or,or,21
",",",",p
ainsi,ainsi,60
que,que,83
les,le,71
petits,petit,30
jardinets,jardinet,21
du,de,81
du,le,71
village,village,21
",",",",p
où,où,60
les,le,71
paysannes,paysanne,22
arrosaient,arroser,18
",",",",p
le,le,71
soir,soir,21
",",",",p
quelques,quelque,75
plantes,plante,22
/.,/.,P
lui,lui,51
",",",",p
dans,dans,81
son,son,73
abandon,abandon,21
",",",",p
dans,dans,81
sa,son,73
détresse,détresse,22
",",",",p
dans,dans,81
sa,son,73
torpeur,torpeur,22
",",",",p
lui,lui,51
savait,savoir,18
gré,gré,21
",",",",p
un,un,71
gré,gré,21
attendri,attendri,31
",",",",p
de,de,81
cette,ce,74
reconnaissance,reconnaissance,22
ingénieuse,ingénieux,30
et,et,82
du,de,81
du,le,71
souci,souci,21
deviné,deviné,31
sans,sans,81
cesse,cesse,22
en,en,81
elle,il,51
de,de,81
lui,lui,51
être,être,14
agréable,agréable,30
dans,dans,81
les,le,71
moindres,moindre,30
choses,chose,22
/.,/.,P
il,il,51
lui,lui,51
semblait,sembler,18
aussi,aussi,60
qu',que,83
elle,il,51
devenait,devenir,18
plus,plus,60
jolie,joli,30
",",",",p
plus,plus,60
soignée,soigné,31
",",",",p
que,que,83
sa,son,73
figure,figure,22
était,être,18
un,un,71
peu,peu,60
pâlie,pâlir,12
et,et,82
pour,pour,81
ainsi,ainsi,60
dire,dire,14
affinée,affiné,31
/.,/.,P
il,il,51
s',se,51
aperçut,apercevoir,19
même,même,60
un,un,71
jour,jour,21
",",",",p
comme,comme,83
elle,il,51
lui,lui,51
servait,servir,18
son,son,73
thé,thé,21
",",",",p
qu',que,52
elle,il,51
n',ne,60
avait,avoir,18
plus,plus,60
des,de,81
des,le,71
mains,main,22
de,de,81
bonne,bonne,22
",",",",p
mais,mais,82
des,de,81
des,le,71
mains,main,22
de,de,81
dame,dame,22
",",",",p
avec,avec,81
des,de,81
des,le,71
ongles,ongle,21
bien,bien,60
taillés,taillé,31
",",",",p
irréprochablement,irréprochablement,60
propres,propre,30
/.,/.,P
il,il,51
remarqua,remarquer,19
",",",",p
une,un,71
autre,autre,75
fois,fois,22
",",",",p
qu',que,83
elle,il,51
portait,porter,18
des,de,81
des,le,71
chaussures,chaussure,22
presque,presque,60
élégantes,élégant,30
/.,/.,P
puis,puis,60
",",",",p
une,un,71
après-midi,après-midi,21
",",",",p
comme,comme,83
elle,il,51
était,être,18
montée,monter,12
à,à,81
sa,son,73
chambre,chambre,22
",",",",p
elle,il,51
en,en,52
redescendit,redescendre,19
avec,avec,81
une,un,71
charmante,charmant,30
petite,petit,30
robe,robe,22
grise,gris,30
",",",",p
simple,simple,30
et,et,82
d',de,81
un,un,71
goût,goût,21
parfait,parfait,31
/.,/.,P
il,il,51
s',se,51
écria,écrier,19
en,en,81
la,le,52
voyant,voir,13
paraître,paraître,14
:,:,p
-,-,p
tiens,tenir,17
",",",",p
comme,comme,83
vous,vous,51
devenez,devenir,17
coquette,coquet,30
",",",",p
Elisabeth,Elisabeth,20
/!,/!,P
elle,il,51
rougit,rougir,17
jusqu',jusque,81
aux,à,81
aux,le,71
yeux,oeil,21
",",",",p
et,et,82
balbutia,balbutier,19
:,:,p
-,-,p
moi,moi,51
?,?,p
mais,mais,82
non,non,60
",",",",p
monsieur,monsieur,21
/.,/.,P
je,je,51
m',je,51
habille,habiller,17
un,un,71
peu,peu,60
mieux,mieux,60
parce que,parce que,83
j',je,51
ai,avoir,17
un,un,71
peu,peu,60
plus,plus,60
d',de,81
argent,argent,21
/.,/.,P
-,-,p
où,où,60
avez,avoir,17
vous,vous,51
acheté,acheter,12
cette,ce,74
robe,robe,22
là,là,60
/?,/?,P
je,je,51
l',le,52
ai,avoir,17
faite,faire,12
moi-même,moi-même,51
",",",",p
monsieur,monsieur,21
/.,/.,P
-,-,p
vous,vous,51
l',le,52
avez,avoir,17
faite,faire,12
/?,/?,P
quand,quand,83
donc,donc,82
/?,/?,P
je,je,51
vous,vous,51
vois,voir,17
travailler,travailler,14
toute,tout,75
la,le,71
journée,journée,22
dans,dans,81
la,le,71
maison,maison,22
/.,/.,P
-,-,p
mais,mais,82
",",",",p
le,le,71
soir,soir,21
",",",",p
monsieur,monsieur,21
/.,/.,P
-,-,p
l',le,71
étoffe,étoffe,22
",",",",p
où,où,60
l',le,52
avez,avoir,17
vous,vous,51
eue,avoir,12
/?,/?,P
et,et,82
puis,puis,60
qui,qui,52
vous,vous,51
l',le,52
a,avoir,17
coupée,couper,12
/?,/?,P
elle,il,51
raconta,raconter,19
que,que,83
le,le,71
mercier,mercier,21
de,de,81
Montigny,Montigny,20
lui,lui,51
avait,avoir,18
rapporté,rapporter,12
des,de,81
des,le,71
échantillons,échantillon,21
de,de,81
Fontainebleau,Fontainebleau,20
/.,/.,P
elle,il,51
avait,avoir,18
choisi,choisir,12
",",",",p
puis,puis,60
payé,payer,12
la,le,71
marchandise,marchandise,22
avec,avec,81
les,le,71
deux,deux,72
louis,louis,21
donnés,donné,31
par,par,81
Mariolle,Mariolle,20
comme,comme,83
denier,denier,21
à,à,81
dieu,dieu,21
/.,/.,P
quant,quand,83
à,à,81
la,le,71
coupe,coupe,22
et,et,82
à,à,81
la,le,71
façon,façon,22
",",",",p
ça,ça,52
ne,ne,60
l',le,52
embarrassait,embarrasser,18
guère,guère,60
",",",",p
ayant,avoir,13
travaillé,travailler,12
pendant,pendant,81
quatre,quatre,72
ans,an,21
",",",",p
avec,avec,81
sa,son,73
mère,mère,22
",",",",p
pour,pour,81
un,un,71
magasin,magasin,21
de,de,81
confections,confection,22
/.,/.,P
il,il,51
ne,ne,60
put,pouvoir,19
s',se,51
empêcher,empêcher,14
de,de,81
lui,lui,51
dire,dire,14
:,:,p
-,-,p
ça,ça,52
vous,vous,51
va,aller,17
très,très,60
bien,bien,60
/.,/.,P
vous,vous,51
êtes,être,17
très,très,60
gentille,gentil,30
/.,/.,P
et,et,82
elle,il,51
s',se,51
empourpra,empourprer,19
de,de,81
nouveau,nouveau,21
jusqu',jusque,81
à,à,81
la,le,71
racine,racine,22
des,de,81
des,le,71
cheveux,cheveu,21
/.,/.,P
quand,quand,83
elle,il,51
fut,être,19
partie,partir,12
",",",",p
il,il,51
se,se,51
demanda,demander,19
:,:,p
“,“,p
est,être,17
ce,ce,52
qu',que,83
elle,il,51
serait,être,16
amoureuse,amoureux,30
de,de,81
moi,moi,51
",",",",p
par,par,81
hasard,hasard,21
/?,/?,P
il,il,51
y,y,52
réfléchit,réfléchir,19
",",",",p
hésita,hésiter,19
",",",",p
douta,douter,19
",",",",p
puis,puis,60
finit,finir,19
par,par,81
se,se,51
convaincre,convaincre,14
que,que,83
c',ce,52
était,être,18
possible,possible,30
",",",",p
après,après,81
tout,tout,52
/.,/.,P
il,il,51
avait,avoir,18
été,être,12
bon,bon,30
",",",",p
compatissant,compatissant,30
",",",",p
secourable,secourable,30
",",",",p
presque,presque,60
amical,amical,30
/.,/.,P
quoi,quoi,52
d',de,81
étonnant,étonnant,30
à,à,81
ce,ce,52
que,que,52
cette,ce,74
fillette,fillette,22
se,se,51
fût,être,19
éprise,éprendre,12
de,de,81
son,son,73
maître,maître,21
après,après,81
ce,ce,52
qu',que,52
il,il,51
avait,avoir,18
fait,faire,12
pour,pour,81
elle,il,51
/.,/.,P
l',le,71
idée,idée,22
d',de,81
ailleurs,ailleurs,60
ne,ne,60
lui,lui,51
semblait,sembler,18
pas,pas,60
désagréable,désagréable,30
",",",",p
la,le,71
petite,petit,30
personne,personne,22
étant,être,13
vraiment,vraiment,60
bien,bien,60
",",",",p
et,et,82
n',ne,60
ayant,avoir,13
plus,plus,60
rien,rien,52
d',de,81
une,un,71
servante,servante,22
/.,/.,P
sa,son,73
vanité,vanité,22
d',de,81
homme,homme,21
",",",",p
si,si,60
froissée,froissé,31
",",",",p
si,si,60
blessée,blessé,31
",",",",p
si,si,60
meurtrie,meurtri,31
",",",",p
si,si,60
écrasée,écrasé,31
par,par,81
une,un,71
autre,autre,75
femme,femme,22
",",",",p
se,se,51
trouvait,trouver,18
flattée,flatté,31
",",",",p
soulagée,soulagé,31
",",",",p
presque,presque,60
réconfortée,réconforté,31
/.,/.,P
c',ce,52
était,être,18
une,un,71
compensation,compensation,22
",",",",p
très,très,60
légère,léger,30
",",",",p
imperceptible,imperceptible,30
",",",",p
mais,mais,82
enfin,enfin,60
c',ce,52
était,être,18
une,un,71
compensation,compensation,22
",",",",p
car,car,82
",",",",p
lorsque,lorsque,83
l',le,71
amour,amour,21
vient,venir,17
à,à,81
un,un,71
être,être,21
d',de,81
où,où,60
qu',que,83
il,il,51
vienne,venir,17
",",",",p
c',ce,52
est,être,17
que,que,83
cet,ce,74
être,être,21
peut,pouvoir,17
l',le,52
inspirer,inspirer,14
/.,/.,P
son,son,73
égoïsme,égoïsme,21
inconscient,inconscient,30
en,en,52
était,être,18
aussi,aussi,60
satisfait,satisfaire,12
/.,/.,P
cela,cela,52
l',le,52
occupait,occuper,18
et,et,82
lui,lui,51
ferait,faire,16
peut-être,peut-être,60
un,un,71
peu,peu,60
de,de,81
bien,bien,21
de,de,81
regarder,regarder,14
ce,ce,74
petit,petit,30
coeur,coeur,21
s',se,51
animer,animer,14
et,et,82
battre,battre,14
pour,pour,81
lui,lui,51
/.,/.,P
la,le,71
pensée,pensée,22
ne,ne,60
l',le,52
effleura,effleurer,19
pas,pas,60
d',de,81
éloigner,éloigner,14
cette,ce,74
enfant,enfant,21
",",",",p
de,de,81
la,le,52
préserver,préserver,14
de,de,81
ce,ce,74
danger,danger,21
dont,dont,52
il,il,51
souffrait,souffrir,18
si,si,60
cruellement,cruellement,60
lui-même,lui-même,51
",",",",p
d',de,81
avoir,avoir,14
pitié,pitié,22
d',de,81
elle,il,51
plus,plus,60
qu',que,83
on,on,51
n',ne,60
avait,avoir,18
eu,avoir,12
pitié,pitié,22
de,de,81
lui,lui,51
",",",",p
car,car,82
aucune,aucun,75
compassion,compassion,22
ne,ne,60
se,se,51
mêle,mêler,17
jamais,jamais,60
aux,à,81
aux,le,71
histoires,histoire,22
sentimentales,sentimental,30
/.,/.,P
il,il,51
l',le,52
observa,observer,19
donc,donc,82
",",",",p
et,et,82
reconnut,reconnaître,19
bientôt,bientôt,60
qu',que,83
il,il,51
ne,ne,60
s',se,51
était,être,18
point,point,60
trompé,tromper,12
/.,/.,P
chaque,chaque,75
jour,jour,21
",",",",p
de,de,81
menus,menu,30
détails,détail,21
le,le,52
lui,lui,51
révélaient,révéler,18
davantage,davantage,60
/.,/.,P
comme,comme,83
elle,il,51
le,le,52
frôlait,frôler,18
un,un,71
matin,matin,21
en,en,81
le,le,52
servant,servir,13
à,à,81
table,table,22
",",",",p
il,il,51
flaira,flairer,19
dans,dans,81
ses,son,73
vêtements,vêtement,21
une,un,71
odeur,odeur,22
de,de,81
parfum,parfum,21
",",",",p
de,de,81
parfum,parfum,21
commun,commun,30
",",",",p
fourni,fourni,31
sans,sans,81
doute,doute,21
aussi,aussi,60
par,par,81
le,le,71
mercier,mercier,21
ou,ou,82
par,par,81
le,le,71
pharmacien,pharmacien,21
/.,/.,P
alors,alors,60
il,il,51
lui,lui,51
fit,faire,19
cadeau,cadeau,21
d',de,81
une,un,71
bouteille,bouteille,22
d',de,81
eau,eau,22
de,de,81
toilette,toilette,22
au,à,81
au,le,71
chypre,chypre,21
qu',que,83
il,il,51
avait,avoir,18
adoptée,adopter,12
depuis,depuis,81
longtemps,longtemps,60
pour,pour,81
ses,son,73
lavages,lavage,21
",",",",p
et,et,82
dont,dont,52
il,il,51
emportait,emporter,18
toujours,toujours,60
une,un,71
provision,provision,22
/.,/.,P
il,il,51
lui,lui,51
offrit,offrir,19
encore,encore,60
des,de,81
des,le,71
savons,savon,21
fins,fin,30
",",",",p
de,de,81
l',le,71
eau,eau,22
dentifrice,dentifrice,21
",",",",p
de,de,81
la,le,71
poudre,poudre,22
de,de,81
riz,riz,21
/.,/.,P
il,il,51
aidait,aider,18
subtilement,subtilement,60
à,à,81
cette,ce,74
transformation,transformation,22
",",",",p
chaque,chaque,75
jour,jour,21
plus,plus,60
apparente,apparent,30
",",",",p
chaque,chaque,75
jour,jour,21
plus,plus,60
complète,complet,30
",",",",p
en,en,81
la,le,52
suivant,suivre,13
d',de,81
un,un,71
oeil,oeil,21
et,et,82
curieux,curieux,30
et,et,82
flatté,flatté,31
/.,/.,P
tout,tout,60
en,en,81
demeurant,demeurer,13
pour,pour,81
lui,lui,51
la,le,71
fidèle,fidèle,30
et,et,82
discrète,discret,30
domestique,domestiquer,17
",",",",p
elle,il,51
devenait,devenir,18
une,un,71
femme,femme,22
émue,ému,31
",",",",p
éprise,épris,31
",",",",p
chez,chez,81
qui,qui,52
tous,tout,75
les,le,71
instincts,instinct,21
coquets,coquet,30
se,se,51
développaient,développer,18
naïvement,naïvement,60
/.,/.,P
lui-même,lui-même,51
s',se,51
attachait,attacher,18
à,à,81
elle,il,51
tout,tout,60
doucement,doucement,60
/.,/.,P
il,il,51
était,être,18
amusé,amuser,12
",",",",p
touché,toucher,12
et,et,82
reconnaissant,reconnaître,13
/.,/.,P
il,il,51
jouait,jouer,18
avec,avec,81
cette,ce,74
tendresse,tendresse,22
naissante,naissant,30
comme,comme,83
on,on,51
joue,jouer,17
",",",",p
aux,à,81
aux,le,71
heures,heure,22
tristes,triste,30
",",",",p
avec,avec,81
tout,tout,52
ce,ce,52
qui,qui,52
peut,pouvoir,17
distraire,distraire,14
/.,/.,P
il,il,51
n',ne,60
éprouvait,éprouver,18
pour,pour,81
elle,il,51
aucune,aucun,75
autre,autre,75
attraction,attraction,22
que,que,83
ce,ce,74
vague,vague,30
désir,désir,21
qui,qui,52
pousse,pousser,17
tout,tout,75
homme,homme,21
vers,vers,81
toute,tout,75
femme,femme,22
avenante,avenant,30
",",",",p
fût,être,19
elle,il,51
une,un,71
jolie,joli,30
servante,servante,22
ou,ou,82
une,un,71
paysanne,paysanne,22
faite,fait,31
en,en,81
déesse,déesse,22
",",",",p
une,un,71
sorte,sorte,22
de,de,81
Vénus,Vénus,20
rustique,rustique,30
/.,/.,P
il,il,51
était,être,18
surtout,surtout,60
attiré,attirer,12
vers,vers,81
elle,il,51
par,par,81
ce,ce,52
qu',que,52
il,il,51
trouvait,trouver,18
maintenant,maintenant,60
en,en,81
elle,il,51
de,de,81
